蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
WiMAX,4G,75 Mbps,最长50公里,中,城市宽带接入、移动办公,IEEE,https://www.ieee.org,2024-09-11,,,,,,,,,,,
3G,UMTS,384 kbps - 2 Mbps,最长50公里,中,移动互联网、语音通话,中国信息通信研究院,https://www.caict.ac.cn/,2024-09-11,,,,,,,,,,,
VoLTE,4G,70 Mbps,最长80公里,中,高清语音通话、视频通话,中国移动通信集团公司,https://www.chinamobileltd.com/,2024-09-11,,,,,,,,,,,
LAA,LTE,450 Mbps,最长50公里,中,高密度场景、热点网络,GSMA,https://www.gsma.com/,2024-09-11,,,,,,,,,,,
RedCap,5G,100 Mbps,最长500米,中,工业监控、资产追踪,IEEE Communications Society,https://www.comsoc.org/,2024-09-11,,,,,,,,,,,
6G,未来网络技术,1 Tbps,未知,高,全息通信、智能城市,未来网科技研究中心,https://www.futurewireless.org/,2024-09-11,,,,,,,,,,,
eMTC,LTE,1 Mbps,最长30公里,低,智能表计、物联网,中国电信研究院,http://www.ctri.cn/,2024-09-11,,,,,,,,,,,
FDD-LTE,LTE,300 Mbps,最长100公里,中,移动电视、极高清流媒体,通信世界网,https://www.cww.net.cn/,2024-09-11,,,,,,,,,,,
TDD-LTE,LTE,150 Mbps,最长80公里,中,公共网络、无线宽带,行业信息网站,https://www.industry-info.com/,2024-09-11,,,,,,,,,,,
Private 5G,5G,1 Gbps,最长2公里,高,企业专网、工业自动化,IDC Research,https://www.idc.com/,2024-09-11,,,,,,,,,,,
