网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
未来网络架构,研究项目,SDN,清华大学,2022/1/18,清华大学,清华大学,学术研究,中国教育部,https://www.moe.gov.cn,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2022/3/5,中国科学院,中国科学院,政府与企业,国际量子通信研究机构,https://www.iqchinese.com,2024-09-11,,,,,,,,,
低轨卫星通信网络,卫星通信系统,LEO,OneWeb,2023/5/12,OneWeb,OneWeb Ltd.,全球互联网用户,英国通讯管理局,https://www.ofcom.org.uk,2024-09-11,,,,,,,,,
开放式网络平台,创新通信系统,ONAP,思科系统公司,2023/1/25,思科,"Cisco Systems, Inc.",运营商与开发者,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
边缘计算网络,互联网服务系统,Edge Computing,阿里云,2023/7/14,阿里巴巴,阿里巴巴集团,企业用户,中国工业和信息化部,https://www.aliyun.com,2024-09-11,,,,,,,,,
台湾电信5G网络,移动通信系统,5G NR,中华电信,2020/5/10,中华电信,中华电信股份有限公司,普通用户,台湾通讯传播委员会,https://www.ncc.gov.tw,2024-09-11,,,,,,,,,
日本Docomo 5G,移动通信系统,5G NR,NTT Docomo,2021/3/15,NTT Docomo,NTT Docomo株式会社,普通用户,日本总务省,https://www.soumu.go.jp,2024-09-11,,,,,,,,,
欧洲运营商5G网络,移动通信系统,5G NR,德国电信,2020/9/20,德国电信,Deutsche Telekom AG,公众和企业用户,德国联邦网络局,https://www.bundesnetzagentur.de,2024-09-11,,,,,,,,,
阿联酋5G网络,移动通信系统,5G NR,阿联酋电信,2021/1/25,Etisalat,Emirates Telecommunications Group,普通用户及企业,阿联酋通信管理局,https://www.tca.gov.ae,2024-09-11,,,,,,,,,
新加坡5G网络,移动通信系统,5G NR,新加坡电信,2020/12/12,新加坡电信,Singtel Group,普通用户,新加坡通讯管理局,https://www.imda.gov.sg,2024-09-11,,,,,,,,,
俄罗斯5G网络,移动通信系统,5G NR,MTS,2021/6/17,MTS,MTS股份公司,普通消费者,俄罗斯联邦通信、信息技术与大众传媒监督局,https://www.minsvyaz.ru,2024-09-11,,,,,,,,,
印度5G网络,移动通信系统,5G NR,印度电信,2022/2/5,Reliance Jio,Reliance Jio Infocomm Limited,消费者与商企,印度电信监管局,https://www.trai.gov.in,2024-09-11,,,,,,,,,
巴西5G网络,移动通信系统,5G NR,Claro Brasil,2021/11/30,Claro,Claro S.A.,普通用户,巴西国家电信局,https://www.anatel.gov.br,2024-09-11,,,,,,,,,
加拿大5G网络,移动通信系统,5G NR,罗杰斯通信,2020/8/19,Rogers Communications,Rogers Communications Inc.,普通与企业用户,加拿大广播电视和通讯委员会,https://www.crtc.gc.ca,2024-09-11,,,,,,,,,
新西兰5G网络,移动通信系统,5G NR,沃达丰新西兰,2021/9/15,Vodafone New Zealand,Vodafone Group Plc,普通消费者,新西兰通讯及媒体机构,https://www.comcom.govt.nz,2024-09-11,,,,,,,,,
卫星通讯网络,卫星通信系统,C波段,中国卫通,2021/5/15,中国卫通,中国卫星通信集团有限公司,政府和企业用户,中国工业和信息化部,https://www.chinasatcom.cn,2024-09-11,,,,,,,,,
南亚光纤网络,光纤通信系统,DWDM,中国电信国际,2022/8/20,中国电信,中国电信集团有限公司,国际企业用户,互联网,https://www.chinatelecomglobal.com,2024-09-11,,,,,,,,,
零延迟微波网络,微波通信系统,Q频段,中兴通讯,2020/7/30,中兴通讯,中兴通讯股份有限公司,移动互联网服务提供商,中国通信研究院,https://www.zte.com.cn,2024-09-11,,,,,,,,,
4G LTE专网,移动通信系统,LTE,华为技术有限公司,2019/9/10,华为,华为技术有限公司,企业客户,中国工信部,https://www.huawei.com,2024-09-11,,,,,,,,,
6G测试网,未来网络系统,6G,清华大学,2023/1/11,清华大学,清华大学,研究人员,相关新闻报道,https://www.tsinghua.edu.cn,2024-09-11,,,,,,,,,
Wi-Fi 6E网络,无线通信系统,802.11ax,TP-Link,2021/10/5,TP-Link,"TP-Link Technologies Co., Ltd.",家庭用户,行业媒体,https://www.tp-link.com,2024-09-11,,,,,,,,,
边缘计算网络,云计算系统,边缘节点,阿里云,2022/11/20,阿里巴巴,阿里巴巴集团有限公司,企业用户,IT资讯平台,https://www.aliyun.com,2024-09-11,,,,,,,,,
物联网解决方案,物联网系统,LoRaWAN,烟草行业信息化公司,2022/3/15,烟草行业信息化,中国烟草总公司,农业用户,行业白皮书,http://www.tobacco.gov.cn,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,量子密钥分配,中国科学院,2024/6/1,中国科学院,中国科学院,科研机构,科学研究期刊,https://www.cas.cn,2024-09-11,,,,,,,,,
极光5G网络,移动通信系统,5G,中国移动,2020/5/15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2017/8/9,华为,华为技术有限公司,物联网设备制造商,中国工业和信息化部,https://www.huawei.com,2024-09-11,,,,,,,,,
下一代光纤网络,光纤通信系统,100G,中国电信,2021/2/1,中国电信,中国电信股份有限公司,企业用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
家庭宽带5G,宽带通信系统,5G,中国联通,2022/11/20,中国联通,中国联通股份有限公司,家庭用户,中国工业和信息化部,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
超快WiFi 6,无线通信系统,WiFi 6,TP-Link,2020/9/15,TP-Link,"TP-Link Technologies Co., Ltd.",普通用户,科技媒体报道,https://www.tp-link.com,2024-09-11,,,,,,,,,
星际通信系统,卫星通信系统,Ka频段,SpaceX,2023/1/25,SpaceX,Space Exploration Technologies Corp.,全球用户,空间研究机构报告,https://www.spacex.com,2024-09-11,,,,,,,,,
立体声蓝牙耳机通信,无线通信系统,Bluetooth 5.0,苹果公司,2019/3/10,苹果,Apple Inc.,消费者,市场分析报告,https://www.apple.com,2024-09-11,,,,,,,,,
量子通信网络,前沿通信系统,量子密钥分发,中国科学院,2022/6/15,中国科学院,中国科学院,科研单位,科学期刊,https://www.cas.cn,2024-09-11,,,,,,,,,
无线数据采集系统,物联网通信系统,LoRa,中兴通讯,2023/3/12,中兴通讯,ZTE Corporation,工业用户,行业报告,https://www.zte.com.cn,2024-09-11,,,,,,,,,
5G智慧城市网络,移动通信系统,5G NR,中兴通讯,2021/11/15,中兴,中兴通讯股份有限公司,城市用户,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
Wi-Fi 6E网络,固定通信系统,Wi-Fi 6E,华为技术有限公司,2022/1/10,华为,华为技术有限公司,家庭用户,中国电子技术标准化研究院,https://www.huawei.com,2024-09-11,,,,,,,,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2020/5/23,中国电信,中国电信股份有限公司,普通用户,中国信息通信研究院,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
NB-IoT物联网网络,移动通信系统,NB-IoT,中国联通,2019/3/15,中国联通,中国联通股份有限公司,企业用户,中国工业和信息化部,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
6G网络,移动通信系统,6G,中兴通讯,2025/7/1,中兴,中兴通讯股份有限公司,科研用户,国际电信联盟,https://www.itu.int,2024-09-11,,,,,,,,,
智能家居网络系统,家庭自动化,Zigbee,小米科技,2022/5/20,小米,小米科技有限责任公司,家庭用户,国家市场监督管理总局,https://www.mi.com,2024-09-11,,,,,,,,,
车联网平台,移动通信系统,C-V2X,滴滴出行,2023/2/18,滴滴,滴滴出行科技有限公司,出行用户,交通运输部,https://www.didiglobal.com,2024-09-11,,,,,,,,,
卫星互联网系统,卫星通信,Starlink,SpaceX,2021/10/15,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通讯委员会,https://www.spacex.com,2024-09-11,,,,,,,,,
智能传感器网络,物联网,LoRa,阿里巴巴集团,2022/5/30,阿里巴巴,阿里巴巴(中国)网络科技有限公司,农业用户,中国农业部,https://www.alibaba.com,2024-09-11,,,,,,,,,
边缘计算网络,云计算,Edge Computing,腾讯科技,2023/6/30,腾讯,腾讯科技（深圳）有限公司,企业用户,环球网,https://www.tencent.com,2024-09-11,,,,,,,,,
卫星通信网络,卫星通信系统,VSAT,中国卫通,2016/9/15,中国卫通,中国卫星通信集团公司,企业用户,中国工业和信息化部,https://www.chinasatellite.com,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,NB-IoT,中兴通讯,2017/3/10,中兴通讯,中兴通讯股份有限公司,物联网设备制造商,中国工业和信息化部,https://www.zte.com.cn,2024-09-11,,,,,,,,,
光纤宽带,固定通信系统,GPON,中国电信,2015/5/20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,http://www.cnii.com.cn,2024-09-11,,,,,,,,,
5G微基站,移动通信系统,5G,华为技术有限公司,2020/1/15,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,2024-09-11,,,,,,,,,
SD-WAN,网络优化系统,多站点访问,思科系统,2021/2/28,思科,思科系统公司,跨国企业,国际电信联盟,https://www.cisco.com,2024-09-11,,,,,,,,,
网络安全防护系统,网络安全系统,防火墙,奇安信,2020/11/30,奇安信,奇安信科技有限公司,各类企业,中国网络安全审查技术与认证中心,https://www.qianxin.com,2024-09-11,,,,,,,,,
车载通信系统,移动通信系统,V2X,高通公司,2019/4/10,高通,高通公司,汽车制造商,电信运营商协会,https://www.qualcomm.com,2024-09-11,,,,,,,,,
虚拟私人网络,网络安全系统,VPN,阿里云,2017/6/15,阿里云,阿里巴巴集团,中小企业,中国信息产业网,https://www.aliyun.com,2024-09-11,,,,,,,,,
量子通信网络,新兴通信系统,量子密钥分发,中科院,2022/10/15,中国科学院,中国科学院,科研机构,中国科学院官网,https://www.cas.cn,2024-09-11,,,,,,,,,
边缘计算平台,计算与存储系统,边缘计算,京东科技,2021/8/12,京东,京东集团,企业用户,中国电子技术标准化研究院,https://www.jd.com,2024-09-11,,,,,,,,,
衛星移动通信网,移动通信系统,卫星通信,中国卫星通信集团,2021/8/15,中国卫星,中国卫星通信集团有限公司,商业用户,中国工业和信息化部,https://www.casc.cn,2024-09-11,,,,,,,,,
Wi-Fi 6E,固定通信系统,Wi-Fi 6E,广和通科技,2022/5/10,广和通,广和通科技股份有限公司,家庭及企业用户,中华人民共和国市场监管总局,https://www.scs.gov.cn,2024-09-11,,,,,,,,,
NB-IoT网络,移动通信系统,NB-IoT,中国移动,2020/11/20,中国移动,中国移动通信集团有限公司,物联网设备,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
光纤宽带网络,固定通信系统,光纤,中国电信,2019/10/1,中国电信,中国电信股份有限公司,普通用户,中国信息通信研究院,https://www.caiinfo.com,2024-09-11,,,,,,,,,
5G EDGE网络,移动通信系统,5G,阿里巴巴集团,2023/3/15,阿里云,阿里巴巴集团控股有限公司,企业用户,国家开发委员会,https://www.ndrc.gov.cn,2024-09-11,,,,,,,,,
智能家居通信系统,物联网系统,Zigbee,海尔集团,2021/7/29,海尔,海尔集团公司,家庭用户,电子工业出版社,https://www.eepw.com.cn,2024-09-11,,,,,,,,,
车联网系统,移动通信系统,C-V2X,比亚迪股份有限公司,2022/12/20,比亚迪,比亚迪股份有限公司,汽车制造商,国家道路交通安全管理局,https://www.mps.gov.cn,2024-09-11,,,,,,,,,
即插即用网络系统,软件通信,P2P,腾讯科技,2023/1/10,腾讯,腾讯科技（深圳）有限公司,应用开发者,中国互联网协会,https://www.isp.org.cn,2024-09-11,,,,,,,,,
量子通信系统,新技术通信,量子密钥分配,中国科学院,2024/5/5,中国科学院,中国科学院计算技术研究所,政府及军方,科技部,https://www.most.gov.cn,2024-09-11,,,,,,,,,
AI增强型通信系统,移动通信系统,AI优化,字节跳动,2023/6/21,字节跳动,字节跳动科技有限公司,内容创者,新浪科技,https://tech.sina.com.cn,2024-09-11,,,,,,,,,
全球卫星通信系统,卫星通信系统,VSAT,华为技术有限公司,2021/5/15,华为,华为技术有限公司,企业用户,中国工信部,https://www.huawei.com/cn/products,2024-09-11,,,,,,,,,
太空互联网系统,新兴通信系统,光通信,SpaceX,2022/3/10,SpaceX,Space Exploration Technologies Corp.,普通用户,太空探索技术公司,https://www.spacex.com/,2024-09-11,,,,,,,,,
NB-IoT网络,物联网通信系统,Narrowband IoT,中国移动,2020/9/25,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.10086.cn/,2024-09-11,,,,,,,,,
Wi-Fi 6E网络,无线局域网,802.11ax,英特尔公司,2021/6/18,英特尔,Intel Corporation,普通用户,美国联邦通信委员会,https://www.intel.com/,2024-09-11,,,,,,,,,
量子通信网络,量子通信系统,QKD,中兴通讯,2023/1/15,中兴,中兴通讯股份有限公司,政府和大型企业,中国科学院,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
边缘计算网络,云计算通信系统,Edge Computing,阿里巴巴,2022/11/22,阿里云,阿里巴巴集团控股有限公司,企业用户,阿里巴巴官网,https://www.alibaba.com/,2024-09-11,,,,,,,,,
5G独立组网,移动通信系统,5G SA,中国移动,2023/2/10,中国移动,中国移动通信集团有限公司,普通用户,中国无线通信协会,https://www.china-mobile.com/,2024-09-11,,,,,,,,,
智能交通系统（ITS）,专用网络,基于车联网,腾讯科技,2022/8/30,腾讯,腾讯控股有限公司,公共机构和企业,中国交通运输部,https://www.tencent.com/,2024-09-11,,,,,,,,,
Zigbee无线标准,物联网通信系统,Zigbee,Silicon Labs,2023/3/12,Silicon Labs,Silicon Laboratories Inc.,普通用户,无线电及电子技术协会,https://www.silabs.com/,2024-09-11,,,,,,,,,
农业物联网系统,物联网通信系统,LPWAN,国网电力公司,2023/4/7,国家电网,国家电网公司,农业用户,国家电力公司,https://www.sgcc.com.cn/,2024-09-11,,,,,,,,,
5G智能网络,移动通信系统,5G NR,中国移动,2021/1/15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,2024-09-11,,,,,,,,,
卫星通信网络,卫星通信,Ku波段,京东云,2020/12/5,京东科技,京东云计算科技有限公司,商业用户,中国工业和信息化部,https://www.jd.com,2024-09-11,,,,,,,,,
Wi-Fi 6网络,无线通信系统,802.11ax,华为技术有限公司,2019/9/22,华为,华为技术有限公司,普通用户,中国无线电管理委员会,https://www.huawei.com,2024-09-11,,,,,,,,,
光纤通信系统,固定通信系统,GPON,中国电信,2018/5/30,中国电信,中国电信股份有限公司,普通用户,中国工业和信息化部,https://www.chinatelecom.com.cn,2024-09-11,,,,,,,,,
Next-Gen移动网络,移动通信系统,6G,中兴通讯,2023/3/1,中兴,中兴通讯股份有限公司,未来用户,IEEE通讯协会,https://ieeexplore.ieee.org,2024-09-11,,,,,,,,,
物联网通信网络,专用通信系统,LoRaWAN,阿里巴巴集团,2021/11/18,阿里云,阿里巴巴网络技术有限公司,IoT开发者,阿里云官网,https://www.aliyun.com,2024-09-11,,,,,,,,,
企业专线网络,固定通信系统,MPLS,中国联通,2022/2/15,中国联通,中国联通股份有限公司,商业用户,中国联通官网,https://www.chinaunicom.com,2024-09-11,,,,,,,,,
边缘计算网络,云计算网络,边缘计算,百度云,2023/8/10,百度,百度云计算技术有限公司,开发者,百度云官网,https://cloud.baidu.com,2024-09-11,,,,,,,,,
深海通信网络,海底光缆网络,Submarine Cable,深圳海缆科技有限责任公司,2020/6/30,深圳海缆, 深圳海缆科技有限公司,国际用户,中国海洋局,http://www.soa.gov.cn,2024-09-11,,,,,,,,,
国家宽带网络,固定通信系统,FTTH,中国电信,2019/7/25,中国电信,中国电信股份有限公司,普通用户,国家发展改革委员会,https://www.ndrc.gov.cn,2024-09-11,,,,,,,,,
超级宽带无线网络,固定通信系统,WiMAX,中国电信,2015/3/15,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
高速5G网络,移动通信系统,5G NR,华为技术有限公司,2022/1/10,华为,华为技术有限公司,企业用户,华为官方网站,https://www.huawei.com/,2024-09-11,,,,,,,,,
卫星互联网,卫星通信系统,Starlink,SpaceX,2020/5/29,SpaceX,Space Exploration Technologies Corp,偏远地区用户,SpaceX官方网站,https://www.spacex.com/,2024-09-11,,,,,,,,,
智能IoT通信平台,物联网通信系统,LoRaWAN,阿里巴巴,2021/8/12,阿里巴巴云,阿里巴巴集团控股有限公司,企业用户,阿里云官方网站,https://cloud.alibaba.com/,2024-09-11,,,,,,,,,
下一代移动通信系统,移动通信系统,6G,中兴通讯,2025/12/1,中兴,中兴通讯股份有限公司,科研机构,中兴官方网站,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
城市公共Wi-Fi网络,固定通信系统,Wi-Fi 6,电信运营商,2021/5/5,某市电信公司,国家电信公司,市民用户,地方政府官方网站,https://www.gov.cn/,2024-09-11,,,,,,,,,
长距离低功耗网络,物联网通信系统,NB-IoT,未来网络科技,2023/3/20,未来网络,未来网络科技有限公司,物联网开发者,技术评估机构,http://www.technologyreview.cn/,2024-09-11,,,,,,,,,
车联网通信系统,移动通信系统,V2X,特斯拉,2024/11/5,特斯拉,特斯拉汽车公司,汽车厂商,汽车新闻网站,https://www.autoblog.com/,2024-09-11,,,,,,,,,
远程医疗通信系统,固定通信系统,5G医疗,中国科技大学,2023/6/15,中国科技大学,中国科技大学,医疗机构,学术期刊,https://www.sciencedirect.com/,2024-09-11,,,,,,,,,
多站点大数据传输,数据通信系统,光纤通讯,博通,2022/2/26,博通,博通有限公司,企业用户,金融时报,https://www.ft.com/,2024-09-11,,,,,,,,,
智联5G系统,移动通信系统,5G,中国移动,2021/9/15,中国移动,中国移动通信集团有限公司,智能设备用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
增强现实通信网络,移动通信系统,5G AR,腾讯科技,2022/5/1,腾讯科技,腾讯控股有限公司,游戏玩家,中国互联网信息中心,https://www.cnnic.net.cn/,2024-09-11,,,,,,,,,
全球卫星通信网,卫星通信系统,Satellite-5,SpaceX,2020/12/21,SpaceX,Space Exploration Technologies Corp.,全球用户,美国联邦通信委员会,https://www.fcc.gov/,2024-09-11,,,,,,,,,
NextGen Wi-Fi,无线通信系统,Wi-Fi 6E,英特尔公司,2021/3/10,英特尔,英特尔公司,家庭用户,IEEE标准协会,https://www.ieee.org/,2024-09-11,,,,,,,,,
工业物联网网络,物联网通信系统,NB-IoT,阿里巴巴集团,2022/8/2,阿里巴巴,阿里巴巴集团控股有限公司,工业用户,中国通信标准化协会,http://www.caisa.org.cn/,2024-09-11,,,,,,,,,
星际链路通信系统,深空通信系统,Interstellar Link,NASA,2023/2/10,NASA,美国国家航空航天局,科学研究机构,NASA官方网站,https://www.nasa.gov/,2024-09-11,,,,,,,,,
量子通信网络,安全通信系统,Quantum Secure,北京量子科技公司,2023/6/17,北京量子,北京量子科技股份有限公司,政府机构,中国科学院,https://www.cas.cn/,2024-09-11,,,,,,,,,
移动边缘计算网络,云计算通信系统,Edge Computing,华为技术有限公司,2022/11/30,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
智能交通信号系统,城市通信系统,Smart Traffic 2.0,上海交通大学,2021/4/5,上海交通大学,上海交通大学,城市管理者,中国城市交通规划协会,http://www.cctp.org.cn/,2024-09-11,,,,,,,,,
校园无线网络,校园通信系统,Wi-Fi 6,清华大学,2020/9/30,清华大学,清华大学,学生与教职工,教育部,http://www.moe.gov.cn/,2024-09-11,,,,,,,,,
5G超高速移动网络,移动通信系统,5G,中国移动,2020/11/15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,2024-09-11,,,,,,,,,
智联物联网系统,物联网,NB-IoT,华为技术有限公司,2019/3/20,华为,华为技术有限公司,企业用户,国家物联网产业发展联盟,https://www.iot.gov.cn/,2024-09-11,,,,,,,,,
卫星自适应通信系统,卫星通信,L波段,中国卫星通信集团有限公司,2021/1/10,中国卫星,中国卫星通信集团有限公司,政府及企事业单位,中国卫星通信网,http://www.chinasatcom.com/,2024-09-11,,,,,,,,,
LoRaWAN低功耗广域网,物联网,LoRa,中兴通讯,2020/7/1,中兴,中兴通讯股份有限公司,普通用户,中国电子通信研究院,https://www.zte.com.cn/,2024-09-11,,,,,,,,,
优质宽带接入网,固定通信系统,光纤到户(FtTH),中国电信,2018/6/15,中国电信,中国电信股份有限公司,家庭用户,中国电信网,http://www.chinatelecom.com.cn/,2024-09-11,,,,,,,,,
移动边缘计算平台,边缘计算,计算平台,阿里云计算有限公司,2022/5/18,阿里云,阿里云计算有限公司,应用开发者,阿里巴巴集团,https://www.aliyun.com/,2024-09-11,,,,,,,,,
智能家居网络,家庭网络,Wi-Fi 6,TP-Link,2021/8/30,TP-Link,TP-Link科技有限公司,家庭用户,网络科技资讯,https://www.tp-link.com/,2024-09-11,,,,,,,,,
全球卫星互联网服务,卫星互联网,Starlink,SpaceX,2021/10/1,SpaceX,Space Exploration Technologies Corp.,全球用户,国际电信联盟,https://www.spacex.com/,2024-09-11,,,,,,,,,
量子通信网络,量子通信,量子密钥分发,中国科学技术大学,2023/4/12,中国科学技术大学,中国科学技术大学,科研单位,中国科学技术部,http://www.ustc.edu.cn/,2024-09-11,,,,,,,,,
