机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
超精密砂带机,0.002,±0.003 μm,Ra < 0.006 μm,中,4.5,g,中国磨料磨具工业协会,https://www.caang.org,,
超精密成型机,0.012,±0.009 μm,Ra < 0.010 μm,高,5.5,g,中国通用机械安装工程公司,http://www.cgme.com.cn,,
超精密激光切割机,0.0025,±0.006 μm,Ra < 0.004 μm,中,5.2,g,中国机器人产业联盟,https://www.cria.org.cn,,
超高速切削机,0.0015,±0.007 μm,Ra < 0.002 μm,高,9.0,g,中国汽车工程学会,https://www.sae-china.org,,
超精密连铸设备,0.008,±0.02 μm,Ra < 0.009 μm,中,4.2,g,中国冶金机械工业协会,https://www.zjmia.org,,
超精密切削机,0.005,±0.01 μm,Ra < 0.001 μm,高,7.5,g,中国先进制造技术协会,https://www.amta.org.cn,,
超精密数控机床,0.0035,±0.005 μm,Ra < 0.005 μm,高,8.2,g,中国机械工程协会,https://www.cme.org.cn,,
超精密铸造机,0.0075,±0.015 μm,Ra < 0.008 μm,中,5.8,g,中国铸造协会,https://www.chinafoundry.org,,
超高级超磨机,0.001,±0.003 μm,Ra < 0.0015 μm,高,10.0,g,世界磨削技术协会,http://www.grindingsolutions.org,,
精密激光焊接机,0.005,±0.007 μm,Ra < 0.003 μm,高,6.8,g,国际激光技术协会,http://www.lasers.org,,
超精密数控铣床,0.003,±0.008 μm,Ra < 0.004 μm,高,8.5,g,中国数控机床产业技术创新战略联盟,https://www.cnctia.com,,
高精度混合加工机,0.006,±0.012 μm,Ra < 0.009 μm,中,5.5,g,中国制造业创新设计中心,http://www.mfginnovation.org,,
超精密磨床,0.004,±0.008 μm,Ra < 0.007 μm,高,7.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
五轴加工中心,0.005,±0.02 μm,Ra < 0.012 μm,高,6.5,g,中国机械工程学会,https://www.cmes.org,,
超精密光刻机,0.001,±0.005 μm,Ra < 0.004 μm,高,8.0,g,中国半导体设备产业协会,https://www.csia.org.cn,,
超精密切削机,0.007,±0.009 μm,Ra < 0.006 μm,中,4.5,g,中国机械制造行业协会,https://www.cmmi.org.cn,,
精密电铸机,0.01,±0.02 μm,Ra < 0.018 μm,中,3.5,g,中国先进制造业发展研究中心,https://www.cadmc.cn,,
超精密超声波清洗机,0.012,±0.02 μm,Ra < 0.009 μm,高,5.5,g,中国清洗行业协会,https://www.chinaclean.org.cn,,
超细磨粉机,0.003,±0.006 μm,Ra < 0.003 μm,高,6.0,g,中国粉体技术协会,https://www.cnpowder.org,,
超精密电码调制机,0.009,±0.007 μm,Ra < 0.010 μm,中,5.2,g,中国电子信息产业协会,https://www.cieta.org.cn,,
纳米压印机,0.002,±0.004 μm,Ra < 0.002 μm,高,7.5,g,中国纳米技术产业发展促进会,http://www.cntpp.org.cn,,
激光切割平台,0.01,±0.015 μm,Ra < 0.006 μm,中,4.0,g,中国激光协会,http://www.clas.org.cn,,
光学磨砂机,0.008,±0.01 μm,Ra < 0.015 μm,高,6.2,g,中国光学学会,https://www.cos.org.cn,,
高精度激光系统,0.003,±0.005 μm,Ra < 0.007 μm,高,8.0,g,中国精密工程学会,https://www.csope.org.cn,,
超精准喷涂机,0.006,±0.006 μm,Ra < 0.008 μm,中,5.0,g,中国表面工程协会,http://www.csaa.org.cn,,
超精密混合机,0.002,±0.002 μm,Ra < 0.005 μm,高,7.0,g,中国食品机械设备工业协会,http://www.cmeia.org.cn,,
超精密成形机,0.005,±0.008 μm,Ra < 0.003 μm,中,6.3,g,中国塑料加工工业协会,http://www.cpia.org.cn,,
超精密折弯机,0.004,±0.006 μm,Ra < 0.002 μm,高,6.0,g,中国机电一体化技术应用协会,https://www.cma.org.cn,,
超精密电火花机,0.009,±0.012 μm,Ra < 0.008 μm,中,5.8,g,中国机床工具与设备协会,http://www.cmte.org.cn,,
高精度切割平台,0.001,±0.003 μm,Ra < 0.001 μm,高,8.5,g,中国工具工业协会,https://www.tool.org.cn,,
超精密五轴加工中心,0.004,±0.002 μm,Ra < 0.007 μm,高,7.0,g,中国数控设备协会,https://www.cnca.org.cn,,
超精密线切割机,0.012,±0.025 μm,Ra < 0.010 μm,中,4.5,g,中国机械工程学会,https://www.cmes.org.cn,,
智能超精密螺纹切割机,0.007,±0.008 μm,Ra < 0.006 μm,高,8.0,g,中国高精度制造技术研究中心,http://www.hpmtrc.org,,
超精密电火花加工机,0.009,±0.020 μm,Ra < 0.012 μm,中,6.0,g,中国数字制造产业联盟,https://www.dmcta.org.cn,,
超精密卧式铣床,0.005,±0.004 μm,Ra < 0.009 μm,高,5.5,g,国际制造技术与设备博览会,https://www.imts.com,,
超精密水冷加工中心,0.003,±0.005 μm,Ra < 0.004 μm,极高,9.0,g,樊振东科技研究所,http://www.fzdtech.org,,
超精密纳米雕刻机,0.002,±0.001 μm,Ra < 0.003 μm,高,8.5,g,中国纳米技术研究中心,http://www.nanochinalab.org,,
超精密激光切割机,0.006,±0.018 μm,Ra < 0.011 μm,中,4.0,g,中国激光行业协会,https://www.clia.org.cn,,
超精密深孔加工机,0.005,±0.012 μm,Ra < 0.008 μm,高,6.5,g,中国机械加工研究中心,https://www.cmprc.org,,
超精密电控钻床,0.006,±0.007 μm,Ra < 0.007 μm,高,7.0,g,机电设备技术协会,http://www.meea.org,,
超精密复合加工中心,0.008,±0.006 μm,Ra < 0.010 μm,中,5.2,g,中国智能制造协会,https://www.cime.org.cn,,
超精密光刻机,0.001,±0.002 μm,Ra < 0.005 μm,极高,9.5,g,国际半导体设备协会,https://www.semi.org,,
超精密高速铣床,0.003,±0.009 μm,Ra < 0.006 μm,高,7.8,g,中国高速加工技术联盟,http://www.highspeedmachining.org,,
超精密定制加工机,0.004,±0.007 μm,Ra < 0.004 μm,中,4.9,g,中国机床制造商协会,https://www.ctmda.org,,
超精密复合激光加工机,0.005,±0.011 μm,Ra < 0.008 μm,高,6.2,g,中国新材料技术协会,http://www.nmpa.org.cn,,
超精密数字控制切割机,0.002,±0.005 μm,Ra < 0.003 μm,极高,9.1,g,中国工业互联网推进委员会,http://www.iipa.cn,,
超精密多功能加工中心,0.006,±0.009 μm,Ra < 0.007 μm,高,8.0,g,中国制造2025战略推进中心,http://www.madein2025.org,,
超精密陶瓷加工机,0.001,±0.001 μm,Ra < 0.002 μm,高,10.0,g,国际陶瓷科技协会,https://www.ceramictech.org,,
电火花加工机,0.005,±0.02 μm,Ra < 0.007 μm,高,7.0,g,中国电子制造业协会,https://www.cema.org.cn,,
超精密磨床,0.003,±0.02 μm,Ra < 0.006 μm,中,4.5,g,中国超精密技术研究院,http://www.cmtia.org.cn,,
精密激光切割机,0.012,±0.018 μm,Ra < 0.004 μm,高,6.0,g,中国先进制造技术研究院,https://www.camti.org.cn,,
超声波清洗机,0.009,±0.025 μm,Ra < 0.01 μm,中,3.5,g,中国精密清洗工业协会,https://www.cpiia.org.cn,,
多轴加工中心,0.004,±0.015 μm,Ra < 0.002 μm,高,8.0,g,中国机床制造商协会,https://www.cmmi.org.cn,,
精密车床,0.007,±0.03 μm,Ra < 0.012 μm,中,5.0,g,中国机械工程协会,https://www.cmeia.org.cn,,
超精密激光焊接机,0.002,±0.008 μm,Ra < 0.005 μm,高,9.0,g,中国激光产业协会,https://www.clia.org.cn,,
高性能铣削机,0.01,±0.02 μm,Ra < 0.006 μm,高,6.5,g,中国高端装备制造网,https://www.camm.org.cn,,
超高精度切削机,0.001,±0.005 μm,Ra < 0.003 μm,高,8.5,g,中国机械研究院,https://www.cmr.org.cn,,
精密数控机床,0.006,±0.02 μm,Ra < 0.008 μm,中,5.5,g,中国数控机床协会,https://www.cnc.org.cn,,
精密机器人加工系统,0.005,±0.012 μm,Ra < 0.007 μm,高,9.0,g,中国机器人产业发展联盟,https://www.crida.cn,,
细微加工机床,0.003,±0.01 μm,Ra < 0.002 μm,中,4.0,g,中国超精密加工技术协会,http://www.jspma.org.cn,,
精密电加工机,0.009,±0.018 μm,Ra < 0.009 μm,高,7.0,g,中国电加工技术研究院,http://www.electro-machining.org.cn,,
超精密切削工具机,0.004,±0.015 μm,Ra < 0.011 μm,中,5.0,g,中国切削工具技术协会,https://www.ctia.cn,,
光学加工机床,0.001,±0.005 μm,Ra < 0.004 μm,高,6.0,g,中国光学制造技术协会,https://www.optic.org.cn,,
量测设备,0.005,±0.01 μm,Ra < 0.003 μm,中,4.5,g,中国计量协会,https://www.chinamts.org.cn,,
超精密切削机,0.006,±0.012 μm,Ra < 0.008 μm,高,7.0,g,中国卓越机械制造公司,http://www.zmfg.com.cn,,
微细车削机,0.002,±0.009 μm,Ra < 0.001 μm,高,8.0,g,中国微细加工研究中心,https://www.micro-machining.cn,,
精密光刻机,0.005,±0.02 μm,Ra < 0.003 μm,高,7.0,g,中国半导体设备产业协会,https://www.csia.org.cn,,
数控放电加工机,0.02,±0.04 μm,Ra < 0.012 μm,中,3.5,g,中国电加工技术协会,https://www.edma.org.cn,,
超精密转子磨床,0.004,±0.02 μm,Ra < 0.006 μm,高,6.5,g,中国自动化设备研究院,http://www.caeri.org.cn,,
超精密刻蚀机,0.007,±0.03 μm,Ra < 0.009 μm,中,5.0,g,中国微纳制造技术研究中心,https://www.wmmtc.org,,
超精密三维打印机,0.001,±0.015 μm,Ra < 0.004 μm,中,4.5,g,中国增材制造协会,https://www.cam.org.cn,,
行业专用精密机床,0.012,±0.025 μm,Ra < 0.007 μm,高,6.0,g,中国机床工具协会,https://www.cmtia.org.cn,,
纳米级加工机,0.002,±0.01 μm,Ra < 0.002 μm,高,8.0,g,中国纳米技术协会,http://www.ctnanotech.org,,
超精密磨床,0.006,±0.015 μm,Ra < 0.008 μm,中,5.5,g,中国机械工程学会,http://www.cmse.org.cn,,
激光切割机,0.008,±0.02 μm,Ra < 0.011 μm,高,6.0,g,中国激光技术协会,http://www.clta.org.cn,,
超精密定位桌,0.003,±0.005 μm,Ra < 0.002 μm,高,4.0,g,中国精密机械工程学会,http://www.cpmme.org.cn,,
超精密清洗机,0.02,±0.05 μm,Ra < 0.020 μm,中,3.0,g,中国清洗行业协会,https://www.ccia.org.cn,,
高精度切削机,0.009,±0.015 μm,Ra < 0.007 μm,中,4.2,g,中国切削工具协会,http://www.cuttingtool.org.cn,,
复合加工中心,0.014,±0.025 μm,Ra < 0.010 μm,高,6.2,g,中国复合机床协会,http://www.compositemachinery.org.cn,,
多功能加工中心,0.017,±0.030 μm,Ra < 0.013 μm,中,5.5,g,中国多功能设备产业协会,http://www.multifunctional-machinery.org.cn,,
电子束焊接机,0.011,±0.018 μm,Ra < 0.004 μm,高,7.3,g,中国电子制造协会,http://www.cema.org.cn,,
空间加工机,0.019,±0.02 μm,Ra < 0.005 μm,中,4.8,g,中国航空航天制造协会,http://www.cama.org.cn,,
高速度车床,0.005,±0.016 μm,Ra < 0.008 μm,高,7.8,g,中国机床市场调研中心,http://www.cmtm.org.cn,,
高精度光学机床,0.002,±0.01 μm,Ra < 0.003 μm,高,5.0,g,中国光学制造协会,http://www.opticalmanufacturing.org.cn,,
水刀切割机,0.012,±0.025 μm,Ra < 0.007 μm,高,4.5,g,中华人民共和国工业和信息化部,https://www.miit.gov.cn,,
激光切割机,0.009,±0.02 μm,Ra < 0.005 μm,中,3.5,g,中国制造业协会,https://www.cmmi.org.cn,,
微型铣床,0.004,±0.008 μm,Ra < 0.01 μm,高,7.0,g,中国机械工程学会,https://www.cmes.org,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.003 μm,高,6.5,g,中国半导体行业协会,https://www.csia.org.cn,,
五轴加工中心,0.005,±0.012 μm,Ra < 0.007 μm,中,4.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密刀具磨床,0.007,±0.02 μm,Ra < 0.006 μm,高,5.5,g,中国金属加工行业协会,https://www.cmta.org.cn,,
精密冲压机,0.015,±0.03 μm,Ra < 0.011 μm,中,3.2,g,中国冲压协会,https://www.chinapress.org,,
超精密电子束焊接机,0.003,±0.004 μm,Ra < 0.002 μm,高,7.2,g,中国激光行业协会,http://www.clia.org.cn,,
纳米铣削机,0.0015,±0.002 μm,Ra < 0.001 μm,高,8.0,g,中国纳米技术产业协会,http://www.nanoa.org.cn,,
涂层机,0.006,±0.01 μm,Ra < 0.009 μm,中,4.3,g,中国涂料工业协会,https://www.cpcia.org.cn,,
超声波清洗机,0.01,±0.020 μm,Ra < 0.012 μm,高,6.0,g,中国清洗行业协会,https://www.cleancn.org,,
精密激光焊接机,0.005,±0.006 μm,Ra < 0.004 μm,高,5.0,g,中国焊接协会,http://www.welding.org.cn,,
高精度增材制造机,0.0025,±0.001 μm,Ra < 0.005 μm,高,7.5,g,中国增材制造发展协会,http://www.amda.org.cn,,
精密磨床,0.0045,±0.003 μm,Ra < 0.009 μm,中,4.8,g,中国精密磨削技术研究中心,http://www.precisiongrind.org.cn,,
精密配件加工机,0.0075,±0.007 μm,Ra < 0.006 μm,中,5.1,g,中国机床工业协会,https://www.cmti.org.cn,,
超精密陶瓷加工机,0.0012,±0.002 μm,Ra < 0.001 μm,高,6.8,g,中国陶瓷行业协会,http://www.ceramics.org.cn,,
高度计,0.008,±0.01 μm,Ra < 0.007 μm,低,3.5,g,中国计量协会,http://www.cma.org.cn,,
超精密电动刀具,0.003,±0.002 μm,Ra < 0.001 μm,高,9.0,g,中国电动工具协会,http://www.ceta.org.cn,,
超精密超声波加工机,0.005,±0.01 μm,Ra < 0.007 μm,高,4.5,g,中国机械系统工程学会,https://www.cmse.org.cn,,
轨道铣床,0.007,±0.02 μm,Ra < 0.012 μm,中,3.2,g,中国汽车工程学会,https://www.sae-china.org,,
高精密冲压机,0.02,±0.03 μm,Ra < 0.006 μm,高,5.5,g,中国工业生产力促进中心,https://www.ipc.org.cn,,
超精密车床,0.004,±0.005 μm,Ra < 0.002 μm,高,7.1,g,中国金属加工协会,https://www.cmpa.org.cn,,
超精密电火花加工机,0.003,±0.01 μm,Ra < 0.009 μm,中,4.2,g,中国高技术产业协会,https://www.chinahightech.com,,
经济型数控机床,0.005,±0.02 μm,Ra < 0.007 μm,中,3.8,g,中国机械制造企业协会,https://www.cmme.org.cn,,
精密成型机,0.008,±0.01 μm,Ra < 0.011 μm,高,6.2,g,中国三维打印技术发展协会,https://www.china3d.org,,
精密切削机,0.002,±0.005 μm,Ra < 0.004 μm,高,8.0,g,中国机床工具行业标准化技术委员会,https://www.cmtc.org.cn,,
激光焊接机,0.009,±0.015 μm,Ra < 0.006 μm,中,5.0,g,中国制造业创新发展联盟,https://www.cmida.org.cn,,
超高精度切削机,0.001,±0.002 μm,Ra < 0.001 μm,高,9.0,g,中国新材料科技发展协会,https://www.cnmta.org.cn,,
超精密层压机,0.006,±0.018 μm,Ra < 0.003 μm,中,5.3,g,中国轻工业协会,https://www.clia.org.cn,,
高强度焊接机,0.008,±0.025 μm,Ra < 0.014 μm,高,4.8,g,中国航天科技集团,https://www.cast.edu.cn,,
精密锯切机,0.012,±0.03 μm,Ra < 0.008 μm,中,3.7,g,中国工程机械协会,https://www.ceca.org.cn,,
超精密光刻机,0.003,±0.007 μm,Ra < 0.002 μm,高,8.6,g,国家半导体产业促进中心,https://www.ncsp.org.cn,,
微米数控铣床,0.002,±0.004 μm,Ra < 0.005 μm,中,5.1,g,中国机械工程学会,https://www.cmes.org.cn,,
精密光纤切割机,0.006,±0.015 μm,Ra < 0.006 μm,高,4.4,g,中国光电技术协会,https://www.copta.org.cn,,
增材制造校准机,0.005,±0.008 μm,Ra < 0.001 μm,中,6.1,g,中国材料研究协会,https://www.cmra.org.cn,,
细水刀切割机,0.012,±0.025 μm,Ra < 0.007 μm,高,4.5,g,中国水切割技术协会,https://www.cwta.org.cn,,
超精密旋转铣床,0.004,±0.003 μm,Ra < 0.006 μm,中,5.5,g,中国制造业升级促进会,http://www.cmuc.org.cn,,
微波激光切割机,0.002,±0.02 μm,Ra < 0.004 μm,低,3.5,g,中国机电产品流通协会,https://www.cmcec.org.cn,,
超精密电加工中心,0.005,±0.004 μm,Ra < 0.003 μm,高,6.5,g,中国电子制造协会,http://www.cema.org.cn,,
纳米级激光刻蚀机,0.001,±0.001 μm,Ra < 0.002 μm,非常高,7.0,g,中国纳米科技协会,https://www.cnano.org.cn,,
精密磨削机,0.007,±0.008 μm,Ra < 0.011 μm,中,4.2,g,中国磨床行业协会,https://www.cgria.org.cn,,
超精密模具机,0.003,±0.002 μm,Ra < 0.009 μm,高,5.0,g,中国塑料模具协会,http://www.cpma.org.cn,,
超精密切割线机,0.013,±0.035 μm,Ra < 0.010 μm,中,3.8,g,中国激光技术协会,http://www.clta.org.cn,,
光刻机,0.001,±0.005 μm,Ra < 0.001 μm,非常高,6.8,g,中国科技部,http://www.most.gov.cn,,
离子雕刻机,0.009,±0.007 μm,Ra < 0.015 μm,中,4.7,g,中国科学技术协会,http://www.cast.org.cn,,
精密切割设备,0.008,±0.006 μm,Ra < 0.012 μm,中,5.2,g,中国切削工具协会,http://www.ctta.org.cn,,
超精密水下切割机,0.006,±0.018 μm,Ra < 0.013 μm,高,5.4,g,中国水下技术协会,https://www.cuwta.org.cn,,
自动化焊接机,0.005,±0.005 μm,Ra < 0.008 μm,中,5.1,g,中国机器人工业促进中心,https://www.cria.org.cn,,
晶圆切割机,0.001,±0.005 μm,Ra < 0.002 μm,高,7.2,g,中国半导体行业协会,http://www.csia.org.cn,,
激光切割机,0.007,±0.015 μm,Ra < 0.011 μm,中,4.0,g,中国工业激光协会,http://www.cila.org.cn,,
超精密丝杆铣床,0.009,±0.020 μm,Ra < 0.010 μm,高,6.0,g,中国机床工业协会,http://www.cmtia.org.cn,,
高精度注塑机,0.008,±0.005 μm,Ra < 0.006 μm,高,5.8,g,中国塑料制品工业协会,http://www.cpia.org.cn,,
超声波切割机,0.014,±0.022 μm,Ra < 0.005 μm,中,4.9,g,中国超声波技术协会,https://www.cust.org.cn,,
超精密磨床,0.005,±0.008 μm,Ra < 0.006 μm,高,6.5,g,中国精密工程技术研究中心,https://www.cptc.org.cn,,
纳米切割机,0.002,±0.005 μm,Ra < 0.002 μm,高,7.0,g,中科院纳米材料研究所,https://www.nano.cas.cn,,
超精密车床,0.004,±0.010 μm,Ra < 0.007 μm,中,4.5,g,全国机床制造业协会,https://www.ncmtia.org.cn,,
智能激光切割机,0.003,±0.012 μm,Ra < 0.005 μm,高,5.5,g,中国智能制造研究院,https://www.cimi.org.cn,,
超精密放电加工机,0.007,±0.008 μm,Ra < 0.008 μm,中,4.8,g,中国电加工机床协会,https://www.cdepa.org.cn,,
超精密成型机,0.0025,±0.006 μm,Ra < 0.004 μm,高,7.5,g,中国塑料机械协会,https://www.cmpia.org.cn,,
超精密铰链加工机,0.006,±0.009 μm,Ra < 0.006 μm,中,5.1,g,中国机械工程学会,https://www.cmes.org.cn,,
超精密激光焊接机,0.005,±0.005 μm,Ra < 0.007 μm,高,6.0,g,中国激光技术协会,https://www.clta.org.cn,,
多功能超精密机床,0.009,±0.012 μm,Ra < 0.011 μm,中,5.4,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
微米级铣床,0.008,±0.007 μm,Ra < 0.009 μm,中,5.8,g,中国微型机械行业协会,http://www.cmic.org.cn,,
自动化激光切割机,0.0045,±0.006 μm,Ra < 0.005 μm,高,6.2,g,中国自动化协会,https://www.ca.org.cn,,
超精密五轴加工中心,0.0035,±0.004 μm,Ra < 0.003 μm,高,7.2,g,中国五轴加工技术研究院,https://www.fiveaxis.org.cn,,
超高速钻孔机,0.0015,±0.003 μm,Ra < 0.002 μm,高,8.0,g,中国高速切削技术协会,https://www.hscutting.org.cn,,
金属陶瓷切削机,0.0065,±0.009 μm,Ra < 0.004 μm,中,5.3,g,中国陶瓷机械协会,https://www.cmta.org.cn,,
超精密光纤切割机,0.0022,±0.007 μm,Ra < 0.003 μm,高,7.1,g,中国光纤技术研究院,https://www.fiberinstitute.org.cn,,
复合材料超精密机床,0.0028,±0.006 μm,Ra < 0.005 μm,中,6.6,g,中国复合材料协会,http://www.cmra.org.cn,,
超精密薄膜沉积机,0.0018,±0.002 μm,Ra < 0.001 μm,高,8.5,g,中国薄膜技术协会,https://www.cmtia.org.cn,,
超精密石材加工机,0.004,±0.005 μm,Ra < 0.008 μm,中,5.7,g,中国石材协会,https://www.chinastone.org.cn,,
电火花精密加工机,0.007,±0.012 μm,Ra < 0.006 μm,高,4.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
纳米级加工中心,0.002,±0.005 μm,Ra < 0.002 μm,高,6.0,g,国家纳米技术研究中心,http://www.nnrc.org.cn,,
超高精密磨床,0.003,±0.008 μm,Ra < 0.003 μm,中,4.2,g,中国机械工程学会,https://www.cmec.org.cn,,
五轴联动加工机,0.005,±0.020 μm,Ra < 0.004 μm,高,5.5,g,中国制造业创新中心,http://www.cmmi.org.cn,,
激光切割机,0.009,±0.025 μm,Ra < 0.007 μm,中,3.8,g,中国激光协会,https://www.clas.org.cn,,
精密铣床,0.007,±0.012 μm,Ra < 0.006 μm,中,4.0,g,中国机床行业协会,http://www.cmtia.org.cn,,
超声波精密加工机,0.004,±0.009 μm,Ra < 0.003 μm,高,5.8,g,中国超声波技术协会,http://www.culsa.org.cn,,
自动化超精密加工中心,0.006,±0.014 μm,Ra < 0.011 μm,高,5.0,g,中国智能制造产业技术创新战略联合体,http://www.cimta.org.cn,,
激光焊接机,0.002,±0.007 μm,Ra < 0.001 μm,高,4.5,g,中国激光焊接技术协会,http://www.clwsa.org.cn,,
水刀切割机 2.0,0.01,±0.020 μm,Ra < 0.008 μm,中,3.2,g,国际水切割技术协会,http://www.wjta.org,,
精密冲床,0.006,±0.015 μm,Ra < 0.005 μm,高,5.3,g,中国冲压设备技术协会,http://www.cpwta.org.cn,,
精密注塑机,0.008,±0.018 μm,Ra < 0.009 μm,中,4.0,g,中国注塑行业协会,http://www.chinaimpa.org,,
气动激光打标机,0.001,±0.003 μm,Ra < 0.002 μm,高,4.2,g,北京激光技术研究中心,http://www.bjlaser.org,,
CNC精密车床,0.003,±0.008 μm,Ra < 0.006 μm,中,5.0,g,中国CNC产业技术发展协会,http://www.cnctia.org.cn,,
超细磨床,0.002,±0.004 μm,Ra < 0.001 μm,高,5.6,g,国际超精密磨削技术论坛,http://www.uptf.org,,
高精度配件加工机,0.009,±0.017 μm,Ra < 0.003 μm,中,3.8,g,中国配件制造技术协会,http://www.cmpra.org.cn,,
自动化切割机,0.005,±0.01 μm,Ra < 0.007 μm,高,4.9,g,中国自动化协会,http://www.caa.org.cn,,
超声波清洗机,0.004,±0.006 μm,Ra < 0.001 μm,高,4.5,g,中国超声波技术协作组织,http://www.uswtc.org.cn,,
钣金加工机,0.006,±0.015 μm,Ra < 0.003 μm,高,5.2,g,中国钣金行业协会,http://www.cbpia.org.cn,,
数控车床,0.02,±0.02 μm,Ra < 0.007 μm,高,4.5,g,中国数控机床行业协会,https://www.cncc.org.cn,,
超精密磨床,0.004,±0.005 μm,Ra < 0.003 μm,中,6.0,g,中国机械工程学会,https://www.cmes.org,,
精密切割机,0.012,±0.02 μm,Ra < 0.006 μm,高,5.5,g,中国高端制造业研究院,https://www.hgmri.org.cn,,
超精密电加工机,0.003,±0.01 μm,Ra < 0.004 μm,高,7.0,g,中国电加工行业协会,https://www.edm.org.cn,,
超精密五轴加工中心,0.005,±0.005 μm,Ra < 0.012 μm,高,6.5,g,中国五轴加工技术委员会,https://www.5axis.org.cn,,
水冷金属打印机,0.02,±0.03 μm,Ra < 0.010 μm,中,4.2,g,中国增材制造产业协会,https://www.camda.org.cn,,
超精密CNC雕刻机,0.007,±0.015 μm,Ra < 0.008 μm,高,5.8,g,中国技术经济研究院,http://www.ctea.org.cn,,
超精密电子束加工机,0.002,±0.005 μm,Ra < 0.002 μm,低,3.5,g,中国高端智能制造协会,https://www.csgi.org.cn,,
超精密摹刻机,0.015,±0.02 μm,Ra < 0.001 μm,中,4.0,g,中国精密加工技术协会,https://www.pmta.org.cn,,
超精密光刻机,0.009,±0.008 μm,Ra < 0.015 μm,高,6.8,g,中国半导体材料与设备协会,https://www.semiconductor.org.cn,,
超精密激光切割机,0.006,±0.012 μm,Ra < 0.005 μm,高,5.9,g,中国光电技术与装备工业协会,https://www.optics.org.cn,,
超高精度三坐标测量机,0.0015,±0.003 μm,Ra < 0.007 μm,中,5.2,g,中国测量与控制技术协会,https://www.cmct.org.cn,,
超精密复合加工机,0.018,±0.007 μm,Ra < 0.009 μm,低,3.8,g,中国复合材料学会,http://www.ccs.org.cn,,
超精密钻石切削机,0.0045,±0.002 μm,Ra < 0.002 μm,高,6.2,g,中国超精密切削技术研究所,https://www.upcutting.org.cn,,
超精密切削装置,0.009,±0.006 μm,Ra < 0.003 μm,中,5.0,g,中国机械制造与材料研究院,https://www.mmi.org.cn,,
高精度压力机,0.011,±0.01 μm,Ra < 0.011 μm,低,2.5,g,中国压力工业协会,https://www.pressure.org.cn,,
四轴乒乓机,0.005,±0.004 μm,Ra < 0.006 μm,中,4.8,g,中国运动器材与设备协会,http://www.sportsmachinery.org.cn,,
数控车床,0.012,±0.025 μm,Ra < 0.007 μm,高,4.5,g,中国数控机床技术协会,https://www.cnctia.org.cn,,
精密磨床,0.005,±0.02 μm,Ra < 0.006 μm,中,3.5,g,中国机床行业协会,https://www.cmtia.org.cn,,
超精密车削机,0.007,±0.018 μm,Ra < 0.004 μm,高,5.0,g,中国机械工程学会,https://www.cmes.org.cn,,
五轴加工中心,0.008,±0.015 μm,Ra < 0.005 μm,高,4.8,g,中国精密仪器及设备促进会,https://www.cihm.org,,
EDM线切割机,0.006,±0.02 μm,Ra < 0.003 μm,中,2.5,g,中国模具工业协会,https://www.cmda.org.cn,,
超精密激光切割机,0.003,±0.008 μm,Ra < 0.002 μm,高,6.2,g,中国激光行业协会,https://www.chinalaser.org,,
高精度铣削机,0.009,±0.01 μm,Ra < 0.007 μm,高,5.5,g,中国高精度制造协会,https://www.chinatolerance.org.cn,,
精密激光扫描仪,0.004,±0.005 μm,Ra < 0.004 μm,中,3.0,g,中国材料研究学会,https://www.chinamat.org,,
自动化生产线,0.002,±0.007 μm,Ra < 0.001 μm,高,7.0,g,中国自动化协会,https://www.caa.org.cn,,
超声波加工机,0.011,±0.012 μm,Ra < 0.009 μm,中,3.7,g,中国机械设计制造协会,https://www.cmdma.org.cn,,
复合材料铣床,0.005,±0.005 μm,Ra < 0.006 μm,高,5.3,g,中国复合材料工业协会,https://www.cmia.org.cn,,
数控激光淬火机,0.006,±0.009 μm,Ra < 0.003 μm,中,4.0,g,中国激光设备制造商协会,https://www.clma.org.cn,,
高精度雕刻机,0.001,±0.006 μm,Ra < 0.008 μm,高,4.2,g,中国精密器械协会,https://www.cipa.org.cn,,
电火花成型机,0.005,±0.014 μm,Ra < 0.010 μm,中,3.8,g,中国电加工协会,https://www.edma.org.cn,,
高效镭射切割机,0.003,±0.005 μm,Ra < 0.002 μm,高,6.8,g,中国工业机器协会,https://www.cmn.org.cn,,
超精密铣加工机,0.007,±0.016 μm,Ra < 0.011 μm,高,5.1,g,中国先进制造技术管理协会,https://www.amtech.org.cn,,
模具加工机,0.009,±0.012 μm,Ra < 0.007 μm,中,4.4,g,中国模具和制造业协会,https://www.mma.org.cn,,
高速电主轴加工机,0.004,±0.004 μm,Ra < 0.005 μm,高,6.5,g,中国高端装备制造行业协会,https://www.hema.org.cn,,
超精密线切割机,0.003,±0.01 μm,Ra < 0.007 μm,高,7.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密电加工机,0.002,±0.005 μm,Ra < 0.004 μm,中,4.5,g,中国电气工程学会,https://www.cee.org.cn,,
