机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注
水射流切割机,0.021,mm,±0.018 mm,Ra 1.6,中,5.5,g,中国水喷射工程技术中心,https://www.wjetc.org.cn,,
分层切割机,0.05,mm,±0.1 mm,Ra 3.8,低,2.2,g,中国制造业协会,https://www.cmi.org.cn,,
相干激光切割机,0.01,mm,±0.005 mm,Ra 2.5,高,6.5,g,中国激光应用协会,https://www.claa.org.cn,,
增材制造切割机,0.07,mm,±0.04 mm,Ra 2.9,高,7.2,g,中国增材制造协会,https://www.amch.org.cn,,
激光雕刻切割机,0.025,mm,±0.01 mm,Ra 1.9,较高,7.0,g,中国雕刻与激光学会,https://www.clgs.org.cn,,
可变波长激光切割机,0.03,mm,±0.02 mm,Ra 2.2,极高,9.5,g,中国多波长技术研究所,https://www.multiwavelength.org.cn,,
水刀精密切割机,0.014,mm,±0.012 mm,Ra 0.6,高,8.0,g,国际精密加工协会,https://www.ipma.org,,
高温超导切割机,0.005,mm,±0.004 mm,Ra 0.3,极高,11.0,g,中国超导技术研究院,https://www.cti.edu.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.9,极高,6.5,g,全国机械行业协会,https://www.nmia.org.cn,,
电火花切割机,0.045,mm,±0.07 mm,Ra 2.5,中,4.0,g,中国科学院,https://www.cas.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 3.8,中,3.5,g,四川省机械工业协会,http://www.scmi.org.cn,,
光纤激光切割机,0.004,mm,±0.005 mm,Ra 0.5,极高,9.0,g,中国激光技术协会,http://www.clta.org.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.0,高,6.8,g,国家水时代技术研究中心,https://www.waterscience.org.cn,,
YAG激光切割机,0.03,mm,±0.025 mm,Ra 2.0,高,5.8,g,全国机械人才中心,http://www.nmtc.org.cn,,
数控火焰切割机,0.11,mm,±0.4 mm,Ra 4.2,中等,1.8,g,中国机械工程协会,http://www.cmes.org.cn,,
光纤激光切割机,0.008,mm,±0.015 mm,Ra 0.7,极高,8.2,g,国际光电科学协会,http://www.optics.org.cn,,
激光水刀切割机,0.015,mm,±0.02 mm,Ra 0.9,高,5.0,g,中国水切割技术协会,http://www.wjcta.org.cn,,
CO2激光切割机,0.038,mm,±0.05 mm,Ra 2.6,中高,3.0,g,中国现代化工程协会,http://www.cime.org.cn,,
机械式电火花切割机,0.055,mm,±0.12 mm,Ra 3.2,较低,2.5,g,中国机械加工协会,https://www.cma.org.cn,,
激光切割机,0.028,mm,±0.02 mm,Ra 1.5,高,7.2,g,中国机械研究总院,https://www.cae.cn,,
水刀切割机,0.022,mm,±0.018 mm,Ra 1.1,高,4.0,g,国家优秀刀具研发中心,http://www.nodc.cn,,
CO2激光切割机,0.05,mm,±0.09 mm,Ra 3.6,中,3.8,g,工业与信息化发展研究院,http://www.iidri.org.cn,,
数控等离子切割机,0.07,mm,±0.15 mm,Ra 3.3,较低,3.2,g,国家机械科学研究院,http://www.nmri.cn,,
光纤激光切割机,0.007,mm,±0.01 mm,Ra 0.6,极高,8.5,g,国际机械数字化技术协会,http://www.imdta.org.cn,,
激光水刀切割机,0.014,mm,±0.012 mm,Ra 1.2,高,4.4,g,中国工程科技论坛,http://www.csetf.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.9,高,6.5,g,中国激光设备制造协会,https://www.clema.org.cn,,
水射流切割机,0.025,mm,±0.04 mm,Ra 2.5,中,4.0,g,中国水射流技术协会,https://www.wjcta.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.3,较高,5.0,g,中国激光行业协会,https://www.clia.org.cn,,
火焰切割机,0.1,mm,±0.1 mm,Ra 5.0,中,3.0,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
数控电火花切割机,0.045,mm,±0.05 mm,Ra 3.5,高,5.5,g,中国国家标准化管理委员会,https://www.sac.gov.cn,,
柔性激光切割机,0.015,mm,±0.02 mm,Ra 1.0,高,7.5,g,国际科学技术组织,https://www.osti.gov,,
超声波切割机,0.03,mm,±0.03 mm,Ra 2.0,中,4.5,g,中国超声波设备制造协会,https://www.chineseus.org.cn,,
激光切割机,0.022,mm,±0.01 mm,Ra 1.5,高,8.0,g,工业和信息化部,https://www.miit.gov.cn,,
等离子弧切割机,0.12,mm,±0.2 mm,Ra 4.2,中,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
激光切割机,0.025,mm,±0.04 mm,Ra 2.6,高,6.2,g,国家科学技术部,https://www.most.gov.cn,,
激光切割机,0.03,mm,±0.02 mm,Ra 1.7,较高,5.8,g,外商投资激光产业协会,https://www.fdi-laser.org,,
水刀切割机,0.02,mm,±0.01 mm,Ra 1.8,中,4.0,g,中国机床工具工业协会,https://www.cmti.com,,
数控等离子切割机,0.1,mm,±0.15 mm,Ra 3.8,较低,2.8,g,中国机械科学研究院,https://www.cimi.org.cn,,
YAG激光切割机,0.028,mm,±0.02 mm,Ra 1.2,高,5.6,g,中国激光产业发展协会,https://www.clia.org.cn,,
电火花切割机,0.05,mm,±0.08 mm,Ra 3.0,中,4.2,g,中国标准化研究院,https://www.sac.gov.cn,,
激光清洗机,0.012,mm,±0.005 mm,Ra 0.5,高,9.0,g,中国能源节约与环保协会,https://www.cesea.org.cn,,
气体切割机,0.06,mm,±0.05 mm,Ra 3.5,较低,3.2,g,中国机床协会,https://www.machine-tools.org.cn,,
光纤激光切割机,0.01,mm,±0.01 mm,Ra 0.9,高,8.0,g,中国光纤激光协会,https://www.fiberlaser.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.9,高,6.5,g,中国工程院,https://www.cae.cn,,
水刀切割机,0.012,mm,±0.012 mm,Ra 0.9,高,9.0,g,水切割技术研究所,https://www.wjtech.org.cn,,
等离子切割机,0.07,mm,±0.15 mm,Ra 3.5,中,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.6,极高,7.5,g,国际激光科技发展中心,https://www.iltdc.org,,
电火花切割机,0.03,mm,±0.05 mm,Ra 2.5,中,3.8,g,中国电力设备管理公司,https://www.cepmc.org.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.1,中,4.2,g,中国激光器协会,https://www.claser.org.cn,,
数控火焰切割机,0.12,mm,±0.4 mm,Ra 5.0,较低,2.8,g,中国数控机床行业协会,https://www.cncma.org.cn,,
激光混合切割机,0.015,mm,±0.02 mm,Ra 1.0,高,8.2,g,中国机械工业联合会,https://www.cmif.org.cn,,
光纤激光切割机,0.004,mm,±0.003 mm,Ra 0.5,极高,10.0,g,国际光电子协会,https://www.iop.org,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.8,高,6.0,g,中国工业和信息化部,https://www.miit.gov.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 4.0,中,3.2,g,中国机械工业研究院,https://www.cmr.org.cn,,
激光水刀切割机,0.014,mm,±0.018 mm,Ra 1.4,高,7.8,g,水切割技术协会,https://www.wjcta.org.cn,,
电火花切割机,0.035,mm,±0.06 mm,Ra 2.7,中,3.9,g,国家电力公司,https://www.sgcc.com.cn,,
CO2激光切割机,0.05,mm,±0.09 mm,Ra 3.1,低,3.1,g,中国激光产业技术创新战略联盟,https://www.clic.org.cn,,
光纤激光切割机,0.011,mm,±0.01 mm,Ra 0.7,高,8.5,g,中国激光技术研究中心,https://www.cltc.org.cn,,
数控火焰切割机,0.11,mm,±0.35 mm,Ra 4.7,中,2.7,g,中国机床购销批发市场,https://www.cmrc.org.cn,,
激光水刀切割机,0.017,mm,±0.014 mm,Ra 0.85,高,4.2,g,中国水射流设备制造协会,https://www.cwjia.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,中,4.0,g,中国机床工具工业协会,https://www.cmmt.org.cn,,
等离子切割机,0.12,mm,±0.2 mm,Ra 4.0,较低,2.5,g,中国电力设备管理协会,https://www.cema.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.8,高,5.5,g,国际激光技术研究所,https://www.ilri.org,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.6,高,8.5,g,德国激光技术协会,https://www.laser.org,,
水刀切割机,0.015,mm,±0.01 mm,Ra 1.0,高,6.0,g,中国水射流工业协会,https://www.waterjet.org.cn,,
数控火焰切割机,0.1,mm,±0.3 mm,Ra 4.2,中,2.3,g,中国金属加工协会,https://www.cmca.org.cn,,
激光水刀切割机,0.02,mm,±0.018 mm,Ra 1.5,中,4.0,g,国家能源局,https://www.nea.gov.cn,,
激光切割机,0.03,mm,±0.04 mm,Ra 2.4,中,3.8,g,中国机械工业联合会,https://www.cmif.org.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 3.2,低,2.1,g,中国国家标准局,https://www.sac.gov.cn,,
高频激光切割机,0.02,mm,±0.02 mm,Ra 1.1,高,5.2,g,中国激光光电子学会,https://www.clpe.org.cn,,
激光切割机,0.04,mm,±0.05 mm,Ra 2.9,中,3.6,g,中国机械工程协会,https://www.cmes.org.cn,,
等离子切割机,0.15,mm,±0.4 mm,Ra 5.0,较低,1.8,g,国际机械工程师学会,https://www.asme.org,,
YAG激光切割机,0.025,mm,±0.03 mm,Ra 2.0,高,5.0,g,美国激光协会,https://www.laserinstitute.org,,
激光电火花切割机,0.07,mm,±0.1 mm,Ra 3.5,中,3.2,g,日本机械工业会,https://www.jmtba.or.jp,,
数控等离子切割机,0.1,mm,±0.25 mm,Ra 4.1,中,2.4,g,欧洲机械协会,https://www.cems.org,,
光纤激光切割机,0.01,mm,±0.01 mm,Ra 0.7,高,6.5,g,国际自动化协会,https://www.automation.com,,
激光水刀切割机,0.009,mm,±0.008 mm,Ra 0.9,高,7.0,g,全球激光应用研究会,https://www.global-laser.org,,
焊接切割机,0.06,mm,±0.05 mm,Ra 1.5,中,4.0,g,中国工业技术研究院,https://www.citi.org.cn,,
光学切割机,0.012,mm,±0.008 mm,Ra 0.5,高,6.5,g,国家光电技术研究院,https://www.optics.gov.cn,,
数控激光切割机,0.02,mm,±0.02 mm,Ra 0.7,高,7.5,g,中国数控机床协会,https://www.cncm.org.cn,,
热等离子体切割机,0.15,mm,±0.35 mm,Ra 4.0,中,2.5,g,中国等离子体技术研究中心,https://www.plasmatech.org.cn,,
组合激光切割机,0.03,mm,±0.025 mm,Ra 1.0,高,8.0,g,国际机械制造协会,https://www.imma.org.cn,,
水刀切割机,0.02,mm,±0.01 mm,Ra 1.1,中,3.5,g,中国水刀技术协会,https://www.wjcta.org.cn,,
便携式激光切割机,0.05,mm,±0.1 mm,Ra 2.5,较低,4.2,g,中国移动工具协会,https://www.cmta.org.cn,,
气体切割机,0.1,mm,±0.15 mm,Ra 3.5,中,2.8,g,中国焊接协会,https://www.cwa.org.cn,,
高功率激光切割机,0.02,mm,±0.015 mm,Ra 0.9,高,9.0,g,国家制造业创新中心,https://www.manufacturing.gov.cn,,
LCD显示屏切割机,0.008,mm,±0.005 mm,Ra 0.3,高,5.5,g,中国电子技术标准化研究院,https://www.etri.org.cn,,
高精度数控切割机,0.01,mm,±0.006 mm,Ra 0.6,高,7.2,g,中国机械监督管理局,https://www.cqm.org.cn,,
多功能激光切割机,0.04,mm,±0.075 mm,Ra 2.2,高,6.0,g,中国激光工业联合会,https://www.clia.org.cn,,
铝合金切割机,0.09,mm,±0.12 mm,Ra 3.0,中,3.2,g,中国铝业协会,https://www.chinalu.org.cn,,
环保激光切割机,0.03,mm,±0.018 mm,Ra 0.8,高,5.8,g,国家环境保护部,https://www.mee.gov.cn,,
超高速切割机,0.015,mm,±0.012 mm,Ra 0.5,高,9.8,g,中国超高速制造研究院,https://www.cdhm.org.cn,,
智能激光切割机,0.022,mm,±0.02 mm,Ra 1.4,中,4.0,g,中国智能装备产业技术创新战略联盟,https://www.cziit.org.cn,,
激光小型切割机,0.05,mm,±0.03 mm,Ra 1.6,中,4.8,g,中国微型机械协会,https://www.cmm.org.cn,,
YAG激光切割机,0.027,mm,±0.02 mm,Ra 1.9,高,5.5,g,中国激光制造行业协会,https://www.clmia.org.cn,,
电火花切割机,0.045,mm,±0.1 mm,Ra 3.2,中,4.0,g,中国电气工程学会,https://www.ceesi.org.cn,,
气体切割机,0.09,mm,±0.2 mm,Ra 5.4,中,2.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
光纤激光切割机,0.006,mm,±0.005 mm,Ra 0.7,高,7.5,g,国际激光行业协会,https://www.ila.org,,
激光水刀切割机,0.012,mm,±0.018 mm,Ra 1.4,高,8.5,g,中国水切割技术协会,https://www.wjcta.org.cn,,
CO2激光切割机,0.03,mm,±0.07 mm,Ra 2.5,中,3.8,g,中国科学院,https://www.cas.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 4.0,中,2.2,g,中国机械工程协会,https://www.cmes.org,,
数控火焰切割机,0.07,mm,±0.15 mm,Ra 3.5,中,3.0,g,中国产业研究院,https://www.ciiir.com,,
激光焊接切割机,0.01,mm,±0.012 mm,Ra 1.0,高,6.0,g,中国焊接协会,https://www.cwa.org.cn,,
YAG激光被切割机,0.022,mm,±0.02 mm,Ra 2.0,高,5.2,g,中国激光加工行业协会,https://www.clpai.org.cn,,
激光震动切割机,0.02,mm,±0.015 mm,Ra 1.5,高,7.2,g,中国机械制造工程研究院,https://www.cme.org.cn,,
电子束切割机,0.005,mm,±0.01 mm,Ra 0.6,高,8.0,g,中国高能物理研究院,https://www.ihep.ac.cn,,
剪切机,0.3,mm,±0.5 mm,Ra 6.0,较低,1.5,g,中国金属加工协会,https://www.cmma.org.cn,,
水刀切割机,0.015,mm,±0.01 mm,Ra 1.1,高,7.0,g,中国现代制造技术研究院,https://www.mmtai.org.cn,,
气体激光切割机,0.02,mm,±0.02 mm,Ra 1.8,高,5.8,g,国际激光研究组织,https://www.ilro.org,,
光纤水冲切割机,0.011,mm,±0.015 mm,Ra 2.1,高,6.2,g,水射流农业机械协会,https://www.wjam.org.cn,,
精密切割机,0.009,mm,±0.008 mm,Ra 0.5,超高,9.0,g,中国精密机械工程协会,https://www.cpme.org.cn,,
油压切割机,0.1,mm,±0.2 mm,Ra 4.8,中,2.1,g,中国工程机械科学研究院,https://www.cmesri.com,,
激光切割机,0.03,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国激光工业协会,https://www.clia.org.cn,,
数控等离子切割机,0.08,mm,±0.2 mm,Ra 3.5,中,4.0,g,机械工业部,https://www.miit.gov.cn,,
水刀切割机,0.02,mm,±0.01 mm,Ra 1.0,高,7.0,g,中国水利部,https://www.mwr.gov.cn,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.6,极高,8.5,g,国际激光协会,https://www.ilta.org,,
YAG激光切割机,0.028,mm,±0.03 mm,Ra 2.0,高,5.5,g,中国科学院,https://www.cas.cn,,
电火花切割机,0.06,mm,±0.1 mm,Ra 3.2,中,3.5,g,中国标准化研究院,https://www.sac.gov.cn,,
机器人切割机,0.025,mm,±0.015 mm,Ra 1.1,高,9.0,g,工业和信息化部,https://www.miit.gov.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.6,中,3.2,g,中国机械工程协会,https://www.cmes.org.cn,,
激光水刀切割机,0.012,mm,±0.018 mm,Ra 1.4,高,6.2,g,中国切削工具协会,https://www.ctiis.org.cn,,
数控火焰切割机,0.09,mm,±0.25 mm,Ra 4.1,中,2.5,g,中国机械文章编委会,https://www.cmii.org.cn,,
等离子切割机,0.15,mm,±0.3 mm,Ra 4.8,较低,1.5,g,中国制造业协会,https://www.cmi.org.cn,,
高功率激光切割机,0.02,mm,±0.005 mm,Ra 0.9,高,7.5,g,中国激光技术研究院,https://www.clta.org.cn,,
精密电火花切割机,0.04,mm,±0.04 mm,Ra 2.5,中,4.8,g,中国精密工程协会,https://www.cmems.org.cn,,
数字切割机,0.03,mm,±0.02 mm,Ra 1.8,高,5.0,g,中国电子商务协会,https://www.ceba.org.cn,,
高性能激光切割机,0.01,mm,±0.006 mm,Ra 0.7,极高,8.0,g,国际金属切割协会,https://www.imca.org,,
自动化水切割机,0.015,mm,±0.012 mm,Ra 1.9,高,6.8,g,中国机床工具总公司,https://www.cmtc.org.cn,,
多功能切割机,0.05,mm,±0.1 mm,Ra 2.3,中,4.0,g,中国机械工程协会,https://www.cmes.org.cn,,
激光雕刻机,0.008,mm,±0.005 mm,Ra 0.5,极高,9.0,g,中国雕刻加工研究所,https://www.cari.org.cn,,
激光切割机,0.032,mm,±0.02 mm,Ra 1.5,高,6.0,g,中国制造业协会,https://www.cmi.org.cn,,
电火花切割机,0.06,mm,±0.15 mm,Ra 3.2,中,4.0,g,中国电机工程学会,https://www.csee.org.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,低,2.5,g,中国机械行业联合会,https://www.cmif.org.cn,,
光纤激光切割机,0.004,mm,±0.005 mm,Ra 0.6,高,9.0,g,中国激光工业协会,https://www.clia.org.cn,,
CO2激光切割机,0.03,mm,±0.07 mm,Ra 2.5,中,4.8,g,中国科学技术协会,https://www.cast.org.cn,,
激光水刀切割机,0.015,mm,±0.02 mm,Ra 0.9,高,5.5,g,中国机械工程院,https://www.cae.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.9,中,6.5,g,工业和信息化部,https://www.miit.gov.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 4.2,中,3.5,g,中国自动化学会,https://www.caa.org.cn,,
高速激光切割机,0.008,mm,±0.012 mm,Ra 0.7,高,10.0,g,深圳市激光技术协会,https://www.sztia.org.cn,,
低功率CO2激光切割机,0.035,mm,±0.06 mm,Ra 2.0,中,4.3,g,中国机电一体化技术应用协会,https://www.cmtia.org,,
便携式激光切割机,0.03,mm,±0.05 mm,Ra 3.5,低,2.0,g,中国便携设备产业协会,https://www.chinaportable.org,,
半导体激光切割机,0.01,mm,±0.008 mm,Ra 1.0,高,7.5,g,国际半导体设备与材料产业协会,https://www.semi.org,,
超高清激光切割机,0.002,mm,±0.003 mm,Ra 0.4,高,8.0,g,中国超精密加工技术研究中心,https://www.upmtc.org.cn,,
桌面激光切割机,0.05,mm,±0.1 mm,Ra 2.3,中,3.8,g,中国小型机床协会,https://www.cmta.org.cn,,
工业级CO2激光切割机,0.028,mm,±0.04 mm,Ra 2.1,高,5.2,g,中国激光装备技术协会,https://www.lasertech.cn,,
小型电火花切割机,0.07,mm,±0.1 mm,Ra 3.4,中,4.0,g,全国机床工具质量监督检验中心,https://www.sqjljy.org.cn,,
镭射切割机,0.02,mm,±0.012 mm,Ra 1.8,高,6.8,g,国家制造业发展研究中心,https://www.nmdrc.org.cn,,
微型激光切割机,0.009,mm,±0.009 mm,Ra 0.5,高,7.2,g,中国微型机床研究院,https://www.mimei.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.5,中,6.0,g,中国激光设备制造协会,https://www.cldsa.org.cn,,
电火花切割机,0.06,mm,±0.15 mm,Ra 3.5,低,4.0,g,中国机械工程学会,https://www.cmes.org.cn,,
等离子切割机,0.12,mm,±0.30 mm,Ra 5.0,中,1.5,g,中国机械工业联合会,https://www.cmif.com.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.6,高,9.0,g,国际激光应用和技术协会,https://www.ilta.org,,
激光水刀切割机,0.012,mm,±0.010 mm,Ra 1.0,高,7.5,g,中国水切割技术研究中心,https://www.wjcta.org.cn,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 3.2,中,3.0,g,中国科学技术协会,https://www.cast.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 4.5,低,2.5,g,中国重型机械协会,https://www.chinaheavyindustry.com,,
电解切割机,0.035,mm,±0.05 mm,Ra 2.0,高,6.5,g,中国电解加工协会,https://www.electrolytic.org.cn,,
超声切割机,0.045,mm,±0.07 mm,Ra 2.5,中,4.7,g,超声波切割技术研究会,https://www.ultrasonics.org.cn,,
激光切片机,0.022,mm,±0.01 mm,Ra 1.7,高,8.5,g,中国高新技术产业协会,https://www.hitech.org.cn,,
高压水刀切割机,0.01,mm,±0.02 mm,Ra 0.9,高,5.0,g,中国高压流体协会,https://www.chpfa.org.cn,,
相变激光切割机,0.015,mm,±0.04 mm,Ra 1.1,中,3.8,g,中国激光科技发展研究中心,https://www.cltdc.org.cn,,
混合切割机,0.027,mm,±0.03 mm,Ra 2.4,高,6.2,g,中国混合技术协会,https://www.combinedtech.org.cn,,
多功能切割机,0.05,mm,±0.05 mm,Ra 3.0,中,4.0,g,中央机械设备研究院,https://www.cmri.cn,,
机器人激光切割机,0.026,mm,±0.015 mm,Ra 1.4,高,5.5,g,国家机器人技术研发中心,https://www.nrc.org.cn,,
激光焊接切割一体机,0.02,mm,±0.02 mm,Ra 1.8,高,7.2,g,中国焊接工业协会,https://www.cwa.org.cn,,
刀具激光切割机,0.038,mm,±0.06 mm,Ra 2.3,中,4.5,g,中国刀具工业协会,https://www.ctiis.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.8,中,6.5,g,西安交通大学,https://www.xjtu.edu.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 2.5,低,2.8,g,中国电工装备工业协会,https://www.ceeia.org.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 3.4,中,3.5,g,中国机械工业协会,https://www.cmia.org.cn,,
光纤激光切割机,0.004,mm,±0.005 mm,Ra 0.6,高,9.0,g,科技部,https://www.most.gov.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.0,高,7.5,g,中国水刀技术协会,https://www.wjcta.org.cn,,
CO2激光切割机,0.038,mm,±0.07 mm,Ra 2.1,中,4.0,g,中国激光行业资讯网,https://www.clia.org.cn,,
YAG激光切割机,0.02,mm,±0.015 mm,Ra 1.5,高,8.0,g,中国新材料产业技术创新战略联盟,https://www.nmii.org.cn,,
数控火焰切割机,0.08,mm,±0.15 mm,Ra 3.8,中,2.5,g,工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.016,mm,±0.02 mm,Ra 1.1,高,6.5,g,中国光电技术协会,https://www.copta.org.cn,,
激光水刀切割机,0.014,mm,±0.013 mm,Ra 1.2,高,5.5,g,中国刀具竞争力研究中心,https://www.ctiis.org.cn,,
CO2激光切割机,0.042,mm,±0.05 mm,Ra 3.1,中,4.8,g,中国计算机应用协会,https://www.ccsia.org.cn,,
YAG激光切割机,0.026,mm,±0.025 mm,Ra 2.6,高,6.8,g,国家标准化管理委员会,https://www.sac.gov.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 2.9,低,3.2,g,中国电机工程学会,https://www.csee.org.cn,,
等离子切割机,0.085,mm,±0.25 mm,Ra 4.1,中,3.0,g,中国物理学会,https://www.cps.org.cn,,
光纤激光切割机,0.008,mm,±0.012 mm,Ra 0.9,高,8.5,g,中国光电学会,https://www.optics.cn,,
激光水刀切割机,0.017,mm,±0.018 mm,Ra 1.4,高,5.2,g,中国机械设计协会,https://www.cmas.org.cn,,
CO2激光切割机,0.041,mm,±0.06 mm,Ra 2.3,中,4.3,g,中国科学技术协会,https://www.cast.org.cn,,
光纤激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国机械工具协会,https://www.cmta.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 3.5,中,4.0,g,中国电焊行业协会,https://www.chinawelding.org.cn,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 2.5,中,3.0,g,中国工程机械协会,https://www.ceca.org.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.5,高,5.1,g,中国激光产业发展协会,https://www.clida.org.cn,,
电火花切割机,0.045,mm,±0.09 mm,Ra 2.9,较低,3.2,g,中国机械设计协会,https://www.cmda.org.cn,,
激光水刀切割机,0.008,mm,±0.012 mm,Ra 0.6,高,9.0,g,中国环境保护产业协会,https://www.epia.org.cn,,
数控火焰切割机,0.1,mm,±0.3 mm,Ra 4.1,中,2.5,g,中国焊接协会,https://www.welding.net.cn,,
光纤激光切割机,0.018,mm,±0.015 mm,Ra 0.9,高,7.5,g,全国机械制造业统计局,https://www.nbs.gov.cn,,
电火花切割机,0.055,mm,±0.11 mm,Ra 3.2,中,3.8,g,中国工信部,https://www.miit.gov.cn,,
等离子切割机,0.095,mm,±0.3 mm,Ra 4.0,低,2.2,g,工业和信息化部,https://www.miit.gov.cn,,
激光水刀切割机,0.005,mm,±0.008 mm,Ra 0.7,高,10.0,g,中国切削刀具市场协会,https://www.ccms.org.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.4,中,3.9,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.8,高,6.8,g,中国机械制造工业协会,https://www.cmia.org.cn,,
数控火焰切割机,0.09,mm,±0.25 mm,Ra 4.3,低,2.0,g,中国资产评估协会,https://www.caa.org.cn,,
光纤激光切割机,0.014,mm,±0.02 mm,Ra 1.1,高,7.2,g,中国质量认证中心,https://www.ccic.com.cn,,
激光水刀切割机,0.003,mm,±0.005 mm,Ra 0.4,高,11.0,g,中国水利部长江水利委员会,https://www.cjw.gov.cn,,
激光切割机械,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,北京工业大学,https://www.bjut.edu.cn,,
等离子切割机,0.07,mm,±0.2 mm,Ra 3.5,中,4.0,g,中国电气装备工业协会,https://www.ceia.org.cn,,
纤维激光切割机,0.006,mm,±0.005 mm,Ra 0.6,极高,9.0,g,国际激光协会,https://www.international-laser-association.org,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.5,高,5.5,g,电子科技大学,https://www.uestc.edu.cn,,
数控火焰切割机,0.1,mm,±0.3 mm,Ra 3.0,中,3.2,g,中国机械投资有限公司,https://www.china-machine.com,,
激光水刀切割机,0.015,mm,±0.012 mm,Ra 1.9,高,7.5,g,中国高端装备产业研究院,https://www.ceeai.org.cn,,
CO2激光切割机,0.035,mm,±0.06 mm,Ra 2.1,中,4.2,g,中国激光制造工程技术研究中心,https://www.clmt.org.cn,,
高频细切割机,0.008,mm,±0.02 mm,Ra 1.1,高,6.8,g,中国机床工具工业协会,https://www.ctia.org.cn,,
数控等离子切割机,0.09,mm,±0.2 mm,Ra 3.8,中,4.1,g,中国制造业协会,https://www.cma.org.cn,,
精密光束切割机,0.004,mm,±0.003 mm,Ra 0.5,极高,10.0,g,清华大学机械工程系,https://www.me.tsinghua.edu.cn,,
立式激光切割机,0.022,mm,±0.015 mm,Ra 1.4,高,5.2,g,国家机械工业局,https://www.mii.gov.cn,,
火焰切割机,0.1,mm,±0.5 mm,Ra 4.0,低,2.5,g,中国科学院自动化研究所,https://www.ia.cas.cn,,
超声波切割机,0.03,mm,±0.02 mm,Ra 1.8,中,3.8,g,中国市场研究中心,https://www.cnresearch.org,,
雷射切割机,0.019,mm,±0.016 mm,Ra 1.6,高,7.8,g,中国精密仪器协会,https://www.cpm.org.cn,,
铣削激光组合切割机,0.013,mm,±0.01 mm,Ra 0.9,高,6.2,g,中国金属材料研究所,https://www.cmri.org.cn,,
便携式激光切割机,0.05,mm,±0.1 mm,Ra 2.5,中,4.7,g,全球激光技术咨询网,https://www.global-lasercutting.org,,
硬质合金切割机,0.02,mm,±0.02 mm,Ra 1.7,高,5.9,g,中国金属切割机床协会,https://www.cmwma.org.cn,,
光纤激光切割机,0.006,mm,±0.01 mm,Ra 0.7,高,6.5,g,国家科技发展局,https://www.nstc.gov.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,中,4.0,g,中国电子行业协会,https://www.ceisa.org.cn,,
