可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,,,,,,,备注【疑问汇总】
智能光计算网络,光计算,2,2023-10-01,郑州信息技术研究院,审核中,2023-10-02,待定,郑州信息技术研究院,智能分析模块,郑州信息技术研究院,VLC-019-2024,电子教育,智能家居,高级型,V1.1,郑州市科技局,http://zzkj.gov.cn/,2024-10-17,,,,,,,,,,
可见光数据传输系统,光通信,1,2023-08-25,成都数字科技公司,已完成,2023-08-26,合格,成都数字科技公司,高速信号传输模块,成都数字科技公司,VLC-023-2024,计算机技术,无,标准型,V2.0,成都市科技局,http://cdkj.gov.cn/,2024-10-17,,,,,,,,,,
智能光信号处理系统,光计算,2,2023-09-20,西安光电通信技术研究院,审核中,2023-09-21,待定,西安光电通信技术研究院,数据加密单元,西安光电通信技术研究院,VLC-029-2024,网络通信,信息安全,高级型,V1.2,西安市科技局,http://xaqj.gov.cn/,2024-10-17,,,,,,,,,,
城市可见光环境监测系统,光网络,3,2023-10-15,天津环境保护公司,已完成,2023-10-16,合格,天津环境保护公司,环境监测模块,天津环境保护公司,VLC-034-2024,企业服务,环境监测,标准型,V1.0,天津市科技局,http://tjqj.gov.cn/,2024-10-17,,,,,,,,,,
光声信号处理系统,光计算,2,2023-11-05,南京光电科技有限公司,审核中,2023-11-06,待定,南京光电科技有限公司,信号采集单元,南京光电科技有限公司,VLC-040-2024,教育研究,声学信号处理,高级型,V2.1,南京市科技局,http://njkj.gov.cn/,2024-10-17,,,,,,,,,,
动态可见光覆盖系统,光网络,3,2023-12-10,武汉智能网络公司,已完成,2023-12-11,合格,武汉智能网络公司,动态覆盖单元,武汉智能网络公司,VLC-048-2024,交通监控,无,标准型,V1.0,武汉市科技局,http://whkj.gov.cn/,2024-10-17,,,,,,,,,,
区块链可见光通信系统,光通信,1,2023-12-20,青岛区块链技术公司,审核中,2023-12-21,待定,青岛区块链技术公司,区块链透明单元,青岛区块链技术公司,VLC-003-2024,计算机视觉,无,高级型,V2.2,青岛市科技局,http://qd.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络优化系统,光网络,2,2023-09-01,杭州光电科技有限公司,审核中,2023-09-02,待定,杭州光电科技有限公司,光网络管理模块,杭州光电科技有限公司,VLC-007-2024,物联网技术,无,标准型,V1.0,互联网科技发展研究中心,http://ictdevelopment.org/,2024-10-17,,,,,,,,,,
智能家居可见光通信系统,光通信,1,2023-09-10,苏州智能家居有限公司,已完成,2023-09-11,合格,苏州智能家居有限公司,光信号传输模块,苏州智能家居有限公司,VLC-012-2024,监控技术,无,基础型,V1.0,国家智能家居产业技术创新战略联盟,http://smart-home.org/,2024-10-17,,,,,,,,,,
高效光信号处理系统,光计算,2,2023-09-20,上海光计算科技有限公司,审核中,2023-09-21,待定,上海光计算科技有限公司,数据分析单元,上海光计算科技有限公司,VLC-015-2024,云计算,无,高级型,V2.0,能源与信息技术研究所,http://energyit.org/,2024-10-17,,,,,,,,,,
条形码光通信扫描系统,光通信,1,2023-10-01,成都条形码科技有限公司,已完成,2023-10-02,合格,成都条形码科技有限公司,扫描与解码模块,成都条形码科技有限公司,VLC-019-2024,物流与仓储,无,标准型,V1.0,全国物流科技网,http://logistics-tech.org/,2024-10-17,,,,,,,,,,
高速数据光传输系统,光通信,1,2023-10-05,武汉光电技术有限公司,已完成,2023-10-06,合格,武汉光电技术有限公司,光传输性能模块,武汉光电技术有限公司,VLC-023-2024,计算网络,无,标准型,V1.0,湖北省科技创新局,http://hubeiscience.org/,2024-10-17,,,,,,,,,,
综合性光计算评估系统,光计算,2,2023-10-15,西安光电研究院,审核中,2023-10-16,待定,西安光电研究院,综合评估平台,西安光电研究院,VLC-029-2024,评估管理,无,高级型,V2.0,西部光电发展协会,http://westphotonic.org/,2024-10-17,,,,,,,,,,
无线电可见光通信系统,光通信,1,2023-10-20,郑州无线电技术研发中心,已完成,2023-10-21,合格,郑州无线电技术研发中心,信号接收与解码模块,郑州无线电技术研发中心,VLC-034-2024,传输技术,无,标准型,V1.0,河南省通信管理局,http://henancomm.org/,2024-10-17,,,,,,,,,,
超短光脉冲通信系统,光通信,1,2023-10-25,深圳高速光通信公司,审核中,2023-10-26,待定,深圳高速光通信公司,脉冲生成器模块,深圳高速光通信公司,VLC-038-2024,电信通讯,无,高级型,V2.0,全国信息与通信研究院,http://nitc.org/,2024-10-17,,,,,,,,,,
量子通信可见光网络,光网络,3,2023-10-30,南京量子科技有限公司,审核中,2023-10-31,待定,南京量子科技有限公司,量子密钥分发模块,南京量子科技有限公司,VLC-042-2024,量子通信,无,高级型,V2.1,江苏省科技局,http://jiangscience.org/,2024-10-17,,,,,,,,,,
自适应光网络系统,光通信,2,2023-09-05,成都光电信息公司,已完成,2023-09-06,合格,成都光电信息公司,自适应调节模块,成都光电信息公司,VLC-003-2024,交通管理,无,标准型,V1.0,成都市科技局,http://hubeiscience.org/,2024-10-17,,,,,,,,,,
高效光处理系统,光计算,1,2023-08-25,武汉光电研发中心,审核中,2023-08-26,待定,武汉光电研发中心,光处理器,武汉光电研发中心,VLC-007-2024,远程通信,无,高级型,V2.0,武汉市科技局,http://westphotonic.org/,2024-10-17,,,,,,,,,,
稳定多信道光设备,光网络,3,2023-07-30,重庆光科技公司,已完成,2023-07-31,合格,重庆光科技公司,多信道模块,重庆光科技公司,VLC-012-2024,电子教育,无,标准型,V1.2,重庆市光电行业协会,http://henancomm.org/,2024-10-17,,,,,,,,,,
引导式光通信系统,光通信,1,2023-10-01,沈阳光电有限公司,待审核,2023-10-02,待定,沈阳光电有限公司,导向模块,沈阳光电有限公司,VLC-015-2024,计算机技术,无,初级型,V1.0,沈阳科技创新平台,http://nitc.org/,2024-10-17,,,,,,,,,,
可自适应光计算平台,光计算,2,2023-08-15,天津光电子工程院,已完成,2023-08-16,合格,天津光电子工程院,自适应处理单元,天津光电子工程院,VLC-021-2024,网络通信,无,高级型,V2.1,天津市科技局,http://jiangscience.org/,2024-10-17,,,,,,,,,,
可调节光频通信设备,光通信,1,2023-09-10,合肥光网络技术公司,审核中,2023-09-11,待定,合肥光网络技术公司,调节单元,合肥光网络技术公司,VLC-026-2024,企业服务,无,标准型,V1.0,合肥市科学技术局,http://hubeiscience.org/,2024-10-17,,,,,,,,,,
智能光信号传输系统,光网络,3,2023-06-18,南京先进技术研究院,已完成,2023-06-19,合格,南京先进技术研究院,信号优化模块,南京先进技术研究院,VLC-030-2024,教育研究,无,标准型,V1.0,南京市科技局,http://westphotonic.org/,2024-10-17,,,,,,,,,,
光纤调制技术系统,光通信,2,2023-09-25,青岛光电设备有限公司,审核中,2023-09-26,待定,青岛光电设备有限公司,调制技术单元,青岛光电设备有限公司,VLC-034-2024,交通监控,无,高级型,V2.0,青岛市技术创新局,http://henancomm.org/,2024-10-17,,,,,,,,,,
高频光波导系统,光计算,1,2023-08-05,深圳光电股份有限公司,已完成,2023-08-06,合格,深圳光电股份有限公司,光波导模块,深圳光电股份有限公司,VLC-041-2024,计算机视觉,无,标准型,V1.0,深圳市经济与信息化局,http://nitc.org/,2024-10-17,,,,,,,,,,
超高速可见光传输系统,光通信,1,2023-09-05,杭州光信科技有限公司,已完成,2023-09-06,合格,杭州光信科技有限公司,激光发射器与高灵敏接收器,杭州光信科技有限公司,VLC-047-2024,物联网技术,无,标准型,V1.0,浙江省科技局,http://zjkj.gov.cn/,2024-10-17,,,,,,,,,,
智能城市可见光网络系统,光网络,2,2023-08-25,西安光电科技有限公司,审核中,2023-08-26,待定,西安光电科技有限公司,智能监控模块,西安光电科技有限公司,VLC-005-2024,监控技术,无,高级型,V2.0,陕西省科技管理局,http://sxtjd.gov.cn/,2024-10-17,,,,,,,,,,
城市公共照明智能系统,光通信,1,2023-07-30,上海智通电子科技有限公司,已完成,2023-08-01,合格,上海智通电子科技有限公司,LED光源与遥控模块,上海智通电子科技有限公司,VLC-012-2024,云计算,无,标准型,V1.0,国家能源局,http://nea.gov.cn/,2024-10-17,,,,,,,,,,
高速光计算平台,光计算,2,2023-06-30,武汉光窝科技有限公司,审核中,2023-07-01,待定,武汉光窝科技有限公司,光学数据处理单元,武汉光窝科技有限公司,VLC-018-2024,机器学习,无,高级型,V2.1,湖北省科技厅,http://hubeikj.gov.cn/,2024-10-17,,,,,,,,,,
光有线基础设施联络系统,光网络,3,2023-08-20,天津光信网络技术有限公司,已完成,2023-08-21,合格,天津光信网络技术有限公司,光纤连接模块,天津光信网络技术有限公司,VLC-024-2024,计算机网络,无,标准型,V1.0,天津市信息产业部门,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
可见光增强现实传输工具,光通信,1,2023-09-01,成都未来光科技有限公司,已完成,2023-09-02,合格,成都未来光科技有限公司,AR光信号传输模块,成都未来光科技有限公司,VLC-033-2024,以AR/VR为主的技术,无,标准型,V1.0,四川省科技管理局,http://sc.gov.cn/,2024-10-17,,,,,,,,,,
智能照明可见光网络系统,光网络,3,2023-08-12,广州光能科技有限公司,审核中,2023-08-13,待定,广州光能科技有限公司,智能照明设备模块,广州光能科技有限公司,VLC-045-2024,绿色照明,无,高级型,V2.0,广东省科技创新局,http://gdstc.gov.cn/,2024-10-17,,,,,,,,,,
新型可见光数据传输平台,光计算,2,2023-09-10,合肥光电产业公司,已完成,2023-09-11,合格,合肥光电产业公司,多光束数据处理单元,合肥光电产业公司,VLC-056-2024,现代网络技术,无,高级型,V2.1,安徽省科技厅,http://ah.gov.cn/,2024-10-17,,,,,,,,,,
光信号安全检测系统,光网络,3,2023-09-22,南京光信安全科技公司,审核中,2023-09-23,待定,南京光信安全科技公司,安全监测模块,南京光信安全科技公司,VLC-067-2024,交通管理,无,标准型,V1.0,江苏省科技厅,http://js.gov.cn/,2024-10-17,,,,,,,,,,
多光波长传输系统,光通信,1,2023-09-01,杭州波长科技有限公司,已完成,2023-09-02,合格,杭州波长科技有限公司,多波长发射模块,杭州波长科技有限公司,VLC-078-2024,远程通信,无,标准型,V1.0,杭州市科技服务平台,http:// HangzhouTech.gov.cn/,2024-10-17,,,,,,,,,,
智能光学数据传输平台,光计算,2,2023-09-10,南京光电企业,审核中,2023-09-11,待定,南京光电企业,数据处理核心,南京光电企业,VLC-089-2024,电子教育,无,高级型,V2.0,中国光电技术研究网,http://www.opticaltech.cn/,2024-10-17,,,,,,,,,,
新型光纤通信系统,光通信,1,2023-09-15,成都新光科技有限公司,已完成,2023-09-16,合格,成都新光科技有限公司,光纤接入模块,成都新光科技有限公司,VLC-012-2024,计算机技术,无,标准型,V1.1,成都市科技创新局,http://www.cdstc.gov.cn/,2024-10-17,,,,,,,,,,
可视光交互系统,光通信,1,2023-10-01,苏州光通科技有限公司,已完成,2023-10-02,合格,苏州光通科技有限公司,交互控制模块,苏州光通科技有限公司,VLC-045-2024,网络通信,无,标准型,V1.0,苏州市科技服务网,http://www.suzhoutech.gov.cn/,2024-10-17,,,,,,,,,,
基于光的AI数据处理系统,光计算,2,2023-10-05,武汉智能光电科技公司,审核中,2023-10-06,待定,武汉智能光电科技公司,AI数据分析模块,武汉智能光电科技公司,VLC-073-2024,企业服务,无,高级型,V2.0,武汉市科技信息网,http://www.wuhantech.gov.cn/,2024-10-17,,,,,,,,,,
智能光阱传感系统,光传感,1,2023-10-10,厦门光电传感技术有限公司,已完成,2023-10-11,合格,厦门光电传感技术有限公司,光阱传感器,厦门光电传感技术有限公司,VLC-027-2024,教育研究,无,标准型,V1.0,厦门科技局,http://www.xiamen.gov.cn/,2024-10-17,,,,,,,,,,
高灵敏度光感系统,光技术,1,2023-10-15,青岛光电科技公司,审核中,2023-10-16,待定,青岛光电科技公司,高灵敏度光传感模块,青岛光电科技公司,VLC-058-2024,交通监控,无,高级型,V2.0,青岛市科技信息网,http://www.qdtech.gov.cn/,2024-10-17,,,,,,,,,,
多功能智能通信系统,光通信,2,2023-10-20,合肥智能科技有限公司,已完成,2023-10-21,合格,合肥智能科技有限公司,复合信号处理模块,合肥智能科技有限公司,VLC-019-2024,计算机视觉,无,标准型,V1.0,合肥市科技创新服务平台,http://www.hftech.gov.cn/,2024-10-17,,,,,,,,,,
精准农业光传输系统,光网络,3,2023-10-25,南宁农业科技公司,审核中,2023-10-26,待定,南宁农业科技公司,农业光传输监测模块,南宁农业科技公司,VLC-086-2024,物联网技术,无,高级型,V2.2,南宁市科技信息网,http://www.nanningtech.gov.cn/,2024-10-17,,,,,,,,,,
智能城市可见光网络系统,光网络,1,2023-09-05,杭州智慧科技有限公司,已完成,2023-09-06,合格,杭州智慧科技有限公司,网络基础设施模块,杭州智慧科技有限公司,VLC-034-2024,监控技术,无,标准型,V1.0,杭州科技局公开信息,http://www.hz.gov.cn/,2024-10-17,,,,,,,,,,
卫星可见光信号传输系统,光通信,2,2023-09-12,北京航天科技集团,审核中,2023-09-13,待定,北京航天科技集团,信号转发模块,北京航天科技集团,VLC-065-2024,交通管理,无,高级型,V2.0,北京科技论坛,http://www.bj.gov.cn/,2024-10-17,,,,,,,,,,
产品质量追溯可见光系统,光计算,1,2023-08-25,天津智慧制造公司,已完成,2023-08-26,合格,天津智慧制造公司,追溯数据库模块,天津智慧制造公司,VLC-091-2024,远程通信,无,标准型,V1.0,天津市科技局,http://www.tj.gov.cn/,2024-10-17,,,,,,,,,,
商业区可见光通信系统,光通信,1,2023-10-01,厦门商业发展公司,已完成,2023-10-02,合格,厦门商业发展公司,数据接收与管理模块,厦门商业发展公司,VLC-002-2024,电子教育,无,标准型,V1.0,厦门市科学技术局,http://www.xm.gov.cn/,2024-10-17,,,,,,,,,,
无障碍可见光通信系统,光通信,1,2023-09-30,武汉智能辅助科技有限公司,审核中,2023-10-01,待定,武汉智能辅助科技有限公司,辅助监测模块,武汉智能辅助科技有限公司,VLC-005-2024,计算机技术,无,高级型,V2.0,武汉科技局,http://www.wh.gov.cn/,2024-10-17,,,,,,,,,,
智能校园可见光网络系统,光网络,1,2023-09-15,成都教育科技公司,审核中,2023-09-16,待定,成都教育科技公司,教育管理模块,成都教育科技公司,VLC-009-2024,网络通信,无,标准型,V1.0,四川省教育厅,http://www.sc.edu.cn/,2024-10-17,,,,,,,,,,
环境监测可见光传输系统,光通信,1,2023-09-20,南京环保技术有限公司,已完成,2023-09-21,合格,南京环保技术有限公司,传输和分析模块,南京环保技术有限公司,VLC-013-2024,企业服务,无,标准型,V1.0,江苏省环保局,http://www.jiangsu.gov.cn/,2024-10-17,,,,,,,,,,
法律事务可见光数据管理系统,光计算,2,2023-10-05,沈阳法律科技公司,审核中,2023-10-06,待定,沈阳法律科技公司,数据存储模块,沈阳法律科技公司,VLC-017-2024,教育研究,无,高级型,V2.0,辽宁省科技厅,http://www.ln.gov.cn/,2024-10-17,,,,,,,,,,
可穿戴健康监测光通信系统,光通信,1,2023-09-22,郑州健康科技有限公司,已完成,2023-09-23,合格,郑州健康科技有限公司,健康数据模块,郑州健康科技有限公司,VLC-023-2024,交通监控,无,标准型,V1.0,河南省科技局,http://www.henan.gov.cn/,2024-10-17,,,,,,,,,,
新一代智能光通信系统,光通信,1,2023-09-01,苏州光电技术有限公司,已完成,2023-09-02,合格,苏州光电技术有限公司,信号调制与解调模块,苏州光电技术有限公司,VLC-029-2024,计算机视觉,无,标准型,V1.0,苏州市科技局,http://www.xm.gov.cn/,2024-10-17,,,,,,,,,,
高效光计算服务平台,光计算,2,2023-09-15,长沙光电创新中心,审核中,2023-09-16,待定,长沙光电创新中心,多通道数据处理模块,长沙光电创新中心,VLC-034-2024,物联网技术,无,高级型,V2.0,长沙市科技与创新局,http://www.wh.gov.cn/,2024-10-17,,,,,,,,,,
智能城市可见光网络解决方案,光网络,3,2023-10-05,杭州未来科技有限公司,已完成,2023-10-06,合格,杭州未来科技有限公司,网络信号增强模块,杭州未来科技有限公司,VLC-041-2024,监控技术,无,标准型,V1.2,杭州市科技局,http://www.sc.edu.cn/,2024-10-17,,,,,,,,,,
高频光信号处理系统,光计算,2,2023-10-10,武汉光电研究院,审核中,2023-10-11,待定,武汉光电研究院,高频信号解调模块,武汉光电研究院,VLC-048-2024,云计算,无,高级型,V3.0,武汉市科学技术局,http://www.jiangsu.gov.cn/,2024-10-17,,,,,,,,,,
实时光信号传输平台,光通信,1,2023-09-25,西安光通信科技有限公司,已完成,2023-09-26,合格,西安光通信科技有限公司,实时信号收发模块,西安光通信科技有限公司,VLC-045-2024,通信技术,无,标准型,V1.1,西安市科技局,http://www.ln.gov.cn/,2024-10-17,,,,,,,,,,
光存储计算系统,光计算,2,2023-10-01,南京光学技术公司,审核中,2023-10-02,待定,南京光学技术公司,数据存储与管理单元,南京光学技术公司,VLC-027-2024,信息技术,无,高级型,V2.0,南京市科技局,http://www.henan.gov.cn/,2024-10-17,,,,,,,,,,
便携式光信号发射器,光通信,1,2023-10-12,天津光启科技有限公司,已完成,2023-10-13,合格,天津光启科技有限公司,便携式发射模块,天津光启科技有限公司,VLC-013-2024,便携设备,无,标准型,V1.0,天津市科技发展局,http://www.xm.gov.cn/,2024-10-17,,,,,,,,,,
安全可见光通信防护系统,光网络,3,2023-10-20,成都网络安全有限公司,审核中,2023-10-21,待定,成都网络安全有限公司,安全监测与响应模块,成都网络安全有限公司,VLC-089-2024,网络安全,无,高级型,V2.1,成都市科学技术局,http://www.wh.gov.cn/,2024-10-17,,,,,,,,,,
量子点光通信系统,光通信,1,2023-10-05,哈尔滨光电科技中心,已完成,2023-10-06,合格,哈尔滨光电科技中心,量子信号发射模块,哈尔滨光电科技中心,VLC-052-2024,通信技术,无,标准型,V1.3,哈尔滨市科技局,http://www.sc.edu.cn/,2024-10-17,,,,,,,,,,
城市智能交通系统,光通信,1,2023-09-05,天津智能交通科技有限公司,已完成,2023-09-06,合格,天津智能交通科技有限公司,信号传输模块,天津智能交通科技有限公司,VLC-078-2024,交通管理,无,标准型,V1.0,天津市科技局,http://www.tianjin.gov.cn/,2024-10-17,,,,,,,,,,
高速光计算模块,光计算,2,2023-09-20,华东电力研究院,审核中,2023-09-21,待定,华东电力研究院,数据分析单元,华东电力研究院,VLC-034-2024,计算机科学,无,高级型,V2.0,华东地区信息科技管理网,http://www.hd.gov.cn/,2024-10-17,,,,,,,,,,
分布式光纤传感技术,光传感,3,2023-09-30,浙江光电科技有限公司,已完成,2023-10-01,合格,浙江光电科技有限公司,传感器模块,浙江光电科技有限公司,VLC-061-2024,采集技术,无,标准型,V1.0,浙江省科技局,http://www.zj.gov.cn/,2024-10-17,,,,,,,,,,
智能家居可见光控制系统,光通信,1,2023-10-05,厦门智能家居科技有限公司,审核中,2023-10-06,待定,厦门智能家居科技有限公司,监控与控制模块,厦门智能家居科技有限公司,VLC-096-2024,家居自动化,无,高级型,V2.1,厦门市技术管理平台,http://www.xiamen.gov.cn/,2024-10-17,,,,,,,,,,
新一代安全光通信系统,光通信,1,2023-10-15,广州安全科技有限公司,已完成,2023-10-16,合格,广州安全科技有限公司,加密模块,广州安全科技有限公司,VLC-022-2024,信息安全,无,标准型,V1.0,广州市科技局,http://www.gz.gov.cn/,2024-10-17,,,,,,,,,,
海洋监测光计算平台,光计算,2,2023-10-25,海南海洋科技研究院,审核中,2023-10-26,待定,海南海洋科技研究院,环境监测模块,海南海洋科技研究院,VLC-012-2024,海洋科学,无,高级型,V2.0,海南省科技局,http://www.hainan.gov.cn/,2024-10-17,,,,,,,,,,
智慧医疗光信号处理平台,光计算,2,2023-11-05,成都智慧医疗科技有限公司,已完成,2023-11-06,合格,成都智慧医疗科技有限公司,数据分析与处理单元,成都智慧医疗科技有限公司,VLC-034-2024,医疗健康,无,标准型,V1.0,成都市科技局,http://www.chengdu.gov.cn/,2024-10-17,,,,,,,,,,
农业环境监测可见光系统,光传感,3,2023-11-15,哈尔滨农业科技公司,审核中,2023-11-16,待定,哈尔滨农业科技公司,环境监测模块,哈尔滨农业科技公司,VLC-045-2024,农业监测,无,高级型,V2.1,黑龙江省科技局,http://www.hlj.gov.cn/,2024-10-17,,,,,,,,,,
智能城市光信号传输系统,光通信,1,2023-11-25,宁波智能城市科技公司,已完成,2023-11-26,合格,宁波智能城市科技公司,实时数据传输模块,宁波智能城市科技公司,VLC-067-2024,城市管理,无,标准型,V1.0,宁波市科技局,http://www.ningbo.gov.cn/,2024-10-17,,,,,,,,,,
下一代光计算中心,光计算,1,2023-09-01,杭州智联科技有限公司,已完成,2023-09-02,合格,杭州智联科技有限公司,边缘计算模块,杭州智联科技有限公司,VLC-089-2024,交通管理,无,标准型,V1.0,浙江省科技局,http://www.zj.gov.cn/,2024-10-17,,,,,,,,,,
智能可见光监测系统,光通信,2,2023-09-15,南京光电科技有限公司,审核中,2023-09-16,待定,南京光电科技有限公司,实时监测模块,南京光电科技有限公司,VLC-101-2024,远程通信,无,高级型,V2.0,江苏省科技发展局,http://www.jiangsu.gov.cn/,2024-10-17,,,,,,,,,,
光基无线传输系统,光通信,1,2023-08-20,天津光明科技有限公司,已完成,2023-08-21,合格,天津光明科技有限公司,光发射模块,天津光明科技有限公司,VLC-123-2024,电子教育,无,标准型,V1.0,天津市信息化办公室,http://www.tianjin.gov.cn/,2024-10-17,,,,,,,,,,
智能城市光功能系统,光网络,3,2023-09-05,厦门创新技术有限公司,审核中,2023-09-06,待定,厦门创新技术有限公司,信息同步模块,厦门创新技术有限公司,VLC-145-2024,计算机技术,无,高级型,V2.1,福建省科技厅,http://www.fujian.gov.cn/,2024-10-17,,,,,,,,,,
光信号调制系统,光通信,1,2023-08-25,重庆光电系统有限公司,已完成,2023-08-26,合格,重庆光电系统有限公司,调制解调模块,重庆光电系统有限公司,VLC-156-2024,网络通信,无,标准型,V1.0,重庆市科技局,http://www.cq.gov.cn/,2024-10-17,,,,,,,,,,
可见光导航系统,光通信,2,2023-09-10,武汉新光技术有限公司,审核中,2023-09-11,待定,武汉新光技术有限公司,导航接收模块,武汉新光技术有限公司,VLC-178-2024,企业服务,无,高级型,V2.0,湖北省科技局,http://www.hubei.gov.cn/,2024-10-17,,,,,,,,,,
光学传感器网络系统,光通信,1,2023-09-20,成都光电信息有限公司,已完成,2023-09-21,合格,成都光电信息有限公司,传感器集成模块,成都光电信息有限公司,VLC-004-2024,教育研究,无,标准型,V1.0,四川省科技厅,http://www.sc.gov.cn/,2024-10-17,,,,,,,,,,
智能光计算平台,光计算,2,2023-09-25,西安光伏科技有限公司,审核中,2023-09-26,待定,西安光伏科技有限公司,计算核心模块,西安光伏科技有限公司,VLC-007-2024,交通监控,无,高级型,V2.0,陕西省科技厅,http://www.shanxi.gov.cn/,2024-10-17,,,,,,,,,,
光学数据处理系统,光计算,3,2023-09-30,合肥光电科技有限公司,审核中,2023-10-01,待定,合肥光电科技有限公司,数据处理核心模块,合肥光电科技有限公司,VLC-012-2024,计算机视觉,无,高级型,V2.2,安徽省科技局,http://www.ah.gov.cn/,2024-10-17,,,,,,,,,,
智能城市光通信系统,光通信,1,2023-09-05,杭州智慧科技有限公司,已完成,2023-09-06,合格,杭州智慧科技有限公司,光信号传输模块,杭州智慧科技有限公司,VLC-019-2024,物联网技术,无,标准型,V1.0,杭州科技管理平台,http://hztech.gov.cn/,2024-10-17,,,,,,,,,,
光子计算加速系统,光计算,2,2023-09-12,天津光电子研究院,审核中,2023-09-13,待定,天津光电子研究院,量子光子处理单元,天津光电子研究院,VLC-023-2024,监控技术,无,高级型,V2.1,天津市光电技术管理中心,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
智能车载可见光通信系统,光通信,1,2023-09-20,上海汽车科技有限公司,已完成,2023-09-21,合格,上海汽车科技有限公司,可见光信号接收器,上海汽车科技有限公司,VLC-027-2024,云计算,无,标准型,V1.0,上海市科技局,http://shanghai.gov.cn/,2024-10-17,,,,,,,,,,
高频可见光网络系统,光网络,3,2023-10-01,成都高新技术公司,审核中,2023-10-02,待定,成都高新技术公司,光网络交换模块,成都高新技术公司,VLC-035-2024,交通管理,无,高级型,V2.2,成都市高新科技管理局,http://cdtech.gov.cn/,2024-10-17,,,,,,,,,,
可见光结合物联网系统,光通信,1,2023-10-05,广州互联网科技有限公司,已完成,2023-10-06,合格,广州互联网科技有限公司,物联网网关模块,广州互联网科技有限公司,VLC-041-2024,远程通信,无,标准型,V1.1,广州市科技局,http://gz.gov.cn/,2024-10-17,,,,,,,,,,
高速光计算通信系统,光计算,2,2023-10-10,西安光电科技有限公司,审核中,2023-10-11,待定,西安光电科技有限公司,光处理器模块,西安光电科技有限公司,VLC-046-2024,电子教育,无,高级型,V2.3,西安市高科技局,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
先进光信号处理与管理系统,光计算,2,2023-10-15,南京光电系统公司,已完成,2023-10-16,合格,南京光电系统公司,信号处理中心,南京光电系统公司,VLC-050-2024,计算机技术,无,标准型,V1.2,南京市科技局,http://nanjing.gov.cn/,2024-10-17,,,,,,,,,,
光驱动环境监控系统,光网络,3,2023-10-22,深圳环境监控公司,审核中,2023-10-23,待定,深圳环境监控公司,环境监测传感器,深圳环境监控公司,VLC-002-2024,网络通信,无,高级型,V2.4,深圳市环保局,http://shenzhen.gov.cn/,2024-10-17,,,,,,,,,,
可见光与5G融合通信系统,光通信,1,2023-10-29,武汉通信技术公司,已完成,2023-10-30,合格,武汉通信技术公司,融合信号处理单元,武汉通信技术公司,VLC-004-2024,企业服务,无,标准型,V1.3,武汉市科技发展局,http://wuhan.gov.cn/,2024-10-17,,,,,,,,,,
高速智能光通信系统,光通信,1,2023-09-01,南京光凌科技有限公司,已完成,2023-09-02,合格,南京光凌科技有限公司,高速接收器模块,南京光凌科技有限公司,VLC-007-2024,教育研究,无,标准型,V1.0,南京市科技信息平台,http://njst.gov.cn/,2024-10-17,,,,,,,,,,
一体化光计算平台,光计算,2,2023-08-20,华东光电科技创新有限公司,审核中,2023-08-21,待定,华东光电科技创新有限公司,计算单元集成模块,华东光电科技创新有限公司,VLC-010-2024,交通监控,无,高级型,V2.0,国家光电技术管理平台,http://cnoptics.gov.cn/,2024-10-17,,,,,,,,,,
增强现实可见光通信系统,光通信,1,2023-09-05,长沙虚拟现实技术有限公司,已完成,2023-09-06,合格,长沙虚拟现实技术有限公司,AR信号传输模块,长沙虚拟现实技术有限公司,VLC-013-2024,计算机视觉,无,标准型,V1.0,长沙市创新科技平台,http://csst.gov.cn/,2024-10-17,,,,,,,,,,
智能家居光传输系统,光通信,1,2023-10-01,杭州智能家居有限公司,审核中,2023-10-02,待定,杭州智能家居有限公司,智能控制模块,杭州智能家居有限公司,VLC-015-2024,物联网技术,无,标准型,V1.0,杭州智能科技平台,http://hzsmart.com/,2024-10-17,,,,,,,,,,
光基础设施安全系统,光网络,3,2023-09-15,武汉网络科技有限公司,进行中,2023-09-16,审核中,武汉网络科技有限公司,网络安全模块,武汉网络科技有限公司,VLC-018-2024,监控技术,无,高级型,V2.1,武汉市网络安全局,http://whnetsec.gov.cn/,2024-10-17,,,,,,,,,,
室内定位可见光通信系统,光通信,1,2023-09-20,西安光网科技有限公司,已完成,2023-09-21,合格,西安光网科技有限公司,定位信号传输模块,西安光网科技有限公司,VLC-021-2024,交通管理,无,标准型,V1.2,西安市科技局,http://xa.gov.cn/,2024-10-17,,,,,,,,,,
环境监测光计算系统,光计算,2,2023-09-25,青岛环境科技公司,审核中,2023-09-26,待定,青岛环境科技公司,数据处理分析模块,青岛环境科技公司,VLC-025-2024,远程通信,无,高级型,V2.0,青岛市科技创新局,http://qingdao.gov.cn/,2024-10-17,,,,,,,,,,
