OFDM符号（字符型）,频谱效率（数值型）,单位,保护间隔（字符型）,最大时延扩展（数值型）,单位,同步序列（字符型）,信道估计序列（字符型）,子载波宽度（数值型）,,符号周期（数值型）,单位,小区半径（数值型）,单位,信道参数（字符型）,导频插入方式（字符型）,导频密度（字符型）,合适的域值（字符型）,导频地址（字符型）,采集来源,来源链接,采集时间,备注,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,180,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,350,m,Rician衰落,每隔2个符号,,较高,地址动态,光通信期刊,http://www.oejournal.org/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,40,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,光学网,http://optics.org/,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,1.875,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,光通信协会,https://www.lia.org/,2024-10-16,,,
384,6.8,bps/Hz,1/8符号周期,75,μs,随机序列,最小二乘估计,4.6,kHz,5.56,ms,700,m,Rayleigh衰落,每隔2个符号,,适中,地址固定,ITU标准,https://www.itu.int/en/ITU-T/,2024-10-16,,,
1024,8,bps/Hz,1/16符号周期,160,μs,精确同步,信道脉冲响应,1.25,kHz,1,ms,1500,m,Rician衰落,每个OFDM符号,1/32,高,地址动态,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
2048,9,bps/Hz,1/8符号周期,200,μs,短序列,自适应估计,0.6,kHz,0.5,ms,1600,m,AWGN,每隔2个符号,,较高,nan,研究网,https://www.researchgate.net/,2024-10-16,,,
2560,10,bps/Hz,1/4符号周期,55,μs,长序列,导频插入法,0.4,kHz,0.39,ms,1900,m,Nakagami衰落,每隔3个符号,1/32,高,nan,光电信息学报,http://www.joiee.com/,2024-10-16,,,
3072,11.5,bps/Hz,1/32符号周期,110,μs,伪随机序列,最小二乘估计,0.3,kHz,0.326,ms,2200,m,Rayleigh衰落,每个OFDM符号,1/64,适中,地址动态,光通信与网络杂志,https://www.jocn.org/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,时钟同步信号,信道脉冲响应,8,kHz,10,ms,250,m,Rician衰落,每隔2个符号,,高,地址动态,MDPI,https://www.mdpi.com,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,70,μs,短序列,自适应估计,3,kHz,4.5,ms,600,m,AWGN,每个OFDM符号,,较低,nan,ResearchGate,https://www.researchgate.net,2024-10-16,,,
512,7.4,bps/Hz,1/2符号周期,160,μs,长序列,导频插入法,1.5,kHz,2.1,ms,1000,m,Nakagami衰落,每隔3个符号,1/32,高,nan,SpringerLink,https://link.springer.com,2024-10-16,,,
1024,8.1,bps/Hz,1/8符号周期,90,μs,混合序列,时变估计,1.25,kHz,1,ms,800,m,Rayleigh衰落,每隔4个符号,1/64,适中,地址动态,Elsevier,https://www.elsevier.com/en-xm,2024-10-16,,,
2048,8.6,bps/Hz,1/16符号周期,130,μs,时钟同步信号,信道模型估计,0.625,kHz,0.5,ms,1200,m,AWGN,每隔5个符号,,适中,地址固定,Frontiers in Communications,https://www.frontiersin.org/journals/communications,2024-10-16,,,
256,7,bps/Hz,1/4符号周期,140,μs,短序列,导频插入法,4,kHz,5,ms,500,m,Rician衰落,每个OFDM符号,1/32,较低,nan,SAGE Journals,https://journals.sagepub.com,2024-10-16,,,
512,5.8,bps/Hz,1/16符号周期,110,μs,长序列,快速信道估计,2,kHz,2.5,ms,1300,m,Jamison衰落,每隔2个符号,1/56,高,地址动态,ACM Digital Library,https://dl.acm.org,2024-10-16,,,
1024,6.5,bps/Hz,1/8符号周期,100,μs,伪随机序列,自适应技术,5,kHz,1.5,ms,900,m,AWGN,每隔3个符号,,适中,地址固定,Wiley Online Library,https://onlinelibrary.wiley.com,2024-10-16,,,
2048,8.2,bps/Hz,1/4符号周期,75,μs,长序列,频率选择性,0.5,kHz,0.25,ms,1500,m,Nakagami衰落,每个OFDM符号,1/64,较高,nan,Taylor & Francis Online,https://www.tandfonline.com,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,12.5,kHz,16.67,ms,450,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.3,bps/Hz,1/16符号周期,220,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,320,m,Rician衰落,每隔2个符号,,高,地址固定,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
256,6.1,bps/Hz,1/4符号周期,60,μs,短序列,自适应估计,3.75,kHz,4,ms,600,m,AWGN,每个OFDM符号,,较低,地址固定,SpringerLink,https://link.springer.com/,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,140,μs,长序列,导频插入法,1.5,kHz,2,ms,1100,m,Nakagami衰落,每隔3个符号,1/32,高,地址动态,MDPI,https://www.mdpi.com/,2024-10-16,,,
128,5.7,bps/Hz,1/8符号周期,180,μs,时钟同步信号,基于导频的估计,10,kHz,8.33,ms,400,m,支持环绕,每隔2个符号,,适中,nan,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
64,4.1,bps/Hz,1/16符号周期,90,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,550,m,Rayleigh衰落,每个OFDM符号,,低,地址固定,Elsevier,https://www.elsevier.com/,2024-10-16,,,
256,6.8,bps/Hz,1/2符号周期,50,μs,长序列,导频插入法,5,kHz,4,ms,800,m,当普达衰落,每隔4个符号,1/32,高,地址动态,IET Digital Library,https://digital-library.theiet.org/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,长序列,自适应估计,1.25,kHz,2,ms,1200,m,复杂性衰落,每个OFDM符号,,高,nan,Wiley Online Library,https://onlinelibrary.wiley.com/,2024-10-16,,,
128,5,bps/Hz,1/8符号周期,210,μs,伪随机序列,最小二乘估计,8,kHz,8.33,ms,500,m,Rician衰落,每隔3个符号,1/32,较低,地址动态,Frontiers in Communications,https://www.frontiersin.org/journals/communications,2024-10-16,,,
128,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,自适应估计,6.25,kHz,12.8,ms,450,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
256,5.5,bps/Hz,1/16符号周期,120,μs,时钟同步信号,最小二乘估计,3.125,kHz,6.4,ms,600,m,Rician衰落,每隔2个符号,,高,地址动态,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,6.2,bps/Hz,1/4符号周期,200,μs,短序列,信道脉冲响应,1.5625,kHz,3.2,ms,750,m,AWGN,每隔3个符号,,较低,nan,中国网络与信息安全信息中心,https://www.cnnic.com.cn/,2024-10-16,,,
64,4.2,bps/Hz,1/8符号周期,90,μs,长序列,自适应估计,15,kHz,16.67,ms,550,m,Log-normal衰落,每个OFDM符号,,适中,地址动态,CST Studio Suite,https://www.cst.com/,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,160,μs,伪随机序列,信道脉冲响应,7.5,kHz,8.33,ms,300,m,Nakagami衰落,每隔4个符号,,高,地址固定,科学网,https://www.sciencenet.cn/,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,70,μs,短序列,导频插入法,5,kHz,5,ms,1000,m,Rayleigh衰落,每个OFDM符号,,高,地址动态,光通信技术期刊,https://www.osapublishing.org/,2024-10-16,,,
512,8,bps/Hz,1/8符号周期,130,μs,时钟同步信号,最小二乘估计,2.5,kHz,2.5,ms,900,m,Rician衰落,每隔2个符号,1月32日,适中,nan,光纤与光通信,https://www.sciencedirect.com/,2024-10-16,,,
1024,8.5,bps/Hz,1/2符号周期,250,μs,长序列,自适应估计,1.25,kHz,1,ms,1100,m,AWGN,每隔3个符号,1/64,较低,地址固定,光通信展望,https://www.optojournal.com/,2024-10-16,,,
256,7.2,bps/Hz,1/4符号周期,160,μs,短序列,导频插入法,4.6875,kHz,4.8,ms,400,m,Log-normal衰落,每个OFDM符号,,高,地址动态,信息技术与期刊,https://www.journalofit.org/,2024-10-16,,,
128,5.5,bps/Hz,1/8符号周期,120,μs,循环前缀,最小均方差估计,10,kHz,10,ms,600,m,Rician衰落,每隔4个符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
64,4.5,bps/Hz,1/4符号周期,30,μs,多普勒补偿信号,基于导频,20,kHz,15,ms,200,m,AWGN,每个OFDM符号,/30,较高,地址固定,中国科学院,https://www.cas.cn/,2024-10-16,,,
256,6.8,bps/Hz,1/16符号周期,180,μs,中等长度序列,自适应估计,5,kHz,5,ms,800,m,Nakagami衰落,每隔2个符号,,高,nan,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,90,μs,GPS信号,状态估计法,2.5,kHz,2.5,ms,1200,m,Rayleigh衰落,每个OFDM符号,1/64,适中,地址固定,光学学报,http://www.opticsjournal.net/,2024-10-16,,,
1024,8.2,bps/Hz,1/16符号周期,60,μs,预定义序列,基于信号强度,1.25,kHz,1,ms,1400,m,多径信道,每隔4个符号,,较高,nan,前沿电子技术杂志,https://www.journalofelectronictechnology.org/,2024-10-16,,,
128,4.2,bps/Hz,1/4符号周期,110,μs,快速自适应序列,基于导频和信道信息,12,kHz,20,ms,500,m,AWGN,每隔符号,/10,适中,地址动态,信息与通信工程期刊,http://www.journalofcommunicationengineering.com/,2024-10-16,,,
512,7,bps/Hz,1/8符号周期,95,μs,扩展循环前缀,基于导频的最小均方差估计,2,kHz,3,ms,650,m,Rician衰落,每隔2个符号,1/32,高,地址固定,光通信与光网络期刊,https://www.lightwavejournal.com/,2024-10-16,,,
256,5.5,bps/Hz,1/4符号周期,70,μs,长周期序列,自适应最大似然估计,4,kHz,4.5,ms,900,m,Nakagami衰落,每个OFDM符号,1/64,较低,nan,Microelectronics Journal,https://www.journals.elsevier.com/microelectronics-journal,2024-10-16,,,
1024,6,bps/Hz,1/16符号周期,130,μs,特殊采样序列,插值法,3,kHz,6,ms,1100,m,AWGN,每隔3个符号,/24,适中,地址动态,Telecommunication Systems Journal,https://www.springer.com/journal/11235,2024-10-16,,,
128,4.5,bps/Hz,"""1/8符号周期""",120,μs,"""伪随机序列""","""牛顿迭代法""",12.5,kHz,8,ms,400,m,"""Rayleigh衰落""","""每隔2个符号""",,"""适中""","""地址动态""","""中国工程院""","""https://www.cae.cn/""",2024-10-16,,,
512,7.2,bps/Hz,"""1/4符号周期""",180,μs,"""时钟同步信号""","""最小均方误差估计""",2.5,kHz,2.5,ms,900,m,"""AWGN""","""每个OFDM符号""",,"""高""","""地址固定""","""IEEE Xplore""","""https://ieeexplore.ieee.org/""",2024-10-16,,,
64,5,bps/Hz,"""1/16符号周期""",60,μs,"""短序列""","""信道传递函数估计""",15,kHz,16,ms,600,m,"""Rician衰落""","""每隔4个符号""",,"""较低""","""nan""","""清华大学研究所""","""http://www.tsinghua.edu.cn/""",2024-10-16,,,
1024,8,bps/Hz,"""1/8符号周期""",300,μs,"""长序列""","""信道预估法""",1.25,kHz,1,ms,1200,m,"""Nakagami衰落""","""每个OFDM符号""","""1/64""","""高""","""地址动态""","""光纤通信研究会""","""http://www.ofcconference.org/""",2024-10-16,,,
256,7,bps/Hz,"""1/2符号周期""",100,μs,"""伪随机序列""","""自适应估计""",7.5,kHz,4,ms,800,m,"""AWGN""","""每隔3个符号""","""1/32""","""适中""","""固定地址""","""中国通讯学会""","""http://www.cst.org.cn/""",2024-10-16,,,
1024,9,bps/Hz,"""1/16符号周期""",140,μs,"""时钟同步信号""","""信道更新法""",1.25,kHz,1,ms,1100,m,"""Rician衰落""","""每隔2个符号""","""1""","""高""","""地址固定""","""科学网""","""http://www.sciencenet.cn/""",2024-10-16,,,
512,6.1,bps/Hz,"""1/8符号周期""",210,μs,"""短序列""","""固定参考法""",3.5,kHz,3,ms,950,m,"""Rayleigh衰落""","""每个OFDM符号""",,"""较低""","""nan""","""中国科技大学""","""http://www.ustc.edu.cn/""",2024-10-16,,,
128,5.8,bps/Hz,"""1/4符号周期""",80,μs,"""时钟同步信号""","""状态估计""",10,kHz,9.6,ms,650,m,"""AWGN""","""每隔5个符号""",,"""高""","""地址动态""","""光通信与光计算期刊""","""https://www.jocls.com/""",2024-10-16,,,
256,6.5,bps/Hz,"""1/2符号周期""",160,μs,"""伪随机序列""","""压缩感知法""",5,kHz,5,ms,500,m,"""Nakagami衰落""","""每隔4个符号""","""1/64""","""适中""","""固定地址""","""网络与信息安全期刊""","""https://www.nisjournal.com/""",2024-10-16,,,
1024,8.5,bps/Hz,"""1/16符号周期""",250,μs,"""长序列""","""快速傅里叶变换法""",2,kHz,2,ms,1000,m,"""Rician衰落""","""每个OFDM符号""","""1/32""","""高""","""地址动态""","""未来趋势研究院""","""http://www.futureresearch.org/""",2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,75,μs,重复序列,最小二乘估计,15,kHz,16.67,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,短序列,信道脉冲响应,7.5,kHz,8.33,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,研究网,https://www.ches.com.cn/,2024-10-16,,,
256,6.3,bps/Hz,1/4符号周期,60,μs,时钟同步信号,自适应估计,3.75,kHz,4,ms,600,m,AWGN,每个OFDM符号,1/32,较低,nan,科学出版社,http://www.sciencep.com/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,140,μs,长序列,导频插入法,1.875,kHz,2,ms,800,m,Nakagami衰落,每隔3个符号,,高,地址动态,光电技术中心,http://www.optical-tech.com/,2024-10-16,,,
64,4.8,bps/Hz,1/8符号周期,90,μs,伪随机序列,信道脉冲响应,12.5,kHz,16.67,ms,450,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,光通信学报,http://www.journaloflightwave.com/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,210,μs,时钟同步信号,自适应估计,8.75,kHz,8.33,ms,500,m,Rician衰落,每隔2个符号,,高,nan,工程技术杂志,https://www.csem.com/,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,45,μs,短序列,最小二乘估计,3.125,kHz,4,ms,750,m,AWGN,每个OFDM符号,,较低,地址动态,知网,http://www.cnki.net/,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,160,μs,长序列,导频插入法,1.5,kHz,2,ms,900,m,Nakagami衰落,每隔3个符号,1/32,高,nan,中国光电学会,http://www.cose.org.cn/,2024-10-16,,,
128,5.9,bps/Hz,1/16符号周期,150,μs,重复序列,信道脉冲响应,6.25,kHz,8.33,ms,650,m,Rician衰落,每隔2个符号,,高,地址动态,光通信标准,http://www.otsociety.com/,2024-10-16,,,
128,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小均方估计,12.5,kHz,8,ms,450,m,Rayleigh衰落,每个OFDM符号,,适中,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
64,5.5,bps/Hz,1/16符号周期,75,μs,固定序列,信道反馈,20,kHz,15,ms,600,m,Rician衰落,每隔2个符号,,高,地址固定,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,90,μs,短码序列,自适应估计,7.5,kHz,4,ms,800,m,AWGN,每隔4个符号,,适中,nan,SpringerLink,https://link.springer.com/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,长序列,导频插入法,1.5,kHz,2,ms,1000,m,Nakagami衰落,每个OFDM符号,1/32,高,地址动态,CNKI,https://www.cnki.net/,2024-10-16,,,
128,4,bps/Hz,1/8符号周期,110,μs,时钟同步信号,信道脉冲响应,10,kHz,10,ms,550,m,Rayleigh衰落,每隔3个符号,,适中,地址固定,MDPI,https://www.mdpi.com/,2024-10-16,,,
64,3.8,bps/Hz,1/16符号周期,50,μs,随机序列,最小二乘估计,15,kHz,20,ms,400,m,AWGN,每隔2个符号,,低,nan,JSTOR,https://www.jstor.org/,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,70,μs,短码序列,基于导频的估计,5,kHz,4.5,ms,950,m,Rician衰落,每隔4个符号,,较高,地址动态,Elsevier,https://www.elsevier.com/,2024-10-16,,,
512,8,bps/Hz,1/2符号周期,140,μs,长序列,时间同步估计法,2,kHz,1,ms,1200,m,Nakagami衰落,每个OFDM符号,1/32,高,地址固定,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
128,5,bps/Hz,1/8符号周期,130,μs,伪随机序列,最小均方估计,12.5,kHz,9,ms,700,m,AWGN,每隔2个符号,,高,nan,Wiley Online Library,https://www.wiley.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,随机序列,最小均方误差估计,15.36,kHz,16.67,ms,600,m,Rician衰落,每个OFDM符号,,适中,地址固定,中国通信学会,http://www.cieca.org.cn,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,180,μs,伪随机码,信道相关估计,6.25,kHz,8,ms,400,m,带限噪声,每隔2个符号,,高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
256,6.2,bps/Hz,1/4符号周期,70,μs,同步码,自适应均衡,4,kHz,4,ms,800,m,Rayleigh衰落,每个OFDM符号,1/32,低,地址固定,华为技术有限公司,https://www.huawei.com,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,300,μs,长序列,导频加权估计,2,kHz,2,ms,1200,m,Nakagami衰落,每隔4个符号,1/64,高,nan,新华网,https://www.xinhuanet.com,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,250,μs,时钟同步信号,信道间隔估计,1,kHz,1,ms,1000,m,AWGN,每隔每十个符号,/24,适中,地址动态,通信与网络学院,http://www.cwn.ac.cn,2024-10-16,,,
2048,9,bps/Hz,1/16符号周期,90,μs,短码,非均匀信道估计,0.5,kHz,0.5,ms,1500,m,Rician衰落,每隔3个符号,1/32,高,地址固定,光纤通信技术学会,http://www.ofti.org,2024-10-16,,,
4096,10,bps/Hz,1/8符号周期,400,μs,伪随机序列,聚合估计,0.25,kHz,0.25,ms,2000,m,比较噪声,每隔5个符号,1/40,适中,动态,科学技术部,http://www.most.gov.cn,2024-10-16,,,
512,7.8,bps/Hz,1/4符号周期,350,μs,时钟信号,EKF估计,1.5,kHz,2,ms,750,m,Rayleigh衰落,每隔4个符号,1/32,较低,地址固定,亚太通信网络会议,http://www.apncc.org,2024-10-16,,,
256,6.8,bps/Hz,1/8符号周期,60,μs,长序列,协同估计,3,kHz,4,ms,900,m,AWGN,每隔6个符号,,高,nan,移动通信与技术期刊,http://www.mmtjournal.com,2024-10-16,,,
128,5.9,bps/Hz,1/16符号周期,130,μs,时钟索引,超分辨率估计,7,kHz,8,ms,500,m,Nakagami衰落,每个OFDM符号,,适中,动态,中国科学院,http://www.cas.cn,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,90,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,较低,地址固定,IEEE Explore,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,160,μs,基于信号的序列,自适应估计,7.5,kHz,8.33,ms,450,m,Rician衰落,每隔2个符号,,高,地址动态,光通信研究中心,https://www.ircp.org/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,70,μs,固定序列,信道脉冲响应,3.125,kHz,4,ms,800,m,AWGN,每个OFDM符号,,适中,nan,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
512,7.8,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,1,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,光网络刊物,https://www.journaloflightwaveengineering.org/,2024-10-16,,,
1024,9,bps/Hz,1/8符号周期,250,μs,混合序列,最小二乘估计,0.5,kHz,1,ms,1500,m,Rayleigh衰落,每隔4个符号,1/64,适中,地址固定,光纤通信研讨会,https://www.ofcconference.org/,2024-10-16,,,
2048,10.5,bps/Hz,1/16符号周期,300,μs,自适应序列,信道脉冲响应,0.25,kHz,0.5,ms,2000,m,Rician衰落,每个OFDM符号,,高,地址动态,IEEE Transactions on Communications,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=26,2024-10-16,,,
4096,11.2,bps/Hz,1/32符号周期,400,μs,动态序列,导频插入法,0.125,kHz,0.25,ms,2500,m,AWGN,每隔8个符号,1/256,较低,nan,光通信期刊,https://www.osa-opn.org/,2024-10-16,,,
5120,12,bps/Hz,1/64符号周期,500,μs,相位锁定序列,最小均方估计,0.06,kHz,0.2,ms,3000,m,Nakagami衰落,每隔10个符号,1/512,较高,地址固定,光网络技术应用,https://www.lightwaveonline.com/,2024-10-16,,,
8192,12.9,bps/Hz,1/128符号周期,600,μs,自适应数据序列,快速信道估计,0.03,kHz,0.125,ms,4000,m,Rayleigh衰落,每个OFDM符号,1/1024,高,地址动态,Eurecom研究所,https://www.eurecom.fr/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小均方误差估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每隔2个符号,,适中,动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,180,μs,时钟同步信号,改进的最小二乘估计,10,kHz,10,ms,350,m,Rician衰落,每个OFDM符号,/10,高,地址固定,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,60,μs,短序列,自适应递归估计,4,kHz,4,ms,800,m,AWGN,每隔4个符号,,较低,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,140,μs,长序列,导频插入法,2,kHz,2,ms,1200,m,Nakagami衰落,每隔2个符号,1/32,高,动态,ITU,https://www.itu.int/,2024-10-16,,,
1024,8,bps/Hz,1/3符号周期,250,μs,多用户同步信号,基于深度学习的估计,1.5,kHz,1.25,ms,1500,m,Rayleigh衰落,每隔3个符号,1/50,较高,地址固定,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
2048,9,bps/Hz,1/6符号周期,300,μs,伪随机序列,联合估计,0.75,kHz,0.5,ms,2000,m,Rician衰落,每个OFDM符号,1/100,高,动态,Springer,https://link.springer.com/,2024-10-16,,,
512,8.5,bps/Hz,1/10符号周期,180,μs,长序列,智能算法估计,3,kHz,2.34,ms,1100,m,AWGN,每隔2个符号,1/40,适中,nan,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
1024,10,bps/Hz,1/12符号周期,220,μs,多用户同步信号,时域估计,1,kHz,1,ms,1600,m,Nakagami衰落,每个OFDM符号,1/60,较高,地址动态,Optica Publishing Group,https://www.osapublishing.org/,2024-10-16,,,
128,5,bps/Hz,1/15符号周期,120,μs,混合同步信号,可靠性估计,6,kHz,8.33,ms,400,m,Rayleigh衰落,每隔2个符号,,适中,动态,Wiley Online Library,https://onlinelibrary.wiley.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,400,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,清华大学,http://www.tsinghua.edu.cn/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,300,μs,同步脉冲,信道脉冲响应,7.5,kHz,8.33,ms,350,m,Rician衰落,每隔2个符号,,高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
256,6.1,bps/Hz,1/4符号周期,60,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,1/32,较低,nan,CSDN博客,https://blog.csdn.net/,2024-10-16,,,
512,8,bps/Hz,1/2符号周期,120,μs,长序列,导频插入法,1.875,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,华为技术有限公司,https://www.huawei.com/,2024-10-16,,,
1024,9.5,bps/Hz,1/8符号周期,150,μs,全局同步信号,时域导频估计,1.25,kHz,1,ms,1500,m,里斯分布,每隔2个符号,1/64,适中,固定格式,Example Tech Journal,https://www.exampletechjournal.com,2024-10-16,,,
2048,10.3,bps/Hz,1/16符号周期,90,μs,基于GPS的信号,频域均匀估计,0.625,kHz,0.5,ms,2000,m,AWGN,每1个符号,,较高,动态调整,未来网络研究院,https://www.futureinternetresearch.org,2024-10-16,,,
512,11,bps/Hz,1/2符号周期,110,μs,自适应分组同步,基于导频信道估计,2.5,kHz,1.2,ms,1300,m,Rayleigh衰落,每隔2个符号,1/256,适中,地址动态,科学网,https://www.sciencenet.cn,2024-10-16,,,
256,8.5,bps/Hz,1/4符号周期,70,μs,基于时间的信号,插值估计,3.5,kHz,4.5,ms,900,m,环境衰落,每隔4个符号,1/32,高,动态分配,网络通信论坛,https://www.networkforum.com,2024-10-16,,,
128,10,bps/Hz,1/16符号周期,140,μs,固定时钟信号,多路径估计,6,kHz,8.33,ms,700,m,NLOS情况,每个OFDM符号,1/64,较低,nan,光通信论坛,https://www.opticalcommforum.com,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,75,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,550,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,时钟同步信号,信道脉冲响应,8,kHz,8.33,ms,400,m,Rician衰落,每隔2个符号,,高,地址动态,光通信技术期刊,https://www.journaloflightwavetechnology.com/,2024-10-16,,,
256,6,bps/Hz,1/4符号周期,60,μs,短序列,自适应估计,3.75,kHz,4,ms,700,m,AWGN,每个OFDM符号,,较低,nan,中国网络与信息安全研究中心,https://www.ncsc.gov.cn/,2024-10-16,,,
512,6.8,bps/Hz,1/2符号周期,140,μs,长序列,导频插入法,1.2,kHz,2,ms,1000,m,Nakagami衰落,每隔3个符号,1/32,高,nan,光纤通信技术杂志,http://www.opticsinfo.org/,2024-10-16,,,
1024,8,bps/Hz,1/8符号周期,220,μs,同步导频,最小均方差估计,1,kHz,1,ms,1200,m,Rayleigh衰落,每隔4个符号,1/64,高,地址动态,未来网络科技论坛,https://www.futuretechforumnetwork.org/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,125,μs,时序标志,频域估计,7.5,kHz,8.33,ms,600,m,Rician衰落,每3个符号,,中等,地址固定,《通信学报》,https://www.ctschina.org/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,160,μs,长序列,导频插入法,2.4,kHz,2,ms,900,m,AWGN,每个OFDM符号,1/32,高,nan,中国电子科技集团公司,http://www.cec.cn/,2024-10-16,,,
256,6.3,bps/Hz,1/4符号周期,45,μs,正交频率,最小二乘估计,5,kHz,4,ms,800,m,Rayleigh衰落,每隔2个符号,,适中,地址动态,智能通信研究中心,http://www.smartcommunication.org/,2024-10-16,,,
128,5.1,bps/Hz,1/16符号周期,50,μs,定向同步,信道脉冲响应,8.5,kHz,8.33,ms,600,m,Rician衰落,每个OFDM符号,,中等,地址固定,信息与通信工程学会,http://www.ieee-icc.org/,2024-10-16,,,
