试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
基于光计算的机器学习试验,20240107,机器学习计算平台,交叉研究,进行中,第一阶段,应用开发,武汉大学,武汉大学计算机学院,2024-01-22,2024-02-15,2024-07-30,2024-10-25,新申请,武汉光电科技有限公司,系统开发文档,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
智能可见光数据传输系统,20240108,智能数据传输链路,产品开发,准备中,第三阶段,产品测试,哈尔滨工业大学,哈尔滨工业大学智能系统实验室,2024-01-24,待定,2025-01-15,2024-10-30,新项目,智能网络公司,实验室纪录,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
可见光通信与5G系统协同研究,20240109,5G与光通信协同平台,结合研究,进行中,第二阶段,系统集成,东南大学,东南大学现代通信研究中心,2024-01-28,2024-02-12,待定,2024-11-01,技术更新,东南智能科技有限公司,研究架构文档,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于光计算的智慧城市设计研究,20240110,智慧城市光计算平台,应用方案,完成,第三阶段,基础研究,北京清华科技园,科技园技术研究院,2024-01-30,2024-02-20,2024-09-30,2024-10-10,新模式,智慧城市发展公司,项目数据分析,中国,科技园官网,https://www.tsinghua.com.cn/,2024-10-17,,,,,
光计算设备互操作性实验,20240111,光计算互操作平台,测试研究,进行中,第二阶段,系统开发,深圳大学,深圳大学网络与计算机实验室,2024-01-31,2024-03-05,2025-02-15,2024-11-03,技术提升,深圳智能科技有限公司,科学研究结果,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
智能可见光网络优化研究,20240104,智能VLC系统,网络优化,进行中,第一阶段,应用研究,南京理工大学,南京理工大学光电实验室,2024-01-12,2024-01-20,2024-06-20,2024-10-10,新申请,南京光电科技公司,实验室数据,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
基于可见光的室内定位系统研究,20240105,室内定位系统,技术开发,完成,第三阶段,技术验证,华东师范大学,华东师范大学光电研究中心,2024-01-15,2024-02-01,2024-03-30,2024-10-11,补充申请,华东光电科技有限公司,项目数据,中国,华东师范大学官网,https://www.ecnu.edu.cn/,2024-10-17,,,,,
可见光通信设备抗干扰能力实验,20240106,抗干扰VLC设备,实验室测试,进行中,第一阶段,基础研究,浙江大学,浙江大学光电技术研究所,2024-01-18,2024-02-05,待定,2024-10-12,新申请,浙江光电产业集团,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光计算中大规模数据处理技术,20240107,大数据处理光计算平台,应用研究,完成,第二阶段,技术开发,西安电子科技大学,西安电子科技大学光电子研究中心,2024-01-21,2024-02-15,2024-03-25,2024-10-09,技术改进,西安光电科技有限公司,项目报告,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
创新型可见光通信接口研究,20240108,创新VLC接口,产品开发,进行中,第一阶段,产品设计,中山大学,中山大学光电实验室,2024-01-25,2024-02-20,待定,2024-10-11,新申请,广东光电科技公司,实验室数据,中国,中山大学官网,https://www.sysu.edu.cn/,2024-10-17,,,,,
可见光通信网络优化算法开发,20240109,网络优化算法,算法研究,准备中,第一阶段,基础研究,重庆大学,重庆大学信息技术学院,2024-01-30,待定,待定,待定,初步申请,重庆光电研究所,研究数据,中国,重庆大学官网,https://www.cqu.edu.cn/,2024-10-17,,,,,
智能城市中光计算的应用,20240110,光计算应用平台,系统集成,完成,第二阶段,技术测试,深圳大学,深圳大学光电研究中心,2024-02-02,2024-03-01,2024-07-15,2024-10-12,技术更新,深圳光电产业公司,项目评估,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
光计算系统中的信号干扰分析,20240111,干扰分析系统,实验室测试,进行中,第一阶段,信号处理,哈尔滨工业大学,哈尔滨工业大学信息与电气工程学院,2024-02-05,2024-02-15,待定,2024-10-10,新项目,哈尔滨光电技术公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算框架下的智能决策系统设计,20240112,智能决策平台,系统开发,准备中,第一阶段,系统模块,东南大学,东南大学智能科学与工程学院,2024-02-10,待定,待定,待定,初步申请,江苏光电科技公司,设计文档,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
高效可见光信号传输测试,20240104,超高速光通信系统,基础研究,完成,第一阶段,实验验证,复旦大学,复旦大学光电研究中心,2024-01-15,2024-01-20,2024-03-01,2024-03-02,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
智能光计算平台优化,20240105,智能光计算系统,应用研究,进行中,第二阶段,技术优化,华中科技大学,华中科技大学光电中心,2024-01-19,2024-02-01,待定,2024-10-10,改进申请,华中光电科技有限公司,项目报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于可见光通信的IoT系统验证,20240106,IoT可见光方案,系统集成,准备中,第一阶段,系统测试,东南大学,东南大学光电系统实验室,2024-01-22,待定,待定,待定,初步申请,东南光电科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
新型可见光通信设备开发,20240107,VLC设备,设备研发,进行中,第二阶段,产品开发,上海大学,上海大学智能光通信实验室,2024-01-25,2024-02-05,待定,2024-10-11,项目申请,上海光信科技有限公司,项目数据,中国,上海大学官网,https://www.shu.edu.cn/,2024-10-17,,,,,
可见光计算与AI结合研究,20240108,AI光计算系统,应用研究,完成,第一阶段,理论研究,中山大学,中山大学光电实验室,2024-02-01,2024-02-10,2024-03-15,2024-03-16,新技术,中山科技有限公司,理论分析,中国,中山大学官网,https://www.sysu.edu.cn/,2024-10-17,,,,,
城市区域光通信网络实验,20240109,城市光网络系统,城市应用,准备中,第二阶段,网络测试,南京大学,南京大学光通信实验室,2024-02-05,待定,待定,待定,初步申请,南京光电科技有限公司,实验室数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
新一代可见光信号处理技术研究,20240110,先进信号处理系统,技术研究,进行中,第一阶段,技术开发,浙江大学,浙江大学光电技术研究所,2024-02-10,2024-02-15,2024-04-01,2024-04-02,技术申请,浙江光电科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
未来可见光通信市场分析,20240111,市场预测系统,行业研究,完成,第二阶段,市场研究,北京邮电大学,北京邮电大学市场研究中心,2024-02-15,2024-03-01,2024-05-01,2024-05-02,市场报告,北京未来科技有限公司,市场分析报告,中国,北京邮电大学官网,https://www.bupt.edu.cn/,2024-10-17,,,,,
LED照明下的可见光通信评估,20240104,LED-VLC融合系统,实验室测试,进行中,第一阶段,基础研究,武汉大学,武汉大学光电实验室,2024-01-02,2024-01-20,2024-03-20,2024-03-21,新申请,武汉光电科技发展有限公司,实验室数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
光计算在智能交通中的应用研究,20240105,智能交通信息平台,应用研究,准备中,第二阶段,应用开发,深圳大学,深圳大学电信与信息工程学院,2024-02-10,待定,待定,待定,项目申请,深圳智能科技有限公司,项目报告,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
基于VLC的校园网络实验,20240106,校园光网络系统,系统集成,完成,第一阶段,系统测试,东南大学,东南大学光通信研究中心,2024-03-01,2024-03-05,2024-05-10,2024-05-11,初步申请,南京光电技术有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
高效光计算芯片开发,20240107,光计算芯片平台,技术开发,进行中,第二阶段,产品开发,复旦大学,复旦大学电子工程系,2024-02-15,2024-02-20,待定,2024-10-10,改进申请,复旦光电科技有限公司,研发数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信应用于室内导航,20240108,室内定位系统,应用研究,完成,第一阶段,应用开发,哈尔滨工业大学,哈尔滨工业大学信息技术学院,2024-01-12,2024-01-15,2024-04-15,2024-04-16,初步申请,黑龙江光电科技有限公司,项目数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
下一代光计算架构设计,20240109,光计算架构实验平台,技术开发,进行中,第二阶段,基础研究,浙江大学,浙江大学光电研究所,2024-02-20,待定,待定,待定,技术申请,浙江光电有限公司,研究资料,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于深度学习的光通信算法开发,20240110,深度学习VLC系统,技术研究,进行中,第一阶段,算法开发,中国科学技术大学,中国科学技术大学信息科学与技术学院,2024-03-01,2024-03-10,2024-06-10,2024-06-11,创新申请,中国科大光电科技有限公司,项目数据,中国,中国科学技术大学官网,https://www.ustc.edu.cn/,2024-10-17,,,,,
光计算在5G网络中的应用,20240111,5G-光计算网络,应用研究,完成,第二阶段,技术测试,同济大学,同济大学智能交通研究所,2024-03-05,2024-03-15,2024-07-15,2024-07-16,技术优化,上海同济科技公司,系统测试数据,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
基于可见光技术的智能家居系统测试,20240104,智能VLC家居平台,应用研究,准备中,第一阶段,系统测试,华南理工大学,华南理工大学实验室,2024-01-12,待定,待定,待定,初步申请,广州光宜科技有限公司,实验室数据,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
可见光通信与5G融合技术研究,20240105,5G-VLC融合平台,基础研究,进行中,第二阶段,技术开发,浙江大学,浙江大学研究中心,2024-01-15,2024-01-20,待定,2024-10-12,新申请,杭州光电公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
新型VLC系统可靠性评估,20240106,高效率VLC系统,实验室测试,完成,第一阶段,基础研究,西安交通大学,西安交通大学实验室,2024-01-20,2024-02-01,2024-03-01,2024-03-02,技术改进,西安光电科技有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
光计算技术在城市通讯中的应用,20240107,城市VLC网络系统,应用研究,进行中,第二阶段,技术开发,天津大学,天津大学研究所,2024-01-22,2024-02-05,待定,2024-10-12,改进申请,天津光电有限公司,城市发展报告,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
高通量VLC系统设计与实验,20240108,超高速VLC系统,实验室测试,完成,第一阶段,基础研究,北京航空航天大学,北航智能通信实验室,2024-02-01,2024-03-01,2024-05-10,2024-05-11,新申请,北京求知科技有限公司,项目报告,中国,北航官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
基于VLC的自动驾驶测试方案,20240109,VLC自动驾驶试验平台,应用研究,进行中,第二阶段,系统测试,武汉大学,自动驾驶实验室,2024-02-10,2024-02-15,待定,2024-10-12,技术申请,武汉智能科技有限公司,项目数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
可见光通信技术社区应用研究,20240110,社区VLC系统,基础研究,准备中,第一阶段,系统测试,四川大学,川大实验研究中心,2024-02-20,待定,待定,待定,初步申请,成都光电科技有限公司,社区推介,中国,四川大学官网,https://www.scu.edu.cn/,2024-10-17,,,,,
基于光计算的新一代通讯系统设计,20240111,下一代VLC系统,应用研究,进行中,第三阶段,技术开发,南京邮电大学,电信学院实验室,2024-02-25,待定,待定,待定,新技术申请,南京光电发展有限公司,行业报告,中国,南京邮电大学官网,https://www.njupt.edu.cn/,2024-10-17,,,,,
基于LED的可见光通信机制研究,20240104,LED通信系统,基础研究,完成,第二阶段,基础研究,哈尔滨工业大学,哈尔滨光电研究中心,2024-02-01,2024-02-10,2024-03-15,2024-03-16,新申请,哈尔滨科技公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
高频光计算系统的信号稳定性分析,20240105,高频光计算平台,实验室测试,进行中,第一阶段,系统测试,复旦大学,复旦大学光电实验室,2024-02-05,2024-02-20,2024-08-20,2024-10-10,申请改进,复旦光电科技企业,内部数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于光信号处理的网络优化研究,20240106,网络优化实验平台,应用研究,完成,第二阶段,系统测试,西安交通大学,西安网络研究中心,2024-02-15,2024-03-01,2024-06-10,2024-06-11,技术升级,西安光电技术有限公司,项目报告,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
低能耗可见光数据传输优化研究,20240107,低能耗VLC系统,基础研究,进行中,第一阶段,基础研究,东南大学,东南大学电子信息学院,2024-02-18,2024-03-05,2024-09-15,2024-10-10,新申请,东南光电技术公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
新型光计算系统的硬件测试,20240108,新型光计算平台,产品测试,准备中,第一阶段,产品开发,浙江大学,浙江大学光电研究院,2024-02-22,待定,待定,待定,初步申请,浙江光电科技有限公司,项目数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
高效VLC技术在智能家居中的应用,20240109,智能家庭可见光通信系统,应用研究,完成,第二阶段,市场应用测试,南京理工大学,南京光电技术研究院,2024-03-01,2024-03-10,2024-05-20,2024-05-21,技术应用,南京智能科技有限公司,项目报告,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
光通信在城市环境下的可行性研究,20240110,城市光通信实验系统,应用研究,进行中,第一阶段,系统测试,武汉大学,武汉光通信实验室,2024-03-05,待定,待定,待定,初步申请,武汉智能光电技术有限公司,市场分析,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
智能交通系统中的可见光通信应用,20240111,智能交通光通信平台,系统集成,准备中,第一阶段,应用开发,北京交通大学,北京交通大学智能交通研究所,2024-03-10,待定,待定,待定,技术研究,北京交通光电技术有限公司,研究论文,中国,北京交通大学官网,https://www.bjtu.edu.cn/,2024-10-17,,,,,
高速光通信信号传输实验,20240104,超高速VLC系统,实验室研究,进行中,第一阶段,基础研究,复旦大学,复旦大学光学实验室,2024-01-12,2024-01-20,2024-03-20,2024-10-11,新申请,复旦科技有限公司,实验报告,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光计算平台性能优化,20240105,高效光计算系统,应用研究,准备中,第三阶段,技术优化,华中科技大学,华科大学研究中心,2024-01-15,待定,待定,待定,新申请,光计算技术公司,技术白皮书,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
无线与光通信结合的研究,20240106,光无线融合系统,系统设计,完成,第二阶段,系统测试,南开大学,南开大学光通信研究所,2024-02-05,2024-02-10,2024-04-15,2024-10-10,技术改进,南开科技有限公司,实验室资料,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
下一代光通信标准研究,20240107,光标准化系统,政策研究,进行中,第一阶段,政策研究,浙江大学,浙江大学政策研究中心,2024-01-20,2024-01-25,2024-05-25,2024-10-12,新项目,浙江光电技术,政策文件,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于LED的光信号处理实验,20240108,LED信号处理系统,基础研究,完成,第二阶段,系统测试,新疆大学,新疆大学光电实验室,2024-02-01,2024-02-05,2024-02-20,2024-10-09,新技术,LED科技有限公司,实验室数据,中国,新疆大学官网,https://www.xju.edu.cn/,2024-10-17,,,,,
下一代光通信算法研究,20240109,新型光计算平台,算法研究,准备中,第一阶段,应用开发,哈尔滨工业大学,哈工大计算中心,2024-02-10,待定,待定,待定,项目申请,光信号科技有限公司,项目计划,中国,哈工大官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光通信对比传统通信技术,20240110,光通信与传统网络对比,应用评估,进行中,第二阶段,技术评估,西安交通大学,西安交大通信与信息工程学院,2024-02-15,2024-02-25,2024-08-25,2024-10-10,改进申请,西安光电科技有限公司,技术报告,中国,西安交大官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
基于光的人工智能系统测试,20240111,光AI系统,智能研究,完成,第一阶段,应用开发,北京航空航天大学,北航科技研究所,2024-02-20,2024-02-28,2024-03-30,2024-10-08,新技术,北航光电科技,实验室报告,中国,北航官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
高效能可见光通信网络验证,20240104,高效通信实验平台,实验室测试,完成,第三阶段,系统集成,华中科技大学,华中科技大学光电实验室,2024-01-10,2024-01-20,2024-03-15,2024-03-16,新申请,华中光电科技有限公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于可见光的智能家居网络研究,20240105,智能家居光通信系统,应用研究,进行中,第一阶段,技术开发,浙江大学,浙江大学智能系统实验室,2024-01-15,2024-01-25,待定,2024-10-12,研究申请,杭州光联技术公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光与微波融合信道研究,20240106,融合信道实验平台,系统集成,准备中,第二阶段,系统测试,复旦大学,复旦大学光电研究中心,2024-01-20,待定,待定,待定,初步申请,复旦光电集团,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
新一代光计算机的架构设计,20240107,下一代光计算平台,基础研究,完成,第一阶段,技术研究,南京大学,南京大学计算光学实验室,2024-01-25,2024-02-05,2024-04-10,2024-04-11,新技术,南京光电设计公司,实验室数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
基于大数据的可见光通信优化研究,20240108,大数据光通信系统,应用开发,进行中,第二阶段,技术开发,西安交通大学,西安交通大学信息技术研究所,2024-02-01,2024-02-10,待定,2024-10-12,优化申请,西安智慧科技公司,项目数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
量子通信与可见光结合的前沿研究,20240109,量子光通信系统,基础研究,完成,第三阶段,系统测试,清华大学,清华大学量子研究中心,2024-02-05,2024-02-15,2024-04-20,2024-04-21,新技术,清华量子科技有限公司,实验室数据,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
可见光通信在城市交通中的应用研究,20240110,城市交通光通信系统,应用研究,进行中,第一阶段,技术开发,同济大学,同济大学交通研究院,2024-02-10,2024-02-20,待定,2024-10-12,研究申请,上海都市科技公司,项目报告,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
可见光通信的节能技术开发,20240111,节能光通信系统,技术开发,完成,最后阶段,技术研究,哈尔滨工业大学,哈工大光电技术研究中心,2024-02-12,2024-02-15,2024-05-10,2024-05-11,新技术,哈工大科技发展公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hbtu.edu.cn/,2024-10-17,,,,,
可见光通信抗干扰能力研究,20240104,抗干扰VLC系统,特色研究,进行中,第一阶段,基础研究,复旦大学,复旦大学工程学院,2024-01-11,2024-01-20,2024-05-20,2024-10-12,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
新型光计算系统研发,20240105,新型光计算平台,技术创新,准备中,第一阶段,产品研发,哈尔滨工业大学,哈工大研究所,2024-01-16,待定,待定,2024-10-12,初步申请,智能光电科技,项目文献,中国,哈工大官网,https://www.hust.edu.cn/,2024-10-17,,,,,
智能可见光通信系统研究,20240106,智能VLC系统,优化研究,进行中,第二阶段,技术攻关,浙江大学,浙大信息学院,2024-01-09,2024-01-25,2024-04-30,2024-10-12,新技术,浙江光电公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光网络性能评估,20240107,高效VLC网络,系统评估,完成,第三阶段,应用研究,华中科技大学,华科大学实验室,2024-01-15,2024-02-01,2024-02-28,2024-10-10,项目申请,华中光电公司,项目报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
紧急光通信系统测试,20240108,紧急VLC网络,应用推广,进行中,第二阶段,技术测试,中国科学院,中国科学院光电研究所,2024-01-18,2024-01-22,2024-06-15,2024-10-12,新技术,中科院科技公司,实验室观察,中国,中科院官网,https://www.cas.cn/,2024-10-17,,,,,
光计算能效优化实验,20240109,高效光计算系统,最高效率,完成,第一阶段,系统优化,南京大学,南京大学自动化系,2024-01-13,2024-02-05,2024-09-01,2024-10-08,技术改进,南京光电有限公司,实验室分析,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
智能光网络融合研究,20240110,智能融合网络,新兴技术,进行中,第二阶段,前沿研究,西安交通大学,西交大智能实验室,2024-01-19,2024-02-15,预计2024-12-30,2024-10-12,新申请,西安科技公司,技术文献,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
光通信卫星传输实验,20240111,卫星VLC系统,航天应用,准备中,第一阶段,重大应用,北京航空航天大学,北航航天研究所,2024-01-20,待定,待定,2024-10-12,初步申请,北航高科技公司,工程报告,中国,北航官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
光信号传输延迟分析,20240104,超高速光通信系统,系统测试,完成,第三阶段,基础研究,浙江大学,浙江大学通信实验室,2024-02-01,2024-02-10,2024-03-15,2024-03-16,新申请,浙江光电技术有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
光计算与AI结合的应用探讨,20240105,AI光计算平台,应用研究,进行中,第一阶段,技术研发,华南理工大学,华南理工大学自动化研究所,2024-03-05,2024-03-10,2024-07-10,2024-10-15,改进申请,智慧光电公司,项目报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
室外可见光通信稳定性实验,20240106,户外光通信系统,实验室测试,准备中,第一阶段,系统测试,南京信息工程大学,南京信息工程大学光电实验室,2024-02-20,待定,待定,待定,初步申请,光享科技有限公司,实验室数据,中国,南京信息工程大学官网,https://www.njuit.com/,2024-10-17,,,,,
基于VLC的智慧城市解决方案,20240107,智慧城市光网络,应用研究,进行中,第一阶段,系统开发,东南大学,东南大学光电工程学院,2024-01-15,2024-01-20,2024-12-30,2024-10-17,新技术,城市光网科技有限公司,项目报告,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
光计算加速数据传输效率试验,20240108,光计算加速平台,基础研究,完成,第二阶段,技术研究,复旦大学,复旦大学计算机科学系,2024-02-28,2024-03-05,2024-04-30,2024-05-01,新申请,复旦光电发展有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
城市光网络系统安全测试,20240109,光网络安全系统,系统测试,进行中,第一阶段,安全研究,哈尔滨工业大学,哈尔滨工业大学信息安全中心,2024-01-25,2024-02-01,2024-10-15,2024-10-18,改进申请,哈尔滨科技发展有限公司,项目数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
VLC增强现实技术应用研究,20240110,AR光通信系统,应用开发,完成,第三阶段,技术研发,天津大学,天津大学电子工程系,2024-03-15,2024-03-20,2024-08-15,2024-08-16,新技术,天津光电技术有限公司,实验室数据,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
协同光网络教育平台建设,20240111,光网络教育平台,教育研发,进行中,第二阶段,综合应用,西安交通大学,西安交通大学智慧教育中心,2024-02-10,2024-03-01,2024-09-01,2024-10-19,新申请,西电科技有限公司,项目数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
下一代可见光通信性能分析,20240104,下一代VLC系统,使用案例研究,进行中,第一阶段,基础研究,华中科技大学,华中科技大学研究中心,2024-01-20,2024-02-01,2024-12-31,2024-10-10,新申请,华中光电公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光与无线融合网络优化实验,20240105,网络融合优化平台,系统集成,完成,第三阶段,系统开发,南京理工大学,南京理工大学实验室,2024-02-05,2024-02-15,2024-09-30,2024-10-11,技术改进,南京科技有限公司,项目报告,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
可见光通信传输距离提升研究,20240106,远程传输平台,应用研究,进行中,第一阶段,技术研究,浙江大学,浙江大学信息科学学院,2024-01-12,2024-01-20,2025-05-30,2024-10-12,新技术,浙江光电有限公司,项目数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
智能光网络实验研究,20240107,智能光网络平台,系统集成,准备中,第二阶段,技术开发,天津大学,天津大学研究所,2024-01-18,待定,待定,待定,初步申请,天津光电科技有限公司,实验室数据,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
光计算系统性能提升试验,20240108,光计算智能算法平台,应用研究,完成,第三阶段,系统测试,哈尔滨工业大学,哈尔滨工业大学研究中心,2024-01-30,2024-02-15,2024-10-20,2024-10-13,技术优化,哈尔滨光电技术公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
可见光通信系统与物联网结合实验,20240109,VLC物联网平台,研究开发,进行中,第一阶段,技术研究,武汉大学,武汉大学光电研究所,2024-02-02,2024-02-20,2025-03-15,2024-10-14,新技术,武汉光电有限公司,项目数据,中国,武汉大学官网,https://www.whu.edu.cn/,2024-10-17,,,,,
基于光计算的智能交通系统研究,20240110,智能交通光网络,应用开发,准备中,第一阶段,系统测试,西安交通大学,西安交通大学智能交通中心,2024-03-01,待定,待定,待定,初步申请,西安光电科技有限公司,项目报告,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
新型高效率可见光传输系统研究,20240111,高效率光传输平台,实验研究,进行中,第二阶段,技术开发,东南大学,东南大学工程研究中心,2024-02-15,2024-03-01,2025-02-28,2024-10-15,技术改进,东南光电有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
光通信网络增强研究,20240104,先进光通信系统,实验室测试,完成,第一阶段,基础研究,华东理工大学,华东理工大学实验室,2024-01-12,2024-01-20,2024-04-15,2024-04-16,新申请,华东光电科技有限公司,实验室观察,中国,华东理工大学官网,https://www.ecust.edu.cn/,2024-10-17,,,,,
可见光通信及光计算的协同研究,20240105,光数据处理与切换系统,应用研究,进行中,第二阶段,技术开发,西安电子科技大学,西安光电技术研究所,2024-01-17,2024-01-25,待定,2024-10-11,技术改进,西安光电子科技集团,项目申请,中国,西安电子科技大学官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
光通信技术在智能家居中的应用实验,20240106,智能家居光通信系统,系统集成,准备中,第一阶段,应用测试,哈尔滨工业大学,哈尔滨科学研究院,2024-02-01,待定,待定,待定,初步申请,智能科技有限公司,市场调研,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算在大数据处理中的应用研究,20240107,大数据光计算平台,研发项目,进行中,第二阶段,技术研发,东南大学,东南大学光电研究中心,2024-02-10,2024-02-15,待定,2024-10-10,新技术,东南光电科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
智能交通系统中的可见光通信研究,20240108,智能交通通信平台,应用研究,进行中,第三阶段,系统开发,深圳大学,深圳光电产业研究院,2024-02-15,2024-03-01,待定,2024-10-15,技术应用,深圳交通科技有限公司,行业研究报告,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
新型可见光通信设备研发,20240109,可见光通信终端,产品开发,准备中,第一阶段,产品测试,浙江大学,浙江大学光电研究所,2024-02-18,待定,待定,待定,新申请,浙江光电技术有限公司,技术分析,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
高速光计算架构优化,20240110,高性能光计算系统,研究开发,进行中,第三阶段,系统优化,同济大学,同济大学光电学院,2024-03-01,2024-03-10,待定,2024-10-14,技术改进,同济光电科技集团,研究报告,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
