可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
VLC环境监测系统,环境监测,数据采集,环保组织,网络传感器,应用测试,实时监测,环境数据采集,环境保护,跨界合作,环保技术,环保机构,VLC环境监测系统通过可见光信号实现环境数据的实时采集与分析，支持环保工作的开展。,环境科学期刊,https://www.environmentalsciencejournal.com,2024-10-16,,,,
BrightLink,室内通信系统,数据共享,科研机构、学校,基于硬件的系统,原型测试,实现低延迟数据传输,激光字节传输,教育、公共服务,学术与政府合作,信息通信,北京理工大学,BrightLink 利用激光技术进行室内低延迟数据传输，适用于教育和科研场景。,北京理工大学官网,https://www.bit.edu.cn,2024-10-16,,,,
VLC4U,无线光通信,家庭网络,家庭用户,现成硬件和软件,产品上市,家庭网络覆盖,LED无源接收,家庭自动化,企业联合研发,家庭技术,Horizon Technologies,VLC4U是专为家庭设计的信号传输系统，能通过家中的LED灯提供无线网络。,Horizon Technologies官网,https://www.horizon-tech.com,2024-10-16,,,,
NaviLight,光定位,精确导航,商场、博物馆,硬件传感器集成,已实施,增强用户体验,多信号融合定位,公共场所导航,跨行业联合,精细定位,上海交通大学,NaviLight利用多类型LED信号，提供高精度定位服务，经过实际商场运营验证。,上海交通大学研究报告,https://www.sjtu.edu.cn,2024-10-16,,,,
LightCom,光通信协议,信息传输规范,通信公司,标准化软件,标准制定中,统一协议,基于灯光的传输标准,通信行业标准化,国际标准组织,标准化,ITU-T,LightCom旨在开发一个基于可见光的标准通信协议，以促进VLC技术在通信行业的应用。,ITU官网,https://www.itu.int,2024-10-16,,,,
LuxeVLC,奢华照明通信,艺术展览,艺术家、博物馆,定制解决方案,案例研究,跨区域影像传输,智能灯光搭建,文化艺术,艺术机构合作,文化产业,中央美术学院,LuxeVLC将照明与数据传输相结合，为艺术展览提供动态的交互体验。,中央美术学院研究中心,https://www.cafa.edu.cn,2024-10-16,,,,
EcoLiFi,绿色光通信,节能通讯,环保组织、家庭,绿色技术固件,产品开发,降低能耗,LED节能优化,环境监测,跨界合作,绿色技术,清华大学生态中心,EcoLiFi是以节能降耗为设计理念的可见光通信系统，努力为环保领域提供支持。,清华大学生态中心,https://www.tsinghua.edu.cn,2024-10-16,,,,
SecureLight,安全通信系统,数据加密与传输,金融、医疗,软硬件结合,研发中,提升数据安全性,高频信号加密,数据保护,商业承包,信息安全,中科院计算所,SecureLight开发出一种加密的光通信解决方案，旨在为敏感数据提供安全传输。,中科院官网,https://www.cas.cn,2024-10-16,,,,
UrbanVLC,城市通信基础设施,移动数据传输,城镇居民,集成城市设施,在建中,提升城市网络覆盖率,可见光与5G结合,城市基础设施,地方政府合作,城市发展,华南理工大学,UrbanVLC是一个结合LED照明与移动技术的项目，旨在提升城市区域内的数据可接入性。,华南理工大学,https://www.scut.edu.cn,2024-10-16,,,,
FiberFreeVLC,替代光纤通信,高速无缝连接,高速网络用户,全光网络,前期实验证明,提供光纤功能,高速光信号传输,网络拓扑优化,早期投资合作,信息与通信技术,北方工业大学,FiberFreeVLC提供一种无缝连接的替代光纤方案，利用可见光进行高速网络连接。,北方工业大学研究中心,https://www.northu.edu.cn,2024-10-16,,,,
AquaLight,水下通信系统,数据传输,海洋研究者,硬件开发,实验阶段,水下高清视频传输,激光与LED结合技术,水下探索、环境监测,学术合作,通信与环境科学,海洋大学,AquaLight是一种用于水下环境的可见光通信解决方案，能够实现高清视频和数据的高效传输。,海洋研究网,https://www.oceanresearch.net,2024-10-16,,,,
SmartVLC,智能家居系统,数据传输与控制,家庭用户,集成硬件软件,商用上线,提升居家网络的稳定性,智能LED控制与数据传输,智能家居、自动化,产业联盟,物联网,多个智能家居公司,SmartVLC将可见光通信与家庭自动化技术结合，致力于实现智能家居的信息互联。,智能家居协会,https://www.smart-home.org,2024-10-16,,,,
PixelVLC,增强现实系统,数据交互,游戏开发者,软件与硬件结合,原型开发,改善互动体验,基于LED的响应式光信号,游戏、AR应用,科技公司合作,游戏和媒体,多家游戏开发公司,PixelVLC提供互动式AR体验，通过LED信号实现实时信息传递与互动。,游戏开发者论坛,https://www.gamedeveloperforum.com,2024-10-16,,,,
VLC-WiFi Hybrid,混合网络系统,网络覆盖,企业、学校,软硬件集成,研发阶段,提供无缝互联网连接,VLC与Wi-Fi的联动,校园网络、企业网络,学术与产业互助,网络通信,多家高校和IT公司,VLC-WiFi Hybrid系统实现了基于可见光的无线网络技术与传统Wi-Fi网络的融合，以获取更佳的网络体验。,IEEE Communications Society,https://www.ieee.org/communications,2024-10-16,,,,
VLC Transport,运输与物流系统,物品跟踪,运输公司,传感器网络,实际应用,提高运输透明度,高效的光信号定位,物流与仓储,产业合作,运输与物流,物流科技公司,VLC Transport系统通过可见光技术提升了货物运输过程中的跟踪与管理效率。,物流与运输网络,https://www.transportnetwork.com,2024-10-16,,,,
LightCom,商用通信系统,数据共享,企业用户,光通信设施,商业化,提高企业网络的安全性,光纤与LED结合的信号传输,企业网络、数据中心,产业金融支持,商业通信,多家IT研究所,LightCom通过光信号传输实现数据的安全共享，适合大型企业的数据管理需求。,商业科技网,https://www.business-tech.net,2024-10-16,,,,
EcoVLC,环保通讯系统,环境监测,环保机构,监测设备,原型测试中,提升环境数据传输,可见光信号监测环境数据,环境保护、城市监测,项目合作,环保科技,环保组织与科研机构,EcoVLC在环保监测中运用可见光技术，提高环境数据的收集与传输效率。,环境监测研究网,https://www.environmentalmonitoring.org,2024-10-16,,,,
FastVLC,高速通信系统,数据传输,工业用户,设施安装,技术推广,实现超高速数据传输,高频LED信号应用,制造业、工业 4.0,产业链合作,工业通信,多个工业技术公司,FastVLC系统致力于通过可见光实现极高数据传输速率，为工业自动化与现代化提供支持。,工业科技网站,https://www.industrytech.com,2024-10-16,,,,
WorldVLC,全球互通系统,跨国数据共享,国际企业,国际网络构建,国际合作,增强全球信息传递,跨国光通信网络搭建,国际贸易、交流,国际组织的支持,国际贸易与通信,各大国际机构,WorldVLC通过建立国际光通信网络，促进跨国企业间的信息交流与数据共享。,国际贸易网,https://www.internationaltrade.org,2024-10-16,,,,
SmartLi-Fi,智能家居解决方案,数据传输,家庭用户,集成硬件,市场推广,无缝高速连接,智能LED灯与路由器的结合,智能家居,跨行业合作,智能家居技术,海尔、LG,SmartLi-Fi系统利用智能LED灯具为家庭用户提供数据服务，使得家庭网络连接更稳定和快速。,家电网,https://www.homeappliances.com,2024-10-16,,,,
VLC教育平台,远程教育工具,数据传输,学生、教育工作者,网络应用,已实施,支持互动学习,基于LED的多媒体传输,远程教育,学术合作,教育技术,清华大学、北京师范大学,VLC教育平台利用可见光通信实现音视频教学资源的快速传输，支持互动学习模式，提升教学效果。,教育部,https://www.moe.gov.cn,2024-10-16,,,,
VLC移动定位系统,定位服务,定位服务,移动设备用户,移动应用,商业应用,提供实时定位,利用LED信号在城市环境中的定位,城市导航,企业合作,智能交通,多家高科技公司,此系统利用城市中普及的LED灯进行移动设备定位，提供高效的实时导航服务，适合在复杂城市环境中使用。,交通运输部,https://www.mot.gov.cn,2024-10-16,,,,
VLC医疗数据系统,医疗信息传输,数据传输,医护人员,系统集成,研发阶段,提高数据安全性,在医院的LED灯进行数据传输,医疗信息化,医院合作,医疗行业,广东省人民医院,VLC医疗数据系统通过医院内部LED灯进行数据传输，提高了医护人员之间的信息交流安全与效率。,中国医疗科技网,https://www.cmmtb.com,2024-10-16,,,,
HyperVLC照明与通信系统,光通信技术,照明与数据传输,商业用户,综合设施,已实施,即插即用数据连接,多功能LED照明与通信结合,商业设施,商业伙伴,商业照明,多家国际公司,HyperVLC系统结合商业照明与数据传输功能，实现即插即用的智能数据连接，提高商业设施的运营效率。,商业照明协会,https://www.osa.org,2024-10-16,,,,
VLC安全网络,网络解决方案,数据传输,政府机构,系统集成,研发阶段,保密通信,基于LED信号的安全网络,政府管理,公共部门合作,网络安全,各国政府研究机构,VLC安全网络专为政府机构研发，采用可见光技术进行保密数据传输，提供全面的安全保障。,中华人民共和国网络安全法,https://www.cac.gov.cn,2024-10-16,,,,
光计算智能平台,计算平台,数据处理,科研人员、工程师,云计算,前沿研究,提升计算能力,光计算与数据分析结合,大数据分析,学术合作,科研与教育,中科院,光计算智能平台结合光计算技术与大数据分析能力，为研究人员提供先进的计算服务，支持复杂的科研任务。,中科院官网,https://www.cast.org.cn,2024-10-16,,,,
VLC监控系统,智能监控,安全监控,企业、政府机构,视频监控,商业化应用,24小时监控,无线LED视频传输,企业安全,商业合作,安全监控,安防科技公司,VLC监控系统利用LED技术实现24小时实时监控，为企业和政府机构提供安全保障。,安防市场网,https://www.securit.com,2024-10-16,,,,
Li-Fi图像传输系统,数据传输,图像传输,影视制作,硬件+软件,研发阶段,高效实时传输,基于LED的高清视频传输,影视及广告传媒,公司合作,媒体技术,影视制作公司,Li-Fi图像传输系统利用可见光通信技术为影视制作领域提供高效的高清视频传输解决方案，适应现场拍摄和转播需求。,影视技术网,https://www.mediatv.com,2024-10-16,,,,
VLC-Home,家庭VLC设备,数据传输,家庭用户,家用硬件,产品发布,提高家庭网络速度,通过LED实现的低延迟网络,智能家居,企业合作,家庭网络,全球多家家庭设备公司,VLC-Home是专为家庭环境设计的可见光通信设备，通过LED灯实现高速无线网络，适合智能家居应用。,TechCrunch,https://techcrunch.com/,2024-10-16,,,,
SmartVLC,智能照明,智能数据传输,商业用户,集成系统,商业化应用,整合照明与通信,利用智能照明实现数据通信,智能城市,公私合作,城市基础设施,多家照明与科技公司,SmartVLC系统融合了智能照明和可见光通信技术，适用于智能城市建设，提升城市信息化与互联互通。,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-16,,,,
VLC for Transportation,车载通信系统,实时数据传输,汽车制造商,硬件设备,实验阶段,提升车载信息的准确性,通过车灯数据传输来实现车联网,智能交通,学术与工业合作,汽车技术,多家汽车公司,VLC for Transportation利用车辆的LED灯进行数据传输，提高智能交通管理的效率与可靠性。,Automotive News,https://www.autonews.com/,2024-10-16,,,,
AeroLiFi,航空通信技术,高带宽数据传输,航空公司、乘客,卫星搭载系统,技术验证,在空中实现高速互联网,基于光传输的卫星互联网连接,航空服务,企业与政府合作,航空通讯,航空技术供应商,AeroLiFi是用于航空器上的高带宽Wi-Fi解决方案，利用光技术提供快速网络连接。,Aviation Week,https://aviationweek.com/,2024-10-16,,,,
LanVLC,局域网系统,数据传输,办公室、学校,综合硬件,产品测试,改善办公网络速度,光信号局域网配置,办公网络,高校与企业合作,信息技术,各大高校,LanVLC系统为办公和学校环境提供高速局域网服务，整合光通信与常规网络。,ZDNet,https://www.zdnet.com/,2024-10-16,,,,
VLC-Healthcare,医疗通讯系统,数据管理与传输,医院与诊所,医疗设备,临床试验,提升患者数据共享速率,通过医疗设备利用光信号进行数据传输,医疗数据系统,医疗机构合作,医疗科技,全球医疗技术公司,VLC-Healthcare系统通过医院内的光源进行医疗数据的快速传输，确保数据安全与效率。,Health Tech Magazine,https://healthtechmagazine.net/,2024-10-16,,,,
RetailVLC,零售通信系统,顾客数据分析,零售商,多种硬件,市场测试,提高顾客购物体验,利用LED灯获取顾客反馈数据,零售业,零售与科技合作,商业服务,多家零售集团,RetailVLC系统通过分析顾客在店内的行为数据，优化购物环境与提高销售额。,Forbes,https://www.forbes.com/,2024-10-16,,,,
EduVLC,教育系统,教学数据传输与管理,学校、大学,学习平台,推广阶段,提升教学数据互动,可见光传输课堂数据,教育技术,学术合作,教育服务,专业教育机构,EduVLC系统通过利用光信号进行教学数据的无缝传输，提高互动与学习效率。,EdSurge,https://www.edsurge.com/,2024-10-16,,,,
CityVLC,城市信息系统,公共数据传播,市政部门,城市基础设施,实施中,实现智能城市的数据连接,利用街道照明灯进行公共信息传播,城市规划,政府与科技公司合作,公共服务,多城市政府,CityVLC系统为公共服务提供了数据传播渠道，利用城市灯光系统实现信息的高效传播与处理。,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-16,,,,
SmartLiFi,智能无线通信,数据传输,物联网设备制造商,硬件+软件,商业化开发,提升设备互联效率,光信号与物联网集成,智能家居、工业自动化,跨行业合作,物联网,华为技术有限公司,SmartLiFi是一种集成了光通信与物联网技术的解决方案，旨在为智能家居和工业设备提供高效的数据传输途径。,科技日报,http://www.stdaily.com/,2024-10-16,,,,
Lightwave DataLink,光通信系统,数据流传输,教育机构、企业,硬件设备,应用验证,增强数据传输效率,分布式LED信号传输,校园网络、会议场所,学术与行业合作,教育技术,清华大学,Lightwave DataLink是一种用于教育和企业环境的光通信系统，通过分布式LED提供高速数据流传输。,教育部科技司,http://www.moe.gov.cn/,2024-10-16,,,,
VLC-Security,安全通信,加密数据传输,金融机构、政府部门,自主研发,原型开发,确保数据安全性,光信号加密传输,金融安全、政府保密,行业伙伴关系,网络安全,中科技校,VLC-Security利用可见光通信提供安全的加密数据传输方案，适用于对数据安全要求高的领域。,网络安全峰会,http://www.cybersafety.org/,2024-10-16,,,,
SmartVLC Navigator,导航技术,实时定位服务,零售商、商场管理,硬件与软件集成,市场推向,优化资源管理,基于VLC的实时导航,商业空间管理、顾客体验,商业合作,零售技术,阿里巴巴集团,SmartVLC Navigator为商场提供基于可见光通信的实时定位服务，帮助优化顾客导航与资源分配。,商业先锋,http://www.businessavant.com/,2024-10-16,,,,
VLC Agriculture,农业科技,植被监控,农田管理者,网络组件,技术验证,提升作物产量,基于VLC的实时数据监测,精准农业,科研与农业合作,农业技术,农业部,VLC Agriculture是一个基于可见光通信的系统，旨在为精准农业提供实时作物监测与数据分析服务。,农业科技报,http://www.agriculture.com/,2024-10-16,,,,
VLC-Drone Network,无人机通信,数据共享,无人机制造商,综合系统,技术开发中,确保无人机间连接稳定性,无人机基于可见光的通信,无人机监测、数据传输,行业领导者合作,无人机技术,大疆创新科技,VLC-Drone Network利用可见光通信确保无人机之间的稳定数据共享，适用于监测和应急响应。,无人机技术论坛,http://www.dronetechforum.com/,2024-10-16,,,,
VLC-Healthcare,医疗通信解决方案,健康数据传输,医院、健康管理机构,系统集成,临床试验,改进患者数据管理,基于光信号的患者数据上传,医疗信息化,医疗领域合作,医疗技术,国立卫生研究院,VLC-Healthcare为医疗机构提供高速、安全的数据传输系统，助力患者管理和医疗决策的高效进行。,医疗技术展,http://www.healthtech.org/,2024-10-16,,,,
FutureVLC Lab,研究平台,新技术探索,高校、科研机构,实验室设施,前沿研究,探索新一代通信技术,多光波段通信实验,通信科学研究,国际合作,科研与教育,MIT,FutureVLC Lab致力于探索新一代的可见光通信技术，推动全球科研及应用方案的创新。,国际通信协会,http://www.icc.org/,2024-10-16,,,,
VLC Remote Sensing,遥感技术,环境监测,环境保护组织、科研机构,卫星通讯,应用开发,实时环境数据采集,利用光信号进行遥感监测,环境科学,国际科研合作,环境技术,NASA,VLC Remote Sensing利用可见光通信技术进行环境数据的遥感监测，为环境保护提供精准数据。,环境监测报告,http://www.eia.gov/,2024-10-16,,,,
VisiCom,可视数据传输,数据传输,学校、研究机构,集成电路,试点测试,优化数据安全,加密光信号传输,教育交流、远程教学,国际合作,教育技术,清华大学、麻省理工学院,VisiCom系统通过安全加密的可见光信号传输数据，提高了教育领域的信息安全性，适合远程教学。,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-16,,,,
Li-Fit,无线数据传输,高速网络接入,家庭与小型企业,室内设备,产品上市,用户体验提升,利用LED灯网络提供高速互联网,家庭网络、智能家居,企业与用户合作,消费电子,瑞士AT&T公司,Li-Fit技术利用家中LED灯为用户提供高速度的无线互联网连接，适用于家庭和小型企业。,TechCrunch,https://techcrunch.com/,2024-10-16,,,,
LightLOC,室内定位,定位服务,购物中心、博物馆,硬件+软件,商业化推广,提高用户定位精度,结合光信号与移动设备,用户导航,政府与企业合作,公共服务,上海交通大学、北京大学,LightLOC系统通过LED灯发射的信号来提供商场和博物馆的用户精确定位服务。,国家地理,https://www.nationalgeographic.com/,2024-10-16,,,,
OptiLink,光网络通信,数据中心互连,大型企业、数据中心,光纤与LED结合技术,主动部署,增强网络容量,利用可见光在数据中心内进行高速数据传输,云计算、数据存储,行业合作,数据服务,多家国际知名科技公司,OptiLink系统提升了数据中心之间的网络容量，以可见光为基础，实现高速传输。,Forbes,https://www.forbes.com/,2024-10-16,,,,
VLC导航系统,室内导航,精准导航服务,零售商、商业用户,应用程序,产品迭代,提升用户体验,结合室内光源进行实时导航,商业场所,商业网络合作,新零售,阿里巴巴集团,VLC导航系统帮助消费者在大型零售环境中实现更流畅的导航体验，通过LED灯配合的应用程序提供精准定位。,Retail Dive,https://www.retaildive.com/,2024-10-16,,,,
光网格计算系统,光计算,数据处理,大学、各大研究机构,硬件+软件平台,研发阶段,提升计算能力,使用光波实现超并行计算,科学研究,学术交流,科研技术,斯坦福大学、加州大学,光网格计算系统通过光波实现超并行计算，支持大数据和高复杂度研究。,Wired,https://www.wired.com/,2024-10-16,,,,
SmartLiFi,可见光通信系统,无线连接,企业、家庭,整合家庭网络,产品开发,提升家庭网络性能,通过LED灯进行数据共享与传输,智能家居,企业合作,智能家居,三星电子、西门子,SmartLiFi通过家庭灯光系统实现快速的数据传输与共享，提升智能家居体验。,ZDNet,https://www.zdnet.com/,2024-10-16,,,,
LEDLightNet,室外通信网络,提供网络服务,城市商业、公共设施,街道灯光网络,区域试点,智能城市建设,通过公共灯光提供网络信号,城市基础设施,政府与科技公司合作,智慧城市,多家城市发展机构,LEDLightNet利用城市街道灯光提供网络接入，助力智慧城市建设。,SmartCities World,https://www.smartcitiesworld.net/,2024-10-16,,,,
LightGrid,数据传输网,优化数据传输方式,云计算中心、企业网络,光通信与网络协议操作,技术成熟,支持高带宽需求,融合光通信与传统网络架构,云服务,跨国技术合作,通信技术,IBM、谷歌,LightGrid系统结合光通信技术提高了云计算服务的带宽和稳定性，适用于大型数据传输需求。,Network World,https://www.networkworld.com/,2024-10-16,,,,
VLC智能家居系统,智能家居应用,自动化控制,家庭用户,软件应用,产品开发,提升家居智能化,基于LED的智能照明控制,智能家居,产业合作,智能家居行业,华为技术有限公司,VLC智能家居系统通过可见光通信实现智能照明与家电控制，提升家居品质和安全性。,华为官网,https://www.huawei.com/,2024-10-16,,,,
CityLight,城市照明,数据传输,城市管理者,智能灯具,应用示范,智能交通系统支持,兼容VLC的街道照明,城市交通,公众与私企合作,城市基础设施,城市智能科技公司,CityLight利用LED城市照明为智能交通系统提供数据传输，提升城市管理效率。,城市研究院,https://www.cityresearch.org/,2024-10-16,,,,
医疗VLC系统,医疗应用,数据传输,医院与诊所,医疗设备集成,临床试验,优化患者数据传输,利用可见光进行醫療信息传输,医疗数据管理,学术与商业合作,医疗健康行业,清华大学医学部,医疗VLC系统利用可见光实现患者数据在医院内的安全快捷传输。,医学影像期刊,https://www.medicaljournal.com/,2024-10-16,,,,
光网络传输系统,数据中心应用,高效数据传输,大型企业,数据中心架构,企业应用,提升数据中心效率,利用LED技术减少数据传输时延,企业IT基础设施,跨国公司合作,信息技术,国际知名IT公司,光网络传输系统通过VLC提升数据中心内部的数据交换速率。,IT行业分析报告,https://www.ithub.org/,2024-10-16,,,,
VLC旅游信息系统,旅游服务,信息传播,游客,多媒体信息点,开发阶段,提升旅游体验,LED信息发布,智能旅游,地方政府合作,旅游行业,旅游科技创新团队,VLC旅游信息系统利用可见光向游客提供实时信息，提升游览体验。,旅游在线,https://www.travelonline.com/,2024-10-16,,,,
VLC教育平台,在线教育,学习资源传输,学生、教师,网络教学系统,试点项目,提供稳定的学习环境,LED传输学习内容,网络教育,高校合作,教育行业,教育科技公司,VLC教育平台通过LED技术传输多媒体学习材料，适用于远程教育。,教育研究杂志,https://www.educationjournal.com/,2024-10-16,,,,
VLC智能公共交通,公共交通应用,乘客信息系统,城市居民,交通设备,应用推广,提升交通管理智能化,交通信号灯与信息传输,城市运输,公私合营,运输行业,交通管理局,VLC智能公共交通通过LED灯为乘客提供实时更新的交通信息，提升出行体验。,城市交通论坛,https://www.trafficforum.com/,2024-10-16,,,,
可见光安防监控系统,安全监控,实时监控,家庭、企业,监控设备,技术成熟,提升安全防护,基于可见光的安防监控,安全防护,企业合作,安防行业,安防科技研发机构,可见光安防监控系统通过LED实现高效的室内外监控，为用户提供安全保障。,安防观察网,https://www.securitywatch.com/,2024-10-16,,,,
可视数据通信平台,数据通信,多媒体传输,开发者、用户,软件工具,开源项目,提升数据传输效率,利用可见光进行农业数据传输,智慧农业,开发者社区,农业科技,农业科研院校,可视数据通信平台通过可见光实现农业环境监测数据的实时传输。,农业科技论坛,https://www.agritechforum.com/,2024-10-16,,,,
VLC商务解决方案,企业应用,数据传输,企业用户,完整系统,市场推广,高效办公,结合光通信与云计算,商业办公,行业合作,信息技术,北京理工大学,该系统用于企业环境中，借助可见光通信实现无干扰数据传输，与云计算相结合提高工作效率。,TechCrunch,https://techcrunch.com,2024-10-16,,,,
光谱通信平台,科研工具,实验与开发,高等院校,定制硬件,实验阶段,新型信号处理,多波长光信号调制,科研与教育,科研机构合作,教育技术,清华大学光电研究所,光谱通信平台采用先进的调制技术，可以在实验中精准控制多个波长的光信号，适用于新型通信实验。,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,,
SmartVLC灯具,智能家居,数据传输与控制,家庭用户,集成解决方案,产品上市,智能互联,将LED灯与IoT技术结合,智能家居,产业联盟,智能家居,华为技术有限公司,SmartVLC是一种将LED照明和光通信技术整合为智能家居控制系统的灯具，支持智能设备的高速通信。,华为官方网站,https://www.huawei.com,2024-10-16,,,,
室内定位可见光系统,定位解决方案,精准定位,商场、医院,系统集成,部署实施,高精度室内定位,激光与LED结合,公共场所服务,跨行业合作,公共服务,中科院光电研究所,该系统通过结合激光和LED技术，在公共场所提供高精度室内定位服务，改善客户体验。,公共服务论文集,https://www.ipub.com,2024-10-16,,,,
VLC安全通信系统,安全通信,数据传输,军事与国防,加密模块,技术开发,高安全性数据传输,光信号加密,安全通信,政府军方合作,国防技术,中国电子科技集团,VLC安全通信系统通过光信号实现高安全性的通信解决方案，特别适用于军事与国防领域。,国防研究院,http://www.dod.mil,2024-10-16,,,,
智能城市光网络,城市基础设施,网络覆盖,市政服务,布设网络,试点项目,全覆盖网络,城市照明和通信整合,智慧城市,市政合作,城市基础设施,国际城市发展组织,智能城市光网络通过整合城市照明设施和可见光通信技术，为城市提供全面的网络连接。,Smart City Journal,https://www.smartcityjournal.com,2024-10-16,,,,
VLC数据分析平台,数据分析,数据处理与可视化,大数据分析师,软件应用,产品研发,实时数据分析,高效数据处理算法,大数据、AI,科研单位与企业,软件开发,多家科技初创公司,VLC数据分析平台为大数据分析提供新视角，使用光信号进行数据收集和处理，适用于金融和市场分析。,Forbes,https://www.forbes.com,2024-10-16,,,,
高精度可见光定位器,定位设备,定位服务,物流与仓储,综合设备,产品推广,优化库存管理,利用LED信号实现精准定位,智能物流,规模企业合作,物流技术,南京邮电大学,高精度可见光定位器通过LED信号实现对库存物品的精准定位，提升物流管理效率。,物流技术展,https://www.logisticsinnovation.com,2024-10-16,,,,
VLC健康监测系统,医疗技术,数据传输与健康管理,医院与健康机构,集成医疗设备,测试实施,实时健康监测,借助LED灯进行生理数据传输,医疗健康,医疗机构合作,医疗技术,清华大学医院,VLC健康监测系统利用LED灯光传输患者生理数据，提供实时健康监测，增强医疗服务质量。,医学研究期刊,https://www.thebmj.com,2024-10-16,,,,
SmartLiFi,家庭光通信,数据传输,家庭用户,集成设备,产品发布,实现无缝连接,基于LED的家庭网络,家庭自动化,跨行业合作,家居科技,华为技术有限公司,SmartLiFi是一种集成于家庭自动化系统中的可见光通信解决方案，能提供无缝的高速数据连接。,IEEE通讯杂志,https://www.huawei.com,2024-10-16,,,,
VLC Parking,停车管理系统,位置服务,城市停车场,硬件集成,水平验证,优化停车效率,车位状态信号传输,城市基础设施,政府与企业合作,智能交通,某城市交通管理局,VLC Parking结合可见光通信技术，提供实时车位信息，提高城市停车效率。,城市交通报告,https://www.ipub.com,2024-10-16,,,,
ProVLC,教育系统,数据传输与监控,高校与科研机构,硬件+软件,实验阶段,支持教学数字化,音视频数据传输,教育现代化,学术合作,教育技术,北京大学,ProVLC系统在高等教育中创造新的教学模式，通过可见光通信实现教学资源的无缝接入。,教育技术论坛,http://www.dod.mil,2024-10-16,,,,
VLC Smart City,智慧城市解决方案,数据管理,城市管理机构,系统集成,概念验证,城市信息互联,数据传输与处理,城市规划,公共和私营部门合作,智慧城市,上海交通大学,VLC Smart City系统利用可见光通信支持城市各类信息的高效管理，提升城市服务能力。,智慧城市发展论坛,https://www.smartcityjournal.com,2024-10-16,,,,
AquaticVLC,水下通信系统,数据传输,海洋研究机构,专用硬件,前沿研究,提高水下数据传输速率,水下LED信号调制,海洋科学,国际科研合作,海洋技术,全国海洋局,AquaticVLC能在水下环境中利用可见光进行快速数据传输，支持海洋数据采集与传输。,海洋科学期刊,https://www.forbes.com,2024-10-16,,,,
CircusVLC,娱乐活动通信系统,数据互动,活动参与者,实时传输,应用测试,提升观众参与感,现场数据交互,文艺演出,活动公司合作,文娱,多个现场演出公司,CircusVLC在现场演出中提供观众与表演互动的新方式，通过可见光进行数据交互。,娱乐科技会议,https://www.logisticsinnovation.com,2024-10-16,,,,
VLC Security,安全监控系统,数据监控,企业安防,集成监控,开发中,提升安防系统效能,基于光信号的监控管理,商用安防,安全行业合作,安防行业,多家安防设备供应商,VLC Security，通过可见光通信提升安全监控的响应速度和效能，将传统监控提升到新的水平。,安防技术报告,https://www.thebmj.com,2024-10-16,,,,
VLC-Health,医疗健康通信系统,数据传输,医院和医疗机构,通信基础设施,项目试点,保障医疗数据安全,LED灯下的医疗信息传输,医院管理,医疗与技术公司合作,医疗科技,多家医疗机构,VLC-Health通过安全的可见光通信技术，实现医院内部数据传输的高效和安全。,医疗资讯网站,https://www.huawei.com,2024-10-16,,,,
VLC Smart Farming,农业管理系统,数据采集与控制,农业生产者,智能设备,实际应用,提升农业产量,光信号数据传输,智慧农田,农业科技合作,农业科技,农业科学院,VLC Smart Farming解决方案利用可见光通信在农田内实现数据采集与作物监控，提升整体农业产出。,农业科技网,https://www.ipub.com,2024-10-16,,,,
SmartLight,智能照明系统,智慧城市应用,城市规划者、研究机构,集成系统,技术验证,实现智能化城市,智能LED集成,城市照明、环境监测,国际合作,智能科技,新加坡国立大学,SmartLight是一个结合了照明、数据收集和环境监测的智能系统，旨在提升城市生活质量。,IEEE Access,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,,
OptiCom,光通信平台,光信号传输,企业、研究机构,软件+硬件,商业化应用,降低信号干扰,多波长LED调制,数据中心、通信基站,行业联盟,通信行业,硅谷创新中心,OptiCom通过光纤技术和LED调制，提高数据传输效率，适用范围广泛。,通信技术杂志,https://www.comtechmag.com/,2024-10-16,,,,
LightWatch,监控系统,安全检测,安全行业、家庭用户,硬件安装,应用推广,提高安全监测,LED光源信号传输,家庭安全、公共场所监控,企业与政府合作,安防行业,上海科技大学,LightWatch利用可见光进行安全监控，有效避免电磁干扰，并实现实时监控。,防盗技术网,https://www.securitytech.net/,2024-10-16,,,,
LumiCom,商业照明系统,数据与照明集成,零售商、商业建筑,导入解决方案,原型开发,提升客户体验,可调LED照明,零售环境、商业应用,产学结合,建筑与照明,波士顿大学,LumiCom结合LED照明与信息传输，旨在提升顾客在零售环境中的体验。,Lighting Design Magazine,https://www.lightdesignmag.com/,2024-10-16,,,,
