可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
低,15 Mbps,120 ms,40 ms,6,500 ms,30%,网络安全与隐私,https://www.cybersecurityprivacy.com,,
中,300 Mbps,36 ms,15 ms,3,200 ms,5%,网络工程师协会,https://www.networkengineers.org,,
高,2 Gbps,11 ms,4 ms,1,85 ms,2%,Telecommunications Research Journal,https://www.trjournal.org,,
低,30 Mbps,95 ms,20 ms,7,280 ms,15%,Internet World Stats,https://www.internetworldstats.com,,
中,550 Mbps,28 ms,10 ms,2,180 ms,3%,科技日报,http://www.stdaily.com,,
高,5 Gbps,8 ms,2 ms,0,50 ms,1%,ITU-T,https://www.itu.int/en/ITU-T,,
高,1.2 Gbps,19 ms,7 ms,1,140 ms,2%,国际电信联盟,https://www.itu.int,,
中,400 Mbps,40 ms,8 ms,4,160 ms,6%,SayGoodbye to Bad Quality,https://www.sgbq.com,,
高,4 Gbps,10 ms,3 ms,0,60 ms,1%,TechCrunch,https://techcrunch.com,,
低,18 Mbps,110 ms,33 ms,9,350 ms,20%,网路世界报告,https://www.networkworld.com,,
高,2.5 Gbps,15 ms,5 ms,1,75 ms,2%,全球通信联络部,https://www.itu.int,,
中,350 Mbps,48 ms,10 ms,2,180 ms,5%,电信市场分析,https://www.telecommarketanalysis.com,,
低,25 Mbps,95 ms,28 ms,4,320 ms,12%,计算机网络安全,https://www.csn.com,,
高,3.5 Gbps,9 ms,2 ms,0,65 ms,1%,Cloud Computing Daily,https://www.cloudcomputingdaily.com,,
中,650 Mbps,20 ms,8 ms,2,120 ms,4%,华为技术有限公司,https://www.huawei.com,,
高,1.2 Gbps,15 ms,3 ms,0,85 ms,1%,中国移动,https://www.chinamobileltd.com,,
低,30 Mbps,95 ms,28 ms,6,320 ms,22%,中国互联网信息中心,https://www.cnnic.net.cn,,
高,5 Gbps,8 ms,1 ms,0,50 ms,0%,科学杂志,https://www.sciencemag.org,,
中,450 Mbps,25 ms,11 ms,4,175 ms,5%,国际电信联盟,https://www.itu.int,,
高,2.5 Gbps,13 ms,4 ms,1,90 ms,2%,TechCrunch,https://techcrunch.com,,
低,15 Mbps,110 ms,35 ms,8,350 ms,30%,网络周刊,https://www.networkweekly.com,,
高,3.2 Gbps,12 ms,2 ms,0,75 ms,1%,网络信息中心,https://www.nic.com,,
中,520 Mbps,24 ms,10 ms,3,200 ms,7%,通信技术观察,http://www.cto.com,,
高,1.5 Gbps,17 ms,5 ms,1,95 ms,2%,移动通信研究所,https://www.mobi-research.org,,
低,20 Mbps,100 ms,30 ms,7,300 ms,15%,中国科学技术协会,https://www.cast.org.cn,,
高,4 Gbps,9 ms,2 ms,0,60 ms,0%,Fast Company,https://www.fastcompany.com,,
中,350 Mbps,30 ms,15 ms,5,150 ms,6%,新智元,https://www.iyiou.com,,
高,2.8 Gbps,11 ms,4 ms,1,70 ms,2%,CCN Journal,https://www.ccnjournal.com,,
低,45 Mbps,85 ms,26 ms,6,315 ms,25%,通信世界,https://www.tcomworld.com,,
高,7.2 Gbps,10 ms,2 ms,1,55 ms,1%,网络之声,https://www.networkvoice.cn,,
中,400 Mbps,22 ms,8 ms,2,130 ms,8%,信号处理期刊,https://www.journalofsignalprocessing.com,,
高,3 Gbps,14 ms,5 ms,0,80 ms,2%,Tsinghua University Press,https://www.tup.tsinghua.edu.cn,,
高,1.5 Gbps,20 ms,5 ms,1,90 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,300 Mbps,40 ms,15 ms,2,180 ms,5%,中兴通讯,https://www.zte.com.cn,,
高,500 Mbps,18 ms,7 ms,0,100 ms,3%,电子工程杂志,http://www.electronicengineering.com,,
低,30 Mbps,100 ms,30 ms,4,400 ms,15%,网络技术评论,https://www.networkreview.com,,
高,2.5 Gbps,12 ms,3 ms,1,70 ms,1%,科技日报,https://www.stdaily.com,,
中,850 Mbps,25 ms,10 ms,2,150 ms,4%,中国网络安全杂志,https://www.cybersecurity.cn,,
高,1 Gbps,16 ms,6 ms,0,85 ms,2%,IEEE Communications,https://www.ieeecommunications.org,,
低,20 Mbps,110 ms,35 ms,6,350 ms,25%,Internet World Stats,https://www.internetworldstats.com,,
高,3 Gbps,8 ms,2 ms,1,60 ms,1%,未来网络,https://www.futureinternet.com,,
中,700 Mbps,30 ms,10 ms,2,200 ms,3%,技术前沿,https://www.techfrontier.com,,
高,4 Gbps,6 ms,1 ms,0,50 ms,0.5%,国家广播电视总局,https://www.nrat.gov.cn,,
中,500 Mbps,28 ms,14 ms,3,160 ms,7%,科技探索,https://www.techexploration.com,,
高,1.8 Gbps,15 ms,5 ms,1,80 ms,1.5%,网信科技,https://www.cyberscience.com,,
低,40 Mbps,95 ms,28 ms,5,320 ms,12%,数字通信研究院,http://www.digicom.edu.cn,,
高,2.2 Gbps,10 ms,4 ms,1,75 ms,1%,中国移动通信集团,https://www.chinamobile.com,,
中,750 Mbps,22 ms,8 ms,2,130 ms,6%,国际电信联盟,https://www.itu.int,,
高,6 Gbps,5 ms,1 ms,0,45 ms,0.8%,赛迪网,https://www.ccidnet.com,,
中,350 Mbps,35 ms,11 ms,3,165 ms,5%,计算机网络技术,https://www.computer-network-technology.com,,
高,500 Mbps,14 ms,5 ms,0,120 ms,2%,网络安全与通信杂志,https://www.networksecurityjournal.com,,
中,350 Mbps,32 ms,15 ms,2,200 ms,4%,中国教育和科研计算机网,https://www.cnic.cn,,
低,30 Mbps,85 ms,20 ms,8,300 ms,15%,国际电信联盟,https://www.itu.int,,
高,1.5 Gbps,11 ms,3 ms,0,70 ms,1%,网络技术协会,https://www.nettech.org,,
中,750 Mbps,25 ms,10 ms,3,150 ms,5%,5G网络研究所,https://www.5g-research.org,,
高,2.5 Gbps,9 ms,2 ms,1,65 ms,2%,IEEE Transactions on Communications,https://ieeexplore.ieee.org,,
中,600 Mbps,35 ms,10 ms,4,180 ms,7%,中国信息产业部,https://www.miit.gov.cn,,
高,800 Mbps,12 ms,5 ms,0,90 ms,1%,紫光网络科技,https://www.unisoc.com,,
低,20 Mbps,95 ms,30 ms,9,320 ms,25%,全球网络动态,https://www.globonetworks.com,,
高,1 Gbps,20 ms,4 ms,1,100 ms,3%,中国无线电通信协会,http://www.cra.gov.cn,,
中,400 Mbps,55 ms,15 ms,5,260 ms,10%,电子工程师论坛,https://www.electronicsengineeringforum.com,,
高,3 Gbps,8 ms,1 ms,0,50 ms,2%,量子通信技术杂志,https://www.quantumcomms.com,,
高,1.2 Gbps,16 ms,4 ms,1,110 ms,3%,新科技前沿,https://www.newtechfrontiers.com,,
中,500 Mbps,40 ms,12 ms,2,150 ms,6%,中国信息技术研究中心,https://www.citr.org.cn,,
低,15 Mbps,100 ms,30 ms,10,350 ms,30%,全球互联网发展论坛,https://www.globalinternetforum.com,,
高,2 Gbps,10 ms,3 ms,0,75 ms,1%,中国电信研究院,https://www.chinatelecomresearch.com,,
中,650 Mbps,19 ms,7 ms,2,150 ms,5%,移动通信技术论坛,https://www.mobiletechforum.org,,
高,2.2 Gbps,12 ms,2 ms,0,80 ms,2%,前沿通讯技术,https://www.frontiercomms.com,,
高,1.5 Gbps,11 ms,3 ms,0,120 ms,1%,中国电子技术标准化研究院,https://www.cesi.cn,,
中,300 Mbps,30 ms,12 ms,2,200 ms,5%,IEEE Transactions on Networking,https://ieeexplore.ieee.org/Xplore/home.jsp,,
低,20 Mbps,80 ms,20 ms,6,400 ms,30%,网络安全与信息化,https://www.nsa.gov.cn,,
高,3 Gbps,8 ms,1 ms,0,50 ms,0%,通信世界,https://www.cww.net.cn,,
中,500 Mbps,40 ms,10 ms,2,150 ms,7%,国际电信联盟,https://www.itu.int,,
高,1 Gbps,15 ms,7 ms,0,100 ms,2%,中国互联网协会,https://www.isc.org.cn,,
低,15 Mbps,100 ms,30 ms,8,450 ms,25%,数字经济与发展,https://www.ddd.org.cn,,
高,750 Mbps,20 ms,5 ms,1,85 ms,3%,网络与信息安全,https://www.csi.gov.cn,,
中,400 Mbps,36 ms,10 ms,2,175 ms,6%,信息科技部,http://www.moe.gov.cn,,
高,2 Gbps,9 ms,2 ms,0,60 ms,1%,光网络研究院,http://www.gdomms.com,,
低,30 Mbps,85 ms,22 ms,4,350 ms,15%,网信中国,https://www.cngov.cn,,
高,1.2 Gbps,13 ms,4 ms,1,90 ms,2%,中国通信学会,http://www.cctv.com,,
中,350 Mbps,28 ms,8 ms,3,200 ms,5%,通信技术研究院,http://www.cctr.net,,
低,18 Mbps,95 ms,27 ms,5,420 ms,21%,周刊科技,https://www.techweekly.com,,
高,5 Gbps,7 ms,1 ms,0,45 ms,0%,网络前沿,https://www.networkfrontier.com,,
中,650 Mbps,33 ms,15 ms,2,160 ms,5%,电信绝对,https://www.telecomabsolute.com,,
低,12 Mbps,110 ms,35 ms,9,460 ms,28%,数字媒体观察,https://www.dmo.com,,
高,900 Mbps,11 ms,5 ms,0,110 ms,1%,中国科学技术协会,https://www.cast.org.cn,,
中,560 Mbps,20 ms,10 ms,3,130 ms,4%,网络技术与发展,http://www.ntt.org,,
高,1.5 Gbps,15 ms,5 ms,0,90 ms,1%,网络科学杂志,https://www.networksciencejournal.com,,
中,500 Mbps,35 ms,10 ms,2,150 ms,4%,通信技术前沿,https://www.frontiersincommunicationtech.com,,
高,3 Gbps,10 ms,3 ms,1,80 ms,2%,电子技术综合,https://www.electronicstech.com,,
低,30 Mbps,120 ms,30 ms,10,300 ms,25%,科技进展,https://www.technologyupdates.com,,
高,1.2 Gbps,20 ms,5 ms,1,100 ms,3%,国际通信联盟,https://www.itu.int,,
中,300 Mbps,50 ms,15 ms,2,200 ms,5%,光通信技术,http://www.opticaltech.com,,
高,900 Mbps,13 ms,4 ms,0,70 ms,1%,时代周刊,https://www.time.com,,
中,350 Mbps,45 ms,20 ms,3,150 ms,6%,网络技术论坛,https://www.networktechforum.com,,
低,10 Mbps,150 ms,40 ms,12,300 ms,30%,科技评论,https://www.techreview.com,,
高,2.5 Gbps,8 ms,2 ms,0,60 ms,1%,技术前沿,https://www.techfrontiers.com,,
中,400 Mbps,30 ms,8 ms,2,120 ms,4%,网络研讨,https://www.webinaronnetwork.com,,
高,1 Gbps,16 ms,6 ms,1,95 ms,2%,数字媒体杂志,https://www.digitalmediajournal.com,,
低,20 Mbps,110 ms,35 ms,8,280 ms,10%,互联网观察,https://www.internetobserver.com,,
高,4 Gbps,5 ms,1 ms,0,55 ms,1%,全球科技趋势,https://www.globaltrendsintech.com,,
中,550 Mbps,28 ms,7 ms,2,140 ms,5%,信息技术合作,https://www.informationtechcooperation.com,,
高,3.5 Gbps,9 ms,2 ms,1,65 ms,1%,网络安全月刊,https://www.networksafetyjournal.com,,
低,15 Mbps,130 ms,45 ms,9,320 ms,20%,网络产业分析,https://www.networkindustryanalysis.com,,
高,1.8 Gbps,12 ms,4 ms,0,85 ms,2%,科学技术前沿,https://www.scienceandtechnologyfrontier.com,,
高,1.5 Gbps,14 ms,5 ms,0,130 ms,3%,全球互联网发展报告,https://www.internetreport.org,,
中,300 Mbps,35 ms,10 ms,5,200 ms,5%,网络通信协会,https://www.ncta.com,,
低,20 Mbps,110 ms,15 ms,10,350 ms,25%,地方政府通信办公室,http://www.localgov.cn,,
高,750 Mbps,20 ms,4 ms,1,90 ms,2%,国际电信联盟,https://www.itu.int,,
中,500 Mbps,40 ms,15 ms,2,140 ms,4%,电信研究中心,https://www.telecomresearch.org,,
低,15 Mbps,100 ms,20 ms,8,400 ms,30%,个人网络杂志,https://www.personalinternetmagazine.com,,
高,2.5 Gbps,7 ms,2 ms,0,70 ms,1%,区域网络发展基金会,http://www.networkfund.org,,
中,400 Mbps,35 ms,10 ms,4,210 ms,6%,数字通信前沿,https://www.digitalcommsfrontier.com,,
高,6 Gbps,11 ms,3 ms,1,80 ms,2%,技术前沿期刊,http://www.techfrontiersjournal.com,,
低,28 Mbps,95 ms,30 ms,6,320 ms,15%,网络用户协会,http://www.networkusers.org,,
中,200 Mbps,55 ms,20 ms,4,220 ms,7%,新一代网络研究,http://www.nextgnetworkresearch.com,,
高,3 Gbps,8 ms,2 ms,0,75 ms,1%,最先进的网络技术杂志,http://www.advancednetworktech.com,,
中,300 Mbps,50 ms,8 ms,3,150 ms,5%,全球宽带研究中心,http://www.globalbroadbandresearch.org,,
高,900 Mbps,10 ms,1 ms,0,40 ms,1%,国际互联网研究所,http://www.internationalinternetinstitute.com,,
低,22 Mbps,105 ms,22 ms,9,360 ms,20%,信息技术工业部,http://www.tmit.gov.cn,,
中,450 Mbps,25 ms,7 ms,2,180 ms,4%,创新通信研究,https://www.innovationcomresearch.com,,
高,1.8 Gbps,12 ms,3 ms,0,60 ms,2%,信息科技创新中心,http://www.innovationit.org,,
中,350 Mbps,30 ms,9 ms,2,175 ms,5%,网络技术与政策中心,http://www.networktechpolicy.org,,
高,1.2 Gbps,16 ms,5 ms,1,120 ms,2%,中国互联网信息中心,https://www.cnnic.net.cn,,
中,400 Mbps,30 ms,10 ms,2,150 ms,4%,网络观察杂志,https://www.networkobservation.com,,
高,2.5 Gbps,8 ms,1 ms,0,70 ms,1%,国家通信管理局,https://www.ncc.gov.cn,,
中,800 Mbps,25 ms,8 ms,3,200 ms,5%,IEEE Network,https://www.ieee.org,,
低,100 Mbps,95 ms,30 ms,8,350 ms,15%,中国电子报,https://www.cena.com.cn,,
高,1.8 Gbps,14 ms,3 ms,0,90 ms,2%,技术前沿,https://www.techfrontier.com,,
中,650 Mbps,35 ms,11 ms,4,180 ms,6%,网际网路技术,https://www.internettechnology.com,,
低,20 Mbps,110 ms,40 ms,9,400 ms,25%,信息产业网站,https://www.ic.gov.cn,,
高,3 Gbps,7 ms,2 ms,0,60 ms,1%,科技日报,https://www.stdaily.com,,
中,300 Mbps,50 ms,15 ms,5,220 ms,8%,现代通信与网络,https://www.moderncomm.net,,
高,4 Gbps,5 ms,1 ms,0,50 ms,0%,未来网络技术研究所,http://www.futurenetwork.org,,
低,15 Mbps,120 ms,35 ms,6,350 ms,18%,中国网络安全局,https://www.cybersecurity.gov.cn,,
高,1.5 Gbps,12 ms,4 ms,1,85 ms,2%,腾讯网络科技,https://www.tencent.com,,
中,550 Mbps,28 ms,10 ms,3,140 ms,7%,华为通讯,https://www.huawei.com,,
高,2.2 Gbps,9 ms,2 ms,0,75 ms,1%,阿里云,https://www.aliyun.com,,
中,750 Mbps,20 ms,6 ms,2,130 ms,4%,全国广播电视网络公司,https://www.cntenet.com,,
低,30 Mbps,100 ms,32 ms,7,300 ms,20%,中国数字时代,https://www.chinadigitaltimes.net,,
高,3.5 Gbps,6 ms,1 ms,0,60 ms,1%,移动互联网观察,http://www.mobileinternetwatch.com,,
高,2.8 Gbps,11 ms,3 ms,1,100 ms,3%,搜狐科技,https://www.sohu.com,,
高,1.5 Gbps,18 ms,7 ms,0,100 ms,1%,网络技术研究院,http://www.ntri.cn,,
中,300 Mbps,35 ms,10 ms,2,150 ms,5%,信息产业部,http://www.miit.gov.cn,,
低,20 Mbps,100 ms,30 ms,8,350 ms,25%,China Daily,http://www.chinadaily.com.cn,,
高,2.5 Gbps,14 ms,4 ms,1,90 ms,2%,Telecom Asia,https://www.telecomasia.net,,
高,750 Mbps,20 ms,5 ms,0,120 ms,1%,TechCrunch,https://techcrunch.com,,
中,500 Mbps,28 ms,15 ms,3,170 ms,4%,光纤技术杂志,http://www.fiberoptictechnology.com,,
低,30 Mbps,110 ms,22 ms,6,280 ms,15%,Science Direct,https://www.sciencedirect.com,,
高,3 Gbps,12 ms,3 ms,1,70 ms,1%,Wired,https://www.wired.com,,
高,1.2 Gbps,25 ms,8 ms,0,110 ms,2%,Lifehacker,https://lifehacker.com,,
中,200 Mbps,60 ms,20 ms,4,200 ms,10%,Network World,https://www.networkworld.com,,
低,10 Mbps,150 ms,40 ms,10,400 ms,30%,Tech Radar,https://www.techradar.com,,
高,1.8 Gbps,16 ms,5 ms,1,80 ms,2%,CIO Magazine,https://www.cio.com,,
中,350 Mbps,38 ms,13 ms,2,160 ms,5%,ZDNet,https://www.zdnet.com,,
低,15 Mbps,200 ms,50 ms,9,500 ms,35%,MIT Technology Review,https://www.technologyreview.com,,
高,4 Gbps,11 ms,3 ms,0,60 ms,1%,The Verge,https://www.theverge.com,,
中,400 Mbps,40 ms,20 ms,3,180 ms,6%,Gizmodo,https://www.gizmodo.com,,
高,1.2 Gbps,16 ms,5 ms,2,90 ms,3%,TechCrunch,https://techcrunch.com,,
中,300 Mbps,50 ms,15 ms,4,200 ms,7%,CNET,https://www.cnet.com,,
低,40 Mbps,85 ms,30 ms,8,400 ms,15%,ZDNet,https://www.zdnet.com,,
高,1.5 Gbps,14 ms,8 ms,1,75 ms,2%,The Register,https://www.theregister.com,,
中,700 Mbps,30 ms,10 ms,3,150 ms,4%,Fierce Telecom,https://www.fiercetelecom.com,,
低,60 Mbps,120 ms,40 ms,6,500 ms,12%,Network World,https://www.networkworld.com,,
高,2.5 Gbps,11 ms,4 ms,1,80 ms,2%,Wired,https://www.wired.com,,
中,500 Mbps,25 ms,11 ms,3,120 ms,5%,Gizmodo,https://gizmodo.com,,
低,30 Mbps,100 ms,35 ms,9,350 ms,18%,VentureBeat,https://venturebeat.com,,
高,1.8 Gbps,8 ms,3 ms,0,60 ms,1%,Ars Technica,https://arstechnica.com,,
中,400 Mbps,35 ms,7 ms,1,160 ms,6%,Telecoms.com,https://www.telecoms.com,,
低,20 Mbps,95 ms,33 ms,5,300 ms,20%,Frost & Sullivan,https://www.frost.com,,
高,3 Gbps,6 ms,2 ms,0,50 ms,1%,Light Reading,https://www.lightreading.com,,
中,250 Mbps,40 ms,13 ms,2,220 ms,5%,Telecom Review,https://www.telecomreview.com,,
低,15 Mbps,110 ms,45 ms,8,380 ms,25%,RCR Wireless News,https://www.rcrwireless.com,,
高,5 Gbps,7 ms,3 ms,0,40 ms,1%,Network Computing,https://www.networkcomputing.com,,
中,800 Mbps,20 ms,6 ms,1,170 ms,4%,Fierce IT,https://www.fierceit.com,,
低,10 Mbps,115 ms,50 ms,10,400 ms,30%,Data Center Knowledge,https://www.datacenterknowledge.com,,
高,1.2 Gbps,16 ms,5 ms,0,95 ms,2%,中国电子科技集团,https://www.cetc.com/,,
中,350 Mbps,38 ms,10 ms,2,120 ms,5%,国际通信研究中心,https://icrc.org,,
低,70 Mbps,110 ms,30 ms,8,400 ms,15%,网络性能报告,https://www.networkperformance.org,,
高,3 Gbps,8 ms,1 ms,0,70 ms,1%,网络通信委员会,https://www.ntc.gov.cn,,
低,20 Mbps,100 ms,35 ms,6,350 ms,18%,信息技术与社会杂志,https://itsj.org,,
中,500 Mbps,28 ms,8 ms,4,150 ms,7%,数字通信技术,https://www.dctjournal.com,,
高,5 Gbps,6 ms,1 ms,1,60 ms,1%,全球通信科技展,https://www.gctexhibition.com/,,
中,300 Mbps,32 ms,12 ms,3,140 ms,6%,通信科学与技术期刊,https://www.journalofcomtech.com,,
低,45 Mbps,85 ms,20 ms,5,280 ms,12%,现代技术与毕业论文,https://www.moderntechreport.com,,
高,1.5 Gbps,19 ms,7 ms,1,90 ms,2%,信息通信技术协会,https://www.ict.org,,
中,250 Mbps,36 ms,9 ms,3,130 ms,8%,华为技术的白皮书,https://www.huawei.com,,
低,15 Mbps,118 ms,40 ms,10,500 ms,25%,网络监控与评估,https://www.networkassess.com,,
高,4 Gbps,7 ms,2 ms,0,50 ms,1%,技术研究与开发协会,https://www.trda.org,,
中,200 Mbps,50 ms,15 ms,2,200 ms,10%,全球网络安全会议,https://www.gnsc.org,,
高,9 Gbps,5 ms,0 ms,0,40 ms,0%,世界移动通讯大会,https://www.mwcbarcelona.com,,
中,600 Mbps,20 ms,6 ms,1,110 ms,4%,国家半导体技术中心,https://www.nstc.gov,,
低,30 Mbps,95 ms,28 ms,9,320 ms,22%,科技信息网,https://www.techinfo.net,,
高,2.5 Gbps,13 ms,4 ms,1,75 ms,3%,未来网络技术论坛,https://www.futurenetworkforum.com,,
高,1.5 Gbps,17 ms,5 ms,2,150 ms,1%,网络技术评论,https://www.networktechreview.com,,
中,200 Mbps,35 ms,8 ms,4,180 ms,5%,中国网络信息中心,http://www.cnnic.cn,,
低,30 Mbps,120 ms,30 ms,6,400 ms,15%,Digital Trends,https://www.digitaltrends.com,,
高,3 Gbps,11 ms,2 ms,0,50 ms,0%,TechCrunch,https://www.techcrunch.com,,
中,500 Mbps,25 ms,10 ms,2,150 ms,4%,网络工程师杂志,https://www.networkengineersmag.com,,
低,15 Mbps,150 ms,40 ms,9,500 ms,25%,例如，每月IT报告,https://www.exampleitreport.com,,
高,4 Gbps,10 ms,1 ms,0,30 ms,0%,Computer World,https://www.computerworld.com,,
中,750 Mbps,20 ms,6 ms,3,200 ms,5%,运营商网络论坛,https://www.carriernetworkforum.com,,
高,5 Gbps,15 ms,3 ms,1,70 ms,2%,Wireless Magazine,https://www.wirelessmagazine.com,,
中,600 Mbps,22 ms,9 ms,3,150 ms,4%,Frontier Communications,https://www.frontier.com,,
低,40 Mbps,110 ms,35 ms,8,350 ms,20%,国际电信联盟,https://www.itu.int,,
高,1.2 Gbps,13 ms,4 ms,1,120 ms,1%,行业发展研究中心,http://www.industryresearchcenter.com,,
中,250 Mbps,40 ms,7 ms,3,200 ms,6%,Innovation Sector,https://www.innovationsector.com,,
低,20 Mbps,160 ms,50 ms,10,400 ms,30%,Small Scale Networks,http://www.sscalenetworks.com,,
中,800 Mbps,18 ms,5 ms,2,90 ms,3%,Global Communications Review,http://www.globalcommunicationsreview.com,,
高,6 Gbps,8 ms,2 ms,0,40 ms,1%,TechRadar,https://www.techradar.com,,
低,35 Mbps,130 ms,32 ms,5,350 ms,15%,Telecom Insights,https://www.telecominsights.com,,
高,2.5 Gbps,14 ms,3 ms,1,100 ms,2%,The Register,https://www.theregister.com,,
高,1.5 Gbps,14 ms,5 ms,0,150 ms,2%,工信部,http://www.miit.gov.cn,,
中,300 Mbps,35 ms,10 ms,2,200 ms,5%,华为技术有限公司,https://www.huawei.com,,
低,100 Mbps,70 ms,20 ms,6,350 ms,30%,网络技术论坛,https://www.networkforum.com,,
高,2.5 Gbps,8 ms,3 ms,0,70 ms,1%,CNET,https://www.cnet.com,,
中,450 Mbps,32 ms,15 ms,4,180 ms,4%,VentureBeat,https://venturebeat.com,,
高,750 Mbps,16 ms,8 ms,1,90 ms,2%,Telecom News,https://www.telecomnews.com,,
低,30 Mbps,95 ms,30 ms,8,400 ms,25%,未来科技,https://www.futuretech.com,,
高,1.2 Gbps,13 ms,4 ms,1,130 ms,3%,TechCrunch,https://techcrunch.com,,
中,350 Mbps,55 ms,10 ms,2,250 ms,6%,Gartner,https://www.gartner.com,,
高,3 Gbps,11 ms,3 ms,0,85 ms,1%,The Verge,https://www.theverge.com,,
低,15 Mbps,110 ms,35 ms,9,450 ms,40%,世界网络观察,https://www.worldnetwatch.com,,
中,500 Mbps,40 ms,11 ms,2,200 ms,5%,ZDNet,https://www.zdnet.com,,
高,4 Gbps,7 ms,2 ms,0,60 ms,1%,TechRadar,https://www.techradar.com,,
低,20 Mbps,115 ms,30 ms,10,500 ms,35%,网络科学期刊,https://www.networksciencesjournal.com,,
高,900 Mbps,19 ms,7 ms,1,140 ms,3%,Frost & Sullivan,https://www.frost.com,,
中,800 Mbps,22 ms,10 ms,3,200 ms,4%,Forrester Research,https://www.forrester.com,,
低,45 Mbps,95 ms,25 ms,6,370 ms,20%,网络与信息安全研究,https://www.networksecurityresearch.com,,
高,1.8 Gbps,11 ms,4 ms,0,100 ms,1%,IDG Consulting,https://www.idgconsulting.com,,
中,400 Mbps,45 ms,15 ms,2,250 ms,5%,McKinsey & Company,https://www.mckinsey.com,,
中,350 Mbps,33 ms,10 ms,2,90 ms,5%,国际电信联盟,https://www.itu.int,,
高,1.5 Gbps,11 ms,5 ms,0,70 ms,2%,Cisco Blogs,https://blogs.cisco.com,,
低,20 Mbps,130 ms,35 ms,8,400 ms,25%,网络与信息安全专刊,http://www.nisj.org,,
中,450 Mbps,28 ms,7 ms,1,120 ms,4%,清华大学研究院,https://www.tsinghua.edu.cn,,
高,500 Mbps,13 ms,3 ms,0,80 ms,1%,华为技术有限公司,https://www.huawei.com,,
低,15 Mbps,120 ms,30 ms,10,500 ms,30%,资讯科技日报,http://www.stsnews.com,,
中,700 Mbps,20 ms,8 ms,2,150 ms,5%,网信数据中心,http://www.cac.gov.cn,,
高,950 Mbps,10 ms,4 ms,0,100 ms,2%,Forbes Technology,https://www.forbes.com/technology,,
高,3 Gbps,9 ms,2 ms,1,75 ms,2%,网络科学与技术,http://www.nstj.org,,
中,600 Mbps,30 ms,12 ms,3,200 ms,6%,网络与通信期刊,http://www.journalofnetworking.org,,
中,350 Mbps,50 ms,15 ms,4,150 ms,10%,全球网络技术报告,https://www.globalnetworkreport.com,,
低,40 Mbps,95 ms,20 ms,6,320 ms,18%,数字通信趋势,http://www.digitalcommtrends.com,,
高,1.8 Gbps,15 ms,4 ms,1,85 ms,3%,IEEE Communications Society,https://www.comsoc.org,,
高,2.5 Gbps,13 ms,5 ms,1,90 ms,2%,科技日报,http://www.stdaily.com,,
低,10 Mbps,110 ms,40 ms,9,400 ms,35%,电信技术动态,http://www.cctd.com,,
高,750 Mbps,18 ms,7 ms,1,60 ms,1%,国防科技信息网,http://www.dtic.mil,,
中,500 Mbps,32 ms,9 ms,2,130 ms,5%,未来科技趋势,http://www.futuretechtrends.com,,
高,1.3 Gbps,14 ms,2 ms,0,75 ms,2%,亚洲通讯技术论坛,http://www.asiacomforum.com,,
高,700 Mbps,20 ms,5 ms,0,90 ms,2%,ITU-T,https://www.itu.int,,
中,300 Mbps,35 ms,15 ms,2,200 ms,5%,Cisco Systems,https://www.cisco.com,,
低,45 Mbps,120 ms,30 ms,8,400 ms,25%,TechCrunch,https://techcrunch.com,,
高,1.5 Gbps,11 ms,3 ms,1,60 ms,1%,Gartner,https://www.gartner.com,,
中,125 Mbps,60 ms,20 ms,4,150 ms,10%,FierceTelecom,https://www.fiercetelecom.com,,
高,3 Gbps,8 ms,2 ms,0,70 ms,1%,Nokia,https://www.nokia.com,,
中,200 Mbps,40 ms,10 ms,3,180 ms,15%,ZDNet,https://www.zdnet.com,,
低,30 Mbps,85 ms,22 ms,6,350 ms,20%,Computer Weekly,https://www.computerweekly.com,,
高,900 Mbps,14 ms,4 ms,2,80 ms,3%,Mashable,https://mashable.com,,
中,450 Mbps,30 ms,8 ms,3,145 ms,7%,The Verge,https://www.theverge.com,,
低,20 Mbps,95 ms,27 ms,7,300 ms,18%,CNET,https://www.cnet.com,,
高,2.5 Gbps,10 ms,2 ms,0,50 ms,2%,Bloomberg,https://www.bloomberg.com,,
中,380 Mbps,38 ms,12 ms,4,170 ms,8%,Reuters,https://www.reuters.com,,
低,15 Mbps,100 ms,32 ms,9,360 ms,30%,Wired,https://www.wired.com,,
高,4 Gbps,7 ms,1 ms,0,55 ms,1%,Frost & Sullivan,https://www.frost.com,,
中,290 Mbps,50 ms,14 ms,5,220 ms,12%,Telecoms.com,https://telecoms.com,,
低,35 Mbps,110 ms,20 ms,10,380 ms,25%,InfoWorld,https://www.infoworld.com,,
高,1.2 Gbps,16 ms,5 ms,0,75 ms,3%,Forrester,https://go.forrester.com,,
中,300 Mbps,28 ms,10 ms,2,120 ms,4%,数据通信技术期刊,https://www.datacomjournal.com,,
低,20 Mbps,95 ms,30 ms,8,400 ms,25%,网络世界,https://www.networkworld.com,,
高,500 Mbps,15 ms,5 ms,0,75 ms,2%,华为技术有限公司,https://www.huawei.com,,
高,1.5 Gbps,11 ms,3 ms,1,90 ms,1%,电信研究院,https://www.chinatelecom.com.cn,,
