试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
基于AI的消防安全管理系统实验,Anhui-XingFu-20241025 S0008,智能消防助手,公共安全,企业,阿里巴巴,科研机构,中国科学院,应用研究,招募中,1,亚洲,中国,2023-08-01,2023-09-01,2024-06-01,2024-10-01,包括烟雾探测、报警系统和远程监控,FireSafetyTech,https://www.firesafetytech.com,2024-10-10,
人工智能在老年护理中的创新应用,,智护家,老年护理,非营利组织,世界卫生组织,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-09-10,2023-10-15,2025-05-30,2024-12-01,智能监测、实时健康反馈和社交激励,WHO Reports,https://www.who.int,2024-10-10,
基于AI的个性化教育系统研究,,个性化学习平台,教育行业,企业,瑞士教育科技公司,学校,洛桑联邦理工学院,教育研究,进行中,1,欧洲,瑞士,2023-07-15,2023-08-01,2024-11-15,2024-10-01,包括学习路径定制、作业反馈和互动社区,EdTech Review,https://edtechreview.in,2024-10-10,
人工智能在环境监测中的应用程序开发,Beijing-ZhiNeng-20241028 S0011,智能环境监测系统,环境科学,研究机构,北京地球物理研究院,政府,中国环境保护部,应用研究,招募中,1,亚洲,中国,2023-01-10,2023-03-01,2024-12-20,2024-10-05,包括数据采集、分析和预警,Earth Science Journal,https://www.earthscijournal.com,2024-10-10,
智能法律咨询助手研究,,AI法律助手,法律服务,企业,Microsoft,大学,剑桥大学,技术开发,进行中,2,北美,美国,2023-03-20,2023-04-01,2025-01-15,2024-09-18,包括法律文本分析、合约审核和实时咨询,TechCrunch,https://techcrunch.com,2024-10-10,
人工智能在水资源管理中的应用试点,,水资源智能管理平台,水利,政府,国家水利部,科研机构,国际水资源管理研究所,应用研究,已完成,2,非洲,埃及,2022-05-10,2022-07-01,2023-06-30,2023-09-15,包括水质监测、用水优化和数据分析,Water World,https://www.waterworld.com,2024-10-10,
人工智能在气候变化预测中的应用研究,Shaanxi-HuaZhong-20241031 S0014,气候智能助手,气候科学,国际组织,联合国环境规划署,科研机构,麻省理工学院,应用研究,招募中,1,全球,多国,2023-02-22,2023-04-10,2025-03-15,2024-10-20,数据采集、模型预测和趋势分析,UNEP Reports,https://www.unep.org,2024-10-10,
人工智能在智能电网中的创新应用,,AI电网管理系统,能源,企业,特斯拉,政务机构,美国能源部,技术开发,进行中,1,北美,美国,2023-06-30,2023-08-01,2024-12-31,2024-09-10,包括能源管理、负载平衡和预测算法,Energy Intelligence,https://www.energyintel.com,2024-10-10,
基于人工智能的公共安全监控系统,Yunnan-ZhiHui-20241102 S0016,AI安全监控助手,公共安全,政府,国家安全局,企业,腾讯,应用研究,招募中,1,亚洲,中国,2023-09-15,2023-10-01,2024-09-30,2024-10-01,包括图像识别、数据分析和报警系统,法新社,https://www.afp.com/,2024-10-10,
智能客服系统优化实验,Fujian-SuShi-20241103 S0017,智能客服助手,客服服务,企业,阿里巴巴,科研机构,清华大学,技术开发,进行中,2,亚洲,中国,2023-06-05,2023-07-15,2024-05-01,2024-10-01,包括自然语言处理和算法优化,中国科技网,http://www.stdaily.com/,2024-10-10,
智能区域能源管理系统实验,,智能能源调配系统,能源,企业,壳牌,大学,剑桥大学,应用研究,已完成,3,欧洲,英国,2022-11-10,2023-01-01,2023-10-31,2023-11-01,包括能效预测、负载管理等功能,Energy Research,https://www.energyresearch.com/,2024-10-10,
气候变化影响预测系统实验,,AI气候分析助手,环境保护,政府,环保部,研究所,国家气候中心,理论研究,进行中,2,北美,美国,2023-08-12,2023-09-01,2025-01-01,2024-09-15,包括数据挖掘、模拟预测和用户界面,NASA,https://www.nasa.gov/,2024-10-10,
人工智能辅助的远程教育系统实验,,远程教育智能平台,教育行业,企业,Udacity,大学,马里兰大学,教育研究,招募中,1,北美,美国,2023-05-20,2023-07-01,2024-04-30,2024-10-01,包括课程推荐、实时反馈和学习进度监控,EdTech Magazine,https://edtechmagazine.com/,2024-10-10,
基于AI的个性化医疗系统实验,,个性化健康助手,医疗健康,企业,IBM,医院,梅奥诊所,临床研究,进行中,2,北美,美国,2023-04-25,2023-08-01,2025-01-01,2024-10-01,包括基因分析、健康监测和药物推荐,Harvard Health,https://www.health.harvard.edu/,2024-10-10,
智慧城市数据整合实验,Guangdong-HuaWei-20241019 S0003,智慧城市助手,城市管理,地方政府,上海市政府,企业,华为,应用研究,招募中,1,亚洲,中国,2023-08-30,2023-09-15,2024-12-31,2024-09-15,包括交通监控、公共设施管理和数据分析,智联招聘,https://www.zhaopin.com/,2024-10-10,
AI辅助的心理健康评估系统实验,,心理健康助手,心理健康,科研机构,斯坦福大学,企业,Facebook,应用研究,已完成,3,北美,美国,2022-10-05,2023-01-15,2023-11-30,2023-12-01,包括情绪监测、干预工具和用户指导,Psychology Today,https://www.psychologytoday.com/,2024-10-10,
自动驾驶技术研究,,全自动驾驶系统,交通运输,企业,特斯拉,大学,斯坦福大学,技术开发,招募中,1,北美,美国,2023-09-10,2023-11-01,2025-05-30,2024-04-01,包括传感器技术、数据处理模型和决策系统,Tesla Official,https://www.tesla.com/autopilot,2024-10-10,
基于AI的情感分析系统,Shandong-ZuoZhe-20241023 S0006,情感智能分析平台,市场营销,企业,阿里巴巴,大学,北京大学,应用研究,进行中,2,亚洲,中国,2023-05-15,2023-06-20,2024-12-15,2024-08-10,包括文本挖掘、情感评分和用户反馈,Alibaba Research,https://www.alibaba.com/,2024-10-10,
智能能源管理系统试验,Hubei-YunXing-20241024 S0007,智能电网优化系统,能源,政府,能源部,研究院所,清华大学电机系,系统研究,已完成,3,亚洲,中国,2022-08-05,2022-09-01,2023-06-20,2023-07-01,包括数据监控、负荷预测和优化配置,China Energy,http://www.cec.org.cn/,2024-10-10,
智能监控与安防系统实验,Anhui-XingFu-20241025 S0008,AI安防监控系统,公共安全,企业,索尼,大学,东京大学,技术开发,招募中,1,亚洲,日本,2023-02-20,2023-03-01,2024-12-30,2024-01-15,包括智能视频分析、报警系统和云平台整合,Sony Innovation,https://www.sony.com/,2024-10-10,
老年人健康监测系统实验,Jiangxi-QiXiang-20241026 S0009,智能健康监测装置,老龄化,企业,华为,医疗机构,复旦大学附属医院,临床研究,招募中,1,亚洲,中国,2023-01-10,2023-02-15,2024-07-15,2024-05-30,包括生理数据收集、健康评估和远程监护,Huawei Health,https://consumer.huawei.com/cn/support/health/,2024-10-10,
基因组数据分析系统实验,Liaoning-YuanChuang-20241027 S0010,AI基因组分析平台,生物科技,科研机构,中国科学院,大学,清华大学,基础研究,进行中,1,亚洲,中国,2023-04-05,2023-05-01,2024-05-01,2024-03-20,包括数据可视化、基因识别和分析模型,Nature Research,https://www.nature.com/,2024-10-10,
企业智能客服系统开发,Beijing-ZhiNeng-20241028 S0011,AI客服助手,客户服务,企业,百度,企业,腾讯,应用研究,已完成,3,亚洲,中国,2022-10-25,2022-11-01,2023-04-15,2023-05-01,包括自然语言处理、用户意图识别和智能响应,Baidu AI,https://ai.baidu.com/,2024-10-10,
智能城市健康管理系统试验,Shanghai-WeiXin-20241029 S0012,城市健康监测系统,城市管理,政府,市政府,研究机构,新加坡国立大学,系统研究,进行中,2,亚洲,新加坡,2023-03-15,2023-04-01,2025-01-01,2024-07-01,包括数据收集、健康分析和预警机制,Singapore Health,https://www.health.gov.sg/,2024-10-10,
个性化营养推荐系统实验,Tianjin-JinXing-20241030 S0013,AI营养助手,营养健康,企业,美团,大学,华东师范大学,应用研究,已完成,2,亚洲,中国,2023-02-22,2023-03-15,2024-01-25,2024-05-15,包括用户偏好收集、推荐算法和实时反馈,Meituan Nutrition,https://www.meituan.com/,2024-10-10,
AI技术在癌症治疗中的应用,,癌症智能诊断系统,医疗健康,企业,IBM,科研机构,斯坦福大学,临床研究,招募中,1,北美,美国,2023-03-10,2023-07-01,2024-12-31,2024-11-01,包括基因数据分析、影像处理和风险评估模块,ClinicalTrials,https://clinicaltrials.gov/,2024-10-10,
物联网在城市管理中的应用实验,Guangxi-ShengXing-20241101 S0015,城市智能管理系统,城市管理,政府,城市规划局,企业,阿里巴巴,技术开发,进行中,2,亚洲,中国,2023-04-20,2023-08-15,2025-05-01,2024-12-01,包括智能传感器、数据可视化和决策支持,Smart City Journal,https://www.smartcitiesjournal.com/,2024-10-10,
智能制造与自动化系统实验,,工厂智能制造平台,制造业,企业,西门子,大学,清华大学,应用研究,招募中,1,欧洲,德国,2023-06-05,2023-09-15,2024-11-30,2024-10-01,包括机器人协作、智能监控和数据分析,Manufacturing Digital,https://www.manufacturingdigital.com/,2024-10-10,
农业智能化发展实验,Fujian-SuShi-20241103 S0017,农业监测与决策系统,农业,科研机构,中国农业大学,企业,耕耘科技,技术开发,已完成,2,亚洲,中国,2022-10-01,2022-12-15,2023-10-01,2024-05-15,包括气象监测、作物模型和精准施肥,Agricultural Technology,https://www.agriculturaltechnology.com/,2024-10-10,
智能客服系统研发实验,Hunan-JingZhi-20241104 S0018,AI客服助手,客户服务,企业,腾讯,大学,复旦大学,应用研究,招募中,1,亚洲,中国,2023-07-10,2023-09-01,2024-04-10,2024-09-01,包括自然语言处理、情感分析和实时反馈,Customer Service Today,https://www.customerservicetoday.com/,2024-10-10,
智能金融决策实验,,AI金融决策系统,金融服务,企业,JP摩根,大学,哥伦比亚大学,理论研究,即将开始,1,北美,美国,2023-08-15,2023-12-01,2025-01-15,2024-11-15,包括机器学习、算法交易和投资分析,Financial Technology,https://www.financialtechnology.com/,2024-10-10,
智能数据分析系统开发实验,,智慧数据分析平台,数据科学,科研机构,MIT,企业,微软,基础研究,已完成,2,北美,加拿大,2023-03-25,2023-05-30,2024-05-25,2024-09-05,包括数据挖掘、可视化工具和决策支持,Data Science Central,https://www.datasciencecentral.com/,2024-10-10,
智能社区健康管理实验,Sichuan-XinTian-20241020 S0002,社区健康监测系统,医疗健康,政府,卫生部门,企业,苹果公司,应用研究,招募中,1,亚洲,日本,2023-09-05,2023-11-01,2025-02-28,2024-10-10,包括可穿戴设备、大数据分析和实时健康监测,Health Tech News,https://www.healthtechnews.com/,2024-10-10,
智能药物开发系统实验,,AI药物研发助手,医疗健康,企业,辉瑞制药,大学,斯坦福大学,研发研究,招募中,1,北美,美国,2023-08-01,2023-09-15,2024-04-30,2024-10-01,包括分子建模、药效分析等功能,Nature,https://www.nature.com,2024-10-10,
智能城市管理系统实验,,智能城市助手,城市规划,政府,城市发展局,企业,IBM,应用研究,已完成,3,欧洲,法国,2022-05-15,2022-06-20,2023-05-10,2023-09-01,包括基础设施监测、数据分析和应用服务,The Economist,https://www.economist.com,2024-10-10,
虚拟现实教育系统实验,,VR学习平台,教育行业,企业,Facebook,学校,耶鲁大学,技术开发,招募中,1,北美,美国,2023-06-01,2023-08-01,2024-06-01,2024-11-01,包括沉浸式学习、互动反馈等功能,EdTech Magazine,https://edtechmagazine.com,2024-10-10,
新冠疫情预测AI系统实验,Shandong-ZuoZhe-20241023 S0006,疫情预测助手,公共卫生,政府,中国疾病预防控制中心,科研机构,清华大学,应急研究,进行中,1,亚洲,中国,2023-03-15,2023-04-01,2024-03-15,2024-05-05,包括数据挖掘、流行病模型的预测,WHO,https://www.who.int,2024-10-10,
AI基因组研究系统实验,Hubei-YunXing-20241024 S0007,基因组分析助手,生物科技,企业,阿里巴巴,大学,北京大学,基础研究,已完成,2,亚洲,中国,2022-10-01,2023-01-01,2023-12-31,2024-06-01,包括基因组分析、临床数据集成,ScienceDirect,https://www.sciencedirect.com,2024-10-10,
环境监测AI系统实验,,智慧环境监测平台,环境科学,政府,环境保护部,企业,微软,应用研究,招募中,1,北美,加拿大,2023-11-15,2024-01-20,2024-06-30,2024-10-01,包括实时监测、数据分析和资源管理,National Geographic,https://www.nationalgeographic.com,2024-10-10,
节能建筑AI设计实验,,智能节能设计系统,建筑工程,科研机构,麻省理工学院,企业,特斯拉,技术开发,进行中,1,北美,美国,2023-05-20,2023-07-01,2024-07-01,2024-09-15,包括模型构建、能耗模拟等,Architectural Digest,https://www.architecturaldigest.com,2024-10-10,
个性化健康管理系统研究,,智能健康助手,医疗健康,企业,苹果公司,大学,剑桥大学,应用研究,招募中,1,欧洲,英国,2023-02-20,2023-03-25,2024-01-30,2024-08-10,包括用户健康数据分析、个性化建议,Health Affairs,https://www.healthaffairs.org,2024-10-10,
基于AI的慢性病监控系统,Beijing-ZhiNeng-20241028 S0011,慢性病监测助手,医疗健康,企业,百度,医疗机构,中国医学科学院,临床研究,招募中,1,亚洲,中国,2023-08-05,2023-09-01,2024-06-01,2024-08-01,包括数据收集、分析和个性化建议,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
智慧城市管理系统试验,Shanghai-WeiXin-20241029 S0012,城市智能管理平台,城市管理,政府,上海市政府,企业,华为,政策研究,进行中,1,亚洲,中国,2023-03-12,2023-06-01,2024-03-01,2024-07-15,包括交通管理、环境监测和资源优化,GovData,http://www.govdata.cn,2024-10-10,
AI驱动的心理健康支持系统,,心理健康助手,心理健康,企业,IBM,大学,斯坦福大学,基础研究,已完成,2,北美,美国,2022-02-20,2022-05-01,2023-04-15,2023-09-12,包括情绪识别、对话系统和数据分析,HealthIT.gov,https://www.healthit.gov,2024-10-10,
AI辅助的智能农业系统,,智能农业平台,农业,科研机构,新西兰农业研究院,企业,Agri-Tech,应用研究,招募中,1,大洋洲,新西兰,2023-07-15,2023-09-10,2024-10-15,2024-10-01,包括气候监测、作物优化和数据分析,AgriData,https://www.agridata.org,2024-10-10,
企业智能决策支持系统,Guangxi-ShengXing-20241101 S0015,决策支持助手,企业管理,企业,阿里巴巴,大学,复旦大学,技术开发,进行中,1,亚洲,中国,2023-04-25,2023-05-10,2024-02-15,2024-09-05,包括数据分析、市场预测和模型优化,TechInAsia,https://www.techinasia.com,2024-10-10,
AI在法律咨询中的应用,,法律智能助理,法律服务,企业,汤森路透,学术机构,国际法学会,应用研究,招募中,1,北美,美国,2023-08-18,2023-10-01,2024-05-01,2024-09-20,包括案例分析、法律文书生成和预测工具,LexisNexis,https://legal.thomsonreuters.com,2024-10-10,
智慧养老服务平台,Fujian-SuShi-20241103 S0017,养老服务助手,老年护理,政府,国家卫生健康委员会,企业,中兴通讯,社会研究,已完成,2,亚洲,中国,2022-05-15,2022-08-01,2023-06-30,2023-09-15,包括健康监测、社交互动和紧急呼叫系统,HealthTech,https://www.healthtech.com,2024-10-10,
可持续发展智能系统,,可持续发展助手,环境保护,国际组织,联合国开发计划署,科研机构,瑞士联邦理工学院,政策研究,招募中,1,欧洲,瑞士,2023-09-10,2023-11-01,2024-09-01,2024-10-05,包括生态数据分析、资源管理和政策建议,UNDP,https://www.undp.org,2024-10-10,
智能制造系统优化实验,,智能制造助手,制造业,企业,西门子,大学,慕尼黑工业大学,应用研究,已完成,2,欧洲,德国,2022-12-05,2023-01-15,2024-01-10,2024-09-10,包括生产优化、质量控制和供应链管理,Siemens Research,https://www.siemens.com/global/en/home/company/innovation/research.html,2024-10-10,
人工智能在药物研发中的应用,,AI药物开发平台,生物医药,企业,辉瑞,科研机构,斯坦福大学,基础研究,招募中,1,北美,美国,2023-08-15,2023-11-01,2025-01-15,2024-10-15,包括数据挖掘、药物筛选和临床预测,PubMed,https://pubmed.ncbi.nlm.nih.gov/,2024-10-10,
在线学习中的智能助手开发,Sichuan-XinTian-20241020 S0002,学习智能助手,教育行业,企业,Udacity,学校,清华大学,教育研究,已完成,2,亚洲,中国,2023-09-01,2023-09-15,2024-05-20,2024-06-18,包括个性化学习和在线答疑,EDUCAUSE,https://www.educause.edu/,2024-10-10,
养老领域中的智能监控系统实验,Guangdong-HuaWei-20241019 S0003,长者智能监控助手,医疗健康,政府,国家卫生委员会,企业,华为,应用研究,招募中,1,亚洲,中国,2023-03-10,2023-06-01,2024-12-01,2024-10-10,包括健康监测、数据分析及远程护理,China Health Statistics,http://www.chinastat.gov.cn/,2024-10-10,
城市能源管理智能系统实验,Zhejiang-BaiDu-20241021 S0004,智慧能源管理系统,能源管理,政府,地方政府发展局,企业,阿里巴巴,应用研究,已完成,2,亚洲,中国,2022-06-01,2022-10-01,2023-07-15,2023-08-01,包括能源监控、数据分析和资源优化,Energy Research Journal,https://www.energyresearchjournal.com/,2024-10-10,
农业气候智能预警系统实验,Henan-JunJian-20241022 S0005,智能农业气候助手,农业,科研机构,中国农业科学院,高校,南开大学,应用研究,招募中,1,亚洲,中国,2023-04-20,2023-05-25,2024-11-30,2024-09-25,包括气象监测、作物预测和决策支持,Agricultural Research Service,https://www.ars.usda.gov/,2024-10-10,
智能城市公共安全系统实验,,城市安全智能系统,公共安全,地方政府,洛杉矶市政府,企业,IBM,技术开发,已完成,2,北美,美国,2022-05-01,2022-11-01,2023-12-01,2023-08-05,包括视频监控、数据分析和应急响应机制,Journal of Urban Technology,https://www.tandfonline.com/journals/tjut20,2024-10-10,
金融市场智能预测系统实验,,金融预测AI助手,金融服务,企业,摩根大通,大学,伦敦经济学院,技术开发,招募中,1,欧洲,英国,2023-06-30,2023-09-01,2024-06-30,2024-06-05,包括大数据分析、预测建模和实时监控,Financial Times,https://www.ft.com/,2024-10-10,
智能城市垃圾分类管理系统实验,,智能垃圾分类助手,环境保护,地方政府,北京市城市管理局,企业,腾讯,应用研究,进行中,2,亚洲,中国,2023-01-10,2023-03-01,2025-08-20,2024-07-12,包括图像识别、数据处理和智能推送,Smart City Journal,https://www.smartcityjournal.com/,2024-10-10,
人工智能在疫情预测中的应用,,疫情预测AI助手,公共卫生,企业,IBM,研究所,世界卫生组织,预测研究,招募中,1,全球,瑞士,2023-09-05,2023-11-01,2024-10-01,2024-10-10,包括数据挖掘、趋势分析和预测模型,WHO Reports,https://www.who.int,2024-10-10,
基于AI的心理健康助理应用研究,,心理健康AI助手,心理健康,企业,Talkspace,大学,斯坦福大学,临床研究,进行中,1,北美,美国,2023-08-12,2023-09-15,2024-05-30,2024-10-01,包括情感分析、实时会话和建议提供,JAMA Psychiatry,https://jamanetwork.com/journals/jamapsychiatry,2024-10-10,
农业智能化采摘系统研究,,智能采摘机器人,农业,企业,阿里巴巴,科研机构,中科院农业研究所,应用研究,招募中,1,亚洲,中国,2023-05-20,2023-06-25,2024-01-15,2024-09-12,包括视觉识别、路径规划和自动控制,农业科技网,http://www.agri-tech.cn,2024-10-10,
机器学习优化环境监测系统试验,,智能环境监测系统,环境科学,政府,生态与环境部,企业,斯伦贝谢公司,应用研究,已完成,2,欧洲,法国,2022-12-29,2023-01-15,2024-02-20,2024-03-05,包括传感器集成、数据分析和实时反馈,European Environment Agency,https://www.eea.europa.eu,2024-10-10,
智能在线教育平台研究,,在线学习AI系统,教育行业,企业,Udacity,大学,东京大学,教育研究,进行中,1,亚洲,日本,2023-06-18,2023-08-01,2024-06-30,2024-09-15,包括自适应学习、课程推荐和评估分析,EdTech Review,https://edtechreview.in,2024-10-10,
人工智能辅助的语言翻译系统测试,,AI翻译助手,语言服务,企业,DeepL,研究所,剑桥大学,技术开发,招募中,1,欧洲,英国,2023-08-20,2023-09-30,2024-07-20,2024-09-01,包括自然语言处理、语音识别和上下文分析,Cambridge Research,https://www.cambridge.org,2024-10-10,
智能制造系统开发实验,,智能生产助手,制造业,企业,西门子,科技园,深圳科技园区,应用研究,进行中,1,亚洲,中国,2023-07-15,2023-08-20,2024-04-25,2024-09-14,包括物联网、智能控制和数据分析,Manufacturing Insider,https://www.manufacturinginsider.com,2024-10-10,
气候变化的智能预测系统研究,,气候监测AI系统,气候科学,政府,环境保护部,大学,清华大学,应用研究,已完成,2,全球,美国,2022-10-10,2022-11-15,2023-12-20,2024-01-30,包括遥感技术、数据分析和报告生成,IPCC Reports,https://www.ipcc.ch,2024-10-10,
人工智能驱动的个性化营养计划,,智能营养助手,健康管理,企业,Nestlé,研究机构,瑞士联邦理工大学,应用研究,招募中,1,欧洲,瑞士,2023-08-10,2023-09-15,2024-03-10,2024-09-20,包括饮食分析、食物推荐和健康监测,Nature,https://www.nature.com,2024-10-10,
人工智能在心理健康干预中的应用,,AI心理助手,心理健康,政府,缅因州心理健康部门,大学,耶鲁大学,临床研究,已完成,2,北美,美国,2022-12-15,2023-01-01,2023-11-01,2023-12-01,包括情绪分析、在线咨询和反馈机制,JAMA Network,https://jamanetwork.com,2024-10-10,
基于AI的农业病虫害预测系统,,智能农业守护者,农业,科研机构,中国农业科学院,企业,阿里巴巴,技术开发,招募中,1,亚洲,中国,2023-09-25,2023-10-15,2024-04-15,2024-10-01,包括图像识别、数据收集和病虫害预测,AgFunder,https://agfunder.com,2024-10-10,
AI辅助的在线教育系统开发,,智能课堂助手,教育行业,企业,Udacity,大学,斯坦福大学,教育研究,招募中,1,北美,美国,2023-04-20,2023-05-30,2024-05-30,2024-11-01,包括虚拟课堂、即时反馈和学习追踪,EdTech Magazine,https://edtechmagazine.com,2024-10-10,
智能自动驾驶系统的伦理审查,,AI伦理审查助手,自动驾驶,政府,加州交通局,大学,加州大学伯克利分校,伦理研究,已完成,1,北美,美国,2023-07-01,2023-08-01,2024-02-01,2024-02-10,包括伦理框架、风险评估和政策建议,IEEE Spectrum,https://spectrum.ieee.org,2024-10-10,
AI战略决策支持系统研究,,智能决策助手,商业管理,企业,戴尔,大学,哥伦比亚大学,应用研究,招募中,1,北美,美国,2023-10-05,2023-11-01,2024-06-01,2024-10-10,包括数据分析工具、预测模型和决策利器,Harvard Business Review,https://hbr.org,2024-10-10,
人工智能在用药安全监测中的应用,,AI药物监测助手,医疗健康,企业,诺华制药,医院,梅奥诊所,临床研究,招募中,1,北美,美国,2023-05-15,2023-07-01,2024-01-15,2024-11-01,包括实时分析、安全性监测和报告系统,BMJ,https://www.bmj.com,2024-10-10,
人工智能在气候变化预测中的应用,,气候AI助手,气候科学,国际组织,联合国气候变化大会,大学,剑桥大学,科技研究,招募中,1,全球,英国,2023-02-01,2023-03-01,2024-03-01,2024-10-10,包括气候模型、数据分析和影响评估,World Resources Institute,https://www.wri.org,2024-10-10,
自动驾驶车辆安全性测试,,AI驾驶助手,交通运输,企业,特斯拉,大学,斯坦福大学,应用研究,招募中,1,北美,美国,2023-08-01,2023-09-01,2024-09-01,2024-10-01,包括传感器、视觉识别和决策算法,NHTSA,https://www.nhtsa.gov,2024-10-10,
人工智能在制造业中的应用研究,,智能制造系统,制造业,企业,西门子,科研机构,瑞士联邦理工学院,技术开发,已完成,2,欧洲,瑞士,2023-03-15,2023-05-01,2023-12-01,2024-01-15,包括自动化生产线和数据分析,EPFL,https://www.epfl.ch,2024-10-10,
人工智能在供应链管理中的应用,,智能供应链系统,物流,企业,阿里巴巴,科研机构,香港科技大学,应用研究,招募中,1,亚洲,中国,2023-06-20,2023-08-01,2024-02-01,2024-09-01,包括库存管理和预测模型,BMC,https://www.biomedcentral.com,2024-10-10,
人工智能在环境监测中的应用实验,,环境智能监测系统,环境保护,政府,中国生态环境部,大学,清华大学,技术开发,已完成,2,亚洲,中国,2022-09-10,2022-11-01,2023-10-01,2024-01-15,包括气象数据分析和生态评估,National Geographic,https://www.nationalgeographic.com,2024-10-10,
人工智能在心理健康支持中的应用,,心理健康监测助手,心理健康,企业,Moodfit,大学,约翰霍普金斯大学,应用研究,招募中,2,北美,美国,2023-07-15,2023-09-01,2024-03-01,2024-10-01,包括情绪分析和行为预测,Healthline,https://www.healthline.com,2024-10-10,
AI在零售个性化中的应用研究,,智能推荐系统,零售,企业,亚马逊,大学,牛津大学,市场研究,已完成,3,欧洲,英国,2023-04-25,2023-06-01,2024-01-15,2024-09-20,包括用户行为分析和商品推荐算法,Forbes,https://www.forbes.com,2024-10-10,
基于AI的智能农作物管理实验,,智能农业助手,农业,科研机构,国际农业研究所,企业,Corteva,技术开发,招募中,1,全球,美国,2023-07-30,2023-09-10,2024-04-10,2024-10-01,包括作物预测和自动化管理,Agricultural Journal,https://www.agjournals.com,2024-10-10,
AI与人类增强实验,,认知增强系统,医疗健康,大学,麻省理工学院,企业,IBM,前沿研究,进行中,1,北美,美国,2023-09-01,2023-10-01,2024-10-01,2024-10-01,包括增强现实与虚拟现实技术,Nature,https://www.nature.com,2024-10-10,
人工智能对老年人护理的影响,,智能护理助手,医疗健康,企业,百度,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-08-01,2023-09-15,2024-06-30,2024-10-05,包括生理监测、健康咨询和紧急响应功能,PubMed,https://pubmed.ncbi.nlm.nih.gov/,2024-10-10,
智能教育系统在偏远地区的应用,,远程学习平台,教育行业,非营利组织,教育进步基金会,政府,印度教育部,应用研究,进行中,2,亚洲,印度,2023-09-10,2023-10-01,2024-12-01,2024-08-15,包括视频课程、在线测评和讨论论坛,Education Week,https://www.edweek.org/,2024-10-10,
AI对气候变化监测的应用,,气候智能监测系统,环境科学,企业,特斯拉,研究机构,世界气象组织,技术开发,已完成,2,全球,瑞士,2023-04-18,2023-05-20,2024-02-28,2024-09-01,包括卫星数据分析、气候模型和预测工具,IPCC,https://www.ipcc.ch/,2024-10-10,
智能药物研发系统,,AI药物发现平台,生物医药,企业,辉瑞制药,研究机构,中国科学院,药物研发,招募中,1,北美,美国,2023-05-15,2023-06-20,2024-04-01,2024-10-10,包括分子建模、实验数据处理和分析平台,Nature,https://www.nature.com/,2024-10-10,
基于AI的心理健康研究,,智能心理援助系统,心理健康,科研机构,约翰霍普金斯大学,企业,Headspace,心理研究,进行中,2,北美,美国,2023-03-10,2023-04-05,2025-01-20,2024-07-01,包括情绪分析、个性化建议和在线咨询,Psychology Today,https://www.psychologytoday.com/,2024-10-10,
智能物流系统应用研究,,AI物流优化平台,运输物流,企业,亚马逊,大学,麻省理工学院,优化研究,招募中,1,北美,美国,2023-06-01,2023-07-10,2024-05-15,2024-09-05,包括路径优化、需求预测和库存管理,Logistics Management,https://www.logisticsmgmt.com/,2024-10-10,
城市智能能源管理系统,,智能能源管理平台,能源,政府,市政府,企业,Enel,城市研究,已完成,2,欧洲,意大利,2022-11-05,2023-01-20,2024-01-10,2024-06-20,包括能源消耗预测、需求管理和用户反馈,Energy Policy Journal,https://www.journals.elsevier.com/energy-policy,2024-10-10,
AI在环境监测中的应用研究,,植物健康监测系统,环境科学,企业,巴斯夫,大学,康奈尔大学,技术开发,招募中,1,全球,荷兰,2023-08-30,2023-09-20,2024-07-15,2024-10-01,包括气象监测、作物健康分析和数据可视化,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-10-10,
AI在老龄化社会中的应用,,智能护理机器人,医疗健康,企业,微软,科研机构,斯坦福大学,技术开发,招募中,1,北美,美国,2023-09-05,2024-01-10,2024-12-20,2024-11-15,包括健康监测、情绪支持和紧急呼叫功能,AI Research,https://airesearch.microsoft.com,2024-10-10,
基于AI的环境监测系统实验,,环境智能监测平台,环境保护,政府,联合国环境署,企业,IBM,应用研究,已进行中,1,国际,瑞士,2023-06-10,2023-09-01,2024-06-30,2024-03-15,包括遥感技术、数据分析和实时警报系统,UNEP,https://www.unep.org,2024-10-10,
智能化教育平台研究,,虚拟学习辅助平台,教育行业,企业,Amazon,大学,加州大学伯克利分校,教育研究,招募中,2,北美,美国,2023-07-20,2023-09-15,2024-04-25,2024-02-10,包括自适应学习、课程推荐和社交互动功能,EdTech Journal,https://edtechjournal.com,2024-10-10,
智能金融服务试验,,智能投资顾问,金融服务,企业,贝莱德,大学,伦敦经济学院,应用研究,已完成,2,欧洲,英国,2022-10-01,2022-12-01,2023-11-30,2023-10-01,包括算法交易、投资组合管理和客户交流,Financial Times,https://www.ft.com,2024-10-10,
