公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注
九次方大数据,数据分析、保险,精细化客户画像分析系统,客户行为分析与预测,大数据分析与云计算,九次方官网,https://www.9fbank.com/,,
云测科技,测试、软件开发,全面自动化测试平台,软件功能与性能测试,AI与自动化技术,云测科技官网,https://www.yunce.com/,,
亿道数据,大数据、市场营销,市场营销数据洞察平台,市场分析与消费者行为预测,数据分析与机器学习,亿道官网,https://www.yidao.com/,,
钉钉,企业协作、OA,智能办公平台,企业内部沟通与任务管理,云平台与消息推送,钉钉官网,https://www.dingtalk.com/,,
某某科技,网络安全、运维,云安全防护平台,实时监控与攻击防护,网络安全与大数据,某某科技官网,http://www.somesecurity.com,,
京东云,电商、物流,电商平台数据分析系统,销售数据监控与分析,大数据与机器学习,京东官网,https://jd.com,,
宝尊电商,电商、供应链,全渠道零售解决方案,库存与订单的实时管理,云计算与信息化系统,宝尊官网,https://www.baozun.com/,,
优达科技,金融、风险管理,智能风控系统,实时风险监控与管理,大数据分析与机器学习,优达科技官网,https://www.udatech.com/,,
飞天创新,电信、信息服务,5G网络优化解决方案,网络性能提升与监控,5G技术与云架构,飞天科技官网,https://www.feitiankj.com/,,
医脉科技,医疗、健康管理,远程健康监测系统,患者健康数据实时监测,物联网与移动应用,医脉科技官网,https://www.yimai.com/,,
数聚科技,大数据、商业分析,数据集成与分析平台,多维度数据分析与报告生成,云计算与人工智能,数聚科技官网,https://www.shuju.com.cn/,,
华为云,云计算、基础设施,云存储解决方案,安全高效的云数据存储,云服务与数据安全,华为云官网,https://support.huaweicloud.com/,,
视联科技,智能城市、视频监控,智能监控平台,视频智能分析与实时警报,图像处理与大数据技术,视联科技官网,https://www.shilian.com/,,
智联科技,公共安全、智能交通,交通管理系统,实时车流监控与优化,大数据与人工智能,智联科技官网,https://www.zhilian.com/,,
乐享科技,社交、娱乐,在线社交平台解决方案,社交互动与内容分享,社交网络与云计算,乐享科技官网,https://www.lexiang.com/,,
万达信息,零售、消费,智能购物体验系统,个性化购物推荐与分析,推荐算法与数据挖掘,万达信息官网,https://www.wanda-info.com/,,
美团科技,生活服务、物流,智能配送管理系统,自动化配送调度与监控,机器学习与大数据应用,美团官网,https://www.meituan.com/,,
按键科技,软件开发、IT服务,全自动化测试平台,软件自动化测试与报告生成,自动化测试与DevOps,按键科技官网,https://www.anjian.com/,,
电子城科技,电子商务、数字营销,全渠道营销解决方案,综合性市场营销与数据分析,数字营销与数据集成,电子城科技官网,https://www.dzcity.com/,,
博云科技,教育、线上课程,虚拟课堂管理系统,在线课程安排与学员管理,在线教育平台与用户体验,博云科技官网,https://www.boyun.com/,,
科睿科技,创新科技、研发管理,产品创新管理平台,创新项目协作与在线讨论,项目管理与云服务,科睿科技官网,https://www.kayray.com/,,
聚合科技,社交媒体、数据分析,社交数据分析平台,社交互动数据挖掘与分析,大数据分析与机器学习算法,聚合科技官网,https://www.juhe.com/,,
核新科技,区块链、金融,区块链资产管理系统,安全资产转移与记录,区块链技术与金融应用,核新科技官网,https://www.hexin.com/,,
云领科技,智能家居、物联网,智能家居控制系统,远程家居控制与状态监测,物联网与移动技术,云领科技官网,https://www.yunling.com/,,
华为科技,通信、云服务,5G网络管理系统,网络优化与故障预警,5G通信技术,华为官网,https://www.huawei.com,,
腾讯云,游戏、社交,在线游戏服务器解决方案,游戏数据实时分析,云计算与大数据技术,腾讯云官网,https://cloud.tencent.com,,
用友网络,企业管理、财务,企业资源计划(ERP)系统,资源实时调配与管理,人工智能与云计算,用友官网,https://www.yonyou.com,,
字节跳动,媒体、营销,短视频营销分析平台,内容投放与数据分析,机器学习与数据挖掘,字节跳动官网,https://www.bytedance.com,,
微众银行,金融、科技,智能风控系统,风险监测与信贷评估,大数据分析与人工智能,微众银行官网,https://www.webank.com,,
美团,餐饮、旅游,智能外卖配送系统,配送路径优化与订单管理,物联网与大数据,美团官网,https://www.meituan.com,,
长飞光纤,通信、基础设施,光纤网络优化服务,自动化网络监控与维护,光通信技术,长飞官网,http://www.cf fiber.com,,
平安科技,保险、金融,智能理赔系统,理赔流程自动化与监控,人工智能与区块链,平安官网,https://www.pingan.com,,
浪潮集团,数据中心、教育,云计算教育平台,在线课程与资源共享,云计算与数据管理,浪潮官网,http://www Inspur.com,,
百度,搜索引擎、广告,智慧营销平台,广告智能投放与效果分析,大数据与人工智能,百度官网,https://www.baidu.com,,
赛摩智能,智能装备、制造,工业自动化解决方案,设备监控与维护预测,物联网技术,赛摩官网,https://www.saimo.com,,
巨人网络,游戏、人工智能,游戏开发与运营系统,用户行为分析与反馈,人工智能与云服务,巨人网络官网,http://www.giant.com.cn,,
奇安信,网络安全、企业管理,安全信息事件管理平台,安全数据监控与响应,人工智能与大数据,奇安信官网,https://www.qianxin.com,,
新道科技,教育、培训,职业技能培训平台,在线课程及证书管理,在线教育技术,新道官网,https://www.xindao.com,,
云从科技,人工智能、人脸识别,人脸识别系统,身份验证与监控管理,深度学习与计算机视觉,云从官网,https://www.cloudwalk.com.cn,,
联想集团,硬件、云服务,智能办公解决方案,会议管理与协作平台,网络软件与大型计算机,联想官网,https://www.lenovo.com,,
直达科技,物流、信息技术,一体化物流管理平台,运输资源实时管理,大数据与信息技术,直达官网,http://www.zhida.com,,
华大基因,生物科技、医疗,基因数据分析平台,基因测序数据管理与分析,生物信息学技术,华大官网,https://www.bgi.com,,
伟创科技,医疗、健康,数字健康管理平台,健康数据监测与分析,人工智能与大数据,伟创官网,https://www.weichuang.com/,,
慧联科技,智能家居、物联网,智能家居管理系统,设备远程控制与监测,物联网与AI技术,慧联科技官网,http://www.huilian.com/,,
星辰数据,云计算、数据管理,云管理平台,资源调用与监控,云服务与计算平台,星辰数据官网,https://www.xingchen.com/,,
科技信通,金融、区块链,区块链交易平台,安全交易与资产管理,区块链与安全技术,科技信通官网,http://www.kejixintong.com/,,
乐汇科技,社交、电商,社交电商平台,用户推荐与匹配购物,推荐算法与大数据,乐汇官网,http://www.lehui.com/,,
环宇科技,交通、无人驾驶,智能交通管理系统,交通流量优化与管理,人工智能与传感器技术,环宇科技官网,http://www.huanyu.com/,,
天险公司,安全、监控,智能视频监控系统,动态监测与异常报警,计算机视觉与AI,天险公司官网,https://www.tianxian.com/,,
易云科技,教育、在线学习,在线教育管理平台,线上课程及学习评估,教育云服务与数据分析,易云科技官网,https://www.yiyun.com/,,
捷通动力,灵活制造、自动化,智能制造解决方案,生产流程自动化与优化,工业自动化与机器人,捷通官网,https://www.jietong.com/,,
拓维科技,娱乐、媒体,媒体内容管理系统,内容发布与用户互动,云计算与大数据分析,拓维官网,http://www.tuowei.com/,,
智云科技,金融、投资,智能财富管理系统,投资分析与风险评估,金融大数据与AI,智云官网,https://www.zhiyun.com/,,
云翼科技,客服、支持,智能客服系统,24小时在线服务与反馈,自然语言处理与AI,云翼官网,https://www.yunyi.com/,,
数联科技,数据分析、市场研究,市场智能分析平台,市场趋势分析与预测,数据挖掘与分析模型,数联官网,https://www.shulian.com/,,
创新科技,游戏、娱乐,互动游戏开发平台,实时互动与用户体验优化,游戏引擎与跨平台技术,创新科技官网,http://www.chuangxin.com/,,
亿达科技,智能制造、物联网,智慧工厂解决方案,生产自动化与监控系统,物联网与机器视觉,亿达官网,http://www.yida.com/,,
诚达科技,房地产、城市规划,城市建设管理系统,项目进度跟踪与评估,云计算与项目管理,诚达官网,https://www.chengda.com/,,
赛米科技,咨询、企业服务,企业数字转型方案,全链条信息化规划,数据管理与咨询服务,赛米官网,https://www.saime.com/,,
飞翔科技,安防、监控,人脸识别安防系统,实时监控与识别,AI与深度学习,飞翔官网,https://www.feixiang.com/,,
未来科技,教育、智能评测,在线智能评测平台,实时答疑与模拟考试,人工智能与大数据分析,未来科技官网,https://www.weilaikeji.com/,,
中兴通讯,通信、政府服务,智慧城市综合管理平台,城市数据整合与实时监控,物联网与云计算,中兴官网,https://www.zte.com.cn/,,
华为云,企业管理、金融,金融云解决方案,智能风险评估与风控管理,大数据与AI算法,华为云官网,https://support.huaweicloud.com/,,
平安科技,保险、医疗,智能健康管理系统,疾病预测与健康监测,区块链与智能合约,平安科技官网,https://www.pingan.com/,,
美团点评,餐饮、供应链,智能餐饮管理平台,订单处理与客户反馈分析,大数据与机器学习,美团官网,https://www.meituan.com/,,
海康威视,安全监控、公共服务,视频监控智能分析解决方案,异常行为检测与报警,人工智能与图像识别,海康威视官网,https://www.hikvision.com/,,
顺丰科技,物流、运输,智慧物流管理系统,运输优化与跟踪系统,物联网与大数据,顺丰官网,https://www.sf-express.com/,,
百度智能云,科技、科研,智能科研数据管理平台,数据挖掘与分析工具,云计算与数据科学,百度智能云官网,https://cloud.baidu.com/,,
腾讯云,娱乐、社交,社交游戏云平台,实时数据同步与用户分析,云计算与大数据管理,腾讯云官网,https://cloud.tencent.com/,,
京东方科技,显示技术、智能制造,智能显示管理系统,远程监控与故障预警,物联网与大数据分析,京东方官网,http://www.boe.com/,,
容联云通讯,通讯、客户服务,云呼叫中心解决方案,客户互动与满意度分析,人工智能与云通信,容联云官网,https://www.yuntongxun.com/,,
微众银行,银行、金融,智慧银行服务系统,个人化金融服务与风险管理,大数据与AI助力,微众银行官网,https://www.webank.com/,,
字节跳动,社交、内容,智能内容推荐系统,个性化推荐与用户行为分析,机器学习与者兴趣分析,字节跳动官网,https://www.bytedance.com/,,
海尔集团,家居、物联网,智能家居管理平台,家电远程控制与能耗监控,全屋智能与大数据,海尔官网,https://www.haier.com/,,
联想集团,制造、IT支持,智能制造解决方案,生产线数据分析与优化,AI与云服务,联想官网,https://www.lenovo.com/,,
宁德时代,能源、制造,电池管理智能解决方案,电池性能监控与优化,物联网技术,宁德时代官网,https://www.catl.com/,,
东软集团,医疗、科技,智能医疗信息系统,患者信息综合管理,云计算与AI技术,东软官网,https://www.neusoft.com/,,
中国信息通信科技集团,通信、网络,5G网络管理与优化系统,网络性能监测与数据分析,5G技术与物联网应用,中国信息通信官网,https://www.chinaunicom.com/,,
红帽科技,IT服务、云计算,开源云解决方案,集成云服务与数据保护,开源技术与容器管理,红帽官网,https://www.redhat.com/,,
华为技术,通信、云计算,云网络安全解决方案,云端数据保护与防御,机器学习与加密技术,华为官网,https://www.huawei.com/cn/solutions,,
腾讯科技,社交、游戏,社交媒体数据分析工具,用户行为分析与趋势预测,大数据与人工智能,腾讯科技官网,https://www.tencent.com/en-us/solutions,,
中软国际,金融、技术服务,金融科技解决方案,实时交易监控与风险评估,区块链与大数据分析,中软国际官网,http://www.china-soft.com,,
美团点评,餐饮、旅游,智能订单管理系统,订单处理自动化与数据分析,人工智能与大数据,美团官网,https://www.meituan.com,,
百度云,搜索、AI,智能搜索引擎优化解决方案,搜索引擎推广与流量分析,深度学习与自然语言处理,百度云官网,https://cloud.baidu.com,,
浪潮集团,云计算、政务,政务云平台建设解决方案,数据共享与资源整合,云计算与大数据,浪潮官网,https://www.inspur.com,,
用友网络,企业管理、信息化,企业资源计划（ERP）解决方案,资源调配与管理效率提升,云服务与软件开发,用友官网,https://www.yonyou.com,,
赛迪顾问,咨询、研究,数字化转型咨询服务,企业数字化升级与咨询,市场研究与数据挖掘,赛迪顾问官网,http://www.ccidconsulting.com,,
平安科技,金融、保险,智能风控系统,风险监测与数据分析,大数据与人工智能,平安科技官网,https://tech.pingan.com,,
锐奇数据,数据服务、基础设施,数据管理与分析平台,数据集中管理与实时分析,数据挖掘与分析,锐奇官网,http://www.redike.com,,
银江股份,城市管理、交通,智能交通管理系统,交通流量监测与优化,物联网与大数据,银江官网,http://www.yinj.com,,
安恒信息,安全、IT,企业网络安全管理平台,资产风险评估与防护,网络安全与人工智能,安恒官网,http://www.guardtime.com,,
华三通信,网络、通信,大规模网络管理解决方案,网络流量监测与优化,云计算与网络技术,华三官网,https://www.h3c.com,,
创新科技,云计算、AI,智慧城市解决方案,城市数据分析与应用,大数据与物联网,创新科技官网,https://www.innovatech.com,,
新大陆,物联网、零售,智慧零售解决方案,客户数据分析与行为预测,数据分析与IoT,新大陆官网,http://www.newland.com.cn,,
云管理平台,企业服务、IT,IT资源管理系统,资源管理效率提升,云计算与数据管理,云管理官网,http://www.cloudmanage.com,,
大连理工大学,教育、科研,科研管理信息系统,科研项目管理与数据共享,教育技术与信息系统,大连理工大学官网,http://www.dlut.edu.cn,,
华为技术,通信、智能家居,智能家居管理平台,家庭设备的统一控制与管理,物联网与人工智能,华为官网,https://www.huawei.com/cn/solutions/home,,
腾讯云,医疗、健康,远程医疗解决方案,患者健康监控与远程咨询,大数据与云计算,腾讯云官网,https://cloud.tencent.com/solutions/healthcare,,
浪潮集团,教育、培训,智能校园管理系统,校园资源管理与在线学习,云计算与大数据,浪潮官网,https://www.inspur.com/education,,
中兴通讯,金融、银行,区块链金融服务平台,跨境支付与可信记录,区块链与加密技术,中兴官网,https://www.zte.com.cn/global/solutions/finance,,
平安科技,保险、金融,智能保险理赔系统,自动化理赔流程与审核,人工智能与机器学习,平安保险官网,https://www.pingan.com/technology,,
字节跳动,营销、广告,智能广告投放系统,用户行为分析与广告精准投放,数据分析与云计算,字节跳动官网,https://www.bytedance.com/advertising,,
思特威,汽车、交通,智能驾驶辅助系统,实时交通监控与导航,传感器与自动驾驶技术,思特威官网,https://www.sitwell.com/solutions/automotive,,
新希望集团,农业、食品,智能农业管理系统,土壤监测与作物管理,物联网与数据分析,新希望官网,http://www.newhopegroup.com/agriculture,,
光环新网,数据中心、云计算,企业云服务平台,弹性计算与存储解决方案,云架构与虚拟化技术,光环新网官网,https://www.guanghuan.com/cloud,,
万达网络,娱乐、传媒,智能内容推荐系统,用户行为分析与个性化推荐,机器学习与大数据,万达官网,https://www.wanda.com/multimedia,,
顺丰科技,物流、交通,智慧物流管理平台,订单追踪与配送优化,大数据与人工智能,顺丰官网,https://www.sf-express.com/solutions,,
小米科技,消费电子、智能家居,家居智能控制系统,智能设备的集中控制与管理,物联网与云平台,小米官网,https://www.mi.com/smart-home,,
美团点评,餐饮、服务,在线点餐系统,餐饮商家的线上服务与管理,移动互联网技术,美团官网,https://www.meituan.com/food,,
中软国际,企业服务、IT外包,企业资源计划(ERP)系统,财务、生产、库存一体化管理,企业管理软件,中软国际官网,http://www.chinasofti.com/solutions/erp,,
合合信息,金融、银行,智能风险评估系统,及时的信用评估与风险监控,大数据与人工智能,合合信息官网,https://www.hhhinfo.com/solutions/risk,,
博世中国,制造业、IoT,工业物联网解决方案,设备智能监控与维护,物联网技术与智能制造,博世官网,https://www.bosch.com.cn/industry,,
甲骨文,数据库、云计算,数据库云服务,安全、灵活的数据库管理,DATABASE与云技术,甲骨文官网,https://www.oracle.com/cn/database,,
百度云,人工智能、大数据,云计算与AI结合平台,AI服务与数据存储,云计算与机器学习,百度云官网,https://cloud.baidu.com,,
飞利浦,医疗设备、健康,数字健康解决方案,健康数据跟踪与分析,数码医疗与云技术,飞利浦官网,https://www.philips.com.cn/health,,
数据观科技,金融、保险,智能风险评估系统,实时风险监控与分析,机器学习与数据建模,数据观官网,http://www.dataview.com,,
信软件科技,医疗、健康,智慧医疗管理平台,病人信息自动记录与追踪,人工智能与云计算,信软件官网,http://www.xinsoft.com,,
长江云海,交通、出行,智能交通管理系统,流量监测与调度,大数据分析与IoT技术,长江云海官网,http://www.yangtzecloud.com,,
星云互联,教育、培训,AI教育辅导系统,个性化学习建议与互动教学,人工智能与教育技术,星云互联官网,http://www.cloudstar.com,,
云豹科技,零售、电商,精准营销平台,客户行为分析与推荐,大数据与机器学习,云豹科技官网,http://www.yunbao.com,,
融创智能,房地产、建筑,智能建筑管理系统,能源消耗监控与管理,物联网与大数据分析,融创智能官网,http://www.rongchuang.com,,
智云数据,广告、市场营销,智能广告投放系统,广告效果实时监控与调整,AI分析与数据挖掘,智云数据官网,http://www.zhiyundata.com,,
随心科技,物流、配送,自动化物流管理系统,订单处理与配送智能调度,人工智能与云服务,随心科技官网,http://www.suixintech.com,,
深维科技,安全、网络,智能安全防护系统,网络威胁监测与应对,区块链与AI技术,深维科技官网,http://www.shenwei.com,,
高维科技,制造业、自动化,智能制造管理系统,设备监控与故障预测,云技术与物联网,高维科技官网,http://www.gaowei.com,,
云脉科技,能源、环境,智慧能源管理系统,能源使用效率优化,大数据与AI分析,云脉科技官网,http://www.yunmai.com,,
蓝海智创,游戏、媒体,互动娱乐分析平台,用户互动行为分析,数据分析与云技术,蓝海智创官网,http://www.lanhai.com,,
创领科技,交通、物流,交通流量智能提升系统,流量优化与交通预测,人工智能与系统集成,创领科技官网,http://www.chuangling.com,,
科慧云,农业、食品,农业生产智能管理系统,作物生长监测与预测,物联网与大数据,科慧云官网,http://www.kehuicloud.com,,
天宇科技,金融、支付,智能支付处理系统,快速支付与交易监控,区块链与安全技术,天宇科技官网,http://www.tianyu.com,,
启航科技,社交、平台,社交媒体分析平台,用户行为分析与内容推荐,人工智能与分析技术,启航科技官网,http://www.qihang.com,,
智信科技,家庭、消费,智能家居管理系统,家庭设备集中控制与能耗管理,IoT与云技术,智信科技官网,http://www.zhixintech.com,,
云芯科技,电信、网络,智能网络优化系统,网络流量分析与优化,大数据与AI,云芯科技官网,http://www.yunxin.com,,
华云科技,旅游、酒店,智能酒店管理系统,客户管理与服务优化,云计算与大数据,华云科技官网,http://www.huayun.com,,
未来科技,金融、数据分析,智能信贷评分系统,信贷申请自动化审核,人工智能与大数据,未来科技官网,https://www.weilaikeji.com,,
云端信息,人力资源、企业管理,在线招聘管理系统,简历筛选与面试安排,AI与人才匹配技术,云端信息官网,http://www.yunduan.com,,
慧云科技,电子商务、零售,智慧购物助手,个性化推荐与优惠计算,机器学习与推荐系统,慧云科技官网,https://www.huijun.com,,
融智科技,物流、运输,智能包裹分配系统,实时包裹跟踪与调度,物联网与云计算,融智科技官网,https://www.rongzhi.com,,
安全之盾,网络安全、信息保护,企业安全防护系统,漏洞扫描与风险评估,AI与风险控制技术,安全之盾官网,https://www.aqzd.com,,
慧博科技,医疗、健康,智能诊断支持系统,病历数据分析与疾病预测,数据挖掘与机器学习,慧博科技官网,https://www.huibo.com,,
智源科技,教育、在线学习,智能教学管理平台,课程管理与学习分析,AI与教育技术,智源科技官网,http://www.zhiyuan.com,,
亿可科技,智能家居、物联网,智能家居控制系统,远程设备控制与监控,物联网与智能算法,亿可科技官网,https://www.yike.com,,
创新动力,汽车、智能驾驶,智能驾驶辅助系统,自动导航与安全监测,深度学习与传感器融合,创新动力官网,https://www.chuangxindongli.com,,
博览科技,农业、食品,智能农业管理系统,实时环境监测与数据分析,大数据与传感器技术,博览科技官网,https://www.bolan.com,,
互联智造,制造业、智能工厂,生产线智能化解决方案,设备监控与工艺优化,物联网与工业4.0,互联智造官网,https://www.hulianzhibei.com,,
绿禾科技,环境、可持续发展,智慧环保监测系统,污染监测与数据分析,物联网与数据分析,绿禾科技官网,https://www.lvhe.com,,
云泽科技,旅游、服务业,在线旅游管理平台,旅游资源管理与预订,移动互联网与云计算,云泽科技官网,https://www.yunze.com,,
循道科技,人工智能、科研,AI科研数据分析平台,科研数据挖掘与分析,机器学习与自然语言处理,循道科技官网,https://www.xundao.com,,
云顶科技,游戏、娱乐,云游戏解决方案,高性能游戏流媒体,虚拟化与图形加速技术,云顶科技官网,https://www.yunding.com,,
汇点科技,保险、金融,智能理赔管理系统,理赔申请自动审核,AI与流程自动化,汇点科技官网,https://www.huidian.com,,
视野科技,传媒、广告,广告效果分析平台,广告投放效果评估,大数据与AI,视野科技官网,https://www.shiye.com,,
华为云,金融、保险,智能风险管理平台,财务风险预测与管理,人工智能与大数据,华为官网,https://www.huawei.com/cn/solutions/cloud,,
迈锐科技,医疗、健康,数字健康管理平台,患者数据实时监控,云计算与AI健康分析,迈锐科技官网,https://www.myrae.cn/,,
博世软件,智能制造、工业,智能工厂解决方案,设备状态监测与故障预测,物联网与边缘计算,博世官网,https://www.bosch.com.cn/,,
百度智能云,电商、市场营销,智能营销助手,精准客户画像与推荐,人工智能与自然语言处理,百度官网,https://cloud.baidu.com/,,
科大讯飞,教育、培训,智慧教育解决方案,自适应学习系统与评估,语音识别与大数据分析,科大讯飞官网,https://www.iflytek.com/,,
达梦数据库,电力、能源,能源监控与管理系统,实时能耗分析与优化,数据库技术,达梦官网,http://www.dameng.com/,,
平安科技,金融、风险管理,智能审计系统,财务审计与合规性检查,区块链与大数据,平安集团官网,https://www.pingan.com/,,
中兴通讯,通信、网络,5G网络管理平台,全网资源管理与优化,5G技术与网络优化,中兴官网,https://www.zte.com.cn/,,
盛大网络,娱乐、游戏,在线游戏平台,玩家社交与游戏推荐,社交网络与推荐算法,盛大官网,https://www.shanda.com/,,
创维云,家庭、智能家居,智能家居管理系统,家庭设备集中控制,物联网与智能控制,创维官网,https://www.skyworth.com/,,
小米科技,消费电子、智能家居,米家智能家居解决方案,家庭设备互联互通,物联网与智能硬件,小米官网,https://www.mi.com/,,
腾讯云,社交、游戏,云游戏解决方案,低延迟在线游戏体验,云计算与处理技术,腾讯云官网,https://cloud.tencent.com/,,
360企业安全,网络安全、企业服务,企业安全防护平台,自动威胁检测与响应,人工智能与安全技术,360官网,https://www.360.cn/,,
美团科技,餐饮、外卖,智能外卖配送系统,配送路径优化与时间预测,大数据与AI调度,美团官网,https://www.meituan.com/,,
荣耀有限公司,电子商务、零售,电子商务平台,在线交易与客户管理,云计算与电商解决方案,荣耀官网,https://www.honor.cn/,,
快手科技,短视频、社交,短视频内容创作平台,视频编辑与社交分享,音视频处理与社交推荐,快手官网,https://www.kuaishou.com/,,
锤子科技,移动应用、服务,跨平台移动应用开发,应用组件与服务集成,移动开发框架与API,锤子官网,https://www.smartisan.com/,,
优优科技,金融、支付,智能支付系统,安全快速支付与交易记录管理,大数据分析与安全技术,优优科技官网,https://www.yoyo.com/,,
未来云科技,教育、远程学习,智能课堂互动平台,实时互动与数据分析,云计算与虚拟现实,未来云官网,http://www.weitaiyun.com/,,
中科软,医疗、健康,健康管理信息系统,患者信息整合与健康监测,人工智能与数据挖掘,中科软官网,http://www.zks.com.cn/,,
安捷科技,安全、监控,智慧安防管理平台,实时视频监控与告警系统,深度学习与边缘计算,安捷科技官网,https://www.anjietech.com/,,
云码科技,大数据、数据处理,数据管理与分析平台,数据整合、分析与可视化,机器学习与数据仓库,云码官网,https://www.yunma.com/,,
智汇科技,农村、社区服务,农村信息服务平台,农产品电商与服务对接,移动互联网技术,智汇官网,https://www.zhihui.com/,,
视界科技,媒体、广告,媒体内容管理系统,内容发布与效果分析,视频处理和云技术,视界科技官网,https://www.shijie.com/,,
飞链科技,物流、仓储,智能仓储管理系统,实时库存跟踪与管理,物联网与RFID技术,飞链科技官网,https://www.feilian.com/,,
新云网络,政府、公共服务,电子政务平台,在线政务服务与反馈系统,云计算与流程优化,新云官网,https://www.xinyun.com/,,
智慧城市科技,城市管理、交通,智慧城市管理系统,交通流量监控与管理,大数据与云计算技术,智慧城市官网,http://www.smartcity.com/,,
火风科技,传媒、宣传,多媒体广告投放系统,广告效果实时追踪与优化,大数据分析与媒体互动,火风官网,http://www.huofeng.com/,,
北斗科技,运输、导航,智能导航与运输管理系统,实时导航与车辆监控,卫星定位与大数据分析,北斗官网,http://www.beidou.com/,,
微云科技,保险、金融,保险科技平台,理赔自动化与客户管理,人工智能与大数据,微云官网,https://www.weiyun.com/,,
映象科技,文化、艺术,艺术作品数字化管理平台,艺术作品在线展示与交易,云技术与数据可视化,映象科技官网,https://www.yingshang.com/,,
河星科技,科研、教育,科研数据共享平台,共享数据与科研管理,数据科学与协同平台,河星官网,http://www.hexingtech.com/,,
星云信息,企业管理、HR,智能人力资源管理系统,员工信息管理与分析,AI与HR技术,星云官网,https://www.xingyun.com/,,
智链科技,供应链、制造,智能制造解决方案,生产过程优化与监控,工业互联网与AI,智链官网,http://www.zhichain.com/,,
云海科技,旅游、出行,智慧出行管理平台,行程安排与实时交通更新,大数据与移动应用,云海科技官网,https://www.yunhai.com/,,
华为技术有限公司,通信、网络安全,网络安全防护解决方案,实时威胁检测与响应,AI与网络安全技术,华为官网,https://www.huawei.com,,
中兴通讯,智慧城市、物联网,智慧交通管理系统,流量预测与路况优化,物联网与大数据,中兴官网,https://www.zte.com.cn,,
腾讯科技,娱乐、社交媒体,社交平台数据分析,用户行为分析与推荐,大数据挖掘与机器学习,腾讯云官网,https://cloud.tencent.com,,
百度,人工智能、搜索服务,智能问答系统,自然语言处理与知识图谱,深度学习与AI算法,百度官网,https://www.baidu.com,,
安恒信息,安全、金融,金融网络安全解决方案,交易保护与欺诈检测,区块链与反欺诈技术,安恒官网,https://www.anheng.com,,
SAP中国,企业管理、供应链管理,智能企业管理平台,资源规划与流程优化,云计算与人工智能,SAP官网,https://www.sap.com/china/index.html,,
用友网络,企业软件、财务管理,企业资源管理解决方案,财务分析与成本控制,ERP与云服务,用友官网,https://www.yonyou.com,,
长亭科技,网络安全、企业服务,安全边界防护平台,访问控制与安全监测,云原生安全技术,长亭官网,https://www.chaitin.cn,,
华三通信,通信、网络管理,网络智能运维系统,故障检测与性能优化,AI运维与大数据,H3C官网,https://www.h3c.com,,
网易云,云计算、人工智能,云基础设施服务,资源管理与服务编排,虚拟化与分布式存储,网易云官网,https://www.163.com,,
美团点评,生活服务、数据分析,智能推荐系统,个性化服务与营销,机器学习与用户行为分析,美团官网,https://www.meituan.com,,
京东科技,零售与物流,无人仓储解决方案,自动化存取与效率提升,机器人与物联网,京东官网,https://www.jd.com,,
字节跳动,数字媒体、广告,内容推荐与分析系统,用户偏好分析与内容分发,大数据与人工智能,字节跳动官网,https://www.bytedance.com,,
有赞,电商、金融,在线支付与营销平台,支付Gateway与用户分析,支付技术与大数据,有赞官网,https://www.youzan.com,,
数字人科技,未来科技、虚拟现实,虚拟人互动系统,用户互动与实时反馈,3D建模与深度学习,数字人官网,https://www.digitalpeople.com,,
浪潮集团,云计算、大数据,大数据处理与分析平台,数据挖掘与可视化,数据仓库与AI分析,浪潮官网,https://www.inspur.com,,
用友网络,人力资源、企业管理,智能HR管理系统,员工考勤与绩效分析,HRM与数据分析,用友官网,https://www.yonyou.com,,
Intel,硬件、云服务,高性能计算集群解决方案,大规模数据处理与分析,云与边缘计算技术,Intel官网,https://www.intel.cn,,
IBM,云计算、人工智能,Watson人工智能平台,智能客服与数据分析,自然语言处理与机器学习,IBM官网,https://www.ibm.com,,
中信科技,金融、保险,智能风险评估系统,实时风险监控与管理,人工智能与大数据分析,中信科技官网,https://www.citictech.com,,
星河云,医疗、健康,医疗数据整合平台,患者病历与健康数据管理,数据安全与隐私保护技术,星河云官网,https://www.xingheyun.com,,
软通动力,教育、在线学习,智能教育分析平台,学习成果分析与个性化推荐,机器学习与人工智能,软通动力官网,https://www.softpower.com,,
博云科技,公共服务、智慧城市,智慧城市综合管理平台,数据分析与城市服务优化,云计算与物联网技术,博云科技官网,https://www.boyun.com,,
瑞云科技,保险、金融,智能保险理赔系统,理赔流程自动化与智能审核,区块链技术与数据分析,瑞云科技官网,https://www.raincloud.com,,
纬创科技,零售、供应链,智能库存管理系统,库存跟踪与预警管理,AI与物联网技术,纬创科技官网,https://www.wistron.com,,
百望云,财务、税务,云财务税务处理平台,税务申报自动化管理,智能自动化与数据分析,百望云官网,https://www.100cloud.com,,
鸣人科技,人力资源、招聘,智能招聘管理系统,候选人筛选与匹配,人工智能与算法优化,鸣人科技官网,https://www.mingrentech.com,,
大地网络,能源、环境,智慧能源管理解决方案,能源使用监控与分析,物联网与大数据技术,大地网络官网,https://www.dadi.com,,
海云数据,科研、技术支持,科研数据共享与分析平台,科研成果可视化与共享,大数据分析与平台开发,海云数据官网,https://www.haicloud.com,,
