标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
SMPTE ST 2022,专业视频和音频传输标准,60.0,fps,12bit,超高清晰度,16:09,2023-05-10,全球,SMPTE,https://www.smpte.org/,,
ITU-T H.265,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2021-11-20,全球,ITU-T,https://www.itu.int/en/ITU-T,,
H.264,高级视频编码,30.0,fps,8bit,高清晰度,16:09,2010-01-10,全球,ITU-T,https://www.itu.int,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2018-03-20,全球,AOMedia,https://aomedia.org,,
XAVC,索尼视频压缩技术,120.0,fps,10bit,超高清晰度,16:09,2015-06-15,全球,Sony,https://www.sony.net/technology/,,
VP9,Google 视频编码格式,60.0,fps,10bit,超高清晰度,16:09,2016-02-05,全球,Google,https://www.google.com,,
H.262,MPEG-2 视频编码,30.0,fps,8bit,标准清晰度,4:3,1995-11-30,全球,ITU-T,https://www.itu.int,,
NGVC,下一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2024-01-01,全球,IEEE,https://www.ieee.org,,
SVC,可伸缩视频编码,30.0,fps,10bit,高清晰度,16:09,2015-05-01,全球,IETF,https://www.ietf.org,,
SMPTE ST 2110-40,专业视频传送标准扩展,60.0,fps,10bit,超高清晰度,16:09,2022-12-15,全球,SMPTE,https://www.smpte.org,,
RFC 9000,可扩展视频传输标准,30.0,fps,10bit,高清晰度,16:09,2023-07-01,全球,IETF,https://www.ietf.org,,
AVC-ULTRA,ULTRA视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-09-15,全球,Panasonic,https://www.panasonic.com,,
HEVC-2,下一代高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2023-10-01,全球,ITU,https://www.itu.int,,
AVS3D,三维视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-01-15,中国,业内会议,https://www.3dtech.org,,
H.265,高效视频编码扩展,120.0,fps,10bit,超高清晰度,21:09,2014-01-01,全球,ITU-T,https://www.itu.int/en/ITU-T/techfocus/pages/h265.aspx,,
AVC,高级视频编码,60.0,fps,8bit,高清晰度,16:09,2003-05-01,全球,MPEG,http://www.mpeg.org,,
VP9,谷歌视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-05-01,全球,谷歌官方,https://developers.google.com/media/vp9,,
H.320,视频会议标准,30.0,fps,8bit,标准清晰度,4:3,1998-02-01,全球,ITU-T,https://www.itu.int/en/ITU-T/techfocus/pages/h320.aspx,,
HEVC 2.0,第二代高效视频编码,120.0,fps,12bit,超高清晰度,21:09,2022-09-01,全球,国际电信联盟,https://www.itu.int/en/ITU-T/techfocus/pages/hevc.aspx,,
H.264,视频压缩标准,60.0,fps,10bit,超高清晰度,16:09,2005-05-01,全球,MPEG,http://www.mpeg.org,,
MPEG-1,第一代视频编码标准,30.0,fps,8bit,标准清晰度,4:3,1993-11-01,全球,MPEG,http://www.mpeg.org,,
MPEG-4,多媒体编码标准,60.0,fps,8bit,高清晰度,16:9,2001-11-01,全球,MPEG,http://www.mpeg.org,,
AVS+,增强视频编码标准,120.0,fps,10bit,超高清晰度,21:9,2022-02-01,中国,行业会议,https://www.avs.org,,
VVC,视频压缩标准,120.0,fps,10bit,超高清晰度,16:9,2022-08-01,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de,,
SMPTE 2036,专业视频传输标准,60.0,fps,12bit,超高清晰度,16:9,2023-07-01,全球,SMPTE,https://www.smpte.org,,
DVB-T2,数字视频广播第二代,60.0,fps,10bit,高清晰度,16:9,2010-05-01,全球,DVB,https://dvb.org/,,
SMPTE ST 2022,专业视频传输标准,60.0,fps,10bit,超高清晰度,16:9,2020-09-01,全球,SMPTE,https://www.smpte.org,,
ISO/IEC 14496,多媒体内容标准,30.0,fps,8bit,标清晰度,4:3,2009-07-01,全球,ISO,https://www.iso.org,,
AVS3D2,三维视频增强标准,60.0,fps,12bit,超高清晰度,21:9,2024-01-01,中国,AVS标准组织,https://www.avs.org,,
HEVC-Live,实时高效视频编码标准,120.0,fps,10bit,超高清晰度,16:9,2023-05-01,全球,FIMS,http://www.fims.org,,
JCT-VC,联合视频编码标准,60.0,fps,10bit,超高清晰度,16:9,2013-02-01,全球,CFA,https://www.jct-vc.org,,
VP9,Google视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-06-01,全球,Google技术文档,https://developers.google.com/media/vp9,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2018-01-01,全球,AOMedia,https://aomedia.org/,,
HEVC 2,高效视频编码2,60.0,fps,12bit,超高清晰度,16:09,2023-05-15,全球,ITU-T,https://www.itu.ch/en/ITU-T/index.html,,
H.265,第二代视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
VFQ,超高帧率视频标准,240.0,fps,10bit,超高清晰度,21:09,2024-02-01,全球,NVIDIA技术报告,https://www.nvidia.com/en-us/research/,,
iFrame,即插即用格式,30.0,fps,8bit,高清晰度,16:09,2022-09-01,北美,Apple开发者,https://developer.apple.com/,,
JPEG XS,低延迟视频压缩标准,120.0,fps,12bit,超高清晰度,16:09,2021-11-15,全球,JPEG组织,http://jpeg.org/,,
SCVP,可伸缩视频编码协议,30.0,fps,10bit,超高清晰度,16:09,2021-06-01,全球,IETF,https://www.ietf.org/,,
SCTE 2042,高效流媒体传输标准,60.0,fps,10bit,超高清晰度,16:09,2020-09-01,北美,SCTE,https://www.scte.org/,,
OCAP,开放内容应用平台标准,60.0,fps,10bit,超高清晰度,16:09,2022-02-15,全球,CableLabs,https://www.cablelabs.com/,,
DTS:X,多维音频标准,60.0,fps,16bit,超高清晰度,21:09,2017-09-01,全球,DTS,https://dts.com/,,
3DTV,三维电视标准,60.0,fps,12bit,超高清晰度,16:09,2015-03-01,全球,SMPTE,https://www.smpte.org/,,
WebRTC,实时通信标准,60.0,fps,8bit,高清晰度,16:09,2020-12-01,全球,W3C,https://www.w3.org/,,
Standard 21:9,超宽屏格式标准,60.0,fps,10bit,超高清晰度,21:09,2021-01-01,美国,Hollywood Alliance,http://hollywoodalliance.org/,,
CMAF,通用媒体封装格式,60.0,fps,10bit,高清晰度,16:09,2019-02-01,全球,MPEG,http://www.mpeg.org,,
HLS,HTTP直播流标准,30.0,fps,8bit,高清晰度,16:09,2018-10-01,全球,Apple,https://developer.apple.com/streaming/,,
EVC,扩展视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-01-15,欧洲,ETSI,https://www.etsi.org,,
VVC,Versatile Video Coding,60.0,fps,10bit,超高清晰度,16:09,2020-09-01,全球,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
LCEVC,低复杂度增强视频编码,30.0,fps,8bit,高清晰度,16:09,2022-06-05,全球,MPEG,https://mpeg.chiariglione.org,,
AVC-2,增强视频编码,60.0,fps,10bit,超高清晰度,21:09,2023-05-01,中国,中国广电,http://www.cbt.gov.cn,,
HEVC-2,高效视频编码V2,120.0,fps,10bit,超高清晰度,16:09,2019-11-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
H.265,高效视频编码H.265,60.0,fps,12bit,超高清晰度,21:09,2013-01-01,全球,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
JPEG XS,JPEG极简编码,120.0,fps,10bit,超高清晰度,16:09,2021-05-15,全球,JPEG,http://jpeg.org,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2018-12-01,全球,AOMedia,https://aomedia.org,,
SVC,可伸缩视频编码标准,30.0,fps,8bit,标准清晰度,16:09,2016-02-01,全球,ITU,https://www.itu.int,,
NAB,国家广播标准,120.0,fps,12bit,超高清晰度,21:09,2020-11-01,美国,NAB,https://www.nab.org,,
BIF,广播互操作性标准,30.0,fps,10bit,高清晰度,16:09,2019-01-01,全球,ATSC,https://www.atsc.org,,
QSV,快速视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2021-08-15,全球,行业报告,https://www.digitalvideo.com,,
ISO 23090,视频编码基于场景的标准,60.0,fps,12bit,超高清晰度,21:09,2022-04-01,国际,ISO,https://www.iso.org,,
EBS,增强广播标准,30.0,fps,8bit,标清晰度,4:03,2024-01-01,亚太地区,APRA,http://www.apra.gov,,
FWD,转发视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-02-18,全球,DVB,https://www.dvb.org,,
MC-AVC,多通道音视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2021-09-05,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
MPEG-5,第五代视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2022-08-01,全球,MPEG,https://mpeg.chiariglione.org,,
AVS4,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2024-01-15,中国,中国信息产业部,http://www.miit.gov.cn,,
EVC,增强视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-05-01,全球,ISO/IEC,https://www.iso.org,,
H.265,高效视频编码,120.0,fps,10bit,超高清晰度,16:09,2014-01-01,全球,ITU-T,https://www.itu.int,,
H.267,下一代视频编码标准,30.0,fps,10bit,超高清晰度,21:09,2025-07-20,全球,MPEG,http://www.mpeg.org,,
VP9,视频编解码器标准,60.0,fps,10bit,超高清晰度,16:09,2018-03-01,全球,Google,https://www.google.com,,
LCEVC,低复杂度增强视频编码标准,60.0,fps,8bit,高清晰度,16:09,2022-10-01,欧洲,MPEG,http://www.mpeg.org,,
AV1,下一代开源视频编码,120.0,fps,10bit,超高清晰度,21:09,2020-12-01,全球,Alliance for Open Media,https://aomedia.org,,
SMPTE ST 2022,视频传送标准,60.0,fps,12bit,超高清晰度,16:09,2018-09-01,全球,SMPTE,https://www.smpte.org,,
JPEG XS,无损视频编码标准,120.0,fps,12bit,超高清晰度,4:03,2019-06-01,全球,JPEG,https://jpeg.org,,
H.264,高级视频编码,60.0,fps,8bit,高清晰度,16:09,2003-05-01,全球,ITU-T,https://www.itu.int,,
AVS1,音视频标准,30.0,fps,8bit,高清晰度,16:09,2011-03-01,中国,中国广播电视总局,http://www.nrta.gov.cn,,
RFC 8850,视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2023-08-15,全球,IETF,https://www.ietf.org,,
H.245,视频会议业务标准,30.0,fps,10bit,高清视频,16:09,2025-09-01,全球,ITU-T,https://www.itu.int,,
MPEG-1,运动图像专家组标准,30.0,fps,8bit,标准清晰度,4:03,1993-11-01,全球,MPEG,http://www.mpeg.org,,
SMPTE ST 2110-20,专业视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-11-01,全球,SMPTE,https://www.smpte.org,,
AVS3.1,新一代视频编码更新,60.0,fps,12bit,4K超高清,16:09,2024-05-01,中国,中国音视频行业协会,http://www.caav.org.cn,,
AVS3.1,增强视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-03-01,中国,行业报告,https://www.informat.cn/,,
H.265+,高效视频编码改进标准,60.0,fps,10bit,超高清晰度,16:09,2022-06-15,全球,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
VP9,视频编码标准,60.0,fps,8bit,高清晰度,16:09,2016-07-01,全球,Google,https://www.google.com/,,
H.267,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2024-01-15,全球,ISO/IEC,https://www.iso.org/,,
HEVC 2.1,高效视频编码更新标准,60.0,fps,10bit,超高清晰度,16:09,2019-09-01,全球,MPEG,https://www.mpeg.org/,,
SCTE-35,信号传输标准,30.0,fps,10bit,高清晰度,16:09,2021-02-01,美国,SCTE,https://www.scte.org/,,
SMPTE ST 2022,有线和无线传输标准,60.0,fps,8bit,标准清晰度,16:09,2018-10-01,全球,SMPTE,https://www.smpte.org,,
AVS+,音视频编解码标准,50.0,fps,10bit,高清晰度,16:09,2022-05-01,中国,中国音视频标准组,http://www.cab.gov.cn/,,
H.264,视频编码标准,30.0,fps,8bit,高清晰度,16:09,2006-05-01,全球,ITU-T,https://www.itu.int,,
RFC 8204,视频的估算传输标准,30.0,fps,10bit,超高清晰度,16:09,2021-06-01,全球,IETF,https://www.ietf.org,,
ITU-T H.264,视频压缩标准,60.0,fps,12bit,超高清晰度,21:09,2015-02-01,全球,ITU-T,https://www.itu.int,,
AV1,视频编码格式,120.0,fps,10bit,超高清晰度,21:09,2022-12-15,全球,Alliance for Open Media,https://aomedia.org/,,
NGA 2.0,下一代音视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2023-05-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
ISO/IEC 16600,视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-01-20,全球,ISO,https://www.iso.org/,,
SMPTE ST 2110-22,数据流和媒体传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-11-01,全球,SMPTE,https://www.smpte.org,,
RFC 8859,可扩展编码标准,30.0,fps,8bit,标准清晰度,4:03,1991-12-01,全球,IETF,https://www.ietf.org,,
VP9,开源视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2013-06-01,全球,WebM项目,https://www.webmproject.org/,,
AV1,下一代视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2018-03-01,全球,Alliance for Open Media,https://aomedia.org/,,
H.265 HEVC,高效视频编码,60.0,fps,12bit,超高清晰度,21:09,2015-01-01,全球,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
ISO/IEC 23090,视听编码标准,60.0,fps,12bit,超高清晰度,21:09,2022-12-01,全球,ISO,https://www.iso.org/,,
ITU-R BT.2020,超高清电视标准,120.0,fps,10bit,超高清晰度,16:09,2015-08-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
AVC,高级视频编码,30.0,fps,8bit,高清晰度,16:09,2003-05-01,全球,MPEG,http://www.mpeg.org,,
HEVC-SVC,高效视频编码可伸缩性扩展,60.0,fps,10bit,超高清晰度,16:09,2016-10-01,全球,ITU-T,https://www.itu.int,,
SMPTE ST 2084,高动态范围视频标准,60.0,fps,10bit,超高清晰度,16:09,2014-08-01,全球,SMPTE,https://www.smpte.org,,
IPTV,互联网协议电视标准,30.0,fps,8bit,高清晰度,16:09,2019-04-01,全球,IETF,https://www.ietf.org,,
RFC 8750,可伸缩视频编码标准,30.0,fps,10bit,超高清晰度,16:09,2020-12-01,全球,IETF,https://www.ietf.org,,
MPEG-1,第一代视频压缩标准,30.0,fps,8bit,标准清晰度,4:03,1993-11-01,全球,MPEG,http://www.mpeg.org,,
H.264,高级视频编码标准,60.0,fps,8bit,高清晰度,16:09,2004-05-01,全球,ITU-T,https://www.itu.int,,
MPEG-DASH,动态自适应流标准,60.0,fps,12bit,超高清晰度,2.35:1,2012-04-01,全球,MPEG,http://www.mpeg.org,,
EVC,增强视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2020-10-01,全球,MPEG,http://www.mpeg.org,,
LCEVC,低复杂度增强视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2021-01-01,全球,LCEVC,https://lcevc.media,,
VVC,视频编码新标准,120.0,fps,12bit,超高清晰度,21:09,2021-07-01,全球,ITU-T,https://www.itu.int,,
AVS2.1,中国音视频编码标准的升级版,120.0,fps,12bit,超高清晰度,21:09,2023-05-01,中国,中国广电科技研究院,http://www.cab.gov.cn/,,
H.265,高效视频编码国际标准,30.0,fps,10bit,超高清晰度,16:09,2014-01-01,全球,ITU-T,https://www.itu.int/en/ITU-T/joint-physical-issues/Pages/overview.aspx,,
HEVC 2.0,高效视频编码第二版,60.0,fps,12bit,超高清晰度,16:09,2022-03-15,全球,MPEG,http://www.mpeg.org,,
EVC,增强视频编码标准,60.0,fps,8bit,高清晰度,16:09,2021-06-01,全球,ITU,https://www.itu.int/en/ITU-T/focusgroups/evc/Pages/default.aspx,,
VVC,视频编码专家组标准,120.0,fps,10bit,超高清晰度,21:09,2023-08-01,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/press-media/press-releases/press-releases-2023/vvc-video-codec.html,,
VP9,Google视频流编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-06-01,全球,Google,https://www.google.com/vp9/,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2020-12-01,全球,Alliance for Open Media,https://aomediacodec.github.io/av1/,,
SCTE-104,电视频道信号传输标准,60.0,fps,10bit,高清晰度,16:09,2019-07-01,美国,SCTE,https://www.scte.org/,,
MPEG-1,第一个现代视频编码标准,30.0,fps,24bit,标准清晰度,4:03,1993-11-01,全球,MPEG,http://www.mpeg.org,,
SMPTE 2110,IP网络视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2022-11-01,全球,SMPTE,https://www.smpte.org,,
H.264,高级视频编码,60.0,fps,8bit,高质量,16:09,2005-05-01,全球,ITU-T,https://www.itu.int,,
H.239,视频电话标准的双流增强版,30.0,fps,8bit,标准清晰度,4:03,2006-01-01,全球,ITU-T,https://www.itu.int,,
CAVLC,视频动态编码变长,60.0,fps,8bit,标准清晰度,16:09,2023-10-01,全球,MPEG,http://www.mpeg.org,,
MPEG-DASH,动态自适应流媒体标准,60.0,fps,10bit,超高清晰度,16:09,2022-02-01,全球,MPEG,http://www.mpeg.org,,
THX,音频与视觉的总体质量标准,24.0,fps,10bit,超高清晰度,16:09,2023-03-15,全球,Lucasfilm,https://www.thx.com/,,
H.264/MPEG-4 AVC,高级视频编码标准,60.0,fps,8bit,超高清晰度,16:09,2009-03-01,全球,ITU-T,https://www.itu.int,,
JPEG XS,无损视频压缩标准,120.0,fps,10bit,超高清晰度,16:09,2021-04-01,全球,JPEG,https://jpeg.org/jpeg-xs/,,
HEVC-2,高效视频编码升级版,120.0,fps,12bit,超高清晰度,21:9,2023-03-15,全球,IEEE,https://ieeexplore.ieee.org/,,
AVS3.1,中国超高清视频编码标准2.0,120.0,fps,12bit,超高清晰度,21:9,2023-01-01,中国,国家广播电视总局,http://www.sapprft.gov.cn/,,
QSV,量子视频标准,144.0,fps,16bit,超高清晰度,16:9,2025-05-01,全球,国际量子技术协会,https://www.iquantumtech.org/,,
AVS4,下一代音视频编码标准,120.0,fps,12bit,超高清晰度,21:9,2024-01-01,全球,AVS工作组,http://www.avs.org.cn/,,
DASH-2,动态自适应流媒体增强标准,120.0,fps,10bit,高清晰度,16:9,2023-06-01,全球,MPEG,https://mpeg.chiariglione.org/,,
VVC-2,视频压缩标准升级版,120.0,fps,12bit,超高清晰度,21:9,2022-09-15,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/,,
HEVC-1.5,高效视频编码改进版,60.0,fps,10bit,高清晰度,16:9,2023-07-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
SMPTE 2110-1,专业视频传送标准增强版,60.0,fps,12bit,超高清晰度,16:9,2023-11-01,全球,SMPTE,https://www.smpte.org,,
H.265/HEVC-Next,下一代高效视频编码,120.0,fps,12bit,超高清晰度,21:9,2024-02-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
AVS2.1,中国新一代音视频编码标准,60.0,fps,10bit,超高清晰度,16:9,2023-04-01,中国,中国广播电视学会,http://www.cab.gov.cn/,,
RFC 8956,兼容视频编码标准,30.0,fps,10bit,高清晰度,16:9,2023-09-01,全球,IETF,https://www.ietf.org,,
HEVC-3,高效视频编码3.0,120.0,fps,12bit,超高清晰度,21:9,2024-03-01,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
H.261-Enhanced,视频电话标准增强版,60.0,fps,10bit,高清晰度,16:9,2023-05-15,全球,ITU-T,https://www.itu.int/en/ITU-T/,,
SCTE 2042,广播视频编码标准,60.0,fps,10bit,超高清晰度,16:9,2023-12-01,美国,SCTE,https://www.scte.org/,,
NAB 2024,新媒体广播标准,24.0,fps,10bit,高清晰度,16:9,2024-04-10,全球,NAB,https://www.nab.org/,,
ITU-BT.2076,新一代高清晰度标准,100.0,fps,12bit,超高清晰度,21:9,2024-08-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
VVC-NextGen,视频压缩标准4.0,120.0,fps,16bit,超高清晰度,21:9,2025-01-01,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/,,
AVS2.1,中国音视频编码标准升级版,120.0,fps,12bit,超高清晰度,21:09,2023-03-01,中国,中国广播电视学会,http://www.cab.gov.cn/,,
MPEG-4.3,MPEG视频标准3,60.0,fps,10bit,高清晰度,16:09,2021-09-15,全球,MPEG协会,https://mpeg.chiariglione.org/,,
HEVC 2.0,高效视频编码2,120.0,fps,12bit,超高清晰度,21:9,2023-01-20,全球,国际标准化组织,https://www.iso.org,,
SUPER-HD,超级高清晰视频标准,100.0,fps,10bit,超高清视频,18:9,2022-05-09,亚洲,亚洲广播联合会,https://www.abu.org.my,,
AVC-HDR,高动态范围视频编码,60.0,fps,12bit,超清晰度,16:9,2024-02-14,全球,国际电信联盟,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
FHD-60,全高清视频标准60 fps,60.0,fps,8bit,全高清晰度,16:9,2020-03-30,全球,全球电视标准化组织,https://www.its.org,,
C2-4K,中国4K视频标准,120.0,fps,12bit,超高清晰度,21:9,2023-07-01,中国,中国电影数字大数据中心,http://www.chinesefilmdata.org,,
AV1,下一代视频编码,60.0,fps,10bit,超高清晰度,16:9,2019-12-01,全球,AOMedia,https://aomedia.org,,
SMPTE 2022,专业视频压缩标准,60.0,fps,12bit,超高清晰度,16:9,2020-05-15,全球,SMPTE,https://www.smpte.org,,
RTP-FHD,实时传输协议高清视频,30.0,fps,8bit,高清晰度,16:9,2021-11-10,全球,IETF,https://www.ietf.org,,
DVB-S2,数字视频广播S2标准,50.0,fps,10bit,超高清晰度,16:9,2014-06-01,欧洲,DVB,https://www.dvb.org,,
ITU-R BT.2020,超高清电视标准,60.0,fps,10bit,超高清晰度,16:9,2015-08-01,全球,国际电信联盟,https://www.itu.int,,
VP9,视频编解码器标准,60.0,fps,10bit,超高清晰度,16:9,2018-01-01,全球,Google,https://www.google.com/webm/,,
ISDB-T,日本数字广播标准,30.0,fps,8bit,高清晰度,16:9,2003-12-01,日本,日本总务省,https://www.soumu.go.jp,,
BDA 2.0,蓝光数字音频标准2.0,60.0,fps,10bit,超高清晰度,16:9,2019-07-01,全球,蓝光数字协会,https://www.blu-raydisc.com,,
HLS,HTTP直播流标准,30.0,fps,8bit,高清晰度,16:9,2016-08-15,全球,Apple,https://developer.apple.com/streaming/,,
NAB 4K,全国广播协会4K标准,120.0,fps,12bit,超高清晰度,21:9,2023-09-05,美国,全国广播协会,https://www.nab.org,,
WebM 2.0,下一代Web视频标准,60.0,fps,10bit,超高清晰度,16:9,2022-11-01,全球,Google,https://www.google.com/webm/,,
AVS4,中国下一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2022-03-01,中国,中国网络音视频行业协会,http://www.cav.gov.cn/,,
HEVC 2.0,高效视频编码增强版,120.0,fps,12bit,超高清晰度,16:09,2023-01-15,全球,ITU-T,https://www.itu.int,,
AV1,下一代视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2019-09-01,全球,Alliance for Open Media,https://aomedia.org/,,
JPEG XS,高效图像压缩标准,240.0,fps,8bit,高清晰度,16:09,2020-08-15,全球,JPEG标准组织,https://jpeg.org/,,
SCTE 35,信号插入标准,60.0,fps,10bit,超高清晰度,16:09,2016-04-01,美国,SCTE,https://www.scte.org/,,
VVC,视频压缩标准,120.0,fps,10bit,超高清晰度,21:09,2021-07-01,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/,,
MPEG-5,新一代视频编码,60.0,fps,10bit,超高清晰度,16:09,2021-10-01,全球,MPEG,http://www.mpeg.org,,
H.265+/HEVC,高效编码改进版,60.0,fps,10bit,超高清晰度,21:09,2019-12-01,全球,各种广播公司,https://www.broadcasting.org,,
SMPTE ST 2022,专业视频传送标准,60.0,fps,12bit,超高清晰度,16:09,2023-05-20,全球,SMPTE,https://www.smpte.org,,
H.266,新一代视频压缩标准,120.0,fps,10bit,超高清晰度,21:09,2020-06-01,全球,ITU-T,https://www.itu.int,,
H.264/AVC-Scalable,可伸缩视频编码,30.0,fps,8bit,高清晰度,16:09,2018-11-01,全球,IBL社群,https://www.iblgroup.com,,
RFC 7996,增强型可伸缩视频编码,60.0,fps,10bit,超高清晰度,21:09,2020-04-15,全球,IETF,https://www.ietf.org,,
XAVC,专业高清视频编码标准,240.0,fps,10bit,超高清晰度,16:09,2021-09-10,全球,Sony,https://www.sony.com,,
DVB-I,互联网网络传输标准,60.0,fps,12bit,超高清晰度,16:09,2022-11-15,欧洲,DVB组织,https://dvb.org,,
HLS,HTTP实时流媒体标准,60.0,fps,10bit,超高清晰度,16:09,2013-07-01,全球,Apple,https://developer.apple.com/streaming/,,
H.265/HEVC-Multi,多重视角视频编码,60.0,fps,12bit,超高清晰度,21:09,2024-03-01,全球,国际标准组织,https://www.iso.org,,
Wi-Fi 6E,增强型无线网传输标准,120.0,fps,8bit,高清晰度,16:09,2021-05-20,全球,Wi-Fi联盟,https://www.wi-fi.org,,
AVS3.1,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-05-01,中国,中国电子技术标准化研究院,http://www.ecc.org.cn/,,
IETF RFC 9100,高效视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-01-15,全球,IETF,https://www.ietf.org/,,
VVC,视频压缩新标准,60.0,fps,10bit,超高清晰度,16:09,2020-08-01,全球,Fraunhofer HHI,https://www.hhi.fraunhofer.de/en/research/hhi-publications.html,,
HEVC-Next,下一代高效视频编码,120.0,fps,12bit,超高清晰度,21:09,2022-09-10,全球,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
SMPTE 432,视频流传输标准,60.0,fps,10bit,超高清晰度,16:09,2021-03-14,全球,SMPTE,https://www.smpte.org/,,
H.265,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
ATSC 3.1,增强型电视标准,120.0,fps,10bit,超高清晰度,16:09,2022-04-01,美国,ATSC,https://www.atsc.org/,,
REC. ITU-R BT.2100,超高清电视标准,100.0,fps,10bit,超高清晰度,21:09,2016-01-01,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
MDP-5,多维视频传播标准,60.0,fps,12bit,超高清晰度,2.39:1,2023-02-20,欧洲,EBU,https://www.ebu.ch/,,
AV1,开放高效视频编码,60.0,fps,10bit,超高清晰度,16:09,2020-11-01,全球,AOMedia,https://aomedia.org/,,
VVP8,视频编码标准,30.0,fps,8bit,高清晰度,16:09,2012-09-05,全球,Google,https://www.google.com/,,
VVC-2,视频压缩标准修订版,120.0,fps,12bit,超高清晰度,21:9,2023-03-12,全球,ATSC,https://www.atsc.org/,,
DASH-2.0,动态自适应流媒体标准修订版,60.0,fps,8bit,超高清晰度,16:09,2023-06-01,全球,MPEG,http://www.mpeg.org,,
RTP-SR,实时传输协议,30.0,fps,8bit,标准清晰度,4:3,2021-08-10,全球,IETF,https://www.ietf.org/,,
H.263,视频电话压缩标准,15.0,fps,8bit,标准清晰度,4:3,2002-09-15,全球,ITU-T,https://www.itu.int/,,
NGA-2.0,下一代音视频标准修订版,60.0,fps,12bit,超高清晰度,21:09,2023-09-07,全球,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
HEVC-Main10,高效视频编码增强版,120.0,fps,10bit,超高清晰度,16:09,2022-03-15,全球,ISO/IEC,https://www.iso.org,,
AV1,下一代视频编码,60.0,fps,12bit,超高清晰度,16:09,2020-01-10,全球,Alliance for Open Media,https://aomedia.org,,
