年份,国家,能源类型,消耗单位,消耗量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023,巴西,可再生能源,吨标准煤,45,亿,巴西能源行政局,http://www.mme.gov.br/,2024-09-19,,,,,,,,,,,,
2022,澳大利亚,风能,吨,90,万,澳大利亚可再生能源院,https://www.renewablesa.org.au/,2024-09-19,,,,,,,,,,,,
2024,瑞典,电池储能,吨,10.5,万,瑞典能源局,https://www.energimyndigheten.se/,2024-09-19,,,,,,,,,,,,
2024,英国,新材料,吨,600,万,英国科学技术委员会,https://www.ukri.org/,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,18900,亿,美国能源信息署,https://www.eia.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,25000,亿,德国联邦网络局,https://www.bundesnetzagentur.de,2024-09-19,,,,,,,,,,,,
2021,印度,可再生能源,吨标准煤,5.5,亿,印度可再生能源部,https://www.mnre.gov.in,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,吨,1200,万,中国氢能协会,http://www.chinahydrogen.org,2024-09-19,,,,,,,,,,,,
2023,日本,核能,千瓦时,12000,亿,日本原子能规制委员会,https://www.nsr.go.jp,2024-09-19,,,,,,,,,,,,
2022,巴西,生物质能,吨,800,万,巴西能源部,http://www.mme.gov.br,2024-09-19,,,,,,,,,,,,
2024,欧洲,电池储能,吨,15,万,欧洲环境署,https://www.eea.europa.eu,2024-09-19,,,,,,,,,,,,
2023,加拿大,水电,千瓦时,7800,亿,加拿大水电协会,https://www.hydro.ca,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,新材料,吨,600,万,澳大利亚新材料研究所,https://www.nsm.org.au,2024-09-19,,,,,,,,,,,,
2024,南非,风能,千瓦时,3000,亿,南非能源部,http://www.energy.gov.za,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,12000,亿,美国能源信息署,https://www.eia.gov/,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,23600,亿,德国可再生能源协会,https://www.bee.de/,2024-09-19,,,,,,,,,,,,
2021,印度,生物质能,吨标准煤,4.5,亿,印度可再生能源发展局,http://www.mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,中国,电池储能,吨,9.5,万,中国储能网,http://www.cnesa.org/,2024-09-19,,,,,,,,,,,,
2023,巴西,水能,千瓦时,8000,亿,巴西电力公司,http://www.aneel.gov.br/,2024-09-19,,,,,,,,,,,,
2020,全球,可再生能源,吨标准煤,7.2,亿,国际能源署,https://www.iea.org/,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,1000,万,中国化工报,http://www.ccf.com.cn/,2024-09-19,,,,,,,,,,,,
2023,日本,氢能,吨,15,万,日本氢能协会,https://www.hydrogen.or.jp/,2024-09-19,,,,,,,,,,,,
2024,澳大利亚,太阳能,千瓦时,15000,亿,澳大利亚可再生能源局,http://www.renewableenergy.gov.au/,2024-09-19,,,,,,,,,,,,
2023,加拿大,风能,千瓦时,5000,亿,加拿大风能协会,https://www.canwea.ca/,2024-09-19,,,,,,,,,,,,
2023,德国,氢能,千瓦时,9500,亿,德国能源署,https://www.dena.de/,2024-09-19,,,,,,,,,,,,
2024,日本,生物质能,吨标准煤,4.5,亿,日本可再生能源研究所,https://www.jrecor.go.jp/,2024-09-19,,,,,,,,,,,,
2023,中国,电池储能,千瓦时,22000,亿,中国电力新闻网,http://www.cpnn.com.cn/,2024-09-19,,,,,,,,,,,,
2024,美国,地热能,千瓦时,12000,亿,美国地热能协会,https://www.geothermal.org/,2024-09-19,,,,,,,,,,,,
2020,全球,风能,千瓦时,80000,亿,国际可再生能源署,https://www.irena.org/,2024-09-19,,,,,,,,,,,,
2024,印度,太阳能,吨,1500,万,印度可再生能源发展部,http://mnre.gov.in/,2024-09-19,,,,,,,,,,,,
2024,巴西,可再生能源,吨标准煤,3.2,亿,巴西能源部,https://www.gov.br/mme/,2024-09-19,,,,,,,,,,,,
2023,法国,核能,千瓦时,56000,亿,法国核能公司,https://www.edf.fr/,2024-09-19,,,,,,,,,,,,
2024,英国,潮汐能,千瓦时,9000,亿,英国水利协会,https://www.waterways.org.uk/,2024-09-19,,,,,,,,,,,,
2022,俄罗斯,风能,吨标准煤,2.1,亿,俄罗斯可再生能源论坛,http://www.reff.org.ru/,2024-09-19,,,,,,,,,,,,
2024,美国,氢能,千瓦时,22000,亿,美国能源部,https://www.energy.gov/articles/hydrogen-and-fuel-cell-technologies,2024-09-19,,,,,,,,,,,,
2022,印度,生物质能,吨标准煤,4.5,亿,印度能源局,https://www.cea.nic.in/reports,2024-09-19,,,,,,,,,,,,
2023,德国,可再生能源,千瓦时,15000,亿,德国联邦能源局,https://www.bnetza.de/SharedDocs/Downloads/EN/General/reports.html,2024-09-19,,,,,,,,,,,,
2024,法国,潮汐能,千瓦时,5000,亿,法国家电及能源署,https://www.ademe.fr/en,2024-09-19,,,,,,,,,,,,
2024,巴西,水电,千瓦时,18000,亿,巴西电力协会,https://www.oeb.gov.br/,2024-09-19,,,,,,,,,,,,
2023,日本,核能,吨,1200,万,日本原子能委员会,http://www.aec.go.jp/en/,2024-09-19,,,,,,,,,,,,
2024,加拿大,风能,千瓦时,11000,亿,加拿大可再生能源协会,https://www.canrea.ca/,2024-09-19,,,,,,,,,,,,
2023,俄罗斯,天然气,吨标准煤,8,亿,俄罗斯能源部,https://minenergo.gov.ru/,2024-09-19,,,,,,,,,,,,
2024,南非,地热能,千瓦时,3000,亿,南非能源部,http://www.energy.gov.za/,2024-09-19,,,,,,,,,,,,
2022,澳大利亚,海洋能,吨,100,万,澳大利亚可再生能源署,https://www.renewableenergy.gov.au/,2024-09-19,,,,,,,,,,,,
2022,美国,风能,千瓦时,22000,亿,美国国家可再生能源实验室,https://www.nrel.gov,2024-09-19,,,,,,,,,,,,
2023,德国,太阳能,千瓦时,35000,亿,德国电力网,https://www.bundesnetzagentur.de,2024-09-19,,,,,,,,,,,,
2021,全球,可再生能源,吨标准煤,7.2,亿,国际能源署,https://www.iea.org,2024-09-19,,,,,,,,,,,,
2024,中国,新材料,吨,700,万,中国材料科学学会,http://www.cmss.org.cn,2024-09-19,,,,,,,,,,,,
2023,日本,电池储能,吨,10.5,万,日本可再生能源产业协会,https://www.japan-rer.com,2024-09-19,,,,,,,,,,,,
2024,中国,氢能,千克,15000,吨,中国氢能与燃料电池产业技术创新战略联盟,http://www.china-hydrogen.org,2024-09-19,,,,,,,,,,,,
2023,印度,生物能,千瓦时,8000,亿,印度可再生能源发电协会,https://www.indianrenewables.org,2024-09-19,,,,,,,,,,,,
2024,加拿大,地热能,千瓦时,5000,亿,加拿大地热能协会,http://www.geothcanada.com,2024-09-19,,,,,,,,,,,,
2023,英国,海洋能,千瓦时,9000,亿,英国海洋能源协会,https://www.oceanenergy.eu,2024-09-19,,,,,,,,,,,,
2024,中国,碳捕集与存储,吨,200,万,中国环境保护部,http://www.mee.gov.cn,2024-09-19,,,,,,,,,,,,
