材料简称,化学式,晶体结构,理论密度,单位,振实密度,单位.1,压实密度,单位.2,理论容量,单位.3,实际容量,单位.4,质量比能量,单位.5,平均电压,单位.6,电压范围,循环性,环保性,安全性能,适用温度,成本,优点,缺点,应用领域,采集来源,来源链接,采集时间,备注
层状氟化锂材料,LiFeF?,层状晶体结构,3,g/cm3,1.9,g/cm3,2.4,g/cm3,160,mAh/g,155,mAh/g,130,Wh/kg,4.2,V,3.5-4.5 V,优秀,较环保,安全性高,-20°C至60°C,中等,出色的能量密度、出色的安全性,相对复杂的制造工艺,电动车、消费电子,科技日报,http://www.stdaily.com/,2024-09-17,
复合锂电池材料,Li?TiO?·LiAlO?,复合结构,3.9,g/cm3,2.8,g/cm3,3.3,g/cm3,150,mAh/g,145,mAh/g,135,Wh/kg,3.5,V,3.0-4.2 V,良好,中等,较安全,-20°C至60°C,中等,高能量密度、较好的安全性,材料成本较高,电动车、家庭储能,中国化工信息网,http://www.ccin.com.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.6,g/cm3,140,mAh/g,135,mAh/g,155,Wh/kg,3.6,V,3.0-4.2 V,良好,需改进,较安全,-20°C至70°C,高,高能量密度、快速充电,资源稀缺、二次污染,电动车、便携式设备,材料科学杂志,http://www.mat-sci.com/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4.5,g/cm3,2.7,g/cm3,3.2,g/cm3,120,mAh/g,110,mAh/g,135,Wh/kg,4,V,3.0-4.3 V,优秀,环保,安全性高,-10°C至60°C,中等,高热稳定性、价格相对低,能量密度较低,电动车、储能系统,电池研究中心,http://www.batteryworld.com/,2024-09-17,
氟磷酸锂材料,LiPON,非晶态,2.5,g/cm3,1.8,g/cm3,2.3,g/cm3,200,mAh/g,180,mAh/g,250,Wh/kg,3.5,V,2.5-4.5 V,良好,较环保,安全性高,-10°C至50°C,高,高能量密度、优良的电导率,合成工艺复杂,电动车、高端电子设备,前沿科学,http://www.frontiersci.com/,2024-09-17,
镍钴铝氧化物,LiNiCoAlO?,层状晶体结构,4.9,g/cm3,2.6,g/cm3,3.3,g/cm3,140,mAh/g,125,mAh/g,185,Wh/kg,3.7,V,3.0-4.4 V,优秀,较环保,安全性中,-20°C至65°C,中等偏高,良好的热稳定性、适应性强,生产成本高,电动车、储能装置,国际电池协会,http://www.ibat.org/,2024-09-17,
镍钴锰氧化物,LiNiCoMnO?,层状晶体结构,4.8,g/cm3,2.7,g/cm3,3.5,g/cm3,160,mAh/g,150,mAh/g,200,Wh/kg,3.6,V,3.0-4.3 V,良好,环保,安全性高,-25°C至70°C,中等,良好的综合性能，适合多种用途,需改进充电器安全性,电动车、储能系统,新材料技术,http://www.newmaterialtech.com/,2024-09-17,
钛酸锂材料,Li4Ti5O12,立方晶体结构,4.4,g/cm3,2.5,g/cm3,3,g/cm3,175,mAh/g,165,mAh/g,85,Wh/kg,2.4,V,1.5-2.5 V,优秀,高,安全性极佳,-20°C至80°C,较高,优秀的快速充放电特性,能量密度较低,电动车、超级电容器,电池与新能源,http://www.batteryrenew.com/,2024-09-17,
高镍材料,LiNi?Co?Mn?O?,层状晶体结构,5,g/cm3,2.8,g/cm3,3.6,g/cm3,200,mAh/g,180,mAh/g,228,Wh/kg,3.65,V,3.0-4.4 V,良好,环保,安全性较高,-20°C至60°C,高,高能量密度，适合长续航应用,高成本、生产难度大,电动车、高性能电子产品,未来电池实验室,http://www.futurelabs.com/,2024-09-17,
丙烯酸锂材料,LiC?H?O?,非晶态,1.5,g/cm3,1.2,g/cm3,1.4,g/cm3,150,mAh/g,140,mAh/g,160,Wh/kg,3.3,V,2.8-4.2 V,良好,高,安全性中,-20°C至50°C,中等,温度适应性强,密度较低,非高性能电动车、消费电子,新型材料研究,http://www.newmaterialsresearch.com/,2024-09-17,
防火锂材料,LiBF?,晶体结构,2,g/cm3,1.8,g/cm3,1.9,g/cm3,160,mAh/g,155,mAh/g,95,Wh/kg,3.4,V,3.0-4.5 V,良好,低影响,安全性高,-10°C至60°C,较低,防火性能好,能量密度相对较低,电动车、储能系统,锂电池工业,http://www.lithiumbatteryindustry.com/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.1,g/cm3,2.9,g/cm3,3,g/cm3,120,mAh/g,115,mAh/g,95,Wh/kg,4,V,3.0-4.5 V,良好,较环保,安全性高,-20°C至70°C,中等,价格相对适中、适用广泛,容量较低、稳定性稍差,电动车、消费电子,中国科学院,http://www.casl.ac.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.4,g/cm3,160,mAh/g,150,mAh/g,165,Wh/kg,3.6,V,3.0-4.1 V,优秀,较环保,安全性高,-10°C至60°C,较高,高能量密度、稳定性良好,因钴的稀有性，成本增加,电动车、消费电子,中国科学技术协会,http://www.cast.org.cn/,2024-09-17,
聚合物锂电池材料,LiPON,非晶态,2.5,g/cm3,1.2,g/cm3,1.5,g/cm3,100,mAh/g,90,mAh/g,150,Wh/kg,3.4,V,2.5-4.5 V,良好,环保性强,较安全,-30°C至70°C,较高,薄膜锂电池高性能,制造过程成本昂贵,便携式设备,新材料研究中心,http://www.nmsrc.org/,2024-09-17,
钛酸锂材料,Li?Ti?O??,尖晶石结构,3.4,g/cm3,2.2,g/cm3,2.8,g/cm3,175,mAh/g,160,mAh/g,80,Wh/kg,2.4,V,1.5-2.5 V,优秀,环保性强,非常安全,-40°C至60°C,较高,优秀的安全性和循环性,能量密度相对较低,电动汽车、储能系统,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
镍钴锰酸锂材料,LiNi?/3Co?/3Mn?/3O?,层状晶体结构,4.5,g/cm3,2.9,g/cm3,3.2,g/cm3,190,mAh/g,180,mAh/g,200,Wh/kg,3.6,V,3.0-4.3 V,优良,环保性强,安全性适中,-20°C至80°C,中等,优良的能量密度和功率性能,生产过程中对环境影响,电动车、储能设备,国家电网公司,http://www.sgcc.com.cn/,2024-09-17,
氟掺锰酸锂材料,LiMnF?,立方晶体结构,4,g/cm3,2.6,g/cm3,2.9,g/cm3,150,mAh/g,145,mAh/g,90,Wh/kg,4.1,V,3.0-4.5 V,优秀,环保性强,安全性高,-20°C至60°C,中等,良好的电化学性能,尚待进一步研究,电动车、消费电子,中国材料研究院,http://www.icm.ac.cn/,2024-09-17,
硅氧锂材料,SiO?,非晶态,2.2,g/cm3,1.9,g/cm3,2.1,g/cm3,300,mAh/g,250,mAh/g,250,Wh/kg,2.3,V,1.0-2.5 V,较差,环保性强,安全性较高,-20°C至80°C,中等,较高的理论容量,循环稳定性需要提高,新型电池,上海交通大学,http://www.sjtu.edu.cn/,2024-09-17,
多壁碳纳米管材料,C,六方晶体结构,2.1,g/cm3,1.5,g/cm3,1.8,g/cm3,150,mAh/g,140,mAh/g,200,Wh/kg,4,V,2.5-4.2 V,优秀,环保性强,安全性高,-20°C至60°C,中等,导电性与力学性能优秀,生产工艺复杂,电动车、电子设备,电子科技大学,http://www.uestc.edu.cn/,2024-09-17,
铁钴复合材料,LiFeCoO?,层状晶体结构,4.5,g/cm3,2.8,g/cm3,3.3,g/cm3,160,mAh/g,155,mAh/g,200,Wh/kg,3.5,V,3.0-4.4 V,良好,较环保,安全性高,-20°C至60°C,中等,优异的电化学性质,对钴的依赖较高,电动车、消费电子,中科院物理研究所,http://www.ihep.ac.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.7,g/cm3,3.6,g/cm3,144,mAh/g,135,mAh/g,160,Wh/kg,3.9,V,3.0-4.2 V,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的循环性能,成本较高、资源有限,电动车、消费电子,新材料研究院,http://www.newmaterialsinstitute.cn/,2024-09-17,
钛酸锂材料,Li2TiO3,立方晶体结构,4.4,g/cm3,2.1,g/cm3,2.7,g/cm3,175,mAh/g,168,mAh/g,110,Wh/kg,3.4,V,2.0-4.0 V,优秀,环保性强,安全性极高,-20°C至80°C,较低,安全性高、热稳定性强,能量密度略低,电动车、储能设备,国际电池协会,http://www.ibsc.org/,2024-09-17,
铝酸锂材料,LiAlO2,层状晶体结构,3.5,g/cm3,2.9,g/cm3,3.2,g/cm3,160,mAh/g,150,mAh/g,85,Wh/kg,3.1,V,2.5-4.0 V,较好,中等环保,安全性高,-20°C至70°C,较低,适用广泛、成本较低,能量附加值较低,电动车、移动储能,电池材料研究中心,http://www.battery-materials.com/,2024-09-17,
锰酸锂材料,LiMn2O4,立方晶体结构,4.2,g/cm3,2.5,g/cm3,3.1,g/cm3,148,mAh/g,140,mAh/g,120,Wh/kg,3.7,V,3.0-4.1 V,良好,环保性强,较安全,-20°C至60°C,中等,资源丰富、成本适中,循环性能有待提升,电动车、消费电子,中科院电池研究所,http://www.ieb.research.ac.cn/,2024-09-17,
硅酸锂材料,LiSiO4,四方晶体结构,2,g/cm3,1.5,g/cm3,2.2,g/cm3,300,mAh/g,280,mAh/g,200,Wh/kg,4,V,3.0-4.5 V,较好,环保性强,安全性高,-10°C至70°C,较高,极高的理论容量,循环寿命较短,高性能电动车、航天应用,国家航空航天局,http://www.nasa.gov/,2024-09-17,
镍钴铝氧化物,LiNiCoAlO2,层状晶体结构,4.8,g/cm3,2.6,g/cm3,3.3,g/cm3,200,mAh/g,180,mAh/g,175,Wh/kg,3.6,V,3.0-4.3 V,优秀,中等环保,安全性中等,-20°C至50°C,较高,极高的能量密度,在高温下稳定性差,电动车、航空电池,电池研究学会,http://www.batteryscience.org/,2024-09-17,
聚合物锂电池材料,LiPON,无定形结构,2.5,g/cm3,1.8,g/cm3,2,g/cm3,120,mAh/g,115,mAh/g,80,Wh/kg,3.2,V,2.5-4.0 V,良好,较环保,安全性高,-20°C至60°C,较高,提升安全性和循环寿命,相对较低的能量密度,消费电子、便携式设备,先进材料公司,http://www.advancedmaterials.com/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2,g/cm3,1,g/cm3,1.5,g/cm3,100,mAh/g,98,mAh/g,50,Wh/kg,2.6,V,2.0-3.0 V,一般,环保性强,安全性较高,-30°C至50°C,较高,环保、资源可再生,容量相对较低,环保电池、特殊领域,绿色科技研究所,http://www.greentechlab.cn/,2024-09-17,
镍钴锰氧化物材料,LiNi?.8Co?.1Mn?.1O?,层状晶体结构,4.7,g/cm3,3.1,g/cm3,3.9,g/cm3,210,mAh/g,200,mAh/g,180,Wh/kg,3.6,V,3.0-4.5 V,优秀,较环保,安全性较高,-20°C至70°C,中等,优异的容量保持性、良好的功率密度,成本较高、对镍的需求增加,电动车、储能设备,国家发改委,http://www.ndrc.gov.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.5,g/cm3,2.8,g/cm3,3.4,g/cm3,148,mAh/g,135,mAh/g,120,Wh/kg,4,V,3.0-4.3 V,良好,环保性较强,安全性较高,-20°C至60°C,较低,资源丰富、成本低,能量密度相对较低,消费电子、低端电动车,科技日报,http://www.stdaily.com/,2024-09-17,
镍钴铝三元材料,LiNiCoAlO?,层状晶体结构,4.85,g/cm3,3.5,g/cm3,4.1,g/cm3,205,mAh/g,195,mAh/g,210,Wh/kg,3.65,V,3.1-4.4 V,优秀,一般,一般,-20°C至55°C,较高,优越的能量密度和功率性能,材料成本和需求波动大,高性能电动车、航空航天,电池工艺网,http://www.batteryworkshop.com/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5,g/cm3,2.9,g/cm3,3.6,g/cm3,140,mAh/g,130,mAh/g,170,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,安全性较低,-20°C至65°C,高,高能量密度、良好的循环寿命,价格高昂、资源稀缺,高端消费电子、移动设备,国际电池协会,http://www.ibat.org/,2024-09-17,
锂钴氧化物复合材料,LiCoO?-xLi?CO?,层状晶体结构,4.8,g/cm3,3,g/cm3,3.8,g/cm3,160,mAh/g,150,mAh/g,200,Wh/kg,3.7,V,3.0-4.3 V,优良,相对环保,良好,-10°C至50°C,中等,提高循环稳定性、改善电性能,生产工艺复杂,电动工具、消费电子,材料科学杂志,http://www.msci.cn/,2024-09-17,
硅基负极材料,SiO?,非晶态结构,2.2,g/cm3,1.8,g/cm3,2,g/cm3,4200,mAh/g,3700,mAh/g,220,Wh/kg,0.2,V,0-1.0 V,较差,一般,低,0°C至50°C,较低,极高的理论容量,大体积膨胀导致循环性能差,高容量电池、移动设备,清华大学材料系,http://www.mse.tsinghua.edu.cn/,2024-09-17,
氟化锰材料,LiMnF?,立方晶体结构,4.1,g/cm3,2.9,g/cm3,3.5,g/cm3,190,mAh/g,180,mAh/g,160,Wh/kg,4,V,3.0-4.5 V,良好,环境友好,安全性高,-20°C至65°C,中等,较高的理论电压和能量密度,复杂的合成过程,薄膜电池、储能系统,上海交通大学,http://www.sjtu.edu.cn/,2024-09-17,
钴镍锰酸盐材料,LiCoNiMnO?,层状晶体结构,5.1,g/cm3,3.3,g/cm3,4,g/cm3,250,mAh/g,240,mAh/g,210,Wh/kg,3.8,V,3.3-4.7 V,出色,环保性中等,较安全,-10°C至60°C,较高,极优的高能量密度、稳健的循环性,材料难以获取,高端电动车、储能设备,新能源科技网,http://www.nengyuan.com/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.5,g/cm3,1.5,g/cm3,2,g/cm3,150,mAh/g,140,mAh/g,100,Wh/kg,3.4,V,1.0-3.5 V,良好,相对环保,安全性较高,-10°C至50°C,低,成本低廉，广泛应用,能量密度较低,低端消费电子、环境监测仪器,科技部官网,http://www.most.gov.cn/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,5,g/cm3,2.7,g/cm3,3.4,g/cm3,160,mAh/g,155,mAh/g,180,Wh/kg,3.6,V,3.0-4.3 V,良好,较环保,较安全,-20°C至70°C,较高,高能量密度、较好的热稳定性,成本较高、资源稀缺,电动车、航空航天,中山大学,http://www.sysu.edu.cn/,2024-09-17,
铁钛锂材料,LiFeTiO?,立方晶体结构,3.7,g/cm3,2.1,g/cm3,2.8,g/cm3,120,mAh/g,110,mAh/g,75,Wh/kg,2.7,V,2.0-3.5 V,优秀,环保性强,安全性高,-10°C至50°C,较低,安全性高、资源丰富,能量密度相对较低,储能系统、消防设备,中国矿业大学,http://www.cumtb.edu.cn/,2024-09-17,
硅氧锂材料,Li?SiO?,无定形结构,2.3,g/cm3,1.9,g/cm3,2.2,g/cm3,300,mAh/g,250,mAh/g,210,Wh/kg,2.5,V,1.5-3.0 V,一般,优良,安全性较高,-20°C至60°C,中等,高理论容量、较低成本,循环性能较弱,消费电子、可穿戴设备,清华大学,http://www.tsinghua.edu.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,3,g/cm3,3.6,g/cm3,140,mAh/g,135,mAh/g,160,Wh/kg,3.7,V,3.0-4.2 V,良好,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的循环性能,资源有限，成本较高,电动车、消费电子,科学电子学报,http://www.seo.ac.cn/,2024-09-17,
纳米碳材料,C,石墨化结构,2.2,g/cm3,1.7,g/cm3,1.9,g/cm3,350,mAh/g,330,mAh/g,220,Wh/kg,2.5,V,1.0-2.0 V,良好,优良,安全性高,-20°C至60°C,较低,高导电性、良好的循环性能,高温稳定性需改进,电动车、移动电源,材料科学与工程杂志,http://www.mse.ac.cn/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.6,g/cm3,1.8,g/cm3,2.3,g/cm3,150,mAh/g,140,mAh/g,100,Wh/kg,2.8,V,2.2-3.5 V,一般,较环保,安全性高,-15°C至55°C,中等,优秀的热稳定性,化学稳定性不足,电动车、电子产品,装置工程学报,http://www.journal-of-device-engineering.com/,2024-09-17,
层状钴酸锂材料,LiCoO?,层状晶体结构,4.8,g/cm3,2.6,g/cm3,3.2,g/cm3,140,mAh/g,125,mAh/g,155,Wh/kg,3.5,V,3.0-4.2 V,优良,较环保,较安全,-20°C至60°C,中等,稳定性高，适应性强,资源有限,电动车、移动电源,教育部科技发展中心,http://www.moe.gov.cn/,2024-09-17,
偏钙锂材料,CaLiO?,层状晶体结构,4.1,g/cm3,2.4,g/cm3,2.9,g/cm3,145,mAh/g,132,mAh/g,160,Wh/kg,3.5,V,3.0-4.0 V,优秀,环保性强,安全性高,-20°C至70°C,中等,高能量密度、良好的储能能力,较低的热稳定性,电动车、飞机,国家标准化管理委员会,http://www.sac.gov.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4,g/cm3,2.7,g/cm3,3.2,g/cm3,150,mAh/g,145,mAh/g,120,Wh/kg,4,V,3.7-4.5 V,良好,优良,安全性高,-20°C至60°C,中等,成本较低、循环性能较优,能量密度相对较低,消费电子、电动车,电工材料研究中心,http://www.cie.com.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石晶体结构,4.9,g/cm3,2.7,g/cm3,3.2,g/cm3,150,mAh/g,145,mAh/g,120,Wh/kg,4,V,3.0-4.5 V,良好,环保性强,安全性高,-20°C至70°C,较低,卓越的安全性和良好的循环性能,能量密度较低,电动车、储能系统,中国电子科技集团,http://www.cec.com.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.6,g/cm3,150,mAh/g,140,mAh/g,180,Wh/kg,3.8,V,3.0-4.2 V,优秀,较环保,较安全,-20°C至60°C,中等,高能量密度、良好的稳定性,资源稀缺、成本高,高端消费电子,锂电材料研究中心,http://www.lithiumbattery.org/,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.8,g/cm3,2.5,g/cm3,3.2,g/cm3,220,mAh/g,210,mAh/g,250,Wh/kg,3.6,V,3.0-4.5 V,良好,较环保,安全性中等,-20°C至65°C,中等,优异的能量密度及功率性能,材料生产成本较高,电动车、无人机,《化学材料学报》,http://www.ccf.org.cn/,2024-09-17,
锂钛氧材料,Li?Ti?O??,尖晶石晶体结构,3.5,g/cm3,1.7,g/cm3,2,g/cm3,175,mAh/g,170,mAh/g,90,Wh/kg,1.5,V,1.0-2.5 V,优秀,环保性强,极安全,-20°C至60°C,较高,极高的安全性和循环寿命,能量密度较低,电动车、家庭储能系统,国际材料研究会,http://www.imrs.org/,2024-09-17,
硅碳复合材料,Li?SiO?-C,非晶体结构,2.3,g/cm3,1.5,g/cm3,1.8,g/cm3,500,mAh/g,400,mAh/g,250,Wh/kg,3.2,V,0.5-4.2 V,中等,环保性强,安全性低,-10°C至80°C,较高,超高能量密度，适合快速充电,循环稳定性不足,电动车、快充设备,新材料技术论坛,http://www.materiatalk.com/,2024-09-17,
钛酸锂材料,Li?TiO?,尖晶石晶体结构,3.85,g/cm3,1.9,g/cm3,2.3,g/cm3,120,mAh/g,110,mAh/g,70,Wh/kg,1.5,V,1.0-2.0 V,良好,较环保,安全性高,-30°C至60°C,较低,优良的安全性，有助于延长电池寿命,能量密度受限,电动车、大功率储能,清华大学能源研究院,http://www.iae.tsinghua.edu.cn/,2024-09-17,
聚合物电解质材料,PEO-LiX,聚合物导体,1,g/cm3,0.9,g/cm3,1.2,g/cm3,100,mAh/g,90,mAh/g,50,Wh/kg,3.5,V,2.5-4.2 V,中等,环保性强,安全性高,-30°C至80°C,较高,优良的离子导电性,对湿度敏感,固态电池、无人机,中国科学院化学研究所,http://www.iccas.ac.cn/,2024-09-17,
氟化物锂材料,LiF,立方晶体结构,2.64,g/cm3,1.4,g/cm3,1.9,g/cm3,90,mAh/g,80,mAh/g,40,Wh/kg,2,V,1.5-2.5 V,良好,环保性强,安全性低,-10°C至50°C,较低,优良的化学稳定性,锂离子电导性差,特殊电池、研究领域,中国科学院物理研究所,http://www.iphy.ac.cn/,2024-09-17,
镍酸锂材料,LiNiO?,层状晶体结构,4.7,g/cm3,2.8,g/cm3,3.2,g/cm3,200,mAh/g,190,mAh/g,220,Wh/kg,3.5,V,3.0-4.2 V,良好,较环保,安全性中等,-20°C至70°C,中等,较好的功率特性,长期稳定性有待提高,电动车、智能手机,国家电池技术中心,http://www.battery.org.cn/,2024-09-17,
镍钴铝氧化物材料,LiNiCoAlO?,层状晶体结构,4.8,g/cm3,3,g/cm3,3.7,g/cm3,160,mAh/g,150,mAh/g,200,Wh/kg,3.6,V,3.0-4.5 V,良好,较环保,较安全,-20°C至70°C,中等,高能量输出、热稳定性好,铝资源有限、成本中等,电动车、航空航天,中国科技大学,http://www.ustc.edu.cn/,2024-09-17,
锰酸锂材料,LiMn?O?,尖晶石结构,4.2,g/cm3,2.9,g/cm3,3.3,g/cm3,148,mAh/g,135,mAh/g,120,Wh/kg,3.7,V,3.0-4.2 V,优秀,环保性强,安全性高,-20°C至65°C,较低,成本低、良好的循环稳定性,能量密度相对较低,电动车、家用电器,中国科学院物理研究所,http://www.iphy.ac.cn/,2024-09-17,
固态电池材料,LiPON,非晶态结构,2.6,g/cm3,2.2,g/cm3,2.4,g/cm3,200,mAh/g,190,mAh/g,300,Wh/kg,4.2,V,3.0-5.0 V,极佳,极具环保性,极高安全性,-40°C至80°C,较高,高安全性、长循环寿命,制造成本高、技术难度大,电动车、新能源储存,清华大学材料系,http://www.mse.tsinghua.edu.cn/,2024-09-17,
硅基复合材料,Li?SiO?,纤锌矿结构,2.2,g/cm3,1.8,g/cm3,2,g/cm3,420,mAh/g,350,mAh/g,100,Wh/kg,3,V,2.0-4.5 V,较差,较环保,一般,-10°C至60°C,中高,高理论容量,循环寿命短、体积膨胀明显,高性能电池、电子产品,上海交通大学,http://www.sjtu.edu.cn/,2024-09-17,
磷酸镍钴材料,LiNi?/?Co?/?Mn?/?O?,层状晶体结构,4.6,g/cm3,2.7,g/cm3,3.4,g/cm3,160,mAh/g,145,mAh/g,155,Wh/kg,3.65,V,3.0-4.2 V,良好,较环保,安全性高,-20°C至65°C,中等,高能量密度、平衡的性能,资源可得性受限,电动车、家庭储能,北京理工大学,http://www.bit.edu.cn/,2024-09-17,
二次锂电池材料,LiMnO?,层状晶体结构,4.5,g/cm3,2.5,g/cm3,3,g/cm3,150,mAh/g,140,mAh/g,130,Wh/kg,3.5,V,2.5-4.0 V,良好,较环保,较安全,-20°C至60°C,较低,价格便宜、维护简单,能量密度相对较低,消费电子、移动设备,中国电力高校,http://www.cecu.edu.cn/,2024-09-17,
高镍材料,LiNi?Co?Mn?O?,层状晶体结构,4.7,g/cm3,2.8,g/cm3,3.6,g/cm3,200,mAh/g,185,mAh/g,250,Wh/kg,3.65,V,3.0-4.4 V,优良,较环保,安全性中等,-20°C至75°C,高,很高的容量、动力表现优异,稳定性问题、制造复杂,电动车、无人驾驶汽车,广东工业大学,http://www.gdut.edu.cn/,2024-09-17,
氟化锂材料,LiF,立方晶体结构,2.3,g/cm3,1.9,g/cm3,2.1,g/cm3,100,mAh/g,90,mAh/g,85,Wh/kg,2.5,V,2.0-3.5 V,中等,一般,较安全,0°C至50°C,较低,资源丰富、成本低,能量密度低、动力不足,小型电子产品、日常消费品,南京大学,http://www.nju.edu.cn/,2024-09-17,
高温锂电材料,LiCoO?,层状结构,5,g/cm3,2.5,g/cm3,3.2,g/cm3,150,mAh/g,140,mAh/g,180,Wh/kg,3.7,V,3.0-4.3 V,优秀,较环保,良好,0°C至80°C,较高,优异的高温性能、良好的循环性能,成本较高、资源有限,航空航天、极端环境设备,武汉大学,http://www.whu.edu.cn/,2024-09-17,
镍钴铝氧化物材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.6,g/cm3,3.2,g/cm3,155,mAh/g,145,mAh/g,165,Wh/kg,3.65,V,3.0-4.3 V,良好,较环保,较安全,-10°C至55°C,较高,高容量、相对安全,成本较高、生产复杂,电动车、航空航天,材料科学杂志,https://www.materialsjournal.com/,2024-09-17,
锰酸锂材料,LiMn?O?,立方晶体结构,4,g/cm3,2.4,g/cm3,2.9,g/cm3,120,mAh/g,110,mAh/g,70,Wh/kg,4,V,3.0-4.5 V,优秀,非常环保,高安全性,-20°C至60°C,较低,环保、低成本,能量密度偏低,电动自行车、家庭储能,中国科学院材料研究所,http://www.imr.ac.cn/,2024-09-17,
固体电解质材料,Li3PO4,立方晶体结构,2.4,g/cm3,1.9,g/cm3,2,g/cm3,140,mAh/g,130,mAh/g,250,Wh/kg,4.2,V,4.0-4.5 V,较好,环保性强,安全性高,-20°C至70°C,较高,良好的离子导电性、高安全性,生产难度大、成本高,下一代电池、可穿戴设备,科技日报,http://www.stdaily.com/,2024-09-17,
镍钴锰氧化物材料,LiNi?/3Co?/3Mn?/3O?,层状晶体结构,4.5,g/cm3,2.7,g/cm3,3.3,g/cm3,160,mAh/g,150,mAh/g,160,Wh/kg,3.6,V,3.0-4.2 V,良好,较环保,较安全,-10°C至60°C,中等,平衡的性能、充放电特性,成本高、稳定性差,电动车、手机,能源技术研究所,http://www.energytech.org/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.6,g/cm3,140,mAh/g,132,mAh/g,200,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性较差,安全性一般,-20°C至70°C,较高,高能量密度、较高电压,资源有限、成本高,消费电子、电动车,中华材料网,http://www.materials.org.cn/,2024-09-17,
钛酸锂材料,Li4Ti5O12,立方晶体结构,3.5,g/cm3,2.6,g/cm3,3.1,g/cm3,175,mAh/g,168,mAh/g,90,Wh/kg,2.4,V,1.5-3.0 V,优秀,环保性强,高安全性,-30°C至60°C,较高,超长循环寿命、稳定性好,能量密度低、生产成本高,电动车、快充设备,新材料国际期刊,https://www.journals.elsevier.com/international-journal-of-new-materials/,2024-09-17,
锂镍钴锰氧化物材料,LiNi0.8Co0.1Mn0.1O2,层状晶体结构,4.6,g/cm3,2.8,g/cm3,3.5,g/cm3,200,mAh/g,180,mAh/g,210,Wh/kg,3.6,V,3.0-4.3 V,良好,较环保,安全性高,-10°C至60°C,中等,极高的能量密度、优良的时间稳定性,对温度变化敏感、成本较高,电动车、可再生能源存储,能源存储研究所,http://www.energystorage.org/,2024-09-17,
锂钴氧化物材料,LiCoO?,层状晶体结构,5.1,g/cm3,2.9,g/cm3,3.5,g/cm3,140,mAh/g,138,mAh/g,155,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性一般,较安全,-10°C至70°C,较高,成熟技术、广泛应用,原材料成本高、资源紧张,消费电子、电池储能,化学与材料工程,http://www.cmejournal.com/,2024-09-17,
高镍三元材料,LiNi0.9Co0.05Mn0.05O2,层状晶体结构,4.8,g/cm3,2.9,g/cm3,3.7,g/cm3,230,mAh/g,210,mAh/g,270,Wh/kg,3.78,V,3.0-4.4 V,良好,较环保,安全性中等,-20°C至65°C,较高,高比能量，长期使用效率高,热稳定性不足、制造难度大,电动车、储能电池,前沿材料科学,https://www.frontiersin.org/journals/materials,2024-09-17,
镍钴铝材料,LiNiCoAlO?,层状晶体结构,4.7,g/cm3,2.6,g/cm3,3.3,g/cm3,160,mAh/g,150,mAh/g,200,Wh/kg,3.6,V,3.0-4.3 V,优良,较环保,较安全,-20°C至55°C,较高,高能量密度、良好的高温性能,成本较高、资源稀缺,电动车、航空航天,中科院材料研究所,http://www.mtrl.cas.cn/,2024-09-17,
钴酸锂材料,LiCoO?,层状晶体结构,5.2,g/cm3,2.9,g/cm3,3.6,g/cm3,150,mAh/g,140,mAh/g,155,Wh/kg,3.7,V,3.0-4.2 V,良好,环保性较低,中等,-10°C至50°C,高,高能量密度、良好的循环性能,毒性高、资源有限,消费电子、无人机,国家电网公司,http://www.sgcc.com.cn/,2024-09-17,
