产品名称（字符型）,产品类型（字符型）,产品规格（字符型）,员工数量（数值型）,单位,评估标准名称（字符型）,评估标准类型（字符型）,实施日期（日期型）,责任单位（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
空天数据加密通信系统,通信设备,加密等级：Class A,120,人,加密安全评估标准,安全标准,2024-06-01,安全通信研究院,网络安全局,https://www.cybersec.gov.cn/encryption,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,监测范围：500km,85,人,气象监测评估标准,技术标准,2024-07-15,气象科技公司,气象局,https://www.cma.gov.cn/weather-monitoring,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,监测精度：±0.1ppm,110,人,环境质量评估标准,测量标准,2023-12-25,环境科技公司,环保局,https://www.mee.gov.cn/environment-monitoring,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,测量范围：-50°C至+50°C,60,人,环境适应性评估标准,气象标准,2023-08-15,气象科技公司,国家气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天地理信息系统,地理信息设备,数据存储：500GB,100,人,数据整合标准,数据标准,2024-03-01,地理信息公司,中国地理学会,https://www.geosociety.org.cn/,2024-10-08,,,,,,,,,
空天航天观测平台,轨道平台,轨道高度：400km,250,人,轨道稳定性评估标准,航天标准,2024-05-20,航天部队,国家航天局,https://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,
空天防务系统,防务装备,射程：200km,300,人,作战能力评估标准,防务标准,2023-10-10,国防科技公司,国防部,https://www.mod.gov.cn/,2024-10-08,,,,,,,,,
空天智能遥控平台,遥控设备,控制范围：10km,55,人,遥控精度评估标准,控制标准,2024-01-15,遥控科技公司,中国无人机协会,https://www.uav.org.cn/,2024-10-08,,,,,,,,,
空天材料测试系统,材料测试设备,耐温：-200°C至+1200°C,70,人,材料可靠性评估标准,材料标准,2023-11-05,新材料研究院,科学技术部,https://www.most.gov.cn/,2024-10-08,,,,,,,,,
空天任务调度系统,调度软件,处理能力：100个任务/小时,40,人,调度效率评估标准,效率标准,2024-04-10,任务管理公司,航天生产企业,http://www.aerospace.com/,2024-10-08,,,,,,,,,
空天机器人技术平台,机器人系统,操作范围：5m,30,人,操作精确性评估标准,机器人标准,2023-12-01,机器人科技公司,机器人产业协会,https://www.robotics.org.cn/,2024-10-08,,,,,,,,,
空天安全监控系统,安全监控设备,监控范围：1000平方公里,90,人,安全性评估标准,安全标准,2024-02-25,安全科技公司,国家安全局,http://www.nss.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,传感器数量：20,110,人,气象数据准确性评估标准,性能标准,2023-11-01,气象科技公司,中国气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天成像系统,成像设备,波段范围：可见光-红外,95,人,成像质量评估标准,图像标准,2024-03-15,成像科技研究院,国家科技部,https://www.most.gov.cn/,2024-10-08,,,,,,,,,
空天环境监测平台,环境监测设备,监测范围：1000公里,250,人,环境影响评估标准,环境标准,2023-08-20,环境监测公司,生态环境部,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天信号处理系统,信号处理设备,处理延迟：<10ms,70,人,处理速度评估标准,技术标准,2024-04-22,信号科技公司,广播电视总局,https://www.sapprft.gov.cn/,2024-10-08,,,,,,,,,
空天系统集成平台,集成软件,支持的协议：多种,125,人,系统兼容性评估标准,性能标准,2023-10-30,系统科技研究所,国家信息中心,http://www.nic.gov.cn/,2024-10-08,,,,,,,,,
空天遥测系统,遥测设备,测量频率：1Hz,140,人,遥测精度评估标准,测量标准,2024-06-15,遥测科技发展公司,科技日报,http://www.stdaily.com/,2024-10-08,,,,,,,,,
空天计算平台,计算设备,性能：5000 OPS,85,人,计算效率评估标准,性能标准,2024-05-05,计算科技公司,中国科学院,https://www.cas.cn/,2024-10-08,,,,,,,,,
空天视觉识别系统,识别设备,识别率：95%,60,人,识别准确度评估标准,技术标准,2024-07-25,视觉科技公司,人工智能协会,https://www.ai.org.cn/,2024-10-08,,,,,,,,,
空天卫星导航设备,导航设备,定位精度：±3米,200,人,导航精度评估标准,测量标准,2023-12-12,卫星导航科技公司,国家实验室,https://www.npl.gov.cn/,2024-10-08,,,,,,,,,
空天数据共享平台,数据共享系统,用户数量：1000,140,人,数据安全评估标准,安全标准,2024-08-10,数据共享研究院,大数据发展局,http://www.datagov.cn/,2024-10-08,,,,,,,,,
空天宽带通信系统,通信设备,带宽：200MHz,250,人,性能稳定性评估标准,性能标准,2023-10-10,宇宙通信科技有限公司,中国通信研究院,https://www.citc.gov.cn/,2024-10-08,,,,,,,,,
空天遥测传感器,传感设备,灵敏度：1μm,60,人,传感性能评估标准,性能标准,2024-03-01,遥测科技股份有限公司,国家空间科学中心,https://www.nssc.ac.cn/,2024-10-08,,,,,,,,,
空天景观监测系统,监测系统,监测频率：每天一次,85,人,环境监测评估标准,监测标准,2023-12-20,环境监测技术研究所,国家生态环境部,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天影像处理系统,数据处理软件,处理能力：500GB/day,70,人,图像处理标准,处理标准,2023-11-15,影像科技公司,数据技术协会,https://www.datatech.org.cn/,2024-10-08,,,,,,,,,
空天气象监测设备,气象设备,测量范围：-50℃至50℃,40,人,气象设备评估标准,气象标准,2024-01-25,气象科技局,国家气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天安全监控系统,安全监控设备,监测范围：500km,120,人,安全监控标准,安全标准,2024-04-12,国家安全防护局,防护科学研究院,https://www.security.gov.cn/,2024-10-08,,,,,,,,,
空天资源管理系统,管理软件,资源管理效率：95%,100,人,资源配置评估标准,管理标准,2024-02-28,资源科技公司,国家资源部,https://www.mnr.gov.cn/,2024-10-08,,,,,,,,,
空天救援系统,应急设备,救援范围：300km,150,人,应急响应评估标准,应急标准,2024-05-05,应急救援科技公司,国家应急管理部,https://www.mem.gov.cn/,2024-10-08,,,,,,,,,
空天卫星发射系统,发射设备,发射能力：5颗卫星,300,人,发射安全评估标准,安全标准,2024-06-10,航天发射中心,国家航天局,https://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,
空间智能调度系统,调度系统,响应时间：<1秒,110,人,调度效率评估标准,效率标准,2023-08-15,智能科技研究所,科技前沿论坛,https://www.techforum.org/scheduling,2024-10-08,,,,,,,,,
空天安全监控系统,监控设备,视频流：4K高清,175,人,安全监控评估标准,安全标准,2023-11-12,网络安全技术公司,网络安全评估中心,https://www.nsa.gov.cn/security,2024-10-08,,,,,,,,,
空天成像传感器,传感器设备,灵敏度：0.3Lux,65,人,成像质量评估标准,图像标准,2023-10-01,传感科技有限公司,国际图像协会,https://www.imagequality.org/standards,2024-10-08,,,,,,,,,
多波段遥感水质监测系统,水质监测设备,监测频段：350nm-800nm,95,人,水质评估标准,环境标准,2024-03-20,水资源保护中心,环境保护部,https://www.epa.gov.cn/water_quality,2024-10-08,,,,,,,,,
卫星数据分析平台,数据分析软件,分析能力：1PB/year,85,人,数据准确性评估标准,数据标准,2023-02-10,空间数据分析公司,中国科学院空间中心,https://www.csac.gov.cn/satellite_data,2024-10-08,,,,,,,,,
全球气象监测系统,气象设备,测量频率：每小时一次,160,人,气象数据评估标准,气象标准,2023-12-05,气象科学研究院,气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
卫星导航应用优化系统,优化系统,优化算法：自适应,130,人,导航准确性评估标准,导航标准,2024-01-15,导航技术中心,全国导航联盟,https://www.nationalnavigation.org/home,2024-10-08,,,,,,,,,
空天数据共享平台,共享平台,数据存储：10TB,70,人,数据共享评估标准,共享标准,2024-04-22,数据研发股份公司,国家数据中心,https://www.datacenter.gov.cn/shared_data,2024-10-08,,,,,,,,,
空天废物监测系统,监测设备,监测容量：1000颗卫星,140,人,废物监测评估标准,环保标准,2024-05-30,环境监测研究所,环保局,https://www.cep.gov.cn/waste_monitoring,2024-10-08,,,,,,,,,
空天观测工具,观测设备,视场：60度,130,人,观测精度评估标准,观察标准,2023-08-15,观测技术研究所,科学技术部,https://www.most.gov.cn,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：50km,160,人,气象监测标准,气象标准,2023-10-01,气象科技公司,国家气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天交通管理系统,管理软件,实时监控能力,150,人,流量管理标准,管理标准,2024-03-12,交通科技研究所,交通运输部,https://www.mot.gov.cn,2024-10-08,,,,,,,,,
空天安防监控系统,安防设备,监控覆盖范围：100公里,220,人,安防标准,安全标准,2023-11-20,安防科技公司,中央公安部,https://www.mps.gov.cn,2024-10-08,,,,,,,,,
空天信息整合平台,数据平台,数据接口：RESTful API,75,人,平台响应标准,技术标准,2024-01-15,信息科技局,信息产业部,https://www.miit.gov.cn,2024-10-08,,,,,,,,,
空天无线通信网络,网络设备,网络覆盖率：99%,300,人,通信质量评估标准,通信标准,2023-12-05,通信管理局,国家无线电局,https://www.srrc.org.cn,2024-10-08,,,,,,,,,
空天区域安全系统,安全系统,监测半径：80公里,110,人,安全性能标准,安全标准,2024-02-18,区域安全公司,国家安全委员会,https://www.nsc.gov.cn,2024-10-08,,,,,,,,,
空天情报共享系统,数据共享系统,数据处理速度：500GB/hour,95,人,数据安全标准,数据标准,2023-09-30,情报科技公司,国家情报局,https://www.nsa.gov.cn,2024-10-08,,,,,,,,,
空天机器人监控系统,机器人设备,作业半径：20米,85,人,监控效率评估标准,效率标准,2024-01-25,机器人技术公司,自动化科技协会,https://www.aia.org.cn,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：1000km,110,人,气象数据质量评估标准,数据标准,2023-11-10,气象科技公司,国家气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天安全监控平台,监控设备,覆盖面积：500km2,180,人,安全性及响应评估标准,安全标准,2023-12-15,安全技术公司,国家安全部,https://www.un.gov.cn,2024-10-08,,,,,,,,,
空间资源管理系统,管理软件,用户容量：5000个,60,人,管理效率评估标准,效能标准,2024-02-20,资源科技公司,国际空间站网站,https://www.iss.gov,2024-10-08,,,,,,,,,
空天无人机监测系统,无人机系统,飞行时间：8小时,130,人,飞行性能评估标准,航天标准,2024-03-01,无人机技术公司,民航局,https://www.caac.gov.cn,2024-10-08,,,,,,,,,
空天信息共享平台,共享平台,数据传输速率：2Gbps,70,人,数据共享标准,标准化标准,2024-03-15,信息技术公司,中国互联网信息中心,https://www.cnnic.net.cn,2024-10-08,,,,,,,,,
空天遥感数据整合系统,数据整合软件,整合能力：200TB,95,人,数据整合效率评估标准,效率标准,2024-04-05,数据整合研究院,国家遥感中心,https://www.cresda.cn,2024-10-08,,,,,,,,,
空天决策支持系统,决策软件,决策支持能力：实时分析,75,人,决策效率评估标准,智能标准,2024-04-20,决策科技公司,国家科技部,https://www.most.gov.cn,2024-10-08,,,,,,,,,
空天目标预测系统,预测工具,预测精度：±3%,85,人,预测标准,预测标准,2024-05-01,目标预测研究中心,国家科研院,https://www.nas.gov.cn,2024-10-08,,,,,,,,,
空天监控数据分析系统,分析软件,数据处理速度：500GB/day,100,人,数据分析标准,分析标准,2024-05-15,分析科技公司,国家数据中心,https://www.ncdc.cn,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：XT-400,175,人,气象精度评估标准,气象标准,2023-08-15,气象科技研究院,国家气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
空天安防监控系统,监控设备,分辨率：4K,160,人,安全评估标准,安全标准,2023-10-10,安防科技公司,中国安防协会,https://www.caa.org.cn/,2024-10-08,,,,,,,,,
空天信息共享平台,数据处理软件,并发处理能力：500并发,220,人,性能评估标准,性能标准,2024-03-01,信息技术交流中心,国家数字化办公室,https://www.ndcc.gov.cn/,2024-10-08,,,,,,,,,
空天无线通信系统,通信设备,频率范围：1GHz - 6GHz,300,人,通信质量评估标准,技术标准,2023-11-20,无线电科技公司,国际无线通信联合会,https://www.itu.int/en/ITU-R,2024-10-08,,,,,,,,,
空天智能导航辅助系统,导航设备,导航精度：±1米,110,人,导航性能评估标准,导航标准,2024-04-15,智能科技公司,国家航天局,https://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,
空天遥感数据分析系统,数据处理软件,处理能力：2TB/day,95,人,处理效率评估标准,性能标准,2024-05-10,遥感数据处理公司,国际遥感学会,https://www.isprs.org/,2024-10-08,,,,,,,,,
空天探测数据融合系统,探测器,融合精度：±3%,70,人,数据融合评估标准,融合标准,2024-06-25,探测技术研究所,中国探测技术协会,https://www.ctri.gov.cn/,2024-10-08,,,,,,,,,
空天卫星通信系统,通信设备,上行带宽：25Mbps,180,人,通信稳定性评估标准,技术标准,2023-12-05,卫星通信研究院,全国通信局,https://www.miit.gov.cn/,2024-10-08,,,,,,,,,
空天智能调度系统,调度软件,调度能力：1000任务/小时,130,人,调度效率评估标准,效率标准,2024-01-30,智能调度科技公司,国家智能科技委员会,https://www.cstec.gov.cn/,2024-10-08,,,,,,,,,
空天环境监测卫星,卫星设备,轨道高度：600km,300,人,环境监测评估标准,环境标准,2024-07-18,环境科技研究所,国家环保局,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,功能：气象监测与气候分析,75,人,气象数据评估标准,气象标准,2023-04-15,气象科技研究所,气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天情报分析系统,数据分析软件,处理能力：500GB/day,110,人,数据分析效率标准,效率标准,2024-03-02,国家安全局,国防科技部,https://www.mod.gov.cn/,2024-10-08,,,,,,,,,
空天卫星通信网络,通信设备,覆盖范围：全球,300,人,通信质量评估标准,通信标准,2023-10-01,卫星技术公司,国际通信联盟,https://www.itu.int/,2024-10-08,,,,,,,,,
空天无人机系统,无人机,飞行高度：5000米,65,人,飞行稳定性标准,稳定性标准,2024-04-20,无人机研发中心,科技日报,http://www.stdaily.com/,2024-10-08,,,,,,,,,
空天资源管理平台,管理软件,用户支持：5000人,150,人,资源利用效率标准,管理标准,2023-12-10,资源管理研究所,国家资源部,http://www.mnr.gov.cn/,2024-10-08,,,,,,,,,
空天灵巧探测器,探测器,材料：轻质复合材料,40,人,探测性能评估标准,性能标准,2024-05-15,探测研发公司,航天科技集团,http://www.spacechina.com/,2024-10-08,,,,,,,,,
空天防务系统,防务设备,响应时间：<1秒,250,人,响应性能标准,性能标准,2024-02-25,国防科技公司,军区总部,http://www.mod.gov.cn/,2024-10-08,,,,,,,,,
空天智能调度平台,调度软件,调度效率：95%,85,人,调度效率评估标准,效率标准,2023-11-30,大数据技术公司,云计算协会,http://www.cloud.org.cn/,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,检测范围：大气与水质,100,人,环境监测评估标准,环境标准,2024-01-05,环境保护局,国家环保部,http://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：TM-800,180,人,气象评估标准,监测标准,2023-08-15,气象科技公司,中国气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天安全监控平台,安全系统,覆盖范围：500km,220,人,安全性评估标准,技术标准,2023-11-01,安全技术研究院,国家安全局,https://www.nsa.gov.cn/,2024-10-08,,,,,,,,,
空天探测遥感系统,遥感设备,分辨率：0.3米,95,人,图像精度评估标准,图像标准,2023-10-20,遥感技术研发中心,国际遥感协会,https://www.isrs.org/,2024-10-08,,,,,,,,,
空天运输管理系统,管理软件,处理能力：10万件/日,65,人,效率标准,管理标准,2024-03-15,运输科技公司,运输部,https://www.mot.gov.cn/,2024-10-08,,,,,,,,,
空天GIS平台,系统软件,数据容量：5TB,130,人,数据处理标准,技术标准,2024-01-25,地理信息公司,国家地理信息局,https://www.ngcc.cn/,2024-10-08,,,,,,,,,
空天民用卫星系统,卫星系统,轨道高度：600km,300,人,卫星发射标准,发射标准,2023-09-10,航天科技集团,全国航天办公室,https://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,
空天风能监测系统,监测设备,风速：至120 km/h,85,人,风量评估标准,气象标准,2023-12-05,能源技术公司,能源部,https://www.nea.gov.cn/,2024-10-08,,,,,,,,,
空天气体监测系统,监测设备,检测气体种类：35种,145,人,环境监测标准,环保标准,2023-02-14,环境科技公司,环保部,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天数据共享平台,数据平台,数据量：2PB,150,人,共享标准,网络标准,2024-04-18,数据共享研究中心,数据科学协会,https://www.datascience.org.cn/,2024-10-08,,,,,,,,,
空天行业应用平台,应用软件,支持行业：10个,110,人,应用标准,应用标准,2024-02-28,行业科技公司,行业协会,https://www.industryassociation.org/,2024-10-08,,,,,,,,,
空天监控平台,监控设备,监控范围：1000km,180,人,监控精度评估标准,监测标准,2023-04-15,空天保护公司,行业协会,https://www.spaceprotection.org,2024-10-08,,,,,,,,,
空天数据融合系统,数据处理软件,融合能力：2TB/day,110,人,数据融合精度评估标准,性能标准,2024-03-12,数据融合科技公司,数据应用论坛,https://www.datafusionforum.org,2024-10-08,,,,,,,,,
空天车载通信系统,通信设备,传输速率：200Mbps,95,人,通信稳定性评估标准,技术标准,2023-11-25,车载通信技术研究院,国家信息局,https://www.cai.gov.cn,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,适用气候：各种气候,75,人,环境监测质量评估标准,环境标准,2023-10-05,环境监测局,环境保护部,https://www.epb.gov.cn,2024-10-08,,,,,,,,,
空天应急响应系统,应急设备,响应速率：<5min,130,人,应急响应效率评估标准,性能标准,2024-01-20,应急管理科技公司,应急管理部,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天智能交通系统,交通管理系统,处理车辆数：5000辆/h,140,人,交通流量评估标准,性能标准,2023-12-01,智能交通发展公司,交通部,https://www.mot.gov.cn,2024-10-08,,,,,,,,,
空天卫星导航设备,导航设备,精度：±3米,160,人,导航精度评估标准,技术标准,2024-02-28,卫星导航科技公司,国家卫星导航部门,https://www.nsat.gov.cn,2024-10-08,,,,,,,,,
空天灾害监测系统,监测设备,监测范围：500km,85,人,灾害监测效果评估标准,性能标准,2023-08-18,灾害管理局,国家灾害应急办公室,https://www.ndma.org.cn,2024-10-08,,,,,,,,,
空天人工智能分析系统,分析软件,处理速度：1000条/秒,100,人,AI分析精度标准,技术标准,2023-09-15,AI技术公司,人工智能协会,https://www.aiassociation.org,2024-10-08,,,,,,,,,
空天无人机监控工具,无人机设备,飞行时间：30小时,70,人,无人机监控性能评估标准,性能标准,2024-04-10,无人机科技公司,无人机行业协会,https://www.uavassociation.org,2024-10-08,,,,,,,,,
空天动态分析系统,数据分析软件,处理能力：500GB/day,100,人,效率评估标准,性能标准,2023-08-15,动态科技有限公司,国际空间数据网,https://www.internationalspacedata.org/,2024-10-08,,,,,,,,,
空天视觉监控系统,监控设备,摄像头数量：16个,75,人,监控效果评估标准,图像标准,2023-10-01,视觉科技集团,国内安防协会,https://www.chinasecurity.org.cn/,2024-10-08,,,,,,,,,
空天智能预测系统,机器学习软件,算法：深度学习,120,人,智能评估标准,技术标准,2024-01-20,智能科技公司,人工智能研究中心,https://www.airc.cn/,2024-10-08,,,,,,,,,
空天气象监测站,气象设备,测量范围：-50℃至50℃,60,人,气象测量标准,环境标准,2023-11-30,气象研究所,国家气象服务中心,https://www.nmc.cn/,2024-10-08,,,,,,,,,
空天运输管理系统,物流管理软件,运输效率：95%,40,人,运输效率评估标准,效率标准,2024-03-01,物流科技公司,全国货运协会,https://www.nationalfreight.org/,2024-10-08,,,,,,,,,
空天防御系统,防御设备,反应时间：≤1秒,300,人,安全评估标准,安全标准,2024-04-15,防御技术研究院,国家安全局,https://www.nsa.gov/,2024-10-08,,,,,,,,,
空天卫星数据解译系统,数据解译软件,"兼容格式：GeoTIFF, JPEG",85,人,数据解译准确性标准,数据标准,2023-12-10,卫星数据公司,中国卫星网,https://www.chinasatellite.com/,2024-10-08,,,,,,,,,
空天探空系统,探测设备,最大深度：5000米,110,人,探测精度标准,精度标准,2024-02-15,探空科技有限公司,国家海洋局,https://www.nmme.gov.cn/,2024-10-08,,,,,,,,,
空天通信卫星,卫星设备,信号覆盖：全球,180,人,通信稳定性标准,通信标准,2024-05-25,卫星通信公司,国际通信联盟,https://www.itu.int/,2024-10-08,,,,,,,,,
空天电磁干扰监测系统,监测设备,监测频率：0-10GHz,70,人,电磁干扰评估标准,环境标准,2024-06-08,电磁科技公司,国家电子信息局,https://www.nec.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：200km,110,人,气象数据质量评估标准,质量标准,2024-03-15,气象科技公司,国家气象局,https://www.cma.gov.cn/weather,2024-10-08,,,,,,,,,
新型空天通信终端,终端设备,支持5G，数据传输率：1Gbps,175,人,数据安全评估标准,安全标准,2024-04-01,未来通信公司,移动通信协会,https://www.caiq.org.cn/5g,2024-10-08,,,,,,,,,
空天监测无人机,无人机设备,飞行高度：5000米,60,人,飞行性能评估标准,性能标准,2024-05-10,无人机科技公司,无人机产业联盟,https://www.uav.org.cn/drone,2024-10-08,,,,,,,,,
空天图像处理引擎,软件系统,处理速度：500图像/min,90,人,图像处理效率标准,效率标准,2023-12-20,图像科技公司,图像处理学会,https://www.imageprocessing.org.cn,2024-10-08,,,,,,,,,
空天资源管理系统,资源管理软件,支持多用户协作,130,人,资源利用率评估标准,管理标准,2024-06-25,资源科技公司,国家发展改革委,https://www.ndrc.gov.cn/resource,2024-10-08,,,,,,,,,
空天仿真训练平台,训练设备,支持虚拟现实操作,70,人,培训效果评估标准,培训标准,2024-07-15,培训科技公司,职业教育与培训网,https://www.vocationaltraining.cn,2024-10-08,,,,,,,,,
空天新材料研发系统,材料开发设备,材料强度：500MPa,140,人,材料性能评估标准,材料标准,2023-11-05,新材料科技公司,材料科学学会,https://www.materialscience.cn,2024-10-08,,,,,,,,,
空天多源数据融合平台,数据融合软件,支持十种数据格式,95,人,数据融合质量评估标准,质量标准,2024-08-30,数据融合科技公司,信息科学与技术协会,https://www.datafusion.org.cn,2024-10-08,,,,,,,,,
空天环境监测装置,环保设备,监测空气质量：PM2.5,120,人,环境监测评估标准,环境标准,2024-09-12,环境科技公司,环境保护部,https://www.mee.gov.cn/environment,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,型号：XQ-700,120,人,气象评估标准,环境标准,2023-11-05,气象科技公司,国家气象局,https://www.cma.gov.cn/meteorology,2024-10-08,,,,,,,,,
空天测距系统,测距设备,测距范围：5000公里,75,人,测距精度评估标准,测量标准,2023-10-22,测距技术公司,国际测绘联合会,https://www.fig.net/,2024-10-08,,,,,,,,,
空天资源管理系统,管理软件,处理能力：2TB/day,100,人,资源利用效率评估标准,资源标准,2023-12-15,资源管理信息中心,卫星数据协会,https://www.satdatacorp.com/,2024-10-08,,,,,,,,,
空天地理信息系统,GIS软件,"支持格式：GeoJSON, SHP",60,人,信息整合评估标准,信息标准,2024-01-20,地理信息科技公司,国际地理信息科学协会,https://www.geoinfo.org/,2024-10-08,,,,,,,,,
空天无人机监控系统,无人机设备,飞行时间：30小时,150,人,飞行性能评估标准,性能标准,2023-08-25,无人机开发公司,无人机行业协会,https://www.uavindustry.org/,2024-10-08,,,,,,,,,
空天网络优化平台,优化软件,响应时间：<50ms,85,人,网络性能评估标准,网络标准,2023-11-20,网络技术研究院,无线通信协会,https://www.wirelesscommunication.org/,2024-10-08,,,,,,,,,
空天安全防护系统,安全设备,防护等级：IP68,140,人,安全标准评估,安全标准,2024-03-15,安全科技公司,国家安全局,https://www.nsa.gov/,2024-10-08,,,,,,,,,
空天社交网络平台,社交软件,用户容量：500万,200,人,用户满意度评估,用户标准,2024-05-10,社交科技公司,社会研究院,https://www.socialresearch.org.cn/,2024-10-08,,,,,,,,,
空天云计算平台,云服务,存储容量：5TB,175,人,云服务性能评估,技术标准,2024-04-18,云计算技术公司,云服务协会,https://www.cloudservices.org/,2024-10-08,,,,,,,,,
空天虚拟仿真系统,仿真软件,模拟模型：高级动态仿真,65,人,仿真性能评估标准,技术标准,2023-08-10,虚拟科技有限公司,科技日报,https://www.stdaily.com,2024-10-08,,,,,,,,,
空天发射优化系统,优化软件,优化算法：基于AI,120,人,发射效率评估标准,性能标准,2024-03-01,航天发射技术公司,中国航天新闻网,https://www.spacechina.com,2024-10-08,,,,,,,,,
空天环境监测卫星,卫星设备,轨道高度：500公里,300,人,环境监测标准,技术标准,2024-05-20,环境科技公司,环境保护部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,
空天图像处理平台,数据处理软件,处理速度：10TB/day,95,人,图像处理效率标准,性能标准,2023-11-11,图像科技公司,中国科学院,https://www.cas.cn,2024-10-08,,,,,,,,,
空天应急响应系统,响应平台,反应时间：5分钟内,85,人,应急处理评估标准,安全标准,2023-09-15,应急管理部,应急管理局,https://www.mem.gov.cn,2024-10-08,,,,,,,,,
空天规划与协调系统,管理软件,系统集成：全功能平台,70,人,协调效率评估标准,管理标准,2023-12-20,城市规划研究院,中国城市规划网,http://www.tiandichang.com,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：10km,40,人,气象监测标准,技术标准,2023-10-10,气象局,国家气象中心,http://www.cma.gov.cn,2024-10-08,,,,,,,,,
空天多模式数据融合平台,数据融合软件,融合能力：多达5种模式,110,人,数据融合评估标准,性能标准,2024-01-25,数据融合技术公司,数据融合协会,https://www.datafusion.org.cn,2024-10-08,,,,,,,,,
空天防御监控系统,监控设备,监控距离：300公里,130,人,防御监控标准,安全标准,2024-04-15,国防科技公司,国防部,http://www.mod.gov.cn,2024-10-08,,,,,,,,,
空天气象监测系统,监测设备,量程：-50°C至+50°C,110,人,气象数据可靠性评估标准,气象标准,2023-04-12,气象科技公司,气象局,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天应急通信系统,通信设备,传输距离：500km,175,人,应急通信标准,安全标准,2023-08-25,应急管理科技公司,国家应急管理部,https://www.mem.gov.cn/,2024-10-08,,,,,,,,,
空天观测卫星,卫星,轨道高度：600km,300,人,轨道稳定性评估标准,空间标准,2024-03-15,航天科学研究院,国家航天局,https://www.cnsa.gov.cn/,2024-10-08,,,,,,,,,
空天人工智能分析系统,数据处理软件,处理能力：10TB/day,220,人,AI算法准确性标准,技术标准,2024-05-08,人工智能技术公司,人工智能研究所,https://www.ai-research.org/,2024-10-08,,,,,,,,,
空天环境监控设施,监测设备,监测范围：10公里,90,人,环境影响评估标准,环境标准,2023-11-02,环境保护科技公司,环保部,https://www.mee.gov.cn/,2024-10-08,,,,,,,,,
空天无人机侦察系统,无人机,飞行时间：12小时,140,人,侦察功能标准,技术标准,2023-12-01,无人机科技公司,国家航空局,https://www.caac.gov.cn/,2024-10-08,,,,,,,,,
空天空间测量系统,测量设备,测量精度：±1cm,105,人,空间测量标准,测量标准,2024-01-22,测量科技公司,国家测绘局,https://www.ngcc.cn/,2024-10-08,,,,,,,,,
空天遥感卫星数据分析系统,数据处理软件,数据接受速率：5Gbps,85,人,数据分析精确度评估标准,数据标准,2023-10-30,遥感数据公司,中国遥感网,https://www.cresda.cn/,2024-10-08,,,,,,,,,
空天多功能侦察艇,侦察艇,速度：50节,65,人,海上侦察标准,技术标准,2024-02-14,海洋科技公司,海洋局,https://www.mnr.gov.cn/,2024-10-08,,,,,,,,,
空天气象监测系统,气象设备,监测范围：1000km,130,人,气象数据准确性标准,数据标准,2023-08-15,气象科技公司,国家气象局,https://www.nmc.cn,2024-10-08,,,,,,,,,
空天电子侦测系统,电子设备,频率：1-10GHz,60,人,电磁兼容性评估标准,兼容性标准,2024-04-01,电子科技研究院,电子信息产业联盟,http://www.cec.org.cn,2024-10-08,,,,,,,,,
空天测绘系统,测绘设备,测量精度：±1厘米,75,人,测绘精度评估标准,测绘标准,2023-11-30,测绘科技公司,国家测绘局,https://www.ngcc.cn,2024-10-08,,,,,,,,,
