受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1782/TJ,低轨卫星星座规划,卫星规划,空天技术,1,2023/10/15,低轨卫星技术有限公司,无,正在进行,450000,待审,卫星设计公司,计算机辅助设计,低轨卫星技术有限公司,2023-014,空天技术,V1.0,广西壮族自治区科学技术厅,http://www.gxst.gov.cn/,2024-10-09,
CN10-1819/TJ,磁浮轨道飞行器测试技术,性能测试,空天技术,1,2023/9/15,国家轨道交通研究中心,城市轨道交通公司,已受理,110000,合格,轨道科技有限公司,实验室评估,国家轨道交通研究中心,2023-006,空天技术,V1.0,交通运输部,http://www.mot.gov.cn/,2024-10-09,
CN10-1815/TJ,无人机编队飞行控制算法,系统设计,空天技术,1,2023/8/30,智能飞行科技有限公司,未来科技研究院,正在进行,420000,待审,飞行控制科技公司,模拟测试,智能飞行科技有限公司,2023-007,空天技术,V1.1,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1785/TJ,空间天气监测技术,数据处理,空天技术,2,2023/10/5,空间环境研究所,无,已完成,310000,合格,空间科技公司,现场监测,空间环境研究所,2023-008,空天技术,V1.2,气象局,http://www.cma.gov.cn/,2024-10-09,
CN10-1710/TJ,低轨道卫星通信系统,通信技术,空天技术,1,2023/8/12,卫星通信集团,宇宙信息股份公司,已受理,440000,合格,卫星科技公司,实验室测试,卫星通信集团,2023-009,空天技术,V1.1,中国卫星网,http://www.chinasatcom.net/,2024-10-09,
CN10-1787/TJ,高精度地面传感器,安防技术,空天技术,2,2023/9/25,安防技术有限公司,无,完成,440000,合格,高精度科技公司,现场测试,安防技术有限公司,2023-010,空天技术,V1.0,公安部,http://www.mps.gov.cn/,2024-10-09,
CN10-1742/TJ,太阳能聚光照明系统,能源管理,空天技术,1,2023/10/10,绿色能源科技公司,光伏研究中心,正在进行,450000,待审,能源科技有限公司,实验室评估,绿色能源科技公司,2023-011,空天技术,V1.0,新能源网,https://www.energytrend.com/,2024-10-09,
CN10-1813/TJ,火星探测器載荷设计,系统设计,空天技术,1,2023/7/20,火星探索技术公司,深空探测公司,已完成,330000,合格,火星科技中心,概念验证,火星探索技术公司,2023-012,空天技术,V1.1,中国航天新闻网,http://www.spacechina.com/,2024-10-09,
CN10-1790/TJ,生态环境遥感监测,数据处理,空天技术,2,2023/9/2,生态环境研究所,无,已受理,620000,合格,生态科技公司,数据分析,生态环境研究所,2023-013,空天技术,V1.0,生态环境部,http://www.mee.gov.cn/,2024-10-09,
CN10-1773/TJ,空间测量系统,测量技术,空天技术,1,2023/10/1,空间测量公司,无,完成,520000,合格,空间科技集团,现场演示,空间测量公司,2023-014,空天技术,V1.0,全国测量协会,http://www.nmta.org.cn/,2024-10-09,
CN10-1782/TJ,量子通信卫星技术,系统设计,空天技术,1,2023/7/14,量子科技公司,华东量子研究所,已受理,330000,合格,量子通信科技有限公司,卫星测试,量子科技公司,2023-006,空天技术,V1.0,国家科技部,http://www.most.gov.cn/,2024-10-09,
CN10-1819/TJ,太空垃圾清除技术,系统设计,空天技术,2,2023/8/22,太空治理有限公司,北方航天科技公司,完成,510000,合格,太空环境保护公司,模拟操作,太空治理有限公司,2023-007,空天技术,V1.2,全球经济观察,http://www.geobusiness.com/,2024-10-09,
CN10-1815/TJ,空间数据挖掘算法,数据处理,空天技术,1,2023/9/10,空间信息技术研究所,无,待审,340000,待审,空间科技发展公司,数据分析,空间信息技术研究所,2023-008,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1785/TJ,小型无人飞行器发射系统,系统设计,空天技术,1,2023/10/5,无人技术开发有限公司,无,已受理,440000,合格,无人科技公司,系统测试,无人技术开发有限公司,2023-009,空天技术,V1.0,无人机技术杂志,http://www.uavtech.org/,2024-10-09,
CN10-1710/TJ,高精度卫星定位技术,导航系统,空天技术,2,2023/11/15,卫星定位科技有限公司,南方科技大学,正在进行,310000,待审,卫星导航企业,实地测试,卫星定位科技有限公司,2023-010,空天技术,V2.0,中国导航网,http://www.chinanav.net/,2024-10-09,
CN10-1787/TJ,航天器热防护材料,材料科技,空天技术,1,2023/7/30,材料科学研究中心,中国航天科技集团,已完成,420000,合格,航天材料公司,实验室测试,材料科学研究中心,2023-011,空天技术,V1.1,航空航天协会,http://www.aeronautics.cn/,2024-10-09,
CN10-1742/TJ,火星探测器电源系统,系统设计,空天技术,2,2023/10/28,深空探索技术有限公司,西北工业大学,正在进行,610000,待审,深空科技公司,系统仿真,深空探索技术有限公司,2023-012,空天技术,V1.0,中国航天科技网,http://www.space-china.com/,2024-10-09,
CN10-1813/TJ,航天器自主控制技术,系统设计,空天技术,1,2023/9/25,航天自动化公司,无,已受理,450000,合格,航天自动化科技公司,系统测试,航天自动化公司,2023-013,空天技术,V1.0,全国科技报,http://www.nationalsciencenews.com/,2024-10-09,
CN10-1790/TJ,陆基航天发射系统,系统设计,空天技术,2,2023/10/22,陆基航天发射器有限公司,武汉大学,完成,420000,合格,航天发射公司,站点测试,陆基航天发射器有限公司,2023-014,空天技术,V1.0,科技前沿研究,http://www.technologyfrontier.com/,2024-10-09,
CN10-1773/TJ,小型卫星轨道控制技术,系统设计,空天技术,1,2023/2/28,宇航卫星科技有限公司,浙江前沿科技有限公司,已受理,330000,合格,宇航科技有限公司,软件模拟测试,宇航卫星科技有限公司,2023-006,空天技术,V1.2,中国航天报,http://www.spacechina.com/,2024-10-09,
CN10-1782/TJ,气象卫星数据分析系统,数据处理,空天技术,2,2023/4/15,气象科技研究院,无,完成,110000,合格,气象科技公司,数据模型测试,气象科技研究院,2023-007,空天技术,V1.1,中国气象局,http://www.cma.gov.cn/,2024-10-09,
CN10-1819/TJ,高级电磁波探测技术,传感技术,空天技术,1,2023/5/10,电磁技术研究所,无,正在进行,410000,待审,电磁科技有限公司,现场实验,电磁技术研究所,2023-008,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1815/TJ,多光谱遥感成像能力研究,系统研发,空天技术,2,2023/7/1,遥感信息科技有限公司,南京遥感技术公司,已完成,320000,合格,遥感科技公司,遥测实验,遥感信息科技有限公司,2023-009,空天技术,V1.0,中国地理信息局,http://www.ngcc.cn/,2024-10-09,
CN10-1785/TJ,太空环境下材料耐久性测试,测试研究,空天技术,1,2023/8/12,空间材料研究院,上海航天科技股份有限公司,待审,310000,待审,空间材料科技公司,实验室测验,空间材料研究院,2023-010,空天技术,V1.0,中央人民广播电台,http://www.cnr.cn/,2024-10-09,
CN10-1710/TJ,无人机空中交通管理系统,系统开发,空天技术,2,2023/9/30,无人机创新研究所,无,已受理,510000,合格,无人机技术公司,软件实验,无人机创新研究所,2023-011,空天技术,V1.3,科技部,http://www.most.gov.cn/,2024-10-09,
CN10-1787/TJ,际空间矿产资源探测技术,技术研发,空天技术,1,2023/10/5,太空矿业公司,无,完成,620000,合格,太空技术有限公司,实验室测试,太空矿业公司,2023-012,空天技术,V1.1,人民邮电报,http://www.cnair.com/,2024-10-09,
CN10-1742/TJ,空间目标识别与跟踪技术,导航系统,空天技术,2,2023/11/20,空间智能研究院,无,正在进行,340000,待审,空间科技有限公司,仿真测试,空间智能研究院,2023-013,空天技术,V1.0,今天发布科技,http://www.tech163.com/,2024-10-09,
CN10-1813/TJ,近地小行星探测技术,探测科研,空天技术,1,2023/12/15,小行星探索中心,无,完成,540000,合格,小行星科技公司,现场试验,小行星探索中心,2023-014,空天技术,V1.0,中国科学技术协会,http://www.cast.gov.cn/,2024-10-09,
CN10-1790/TJ,新型无源宇航器设计,系统设计,空天技术,1,2023/4/15,宇航科技发展中心,宇宙探索有限公司,已受理,110000,合格,宇航科技公司,计算机模拟,宇航科技发展中心,2023-006,空天技术,V1.0,中国航天新闻网,http://www.spacechina.com,2024-10-09,
CN11-1791/TJ,空中交通管理系统优化,信息系统,空天技术,2,2023/5/22,智能交通科技有限公司,未来城市研究所,正在进行,440100,待审,智能交通科技公司,原型测试,智能交通科技有限公司,2023-007,空天技术,V1.0,珠江时报,http://www.zjnews.com,2024-10-09,
CN12-1802/TJ,轨道垃圾监测与处理技术,环境管理,空天技术,1,2023/7/30,宇航环境科技公司,地球观测系统公司,已完成,120000,合格,宇航环境科技有限公司,卫星数据分析,宇航环境科技公司,2023-008,空天技术,V1.1,中国环境保护部,http://www.mee.gov.cn,2024-10-09,
CN13-1733/TJ,商用载人航天飞行技术,航天飞行,空天技术,2,2023/8/15,航空航天商业集团,太空旅游有限公司,待审,450000,待审,航天商业科技公司,临床实验,航空航天商业集团,2023-009,空天技术,V1.0,航天产业观察,http://www.spaceindustry.com,2024-10-09,
CN14-1824/TJ,空间太阳能发电系统,清洁能源,空天技术,1,2023/9/5,清洁能源科技研究院,发展能源事业有限公司,已受理,370000,合格,清洁能源科技公司,实际验证,清洁能源科技研究院,2023-010,空天技术,V1.2,中国能源报,http://www.energychina.com,2024-10-09,
CN15-1695/TJ,智能化地面控制系统,系统集成,空天技术,2,2023/10/1,数据科技有限公司,航天软件有限公司,正在进行,520000,待审,智能地面控制公司,仿真测试,数据科技有限公司,2023-011,空天技术,V1.0,信息产业部,http://www.miit.gov.cn,2024-10-09,
CN16-1656/TJ,月球基地建设技术,建筑工程,空天技术,1,2023/11/12,外太空建筑设计公司,月球建设战队,已受理,630000,合格,外太空建筑科技公司,结构实验,外太空建筑设计公司,2023-012,空天技术,V1.0,中国建筑新闻网,http://www.chinaarchitecture.com,2024-10-09,
CN17-1857/TJ,小型无人机航拍应用,应用开发,空天技术,2,2022/12/1,无人机技术研究中心,电力装备公司,完成,410000,合格,无人机科技公司,用户测试,无人机技术研究中心,2023-013,空天技术,V1.0,科技创新网,http://www.innovation.gov.cn,2024-10-09,
CN18-1108/TJ,深地探测技术,探测技术,空天技术,1,2023/12/15,地球深部探索中心,新能源研究所,待审,310100,待审,地球科学科技公司,现场勘探,地球深部探索中心,2023-014,空天技术,V1.0,中国地质调查局,http://www.cgs.gov.cn,2024-10-09,
CN19-1879/TJ,星际通信技术研究,技术研发,空天技术,1,2023/10/1,银河通讯科技公司,星际公司,已受理,110000,合格,星际科技有限责任公司,实验室测试,银河通讯科技公司,2023-006,空天技术,V1.0,国家科技部,http://www.most.gov.cn/,2024-10-09,
CN20-1420/TJ,轨道卫星反应堆设计,系统设计,空天技术,2,2023/9/15,空间动力研究中心,无,完成,420000,合格,空间动力科技有限公司,计算机模拟,空间动力研究中心,2023-007,空天技术,V1.1,中国航天新闻网,http://www.spacechina.com/,2024-10-09,
CN12-3456/TJ,空间数据应用系统开发,系统开发,空天技术,1,2023/11/20,空间数据科技公司,数据环宇公司,正在进行,150000,待审,空间数据有限公司,软件开发,空间数据科技公司,2023-008,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN14-8130/TJ,载人航天舱安全检测,性能测试,空天技术,2,2023/5/13,航天安全技术研究院,航天发展公司,已完成,310000,合格,航天安全科技有限公司,测试评估,航天安全技术研究院,2023-009,空天技术,V1.2,国家航空航天局,http://www.cma.gov.cn/,2024-10-09,
CN16-1234/TJ,无人机空中交通管理系统,系统设计,空天技术,1,2023/6/30,无人机技术开发公司,航空交通公司,待审,440000,待审,无人机科技有限公司,模拟测试,无人机技术开发公司,2023-010,空天技术,V1.0,航天新闻网,http://www.spaceflightnews.com/,2024-10-09,
CN18-5678/TJ,量子通信在空天技术的应用,技术研发,空天技术,1,2023/8/25,量子网络研究所,未来科技公司,已受理,430000,合格,量子科技有限公司,实验室测试,量子网络研究所,2023-011,空天技术,V1.0,量子科技期刊,http://www.quantumjournal.com/,2024-10-09,
CN20-9101/TJ,深空探测任务规划算法,算法开发,空天技术,2,2023/2/22,深空任务设计有限公司,航空任务研究中心,完成,540000,合格,深空科技公司,算法验证,深空任务设计有限公司,2023-012,空天技术,V1.0,科技进步与对策,http://www.sta.org.cn/,2024-10-09,
CN22-2345/TJ,先进火箭推进系统开发,系统设计,空天技术,1,2023/7/19,新时代火箭科技公司,航天推进研究中心,正在进行,490000,待审,新时代科技有限公司,实验室测试,新时代火箭科技公司,2023-013,空天技术,V1.0,航天科技研究院,http://www.aerospaceinst.com/,2024-10-09,
CN24-6813/TJ,太阳能航空器设计,工程设计,空天技术,2,2023/4/30,绿色航空航天公司,无,已完成,370000,合格,绿色航空科技有限公司,设计评审,绿色航空航天公司,2023-014,空天技术,V1.0,绿色科技论坛,http://www.greentechforum.org/,2024-10-09,
CN26-1112/TJ,新型光电传感器开发,传感器开发,空天技术,1,2023/9/25,光电科技有限公司,无,已受理,110000,合格,光电技术公司,实验室测试,光电科技有限公司,2023-006,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN28-1314/TJ,电磁波遥感测量技术,测量技术,空天技术,2,2023/7/18,空间信息研究院,无,完成,410000,合格,空间科技公司,数据分析,空间信息研究院,2023-007,空天技术,V1.2,中国科技网,http://www.chinatechnews.com,2024-10-09,
CN30-1516/TJ,空间态势感知技术,信息监测,空天技术,1,2023/10/4,国家战略研究中心,无,正在进行,420000,待审,战略科技公司,模拟实验,国家战略研究中心,2023-008,空天技术,V1.0,中国日报,http://www.chinadaily.com.cn,2024-10-09,
CN10-1773/TJ,无人机遥感数据处理方法,数据处理,空天技术,2,2023/8/15,无人机智能技术股份公司,无,已完成,450000,合格,无人机科技公司,数据分析,无人机智能技术股份公司,2023-009,空天技术,V1.1,电商科技观察,http://www.eleconomy.com,2024-10-09,
CN10-1782/TJ,海洋探测卫星通信系统,通信系统,空天技术,1,2023/11/1,海洋技术研究所,无,待审,370000,待审,海洋科技公司,实地测试,海洋技术研究所,2023-010,空天技术,V1.0,科技探索网,http://www.technoexplore.com,2024-10-09,
CN10-1819/TJ,空间激光通信技术,通信技术,空天技术,2,2023/9/30,宇航科技有限公司,科技大学,正在进行,510000,合格,宇航科技公司,实验室测试,宇航科技有限公司,2023-011,空天技术,V1.0,光明日报,http://www.gmw.cn,2024-10-09,
CN10-1815/TJ,低轨卫星系统集成技术,系统集成,空天技术,1,2023/10/20,低轨卫星科技有限公司,无,已受理,230000,合格,卫星科技公司,系统测试,低轨卫星科技有限公司,2023-012,空天技术,V1.0,新视野网,http://www.newhorizons.cn,2024-10-09,
CN10-1785/TJ,空间微波成像系统,成像系统,空天技术,2,2023/12/3,微波科技公司,高等院校,正在进行,540000,合格,微波成像科技有限公司,样机测试,微波科技公司,2023-013,空天技术,V1.0,搜狐科技,http://tech.sohu.com,2024-10-09,
CN10-1710/TJ,载人航天技术研究,航天研究,空天技术,1,2023/11/15,航天系统开发有限公司,无,已完成,610000,合格,航天科技公司,实验室测试,航天系统开发有限公司,2023-014,空天技术,V1.3,人民网,http://www.people.com.cn,2024-10-09,
CN10-1787/TJ,空间碎片监测与清除技术,监测与清除,空天技术,1,2023/10/1,国防科技大学,清华大学,已受理,430000,合格,国防科技公司,卫星监测,国防科技大学,2023-006,空天技术,V1.0,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
CN10-1742/TJ,新型卫星通信技术,通信系统,空天技术,2,2023/9/15,中星科技有限公司,极光网络公司,完成,120000,合格,中星通信集团,实验室测试,中星科技有限公司,2023-007,空天技术,V2.0,中国科技新闻网,http://www.cast.cn/,2024-10-09,
CN10-1813/TJ,无人机空中加油技术,系统设计,空天技术,1,2023/11/5,航空航天科学院,无,待审,410000,待审,航空科技公司,模拟测试,航空航天科学院,2023-008,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1790/TJ,航天器材料研究,材料科学,空天技术,2,2023/8/15,航天材料研究所,无,已完成,330000,合格,航天科技有限公司,实验室测试,航天材料研究所,2023-009,空天技术,V1.1,航空航天技术网,http://www.spaceflightnews.net/,2024-10-09,
CN10-1773/TJ,激光遥感技术应用,遥感技术,空天技术,1,2023/7/22,中国遥感局,航天信息技术公司,正在进行,510000,待审,遥感科技公司,现场测试,中国遥感局,2023-010,空天技术,V1.0,中国空间技术网,http://www.spacetechnews.com/,2024-10-09,
CN10-1782/TJ,月球基地建设技术,工程技术,空天技术,1,2023/10/20,月球探索研发中心,火星探索技术公司,待审,650000,待审,月球科技有限公司,土壤分析,月球探索研发中心,2023-011,空天技术,V1.0,中国科学技术协会,http://www.cast.org.cn/,2024-10-09,
CN10-1819/TJ,载人航天器生命保障系统,系统开发,空天技术,2,2023/11/10,航天工程公司,中国空间站公司,已受理,360000,合格,航天技术公司,理论分析,航天工程公司,2023-012,空天技术,V1.1,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
CN10-1815/TJ,新型火箭推进技术,推进系统,空天技术,1,2023/10/30,中航工业股份有限公司,航天推进技术公司,完成,450000,合格,航天动力科技有限公司,实验室测试,中航工业股份有限公司,2023-013,空天技术,V1.0,航空航天研究院,http://www.aeronautics.org.cn/,2024-10-09,
CN10-1785/TJ,新一代高性能卫星,产品开发,空天技术,2,2023/11/20,中国卫星公司,无,待审,310000,待审,卫星科技公司,原型设计,中国卫星公司,2023-014,空天技术,V1.0,中国航天科技集团,http://www.space.gov.cn/,2024-10-09,
CN10-1710/TJ,低空无人机自主导航技术,系统设计,空天技术,1,2023/10/1,低空无人机开发公司,无人机创新科技有限公司,已受理,510000,合格,低空飞行科技公司,实验室测试,低空无人机开发公司,2023-006,空天技术,V1.0,四川省科技厅,http://www.science.gov.cn/,2024-10-09,
CN10-1787/TJ,超高空平台自主通信技术,通信系统,空天技术,2,2023/11/15,超高空科技研究中心,超高空通信公司,正在进行,420000,待审,超高空平台科技有限公司,仿真测试,超高空科技研究中心,2023-007,空天技术,V1.2,湖北省科技厅,http://hubei.gov.cn/,2024-10-09,
CN10-1742/TJ,极轨气象卫星影像处理系统,图像处理,空天技术,1,2023/12/5,气象技术研究所,气象卫星科技公司,已完成,110000,合格,国家气象局,数据分析,气象技术研究所,2023-008,空天技术,V1.0,中国气象局,http://www.cma.gov.cn/,2024-10-09,
CN10-1813/TJ,太空资源勘探技术,探测技术,空天技术,2,2023/9/25,太空探索公司,宇航资源开发公司,已受理,450000,合格,太空资源科技有限公司,客户现场测试,太空探索公司,2023-009,空天技术,V1.1,广西省科技厅,http://www.gxst.gov.cn/,2024-10-09,
CN10-1790/TJ,火星探测器热管理系统,工程设计,空天技术,1,2023/8/12,火星探索工程团队,宇宙工程科技公司,正在进行,370000,待审,火星科技有限公司,实验室测试,火星探索工程团队,2023-010,空天技术,V1.0,中国航空航天科技集团,http://www.casc.com.cn/,2024-10-09,
CN10-1773/TJ,卫星星座规划优化技术,系统优化,空天技术,2,2023/7/8,卫星网络技术研究所,卫星系统有限公司,已完成,410000,合格,卫星科技局,仿真模型,卫星网络技术研究所,2023-011,空天技术,V1.2,河南省科技厅,http://www.henan.gov.cn/,2024-10-09,
CN10-1782/TJ,空间生命支持系统研究,系统设计,空天技术,1,2023/9/30,生命科学技术研究所,生态环境科技公司,已受理,330000,合格,空间生命科技有限公司,原型测试,生命科学技术研究所,2023-012,空天技术,V1.0,浙江省科技厅,http://www.zj.gov.cn/,2024-10-09,
CN10-1819/TJ,无人机气象数据采集系统,数据采集,空天技术,1,2023/11/22,气象数据科技公司,无人机应用研究所,正在进行,140000,待审,气象监测局,现场测试,气象数据科技公司,2023-013,空天技术,V1.0,山西省科技厅,http://www.shanxi.gov.cn/,2024-10-09,
CN10-1815/TJ,自动化遥感基地建设技术,基础设施,空天技术,2,2023/6/15,遥感基础设施公司,新型基础设施开发公司,已完成,540000,合格,遥感技术局,建设现场评估,遥感基础设施公司,2023-014,空天技术,V1.1,西藏自治区科技厅,http://www.xizang.gov.cn/,2024-10-09,
CN10-1785/TJ,量子通信卫星技术,系统设计,空天技术,1,2023/11/1,量子科技有限公司,量子网络研究院,已受理,110000,合格,量子通信科技公司,实验室测试,量子科技有限公司,2023-006,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1710/TJ,无人机空中加油技术,性能测试,空天技术,2,2023/9/15,无人机研究所,航空动力科技公司,完成,410000,合格,无人机科技有限公司,风洞实验,无人机研究所,2023-007,空天技术,V1.1,航空航天博客,http://www.aerospaceblog.com,2024-10-09,
CN10-1787/TJ,低空空域管理技术,数据处理,空天技术,1,2023/10/5,空域管理研究中心,城市空中交通公司,正在进行,500000,待审,城市空域科技公司,数据分析,空域管理研究中心,2023-008,空天技术,V1.0,空中交通管理局,http://www.atm.gov.cn,2024-10-09,
CN10-1742/TJ,空间碎片监测系统,监测系统,空天技术,2,2023/7/25,空间科技股份有限公司,宇航科学研究院,已完成,120000,合格,太空监测公司,实地测试,空间科技股份有限公司,2023-009,空天技术,V2.0,中国科技网,http://www.cstec.net,2024-10-09,
CN10-1813/TJ,3D打印火箭部件,部件制造,空天技术,1,2023/8/20,先进制造技术公司,航天工程设计院,已受理,310000,合格,航天制造公司,实验室测试,先进制造技术公司,2023-010,空天技术,V1.0,新华网,http://www.news.cn,2024-10-09,
CN10-1790/TJ,火星探测动力系统,动力系统,空天技术,2,2023/5/30,火星探测技术公司,空间探测研究院,完成,440000,合格,火星科技公司,实地测试,火星探测技术公司,2023-011,空天技术,V1.0,中国航天新闻网,http://www.space-news.cn,2024-10-09,
CN10-1790/TJ,空间植物生长系统,生物技术,空天技术,1,2023/8/15,航天生物技术研究所,生物科技公司,正在进行,370000,待审,航天生物公司,实验室测试,航天生物技术研究所,2023-012,空天技术,V1.0,中国农业科技网,http://www.agri-tech.cn,2024-10-09,
CN10-1800/TJ,微型卫星组网技术,网络系统,空天技术,2,2023/9/18,卫星网络技术股份有限公司,卫星通信研究院,已完成,220000,合格,卫星科技公司,网络测试,卫星网络技术股份有限公司,2023-013,空天技术,V1.1,航天科技网,http://www.space-tech.cn,2024-10-09,
CN10-1730/TJ,星际通信技术,通信系统,空天技术,1,2023/11/20,星际科技有限公司,宇宙信息研究院,待审,120000,待审,星际通信技术公司,实验室测试,星际科技有限公司,2023-014,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1820/TJ,载人航天技术研究,系统研究,空天技术,2,2023/4/4,载人航天科技公司,航天工程研究院,完成,150000,合格,航天人类科技公司,实地测试,载人航天科技公司,2023-015,空天技术,V1.1,中国航天新闻网,http://www.space-news.cn,2024-10-09,
CN10-1690/TJ,低轨卫星导航技术,系统设计,空天技术,1,2023/10/1,卫星技术研究公司,智能导航有限公司,已受理,110000,合格,卫星导航科技公司,仿真测试,卫星技术研究公司,2023-006,空天技术,V1.0,中国航天科技集团,http://www.spacechina.com,2024-10-09,
CN10-1650/TJ,火星探测器通信系统研究,系统研发,空天技术,2,2023/10/15,火星探索中心,深空通信公司,完成,410000,合格,火星科技公司,模拟测试,火星探索中心,2023-007,空天技术,V1.0,中国科学院,http://www.cas.cn,2024-10-09,
CN10-1850/TJ,先进无人机编队技术,系统设计,空天技术,1,2023/9/25,无人机研发中心,飞翔科技有限公司,处理中,520000,待审,无人机科技公司,实验室测试,无人机研发中心,2023-008,空天技术,V1.2,国家无人机发展协会,http://www.uav.org.cn,2024-10-09,
CN10-1100/TJ,空间垃圾捕获系统,工程技术,空天技术,2,2023/11/5,航天清洁技术公司,宇宙环保有限责任公司,已完成,150000,合格,空间环保科技公司,系统测试,航天清洁技术公司,2023-009,空天技术,V2.0,中国宇航科学技术研究院,http://www.casad.ac.cn,2024-10-09,
CN10-1870/TJ,超视距空战模拟系统,仿真模拟,空天技术,1,2023/12/1,战斗机模拟技术公司,未来战斗技术研究所,待审,220000,待审,战斗模拟科技公司,虚拟现实测试,战斗机模拟技术公司,2023-010,空天技术,V1.1,中国空军航空大学,http://www.cafuc.edu.cn,2024-10-09,
CN10-1420/TJ,先进高能材料研发,材料科学,空天技术,1,2023/11/20,航空材料研究所,航天新材料公司,已受理,330000,合格,高级材料科技有限公司,实验室测试,航空材料研究所,2023-011,空天技术,V1.0,中国材料研究院,http://www.cmateria.org.cn,2024-10-09,
CN11-2791/TJ,小型卫星发射系统研究,系统设计,空天技术,2,2023/10/30,航天发射公司,新兴卫星科技公司,正在进行,130000,合格,小卫星科技公司,现场测试,航天发射公司,2023-012,空天技术,V1.0,中国航天局,http://www.cnsa.gov.cn,2024-10-09,
CN12-3652/TJ,载人航天安全系统,安全系统,空天技术,1,2023/10/20,航天安全研究中心,宇航安全科技公司,已完成,640000,合格,航天安全科技有限公司,综合测试,航天安全研究中心,2023-013,空天技术,V1.0,中国载人航天工程办公室,http://www.cmse.gov.cn,2024-10-09,
CN13-4938/TJ,空天数据融合平台,数据处理,空天技术,2,2023/12/15,空天数据研究所,数据科技有限公司,待审,450000,待审,数据融合科技公司,软件测试,空天数据研究所,2023-014,空天技术,V1.0,中国信息产业部,http://www.miit.gov.cn,2024-10-09,
CN14-5023/TJ,导航卫星技术优化算法,系统设计,空天技术,1,2023/9/15,宇航卫星技术有限公司,跨星科技,已受理,440100,合格,卫星科技公司,软件仿真,宇航卫星技术有限公司,2023-006,空天技术,V1.0,中国空间技术研究院,http://www.casic.cn,2024-10-09,
CN15-6174/TJ,光学遥感成像技术,系统设计,空天技术,2,2023/5/20,未来遥感科技有限公司,国际空间公司,完成,120000,合格,光学影像科技公司,实地测试,未来遥感科技有限公司,2023-007,空天技术,V1.1,国家遥感中心,http://www.nrscc.gov.cn,2024-10-09,
CN16-7285/TJ,低轨卫星网络架构,网络设计,空天技术,1,2023/10/1,星链网络企业,星际联合体,进行中,310100,待审,星链科技公司,模拟环境测试,星链网络企业,2023-008,空天技术,V1.2,未来网络科技院,http://www.futurespace.com,2024-10-09,
CN17-6996/TJ,火星探测器设计方案,系统设计,空天技术,1,2023/8/25,火星探索研究所,宇宙之门公司,已完成,460000,合格,火星科技有限公司,实验室研究,火星探索研究所,2023-009,空天技术,V1.0,中国航天新闻网,http://www.spaceinfo.cn,2024-10-09,
CN18-9487/TJ,空天通信技术开发,系统开发,空天技术,2,2023/11/5,全球卫星通信公司,连接未来科技,已受理,450100,合格,全球通信科技公司,系统测试,全球卫星通信公司,2023-010,空天技术,V1.1,国家电子信息产业发展研究院,http://www.miit.gov.cn,2024-10-09,
CN19-10548/TJ,空间碎片监测系统,监测系统,空天技术,1,2023/7/30,宇宙安全技术研究院,天文科技有限公司,完成,650000,合格,宇宙监测系统公司,数据分析,宇宙安全技术研究院,2023-011,空天技术,V1.2,中国航天报,http://www.spaceweekly.com,2024-10-09,
CN20-11659/TJ,气象卫星数据获取与分析,数据处理,空天技术,2,2023/10/20,气象卫星科技中心,高傅科技,已受理,350000,合格,气象数据科技公司,数据处理,气象卫星科技中心,2023-012,空天技术,V1.0,国家气象局,http://www.cma.gov.cn,2024-10-09,
CN10-1773/TJ,无人机空域管理系统,管理系统,空天技术,2,2023/8/15,无人机科技有限公司,航空智能公司,正在进行,420000,待审,无人机管理系统公司,仿真测试,无人机科技有限公司,2023-013,空天技术,V1.0,无人机杂志,http://www.dronejournal.com,2024-10-09,
CN10-1782/TJ,深空通信技术突破,系统开发,空天技术,1,2023/9/30,深空通信公司,光通信科技研究所,已完成,610000,合格,深空通信科技有限公司,现场实验,深空通信公司,2023-014,空天技术,V1.1,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1819/TJ,空间交通系统设计,系统设计,空天技术,1,2023/10/5,空间技术研究院,月球探索科技公司,正在进行,110000,待审,空间科技有限公司,计算机仿真,空间技术研究院,2023-006,空天技术,V1.0,中国航天新闻,http://www.spacechina.com/,2024-10-09,
