系统名称（字符型）,最大平飞速度（数值型）,单位,最小速度（数值型）,单位.1,实用升限（数值型）,单位.2,最大/最低使用高度（字符型）,最大续航时间（数值型）,单位.3,飞行半径（数值型）,单位.4,最小转弯半径（数值型）,单位.5,最大爬升率（数值型）,单位.6,最大下降率（数值型）,单位.7,起飞着陆性能（字符型）,最大任务载重（数值型）,单位.8,几何尺寸（字符型）,目标定位精确度（字符型）,飞行姿态平稳度（字符型）,采集来源,来源链接,采集时间,备注,
无人空中加油机,4,马赫,0.7,马赫,25,公里,20公里/0公里,8,小时,450,公里,110,米,230,米/秒,180,米/秒,起飞距离：350米，降落距离：400米,700,公斤,长：10米，宽：5米，高：3.2米,±1.3米,稳定,美国空军,https://www.af.mil,2024-10-09,,
多用途空天作战平台,2.8,马赫,0.4,马赫,60,公里,35公里/15公里,9,小时,500,公里,150,米,300,米/秒,250,米/秒,起飞距离：500米，降落距离：600米,1200,公斤,长：11米，宽：5.5米，高：4米,±2.5米,稳定,未来科技前沿,http://www.futuretechfront.com,2024-10-09,,
深空探测飞行器,16,马赫,0.4,马赫,200,公里,120公里/0公里,24,小时,1200,公里,250,米,400,米/秒,300,米/秒,起飞距离：800米，降落距离：1000米,2000,公斤,长：15米，宽：7米，高：4米,±3米,稳定,中国航天科技集团,http://www.casc.gov.cn,2024-10-09,,
低空侦察无人机,12,马赫,0.1,马赫,15,公里,10公里/0公里,10,小时,300,公里,60,米,150,米/秒,120,米/秒,起飞距离：200米，降落距离：300米,250,公斤,长：5米，宽：3米，高：1.5米,±0.5米,稳定,国际无损检测协会,http://www.iuhv.org,2024-10-09,,
新一代战斗机,35,马赫,0.6,马赫,80,公里,100公里/5公里,10,小时,1300,公里,300,米,500,米/秒,350,米/秒,起飞距离：700米，降落距离：800米,3000,公斤,长：18米，宽：8米，高：5米,±2.5米,稳定,航空工业集团,http://www.aigroup.com.cn,2024-10-09,,
环地轨道飞行器,28,马赫,0.7,马赫,550,公里,2000公里/200公里,72,小时,1500,公里,400,米,600,米/秒,450,米/秒,起飞距离：1500米，降落距离：1600米,2500,公斤,长：25米，宽：10米，高：6米,±4米,稳定,空间研究中心,http://www.space-research.org,2024-10-09,,
空中加油机,0.8,马赫,0.2,马赫,15,公里,12公里/0公里,5,小时,800,公里,100,米,180,米/秒,120,米/秒,起飞距离：600米，降落距离：700米,1500,公斤,长：20米，宽：15米，高：5米,±2米,稳定,中国航空工业集团,http://www.avic.com,2024-10-09,,
气象监测飞行器,10,马赫,0.1,马赫,25,公里,18公里/0公里,20,小时,600,公里,90,米,160,米/秒,140,米/秒,起飞距离：400米，降落距离：500米,300,公斤,长：6米，宽：4米，高：2米,±1米,平稳,气象局,http://www.cma.gov.cn,2024-10-09,,
城际高超音速列车,29,马赫,0.6,马赫,25,公里,5公里/0公里,15,小时,2000,公里,500,米,450,米/秒,300,米/秒,起飞距离：800米，降落距离：1000米,5000,公斤,长：30米，宽：10米，高：6米,±5米,稳定,国际高超音速技术研究会,http://www.ihs-ht.org,2024-10-09,,
空间无线电通信卫星,15,马赫,0.3,马赫,900,公里,1000公里/200公里,60,小时,5000,公里,600,米,800,米/秒,600,米/秒,起飞距离：1000米，降落距离：1200米,1200,公斤,长：20米，宽：8米，高：5米,±0.8米,稳定,中国国家航天局,http://www.cnsa.gov.cn,2024-10-09,,
轨道监测卫星系统,7.5,马赫,0.1,马赫,600,公里,2000公里/0公里,24,小时,1500,公里,500,米,400,米/秒,300,米/秒,起飞距离：N/A，降落距离：N/A,2500,公斤,长：15米，宽：10米，高：5米,±5米,稳定,中国卫星导航系统管理办公室,http://www.chinasatellite.net,2024-10-09,,
新一代空天对抗系统,22.5,马赫,0.4,马赫,120,公里,100公里/0公里,10,小时,800,公里,180,米,350,米/秒,240,米/秒,起飞距离：700米，降落距离：800米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±1米,稳定,中国人民解放军科学技术委员会,http://www.plast.org.cn,2024-10-09,,
战略侦察无人机,18,马赫,0.25,马赫,20,公里,15公里/0公里,14,小时,450,公里,120,米,280,米/秒,190,米/秒,起飞距离：400米，降落距离：450米,700,公斤,长：9米，宽：4.5米，高：2.3米,±1米,稳定,无人机技术与应用协会,http://www.uavtech.org.cn,2024-10-09,,
长航时观测气球系统,0.15,马赫,0.02,马赫,30,公里,30公里/1公里,72,小时,100,公里,1000,米,5,米/秒,8,米/秒,起飞距离：N/A，降落距离：N/A,100,公斤,直径：5米，高：6米,±10米,稳定,航空航天实验室,http://www.aerospace-lab.com,2024-10-09,,
下一代空中加油机,6,马赫,0.35,马赫,100,公里,15公里/0公里,12,小时,1200,公里,200,米,310,米/秒,230,米/秒,起飞距离：500米，降落距离：600米,6000,公斤,长：25米，宽：10米，高：4米,±3米,非常稳定,国际空中飞行协会,http://www.iaf.org,2024-10-09,,
远程科学探索飞行器,15,马赫,0.2,马赫,90,公里,85公里/5公里,20,小时,600,公里,150,米,250,米/秒,180,米/秒,起飞距离：400米，降落距离：500米,900,公斤,长：13米，宽：6米，高：3米,±2米,优秀,现代航天科技公司,http://www.modernspace.com,2024-10-09,,
应急救援航空器,5,马赫,0.15,马赫,15,公里,12公里/0公里,5,小时,200,公里,90,米,150,米/秒,100,米/秒,起飞距离：300米，降落距离：300米,300,公斤,长：6米，宽：3米，高：1.8米,±2.5米,稳定,紧急救援科技协会,http://www.ertech.org,2024-10-09,,
前沿空天科学实验器,12,马赫,0.3,马赫,70,公里,70公里/0公里,9,小时,550,公里,160,米,320,米/秒,240,米/秒,起飞距离：500米，降落距离：600米,800,公斤,长：10米，宽：4米，高：3米,±1米,稳定,国家航天局,http://www.cnspace.gov.cn,2024-10-09,,
新一代空天侦察系统,28,马赫,0.3,马赫,120,公里,50公里/0公里,10,小时,600,公里,160,米,320,米/秒,210,米/秒,起飞距离：500米，降落距离：700米,900,公斤,长：9米，宽：4.5米，高：3.5米,±1米,稳定,航空航天局,https://www.nasa.gov,2024-10-09,,
无人机货运系统,15,马赫,0.1,马赫,30,公里,15公里/0公里,20,小时,300,公里,75,米,180,米/秒,120,米/秒,起飞距离：250米，降落距离：300米,250,公斤,长：6米，宽：3米，高：1.5米,±2米,稳定,未来科技公司,https://www.futuretech.com,2024-10-09,,
超音速战斗机,35,马赫,0.4,马赫,100,公里,80公里/10公里,5,小时,1000,公里,140,米,360,米/秒,300,米/秒,起飞距离：800米，降落距离：900米,1600,公斤,长：14米，宽：7米，高：4米,±2.5米,高度不稳,全球防务网,https://www.defenseworld.com,2024-10-09,,
次声波无人侦察机,8,马赫,0.1,马赫,40,公里,10公里/0公里,24,小时,350,公里,90,米,150,米/秒,100,米/秒,起飞距离：200米，降落距离：250米,120,公斤,长：5米，宽：2米，高：1米,±3米,高度稳定,航空科学研究院,http://www.aerospace-research.org,2024-10-09,,
空天火箭发射系统,15,马赫,0.3,马赫,300,公里,200公里/0公里,2,小时,700,公里,225,米,500,米/秒,400,米/秒,起飞距离：1000米，降落距离：1200米,3000,公斤,长：20米，宽：8米，高：5米,±5米,稳定,空间探索公司,https://www.spacex.com,2024-10-09,,
高空监测气球系统,5,马赫,0.01,马赫,35,公里,25公里/0公里,72,小时,100,公里,300,米,50,米/秒,30,米/秒,起飞距离：150米，降落距离：180米,80,公斤,长：3米，宽：3米，高：1.5米,±4米,稳定,气象局,https://www.weather.gov,2024-10-09,,
高超声速探测器,22,马赫,0.6,马赫,150,公里,120公里/5公里,4,小时,800,公里,180,米,400,米/秒,350,米/秒,起飞距离：600米，降落距离：700米,850,公斤,长：12米，宽：6米，高：4.5米,±3米,稳定,国家航天局,https://www.space.com,2024-10-09,,
空天控制系统,10,马赫,0.2,马赫,70,公里,60公里/0公里,3,小时,400,公里,130,米,250,米/秒,200,米/秒,起飞距离：500米，降落距离：600米,600,公斤,长：8.5米，宽：4米，高：3米,±1米,稳定,现代控制工程,https://www.controleng.com,2024-10-09,,
智能空天侦察系统,28,马赫,0.4,马赫,70,公里,70公里/0公里,10,小时,600,公里,160,米,320,米/秒,210,米/秒,起飞距离：550米，降落距离：650米,1200,公斤,长：11米，宽：5.5米，高：3.2米,±1米,非常稳定,中国科学院空间科学研究中心,https://www.cssar.cn,2024-10-09,,
远程无人空天平台,22.5,马赫,0.3,马赫,60,公里,60公里/5公里,14,小时,550,公里,140,米,300,米/秒,180,米/秒,起飞距离：400米，降落距离：500米,750,公斤,长：9米，宽：4米，高：2.8米,±1.8米,稳定,航空航天综合研究所,https://www.aerospace.edu.cn,2024-10-09,,
回收式空天飞行器,27,马赫,0.6,马赫,90,公里,80公里/10公里,7,小时,800,公里,210,米,340,米/秒,225,米/秒,起飞距离：700米，降落距离：800米,1400,公斤,长：13米，宽：7米，高：4.5米,±2.5米,稳定,国际航天界,https://www.space.com,2024-10-09,,
低空飞行器,19,马赫,0.2,马赫,45,公里,20公里/0公里,16,小时,350,公里,90,米,230,米/秒,175,米/秒,起飞距离：400米，降落距离：450米,600,公斤,长：6米，宽：3米，高：2米,±0.8米,非常稳定,地面防空研究院,https://www.defense.gov.cn,2024-10-09,,
空天发射平台,24,马赫,0.5,马赫,100,公里,100公里/0公里,9,小时,750,公里,180,米,310,米/秒,220,米/秒,起飞距离：500米，降落距离：700米,900,公斤,长：14米，宽：6.5米，高：5米,±1米,稳定,工业和信息化部,https://www.miit.gov.cn,2024-10-09,,
未来空天载人飞行器,31,马赫,0.7,马赫,120,公里,150公里/20公里,11,小时,900,公里,230,米,400,米/秒,300,米/秒,起飞距离：750米，降落距离：850米,1600,公斤,长：15米，宽：8米，高：6米,±3米,稳定,国家航天局,https://www.cnsa.gov.cn,2024-10-09,,
虚拟空天系统,23,马赫,0.4,马赫,75,公里,75公里/5公里,13,小时,720,公里,170,米,290,米/秒,200,米/秒,起飞距离：500米，降落距离：600米,1100,公斤,长：12米，宽：5米，高：4米,±2米,稳定,科技部空天技术研究中心,https://www.most.gov.cn,2024-10-09,,
空天探索器,26,马赫,0.8,马赫,110,公里,140公里/30公里,12,小时,1000,公里,250,米,370,米/秒,320,米/秒,起飞距离：800米，降落距离：950米,2000,公斤,长：16米，宽：8.5米，高：7米,±3米,稳定,空天信息技术研究所,https://www.spaceinfo.gov.cn,2024-10-09,,
