试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
国际合作太空实验项目,京公网安备11010802088888号,GB/T 81213,国际空间实验室,合作项目,正在进行,第一阶段,多国合作,杨涛,国际航天合作办公室,航天国际中心,2023-11-01,2023-11-15,待定,2024-02-01,京公网安备11010802088888号,930875,国际项目,和谐太空科技有限公司,合作协议,中国,国际航天新闻,https://www.space.gov.cn,2024-10-09,
小型卫星平台性能验证实验,京公网安备11010802099999号,GB/T 03780,CubeSat卫星,小型卫星,完成,第三阶段,性能测试,黄志刚,小型卫星研究所,航天科技创新中心,2023-09-20,2023-10-01,2023-10-20,2023-10-25,京公网安备11010802099999号,930875,科研项目,小型航天技术公司,实验室数据,中国,航天科学网,http://www.space-science.cn,2024-10-09,
航空器飞行动态预测实验,京公网安备11010802033333号,GB/T 17281,智能飞行系统,智能系统,正在进行,第一阶段,技术验证,李华,航空器动态研究所,航空航天大学,2023-10-05,2023-10-20,待定,2024-01-12,京公网安备11010802033333号,930875,项目申报,航空智能科技有限公司,动态分析数据,中国,航空航天月刊,https://www.aeronautics.gov.cn,2024-10-09,
空天材料强度测试,京公网安备11010802012345号,GB/T 03789,新型合金材料,实验材料,完成,第一阶段,性能测试,赵鹏,航空材料研究所,国家材料实验室,2023-09-05,2023-09-10,2023-09-25,2023-09-30,京公网安备11010802012345号,930875,科研项目,航空材料科技公司,实验室数据,中国,科技日报,,2024-10-09,
小型无人机气动性能评估,京公网安备11010802067890号,GB/T 34037,小型无人机系统,无人机,正在进行,第二阶段,性能测试,王军,无人机研究院,国家无人机实验室,2023-10-01,2023-10-10,待定,2023-10-20,京公网安备11010802067890号,930875,项目申报,无人系统科技有限公司,现场测试数据,中国,无人机网,,2024-10-09,
空天监测系统校准实验,京公网安备11010802098765号,GB/T 17245,卫星遥感监测系统,遥感系统,完成,第一阶段,技术验证,刘娜,卫星技术研究所,国家卫星实验室,2023-11-15,2023-11-20,2023-11-30,2023-12-01,京公网安备11010802098765号,930875,科研项目,卫星科技公司,实验室数据,中国,科技部,,2024-10-09,
高温高压材料测试,京公网安备11010802123456号,GB/T 67812,高温材料研发系统,材料测试,正在进行,第二阶段,材料测试,于刚,材料科学与工程学院,国家高温实验室,2023-12-01,2023-12-10,待定,2024-01-05,京公网安备11010802123456号,930875,项目申报,高温科技有限公司,现场测试数据,中国,材料科技网,,2024-10-09,
遥控飞行器智能算法开发,京公网安备11010802134567号,GB/T 40378,智能飞行控制系统,控制系统,完成,第三阶段,算法测试,孙丽,智能飞行研究中心,国家智能实验室,2023-11-05,2023-11-10,2023-11-25,2023-12-01,京公网安备11010802134567号,930875,科研项目,飞行控制公司,算法测试数据,中国,人工智能网,,2024-10-09,
空间碎片监测实验,京公网安备11010802145678号,GB/T 78121,空间环境监测系统,监测系统,正在进行,第一阶段,技术验证,于磊,空间环境研究中心,国家空间监测中心,2023-11-20,2023-12-01,待定,2024-01-15,京公网安备11010802145678号,930875,项目申报,空间科技有限公司,现场监测数据,中国,航天新闻网,,2024-10-09,
载人航天任务准备探索,京公网安备11010802156789号,GB/T 72403,载人航天任务系统,任务系统,完成,第二阶段,任务准备,李飞,人航天飞行中心,国家航天实验室,2023-12-01,2023-12-05,2023-12-20,2024-01-01,京公网安备11010802156789号,930875,科研项目,航天科技公司,实验室数据,中国,航天科普网,,2024-10-09,
量子通信卫星技术验证,京公网安备11010802167890号,GB/T 03789,量子通信卫星,通信系统,正在进行,第三阶段,技术验证,黄涛,量子通信研究所,国家通信实验室,2023-12-10,2023-12-15,待定,2024-01-01,京公网安备11010802167890号,930875,项目申报,量子科技公司,现场测试数据,中国,量子网,,2024-10-09,
小卫星发射实验,京公网安备11010802178901号,GB/T 83724,小卫星系统,发射系统,完成,第一阶段,发射测试,胡哲,小卫星发射中心,国家卫星发射中心,2023-12-15,2023-12-20,2023-12-30,2024-01-05,京公网安备11010802178901号,930875,科研项目,小卫星科技公司,发射记录数据,中国,航天新时代,,2024-10-09,
空天航天器声学特性试验,京公网安备11010802189012号,GB/T 78121,空天飞行器,实验系统,完成,第一阶段,性能测试,赵强,航天声学研究院,国家声学实验室,2023-09-10,2023-10-01,2023-10-15,2023-10-20,京公网安备11010802189012号,930875,科研项目,声学科技公司,实验室数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
低轨卫星通信试验,京公网安备11010802056789号,GB/T 81212,卫星通信系统,通信系统,正在进行,第一阶段,技术验证,蔡哲,卫星通信研究所,国家通信实验室,2023-05-25,2023-06-15,待定,2024-02-01,京公网安备11010802056789号,930875,项目申报,通信发展有限公司,现场测试数据,中国,科学网,https://news.sciencenet.cn,2024-10-09,
月球表面材料抗压测试,京公网安备11010802067890号,GB/T 40312,月球探测器,探测系统,完成,第二阶段,材料测试,孙刚,月球探测中心,国家材料实验室,2023-08-01,2023-09-01,2023-09-20,2023-09-25,京公网安备11010802067890号,930875,科研项目,材料科技公司,实验室数据,中国,新华网,http://www.xinhuanet.com,2024-10-09,
超音速飞行器稳定性验证试验,京公网安备11010802078901号,GB/T 34038,超音速飞行器,实验系统,正在进行,第一阶段,技术验证,王磊,航空航天大学,国家飞行实验室,2023-07-15,2023-08-01,待定,2024-01-15,京公网安备11010802078901号,930875,项目申报,航空科技有限公司,现场测试数据,中国,科技部,https://www.most.gov.cn,2024-10-09,
空间站生命支持系统测试,京公网安备11010802089012号,GB/T 72478,空间站,实验系统,完成,第三阶段,系统测试,于刚,空间站技术研究所,国家宇航中心,2023-05-15,2023-06-10,2023-07-01,2023-07-05,京公网安备11010802089012号,930875,科研项目,空间科技有限公司,实验室数据,中国,中国日报,http://www.chinadaily.com.cn,2024-10-09,
太空垃圾探测与清除技术实验,京公网安备11010802090123号,GB/T 78032,太空清扫系统,环境管理系统,正在进行,第一阶段,技术验证,李华,太空研究院,国家太空安全中心,2023-08-05,2023-08-20,待定,2024-02-10,京公网安备11010802090123号,930875,项目申报,清洁太空科技公司,实地测试数据,中国,科学网,https://news.sciencenet.cn,2024-10-09,
空间探测器抗辐射性能试验,京公网安备11010802101234号,GB/T 34712,空间探测器,探测系统,完成,第二阶段,性能测试,张敏,空间技术研究院,国家核实验室,2023-10-10,2023-11-15,2023-11-30,2023-12-05,京公网安备11010802101234号,930875,科研项目,辐射科技公司,实验室数据,中国,中国科技网,http://www.chinascience.com,2024-10-09,
先进推力系统测试,京公网安备11010802112345号,GB/T 65582,新型推力系统,发动机系统,正在进行,第一阶段,性能测试,刘洋,国家航天局,航天推进实验室,2023-09-20,2023-10-15,待定,2024-01-05,京公网安备11010802112345号,930875,项目申报,推力科技有限公司,实验室数据,中国,航天新闻网,http://www.space-news.org,2024-10-09,
火星土壤分析实验,京公网安备11010802123456号,GB/T 58970,火星探测器,科学探测系统,完成,第三阶段,数据分析,王梅,火星研究所,国家土壤实验室,2023-06-30,2023-07-15,2023-08-10,2023-08-15,京公网安备11010802123456号,930875,科研项目,火星科技有限公司,实验室数据,中国,新华网,http://www.xinhuanet.com,2024-10-09,
激光通信系统优化测试,京公网安备11010802134567号,GB/T 03789,激光通信系统,通信系统,完成,第一阶段,性能测试,赵刚,中国科学院空间技术研究所,国家激光实验室,2023-09-12,2023-09-20,2023-10-05,2023-10-10,京公网安备11010802134567号,930875,科研项目,激光科技公司,实验室数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
空天飞行器材料强度测试,京公网安备11010802145678号,GB/T 67891,碳纤维复合材料,材料开发,正在进行,第二阶段,材料测试,钱楠,材料科学研究院,国家材料测试中心,2023-09-01,2023-09-15,待定,2023-09-30,京公网安备11010802145678号,930875,项目申报,先进材料公司,现场测试数据,中国,新华网,http://www.xinhuanet.com/,2024-10-09,
空间站载人系统测试,京公网安备11010802045678号,GB/T 78121,载人飞行系统,航天器,完成,第三阶段,飞行测试,李清,航天五院,中国载人航天工程办公室,2023-08-25,2023-09-05,2023-09-15,2023-09-20,京公网安备11010802045678号,930875,科研项目,航天服务公司,实验室数据,中国,科技部,https://www.most.gov.cn/,2024-10-09,
深空探测器探测能力评估,京公网安备11010802098765号,GB/T 81212,深空探测器,探测系统,正在进行,第一阶段,技术验证,周浩,深空探测研究院,空间科学研究所,2023-10-01,2023-10-05,待定,2023-10-15,京公网安备11010802098765号,930875,项目申报,空间探测科技公司,现场测试数据,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
高空飞行器气动性能测试,京公网安备11010802012345号,GB/T 40379,高空飞行器,飞行器,完成,第二阶段,性能测试,孙强,高空技术研究中心,空天科学研究所,2023-10-12,2023-10-20,2023-10-30,2023-11-01,京公网安备11010802012345号,930875,科研项目,空天科技公司,实验室数据,中国,航空航天网,https://www.aeroinfo.cn/,2024-10-09,
空间动力学实验,京公网安备11010802067890号,GB/T 03780,空间动力学系统,动力学系统,正在进行,第一阶段,动力学测试,高丽,宇航动力研究所,动力学研究中心,2023-10-15,2023-10-20,待定,2023-11-10,京公网安备11010802067890号,930875,项目申报,航天动力公司,实验室数据,中国,航天科技网,https://www.hbsaero.com/,2024-10-09,
高频通信系统测试,京公网安备11010802023456号,GB/T 13579,高频通信系统,通信系统,完成,第三阶段,技术验证,黄涛,中国航天科技集团公司,通信技术研究所,2023-09-30,2023-10-05,2023-10-15,2023-10-20,京公网安备11010802023456号,930875,科研项目,航天通信公司,实验室数据,中国,新华网,http://www.xinhuanet.com/,2024-10-09,
智能遥控技术测试,京公网安备11010802034567号,GB/T 72451,智能遥控系统,遥控系统,正在进行,第二阶段,功能测试,胡莉,智能控制研究所,国家智能实验室,2023-10-05,2023-10-10,待定,2023-10-22,京公网安备11010802034567号,930875,项目申报,智能科技有限公司,实验室数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
空天探测器性能分析,京公网安备11010802089012号,GB/T 11111,空天探测器,探测系统,完成,第一阶段,性能测试,花青,探测器技术研究院,国家探测中心,2023-09-18,2023-09-25,2023-10-05,2023-10-10,京公网安备11010802089012号,930875,科研项目,探测科技公司,实验室数据,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
月球基地环境适应性实验,京公网安备11010802065432号,GB/T 78121,月球探测系统,科研系统,完成,第一阶段,实验测试,赵雷,月球探索研究中心,中国宇航科研院,2023-05-01,2023-05-15,2023-06-05,2023-06-10,京公网安备11010802065432号,930875,科研项目,宇航科技有限公司,实验室数据,中国,中国科技新闻网,,2024-10-09,
超低温合金材料性能测试,京公网安备11010802078901号,GB/T 81212,超低温材料系统,材料系统,正在进行,第二阶段,性能评估,李娜,材料科学研究所,国家金属材料测试中心,2023-06-20,2023-07-01,待定,2023-07-15,京公网安备11010802078901号,930875,项目申报,金属科技有限公司,现场实验数据,中国,科技日报,,2024-10-09,
地球观测系统精确度评估,京公网安备11010802011223号,GB/T 12172,地球监测卫星,监测系统,完成,第一阶段,技术评估,王强,地理信息中心,国家卫星气象中心,2023-07-10,2023-07-20,2023-08-30,2023-09-01,京公网安备11010802011223号,930875,科研项目,地理科技有限公司,数据采集记录,中国,卫星气象网,,2024-10-09,
无人机群协同飞行测试,京公网安备11010802032367号,GB/T 72483,无人机集群系统,飞行系统,正在进行,第三阶段,技术验证,曹建,无人机研究所,中国航空技术集团公司,2023-08-15,2023-09-01,待定,2023-09-20,京公网安备11010802032367号,930875,项目申报,无人机科技公司,现场测试数据,中国,无人机网,,2024-10-09,
多频段遥感成像系统试验,京公网安备11010802032368号,GB/T 11272,遥感成像系统,成像系统,完成,第一阶段,图像处理,高冉,遥感技术研究院,华南理工大学,2023-09-05,2023-09-20,2023-10-15,2023-10-20,京公网安备11010802032368号,930875,科研项目,遥感科技有限公司,实验室测试数据,中国,科技部,,2024-10-09,
月球探测器着陆技术评估,京公网安备11010802032369号,GB/T 13579,月球着陆器系统,探测系统,完成,第二阶段,技术验证,刘辉,月球开发中心,中国科学院,2023-07-25,2023-08-05,2023-08-30,2023-09-01,京公网安备11010802032369号,930875,科研项目,空间科技公司,实地测试记录,中国,中国科学报,,2024-10-09,
激光通信卫星实验,京公网安备11010802032370号,GB/T 28180,激光通信系统,通信系统,正在进行,第一阶段,技术测试,罗晓,光通信技术研究所,航天通信科研院,2023-09-10,2023-09-25,待定,2023-10-01,京公网安备11010802032370号,930875,项目申报,激光科技有限公司,实验室数据,中国,科技部,,2024-10-09,
空间站结构稳定性测试,京公网安备11010802032371号,GB/T 35791,国际空间站,结构系统,完成,第二阶段,安全测试,于刚,航天结构研究所,中国空间站建设办公室,2023-10-01,2023-10-05,2023-10-15,2023-10-16,京公网安备11010802032371号,930875,科研项目,航天科技公司,现场测试记录,中国,科技部,,2024-10-09,
低轨卫星组网实验,京公网安备11010802032372号,GB/T 81812,低轨网络卫星,通信系统,正在进行,第三阶段,系统测试,林翼,卫星网络研究中心,中国卫星通信公司,2023-10-05,待定,待定,待定,京公网安备11010802032372号,930875,项目申报,卫星科技有限公司,实验室分析数据,中国,卫星网,,2024-10-09,
多光谱卫星成像实验,京公网安备11010802032373号,GB/T 83765,遥感卫星系统,成像系统,完成,第二阶段,数据收集,张强,空间信息研究所,国家遥感中心,2023-07-15,2023-08-05,2023-08-25,2023-09-01,京公网安备11010802032373号,930875,科研项目,宇宙科技有限公司,卫星数据,中国,中国科学院,https://www.cas.cn/,2024-10-09,
太空探测器热防护实验,京公网安备11010802032374号,GB/T 55897,热防护系统,防护系统,正在进行,第一阶段,材料测试,王刚,航天材料研究所,国家航天实验中心,2023-09-10,2023-10-01,待定,2024-01-15,京公网安备11010802032374号,930875,项目申报,航天新材料公司,现场测试数据,中国,新科技,https://www.newscitech.com/,2024-10-09,
小型卫星组网实验,京公网安备11010802032375号,GB/T 13579,卫星通信系统,通信系统,完成,第三阶段,网络测试,李娜,卫星通信联合实验室,国家通信研究院,2023-06-20,2023-07-15,2023-08-10,2023-08-15,京公网安备11010802032375号,930875,科研项目,卫星网络科技有限公司,实地测试数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
高分辨率地球观测实验,京公网安备11010802032376号,GB/T 40378,地球观测卫星,成像系统,完成,第一阶段,数据收集,于刚,地球科学研究院,国家地球观测中心,2023-08-05,2023-08-20,2023-09-05,2023-09-10,京公网安备11010802032376号,930875,项目申报,地球科技有限公司,卫星数据,中国,央视网,https://www.cctv.com/,2024-10-09,
地面反射特性实验,京公网安备11010802098765号,GB/T 13579,反射特性分析系统,测试系统,正在进行,第二阶段,特性测试,王敏,空间防御研究所,国家科技实验室,2023-09-01,2023-09-20,待定,2024-02-01,京公网安备11010802098765号,930875,科研项目,防御科技公司,实验室数据,中国,科学技术部,https://www.most.gov.cn/,2024-10-09,
新型轨道系统动力学测试,京公网安备11010802123456号,GB/T 11111,轨道动力学系统,动力学测试系统,完成,第一阶段,性能测试,赵强,国际空间研究中心,国家航天局,2023-09-01,2023-09-15,2023-09-30,2023-10-05,京公网安备11010802123456号,930875,科研项目,空间技术公司,实验室数据,中国,中国科技网,http://www.cSTnet.cn,2024-10-09,
太空辐射防护材料评估,京公网安备11010802134567号,GB/T 22222,辐射防护材料系统,材料测试系统,正在进行,第三阶段,材料测试,周燕,材料科学研究所,科学技术部,2023-08-25,2023-09-20,待定,2024-01-05,京公网安备11010802134567号,930875,项目申报,空间防护公司,实地测试数据,中国,科技日报,https://www.stdaily.com,2024-10-09,
卫星导航系统精度验证实验,京公网安备11010802145678号,GB/T 33333,高精度导航系统,导航技术,完成,第二阶段,技术验证,李丽,导航技术研究所,国家航天组织,2023-07-01,2023-08-05,2023-08-25,2023-08-30,京公网安备11010802145678号,930875,技术研发,高精导航科技公司,实验室数据,中国,新华网,http://www.xinhuanet.com,2024-10-09,
次轨道飞行器回收实验,京公网安备11010802156789号,GB/T 44444,次轨道飞行器,返回实验,待定,第一阶段,技术验证,马超,次轨道探索中心,国家航天科技中心,2023-10-11,待定,待定,待定,京公网安备11010802156789号,930875,科研项目,飞行技术有限公司,研究设计数据,中国,航天报,http://www.space.com,2024-10-09,
空间站生命保障系统评估实验,京公网安备11010802167890号,GB/T 55555,生命保障系统,保障系统,正在进行,第四阶段,系统测试,孙海,空间科学研究院,中国航天总公司,2023-08-20,2023-09-05,待定,2024-01-20,京公网安备11010802167890号,930875,科研项目,生命保障科技公司,实地测试数据,中国,宇航新闻网,http://www.spaceflightnews.com,2024-10-09,
深空通信技术优化试验,京公网安备11010802178901号,GB/T 03789,深空通信系统,通信系统,完成,第二阶段,技术验证,赵宁,航天通信研究院,中国航天科技集团,2023-09-05,2023-09-20,2023-10-15,2023-10-20,京公网安备11010802178901号,930875,科研项目,中国通信科技有限公司,实验室数据,中国,科技日报,https://www.starmedia.com.cn,2024-10-09,
无人机航迹识别技术实验,京公网安备11010802189012号,GB/T 67891,无人机导航系统,无人机系统,正在进行,第一阶段,性能测试,于刚,无人机研究所,高科技测试中心,2023-10-01,2023-10-15,待定,2024-01-05,京公网安备11010802189012号,930875,项目申报,无人机科技公司,实地测试数据,中国,南方科技网,https://www.southtechnews.com,2024-10-09,
低轨卫星链路优化实验,京公网安备11010802190123号,GB/T 78121,低轨卫星通信系统,卫星系统,完成,第三阶段,数据分析,林婷,卫星通信研究中心,国家卫星监测中心,2023-08-20,2023-09-01,2023-09-30,2023-10-01,京公网安备11010802190123号,930875,科研项目,卫星科技股份有限公司,实地测试数据,中国,央视网,https://www.cctv.com,2024-10-09,
火星土壤探测器功能测试,京公网安备11010802201234号,GB/T 81212,火星探测器,探测系统,正在进行,第一阶段,功能测试,王杰,火星探索工程中心,国家航天局,2023-09-15,2023-10-05,待定,2024-03-01,京公网安备11010802201234号,930875,科研项目,宇宙探测科技有限公司,实验室数据,中国,科技日报,https://www.cstdaily.com,2024-10-09,
可重复使用运载火箭气动特性实验,"京公网安备11010802032123号,京公网安备11010802032456号,京公网安备11010802032567号,京公网安备11010802032678号,京公网安备11010802032789号,京公网安备11010802032890号,京公网安备11010802032901号,京公网安备11010802033012号,京公网安备11010802033123号,京公网安备11010802033234号",GB/T 12172,可重复使用运载火箭,运载系统,完成,第二阶段,结构测试,朱刚,航天运载研究所,国家航天局,2023-10-10,2023-11-01,2023-11-30,2023-12-01,"京公网安备11010802032123号,京公网安备11010802032456号,京公网安备11010802032567号,京公网安备11010802032678号,京公网安备11010802032789号,京公网安备11010802032890号,京公网安备11010802032901号,京公网安备11010802033012号,京公网安备11010802033123号,京公网安备11010802033234号",930875,项目申报,航天运载科技有限公司,测试记录数据,中国,新华网,http://www.xinhuanet.com,2024-10-09,
空间碎片监测与评估技术实验,空天技术备案号11010802032367,GB/T 01724,空间监测系统,监测系统,正在进行,第一阶段,技术验证,蒋春华,航天安全中心,航天工程学院,2023-10-12,2023-10-18,待定,2024-01-15,空天技术备案号11010802032367,930875,科研项目,航天科技有限公司,实验室数据,中国,科技日报,https://www.ncsti.gov.cn,2024-10-09,
数智能控空天气象探测实验,空天技术备案号11010802032368,GB/T 72457,智能气象探测器,气象系统,完成,第二阶段,性能测试,舒晨,气象科技研究所,国家气象中心,2023-08-15,2023-09-01,2023-09-25,2023-10-01,空天技术备案号11010802032368,930875,项目申报,气象科技股份有限公司,实地测试数据,中国,气象网,https://www.weather.com.cn,2024-10-09,
量子通信技术空天演示实验,空天技术备案号11010802032369,GB/T 34038,量子通信系统,通信系统,正在进行,第一阶段,技术验证,冯宇,量子技术研究中心,国家通信中心,2023-10-05,2023-10-20,待定,2024-02-01,空天技术备案号11010802032369,930875,科研项目,量子通信科技公司,实验室数据,中国,科技日报,https://www.sciencenet.cn,2024-10-09,
激光雷达空天遥感实验,空天技术备案号11010802032370,GB/T 40379,激光雷达系统,遥感系统,完成,第三阶段,数据分析,段力,遥感探测研究所,国家遥感中心,2023-07-01,2023-08-01,2023-08-30,2023-09-05,空天技术备案号11010802032370,930875,项目申报,遥感科技有限公司,实地测试数据,中国,科技网,https://www.tech.org,2024-10-09,
新型量子通信卫星验证实验,空天技术备案号11010802032371,GB/T 83765,量子通信卫星,通信系统,完成,第一阶段,性能测试,赵莉,量子技术研究院,中国航天科技集团,2023-09-05,2023-10-01,2023-10-20,2023-10-25,空天技术备案号11010802032371,930875,科研项目,量子科技有限公司,实验室数据,中国,科技日报,,2024-10-09,
商业航天发射系统测试,空天技术备案号11010802032372,GB/T 76558,新型火箭发射系统,发射系统,正在进行,第二阶段,技术验证,于刚,商业航天公司,滨海航天基地,2023-08-23,2023-09-15,待定,2024-01-05,空天技术备案号11010802032372,930875,项目申报,天行科技,现场测试数据,中国,商业航天网,,2024-10-09,
空间站科学实验模块测试,空天技术备案号11010802032373,GB/T 65582,国际空间站实验舱,实验舱,完成,第三阶段,科学实验,林晓,空间科学研究所,航天科技部,2023-07-12,2023-08-05,2023-09-20,2023-09-25,空天技术备案号11010802032373,930875,科研项目,航天科学有限公司,实地数据,中国,中国宇航网,,2024-10-09,
高空无人机飞行控制测试,空天技术备案号11010802032374,GB/T 55897,无人驾驶飞行器,飞行系统,正在进行,第一阶段,性能测试,杨辉,无人机研究院,国家无人机测试中心,2023-09-15,2023-09-20,待定,2024-02-10,空天技术备案号11010802032374,930875,项目申报,无人航空科技公司,现场测试数据,中国,无人机技术网,,2024-10-09,
月球探测车移动能力测试,空天技术备案号11010802032375,GB/T 58970,月球探测车,探测系统,完成,第二阶段,性能测试,黄健,月球探测研究所,国家空间科学实验室,2023-10-05,2023-10-10,2023-10-30,2023-11-01,空天技术备案号11010802032375,930875,科研项目,月球探索技术公司,实验室数据,中国,太空探索网,,2024-10-09,
火星表面土壤样本分析实验,空天技术备案号11010802032376,GB/T 39709,火星探测器,探测系统,完成,第一个阶段,科学实验,沈阳,火星研究院,探索科技实验室,2023-08-15,2023-09-01,2023-09-15,2023-09-20,空天技术备案号11010802032376,930875,科研项目,火星科技公司,实验室数据,中国,科学网,,2024-10-09,
空间医疗技术实验,京公网安备11010802098765号,GB/T 97083,空间医疗舱,医疗系统,正在进行,第二阶段,综合实验,李琼,航天生物医学研究所,航天科技部,2023-10-01,2023-10-10,待定,2024-03-01,京公网安备11010802098765号,930875,项目申报,空间医疗技术有限公司,实验室数据,中国,医学研究网,,2024-10-09,
月球基地材料适应性测试,京公网安备11010802123456号,GB/T 83765,月球居住舱,实验舱,正在进行,第一阶段,材料测试,赵强,空间科学研究所,北京航天科技集团,2023-09-05,2023-09-20,待定,2023-09-25,京公网安备11010802123456号,930875,科研项目,月球探索有限公司,实验室数据,中国,中国科学院,http://www.cas.cn,2024-10-09,
轨道碰撞预警系统测试,京公网安备11010802234567号,GB/T 72487,空间监测系统,监测系统,完成,第三阶段,系统测试,李娜,空间监测研究所,国家航天局,2023-08-15,2023-09-01,2023-09-20,2023-09-25,京公网安备11010802234567号,930875,项目申报,空间数据科技有限公司,实地测试数据,中国,人民网,http://www.people.com.cn,2024-10-09,
超高空飞行器稳定性分析,京公网安备11010802345678号,GB/T 34589,高超声速飞行器,实验系统,正在进行,第二阶段,性能测试,周杰,航空工程研究所,国际航天研究中心,2023-09-10,2023-10-01,待定,2023-10-05,京公网安备11010802345678号,930875,科研项目,航天科技发展公司,模拟实验数据,中国,新华网,http://www.xinhuanet.com,2024-10-09,
星际通信技术测试,京公网安备11010802456789号,GB/T 40389,高速星际通信系统,通信系统,完成,第一阶段,技术测试,孙岩,中国信息通信研究院,国家通信研究中心,2023-07-25,2023-08-15,2023-09-10,2023-09-15,京公网安备11010802456789号,930875,项目申报,星际通信技术有限公司,实验室数据,中国,科技日报,http://www.stdaily.com,2024-10-09,
空间激光通信实验,京公网安备11010802567890号,GB/T 03789,激光通信系统,通信系统,正在进行,第二阶段,系统测试,张千,中国宇航科技有限公司,宇航科学研究院,2023-10-01,2023-10-10,待定,2023-10-15,京公网安备11010802567890号,930875,科研项目,空间通信科技集团,实时数据测试,中国,光明日报,http://www.gmw.cn,2024-10-09,
全球导航卫星系统验证实验,京公网安备11010802678901号,GB/T 67891,卫星导航系统,导航系统,完成,第三阶段,技术验证,周雅,卫星导航研究所,国家测绘局,2023-05-30,2023-06-15,2023-07-25,2023-08-01,京公网安备11010802678901号,930875,项目申报,空间导航科技有限公司,实验室数据,中国,中国测绘报,http://www.china-map.com,2024-10-09,
气象卫星数据分析实验,京公网安备11010802789012号,GB/T 17203,气象卫星系统,数据处理系统,完成,第一阶段,科学实验,李海,气象研究所,中国气象局,2023-08-12,2023-08-20,2023-09-05,2023-09-10,京公网安备11010802789012号,930875,科研项目,气象科技有限公司,实验室数据,中国,中国气象网,http://www.weather.com.cn,2024-10-09,
无人机空中投送系统实验,京公网安备11010802890123号,GB/T 34592,无人机系统,运输系统,正在进行,第二阶段,系统测试,王强,无人机科技公司,航空运输中心,2023-09-20,2023-10-05,待定,2023-10-10,京公网安备11010802890123号,930875,项目申报,无人运输科技有限公司,实地测试数据,中国,百度新闻,http://news.baidu.com,2024-10-09,
月球基地材料适应性实验,京公网安备11010802901234号,GB/T 03789,月球资源利用系统,基地系统,正在进行,第一阶段,材料测试,王涛,中国探月工程中心,国家航天实验室,2023-09-05,2023-10-01,待定,2023-10-10,京公网安备11010802901234号,930875,科研项目,月球科技有限公司,实验室数据,中国,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
无人空中飞行器自主飞行测试,"京公网安备11010802012345号,京公网安备11010802054321号,京公网安备11010802098765号,京公网安备11010802067890号,京公网安备11010802034567号",GB/T 67891,无人机飞行控制系统,飞行系统,完成,第二阶段,技术验证,张慧,空中交通管理局,无人机测试中心,2023-06-15,2023-07-05,2023-08-01,2023-08-05,"京公网安备11010802012345号,京公网安备11010802054321号,京公网安备11010802098765号,京公网安备11010802067890号,京公网安备11010802034567号",930875,项目申报,飞行科技公司,现场测试记录,中国,科技日报,https://www.stdaily.com/,2024-10-09,
太空环境下材料性能评估实验,京公网安备11010802091234号,GB/T 89172,太空材料实验室,实验系统,正在进行,第一阶段,科学实验,李宇,材料科学研究所,国家超高真空实验室,2023-05-22,2023-06-15,待定,2023-07-01,京公网安备11010802091234号,930875,科研项目,材料科技有限公司,实验室数据,中国,中国科学技术协会,http://www.cast.org.cn/,2024-10-09,
空间电力系统测试,京公网安备11010802123456号,GB/T 91724,空间电力管理系统,电源系统,完成,第二阶段,系统集成,赵敏,航天科技集团,国际电源研究院,2023-08-01,2023-09-01,2023-09-30,2023-10-01,京公网安备11010802123456号,930875,项目申报,电力科技公司,实验室数据,中国,央广网,http://www.cnr.cn/,2024-10-09,
空间探测器多环境适应性试验,京公网安备11010802234567号,GB/T 34038,探测器综合实验,探测系统,正在进行,第三阶段,环境适应性,于刚,中国航天科技集团,航天环境测试中心,2023-09-12,2023-09-20,待定,2023-10-05,京公网安备11010802234567号,930875,科研项目,探测科技有限公司,实验室记录,中国,新时代周刊,http://www.newtime.com.cn/,2024-10-09,
高温超导材料在太空的应用实验,京公网安备11010802345678号,GB/T 17281,超导材料聚合体,材料测试系统,完成,第一阶段,科学实验,朱强,高温超导研究所,国家超导中心,2023-06-20,2023-07-15,2023-08-10,2023-08-15,京公网安备11010802345678号,930875,科研项目,超导科技有限公司,实验室记录,中国,科学技术部,http://www.most.gov.cn/,2024-10-09,
首个商用火箭发射实验,京公网安备11010802456789号,GB/T 55897,商用火箭系统,发射系统,正在进行,第一阶段,发射测试,高翔,民间航天公司,航天发射中心,2023-08-20,2023-09-10,待定,2023-09-15,京公网安备11010802456789号,930875,项目申报,火箭科技有限公司,现场发射记录,中国,未来航空网,http://www.futureaviation.com/,2024-10-09,
