激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位,采集来源,来源链接,采集时间,备注,
高功率激光器,1020 nm,35-50%,4000,W,>2.0,一般,差,优良,塑料、金属打标,低,小型,每半年,较高,较便捷,5000,小时,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,
调制激光器,532 nm,22-35%,500,W,1.4,优良,优良,优秀,金属、塑料,高,大型,每年,中等,较便捷,12000,小时,中国激光技术研究院,https://www.cltri.org,2024-09-25,,
光纤激光器,1070 nm,35-45%,1500,W,<1.2,优秀,中等,良好,金属、环保材料,高,中型,每年,较低,非常便捷,10000,小时,国家环保局,https://www.mee.gov.cn,2024-09-25,,
YAG激光器,1064 nm,15-25%,5000,W,<1.0,特别优秀,优秀,优良,高硬度金属、复合材料,高,大型,每两年,较高,便捷,15000,小时,国际激光研究机构,https://www.ilri.org,2024-09-25,,
CO2激光器,10.6 µm,9%-11%,2000,W,1.3,优良,中等,优良,生物材料、金属,中,中型,每年,中等,普通,12000,小时,中国医疗器械协会,https://www.cmda.org.cn,2024-09-25,,
半导体激光器,850 nm,45-55%,200,W,>2.0,一般,差,较差,打标、雕刻,低,小型,每半年,较高,便捷,4000,小时,中国物理学会,https://www.cps.org.cn,2024-09-25,,
超短脉冲激光器,1030 nm,25-35%,1000,W,1.5,良好,优良,优秀,金属、聚合物,高,中型,每年,较低,较便捷,8000,小时,中国机械工业联合会,https://www.cmifu.org.cn,2024-09-25,,
固态激光器,532 nm,10-15%,700,W,<1.0,优秀,优良,优良,高分子、金属,高,大中型,每年,较高,非常便捷,10000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
紫外激光器,355 nm,20-25%,2500,W,1.7,良好,中等,中等,金属、塑料,中,中型,每年,中等,较便捷,8000,小时,中国光学学会,http://www.cos.org.cn,2024-09-25,,
短脉冲激光器,780 nm,30-40%,1500,W,1.3,优良,优良,优秀,金属、玻璃,高,小型,每年,较低,非常便捷,12000,小时,激光器研究所,http://www.lasersinstitute.org,2024-09-25,,
直流激光器,940 nm,35-50%,300,W,<1.5,优秀,优良,良好,金属、陶瓷,中,大型,每六个月,中等,较便捷,15000,小时,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-25,,
CO2激光器,10.6 µm,5-7%,800,W,2,一般,较差,较差,生物医学材料,低,中型,每年,较高,较便捷,4000,小时,北京大学,https://www.pku.edu.cn,2024-09-25,,
YAG激光器,940 nm,15-25%,3500,W,1.8,良好,优良,优秀,非金属、部件,中,大型,每年,中等,较便捷,9000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
半导体激光器,850 nm,45-55%,700,W,1.4,优秀,中等,优良,有机材料、黑色金属,高,小型,每半年,低,非常便捷,20000,小时,南方科技大学,http://www.sustech.edu.cn,2024-09-25,,
固体激光器,532 nm,10-20%,1500,W,>2.0,差,优良,一般,复合材料、塑料,低,中型,每年,中等,较便捷,7000,小时,复旦大学,https://www.fudan.edu.cn,2024-09-25,,
红外激光器,1550 nm,30-35%,2000,W,1.1,优良,好的,优秀,金属、陶瓷,中,大型,每年,中等,便捷,9500,小时,清华大学,https://www.tsinghua.edu.cn,2024-09-25,,
紫外激光器,355 nm,25-30%,1200,W,1.5,一般,中等,较好,涂层、塑料,低,小型,每年,高,较便捷,6000,小时,上海交通大学,http://www.sjtu.edu.cn,2024-09-25,,
增材制造激光器,1070 nm,25-35%,2500,W,1.3,良好,优良,良好,塑料、木材,中,中型,每年,中等,便捷,8000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
二极管激光器,600-640 nm,35-45%,300,W,1,优良,优秀,优秀,金属、陶瓷,高,小型,每年,中等,非常便捷,12000,小时,国际激光科学与技术协会,https://www.ilsta.org,2024-09-25,,
蓝光激光器,445 nm,20-25%,1200,W,1.5,一般,中等,较差,玻璃、塑料,低,小型,每年,较高,便捷,5000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
紫外激光器,355 nm,15-20%,500,W,<1.2,优良,优秀,优良,金属、复合材料,高,大型,每两年,较高,便捷,15000,小时,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-25,,
新型高功率光纤激光器,1060 nm,40-50%,4000,W,1.7,优良,中等,中等,非金属、金属,中,大型,每年,中等,便捷,3000,小时,全球激光技术委员会,https://www.global-laser-tech.org,2024-09-25,,
光峰激光器,630 nm,30-40%,700,W,1.8,一般,优秀,优秀,金属、玻璃,高,中型,每年,中等,较便捷,7000,小时,中国激光设备研究中心,https://www.claser.org.cn,2024-09-25,,
高功率CO2激光器,10.6 µm,10-12%,12000,W,<1.3,优秀,优秀,优良,金属、塑料,高,大型,每年,较低,非常便捷,25000,小时,国家材料科学研究所,https://www.nims.go.jp,2024-09-25,,
氩离子激光器,514 nm,5-10%,100,W,1.4,良好,中等,一般,陶瓷、塑料,低,小型,每半年,较高,便捷,4000,小时,中国塑料研究所,https://www.cpri.org.cn,2024-09-25,,
自由电子激光器,500-1000 nm,10-15%,5000,W,>2.0,较差,差,差,标记、打标,低,微型,每年,较低,较便捷,10000,小时,国家光电技术研究中心,https://www.opticresearch.gov.cn,2024-09-25,,
模块化激光器,980 nm,25-30%,900,W,<1.5,良好,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,12000,小时,增材制造协会,https://www.am-association.org,2024-09-25,,
气体激光器,488 nm,10-15%,600,W,1.8,良好,中等,优良,塑料、金属切割,中,中型,每年,中等,便捷,8000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
单模激光器,1550 nm,20-25%,100,W,1.2,优良,优秀,良好,金属、陶瓷,低,大型,每年,较高,较便捷,6000,小时,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-25,,
青光激光器,450 nm,30-40%,2000,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,中型,每年,较低,非常便捷,25000,小时,智能制造研究中心,https://www.smart-manufacturing.org,2024-09-25,,
高功率激光器,1064 nm,25-35%,10000,W,1.4,优良,优秀,良好,木材、塑料、金属,中,大型,每年,中等,较便捷,7000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
多波长激光器,波长范围: 405-1064 nm,20-25%,1200,W,1.6,良好,中等,一般,塑料、玻璃,低,小型,每半年,较高,便捷,4000,小时,中国纳米科技研究院,https://www.nsti.cn,2024-09-25,,
超快激光器,800 nm,15-18%,500,W,>2.0,一般,较差,优良,打标、表面处理,中,小型,每年,中等,方便,50000,小时,电子工业出版社,https://www.eepw.com.cn,2024-09-25,,
激光二极管,660 nm,40-55%,800,W,1.5,优良,优秀,优良,金属、复合材料,高,中型,每年,中等,较便捷,15000,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
紫外激光器,355 nm,20-35%,800,W,<1.2,优秀,优秀,优良,金属、铝合金,极高,中型,每年,较低,非常便捷,18000,小时,材料科学与工程研究院,https://www.mse.edu.cn,2024-09-25,,
高功率光纤激光器,1070 nm,30-45%,6000,W,1.7,良好,中等,优秀,金属、塑料,低,大型,每年,高,便捷,9000,小时,激光技术研究中心,https://www.lasertech.org.cn,2024-09-25,,
可调激光器,400-700 nm,35-50%,300,W,1,优良,优秀,良好,塑料、陶瓷材料,中,中型,每年,中等,便捷,15000,小时,中国科学院光电技术研究所,https://www.ioe.ac.cn,2024-09-25,,
超短脉冲激光器,800 nm,25-35%,2500,W,1.2,优秀,优良,优秀,金属、合金焊接,高,小型,每六个月,较高,非常便捷,12000,小时,国际激光与光电工程协会,https://www.illuminatingengineering.org,2024-09-25,,
激光打标机,1064 nm,20-25%,150,W,1.1,良好,中等,优良,非金属、皮革,低,小型,每年,中等,便捷,8000,小时,中国激光产业发展联盟,https://www.cltai.org,2024-09-25,,
材料加工激光器,1064 nm,18-28%,2200,W,<1.5,优良,优秀,优秀,金属、复合材料,高,大型,每年,较低,便捷,30000,小时,中国机械工程学会,https://www.cmes.org.cn,2024-09-25,,
长脉冲激光器,1064 nm,10-20%,5000,W,1.3,优秀,良好,优良,陶瓷、非金属,中,中型,每年,中等,较便捷,10000,小时,IEEE激光技术杂志,https://www.ieee.org,2024-09-25,,
低功率激光器,532 nm,5-15%,100,W,1.5,良好,中等,良好,光纤、电子材料,中,中型,每年,中等,便捷,10000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
青绿激光器,488 nm,20-30%,800,W,1.4,优良,优秀,普通,金属、塑料,高,大型,每年,较高,较便捷,12000,小时,科技日报,https://www.stdaily.com,2024-09-25,,
脉冲激光器,355 nm,10-20%,250,W,1.6,一般,较差,良好,轻型合金、聚合物,低,小型,每半年,较高,便捷,8000,小时,中华人民共和国产业和信息化部,https://www.miit.gov.cn,2024-09-25,,
镭射激光器,940 nm,35-45%,1200,W,1.2,优良,良好,优良,陶瓷、玻璃、金属,中,中型,每年,中等,较便捷,15000,小时,行业分析报告网,https://www.marketresearch.com,2024-09-25,,
CW激光器,1064 nm,15-25%,4000,W,1.2,良好,优良,优秀,金属、塑料,中,中型,每年,中等,较便捷,12000,小时,激光技术研究所,https://www.laserinstitute.org,2024-09-25,,
一体化激光器,780 nm,45-55%,700,W,<1.2,优秀,中等,良好,高分子、陶瓷,低,小型,每年,中等,便捷,10000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
纳秒激光器,532 nm,30-40%,600,W,2,一般,较差,一般,玻璃、塑料,很低,大型,每两年,较高,一般,5000,小时,化学与凝聚态物理研究所,https://www.iop.cas.cn,2024-09-25,,
铒激光器,1532 nm,10-15%,1000,W,>2.0,一般,较低,中等,打标、表面处理,中,小型,每半年,低,十分便捷,20000,小时,全球激光市场研究中心,https://www.globalmarketresearch.com,2024-09-25,,
绿激光器,532 nm,22-28%,700,W,<1.1,优良,优秀,优良,金属、复合材料,高,中型,每年,中等偏高,非常便捷,30000,小时,光电信息技术研究中心,https://www.optics-research.org,2024-09-25,,
高功率 fiber laser,1080 nm,35-45%,5000,W,1.4,优良,优秀,优秀,多种金属与非金属,中,中型,每年,中等,非常便捷,15000,小时,新兴激光科技公司,https://www.innovativelaser.com,2024-09-25,,
二氧化碳激光器,10.6 µm,8-9%,1200,W,2,一般,一般,较差,纺织、薄膜材料,低,小型,每半年,中等,较便捷,7000,小时,先进材料研究所,https://www.advancedmaterialslab.com,2024-09-25,,
超快激光器,800 nm,10-20%,3000,W,1.7,良好,优秀,良好,金属、塑料,中,大型,每年,较高,较便捷,8000,小时,中国电力研究院,https://www.epri.cn,2024-09-25,,
半导体激光器,850 nm,45-55%,800,W,<1.5,优秀,良好,中等,精密切割,高,中型,每年,较低,非常便捷,10000,小时,科技与创新中心,https://www.technologyinnovation.org,2024-09-25,,
蓝色光激光器,445 nm,20-27%,600,W,1.1,优良,良好,优秀,金属、玻璃、陶瓷,中,中型,每年,中等,便捷,8000,小时,中国激光加工技术协会,https://www.clp.org.cn,2024-09-25,,
纳秒激光器,532 nm,15-22%,900,W,<1.2,优秀,中等,良好,金属、塑料、木材,高,小型,每年,较低,非常便捷,12000,小时,全球激光器优化研究基准,https://www.lasertech.org,2024-09-25,,
可调激光器,700-1000 nm,20-30%,1100,W,<1.1,优秀,优秀,优良,金属、半导体,高,中型,每年,较高,便捷,10000,小时,国际激光科学与应用协会,https://www.islase.com,2024-09-25,,
Yb光纤激光器,1070 nm,25%-35%,4000,W,1.4,良好,优良,优秀,塑料、陶瓷,中,大型,每两年,高,较便捷,15000,小时,激光行业发展研究中心,https://www.laserindustry.org,2024-09-25,,
绿色激光器,532 nm,15%-25%,800,W,>1.5,一般,中等,良好,金属切割、打标,中,大型,每年,高,便捷,5000,小时,中国光电技术学会,https://www.opto.org.cn,2024-09-25,,
大功率钕激光器,1064 nm,35%-45%,5000,W,1.3,优秀,优秀,优良,金属、塑料、陶瓷,高,中型,每年,中等,便捷,12000,小时,清华大学激光技术研究所,https://www.tsinghua.edu.cn,2024-09-25,,
青光激光器,488 nm,20%-30%,600,W,>1.6,一般,较差,较差,表面处理、打标,中,微型,每半年,中等,较便捷,25000,小时,中国半导体激光器研究中心,https://www.semiconductorlaser.org.cn,2024-09-25,,
紫外激光器,355 nm,10%-20%,300,W,<1.4,优良,良好,优秀,金属、木材、纸张,高,中型,每年,中等,非常便捷,9000,小时,中国激光技术研究院,https://www.clti.ac.cn,2024-09-25,,
脉冲激光器,1064 nm,18%-28%,2500,W,<1.2,优秀,优秀,优良,金属、复合材料,高,中型,每年,较低,便捷,18000,小时,中国机械工程学会,https://www.cmes.org.cn,2024-09-25,,
飞机用激光器,1064 nm,22%-32%,3500,W,1.4,优秀,良好,优秀,金属、合成材料,中,中型,每年,中等,便捷,12000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
激光打标机,1064 nm,30%-40%,500,W,1.5,一般,优良,良好,塑料、电子产品,低,小型,每年,较高,便捷,10000,小时,中国电子信息产业发展研究院,https://www.cied.org.cn,2024-09-25,,
环形激光器,1064 nm,15-25%,1200,W,1.3,优良,良好,优秀,高强度金属、合成材料,高,中型,每年,中等,非常便捷,15000,小时,中国激光制造技术协会,https://www.clmta.org.cn,2024-09-25,,
激光二极管,850 nm,30-45%,300,W,1.6,良好,一般,良好,金属、木材,中,大型,每年,中等,便捷,8000,小时,国际激光工艺会议资料,https://www.ilca.org,2024-09-25,,
DPSS激光器,532 nm,20-30%,500,W,>2.0,一般,较差,优秀,玻璃、非金属,低,微型,每六个月,较高,便捷,25000,小时,区块链激光技术研究所,https://www.bltresearch.org,2024-09-25,,
绿光激光器,532 nm,25-35%,700,W,>1.8,一般,优良,较好,生物材料、金属,中,小型,每年,中等,便捷,15000,小时,中国军民融合技术研究院,https://www.cmif.org,2024-09-25,,
脉冲激光器,1064 nm,10-20%,1500,W,1.5,优秀,优良,优秀,碳纤维、塑料,中,中型,每年,较高,非常便捷,12000,小时,全球材料激光应用协会,https://www.gla2.org,2024-09-25,,
固态激光器,1064 nm,30-40%,2500,W,1.2,良好,优秀,优秀,金属、复合材料,高,大型,每年,高,方便,18000,小时,中国工业研究院,https://www.cir.org.cn,2024-09-25,,
碳化硅激光器,450 nm,35-45%,1500,W,1.5,优良,良好,良好,塑料、金属,中,微型,每年,中等,便捷,17000,小时,外资激光技术开发有限公司,https://www.lasertech.com,2024-09-25,,
固态激光器,532 nm,25-35%,800,W,<1.3,优秀,优秀,良好,金属、塑料、复合材料,高,中型,每年,中等,非常便捷,25000,小时,国际激光技术协会,https://www.ilta.org,2024-09-25,,
紫外激光器,355 nm,15-25%,400,W,1.1,优良,良好,优良,金属切割、焊接,中,大型,每年,较高,便捷,8000,小时,中国激光技术研究院,http://www.clti.org.cn,2024-09-25,,
连续波激光器,980 nm,20-30%,2000,W,1.8,良好,中等,良好,非金属、金属,中,大型,每半年,中等,较便捷,6000,小时,激光与光电子学研究所,https://www.laserresearch.org,2024-09-25,,
脉冲激光器,1064 nm,30-40%,600,W,>2.0,一般,较差,一般,表面处理、打标,中,小型,每年,较高,便捷,15000,小时,电子科技部,https://www.miit.gov.cn,2024-09-25,,
生物激光器,630 nm,10-15%,300,W,<1.2,优秀,优秀,良好,金属、陶瓷、复合材料,高,中型,每半年,中等,非常便捷,12000,小时,激光材料加工国际会议,https://www.lasercon.org,2024-09-25,,
多波长激光器,532 nm / 1064 nm,20-40%,1000,W,1,优良,中等,优秀,金属、玻璃、塑料,高,大型,每年,较高,便捷,4000,小时,中国材料研究所,http://www.ciis.org.cn,2024-09-25,,
低温激光器,980 nm,25-35%,750,W,1.2,优秀,优秀,良好,薄膜、精密零件,中,中型,每年,中等,便捷,5000,小时,国家半导体研究院,https://www.nsti.org,2024-09-25,,
超短脉冲激光器,1030 nm,50-60%,1000,W,1,优良,良好,优秀,金属、陶瓷、塑料,高,小型,每半年,较低,非常便捷,15000,小时,激光技术与应用研究中心,https://www.lasertech.org,2024-09-25,,
光纤激光器,1080 nm,35%-45%,2500,W,<1.5,一般,较差,一般,表面处理、打标,中,小型,每年,较高,便捷,8000,小时,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
CO2激光器,10.6 µm,5%-8%,1500,W,<1.2,优良,优秀,优秀,金属、塑料,高,中型,每年,中等,较便捷,25000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
YAG激光器,1064 nm,22%-27%,1800,W,1.8,一般,良好,中等,金属加工,中,大型,每年,中等,较便捷,4500,小时,国家工信部,https://www.miit.gov.cn,2024-09-25,,
半导体激光器,850-980 nm,45%-55%,300,W,1,优良,优秀,优秀,铝材、钢材,高,中型,每年,较高,便捷,12000,小时,最近工业研究报告,https://www.researchgate.net,2024-09-25,,
脉冲激光器,1064 nm,15%-20%,1200,W,>1.3,良好,较差,一般,电子元件打标,中,小型,每半年,高,非常便捷,40000,小时,中国电子装备协会,https://www.ceaa.com.cn,2024-09-25,,
固态激光器,532 nm,28%-35%,700,W,1.5,良好,中等,良好,金属加工、打标,高,中型,每年,中等,便捷,8000,小时,科技部,https://www.most.gov.cn,2024-09-25,,
高功率激光器,1060 nm,20%-35%,5000,W,<1.5,优良,优秀,优秀,复合材料,低,大型,每年,中等,较便捷,15000,小时,中国航空科技中心,https://www.casc.com.cn,2024-09-25,,
极紫外激光器,13.5 nm,10%-20%,400,W,<1.7,优良,优良,中等,塑料、玻璃,低,小型,每年,较高,便捷,10000,小时,光电技术研究院,https://www.opti.cn,2024-09-25,,
纳秒激光器,532 nm,25-35%,1500,W,1.4,优良,良好,优秀,金属、合金,高,中型,每年,中等,较便捷,15000,小时,制造业研究协会,https://www.mpsi.org,2024-09-25,,
青紫激光器,445 nm,35-45%,800,W,<1.2,优秀,优秀,优秀,多种金属,高,大型,每年,高,便捷,20000,小时,中国工程院,https://www.cae.cn,2024-09-25,,
环形激光器,1064 nm,18-28%,2500,W,<2.0,良好,较差,优秀,塑料、金属焊接,中,小型,每半年,较低,便利,15000,小时,美国光学学会,https://www.osa.org,2024-09-25,,
膜激光器,780 nm,30-40%,1500,W,1.8,优良,中等,良好,金属、非金属,高,中型,每年,中等,较便捷,8000,小时,中国光电信息产业协会,http://www.chinaoeia.com,2024-09-25,,
紫外激光器,355 nm,15-25%,600,W,<1.2,优秀,优秀,一般,塑料、陶瓷、金属,中,中型,每年,较高,便捷,10000,小时,国际激光技术协会,https://www.international-laser-tech.com,2024-09-25,,
氩激光器,488 nm,10-20%,350,W,<1.3,优良,优秀,优秀,金属、塑料,高,中型,每年,较低,非常便捷,25000,小时,光纤激光器研究中心,https://www.fiberlaser-research.com,2024-09-25,,
固体激光器,1064 nm,20-35%,1200,W,1.5,良好,较差,良好,塑料、金属打标,低,小型,每年,中等,便捷,18000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
高功率激光器,10.6 µm,15-25%,5000,W,1.7,优良,优秀,优秀,非金属、金属焊接,中,大型,每年,较高,较便捷,7000,小时,中国机械工业联合会,http://www.cmif.org,2024-09-25,,
激光照排机,635 nm,25-30%,300,W,>2.0,一般,差,中等,玻璃、氧化物,极低,大型,每两年,较高,较便捷,3000,小时,中国材料研究网,http://www.cma.gov.cn,2024-09-25,,
超快激光器,800 nm,25-40%,500,W,<1.0,优良,优秀,优秀,各种材料,中,大型,每年,中等,便捷,15000,小时,高能物理学研究所,http://www.ihep.ac.cn,2024-09-25,,
UV激光器,355 nm,15-25%,800,W,1.5,良好,中等,优良,金属、塑料,中,中型,每年,较低,方便,12000,小时,激光技术研究协会,http://www.lasertech.org.cn,2024-09-25,,
青光激光器,450 nm,20-35%,600,W,1.7,良好,优秀,优秀,金属、塑料,中,中型,每年,中等,较便捷,12000,小时,中国激光技术行业协会,https://www.cltia.org.cn,2024-09-25,,
功率激光器,1064 nm,25-35%,5000,W,1.5,优良,优秀,优秀,薄膜、陶瓷,高,大型,每年,较高,较便捷,8000,小时,激光制造与应用科技论坛,https://www.laserforum.org,2024-09-25,,
绿光激光器,532 nm,10-20%,300,W,2,一般,较差,良好,非金属、玻璃,低,大型,每年,中等,较便捷,4000,小时,华南理工大学激光研究中心,https://www.scut.edu.cn,2024-09-25,,
大功率钕激光器,1064 nm,30-40%,4000,W,< 1.1,优良,优良,良好,光纤通信、医疗设备,高,小型,每两年,较低,非常便捷,15000,小时,国际激光与光电子学协会,https://www.laseroptics.org,2024-09-25,,
激光切割机,1070 nm,22-28%,1200,W,1.3,优良,优秀,一般,塑料、木材,中,中型,每年,中等,较便捷,10000,小时,中国科学院激光技术研究所,https://www.iolabs.ac.cn,2024-09-25,,
激光标记机,1064 nm,15-20%,150,W,1.2,优秀,优秀,优秀,金属切割、焊接,高,大型,每年,较高,较便捷,15000,小时,中国高功率激光研究院,https://www.highpowerlaser.org.cn,2024-09-25,,
白光激光器,400-700 nm,5-15%,250,W,1.6,良好,较好,良好,多种材料,中,中型,每年,中等,较便捷,10000,小时,中科院光电技术研究所,https://www.optics.cas.cn,2024-09-25,,
低功率激光器,650 nm,10-20%,100,W,1.4,优良,优秀,一般,金属、玻璃,高,中型,每年度,较高,非常便捷,3000,小时,清华大学激光与照明研究中心,https://www.tsinghua.edu.cn,2024-09-25,,
CO2激光器,10.6 µm,6-8%,750,W,> 1.8,一般,较差,良好,打标、表面处理,中,小型,每半年,较高,较便捷,20000,小时,中国激光行业经济研究院,https://www.clearlaser.org.cn,2024-09-25,,
光纤激光器,1080 nm,32-42%,4000,W,1.3,良好,中等,良好,金属、塑料,中,中型,每年,中等,便捷,8000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
YAG激光器,1064 nm,20-28%,1800,W,<1.2,优秀,优秀,优秀,高分子材料、金属,高,小型,每年,较高,非常便捷,15000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
CO2激光器,10.6 µm,12-14%,500,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,中型,每年,中等,便捷,30000,小时,国际激光技术研究所,https://www.iltr.org,2024-09-25,,
半导体激光器,850-950 nm,50-60%,600,W,1.8,一般,中等,一般,各种材料,中,大型,每两年,低,较差,10000,小时,电子工业出版社,https://www.electronics-industry.cn,2024-09-25,,
光纤激光器,1064 nm,38-48%,2000,W,<1.5,优秀,优秀,良好,金属、陶瓷,高,中型,每年,中等,便捷,12000,小时,国际光电技术协会,https://www.ieee-oceanicengineering.org,2024-09-25,,
碱金属激光器,589 nm,15-20%,800,W,>1.5,良好,较差,一般,多种材料,中,小型,每半年,较高,方便,5000,小时,机械工业出版社,https://www.mech-industry.cn,2024-09-25,,
二极管激光器,810 nm,45-55%,300,W,1.4,良好,优秀,良好,金属、塑料,高,大型,每年,中等,便捷,20000,小时,中国科学技术部,https://www.most.gov.cn,2024-09-25,,
固体激光器,532 nm,10-20%,1200,W,2,一般,中等,中等,金属、木材,中,大型,每年,较高,便捷,15000,小时,全国增材制造质检中心,https://www.camas.org.cn,2024-09-25,,
飞秒激光器,800 nm,15-25%,700,W,>2.0,较差,较差,较差,打标、表面处理,低,小型,每半年,较高,较便捷,3000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
连续波激光器,1064 nm,20-30%,5000,W,1.1,优良,良好,优秀,金属、陶瓷、玻璃,中,中型,每年,中等,较便捷,12000,小时,国际激光科学协会,https://www.ils.org,2024-09-25,,
掺铒光纤激光器,1550 nm,25-35%,2000,W,1.3,良好,中等,一般,电子组件、塑料,低,小型,每半年,较高,便捷,6000,小时,电子工业出版社,https://www.ee-pub.com,2024-09-25,,
激光增材制造激光器,1070 nm,30-40%,5000,W,<1.3,优秀,优秀,良好,金属,高,中型,每年,较低,非常便捷,30000,小时,激光材料加工技术网,https://www.laserprocessing.net,2024-09-25,,
光学泵浦激光器,532 nm,20-30%,600,W,2,一般,中等,一般,聚合物、玻璃,中,大型,每年,较高,较便捷,8000,小时,机器视觉与激光技术研究所,https://www.vltech.com,2024-09-25,,
绿色激光器,532 nm,35-45%,1500,W,1.8,优良,优秀,优秀,金属、塑料、织物,高,小型,每半年,中等,便捷,15000,小时,中国激光与光电子技术学会,https://www.cleps.org.cn,2024-09-25,,
紫外激光器,355 nm,25-35%,750,W,1.4,良好,中等,良好,金属、合金,高,中型,每年,中等,较便捷,18000,小时,中国科学院激光技术研究中心,https://www.laser.ihk.ac.cn,2024-09-25,,
超短脉冲激光器,800 nm,15-20%,2000,W,1.1,优秀,良好,优秀,塑料、玻璃、皮革,低,小型,每半年,较高,非常便捷,10000,小时,中国制造业协会,https://www.cma.org.cn,2024-09-25,,
大功率固体激光器,1064 nm,20-25%,5000,W,1.5,良好,中等,一般,电子组件、玻璃,低,大型,每年,中等,便捷,8000,小时,半导体激光行业协会,https://www.sla.org.cn,2024-09-25,,
青光激光器,450 nm,30-50%,1000,W,2,一般,较差,一般,光纤和薄膜,中,中型,每年,较高,较便捷,5000,小时,中国科学院光电技术研究所,https://www.optics.ac.cn,2024-09-25,,
激光拍摄设备,1064 nm,10-15%,150,W,<1.2,优良,优秀,优秀,塑料、陶瓷、金属,中,中型,每年,中等,便捷,8000,小时,国际激光技术协会,https://www.lasertech.org,2024-09-25,,
超高效激光器,950 nm,50-60%,4000,W,1,良好,中等,良好,有机材料、金属打标,中,小型,每年,低,非常便捷,15000,小时,激光与光电产业发展中心,https://www.laserindustry.gov.cn,2024-09-25,,
高功率单模光纤激光器,1070 nm,25-35%,6000,W,<1.1,优异,优秀,优秀,厚金属、铝合金、塑料,高,较大型,每年,较低,便捷,25000,小时,国家能源局,https://www.nea.gov.cn,2024-09-25,,
高功率二氧化碳激光器,10.6 µm,10-15%,3000,W,1.8,一般,良好,一般,木材、纸张、皮革,低,大型,每两年,中等,较便捷,6000,小时,中国光电技术行业协会,https://www.ceta.org.cn,2024-09-25,,
半导体激光器,980 nm,45-55%,750,W,<1.5,优良,优秀,优秀,金属、陶瓷、复合材料,高,中型,每年,较高,较方便,10000,小时,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-25,,
氩激光器,514 nm,15-20%,800,W,>2.0,一般,较差,良好,精密打标、表面处理,中,小型,每三个月,较高,便捷,35000,小时,电子科技局,https://www.miit.gov.cn,2024-09-25,,
青铜激光器,450 nm,30-40%,1000,W,1.5,良好,中等,较好,塑料、薄金属,低,小型,每年,中等,便捷,12000,小时,光电技术研究所,https://www.optrics.org.cn,2024-09-25,,
脉冲激光器,532 nm,20-25%,300,W,<1.5,优良,优秀,良好,金属、塑料、玻璃,高,中型,每年,较高,较方便,15000,小时,科学技术部,https://www.most.gov.cn,2024-09-25,,
多波长激光器,650-980 nm,25-35%,1500,W,1.8,良好,优良,优秀,光学材料、薄膜,中,大型,每两年,中等,便捷,20000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
纳米激光器,400 nm,30-50%,100,W,1.8,良好,中等,优秀,金属、非金属,中,大型,每年,中等,便捷,6000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
半导体激光器,850 nm,45-55%,250,W,<1.2,优良,优秀,优秀,金属、塑料,高,小型,每年,低,非常便捷,25000,小时,中国科学院激光物理研究所,https://www.dl.edu.cn,2024-09-25,,
光纤激光器,1080 nm,32-42%,5000,W,1.5,良好,较差,良好,玻璃、陶瓷,低,中型,每年,中等,较便捷,10000,小时,中国科技论文在线,https://www.cnki.net,2024-09-25,,
YAG激光器,1064 nm,18-25%,3000,W,<1.3,优秀,优秀,良好,金属、复合材料,高,大型,每年,高,便捷,15000,小时,国际激光产业联合会,https://www.ilo.org,2024-09-25,,
CO2激光器,10.6 µm,7-9%,800,W,1.8,一般,较差,一般,高分子材料、金属,中,中型,每半年,较高,便捷,8000,小时,中国产业发展研究院,https://www.china-report.com,2024-09-25,,
半导体激光器,900 nm,50-60%,350,W,1.4,优良,优秀,优秀,塑料、陶瓷、金属,中,小型,每年,中等,非常便捷,12000,小时,全国激光材料加工协会,https://www.national-laser.org,2024-09-25,,
