细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,,,,,,,,,
激光治疗,上海圆光激光医疗设备有限公司,180,1-2500 kHz,10-450 ns,>2.5 mJ,<1.4,国家环境保护部,https://www.mep.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,南京激光医疗设备股份有限公司,300,1-4000 kHz,15-200 ns,>1.8 mJ,≤1.5,中国医学科学技术研究院,https://www.ims.org.cn,2024-09-25,,,,,,,,,,
激光光谱,成都光谱激光有限公司,220,1-5000 kHz,10-400 ns,>3 mJ,<1.7,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光动力,西安光电技术有限公司,450,1-3000 kHz,20-350 ns,>2 mJ,≤1.4,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光检测,沈阳激光仪器公司,350,1-5500 kHz,8-300 ns,>5 mJ,≤1.3,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光制造,光启激光科技有限公司,350,1-4000 kHz,10-450 ns,>3.5 mJ,<1.6,中国计量科学院,https://www.nim.ac.cn,2024-09-25,,,,,,,,,,
激光加工,广州新锐激光有限公司,400,1-5000,8-450,18,≤1.2,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光打标,厦门立方激光技术有限公司,250,1-7000,10-550,20,<1.6,广东省科技厅,https://kjt.gd.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,重庆博瑞激光有限公司,200,1-3500,5-400,3,≤1.4,福建省技术监督局,http://zjt.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,武汉星海激光技术有限公司,600,1-2500,15-300,2.5,≤1.3,重庆市经济和信息化委员会,http://jxxh.cq.gov.cn,2024-09-25,,,,,,,,,,
激光制造,南京灵动激光科技有限公司,350,1-4000,12-450,7,≤1.5,湖北省科技厅,http://kjt.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光加工,沈阳宏远激光有限公司,300,1-4500,10-520,16,≤1.1,江苏省工业和信息化厅,http://jskjj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,哈尔滨青云激光技术有限公司,220,1-5000,8-460,19,<1.7,辽宁省科学技术厅,http://kjt.liaoning.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,昆明迈克激光有限公司,180,1-3000,6-480,2.2,≤1.6,黑龙江省科技厅,http://kjt.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安德光激光科技有限公司,700,1-2000,5-350,1.8,≤1.4,云南省工业和信息化委员会,http://kjt.yn.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,深圳创新激光科技有限公司,250,1-6000,10-400,8,≤1.3,陕西省科技厅,http://kjt.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光打标,东莞佳迪激光激光科技有限公司,180,1-3500,5-400,10,≤1.6,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光制造,广州中瑞激光科技有限公司,350,1-4500,10-250,8,≤1.4,中国制造业协会,https://www.cma.org.cn,2024-09-25,,,,,,,,,,
激光焊接,宁波复锐激光科技有限公司,600,1-5000,10-600,20,≤1.5,中国科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光加工,成都川光激光设备有限公司,400,1-3200,5-450,6,≤1.3,国家质量监督局,https://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,无锡蓝海激光工程有限公司,200,1-5800,10-300,12,≤1.7,中国制造网,https://www.made-in-china.com,2024-09-25,,,,,,,,,,
激光打标,福州光迹激光有限公司,220,1-2200,5-350,9,≤1.2,中国激光工业园区,https://www.laserpark.com,2024-09-25,,,,,,,,,,
激光焊接,天津光电激光有限公司,550,1-4200,10-480,15,≤1.3,国家科技创新中心,https://www.nstic.gov.cn,2024-09-25,,,,,,,,,,
激光加工,杭州瑞焱激光科技有限公司,450,1-2900,10-370,7,≤1.1,中国激光应用报告,https://www.laserapp.com.cn,2024-09-25,,,,,,,,,,
激光清洗,上海华胜激光科技有限公司,300,1-5000,5-500,14,≤1.8,中国光电学会,https://www.cios.org.cn,2024-09-25,,,,,,,,,,
激光制造,广东光电科技有限公司,350,1-3500,10-420,5,≤1.4,国家激光技术研究中心,https://www.nlaserc.com.cn,2024-09-25,,,,,,,,,,
激光切割,武汉中科激光股份有限公司,400,1-5000,10-450,18,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光打标,深圳锐科激光技术有限公司,250,1-6000,8-400,20,<1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光清洗,青岛海洋激光技术有限公司,180,1-4500,5-300,7,≤1.6,机器人与自动化学会,https://www.ric.org.cn,2024-09-25,,,,,,,,,,
激光焊接,天津光辰激光科技有限公司,600,1-3000,15-250,3,≤1.4,环境保护部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州星辉激光科技有限公司,220,1-3500,10-450,25,≤1.1,中国焊接学会,https://www.caws.org.cn,2024-09-25,,,,,,,,,,
激光检测,南京金鹰激光工程技术有限公司,320,1-4000,10-150,4.5,≤1.3,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光加固,重庆聚光激光有限责任公司,450,1-6000,5-500,10,<1.4,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光涂层,四川天华激光科技有限公司,260,1-4000,15-300,30,≤1.5,全国质量技术监督局,https://www.aqsiq.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,长春高科光电技术研究院,150,1-3000,10-200,5,≤1.3,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳华阳激光科技有限公司,350,1-2000,10-100,2,<1.2,卫健委,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州赛影激光科技有限公司,250,1-5000,8-450,20,≤1.2,国家科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津力信激光科技有限公司,600,1-3500,5-400,3,≤1.3,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,成都天辉科技有限公司,180,1-8000,10-350,8,≤1.5,全国工业机器人应用推广网,https://www.robotindustry.org,2024-09-25,,,,,,,,,,
激光加工,重庆全信激光设备有限公司,400,1-2400,6-280,2,≤1.1,四川省科技厅,https://www.scst.gov.cn,2024-09-25,,,,,,,,,,
激光切割,上海展智激光科技有限公司,450,1-6500,12-500,10,≤1.4,重庆市经济和信息化委员会,https://www.cqjm.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州宇晨光电科技有限公司,220,1-7000,11-400,12,≤1.6,上海市市场监督管理局,https://www.sgs.gov.cn,2024-09-25,,,,,,,,,,
激光复合加工,武汉兴宇激光装备有限公司,380,1-3000,3-350,5,≤1.3,浙江省经济和信息化厅,https://www.zjem.gov.cn,2024-09-25,,,,,,,,,,
粉末激光熔化,南京华宇激光制造有限公司,500,1-7200,7-480,9,≤1.5,湖北省科技厅,https://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光成像,厦门宏图激光科技有限公司,350,1-9000,9-600,15,≤1.2,江苏省发展和改革委员会,https://www.jsspc.gov.cn,2024-09-25,,,,,,,,,,
激光精密切割,深圳市力拓激光设备有限公司,350,1-5000,10-450,7,≤1.4,福建省科学技术厅,https://www.fjst.gov.cn,2024-09-25,,,,,,,,,,
激光治疗,广州光明医学科技有限公司,250,1-5000,5-400,12,≤1.2,中国激光行业协会,https://www.claa.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州璀璨激光科技有限公司,150,1-3000,10-600,8,≤1.1,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光雷达,上海元晨科技有限公司,400,1-2000,20-500,3,≤1.5,中国工艺美术协会,http://www.china-craft.org.cn,2024-09-25,,,,,,,,,,
激光分选,厦门激光科技有限公司,300,1-4000,5-300,10,≤1.3,IEEE激光技术委员会,https://www.ieee.org,2024-09-25,,,,,,,,,,
激光焊接,沈阳华升激光技术有限公司,550,1-4500,10-400,15,≤1.4,中国电工技术学会,http://www.cecs.org.cn,2024-09-25,,,,,,,,,,
工业激光系统,吉林科技激光设备有限公司,450,1-2500,10-350,6,≤1.6,国家机械制造业协会,http://www.cma.org.cn,2024-09-25,,,,,,,,,,
激光清洗,天津蓝天激光科技有限公司,200,1-5000,5-300,20,≤1.2,中国工业激光技术协会,http://www.clta.org.cn,2024-09-25,,,,,,,,,,
激光标记,重庆宏图激光有限公司,350,1-2000,10-400,4,≤1.3,国家环保部,http://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光打印,武汉理工激光技术公司,100,1-6000,2-500,5,≤1.5,中国激光加工论坛,http://www.clforum.com,2024-09-25,,,,,,,,,,
激光切割,宁波瑞翔激光科技有限公司,350,1-3000,20-600,2,≤1.4,中国科技协会,http://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光测量,深圳兴华激光技术有限公司,250,1-5000,10-600,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
工业激光,广州光联激光设备有限公司,400,1-3000,5-400,6,≤1.4,国家测量局,https://www.nmpa.gov.cn,2024-09-25,,,,,,,,,,
激光精雕,杭州联升激光科技有限公司,220,1-4500,10-500,12,<1.5,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,成都天木激光技术有限公司,180,1-6000,8-300,3,≤1.3,浙江省经济和信息化委员会,https://www.zjemi.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津天翔激光科技有限公司,450,1-2000,5-250,4,<1.6,四川省经济和信息化厅,https://www.scjem.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,武汉光迅激光有限公司,290,1-5000,15-400,8,≤1.2,天津市科学技术局,https://www.tjsts.gov.cn,2024-09-25,,,,,,,,,,
激光技术研发,上海卓越激光有限公司,320,1-5500,10-500,5,≤1.5,湖北省科技厅,https://www.hubst.gov.cn,2024-09-25,,,,,,,,,,
绿色激光技术,苏州激光创新研究院,290,1-6500,12-450,10,<1.4,上海市科技委员会,https://www.stcsm.gov.cn,2024-09-25,,,,,,,,,,
激光显微镜,北京优迅激光科技有限公司,210,1-5000,10-300,7,≤1.3,苏州市科技局,https://www.suzhou.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广东激光科技有限公司,400,1-4000,6-350,9,<1.5,北京市科委,https://www.bjkw.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,深圳科创激光技术有限公司,100,1-5000,8-300,>4,≤1.2,南方科技大学,https://www.sustech.edu.cn,2024-09-25,,,,,,,,,,
激光打标,杭州雷克斯激光科技股份有限公司,250,1-2500,5-200,>2,<1.5,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光焊接,云南先锋激光技术有限公司,600,1-7000,2-400,>1.8,≤1.6,浙江省科技厅,https://www.zjsti.gov.cn,2024-09-25,,,,,,,,,,
激光制造,江苏鸿宇激光科技有限公司,350,1-3500,15-450,>6,≤1.3,云南省工信厅,http://www.yn.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,北京超紫激光医疗科技有限公司,80,1-4500,10-300,>5,<1.8,江苏省科技信息研究所,https://www.jsti.gov.cn,2024-09-25,,,,,,,,,,
激光标刻,四川智启激光科技有限公司,220,1-2000,3-150,>3,≤1.1,国家卫健委,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光检测,天津恒光激光技术公司,90,1-6000,1-350,>2.5,≤1.4,四川省工业信息化厅,http://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,重庆博瑞激光设备有限公司,180,1-5000,5-280,>1.2,<1.3,天津科技大学,http://www.tust.edu.cn,2024-09-25,,,,,,,,,,
激光喷涂,福州金辉激光有限公司,250,1-3500,4-400,>4.5,≤1.7,重庆市经济和信息化委员会,http://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳万代激光有限公司,350,1-4000,10-500,>2,≤1.5,福建省科技厅,http://www.fj.gov.cn,2024-09-25,,,,,,,,,,
激光测距,成都光子科技股份有限公司,250,1-5000,5-400,12,≤1.5,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光材料加工,杭州飞鹰激光技术有限公司,400,1-3500,10-300,8,≤1.2,中国测绘学会,https://www.cmgs.org.cn,2024-09-25,,,,,,,,,,
激光纹理化,武汉智光激光科技有限公司,300,1-4500,10-500,20,≤1.3,浙江省质量技术监督局,https://www.zjgs.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京亿光激光设备有限公司,180,1-6000,15-450,18,≤1.4,湖北省科技厅,https://www.hbkj.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津聚光科技股份有限公司,560,1-2500,5-250,3,≤1.6,江苏省科技局,https://www.jskj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,青岛晶光激光科技有限公司,220,1-7000,8-380,10,≤1.5,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光检测,西安金禾光电科技有限公司,310,1-5200,2-600,5,≤1.7,山东省工信厅,https://www.sdgj.gov.cn,2024-09-25,,,,,,,,,,
激光快速成型,哈尔滨华光激光科技有限公司,400,1-5300,15-500,9,≤1.4,陕西省科技厅,https://www.sxst.gov.cn,2024-09-25,,,,,,,,,,
激光展饰,深圳市光明科技有限公司,290,1-4800,10-330,15,≤1.5,黑龙江省科技厅,https://www.hljst.gov.cn,2024-09-25,,,,,,,,,,
激光制造,武汉海睿激光技术有限公司,250,1-6000,8-400,6,≤1.3,深圳市市场监督管理局,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光加工,深圳市华宇激光科技股份有限公司,350,1-5000,8-400,12,≤1.3,中国激光协会,https://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光打标,广州力源激光科技有限公司,180,1-7000,5-600,18,<1.7,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,天津津南激光设备有限公司,200,1-4500,4-400,3,≤1.6,国家标准化管理委员会,http://www.sac.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,成都云川激光科技股份有限公司,600,1-3000,6-350,2,≤1.1,中国机械工业联合会,https://www.cmtba.org.cn,2024-09-25,,,,,,,,,,
激光检测,南京新晟激光科技有限公司,400,1-3500,12-500,10,≤1.5,航空航天部,http://www.cmfi.cn,2024-09-25,,,,,,,,,,
激光加工,沈阳新元激光技术有限公司,320,1-5500,7-450,20,<1.4,中国自动化学会,http://www.caa.org.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州广安激光科技有限公司,175,1-4200,3-300,15,≤1.2,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光打标,青岛智恒激光科技有限公司,220,1-3600,9-280,1.5,≤1.3,浙江省科技厅,http://www.zjsti.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,西安超亿激光设备有限公司,750,1-4900,2-350,4,≤1.4,中国质量认证中心,http://www.cqc.com.cn,2024-09-25,,,,,,,,,,
激光切割,东莞新星激光设备有限公司,400,1-4000,10-600,8,≤1.6,陕西省经济和信息化厅,http://www.sxjj.gov.cn,2024-09-25,,,,,,,,,,
激光蚀刻,天津晶迅激光科技有限公司,250,1-5000,15-450,12,≤1.6,国际激光协会,https://www.iilas.org,2024-09-25,,,,,,,,,,
激光打孔,广州精密激光科技有限公司,350,1-7000,8-300,8,≤1.2,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光鉴别,深圳浩浩激光科技有限公司,600,1-3000,10-400,5,≤1.3,智能制造发展论坛,https://www.imforum.org,2024-09-25,,,,,,,,,,
激光医疗,杭州乐视医疗科技有限公司,200,1-8000,20-500,10,≤1.5,中国先进激光技术协会,https://www.calct.org,2024-09-25,,,,,,,,,,
激光视网膜治疗,重庆仁信医疗科技有限公司,180,1-4000,5-200,3,≤1.4,中华医学会,https://www.cma.org.cn,2024-09-25,,,,,,,,,,
激光焊接,南京雷普激光设备制造有限公司,450,1-6000,10-250,4,≤1.3,科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
光纤激光器应用,陕西博广激光科技有限公司,550,1-3000,15-360,6,≤1.7,中国制造业协会,https://www.cma.org,2024-09-25,,,,,,,,,,
激光显示,北京中星光电子有限公司,320,1-4500,12-480,14,≤1.4,华中科技大学,https://www.hust.edu.cn,2024-09-25,,,,,,,,,,
激光清理,江苏宇晨激光科技股份有限公司,230,1-5000,10-400,9,≤1.5,信息产业部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳捷锐激光技术有限公司,350,1-3500,7-300,2,≤1.8,中国科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光加工,重庆精锐激光科技有限公司,400,1-5000 kHz,8-400 ns,20,≤1.2,总装备部,https://www.mod.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广东优克激光技术有限公司,250,1-7000 kHz,10-480 ns,10,<1.5,中国制造2025,https://www.china-manufacturing.com,2024-09-25,,,,,,,,,,
激光清洗,上海科达激光科技公司,180,1-3500 kHz,2-300 ns,3,≤1.4,中国激光行业协会,http://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光焊接,湖南高科激光研究所,600,1-2500 kHz,6-320 ns,4,≤1.3,国家科技部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光检测,浙江科瑞激光技术有限公司,220,1-3500 kHz,10-450 ns,6,≤1.6,湖南省工信厅,http://www.hnxx.gov.cn,2024-09-25,,,,,,,,,,
激光切割,天津一诺激光科技有限公司,450,1-2800 kHz,15-400 ns,5,≤1.5,中国光电产业协会,http://www.optics.org.cn,2024-09-25,,,,,,,,,,
激光美容,北京润美激光应用研究所,100,1-6000 kHz,5-350 ns,8,≤1.1,天津市科技局,http://www.tj.gov.cn/keji,2024-09-25,,,,,,,,,,
激光铁路检测,西安铁路科技研究院,300,1-500 kHz,1-200 ns,2.5,≤1.7,北京卫健委,http://www.bjwb.gov.cn,2024-09-25,,,,,,,,,,
激光材料改性,成都激光科技股份有限公司,530,1-1200 kHz,10-400 ns,7,≤1.4,中国铁路总公司,http://www.china-railway.com.cn,2024-09-25,,,,,,,,,,
激光制造,深圳市华光激光科技有限公司,350,1-4900 kHz,9-420 ns,12,≤1.3,四川省经济和信息化厅,http://www.sc.gov.cn/special/jiuye/ztqk/2023/,2024-09-25,,,,,,,,,,
激光切割,合肥紫光激光技术有限公司,450,1-5000,8-400,20,≤1.2,电子工业出版社,https://www.eepw.com.cn,2024-09-25,,,,,,,,,,
激光涂层,台湾激光科技有限公司,400,1-7000,5-300,10,<1.5,中国工程院,https://www.cae.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州市激光器件研究所,300,1-6000,6-350,12,≤1.4,国际激光制造技术联盟,https://www.ilmt.org,2024-09-25,,,,,,,,,,
激光焊接,广州丝绸之路激光科技有限公司,600,1-8000,7-500,15,≤1.3,浙江省质量技术监督局,https://www.zjzj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京中科激光科技有限公司,200,1-3500,12-500,30,≤1.6,中国激光网,https://www.clsw.com,2024-09-25,,,,,,,,,,
激光打标,上海光煦激光科技有限公司,250,1-2500,3-200,5,≤1.1,南京理工大学,https://www.njust.edu.cn,2024-09-25,,,,,,,,,,
激光检测,武汉光电技术研究所,350,1-5000,5-100,8,<1.3,中国激光技术研究院,https://www.cltech.cn,2024-09-25,,,,,,,,,,
激光制备,西安华西激光产业有限公司,500,1-4800,4-220,18,≤1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
超快激光应用,青岛超光激光技术有限公司,450,1-4000,10-450,25,≤1.3,陕西省科技厅,https://www.sxt.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳市激光科技有限公司,350,1-6000,2-80,5,≤1.2,青岛科技大学,https://www.qdust.edu.cn,2024-09-25,,,,,,,,,,
激光雕刻,杭州铭镭激光技术股份有限公司,250,1-5000,5-400,18,≤1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光焊接,广州光电技术有限公司,450,1-3000,10-600,12,≤1.6,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京激光科技研究院,180,1-2500,15-450,7,<1.7,广州市经济和信息化局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光打标,西安智激光科技有限公司,160,1-1800,8-320,2,≤1.4,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光制造,武汉华激科技有限公司,350,1-4000,6-500,3.5,<1.5,西安市科学技术局,https://www.xa.gov.cn,2024-09-25,,,,,,,,,,
激光测试,上海光科激光设备有限公司,300,1-3500,7-600,14,≤1.3,湖北省科学技术厅,https://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光装配,重庆智光激光科技有限公司,400,1-4000,10-300,20,≤1.2,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-25,,,,,,,,,,
激光制造,成都光耀激光技术有限公司,500,1-5000,10-450,4,<1.4,重庆市经济和信息化委员会,https://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光视觉,哈尔滨激光技术有限公司,280,1-6000,10-400,9,≤1.5,四川省科技厅,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳华阳激光技术有限公司,450,1-3500,5-350,11,<1.3,黑龙江省科技局,https://www.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州星宇激光科技有限公司,350,1-5000,15-600,10,≤1.5,腾讯科技,https://www.tencent.com,2024-09-25,,,,,,,,,,
激光焊接,南京激光先锋科技有限公司,600,1-7000,5-400,4,<1.6,中国光学网,https://www.chineselaser.org,2024-09-25,,,,,,,,,,
激光加工,杭州安琪激光科技有限公司,200,1-3500,10-500,6,≤1.2,全球激光产业网,https://www.laserindustry.global,2024-09-25,,,,,,,,,,
激光清洗,武汉华科激光装备有限公司,180,1-8000,20-450,3,<1.7,科技日报,https://www.stdaily.com,2024-09-25,,,,,,,,,,
激光制造,青岛凯博激光科技有限公司,400,1-2500,5-300,2,≤1.4,机械工业出版社,https://www.cme.com.cn,2024-09-25,,,,,,,,,,
激光打标,西安优彤激光科技有限公司,250,1-6000,10-550,8,≤1.3,中国激光网,https://www.chinalaser.com,2024-09-25,,,,,,,,,,
激光焊接,成都激光先锋科技有限公司,550,1-7000,2-400,5,<1.8,行业分析报告,https://www.industryreports.com,2024-09-25,,,,,,,,,,
激光清洗,辽宁华锐激光技术有限公司,120,1-3000,10-400,7,≤1.4,中国制造网,https://www.made-in-china.com,2024-09-25,,,,,,,,,,
激光加工,福州光源激光科技有限公司,320,1-1500,5-200,1,≤1.1,中国电子报,https://www.cena.com.cn,2024-09-25,,,,,,,,,,
激光深加工,深圳青云激光技术有限公司,350,1-8000,15-500,4.5,<1.5,科技新闻平台,https://www.technews.com,2024-09-25,,,,,,,,,,
激光切割,广州迅捷激光科技有限公司,400,1-5000 kHz,6-400 ns,12,≤1.5,深圳市高新技术产业协会,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,青岛佳创激光设备有限公司,250,1-7000 kHz,5-450 ns,20,<1.6,广州市科学技术局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光3D打印,杭州创意激光科技有限公司,450,1-6000 kHz,3-300 ns,10,≤1.4,青岛市经济和信息化委员会,https://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光精透镜加工,南京天锐激光有限公司,275,1-3500 kHz,8-500 ns,18,≤1.3,浙江省工研院,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗与焊接,重庆威尔激光科技有限公司,600,1-4800 kHz,15-350 ns,11,≤1.2,南京市科技局,https://www.nanjing.gov.cn,2024-09-25,,,,,,,,,,
激光焊接设备,武汉百川激光设备有限公司,700,1-3000 kHz,12-450 ns,25,<1.5,重庆市科技委员会,https://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光束控制,厦门光辉激光公司,390,1-2000 kHz,30-500 ns,30,≤1.6,武汉市发展和改革委员会,https://www.wuhan.gov.cn,2024-09-25,,,,,,,,,,
激光检测,北京京华激光技术有限公司,330,1-5500 kHz,7-360 ns,14,≤1.4,厦门市科技局,https://www.xm.gov.cn,2024-09-25,,,,,,,,,,
激光字迹打标,沈阳飞华激光科技有限公司,320,1-4200 kHz,9-480 ns,15,≤1.3,北京市科学技术委员会,https://www.beijing.gov.cn,2024-09-25,,,,,,,,,,
激光制造,杭州锐安激光技术有限公司,400,1-3000 kHz,10-240 ns,9,≤1.5,辽宁省发展和改革委员会,https://www.liaoning.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉光韵激光科技有限公司,350,1-5000 kHz,10-600 ns,20,≤1.5,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,宁波迅达激光科技有限公司,250,1-7000 kHz,5-450 ns,18,<1.6,中国激光行业协会,http://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,重庆长安科技有限公司,100,1-3500 kHz,3-400 ns,10,≤1.4,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光焊接,广州凌宇激光科技有限公司,600,1-1500 kHz,5-250 ns,0.8,≤1.1,国家环境保护部,http://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳伟创激光科技有限公司,700,1-4000 kHz,15-500 ns,25,≤1.3,广东省经济和信息化厅,http://www.gdei.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,郑州鼎力激光有限公司,300,1-4500 kHz,10-550 ns,30,≤1.2,深圳市科技创新委员会,http://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,上海健康激光科技有限公司,200,1-3000 kHz,2-300 ns,12,≤1.5,河南省科技厅,http://www.hn.gov.cn,2024-09-25,,,,,,,,,,
激光照明,厦门光明激光有限公司,150,1-2500 kHz,4-350 ns,9,≤1.3,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光产业,天津万众激光科技有限公司,800,1-2000 kHz,5-200 ns,5,≤1.4,福建省市场监督管理局,http://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳力博激光科技有限公司,350,1-6000 kHz,10-700 ns,35,≤1.5,天津市经济和信息化委员会,http://www.tianjin.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广州光辉激光装备有限公司,400,1-5000,5-450,20,≤1.2,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光清洗,厦门新得激光科技有限公司,200,1-7000,10-300,18,≤1.5,智能制造2025,https://www.zhinengzhizao2025.com,2024-09-25,,,,,,,,,,
激光焊接,成都优德激光科技有限公司,600,1-3500,50-500,12,≤1.4,机械工业出版社,https://www.mechpub.com,2024-09-25,,,,,,,,,,
激光打标,东莞奇迹激光,250,1-2500,10-400,25,≤1.3,国家科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光检测,南京博轩激光科技,180,1-6000,20-400,10,≤1.6,上海市经济和信息化委员会,https://www.shmeic.gov.cn,2024-09-25,,,,,,,,,,
激光制造,武汉光博激光系统有限公司,450,1-5000,15-350,8,≤1.3,中国测量与控制技术协会,https://www.cmsc.org.cn,2024-09-25,,,,,,,,,,
激光打标,西安艾尔激光技术有限公司,120,1-5500,10-300,22,≤1.4,光电行业协会,https://www.optoelectronic.org,2024-09-25,,,,,,,,,,
激光切割,杭州卓越激光科技股份有限公司,320,1-8000,20-500,6,≤1.7,陕西省科技厅,https://www.sxst.gov.cn,2024-09-25,,,,,,,,,,
