机器人类型,前进速度,单位,倒退速度,单位,加速速度,单位,减速速度,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,,
生产线机器人,2.8,m/s,0.9,m/s,3.8,m/s,1.7,m/s,字符型,中国工业和信息化部,https://www.miit.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,2.2,m/s,0.7,m/s,3.5,m/s,1.8,m/s,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.4,m/s,0.4,m/s,2,m/s,1,m/s,字符型,国家科技部,https://www.most.gov.cn,2024-09-23,,,,,,,,,,,
医疗机器人,0.6,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国医疗器械行业协会,https://www.camdi.org.cn,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国机器人产业发展报告,https://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,农业部科技司,https://www.moa.gov.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.8,m/s,0.8,m/s,2.8,m/s,1.5,m/s,字符型,消防救援局,https://www.119.gov.cn,2024-09-23,,,,,,,,,,,
配送机器人,1,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,电子商务研究中心,https://www.100ec.cn,2024-09-23,,,,,,,,,,,
教育机器人,1.6,m/s,0.5,m/s,2.4,m/s,1.2,m/s,字符型,国家教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
侦查机器人,2,m/s,0.9,m/s,3,m/s,1.6,m/s,字符型,国家安全局,https://www.mss.gov.cn,2024-09-23,,,,,,,,,,,
清扫机器人,0.8,m/s,0.3,m/s,1.4,m/s,0.7,m/s,字符型,城市管理局,https://www.chengshi.gov.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国科学技术协会,https://www.costa.gov.cn,2024-09-23,,,,,,,,,,,
服务机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,中国产业创新联盟,http://www.ciiac.org,2024-09-23,,,,,,,,,,,
工业机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国机械工业联合会,http://www.cmif.org,2024-09-23,,,,,,,,,,,
医疗机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,国家心血管病中心,https://www.nccd.org.cn,2024-09-23,,,,,,,,,,,
农业机器人,3.5,m/s,1.5,m/s,5,m/s,2.5,m/s,字符型,农业信息网,http://www.agri.cn,2024-09-23,,,,,,,,,,,
特种机器人,1.5,m/s,0.7,m/s,2.2,m/s,1,m/s,字符型,国家自然科学基金委员会,http://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
物流机器人,1.9,m/s,0.8,m/s,2.4,m/s,1.3,m/s,字符型,中国物流与采购联合会,http://www.clp.org.cn,2024-09-23,,,,,,,,,,,
探测机器人,2.2,m/s,0.9,m/s,3,m/s,1.4,m/s,字符型,中国地质调查局,http://www.cgs.gov.cn,2024-09-23,,,,,,,,,,,
陪伴机器人,1,m/s,0.2,m/s,1.5,m/s,0.6,m/s,字符型,中国老龄化发展协会,http://www.cada.org.cn,2024-09-23,,,,,,,,,,,
无人机,4,m/s,1.2,m/s,5.5,m/s,2,m/s,字符型,中国航空器拥有者及驾驶员协会,http://www.aca.org.cn,2024-09-23,,,,,,,,,,,
移动机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国科学技术协会,https://www.cast.org.cn,2024-09-23,,,,,,,,,,,
物流机器人,2.5,m/s,1,m/s,3.5,m/s,1.8,m/s,字符型,中国机器人产业联盟,https://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
家用机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.6,m/s,字符型,中国电子技术标准化研究院,https://www.cesi.org.cn,2024-09-23,,,,,,,,,,,
扫地机器人,1,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国家用电器协会,http://www.cheaa.org,2024-09-23,,,,,,,,,,,
监控机器人,1.5,m/s,0.5,m/s,2,m/s,0.8,m/s,字符型,公安部科技信息化司,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
竞技机器人,3,m/s,1.2,m/s,5,m/s,2.5,m/s,字符型,中国青少年科技创新大赛,http://www.cysc.gov.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.8,m/s,0.3,m/s,1.5,m/s,0.6,m/s,字符型,教育部,https://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
探索性机器人,2.2,m/s,0.9,m/s,3.3,m/s,1.7,m/s,字符型,国家自然科学基金委员会,http://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
救援机器人,1.6,m/s,0.5,m/s,2.7,m/s,1.4,m/s,字符型,中国红十字会,https://www.redcross.org.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,2,m/s,0.5,m/s,2.8,m/s,1.3,m/s,字符型,国家文化和旅游部,http://www.mct.gov.cn,2024-09-23,,,,,,,,,,,
清洁机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.3,m/s,字符型,中国机械工程学会,http://www.cmes.org,2024-09-23,,,,,,,,,,,
物流机器人,2.2,m/s,0.9,m/s,3,m/s,1.8,m/s,字符型,京东物流研究院,https://www.jdwl.com,2024-09-23,,,,,,,,,,,
探测机器人,1.3,m/s,0.4,m/s,1.9,m/s,0.6,m/s,字符型,中国科学技术协会,http://www.cast.org.cn,2024-09-23,,,,,,,,,,,
教育机器人,0.7,m/s,0.2,m/s,1.2,m/s,0.5,m/s,字符型,国家教育部,http://www.moe.gov.cn,2024-09-23,,,,,,,,,,,
家庭机器人,1,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,家庭服务机器人协会,http://www.hsra.org,2024-09-23,,,,,,,,,,,
安全监控机器人,1.5,m/s,0.6,m/s,2.2,m/s,1,m/s,字符型,公安部,http://www.mps.gov.cn,2024-09-23,,,,,,,,,,,
娱乐机器人,1.4,m/s,0.4,m/s,2,m/s,1.1,m/s,字符型,中国机器人产业联合会,http://www.robotics.org.cn,2024-09-23,,,,,,,,,,,
无人驾驶机器人,3.5,m/s,1.2,m/s,4.5,m/s,2.5,m/s,字符型,自然科学基金委员会,http://www.nsfc.gov.cn,2024-09-23,,,,,,,,,,,
宠物机器人,0.9,m/s,0.3,m/s,1.3,m/s,0.5,m/s,字符型,宠物机器人开发展示中心,http://www.petrobotics.com,2024-09-23,,,,,,,,,,,
科研机器人,2.1,m/s,0.8,m/s,2.7,m/s,1.4,m/s,字符型,中国科学院,http://www.cas.cn,2024-09-23,,,,,,,,,,,
