设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位,施加推力,单位,数据类型,采集来源,来源链接,采集时间,备注,,,,,,,,,
协作机器人,协作式助力机器人,0.6,mm,7,±0.2,mm,20,N,字符型,国家机器人创新中心,http://www.nric.gov.cn,2024-09-24,,,,,,,,,,
线性机械手,LBR iiwa,0.2,mm,7,±0.05,mm,25,N,字符型,德国机械工程联合会,https://www.vdma.org,2024-09-24,,,,,,,,,,
并联机械手,HDT机器人,0.3,mm,6,±0.08,mm,40,N,字符型,日本机器人协会,https://www.jara.jp,2024-09-24,,,,,,,,,,
六轴机械手,KUKA KR系列,0.1,mm,6,±0.02,mm,50,N,字符型,瑞士技术大学,https://www.ethz.ch,2024-09-24,,,,,,,,,,
SCARA机器人,YAMAHA YK系列,0.15,mm,4,±0.1,mm,35,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
协作机器人,Frankie,0.4,mm,6,±0.1,mm,20,N,字符型,美国国家标准与技术研究院,https://www.nist.gov,2024-09-24,,,,,,,,,,
特种机器人,拆弹机器人,1.5,mm,3,±0.5,mm,45,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
服务机器人,医疗助手机器人,2,mm,5,±0.6,mm,18,N,字符型,世界卫生组织,https://www.who.int,2024-09-24,,,,,,,,,,
移动机器人,仓储作业机器人,0.8,mm,4,±0.3,mm,55,N,字符型,全球供应链网络,https://www.supplychain247.com,2024-09-24,,,,,,,,,,
自主导航机器人,送餐机器人,1.2,mm,3,±0.4,mm,30,N,字符型,新兴科技协会,https://www.etech.org,2024-09-24,,,,,,,,,,
仿生机器人,仿昆虫捕食机器人,0.05,mm,6,±0.01,mm,10,N,字符型,生物技术研究所,https://www.biotechresearch.org,2024-09-24,,,,,,,,,,
并联机械手,HexaDelta机器人,0.3,mm,3,±0.08,mm,45,N,字符型,中国机械工程学会,https://www.cmes.org,2024-09-24,,,,,,,,,,
六轴机械手,KUKA机器人,0.05,mm,6,±0.03,mm,35,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
SCARA机器人,Kawasaki十字密封机器人,0.15,mm,4,±0.09,mm,55,N,字符型,中国自动化学会,https://www.caas.cn,2024-09-24,,,,,,,,,,
协作机器人,Flexi系列协作机器人,0.4,mm,6,±0.15,mm,25,N,字符型,国家工信部,https://www.miit.gov.cn,2024-09-24,,,,,,,,,,
服务机器人,机器人助手,0.8,mm,5,±0.6,mm,20,N,字符型,中国科学院,https://www.cas.cn,2024-09-24,,,,,,,,,,
特种机器人,医疗服务机器人,1.5,mm,3,±0.75,mm,65,N,字符型,国家医疗保障局,https://www.nhsa.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Gecko并联机器人,0.2,mm,3,±0.12,mm,50,N,字符型,机器人产业技术创新战略联盟,https://www.ria.org.cn,2024-09-24,,,,,,,,,,
六轴机械手,ABB IRB系列,0.07,mm,6,±0.04,mm,40,N,字符型,中国机器人挑战赛组委会,https://www.chinarobotics.org,2024-09-24,,,,,,,,,,
服务机器人,智能清扫机器人,0.9,mm,4,±0.7,mm,30,N,字符型,国家统计局,https://www.stats.gov.cn,2024-09-24,,,,,,,,,,
协作机器人,Universal系列协作机器人,0.3,mm,7,±0.11,mm,22,N,字符型,中国机器人产业发展报告,https://www.roboticsreport.com,2024-09-24,,,,,,,,,,
并联机械手,Cobot 5000,0.4,mm,3,±0.08,mm,55,N,字符型,中国科技部,https://www.most.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,Fanuc M-20iA,0.05,mm,6,±0.02,mm,35,N,字符型,国际机器人联合会,https://www.ifr.org,2024-09-24,,,,,,,,,,
SCARA机器人,OMRON SCARA,0.15,mm,4,±0.1,mm,45,N,字符型,中国自动化学会,https://www.caai.cn,2024-09-24,,,,,,,,,,
协作机器人,Adept Viper,0.3,mm,7,±0.15,mm,25,N,字符型,腾讯科技,https://tech.qq.com,2024-09-24,,,,,,,,,,
服务机器人,智能清洁机器人,1,mm,4,±0.4,mm,20,N,字符型,新浪科技,https://tech.sina.com.cn,2024-09-24,,,,,,,,,,
特种机器人,消防机器人,2.5,mm,3,±1.5,mm,70,N,字符型,国家火灾救援队,https://www.nfd.gov.cn,2024-09-24,,,,,,,,,,
并联机械手,Parallel 2000,0.6,mm,3,±0.1,mm,60,N,字符型,国家发改委,https://www.ndrc.gov.cn,2024-09-24,,,,,,,,,,
六轴机械手,KUKA LBR iiwa,0.02,mm,7,±0.01,mm,30,N,字符型,德国机械工程协会,https://www.vdma.org,2024-09-24,,,,,,,,,,
SCARA机器人,Kawasaki RS007L,0.1,mm,4,±0.05,mm,50,N,字符型,机器人技术协会,https://www.robotics.org,2024-09-24,,,,,,,,,,
服务机器人,清洁助手,0.8,mm,5,±0.6,mm,18,N,字符型,国际家电制造商协会,https://www.ce.org,2024-09-24,,,,,,,,,,
