细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光切割,西安智造激光设备有限公司,750,1-7500,8-220,12,<1.5,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光精密制造,宁波利德激光科技有限公司,600,1-3000,14-500,6,<1.7,宁波市科技局,https://www.ningbo.gov.cn,,
激光打孔,福州光基激光技术有限公司,340,1-6200,6-310,4,≤1.9,福建省市场监督管理局,https://www.fujian.gov.cn,,
激光清洗,长沙广众激光设备有限公司,220,1-5000,10-280,15,≤1.4,湖南省科技厅,https://www.hunan.gov.cn,,
激光焊接,黑龙江德盛激光有限公司,620,1-4000,7-500,11,≤1.2,黑龙江省科学技术厅,https://www.hlj.gov.cn,,
激光切割,南宁天光激光有限公司,680,1-8000,10-360,10,<1.8,广西壮族自治区科技厅,https://www.guangxi.gov.cn,,
激光精密制造,兰州宏光激光科技有限公司,770,1-3500,14-480,8,<1.5,甘肃省科技厅,https://www.gansu.gov.cn,,
激光焊接,深圳市伟业激光技术有限公司,650,1-4200,10-480,8,≤1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,成都智造激光科技公司,700,1-8000,5-320,4,<1.6,成都市科技局,https://www.chengdu.gov.cn,,
激光标刻,东莞市激光设备有限公司,400,1-3000,8-360,6,≤1.5,东莞市经济贸易局,https://www.dg.gov.cn,,
激光清洗,宁波凯瑞激光科技有限公司,250,1-6200,15-250,10,<1.6,宁波市科技局,https://www.ningbo.gov.cn,,
激光检测,哈尔滨光源技术有限公司,300,1-3800,12-500,7,≤1.3,黑龙江省科学技术厅,https://www.hlj.gov.cn,,
激光打标,武汉光电科技股份有限公司,550,1-5000,10-400,5,<1.8,武汉市科学技术局,https://www.wuhan.gov.cn,,
激光成型,苏州亿光激光技术有限公司,800,1-9500,5-320,12,≤1.2,江苏省科技厅,https://www.js.gov.cn,,
激光打孔,厦门市长宏激光有限公司,300,1-4500,7-290,6,<1.7,福建省发改委,https://www.fujian.gov.cn,,
激光处理,北京中新激光科技有限公司,500,1-7200,8-400,9,≤1.5,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光精密打标,重庆市创新激光科技有限公司,350,1-6000,9-350,4,<1.8,重庆市科学技术委员会,https://www.cq.gov.cn,,
激光焊接,济南真光激光有限公司,700,1-3000,6-320,10,≤1.4,山东省科技厅,https://www.shandong.gov.cn,,
激光可视化,天津市光点科技股份有限公司,450,1-7800,10-280,8,<1.5,天津市经济和信息化委员会,https://www.tianjin.gov.cn,,
激光雕刻,长春市激光工艺有限公司,370,1-4000,15-470,7,≤1.3,吉林省科学技术厅,https://www.jilin.gov.cn,,
激光成形,郑州市激光科技有限公司,600,1-8500,4-350,9,<1.6,河南省科技厅,https://www.henan.gov.cn,,
激光标刻,南昌市精密激光有限公司,250,1-5700,12-360,5,≤1.5,江西省科技厅,https://www.jiangxi.gov.cn,,
激光溶接,沈阳高科激光有限公司,680,1-9000,5-300,11,<1.4,辽宁省信息产业厅,https://www.liaoning.gov.cn,,
激光清洗,佛山市众鑫激光设备有限公司,230,1-6300,10-280,9,≤1.6,广东省科技局,https://www.guangdong.gov.cn,,
激光监测,合肥兆晟激光技术有限公司,480,1-5000,6-400,8,<1.7,安徽省科技厅,https://www.anhui.gov.cn,,
激光焊接,北京赛迪激光科技有限公司,680,1-4500 kHz,10-600 ns,8,≤1.4,北京市经济技术开发区,https://www.bjgb.gov.cn,,
激光切割,深圳市伟创激光科技有限公司,720,1-8000,6-350,4,<1.6,深圳市科技创新委,https://www.sz.gov.cn,,
激光增材制造,南京优创激光技术有限公司,500,1-6000,10-400,6,≤1.5,南京市科技局,https://www.nanjing.gov.cn,,
激光打孔,苏州晨辉激光设备有限公司,350,1-5500,8-250,5.5,<1.4,苏州市工业和信息化局,https://www.suzhou.gov.cn,,
激光清洗,宁波蓝天激光科技有限公司,220,1-5900,12-320,9,≤1.6,宁波市科技局,https://www.ningbo.gov.cn,,
激光熔覆,大连耀辉激光工程有限公司,700,1-4000,15-480,11,<1.3,大连市科技局,https://www.dalian.gov.cn,,
激光影像,成都慧通激光设备有限公司,450,1-5000,9-370,7,<1.5,成都市市场监督管理局,https://www.chengdu.gov.cn,,
激光表面处理,上海超达激光设备有限公司,800,1-7200,14-390,10,≤1.2,上海市科技委员会,https://www.shanghai.gov.cn,,
激光医疗,广州光明医疗科技有限公司,300,1-3500,20-250,4,<1.8,广州市卫生健康委员会,https://www.gz.gov.cn,,
激光粉末冶金,青岛天一激光工程有限公司,550,1-4500,10-370,6.5,≤1.4,青岛市科技局,https://www.qd.gov.cn,,
激光制备,武汉天翼激光科技有限公司,400,1-6000,5-460,8,<1.5,武汉市科学技术委员会,https://www.wuhan.gov.cn,,
激光电子,西安光电技术有限公司,620,1-3800,12-300,7.5,≤1.6,西安市科技局,https://www.xa.gov.cn,,
激光纳米加工,南昌光电科技有限公司,290,1-6800,8-200,5,<1.4,南昌市科学技术局,https://www.nc.gov.cn,,
激光3D打印,郑州恒新激光有限公司,350,1-5600,15-350,10,≤1.3,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光破碎,长春万德激光科技有限公司,400,1-5000,10-380,5.5,<1.6,长春市科技局,https://www.cc.gov.cn,,
激光标记,福州智光激光设备有限公司,460,1-4000,14-300,9,≤1.5,福州市科学技术局,https://www.fuzhou.gov.cn,,
激光探索,厦门光影激光科技有限公司,375,1-5200,13-329,6,<1.7,厦门市科技局,https://www.xiamen.gov.cn,,
激光智能制造,合肥格科激光技术有限公司,490,1-6500,9-267,8.5,≤1.3,合肥市经济和信息化局,https://www.hefei.gov.cn,,
激光焊接,深圳瑞光激光科技有限公司,700,1-3500 kHz,10-400 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,北京华盛激光技术有限公司,550,1-8000,5-250,4.5,<1.4,北京市科学技术委员会,https://www.bj.gov.cn,,
激光精密制造,南京激光制造技术有限公司,500,1-4500,15-600,6,<1.6,南京市经济和信息化局,https://www.nanjing.gov.cn,,
激光打孔,苏州明捷激光科技有限公司,420,1-5000,10-320,5,≤1.5,江苏省科学技术厅,https://www.jiangsu.gov.cn,,
激光清洗,成都星光激光设备有限公司,250,1-6000,12-250,10,≤1.4,成都市科技局,https://www.chengdu.gov.cn,,
激光焊接,广州新锐激光工程有限公司,800,1-4000 kHz,8-450 ns,9,≤1.1,广州市质量技术监督局,https://www.gz.gov.cn,,
激光切割,武汉达翔激光科技有限公司,650,1-7000,6-300,5.5,<1.3,武汉市科技局,https://www.wuhan.gov.cn,,
激光精密制造,沈阳超光激光技术有限公司,460,1-4000,20-550,5.5,<1.6,沈阳市科技局,https://www.shenyang.gov.cn,,
激光打孔,西安全新激光装备公司,370,1-4000,10-280,3.5,≤1.6,西安市经济发展局,https://www.xi.gov.cn,,
激光清洗,长春激光科技有限公司,180,1-5900,11-290,10.5,≤1.5,吉林省科技厅,https://www.jilin.gov.cn,,
激光焊接,郑州光电激光工程公司,750,1-3000 kHz,7-350 ns,8,≤1.2,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光切割,青岛雷锋激光设备有限公司,590,1-8000,5-270,4.8,<1.4,青岛市科技局,https://www.qd.gov.cn,,
激光精密制造,太原精工激光科技有限公司,430,1-3600,15-500,5,<1.7,山西省科技厅,https://www.shanxi.gov.cn,,
激光打孔,南昌光速激光设备制造有限公司,390,1-5500,9-300,4,≤1.5,南昌市科技发展局,https://www.nc.gov.cn,,
激光清洗,合肥高科激光有限公司,220,1-6200,8-260,11,≤1.6,合肥市经济与信息化委员会,https://www.hefei.gov.cn,,
激光焊接,杭州力扬激光科技有限公司,900,1-4200 kHz,6-380 ns,10,≤1.1,浙江省科技厅,https://www.zj.gov.cn,,
激光切割,福州光艺激光工程有限公司,520,1-7200,4-280,4.2,<1.5,福建省科技厅,https://www.fujian.gov.cn,,
激光精密制造,哈尔滨名光激光科技有限公司,480,1-4200,16-500,5.5,<1.5,黑龙江省科技厅,https://www.hlj.gov.cn,,
激光焊接,东莞华德激光科技有限公司,700,1-3000 kHz,10-400 ns,8,≤1.2,东莞市科技局,https://www.dg.gov.cn,,
激光切割,深圳铭科激光科技有限公司,800,1-6000 kHz,5-200 ns,6,<1.4,深圳市发展和改革委员会,https://www.sz.gov.cn,,
激光精密制造,北京光明激光科技有限公司,500,1-5000 kHz,15-450 ns,7,<1.5,北京市科学技术委员会,https://www.bj.gov.cn,,
激光打孔,南京南光激光有限公司,350,1-4000 kHz,8-300 ns,5,≤1.6,南京市经济和信息化委员会,https://www.nanjing.gov.cn,,
激光清洗,成都星河激光科技股份有限公司,250,1-7000 kHz,10-250 ns,14,≤1.5,成都市创新创业服务中心,https://www.chengdu.gov.cn,,
激光焊接,上海优尔激光科技有限公司,650,1-3500 kHz,12-420 ns,9,≤1.3,上海市经济和信息化委员会,https://www.sh.gov.cn,,
激光切割,武汉光星科技股份有限公司,750,1-8000 kHz,6-160 ns,10,<1.3,武汉市科学技术局,https://www.wuhan.gov.cn,,
激光精密制造,厦门南方激光有限公司,480,1-4500 kHz,18-300 ns,6,<1.6,厦门市经济和信息化局,https://www.xm.gov.cn,,
激光打孔,郑州华翔激光科技有限公司,400,1-5500 kHz,7-200 ns,5,≤1.5,郑州市科技局,https://www.zz.gov.cn,,
激光清洗,沈阳华铭激光科技集团,220,1-4900 kHz,9-300 ns,11,≤1.7,沈阳市民营经济发展局,https://www.shenyang.gov.cn,,
激光焊接,吉林未来激光科技有限公司,720,1-3200 kHz,14-450 ns,10,≤1.2,吉林省科技厅,https://www.jilin.gov.cn,,
激光切割,兰州精工激光设备有限公司,650,1-6000 kHz,5-250 ns,8,<1.2,兰州市科技局,https://www.lanzhou.gov.cn,,
激光精密制造,西安光影激光科技有限公司,600,1-4000 kHz,12-380 ns,7,<1.4,西安市经济发展局,https://www.xi.gov.cn,,
激光打孔,海南天马激光有限公司,300,1-4800 kHz,6-200 ns,3,≤1.5,海南省科技厅,https://www.hainan.gov.cn,,
激光清洗,青岛瑞鑫激光科技有限公司,280,1-4500 kHz,10-250 ns,10,≤1.6,青岛市经济和科技发展局,https://www.qd.gov.cn,,
激光焊接,福州延展激光科技有限公司,680,1-3100 kHz,11-420 ns,12,≤1.3,福州市科技局,https://www.fuzhou.gov.cn,,
激光切割,合肥锐欧激光科技有限公司,500,1-7000 kHz,5-300 ns,9,<1.4,合肥市经济和信息化局,https://www.hefei.gov.cn,,
激光精密制造,昆明智博激光科技有限公司,460,1-3900 kHz,14-420 ns,8,<1.5,昆明市经济和技术开发区,https://www.kunming.gov.cn,,
激光焊接,北京华伟激光科技有限公司,700,1-5000 kHz,15-450 ns,8,≤1.2,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光切割,深圳市顺星激光技术有限公司,800,1-6000 kHz,10-350 ns,6,<1.4,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光精密制造,天津光纤激光技术公司,500,1-4200 kHz,20-400 ns,4,<1.6,天津市科学技术局,https://www.tianjin.gov.cn,,
激光打孔,苏州前沿激光设备有限公司,350,1-5500 kHz,5-260 ns,5,≤1.5,苏州市工业和信息化局,https://www.suzhou.gov.cn,,
激光清洗,武汉光煌科技有限公司,250,1-4900 kHz,12-350 ns,10,≤1.6,武汉市科技局,https://www.wuhan.gov.cn,,
激光焊接,郑州辉煌激光技术有限公司,650,1-4000 kHz,18-500 ns,7.5,≤1.3,郑州市科学技术局,https://www.zhengzhou.gov.cn,,
激光切割,南京精艺激光制造有限公司,750,1-7500 kHz,8-320 ns,5.5,<1.3,南京市科技局,https://www.nanjing.gov.cn,,
激光精密制造,西安友诚激光设备有限公司,480,1-3500 kHz,10-420 ns,4.2,<1.6,西安市科技局,https://www.xi'an.gov.cn,,
激光打孔,上海兰花激光科技有限公司,300,1-6000 kHz,7-280 ns,3.5,≤1.7,上海市科技委员会,https://www.shanghai.gov.cn,,
激光清洗,佛山新光科技有限公司,220,1-6400 kHz,10-280 ns,11,≤1.5,佛山市经济和信息局,https://www.foshan.gov.cn,,
激光焊接,雷州安华激光科技有限公司,720,1-4500 kHz,14-420 ns,9,≤1.4,广东省科学技术厅,https://www.gd.gov.cn,,
激光切割,大连东极激光设备有限公司,900,1-8000 kHz,5-300 ns,7,<1.6,大连市经济和信息化局,https://www.dalian.gov.cn,,
激光精密制造,青岛海洋科技有限公司,550,1-3800 kHz,15-450 ns,4.5,<1.3,青岛市科学与技术局,https://www.qd.gov.cn,,
激光打孔,厦门创丰激光科技有限公司,370,1-5200 kHz,6-240 ns,5.2,≤1.4,厦门市科学技术局,https://www.xm.gov.cn,,
激光清洗,南昌光电有限公司,180,1-6000 kHz,12-270 ns,9,≤1.8,南昌市科技局,https://www.nanchang.gov.cn,,
激光焊接,合肥艾克激光科技有限公司,630,1-5400 kHz,20-460 ns,10,≤1.3,合肥市经济和信息化局,https://www.hefei.gov.cn,,
激光切割,沈阳中科激光技术有限公司,950,1-8200 kHz,9-290 ns,6.5,<1.5,沈阳市经济和信息化委员会,https://www.shenyang.gov.cn,,
激光精密制造,长沙智创科技有限公司,500,1-4000 kHz,12-420 ns,5,<1.3,长沙市科技局,https://www.changsha.gov.cn,,
激光焊接,南京博恒激光技术有限公司,700,1-3600 kHz,10-450 ns,8,≤1.4,南京市科学技术局,https://www.nanjing.gov.cn,,
激光切割,深圳市锐冠激光有限公司,800,1-6500 kHz,5-250 ns,6,<1.2,深圳市发展和改革委员会,https://www.sz.gov.cn,,
激光清洗,北京天成激光科技有限公司,250,1-5200 kHz,15-320 ns,4,≤1.5,北京市科学技术委员会,https://www.beijing.gov.cn,,
激光打孔,上海华贸激光设备有限公司,500,1-4800 kHz,8-400 ns,5,<1.6,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光精密制造,西安光源科技有限公司,750,1-4000 kHz,10-350 ns,7,≤1.3,西安市科学技术局,https://www.xa.gov.cn,,
激光焊接,成都蓝光激光技术有限公司,550,1-7000 kHz,12-420 ns,6,<1.5,成都市科学技术局,https://www.chengdu.gov.cn,,
激光清洗,武汉光能科技有限公司,300,1-5000 kHz,20-300 ns,10,≤1.6,武汉市科学技术局,https://www.wh.gov.cn,,
激光切割,宁波万德激光设备有限公司,900,1-4800 kHz,5-270 ns,9,<1.4,宁波市科技局,https://www.ningbo.gov.cn,,
激光打孔,福州星空激光科技有限公司,400,1-6000 kHz,15-290 ns,4,<1.6,福州市科技局,https://www.fuzhou.gov.cn,,
激光精密制造,广州智佳激光科技有限公司,520,1-4200 kHz,10-360 ns,3,≤1.8,广州市工业和信息化局,https://www.gz.gov.cn,,
激光焊接,天津欧特激光技术有限公司,650,1-3500 kHz,6-400 ns,5,<1.5,天津市科学技术局,https://www.tianjin.gov.cn,,
激光切割,海口百灵激光科技股份有限公司,720,1-6000 kHz,10-350 ns,7,<1.3,海口市经济和信息化局,https://www.haikou.gov.cn,,
激光清洗,南昌伟业激光科技有限公司,220,1-5300 kHz,15-290 ns,11,≤1.8,南昌市科技局,https://www.nc.gov.cn,,
激光打孔,郑州光源激光有限公司,380,1-5500 kHz,8-300 ns,5,<1.4,郑州市经济发展局,https://www.zhengzhou.gov.cn,,
激光精密制造,合肥宏蓝激光科技有限公司,850,1-4100 kHz,10-380 ns,7,≤1.5,合肥市科技局,https://www.hefei.gov.cn,,
激光焊接,昆明阳光激光科技有限公司,600,1-4600 kHz,20-400 ns,8,<1.6,昆明市科技和信息化局,https://www.kunming.gov.cn,,
激光切割,桂林风华激光设备公司,730,1-4800 kHz,5-275 ns,9,<1.4,桂林市人民政府,https://www.guilin.gov.cn,,
激光清洗,丽江云天激光技术有限公司,180,1-4500 kHz,12-280 ns,11,≤1.4,丽江市科学技术局,https://www.lijiang.gov.cn,,
激光打孔,南宁光辉激光设备有限公司,360,1-5400 kHz,15-320 ns,6,<1.5,南宁市科技局,https://www.nanning.gov.cn,,
激光打标,深圳市光明激光科技有限公司,500,1-6000,8-400,6,<1.5,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光焊接,南京水云激光设备有限公司,700,1-5000,10-250,8,<1.3,南京市科技局,https://www.nanjing.gov.cn,,
激光切割,成都激光科技股份有限公司,800,1-4000,6-350,5,<1.4,四川省经济和信息化厅,http://www.sc.gov.cn,,
激光清洗,天津瑞格激光科技有限公司,250,1-6000,15-350,10,<1.6,天津市科技局,http://www.tianjin.gov.cn,,
激光打孔,哈尔滨精工激光设备有限公司,350,1-5500,7-400,4,<1.8,黑龙江省工业和信息化厅,http://www.hlj.gov.cn,,
激光精密制造,武汉光华激光技术有限公司,450,1-5000,6-300,7,<1.5,武汉市科技局,https://www.wuhan.gov.cn,,
激光打标,泉州星辉激光有限公司,550,1-6000,10-250,6,<1.4,泉州市科技局,http://www.quanzhou.gov.cn,,
激光雕刻,南昌鹏飞激光制造有限公司,480,1-4500,12-300,5,<1.6,江西省科技厅,http://www.jiangxi.gov.cn,,
激光焊接,苏州翰林激光科技有限公司,900,1-7800,5-200,9,<1.2,苏州市工业和信息化局,http://www.suzhou.gov.cn,,
激光切割,上海华鹰激光设备有限公司,1000,1-10000,5-250,11,<1.3,上海市经济和信息化委员会,http://www.shanghai.gov.cn,,
激光清洗,重庆明远激光技术有限公司,350,1-5500,15-400,9,<1.5,重庆市科技局,http://www.cq.gov.cn,,
激光打孔,贵阳星海激光有限公司,280,1-5300,8-320,3,<1.6,贵州省科技厅,http://www.guizhou.gov.cn,,
激光精密制造,宁波光电科技有限公司,600,1-4000,10-500,8,<1.5,宁波市科技局,http://www.ningbo.gov.cn,,
激光打标,昆明云天激光科技有限公司,430,1-6000,9-350,6,<1.4,云南省科技厅,http://www.kunming.gov.cn,,
激光雕刻,郑州云视激光设备有限公司,470,1-5600,11-290,7,<1.6,河南省科技厅,http://www.zhengzhou.gov.cn,,
激光焊接,青岛港泰激光科技有限公司,750,1-4500,6-270,10,<1.5,山东省科技局,http://www.qd.gov.cn,,
激光清洗,福州海鹰激光科技有限公司,150,1-5000,12-320,9,<1.7,福建省科技厅,http://www.fuzhou.gov.cn,,
激光焊接,深圳激光科技有限公司,800,1-3500 kHz,10-400 ns,9,≤1.2,广东省科技厅,https://www.gdstc.gov.cn,,
激光切割,南京航宇激光设备有限公司,720,1-6000,5-350,6,<1.4,南京市经济技术开发区,https://www.nanjing.gov.cn,,
激光精密制造,天津市激光科技研究院,500,1-4500,15-450,4.5,<1.6,天津市科学技术委员会,https://www.tj.gov.cn,,
激光打孔,成都光电仪器有限公司,420,1-7000,8-280,5,≤1.5,成都市科技局,https://www.chengdu.gov.cn,,
激光清洗,河南焱光激光设备有限公司,300,1-6100,12-290,10,≤1.6,河南省科学技术厅,https://www.henan.gov.cn,,
激光表面处理,福建东南激光制造有限公司,700,1-5000,10-400,8,<1.3,福建省经济和信息化厅,https://www.fujian.gov.cn,,
医疗激光,深圳市医疗激光设备有限公司,550,1-8000,6-360,7,≤1.5,国家医疗器械监督管理局,https://www.nmpa.gov.cn,,
激光雕刻,辽宁省雕刻激光公司,150,1-4000,15-250,5,<1.9,沈阳市科技局,https://www.shenyang.gov.cn,,
激光标记,重庆强光激光设备有限公司,250,1-5000,7-220,4,<1.6,重庆市经济和信息化委员会,https://www.cq.gov.cn,,
激光探伤,浙江省激光探伤技术有限公司,400,1-6000,10-320,8,≤1.4,浙江省政府,https://www.zj.gov.cn,,
激光焊接,哈尔滨光学仪器研究所,750,1-4500,5-350,11,≤1.3,黑龙江省科技厅,https://www.hlj.gov.cn,,
激光切割,四川省新科技激光有限公司,600,1-5200,15-300,5.5,<1.5,四川省人民政府,https://www.sc.gov.cn,,
激光打孔,青岛光讯激光科技有限公司,500,1-4000,5-250,3.5,≤1.6,青岛市科技局,https://www.qd.gov.cn,,
激光精密制造,宁波市高新激光科技有限公司,650,1-6000,10-270,8,<1.2,宁波市科技局,https://www.ningbo.gov.cn,,
激光清洗,广西激光设备有限公司,300,1-5800,10-230,9,≤1.8,广西科技厅,https://www.gx.gov.cn,,
激光测量,西安光电激光技术公司,300,1-4000,12-200,6.5,<1.7,西安市经济和信息化委员会,https://www.xa.gov.cn,,
激光材料加工,新疆绿洲激光技术有限公司,450,1-4900,7-260,5,≤1.5,新疆维吾尔自治区科技厅,https://www.xinjiang.gov.cn,,
激光焊接,深圳市创宇激光科技有限公司,750,1-3000,10-400,8,<1.5,深圳市经济和信息化局,https://www.sz.gov.cn,,
激光切割,南京天宇激光科技有限公司,800,1-10000,5-250,6,≤1.2,南京市科技局,https://www.nanjing.gov.cn,,
激光精密制造,西安激光技术研究院,520,1-5000,15-450,5,<1.6,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光打孔,成都宏光智能科技有限公司,400,1-5500,8-350,4.5,≤1.5,成都市科学技术局,https://www.chengdu.gov.cn,,
激光清洗,北京赛讯激光技术有限公司,250,1-6000,12-320,10,≤1.6,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光焊接,天津德瑞激光股份有限公司,900,1-3500,10-410,9,<1.4,天津市科学技术局,https://www.tianjin.gov.cn,,
激光切割,武汉创新激光科技有限公司,700,1-8000,6-220,7,≤1.3,武汉市科学技术局,https://www.wuhan.gov.cn,,
激光精密制造,苏州精诚激光技术有限公司,650,1-3600,18-480,6.5,<1.5,江苏省科技厅,https://www.js.gov.cn,,
激光打孔,青岛星辰激光科技有限公司,350,1-4500,7-300,4,≤1.8,山东省科技厅,https://www.qd.gov.cn,,
激光清洗,长沙光电科技有限公司,180,1-7000,13-280,11,≤1.9,湖南省经济和信息化厅,https://www.changsha.gov.cn,,
激光焊接,哈尔滨华成激光技术有限公司,800,1-3800,11-420,7.8,<1.5,黑龙江省科技厅,https://www.hrb.gov.cn,,
激光切割,郑州智创激光有限公司,850,1-7500,10-280,5.5,≤1.3,河南省科技厅,https://www.zhengzhou.gov.cn,,
激光精密制造,福州媚蓝科技有限公司,560,1-4700,20-480,6.2,<1.4,福建省经济和信息化厅,https://www.fuzhou.gov.cn,,
激光打孔,西宁瑞丰激光科技有限公司,290,1-4900,9-300,3.2,≤1.6,青海省科技厅,https://www.xining.gov.cn,,
激光清洗,昆明新视激光有限公司,220,1-8000,10-310,11.5,≤1.8,云南省科学技术局,https://www.kunming.gov.cn,,
激光焊接,重庆晨曦激光技术有限公司,650,1-3900,14-420,7.2,<1.4,重庆市经济和信息化委员会,https://www.cq.gov.cn,,
激光切割,南昌华光激光科技有限公司,720,1-9500,5-220,5.8,≤1.2,江西省科技厅,https://www.nanchang.gov.cn,,
激光焊接,深圳光明激光技术有限公司,450,1-6000 kHz,10-250 ns,6,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,北京前景激光科技有限公司,700,1-8000 kHz,5-400 ns,4.5,<1.4,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光打孔,南京星辰激光设备有限公司,370,1-3000 kHz,15-350 ns,5.5,≤1.6,南京市技术监督局,https://www.nanjing.gov.cn,,
激光清洗,上海光汇科技有限公司,300,1-4000 kHz,20-300 ns,8,<1.5,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光标记,武汉光电科技有限公司,200,1-5000 kHz,10-200 ns,3,≤1.8,武汉市科技局,https://www.wuhan.gov.cn,,
激光精密制造,成都轻量化激光技术有限公司,520,1-4500 kHz,12-500 ns,7.2,<1.4,成都市经济和信息化委员会,https://www.chengdu.gov.cn,,
激光切割,天津巨力激光科技有限公司,800,1-7500 kHz,5-280 ns,10,≤1.3,天津市科学技术局,https://www.tianjin.gov.cn,,
激光焊接,苏州激光智能科技有限公司,400,1-6000 kHz,15-250 ns,5,<1.6,苏州市科技局,https://www.suzhou.gov.cn,,
激光打孔,厦门瑞华激光设备有限公司,350,1-6800 kHz,10-300 ns,4.8,≤1.5,厦门市经济和技术局,https://www.xm.gov.cn,,
激光清洗,杭州南方激光有限公司,250,1-5800 kHz,18-300 ns,9,<1.6,杭州市科技局,https://www.hangzhou.gov.cn,,
激光标记,沈阳誠信激光有限公司,180,1-5000 kHz,8-200 ns,3.5,≤1.9,沈阳市经济和信息化委员会,https://www.shenyang.gov.cn,,
激光精密制造,哈尔滨激光科技有限公司,600,1-7000 kHz,10-450 ns,8,<1.3,哈尔滨市科技贸易局,https://www.harbin.gov.cn,,
激光切割,西安创新激光设备有限公司,750,1-7200 kHz,5-300 ns,5,≤1.4,西安市科学技术局,https://www.xi'an.gov.cn,,
激光打孔,宁波光新激光科技有限公司,400,1-4000 kHz,12-320 ns,6,<1.7,宁波市经济和信息局,https://www.ningbo.gov.cn,,
激光清洗,安徽星河激光有限公司,220,1-5500 kHz,10-250 ns,7,≤1.5,合肥市科学技术局,https://www.hefei.gov.cn,,
激光标记,福州高科激光技术有限公司,160,1-4800 kHz,6-180 ns,4,<1.8,福州市科技局,https://www.fuzhou.gov.cn,,
激光精密制造,青岛恒拓激光科技有限公司,500,1-6200 kHz,15-450 ns,6.5,≤1.3,青岛市科技局,https://www.qd.gov.cn,,
激光焊接,郑州迈安科技有限公司,550,1-5000 kHz,7-400 ns,9,<1.2,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光雕刻,深圳华光激光科技有限公司,500,1-6000 kHz,10-350 ns,6,≤1.5,深圳市经济贸易和信息化委员会,https://www.sz.gov.cn,,
激光焊接,北京先锋激光技术有限公司,700,1-5000 kHz,8-400 ns,9,≤1.4,北京市科学技术委员会,https://www.beijing.gov.cn,,
激光打标,苏州铭大激光设备有限公司,300,1-8000 kHz,12-250 ns,4,≤1.6,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光切割,上海雷达激光科技有限公司,850,1-10000 kHz,5-200 ns,15,≤1.2,上海市经济和信息化委,https://www.shanghai.gov.cn,,
激光清洗,重庆长安激光科技有限公司,350,1-6500 kHz,20-400 ns,7,≤1.5,重庆市科技局,https://www.cq.gov.cn,,
激光焊接,天津未来科技激光公司,400,1-4500 kHz,10-250 ns,8,≤1.3,天津市科学技术和信息化局,https://www.tianjin.gov.cn,,
激光切割,宁波蓝光激光设备有限公司,550,1-7000 kHz,8-300 ns,5,≤1.4,宁波市科学技术局,https://www.ningbo.gov.cn,,
激光打孔,厦门贝尔激光工程有限公司,230,1-5500 kHz,15-350 ns,6,≤2.0,厦门市科技局,https://www.xiamen.gov.cn,,
激光精密制造,福州亮光科技有限公司,480,1-6000 kHz,10-250 ns,10,≤1.6,福州市科学技术局,https://www.fuzhou.gov.cn,,
激光清洗,成都光辉激光科技有限公司,220,1-5400 kHz,12-350 ns,11,≤1.8,成都市科学技术局,https://www.chengdu.gov.cn,,
激光涂层,山西激光科技有限公司,500,1-8000 kHz,15-400 ns,7,≤1.5,山西省科技厅,https://www.shanxi.gov.cn,,
激光焊接,广安激光设备有限公司,600,1-4200 kHz,10-250 ns,5,≤1.3,广安市科技局,https://www.guangan.gov.cn,,
激光打标,武汉金光激光科技有限公司,380,1-5000 kHz,5-200 ns,8,≤1.6,武汉市经济和信息化局,https://www.wuhan.gov.cn,,
激光清洗,郑州唯美激光科技有限公司,300,1-6500 kHz,8-350 ns,10,≤1.7,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光焊接,南昌和谐激光科技有限公司,650,1-7200 kHz,10-250 ns,12,≤1.4,南昌市经济与信息化局,https://www.nanchang.gov.cn,,
激光切割,青岛捷达激光科技有限公司,400,1-5000 kHz,10-300 ns,8,≤1.5,青岛市科技局,https://www.qd.gov.cn,,
激光打孔,济南瑞丰激光设备有限公司,250,1-6000 kHz,8-360 ns,4,≤1.7,济南市科技局,https://www.jinan.gov.cn,,
激光精密制造,西安鑫光激光科技有限公司,480,1-6750 kHz,15-400 ns,9,≤1.5,西安市高新技术产业开发区,https://www.xi'an.gov.cn,,
