激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
二氧化碳激光器,10.6 µm,10-20%,1000,W,1.5,良好,优良,良好,金属、塑料,高,大型,每年,高,一般,25000,小时,国际机械工程协会,https://www.ime.org,,
医疗激光器,532 nm,30-40%,80,W,1.7,优良,良好,优良,组织、皮肤,低,小型,每半年,中等,非常便捷,10000,小时,中国医学科学院,https://www.cams.org.cn,,
超快速激光器,800 nm,35-45%,600,W,<1.0,优秀,优良,优秀,塑料、金属,中,中型,每年,中等,便捷,30000,小时,激光应用技术研究所,https://www.laserapplicationtech.org,,
激光切割机,450 nm,20-32%,750,W,1.6,良好,优良,中等,金属、复合材料,高,大型,每年,中等,较便捷,22000,小时,中国机械制造协会,https://www.cma.org.cn,,
红外激光器,1064 nm,25-35%,4000,W,1.3,优良,优良,优秀,塑料、木材、金属,中,大型,每年,中等,便捷,35000,小时,国家激光技术研究中心,https://www.nationallasertech.cn,,
高强度激光器,532 nm,28-32%,1000,W,1.8,优良,中等,良好,金属、合成材料,高,中型,每半年,中等,便捷,16000,小时,中国先进材料研究院,https://www.camsci.net,,
移动激光器,650 nm,20-30%,150,W,2.0,一般,中等,一般,纸张、木材,低,小型,每半年,较高,较复杂,5000,小时,中国包装研究院,https://www.cnpackaging.org.cn,,
脉冲激光器,800 nm,15-25%,300,W,1.5,一般,中等,中等,金属、塑料,中,中型,每年,中低,便捷,12000,小时,激光前沿技术论坛,https://www.laserfrontier.org,,
车用激光器,940 nm,35-45%,500,W,<1.0,优良,优良,优秀,金属、复合材料,低,小型,每年,中等,便捷,20000,小时,国际汽车工程师协会,https://www.iaea.org,,
线激光器,532 nm,18-25%,300,W,1.6,良好,良好,中等,金属、纸张,中,中型,每半年,中等,便捷,15000,小时,包装与材料研究中心,https://www.packagingresearch.org.cn,,
氟化激光器,157 nm,10-15%,100,W,2.0,一般,较差,良好,薄膜、绝缘材料,低,小型,每年,高,复杂,8000,小时,半导体设备制造协会,https://www.semiconductordevice.org,,
光纤激光器,1064 nm,25%-35%,1500,W,<1.2,优良,优秀,优秀,金属、复合材料,中,中型,每年,中等,便捷,30000,小时,激光技术与应用研究院,https://www.lasertech.cn,,
紫外激光器,355 nm,20%-25%,600,W,1.5,良好,中等,良好,电子元件、塑料,高,小型,每年,较高,较便捷,15000,小时,电子科技大学激光中心,https://www.lazygame.edu.cn,,
超高压光纤激光器,1550 nm,30%-40%,2500,W,<1.0,优良,优良,优秀,金属、非金属,低,大型,每年,中等,便捷,20000,小时,国家激光技术研发中心,https://www.nlasertech.gov,,
超声激光器,1064 nm,25%-30%,1200,W,1.3,一般,优秀,优异,塑料、金属,中,中型,每半年,较低,非常便捷,22000,小时,海洋工程方案研究所,https://www.oceanresearch.gov.cn,,
碳纳米管激光器,800 nm,35%-45%,900,W,1.1,优良,良好,优秀,复合材料、塑料,低,超小型,每年,中等,便捷,18000,小时,纳米技术与应用研究中心,https://www.nanotech.org,,
激光去污器,532 nm,15%-20%,500,W,1.6,一般,中等,一般,金属、非金属,中,中型,每半年,中等,简单,8000,小时,激光清洗技术实验室,https://www.lasercleaninglab.com,,
钛激光器,850 nm,20%-30%,1000,W,1.4,优良,优良,良好,金属、塑料,中,大型,每年,高,方便,16000,小时,钛合金工业研究所,https://www.titaniumresearch.cn,,
低功耗光激光器,405 nm,10%-15%,200,W,1.9,良好,中等,一般,标记材料、纸张,低,小型,每半年,低,便捷,5000,小时,光电子科学技术研究院,https://www.optoelectronicsinst.edu.cn,,
肽激光器,980 nm,15%-20%,400,W,1.8,一般,良好,优良,医用材料、塑料,中,中型,每年,较高,便捷,22000,小时,医疗设备研发中心,https://www.medicaldevices.org,,
强光激光器,750 nm,30%-40%,2000,W,<1.0,优良,优良,优秀,金属、复合材料,低,大型,每年,中等,极其便捷,30000,小时,国家制造业与科技协同研究中心,https://www.manufacturingtech.cn,,
工艺激光器,650 nm,35%-45%,800,W,1.2,良好,优良,良好,木材、纸张,中,小型,每半年,低,便捷,6000,小时,工艺材料研究所,https://www.craftingmaterials.org,,
高功率气体激光器,10.6 µm,20%-30%,5000,W,2.0,一般,优良,优秀,大规模金属结构,高,大型,每年,高,复杂,10000,小时,进行激光工业协会,https://www.lasermanufacturing.org,,
宽波段激光器,600-1100 nm,15%-25%,1000,W,>2.0,一般,中等,中等,非金属、多种材料,中,小型,每半年,中等,简单,8000,小时,材料科学与工程学院,https://www.materialsscience.edu.cn,,
激光冷却器,780 nm,10%-15%,250,W,1.4,一般,低,一般,医用材料、玻璃,低,超小型,每年,低,非常便捷,12000,小时,光电医疗技术中心,https://www.opticalmedicine.edu.cn,,
长脉冲激光器,1064 nm,20%-30%,850,W,1.3,良好,优良,优秀,塑料、钢材,中,中型,每年,中等,便捷,12000,小时,国际激光加工学会,https://www.ILSW.org,,
红外激光器,10600 nm,20-25%,2000,W,1.5,优秀,优良,良好,塑料、金属,高,中型,每半年,中等,便捷,18000,小时,国际激光技术组织,https://www.international-laser.org,,
脉冲Nd:YAG激光器,1064 nm,22-35%,1500,W,1.3,优良,良好,优秀,金属、陶瓷,中,小型,每年,中等,较便捷,20000,小时,激光与光电技术杂志,https://www.journaloflasertechnology.com,,
气体激光器,10.6 µm,10-15%,5000,W,>3.0,一般,优良,中等,金属、木材,中,大型,每年,较高,较复杂,15000,小时,先进制造业研究中心,https://www.advancedmanufacturing.org,,
紫外激光器,355 nm,25-40%,1200,W,1.2,优良,优秀,优良,塑料、电子元件,低,中型,每半年,中等,非常便捷,30000,小时,光学与激光协会,https://www.opticalandlasersociety.org,,
连续波激光器,980 nm,30-45%,1000,W,1.0,优秀,良好,优良,金属、玻璃,高,小型,每年,中等,便捷,25000,小时,工业激光应用期刊,https://www.industrylasermag.com,,
超快激光器,800 nm,40-60%,300,W,<1.0,优秀,优良,优秀,金属、聚合物,中,小型,每半年,中等,非常便捷,15000,小时,激光技术与应用研究所,https://www.lasertechresearch.org,,
固体激光器,532 nm,15-25%,700,W,1.4,良好,优良,中等,金属、石材,中,大型,每年,高,便捷,18000,小时,中国激光产业发展研究中心,https://www.claserindustry.org.cn,,
蓝光激光器,450 nm,22-32%,500,W,2.0,一般,中等,良好,塑料、木材,中,小型,每半年,中等,便捷,10000,小时,中国激光研究中心,https://www.claserresearch.cn,,
钕玻璃激光器,1060 nm,30-50%,4000,W,1.8,良好,优秀,优良,金属、陶瓷,中,大型,每年,较高,便捷,25000,小时,国家激光研发中心,https://www.nationallaserlab.cn,,
自由电子激光器,0.1-10 nm,5-10%,100000,W,>3.5,一般,中等,优秀,各种材料,高,超大型,每年,极高,复杂,50000,小时,中国科学院物理研究所,https://www.cas.ac.cn,,
激光二极管,780 nm,40-55%,200,W,1.1,优良,良好,优良,金属、塑料,中,极小型,每半年,较低,非常便捷,10000,小时,电子及激光技术研究中心,https://www.eltrc.cn,,
高光束质量激光器,1064 nm,35-45%,1500,W,0.9,优良,优良,优秀,金属、陶瓷,中低,中型,每年,中等,便捷,22000,小时,激光加工应用杂志,https://www.laserapplicationsjournal.com,,
增材制造激光器,1070 nm,20-30%,2500,W,1.7,良好,中等,优秀,金属、塑料,中,大型,每年,高,中等,19000,小时,增材制造与激光技术协会,https://www.amltassociation.org,,
长波激光器,1550 nm,30-35%,600,W,1.6,优良,优良,良好,木材、金属,中,小型,每半年,中等,便捷,15000,小时,激光技术发展基金会,https://www.lasertechfoundation.org,,
超音速激光器,450 nm,18-28%,800,W,2.5,一般,中等,中等,塑料、金属,低,中型,每年,中等,较复杂,12000,小时,中国激光技术发展与应用协会,https://www.clta.org.cn,,
强激光冷却激光器,450 nm,35-50%,500,W,1.2,优良,优良,优秀,金属、玻璃,中,小型,每半年,较低,便捷,13000,小时,先进光电技术平台,https://www.advancedoptics.org,,
钛宝石激光器,800 nm,25%-35%,1200,W,1.1,优良,优秀,优良,金属、陶瓷,低,中型,每年,中等,便捷,15000,小时,先进激光技术研究中心,https://www.advancedlasertech.org,,
超材料激光器,1064 nm,30%-40%,2500,W,1.5,良好,优良,优秀,复合材料、塑料,中,大型,每年,高,较便捷,20000,小时,国际复合材料协会,https://www.icm-association.org,,
固态激光器,532 nm,20%-30%,800,W,1.3,优良,良好,良好,金属、塑料,中,中型,每半年,中等,方便,12000,小时,光电工程研究所,https://www.opticalengineering.org,,
蓝光激光器,450 nm,15%-25%,500,W,1.2,一般,中等,优良,塑料、非金属,低,小型,每半年,较高,较便捷,8000,小时,民族传统工艺技术研究中心,https://www.folkcrafttech.org,,
自由电子激光器,6-12 µm,10%-15%,3000,W,>3.0,差,优良,中等,金属、聚合物,高,大型,每年,高,复杂,5000,小时,国家粒子物理实验室,https://www.npl.gov.cn,,
光纤激光器,1550 nm,40%-50%,1500,W,1.0,优良,优秀,优秀,金属、塑料、光纤,低,中型,每半年,中等,非常便捷,25000,小时,国际光纤技术研究协会,https://www.ifo.org,,
激光放大器,1064 nm,15%-20%,5000,W,>2.5,一般,中等,良好,金属、复合材料,中,大型,每年,高,复杂,10000,小时,国家激光系统研究所,https://www.national-laser-system.org,,
可调谐激光器,400-800 nm,20%-30%,250,W,1.6,优良,较差,良好,实验材料、金属,低,小型,每半年,中等,便捷,20000,小时,激光应用研究所,https://www.laserapplications.org,,
超短脉冲激光器,800 nm,16%-25%,750,W,1.2,良好,优秀,优秀,生物材料、半导体,中,小型,每年,中等,较便捷,15000,小时,生物技术发展协会,https://www.biotechdev.org,,
啁啾脉冲放大激光器,1030 nm,25%-35%,4000,W,1.3,优良,优良,优秀,金属、塑料、复合材料,低,中型,每年,高,较便捷,30000,小时,世界激光协会,https://www.worldlasers.org,,
长波长激光器,10.6 µm,12%-18%,350,W,<1.5,良好,优良,良好,塑料、合金,中,小型,每半年,中等,便捷,24000,小时,中国激光科学研究所,https://www.clsr.org,,
超高功率激光器,1030 nm,28%-38%,10000,W,2.5,一般,中等,优良,金属、复合材料,高,大型,每年,高,复杂,5000,小时,国际激光产业联盟,https://www.laserindustry.org,,
宽波长激光器,300-900 nm,20%-40%,600,W,1.9,中等,优良,良好,各类金属、树脂,中,中型,每年,中等,便捷,12000,小时,国家新材料研究所,https://www.nms.gov.cn,,
超快激光器,785 nm,30%-50%,900,W,1.2,优良,良好,优秀,生物材料、金属,低,小型,每半年,中等,便捷,18000,小时,国家实验室技术中心,https://www.nationaltechcenter.org,,
紫外激光器,355 nm,20-25%,1500,W,1.5,良好,优良,优秀,玻璃、塑料、金属,高,中型,每年,中等,较便捷,12000,小时,新兴激光技术协会,https://www.newlasertech.org,,
红外激光器,10600 nm,12-17%,2000,W,1.8,一般,中等,良好,塑料、焦耳材料,中,小型,每半年,较高,便捷,15000,小时,中国激光制造产业研究院,https://www.clmri.cn,,
氩气激光器,488 nm,28-35%,750,W,1.2,优良,良好,中等,金属、陶瓷,低,小型,每年,中等,较便捷,13000,小时,国际激光技术联合会,https://www.ilta.org,,
低功率连续激光器,650 nm,15-20%,150,W,1.0,良好,优良,良好,塑料,中,超小型,每半年,低,非常便捷,5000,小时,中国激光应用技术研究中心,https://www.clatc.cn,,
超高功率激光器,1050 nm,30-40%,10000,W,1.1,优良,优秀,优良,金属、合金,中,大型,每年,较高,较便捷,50000,小时,国家激光器技术研究中心,https://www.nltc.cn,,
脉冲蓄能激光器,620 nm,35-45%,3000,W,1.4,良好,优良,优秀,复合材料、金属,高,中型,每年,中等,便捷,20000,小时,技术创新研究所,https://www.innovationinst.cn,,
超低能量激光器,810 nm,10-15%,100,W,<1.5,一般,较差,一般,塑料、薄膜材料,低,超小型,每半年,较低,便捷,8000,小时,中国机械工业联合会,https://www.cmic.org.cn,,
动态激光器,980 nm,25-30%,600,W,1.7,良好,优良,优秀,金属、合成材料,中,大型,每年,中等,较便捷,32000,小时,全球激光技术联盟,https://www.glta.org,,
脉冲氮气激光器,532 nm,22-27%,400,W,1.3,优良,优良,良好,木材、纸张,低,小型,每半年,中等,便捷,15000,小时,中国光电技术中心,https://www.opttech.cn,,
绿色半导体激光器,520 nm,40-50%,250,W,1.2,优良,优良,优秀,织物、塑料,中,小型,每年,较低,便捷,18000,小时,激光器效能研究所,https://www.laserperformance.org,,
智能激光器,462 nm,18-25%,500,W,1.4,优良,中等,良好,轻质金属、塑料膜,中,中型,每年,中等,较便捷,12000,小时,高端科技研究中心,https://www.hitechresearch.org,,
微型激光器,450 nm,30-35%,100,W,1.3,良好,较差,中等,PCB、薄膜材料,低,超小型,每半年,低,便捷,7000,小时,材料科学与工程学院,https://www.materialsci.com,,
便携式激光器,520 nm,20-30%,200,W,1.6,一般,中等,良好,塑料、气体,中,小型,每年,中等,便捷,12000,小时,光电产业研究中心,https://www.opticalindustry.org,,
光纤激光器,1550 nm,15-20%,1000,W,1.1,优秀,优良,优秀,金属、塑料、复合材料,中,大型,每年,中等,便捷,40000,小时,中国科研技术发展中心,https://www.crt.org.cn,,
蓝光激光器,450 nm,25%-35%,1500,W,1.5,优良,中等,优良,塑料、金属,中,中型,每年,中等,便捷,18000,小时,激光与智能制造研究中心,https://www.laser-smart.com,,
超高能激光器,500 nm,40%-45%,5000,W,1.1,优良,优秀,优秀,金属、陶瓷,高,超大型,每年,较高,较便捷,12000,小时,国际激光技术协会,https://www.internationallaser.org,,
光纤激光器,1064 nm,25%-30%,3000,W,1.3,良好,良好,优秀,金属、复合材料,中,中型,每年,中等,非常便捷,20000,小时,中国激光产业发展研究院,https://www.clidri.org,,
可调谐激光器,400 nm - 800 nm,15%-25%,1200,W,1.8,优良,中等,一般,玻璃、塑料,低,小型,每半年,较高,便捷,15000,小时,全球激光设备市场研究中心,https://www.global-laser-market.com,,
高功率氦氖激光器,632.8 nm,10%-15%,200,W,2.0,一般,较差,一般,非金属、纸张,低,大型,每年,中等,便捷,5000,小时,激光与光电研究所,https://www.laser-photonics.org,,
钕激光器,1064 nm,20%-30%,1000,W,1.4,良好,优良,佳,金属、塑料、复合材料,中,中型,每年,中等,便捷,22000,小时,中国激光器材协会,https://www.chinalaser.org,,
相干激光器,780 nm,15%-25%,600,W,2.1,一般,较差,一般,塑料、木材,低,小型,每半年,较高,复杂,15000,小时,全球激光与增材制造协会,https://www.global-lam.org,,
高功率固态激光器,1064 nm,30%-40%,4000,W,1.2,优良,优良,优秀,金属、陶瓷,高,大型,每年,较高,便捷,18000,小时,国家激光科学与技术研究中心,https://www.nslst.gov,,
紫外激光器,355 nm,18%-22%,250,W,1.6,良好,优良,较好,塑料、半导体,中,小型,每半年,较高,便捷,10000,小时,电子材料与光电技术研究所,https://www.emoptics.org,,
超细激光器,2.5 µm,20%-35%,450,W,1.9,一般,中等,良好,金属、复合材料,中,中型,每年,中等,较便捷,23000,小时,先进激光科技中心,https://www.advancedlasertech.org,,
半导体光激发激光器,808 nm,30%-45%,700,W,1.4,良好,优良,优秀,塑料、金属,高,小型,每年,中等,非常便捷,17000,小时,中国半导体激光器局,https://www.csla.gov.cn,,
波长可调激光器,730 nm - 830 nm,20%-35%,2500,W,2.2,一般,中等,良好,金属、非金属,低,中型,每半年,中等,便捷,22000,小时,激光设备使用与管理中心,https://www.lasercontrol.org,,
自激振荡激光器,1064 nm,35%-45%,1200,W,1.3,优良,优秀,优良,金属、塑料,高,小型,每年,中等,便捷,25000,小时,中国光学科学与工程学会,https://www.cosm.org.cn,,
氦氖气体激光器,632.8 nm,7%-12%,500,W,2.5,一般,较差,一般,玻璃、纸张,低,中型,每半年,较高,复杂,8000,小时,气体激光器研究中心,https://www.gaslaser.org,,
掺铒光纤激光器,1550 nm,45%-55%,2000,W,1.1,优良,良好,优秀,金属、陶瓷,中,大型,每年,中等,非常便捷,30000,小时,光纤激光器技术研究所,https://www.fiberlaser.org,,
紫外激光器,355 nm,20-25%,500,W,1.4,优良,优秀,良好,陶瓷、塑料,中,中型,每年,中等,便捷,18000,小时,现代激光工业研究中心,https://www.modernlaser.com,,
高功率蓝光激光器,450 nm,30-37%,2500,W,1.5,优秀,良好,优秀,金属、复合材料,高,大型,每年,较高,较便捷,30000,小时,蓝光激光技术研究会,https://www.bluelasertech.org,,
大功率氦氖激光器,632.8 nm,8-12%,700,W,2.0,一般,较差,一般,玻璃、金属,低,超大型,每半年,高,复杂,5000,小时,全球光学激光研究委员会,https://www.golrc.org,,
高速纤维激光器,1060 nm,25-40%,5000,W,1.1,优良,优秀,优秀,金属、塑料,中,中型,每年,中等,便捷,35000,小时,国际激光应用协会,https://www.i-la.org,,
脉冲CO2激光器,10.6 µm,12-18%,1500,W,<1.5,良好,优良,良好,木材、布料,高,大型,每年,较高,较复杂,20000,小时,中国激光加工技术协会,https://www.clpt.org.cn,,
半导体激光器,980 nm,50-60%,400,W,1.2,优良,良好,优秀,金属、陶瓷,中,小型,每年,中等,非常便捷,15000,小时,国家半导体激光研究中心,https://www.nslrc.org,,
单模激光器,1310 nm,20-25%,200,W,1.0,优良,优良,良好,光纤、塑料,低,小型,每年,中等,便捷,18000,小时,光纤激光技术协会,https://www.fiberlaser.org,,
远红外激光器,9.3 µm,15-20%,1000,W,1.6,优良,较差,一般,橡胶、木材,中,大型,每年,较高,复杂,25000,小时,红外激光科技研究所,https://www.ir-lasertech.org,,
低功率告示激光器,655 nm,10-15%,350,W,2.2,一般,中等,一般,金属、非金属,中,小型,每半年,较高,便捷,6000,小时,光电技术协会,https://www.optecht.org,,
单脉冲激光器,800 nm,15-25%,600,W,1.8,优良,优秀,良好,机电元件、塑料,中,中型,每年,中等,便捷,25000,小时,智能激光技术研究所,https://www.smartlasertech.org,,
增材制造激光器,1070 nm,22-35%,3000,W,1.4,良好,优秀,优秀,金属粉末,高,大型,每年,较高,较便捷,20000,小时,增材制造技术联盟,https://www.amtecht.org,,
超快激光器,1030 nm,25-30%,150,W,<1.0,优秀,优秀,优秀,光电子元件,高,小型,每季度,中等,非常便捷,30000,小时,激光精密加工研究所,https://www.laserprecision.org,,
飞秒激光器,800 nm,28-35%,800,W,1.1,优良,优秀,优秀,金属和非金属,中,小型,每年,中等,便捷,25000,小时,科技部激光研究院,https://www.most.gov.cn,,
绿色激光器,532 nm,20-32%,450,W,>2.0,一般,中等,中等,木材、塑料,低,大中型,每年,较高,较复杂,12000,小时,中国科学院光电技术中心,https://www.casl.org.cn,,
小型紫外激光器,266 nm,15-20%,300,W,1.5,良好,优秀,良好,数据存储介质,中,小型,每半年,中等,便捷,15000,小时,国家信息产业部,https://www.miic.gov.cn,,
高功率光纤激光器,1070 nm,30-40%,5000,W,<1.1,优良,优秀,非常优秀,金属、复合材料,高,大型,每年,中等,非常便捷,30000,小时,国际光纤激光技术协会,https://www.iflas.org,,
特种激光器,450 nm,25-35%,1500,W,1.5,良好,良好,较好,塑料、玻璃,中,中型,每半年,较高,便捷,10000,小时,光电先进技术研究院,https://www.opticresearch.org,,
CO2激光器,10.6 µm,12-18%,4000,W,1.5,一般,卓越,良好,木材、皮革,高,中型,每年,中等,便捷,20000,小时,全球激光技术委员会,https://www.wlti.org,,
紫外激光器,355 nm,20-25%,700,W,<1.5,优良,优良,优秀,陶瓷、塑料,中,小型,每半年,较高,便捷,15000,小时,中国激光与光学科学中心,https://www.closc.cn,,
飞秒激光器,800 nm,25-30%,1000,W,1.4,优良,卓越,较好,半导体、微结构,中,小型,每年,中等,较便捷,20000,小时,国家激光与光电子科学实验室,https://www.nlas.org,,
一体化激光器,980 nm,35-45%,600,W,1.2,优良,良好,优秀,金属、玻璃,低,中型,每半年,中等,非常便捷,25000,小时,国际激光技术开发公司,https://www.laserdev.com,,
桌面激光器,455 nm,18-23%,300,W,1.6,良好,中等,一般,木材、塑料、纸,低,小型,每年,较低,便捷,8000,小时,小型激光技术合作社,https://www.smlaser.org,,
掺镱光纤激光器,1030 nm,40-50%,2000,W,<1.2,优良,优秀,良好,金属、复合材料,中,中型,每年,中等,较便捷,18000,小时,中国光纤激光产业协会,https://www.cfibc.org.cn,,
单模激光器,1550 nm,25-30%,1000,W,1.1,优良,较好,优秀,光纤、金属、塑料,高,中型,每半年,较高,便捷,13000,小时,国际激光产业促进会,https://www.ilpa.org,,
大功率半导体激光器,980 nm,42%-52%,3500,W,1.3,优良,优良,优秀,金属、陶瓷,高,大型,每年,较高,非常便捷,25000,小时,电子与激光工程研究所,https://www.elelabs.com,,
工业激光器,1064 nm,24-32%,4000,W,1.8,良好,卓越,非常优秀,金属、塑料、木材,中,大型,每年,中等,便捷,22000,小时,激光应用技术协会,https://www.lasers.org,,
超快速激光器,520 nm,28-36%,800,W,1.2,优良,良好,中等,非金属、制药材料,低,中型,每半年,较高,较复杂,16000,小时,制药激光技术研究中心,https://www.pharmalasertech.org,,
纳米激光器,460 nm,20-30%,500,W,1.4,良好,中等,一般,半导体材料、玻璃,低,小型,每年,中等,便捷,12000,小时,光电传感与纳米技术协作体,https://www.nanooptics.org,,
高增益激光器,1064 nm,38-45%,5500,W,<1.1,优良,优秀,优秀,金属、塑料,中,大型,每年,较高,非常便捷,35000,小时,激光科学研究与应用中心,https://www.laserresearch.org,,
波长可调激光器,480-520 nm,15-25%,850,W,1.7,良好,良好,较好,塑料、纤维,低,中型,每半年,中等,便捷,13000,小时,激光技术开发研究院,https://www.laserdevlab.com,,
多模激光器,980 nm,25-35%,1200,W,1.5,良好,优秀,一般,塑料、复合材料,中,中型,每年,较低,便捷,18000,小时,中国激光技术发展中心,https://www.cltdc.cn,,
固态激光器,1064 nm,30-40%,5000,W,1.2,优良,良好,优秀,金属、陶瓷,高,大型,每年,中等,较便捷,25000,小时,现代激光科技协会,https://www.modernlasertechnology.org,,
光纤激光器,1550 nm,40-50%,2000,W,1.1,优秀,极佳,优秀,金属、复合材料,高,中型,每年,高,非常便捷,30000,小时,中国电力公司激光研究院,https://www.cplasers.cn,,
低功率激光器,500 nm,15-25%,150,W,2.5,一般,中等,一般,塑料、纸张,低,迷你型,每半年,低,便捷,10000,小时,中国轻工机械协会,https://www.clma.org.cn,,
高功率激光器,10600 nm,15-22%,10000,W,2.0,一般,极佳,优秀,金属、塑料,高,大型,每年,高,复杂,40000,小时,国际激光应用研究所,https://www.internationallaserresearch.org,,
氦氖激光器,632.8 nm,3-5%,35,W,2.2,一般,较差,一般,玻璃、塑料,低,小型,每半年,较低,便捷,5000,小时,中国激光器技术研究院,https://www.clti.org.cn,,
核激光器,1010 nm,20-30%,4000,W,1.4,优良,优良,优秀,金属、陶瓷,中,中型,每年,中等,便捷,15000,小时,国家激光与光电技术研究中心,https://www.nlaser.org.cn,,
紫外激光器,355 nm,25-35%,800,W,1.7,良好,良好,一般,塑料、金属,中,中型,每年,高,便捷,12000,小时,中国超导激光技术研究所,https://www.superlaser.org.cn,,
多波长激光器,405 nm / 532 nm / 650 nm,15-25%,1000,W,2.0,中等,一般,优良,塑料、木材、金属,低,大型,每年,较高,较复杂,8000,小时,国际激光协会,https://www.internationallaserassociation.org,,
纳米激光器,420 nm,10-20%,250,W,2.3,优良,良好,一般,金属、陶瓷,高,小型,每半年,中等,较便捷,15000,小时,纳米技术研究中心,https://www.nanotech.org.cn,,
整合激光器,1030 nm,35-45%,6000,W,1.2,优秀,极佳,优秀,金属、塑料、玻璃,中,大型,每年,高,复杂,36000,小时,新兴激光技术研究所,https://www.emerginglasers.org,,
表面激光器,1300 nm,12-18%,1500,W,2.8,中等,中等,一般,金属、塑料,中,中型,每年,中等,便捷,14000,小时,中国科学院激光研究所,https://www.acl.cas.cn,,
新型气体激光器,410 nm,20-27%,2000,W,1.8,良好,良好,优秀,塑料、金属,中,小型,每年,中等,便捷,22000,小时,激光与光电技术合作中心,https://www.laseroptics.cn,,
极紫外激光器,13.5 nm,8-12%,3000,W,3.0,较差,中等,一般,金属、非金属,低,大型,每年,高,复杂,5000,小时,国际激光学协会,https://www.internationaloptics.com,,
智能激光器,520 nm,22-32%,1200,W,1.6,优良,优秀,良好,金属、塑料,中,中型,每年,中等,便捷,28000,小时,新兴能源技术研究所,https://www.newenergytech.org,,
纳米激光器,500 nm,25-35%,1500,W,<1.2,优秀,优良,优秀,薄膜、玻璃,低,中型,每年,中等,便捷,18000,小时,光电技术研究中心,https://www.optec-research.org,,
光纤激光器,1064 nm,30-40%,2000,W,1.1,优良,优秀,高效,金属,高,小型,每六个月,低,非常便捷,30000,小时,激光制造技术研究所,https://www.lasermanufacturing.org,,
蓝光激光器,450 nm,20-28%,800,W,1.5,良好,一般,良好,塑料、木材,低,大型,每年,较高,较便捷,10000,小时,中科院激光实验室,https://www.casl.cn,,
量子点激光器,980 nm,15-20%,1200,W,<1.3,优秀,优良,一般,半导体、塑料,低,中型,每年,中等,较便捷,20000,小时,量子光电材料研究所,https://www.qdmat.org,,
长脉冲激光器,1064 nm,22-30%,1200,W,1.4,中等,优良,良好,金属、非金属,中,大型,每半年,较高,便捷,25000,小时,国际激光产业协会,https://www.internationallaser.org,,
固体激光器,532 nm,18-27%,2500,W,1.7,良好,优良,优秀,金属、玻璃,高,中型,每年,中等,便捷,18000,小时,固态激光研究中心,https://www.solidlasers.org,,
紫外激光器,355 nm,10-20%,500,W,2.0,一般,中等,良好,塑料、涂层材料,中,小型,每六个月,较高,较复杂,8000,小时,激光器技术开发中心,https://www.lasertechdev.org,,
氩激光器,488 nm,22-29%,600,W,1.5,优良,优秀,良好,金属、非金属,中,中型,每年,中等,便捷,12000,小时,国家光电科技发展中心,https://www.nationaloptec.org,,
超宽带激光器,800-1100 nm,35-45%,1400,W,1.1,优良,优良,优秀,电子元件、塑料,中,大型,每年,中等,便捷,22000,小时,超宽带光学材料研究所,https://www.ubomaterials.org,,
紫外二极管激光器,370 nm,15-25%,250,W,1.8,一般,中等,良好,涂层、塑料,低,小型,每六个月,较高,便捷,5000,小时,激光技术与应用中心,https://www.laserapplication.org,,
连续波激光器,1064 nm,50-60%,4000,W,1.0,优秀,优良,非常好,金属、陶瓷,高,大型,每年,中等,非常便捷,30000,小时,连续激光研究所,https://www.continuouslaser.org,,
激光打标机,1064 nm,20-25%,500,W,2.0,一般,优良,一般,金属、木材、塑料,中,小型,每半年,中等,便捷,15000,小时,激光打标与微加工技术研究中心,https://www.laser-marking.org,,
调制激光器,850 nm,40-50%,750,W,1.2,优秀,良好,优秀,电子元件、金属,中,中型,每年,低,非常便捷,20000,小时,调制激光技术协会,https://www.modulationlaser.org,,
高功率激光器,1064 nm,28-36%,5000,W,1.1,优良,优秀,优良,金属、复合材料,高,大型,每年,中等,便捷,40000,小时,高功率激光技术研究所,https://www.highpowerlaser.org,,
太赫兹激光器,THz range,5-10%,200,W,>2.5,差,优良,较差,电子元件、非金属,低,中型,每年,中等,较复杂,7000,小时,太赫兹科技研究所,https://www.thztech.org,,
铒激光器,1532 nm,18-25%,500,W,1.6,优良,优良,优秀,玻璃、塑料,低,小型,每年,中等,便捷,12000,小时,激光材料与设备研究所,https://www.laser-material.org,,
固体激光器,1064 nm,25-35%,1000,W,1.5,优良,优秀,良好,金属、合金,中,中型,每年,中等,较便捷,15000,小时,激光技术研究所,https://www.laserresearch.org,,
光纤激光器,1550 nm,30-40%,2000,W,1.1,优良,良好,优秀,金属、复合材料,中,小型,每年,较低,便捷,20000,小时,全球激光器贸易协会,https://www.worldlasers.org,,
紫外激光器,355 nm,20-30%,500,W,1.4,优良,优秀,一般,塑料、金属,中,中型,每半年,中等,较便捷,10000,小时,国际激光工业协会,https://www.iiila.org,,
炭化激光器,1064 nm,15-25%,750,W,1.6,中等,良好,优良,木材、塑料,低,小型,每年,中等,便捷,16000,小时,先进激光技术公司,https://www.advancedlaser.com,,
