技术名称,技术类别,产业化进度,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
深海探测无人机,无人机技术,已实现产业化,中国科学院深海研究所,http://www.dsr.org.cn,2024-09-23,,,,,,,,,,,,,,
海洋酸化监测仪,环境监测,实验阶段,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
海底通信网络部署技术,通信技术,研发阶段,电子科技大学,http://www.uestc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态监控系统,生态保护,已实现产业化,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋温室气体捕集技术,气候技术,研发阶段,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料降解微生物,环保技术,已实现产业化,复旦大学,https://www.fudan.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能量收集系统,可再生能源,研发阶段,清华大学,http://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋监测无人机,无人系统,实验阶段,北京航空航天大学,http://www.buaa.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化反渗透技术,水处理技术,已实现产业化,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物药物研发,药物开发,研发阶段,中国科学院,http://www.cas.cn/,2024-09-23,,,,,,,,,,,,,,
智能水下机器人,探测技术,实验阶段,浙江大学,http://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,资源开采,已实现产业化,中科院海洋研究所,http://www.qdcas.cn/,2024-09-23,,,,,,,,,,,,,,
生态修复技术,生态工程,研发阶段,南京大学,http://www.nju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋智慧养殖系统,智慧农业,已实现产业化,福建农林大学,http://www.fafu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
多功能水下传感器,传感技术,实验阶段,中山大学,http://www.sysu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋微塑料去除技术,海洋污染治理,已实现产业化,环境保护部,http://www.mee.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海可再生能源开发技术,能源技术,研发阶段,中国海洋大学,http://www.cou.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能海洋监测系统,信息技术,测试阶段,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物样本采集机器人,机器人技术,实验阶段,深圳科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋盐水淡化技术,水处理,已实现产业化,南方科技大学,http://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海生物发光技术,生物技术,研发阶段,厦门大学,http://www.xmu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋环境监测无人机,无人机技术,已实现产业化,浙江大学,http://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋智能捕捞系统,农业工程,产业化申请中,东北农业大学,http://www.neau.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态修复,测试阶段,华东师范大学,http://www.ecnu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
蓝色经济发展模式,经济学,研究阶段,上海财经大学,http://www.shufe.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能海洋监测网络,海洋观测,已实现产业化,中国海洋大学,http://www.ouc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环保技术,研发阶段,水体清洁技术研究所,https://www.wqm.gov.cn/,2024-09-23,,,,,,,,,,,,,,
深海采矿机器人,机器人技术,实验阶段,国家深海基地,http://www.shao.gov.cn/,2024-09-23,,,,,,,,,,,,,,
人工海洋生态系统,生态技术,已实现产业化,厦门大学,https://www.xmu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋能源转换技术,能源技术,应用阶段,中国科学院海洋研究所,http://www.qd.cas.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性保护技术,生态保护,研发阶段,中国海洋保护协会,http://www.cmpa.org.cn/,2024-09-23,,,,,,,,,,,,,,
海洋碳捕捉技术,气候技术,已实现产业化,国家气候变化研究中心,http://www.ncc.gov.cn/,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源装置,能源技术,研发阶段,清华大学能源与动力工程系,https://www.tsinghua.edu.cn/,2024-09-23,,,,,,,,,,,,,,
智能网联渔船,智能船舶,实验阶段,大连海事大学,https://www.dlmu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋沉积物治理技术,环境修复,应用阶段,南京水利科学研究院,http://www.nanjingwater.com/,2024-09-23,,,,,,,,,,,,,,
深海探测机器人,海洋技术,已实现产业化,国家深海基地,http://www.deepsea.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋数据采集系统,数据技术,研发阶段,中科院海洋研究所,http://www.ocean.ac.cn,2024-09-23,,,,,,,,,,,,,,
水下可再生能源发电,能源技术,实验阶段,清华大学能源与动力工程系,https://www.tsinghua.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋监测平台,监测技术,已实现产业化,华东师范大学,http://www.ecnu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物多样性数据库,信息技术,正在推广,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,已实现产业化,江苏省盐业研究所,http://www.jssalt.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能捕鱼系统,渔业科技,研发阶段,南方科技大学,http://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态技术,实验阶段,北京大学环境科学与工程学院,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
生物可降解渔具,环保技术,正在推广,华南农业大学,http://www.scau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋智能交通系统,交通技术,研发阶段,大连海事大学,http://www.dlmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,海洋污染治理,商业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水资源管理,已实现产业化,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋新材料研发,新材料技术,试点项目,青岛科技大学,http://www.qdky.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业监测系统,智能技术,商业化,中国农业大学,http://www.cau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态监测平台,生态保护,研发阶段,中山大学,http://www.sysu.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海采矿技术,资源开发,实验阶段,中国地质大学,http://www.cug.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能海洋航行系统,航运技术,已实现产业化,武汉理工大学,http://www.wust.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物制药技术,生物技术,研发阶段,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋数据分析软件,信息技术,已实现产业化,北京大学,http://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋反应堆开发技术,能源技术,试点项目,北京航空航天大学,http://www.buaa.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境技术,已实现产业化,国家海洋局,http://www.soa.gov.cn,2024-09-23,,,,,,,,,,,,,,
深海矿物资源开采,海洋资源,研发阶段,中国地质科学院,http://www.cgs.gov.cn,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水资源管理,已实现产业化,中国水利部,http://www.mwr.gov.cn,2024-09-23,,,,,,,,,,,,,,
智能水下机器人,智能装备,实验阶段,深圳先进技术研究院,http://www.siat.ac.cn,2024-09-23,,,,,,,,,,,,,,
可再生海洋能源技术,能源技术,已实现产业化,中国电力科学研究院,http://www.cpri.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态环境,研发阶段,南方海洋科学与工程广东省实验室,http://www.scmse.ac.cn,2024-09-23,,,,,,,,,,,,,,
海洋养殖生态系统监测,物联网技术,实验阶段,中国农业科学院,http://www.caas.cn,2024-09-23,,,,,,,,,,,,,,
基于AI的渔业管理系统,智能农业,已实现产业化,渔业部,http://www.mara.gov.cn,2024-09-23,,,,,,,,,,,,,,
气候变化影响评估技术,气候科学,研发阶段,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物种群监测与保护,生物技术,实验阶段,中国科学院海洋研究所,http://www.qdcas.com,2024-09-23,,,,,,,,,,,,,,
