激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
YAG激光器,940 nm,15-25%,3500,W,1.0,优良,优秀,优秀,铝材、钢材,高,中型,每年,较高,便捷,12000,最近工业研究报告,https://www.researchgate.net,,
半导体激光器,850 nm,45-55%,700,W,>1.3,良好,较差,一般,电子元件打标,中,小型,每半年,高,非常便捷,40000,中国电子装备协会,https://www.ceaa.com.cn,,
固体激光器,532 nm,10-20%,1500,W,1.5,良好,中等,良好,金属加工、打标,高,中型,每年,中等,便捷,8000,科技部,https://www.most.gov.cn,,
红外激光器,1550 nm,30-35%,2000,W,<1.5,优良,优秀,优秀,复合材料,低,大型,每年,中等,较便捷,15000,中国航空科技中心,https://www.casc.com.cn,,
紫外激光器,355 nm,25-30%,1200,W,<1.7,优良,优良,中等,塑料、玻璃,低,小型,每年,较高,便捷,10000,光电技术研究院,https://www.opti.cn,,
增材制造激光器,1070 nm,25-35%,2500,W,1.4,优良,良好,优秀,金属、合金,高,中型,每年,中等,较便捷,15000,制造业研究协会,https://www.mpsi.org,,
高功率激光器,1070 nm,30-40%,5000,W,<1.2,优秀,优秀,优秀,多种金属,高,大型,每年,高,便捷,20000,中国工程院,https://www.cae.cn,,
二极管激光器,600-640 nm,35-45%,300,W,<2.0,良好,较差,优秀,塑料、金属焊接,中,小型,每半年,较低,便利,15000,美国光学学会,https://www.osa.org,,
蓝光激光器,445 nm,20-25%,1200,W,1.8,优良,中等,良好,金属、非金属,高,中型,每年,中等,较便捷,8000,中国光电信息产业协会,http://www.chinaoeia.com,,
紫外激光器,355 nm,15-20%,500,W,<1.2,优秀,优秀,一般,塑料、陶瓷、金属,中,中型,每年,较高,便捷,10000,国际激光技术协会,https://www.international-laser-tech.com,,
新型高功率光纤激光器,1060 nm,40-50%,4000,W,<1.3,优良,优秀,优秀,金属、塑料,高,中型,每年,较低,非常便捷,25000,光纤激光器研究中心,https://www.fiberlaser-research.com,,
光峰激光器,630 nm,30-40%,700,W,1.5,良好,较差,良好,塑料、金属打标,低,小型,每年,中等,便捷,18000,国家科技部,https://www.most.gov.cn,,
高功率CO2激光器,10.6 µm,10-12%,12000,W,1.7,优良,优秀,优秀,非金属、金属焊接,中,大型,每年,较高,较便捷,7000,中国机械工业联合会,http://www.cmif.org,,
氩离子激光器,514 nm,5-10%,100,W,>2.0,一般,差,中等,玻璃、氧化物,极低,大型,每两年,较高,较便捷,3000,中国材料研究网,http://www.cma.gov.cn,,
自由电子激光器,500-1000 nm,10-15%,5000,W,<1.0,优良,优秀,优秀,各种材料,中,大型,每年,中等,便捷,15000,高能物理学研究所,http://www.ihep.ac.cn,,
模块化激光器,980 nm,25-30%,900,W,1.5,良好,中等,优良,金属、塑料,中,中型,每年,较低,方便,12000,激光技术研究协会,http://www.lasertech.org.cn,,
固体激光器,532 nm,25-35%,1500,W,1.7,良好,优秀,优秀,金属、塑料,中,中型,每年,中等,较便捷,12000,中国激光技术行业协会,https://www.cltia.org.cn,,
紫外激光器,355 nm,15-20%,800,W,1.5,优良,优秀,优秀,薄膜、陶瓷,高,大型,每年,较高,较便捷,8000,激光制造与应用科技论坛,https://www.laserforum.org,,
气体激光器,488 nm,10-15%,600,W,2.0,一般,较差,良好,非金属、玻璃,低,大型,每年,中等,较便捷,4000,华南理工大学激光研究中心,https://www.scut.edu.cn,,
单模激光器,1550 nm,20-25%,100,W,< 1.1,优良,优良,良好,光纤通信、医疗设备,高,小型,每两年,较低,非常便捷,15000,国际激光与光电子学协会,https://www.laseroptics.org,,
青光激光器,450 nm,30-40%,2000,W,1.3,优良,优秀,一般,塑料、木材,中,中型,每年,中等,较便捷,10000,中国科学院激光技术研究所,https://www.iolabs.ac.cn,,
高功率激光器,1064 nm,25-35%,10000,W,1.2,优秀,优秀,优秀,金属切割、焊接,高,大型,每年,较高,较便捷,15000,中国高功率激光研究院,https://www.highpowerlaser.org.cn,,
多波长激光器,波长范围: 405-1064 nm,20-25%,1200,W,1.6,良好,较好,良好,多种材料,中,中型,每年,中等,较便捷,10000,中科院光电技术研究所,https://www.optics.cas.cn,,
超快激光器,800 nm,15-18%,500,W,1.4,优良,优秀,一般,金属、玻璃,高,中型,每年度,较高,非常便捷,3000,清华大学激光与照明研究中心,https://www.tsinghua.edu.cn,,
激光二极管,660 nm,40-55%,800,W,> 1.8,一般,较差,良好,打标、表面处理,中,小型,每半年,较高,较便捷,20000,中国激光行业经济研究院,https://www.clearlaser.org.cn,,
固体激光器,532 nm,15-25%,1500,W,1.3,良好,中等,良好,金属、塑料,中,中型,每年,中等,便捷,8000,中国激光产业协会,https://www.clia.org.cn,,
紫外激光器,355 nm,20-35%,800,W,<1.2,优秀,优秀,优秀,高分子材料、金属,高,小型,每年,较高,非常便捷,15000,中国科学院,https://www.cas.cn,,
高功率光纤激光器,1070 nm,30-45%,6000,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,中型,每年,中等,便捷,30000,国际激光技术研究所,https://www.iltr.org,,
可调激光器,400-700 nm,35-50%,300,W,1.8,一般,中等,一般,各种材料,中,大型,每两年,低,较差,10000,电子工业出版社,https://www.electronics-industry.cn,,
超短脉冲激光器,800 nm,25-35%,2500,W,<1.5,优秀,优秀,良好,金属、陶瓷,高,中型,每年,中等,便捷,12000,国际光电技术协会,https://www.ieee-oceanicengineering.org,,
激光打标机,1064 nm,20-25%,150,W,>1.5,良好,较差,一般,多种材料,中,小型,每半年,较高,方便,5000,机械工业出版社,https://www.mech-industry.cn,,
材料加工激光器,1064 nm,18-28%,2200,W,1.4,良好,优秀,良好,金属、塑料,高,大型,每年,中等,便捷,20000,中国科学技术部,https://www.most.gov.cn,,
长脉冲激光器,1064 nm,10-20%,5000,W,2.0,一般,中等,中等,金属、木材,中,大型,每年,较高,便捷,15000,全国增材制造质检中心,https://www.camas.org.cn,,
低功率激光器,532 nm,5-15%,100,W,>2.0,较差,较差,较差,打标、表面处理,低,小型,每半年,较高,较便捷,3000,国家科技部,https://www.most.gov.cn,,
固体激光器,532 nm,25-35%,1500,W,1.1,优良,良好,优秀,金属、陶瓷、玻璃,中,中型,每年,中等,较便捷,12000,国际激光科学协会,https://www.ils.org,,
青绿激光器,488 nm,20-30%,800,W,1.3,良好,中等,一般,电子组件、塑料,低,小型,每半年,较高,便捷,6000,电子工业出版社,https://www.ee-pub.com,,
高功率光纤激光器,1070 nm,40-50%,5000,W,<1.3,优秀,优秀,良好,金属,高,中型,每年,较低,非常便捷,30000,激光材料加工技术网,https://www.laserprocessing.net,,
脉冲激光器,355 nm,10-20%,250,W,2.0,一般,中等,一般,聚合物、玻璃,中,大型,每年,较高,较便捷,8000,机器视觉与激光技术研究所,https://www.vltech.com,,
镭射激光器,940 nm,35-45%,1200,W,1.8,优良,优秀,优秀,金属、塑料、织物,高,小型,每半年,中等,便捷,15000,中国激光与光电子技术学会,https://www.cleps.org.cn,,
CW激光器,1064 nm,15-25%,4000,W,1.4,良好,中等,良好,金属、合金,高,中型,每年,中等,较便捷,18000,中国科学院激光技术研究中心,https://www.laser.ihk.ac.cn,,
一体化激光器,780 nm,45-55%,700,W,1.1,优秀,良好,优秀,塑料、玻璃、皮革,低,小型,每半年,较高,非常便捷,10000,中国制造业协会,https://www.cma.org.cn,,
纳秒激光器,532 nm,30-40%,600,W,1.5,良好,中等,一般,电子组件、玻璃,低,大型,每年,中等,便捷,8000,半导体激光行业协会,https://www.sla.org.cn,,
铒激光器,1532 nm,10-15%,1000,W,2.0,一般,较差,一般,光纤和薄膜,中,中型,每年,较高,较便捷,5000,中国科学院光电技术研究所,https://www.optics.ac.cn,,
紫外激光器,355 nm,25-35%,1500,W,<1.2,优良,优秀,优秀,塑料、陶瓷、金属,中,中型,每年,中等,便捷,8000,国际激光技术协会,https://www.lasertech.org,,
绿激光器,532 nm,22-28%,700,W,1.0,良好,中等,良好,有机材料、金属打标,中,小型,每年,低,非常便捷,15000,激光与光电产业发展中心,https://www.laserindustry.gov.cn,,
高功率 fiber laser,1080 nm,35-45%,5000,W,<1.1,优异,优秀,优秀,厚金属、铝合金、塑料,高,较大型,每年,较低,便捷,25000,国家能源局,https://www.nea.gov.cn,,
二氧化碳激光器,10.6 µm,8-9%,1200,W,1.8,一般,良好,一般,木材、纸张、皮革,低,大型,每两年,中等,较便捷,6000,中国光电技术行业协会,https://www.ceta.org.cn,,
超快激光器,800 nm,10-20%,3000,W,<1.5,优良,优秀,优秀,金属、陶瓷、复合材料,高,中型,每年,较高,较方便,10000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
半导体激光器,850 nm,45-55%,800,W,>2.0,一般,较差,良好,精密打标、表面处理,中,小型,每三个月,较高,便捷,35000,电子科技局,https://www.miit.gov.cn,,
蓝色光激光器,445 nm,20-27%,600,W,1.5,良好,中等,较好,塑料、薄金属,低,小型,每年,中等,便捷,12000,光电技术研究所,https://www.optrics.org.cn,,
纳秒激光器,532 nm,15-22%,900,W,<1.5,优良,优秀,良好,金属、塑料、玻璃,高,中型,每年,较高,较方便,15000,科学技术部,https://www.most.gov.cn,,
可调激光器,700-1000 nm,20-30%,1100,W,1.8,良好,优良,优秀,光学材料、薄膜,中,大型,每两年,中等,便捷,20000,中国科学院,https://www.cas.cn,,
二氧化碳激光器,10.6 µm,9%-11%,1500,W,1.8,良好,中等,优秀,金属、非金属,中,大型,每年,中等,便捷,6000,中国激光行业协会,https://www.clia.org.cn,,
Yb光纤激光器,1070 nm,25%-35%,4000,W,<1.2,优良,优秀,优秀,金属、塑料,高,小型,每年,低,非常便捷,25000,中国科学院激光物理研究所,https://www.dl.edu.cn,,
绿色激光器,532 nm,15%-25%,800,W,1.5,良好,较差,良好,玻璃、陶瓷,低,中型,每年,中等,较便捷,10000,中国科技论文在线,https://www.cnki.net,,
大功率钕激光器,1064 nm,35%-45%,5000,W,<1.3,优秀,优秀,良好,金属、复合材料,高,大型,每年,高,便捷,15000,国际激光产业联合会,https://www.ilo.org,,
青光激光器,488 nm,20%-30%,600,W,1.8,一般,较差,一般,高分子材料、金属,中,中型,每半年,较高,便捷,8000,中国产业发展研究院,https://www.china-report.com,,
紫外激光器,355 nm,10%-20%,300,W,1.4,优良,优秀,优秀,塑料、陶瓷、金属,中,小型,每年,中等,非常便捷,12000,全国激光材料加工协会,https://www.national-laser.org,,
脉冲激光器,1064 nm,18%-28%,2500,W,1.5,良好,良好,优秀,金属、塑料,高,中型,每年,较高,便捷,5000,国际光电科技协会,https://www.optronics.org,,
飞机用激光器,1064 nm,22%-32%,3500,W,1.6,优良,优秀,良好,高强度合金、金属,高,大型,每年,高,便捷,12000,欧洲激光器创新中心,https://www.european-laser-innovation.org,,
激光打标机,1064 nm,30%-40%,500,W,1.2,优良,良好,较好,金属、塑料,中,小型,每六个月,较低,非常便捷,8000,华南理工大学,https://www.scut.edu.cn,,
紫外激光器,355 nm,25-35%,1500,W,1.1,优良,优秀,良好,金属、塑料、陶瓷,中,中型,每年,中等,较便捷,8000,中国激光技术发展中心,http://www.cltdc.gov.cn,,
环形激光器,1064 nm,15-25%,1200,W,1.6,良好,中等,优秀,金属、塑料,高,中型,每年,中等,便捷,7000,华中科技大学激光研究中心,http://www.hust.edu.cn,,
激光二极管,850 nm,30-45%,300,W,>2.0,一般,较差,一般,表面处理、打标,低,微型,每季度,高,较便捷,25000,现代激光协作论坛,http://www.modernlaserforum.com,,
DPSS激光器,532 nm,20-30%,500,W,1.3,优良,良好,优良,金属、非金属,中,小型,每年,中等,非凡便捷,10000,国际激光技术协会,http://www.lasertechnology.org,,
绿光激光器,532 nm,25-35%,700,W,1.4,良好,优秀,优良,非金属,中,小型,每年,中,便捷,5000,激光未来技术中心,http://www.laserfuturetech.com,,
超快激光器,800 nm,50-60%,1000,W,<1.5,优良,优秀,优秀,金属、陶瓷、聚合物,高,中型,每年,较高,便捷,12000,中国激光产业协会,http://www.clia.cn,,
脉冲激光器,1064 nm,10-20%,1500,W,1.9,一般,优良,良好,金属、塑料,中,大型,每年,中等,较便捷,15000,中国激光应用技术研究所,http://www.clatrs.cn,,
红外激光器,10600 nm,5-15%,2000,W,2.0,优良,良好,一般,金属、非金属,中,大型,每年,较低,便捷,6000,激光技术优秀研究机构,http://www.lasertech.gov,,
固态激光器,1064 nm,30-40%,2500,W,1.2,优良,优秀,优秀,金属、陶瓷,高,中型,每年,较高,非常便捷,9500,激光设备制造协会,http://www.laserdevices.org,,
碳化硅激光器,450 nm,35-45%,1500,W,<1.2,优良,优秀,良好,金属、陶瓷,高,小型,每年,中等,非常便捷,25000,电子行业协会,https://www.electronics.org,,
固态激光器,532 nm,25-35%,800,W,1.1,良好,良好,优秀,塑料、金属,中,中型,每年,中等,较便捷,15000,激光产业研究所,https://www.laserresearch.org,,
紫外激光器,355 nm,15-25%,400,W,>1.7,一般,优秀,良好,薄膜、金属镀层,低,小型,每半年,较低,便利,10000,中国激光技术发展中心,https://www.chinalaser.org,,
连续波激光器,980 nm,20-30%,2000,W,1.4,优良,中等,优秀,金属、塑料、纸张,中,大型,每年,较高,较便捷,12000,全球激光公司,https://www.globalslasers.com,,
脉冲激光器,1064 nm,30-40%,600,W,1.0,优秀,中等,良好,金属、陶瓷、塑料,高,中型,每年,中等,非常便捷,18000,激光与光电子技术会,https://www.laserandphotonics.org,,
生物激光器,630 nm,10-15%,300,W,>2.0,一般,较差,良好,生物组织,低,小型,每年,中等,便捷,7000,国家医学研究院,https://www.nih.gov,,
多波长激光器,532 nm / 1064 nm,20-40%,1000,W,1.5,良好,优秀,优秀,塑料、金属、陶瓷,中,大型,每年,较高,便利,15000,材料科学与工程学院,https://www.materials.org,,
低温激光器,980 nm,25-35%,750,W,1.3,优良,议良好,中等,生物组织、塑料,低,小型,每半年,较低,非常便捷,5000,全国医疗器械协会,https://www.nmpa.gov.cn,,
超短脉冲激光器,1030 nm,50-60%,1000,W,<1.0,优秀,优秀,优秀,金属、陶瓷、複合材料,高,中型,每年,较高,非常便捷,20000,激光先锋研发中心,https://www.laserpioneer.com,,
光纤激光器,1080 nm,35%-45%,2500,W,<1.4,优秀,优秀,优秀,金属、塑料、玻璃,高,中型,每年,中等,非常便捷,18000,中国激光用户协会,https://www.clua.org.cn,,
CO2激光器,10.6 µm,5%-8%,1500,W,1.6,良好,中等,较好,木材、塑料、纸张,低,大型,每年,中等,较便捷,7000,国际激光工程协会,https://www.ile.org.cn,,
YAG激光器,1064 nm,22%-27%,1800,W,1.3,良好,优秀,较好,金属、陶瓷,中,中型,每年,中等偏高,便捷,12000,制造业研究中心,https://www.mfgres.org,,
半导体激光器,850-980 nm,45%-55%,300,W,>2.0,一般,较差,良好,电子元件、打标,中,小型,每半年,较高,非常便捷,35000,全国半导体激光器学会,https://www.semi.org.cn,,
紫外激光器,355 nm,20%-25%,800,W,1.1,优良,优秀,中等,塑料、电子材料,中,中型,每年,中等,较便捷,10000,中国激光应用技术研究院,https://www.claser.org,,
脉冲激光器,1064 nm,15%-20%,1200,W,1.2,良好,优秀,优秀,金属、木材、陶瓷,高,中型,每年,较高,便捷,15000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
固态激光器,532 nm,28%-35%,700,W,1.4,优良,中等,良好,金属、塑料、复合材料,中,中型,每年,中等,较便捷,12000,中国市场监管总局,https://www.samr.gov.cn,,
高功率激光器,1060 nm,20%-35%,5000,W,<1.2,优良,优秀,优秀,金属、木材、塑料,高,大型,每年,较高,便捷,25000,中国激光与光电技术协会,https://www.clpo.org.cn,,
极紫外激光器,13.5 nm,10%-20%,400,W,1.0,优良,优秀,一般,半导体材料,中,大型,每年,非常高,不便捷,5000,国家半导体激光技术研究中心,https://www.isec.gov.cn,,
纳秒激光器,532 nm,25-35%,1500,W,1.4,优良,良好,优秀,金属、玻璃、陶瓷,中,中型,每年,中等,较便捷,12000,中国激光研究院,http://www.clri.cn,,
青紫激光器,445 nm,35-45%,800,W,<1.2,优良,优秀,良好,金属、塑料、木材,高,小型,每半年,较低,非常便捷,15000,激光制造技术协会,http://www.lasertech.org,,
环形激光器,1064 nm,18-28%,2500,W,1.6,一般,中等,优秀,金属切割、打标,中,大型,每年,较高,较便捷,8000,电子技术应用杂志,http://www.electronictechapp.com,,
膜激光器,780 nm,30-40%,1500,W,1.3,优良,优秀,良好,塑料、复合材料、金属,高,小型,每半年,较低,非常便捷,10000,中国科学院,http://www.cas.cn,,
紫外激光器,355 nm,15-25%,600,W,1.5,良好,良好,普通,塑料、薄膜、陶瓷,低,中型,每年,中等,较便捷,7500,中国光学学会,http://www.cso.org.cn,,
氩激光器,488 nm,10-20%,350,W,>2,一般,差,不佳,表面处理、铝合金打标,中,小型,每半年,高,一般,5000,国家科学技术委员会,http://www.most.gov.cn,,
固体激光器,1064 nm,20-35%,1200,W,1.1,优良,中等,优秀,金属、塑料、复合材料,高,中型,每年,较高,较便利,9500,国家光电器材质量监督检测中心,http://www.nqmqc.gov.cn,,
高功率激光器,10.6 µm,15-25%,5000,W,1.8,良好,优秀,良好,重金属、塑料,中,大型,每年,高,较便捷,6000,中国机械工业联合会,http://www.cmif.org.cn,,
激光照排机,635 nm,25-30%,300,W,1.0,优良,良好,普通,纸张、布料,低,小型,每半年,低,非常便捷,10000,中国印刷技术协会,http://www.cpta.org.cn,,
超快激光器,800 nm,25-40%,500,W,<1.3,优良,优秀,优良,金属、塑料、薄膜,高,中型,每年,中等,非常便捷,12000,国家自然科学基金委,http://www.nsfc.gov.cn,,
UV激光器,355 nm,15-25%,800,W,<2.0,良好,优秀,优秀,塑料、金属薄板,中,中型,每年,中等,较便捷,15000,国家激光产业技术创新战略联盟,https://www.clia.org.cn,,
青光激光器,450 nm,20-35%,600,W,1.8,优良,良好,中等,塑料、玻璃,低,小型,每半年,较高,非常便捷,25000,中国科学院激光技术研究所,https://www.laser.institutes.cn,,
功率激光器,1064 nm,25-35%,5000,W,<1.2,优良,优良,优秀,金属、复合材料,高,大型,每年,中等,较便捷,15000,国际激光工程学会,https://www.ilele.net,,
绿光激光器,532 nm,10-20%,300,W,>2.0,一般,较差,中等,金属、合金,中,小型,每五年,较高,较便捷,10000,中国光学学会,https://www.cos.org.cn,,
大功率钕激光器,1064 nm,30-40%,4000,W,1.4,优良,优秀,良好,金属、陶瓷,中,大型,每年,中等,较便捷,18000,中国机电工程学会,https://www.cema.org.cn,,
激光切割机,1070 nm,22-28%,1200,W,1.3,优良,优秀,优良,金属、塑料,高,中型,每年,中等,非常便捷,16000,中国制造业协会,https://www.cmia.org.cn,,
激光标记机,1064 nm,15-20%,150,W,1.6,一般,较差,良好,金属、塑料、木材,中,小型,每半年,较高,便捷,8000,深圳市激光行业协会,https://www.szlaser.org,,
白光激光器,400-700 nm,5-15%,250,W,>2.0,一般,较差,较差,表面处理、打标,低,小型,每六个月,较高,便捷,5000,光电技术杂志,https://www.optechmag.com,,
低功率激光器,650 nm,10-20%,100,W,2.2,一般,差,差,打标、雕刻,中,小型,每两年,较高,便捷,6000,北京激光技术研究院,https://www.bjlaser.ac.cn,,
光纤激光器,1070 nm,35-45%,1500,W,<1.3,优秀,优秀,良好,金属、塑料,高,中型,每年,中等,便捷,15000,国际激光设备制造商协会,https://www.ilma.org,,
YAG激光器,1064 nm,25-35%,2500,W,1.4,良好,优秀,优秀,金属、合金,中,大型,每两年,较高,较便捷,8000,塑料和材料科学月刊,https://www.plasticsjournal.com,,
CO2激光器,10.6 µm,6-8%,750,W,1.8,中等,良好,中等,纸张、木材、塑料,低,大型,每年,中等,较便捷,10000,中国机械工程学会,https://www.cmes.org,,
半导体激光器,750-980 nm,45-55%,800,W,1.6,良好,中等,优秀,打标、表面处理,中,小型,每半年,较高,非常便捷,25000,中国电子信息产业协会,https://www.caeit.org,,
光纤激光器,1080 nm,32-42%,4000,W,<1.25,优良,优秀,良好,金属、陶瓷,高,中型,每年,较低,非常便捷,30000,中国激光器技术协会,https://www.clta.org.cn,,
YAG激光器,1064 nm,20-28%,1800,W,1.5,良好,良好,优秀,钢、铝,高,大型,每年,较高,较便捷,9000,激光与光电子技术研究院,https://www.laser-research.com.cn,,
CO2激光器,10.6 µm,12-14%,500,W,1.6,优良,优秀,一般,非金属、木材,中,大型,每年,中等,便捷,12000,国家激光技术中心,https://www.nationallaser.com,,
半导体激光器,850-950 nm,50-60%,600,W,>1.8,一般,较差,良好,电子元件、打标,中,小型,每半年,较高,便捷,35000,国家半导体技术研究院,https://www.nstc.org.cn,,
光纤激光器,1064 nm,38-48%,2000,W,<1.4,优良,优秀,优秀,金属、合成材料,高,小型,每年,中等,非常便捷,25000,中国激光技术研究中心,https://www.cltrc.org.cn,,
紫外激光器,355 nm,25-35%,1500,W,1.4,良好,优秀,优秀,塑料、玻璃,中,中型,每年,中等,较便捷,8000,光电子技术研究院,https://www.ecoe.gov.cn,,
碱金属激光器,589 nm,15-20%,800,W,2.0,一般,中等,优良,金属、陶瓷,高,小型,每年,较低,便捷,6000,中国科学院物理研究所,https://www.iop.cas.cn,,
二极管激光器,810 nm,45-55%,300,W,1.8,优良,较差,良好,纸张、塑料,低,小型,每半年,较高,非常便捷,25000,中国激光杂志社,https://www.laserjournal.cn,,
固体激光器,532 nm,10-20%,1200,W,1.7,优良,良好,良好,金属、树脂,中,大型,每年,较高,便捷,7500,工业激光技术研发中心,https://www.iltc.cn,,
飞秒激光器,800 nm,15-25%,700,W,<1.0,优秀,优良,优秀,生物材料、金属,高,中型,每年,中等,非常便捷,5000,激光制造与工程研究院,https://www.laserresearch.in,,
连续波激光器,1064 nm,20-30%,5000,W,1.3,优良,中等,优秀,金属、陶瓷、塑料,高,大型,每年,中等,较便捷,10000,国家激光技术研究开发中心,https://www.nltrd.gov.cn,,
掺铒光纤激光器,1550 nm,25-35%,2000,W,<1.5,优良,优秀,优秀,光纤、金属,中,小型,每年,较低,非常便捷,15000,光纤激光技术协会,https://www.fiberlaser.org,,
激光增材制造激光器,1070 nm,30-40%,5000,W,1.2,优秀,中等,良好,金属合金,高,大型,每年,中等,便捷,12000,中国增材制造产业技术创新战略联盟,https://www.3dprinting.org.cn,,
光学泵浦激光器,532 nm,20-30%,600,W,1.9,良好,中等,一般,金属、非金属,中,小型,每半年,较高,便捷,7000,光学材料研究所,https://www.opticalmaterials.com,,
绿色激光器,532 nm,35-45%,1500,W,<1.3,优秀,良好,优秀,金属、玻璃、塑料,中,中型,每年,中等,较便捷,8000,中国激光技术发展中心,https://www.cltc.ac.cn,,
紫外激光器,355 nm,25-35%,750,W,<1.2,优良,优秀,良好,半导体、金属、光纤,高,小型,每年,中等偏高,较便捷,10000,中国科学院物理研究所,https://www.iop.cas.cn,,
超短脉冲激光器,800 nm,15-20%,2000,W,1.0,卓越,优秀,优良,金属、陶瓷、复合材料,高,中型,每年,高,较便捷,5000,国际激光应用学会,https://www.ilaas.org,,
大功率固体激光器,1064 nm,20-25%,5000,W,<1.5,优良,优秀,优良,金属、纤维材料,高,大型,每两年,较高,便捷,12000,激光产业发展协会,https://www.lida.org,,
青光激光器,450 nm,30-50%,1000,W,1.4,良好,中等,优秀,金属、塑料、织物,中,中型,每年,中等,非常便捷,10000,电子工业出版社,https://www.electronicpub.com,,
激光拍摄设备,1064 nm,10-15%,150,W,1.6,一般,较差,中等,纸张、木材、塑料,低,小型,每季度,中等,便捷,5000,机器视觉与激光生产学会,https://www.mvlps.org,,
超高效激光器,950 nm,50-60%,4000,W,<1.2,优秀,优秀,优秀,金属、陶瓷、塑料,高,大型,每年,较低,便捷,25000,激光前沿技术研究所,https://www.laserfrontier.org,,
高功率单模光纤激光器,1070 nm,25-35%,6000,W,<1.5,优良,优秀,良好,金属、塑料、复合材料,高,中型,每年,中等偏高,非常便捷,15000,光学工程学会,https://www.osa.org,,
高功率二氧化碳激光器,10.6 µm,10-15%,3000,W,1.8,一般,优良,优良,金属、木材、塑料,低,大型,每年,中等,较便捷,7000,中国激光系统工程研究中心,https://www.clsac.org,,
光纤激光器,1070 nm,35-45%,4000,W,<1.2,优良,优秀,良好,金属、树脂、复合材料,高,中型,每年,较低,便捷,25000小时,中国激光行业协会,https://www.clia.org.cn,,
CO2激光器,10.6 µm,10-12%,1200,W,1.6,良好,中等,优秀,非金属、金属,中,大型,每年,中等,较便捷,6000小时,国际激光协会,https://www.laserinstitute.org,,
YAG激光器,1064 nm,25-35%,2500,W,1.1,优良,优秀,优良,金属焊接、打标,高,中型,每年,较高,非常便捷,12000小时,机器人技术开发公司,https://www.roboticsdev.com,,
半导体激光器,980 nm,45-55%,750,W,>2.0,一般,较差,中等,塑料、金属表面,中,小型,每半年,较高,便捷,35000小时,中国电子技术标准化研究院,https://www.cesi.cn,,
氩激光器,514 nm,15-20%,800,W,1.3,佳,良好,优秀,特种材料、高光泽金属,高,中型,每年,中等,较便捷,8000小时,国家激光技术研究所,https://www.nationallaser.org,,
青铜激光器,450 nm,30-40%,1000,W,1.0,优良,优秀,优良,金属雕刻、铝合金,高,小型,每年,中等,便捷,15000小时,新兴光子技术公司,https://www.newphotonics.com,,
脉冲激光器,532 nm,20-25%,300,W,1.4,优良,良好,良好,织物、塑料、金属,中,大型,每年,较高,相对便捷,5000小时,科技部,https://www.most.gov.cn,,
多波长激光器,650-980 nm,25-35%,1500,W,1.2,良好,中等,较好,金属、塑料,高,中型,每年,较高,便捷,12000小时,美国产业激光协会,https://www.laserassoc.org,,
纳米激光器,400 nm,30-50%,100,W,<1.0,优良,良好,一般,细小组件、电子产品,低,微型,每年,较高,非常便捷,7000小时,新材料产业联盟,https://www.newmaterials.org,,
光纤激光器,1070 nm,35-45%,4000,W,<1.3,优秀,优秀,优秀,金属、塑料、复合材料,非常高,小型,每年,中等,非常便捷,30000,机床工具行业协会,https://www.ctma.org.cn,,
CO2激光器,10.6 µm,10-12%,1200,W,1.4,良好,优良,良好,塑料、木材,中,大型,每年,中等,较便捷,6000,中国激光行业网,https://www.clii.org.cn,,
YAG激光器,1064 nm,22-28%,1500,W,1.5,优秀,良好,优秀,金属切割、焊接、标记,高,中型,每年,中等,较便捷,12000,机械工程学会,https://www.cme.org.cn,,
半导体激光器,850 nm,45-55%,250,W,>1.8,一般,较差,良好,表面处理、打标,中,小型,每半年,较高,便捷,50000,创新科技部,https://www.most.gov.cn,,
光纤激光器,1080 nm,32-42%,5000,W,<1.2,优秀,优良,优秀,金属、铝合金、镁合金,非常高,小型,每年,较低,非常便捷,25000,制造业数据显示中心,https://www.mfgdata.org.cn,,
YAG激光器,1064 nm,18-25%,3000,W,1.8,良好,良好,优秀,不锈钢、钛合金,高,中型,每年,较高,便捷,10000,智能制造技术中心,https://www.smart-manufacturing.cn,,
CO2激光器,10.6 µm,7-9%,800,W,1.7,良好,良好,一般,木材、纸张,低,大型,每年,中等,较便捷,7000,激光技术发展中心,https://www.laserdevelopment.cn,,
半导体激光器,900 nm,50-60%,350,W,>1.5,良好,一般,一般,电子元件封装、打标,中,小型,每季度,中等,便捷,40000,国家半导体技术中心,https://www.nsctc.cn,,
光纤激光器,1050 nm,28-38%,6000,W,<1.5,优秀,优良,优秀,金属、陶瓷,高,小型,每年,较低,非常便捷,25000,光电产业协会,https://www.oe.org.cn,,
CO2激光器,10.6 µm,9%-12%,1500,W,1.4,优良,优秀,优秀,非金属、金属切割,低,大型,每年,中等,较便捷,6000,国家工信部,https://www.miit.gov.cn,,
YAG激光器,1064 nm,25-35%,2500,W,1.3,优秀,良好,优秀,金属焊接、切割,高,中型,每年,较高,便捷,12000,中国激光协会,https://www.claas.org.cn,,
