技术名称,技术类型,技术投资额,单位,传动机构,电动机类型,逆变器,电池模组,结构系统,电气系统,相关电池参数,采集来源,来源链接,采集时间,,,,,,,,,
木屑颗粒燃料技术,生物质能,3000,万元,螺旋喂料,步进电机,生物质专用逆变器,生物质燃料仓,流化床发电,远程监控系统,热值4500kcal/kg,中国生物质利用协会,http://www.cbmp.org.cn/,2024-09-29,,,,,,,,,
氢能提取技术,可再生能源,4000,万元,电化学反应,电池驱动,氢气专用逆变器,氢储存系统,模块式设计,智能化控制系统,气体纯度99.9%,中国氢能与燃料电池催化剂协会,http://www.hydrogenenergy.org.cn/,2024-09-29,,,,,,,,,
太阳能热发电技术,可再生能源,7500,万元,热传导,热水泵,高温逆变器,热存储罐,聚光式发电,智能监控系统,温度范围100°C - 400°C,中国太阳能热发电技术研究中心,http://www.cnsec.org/,2024-09-29,,,,,,,,,
废弃物热解技术,生物质能,5000,万元,高温气化,李希电动机,热解产品逆变器,可燃气体储存器,全密闭设计,自动化控制系统,气体热值5000kcal/m³,中国资源综合利用协会,http://www.crra.org.cn/,2024-09-29,,,,,,,,,
储能电池技术,电池技术,6500,万元,电力存储,钠硫电池,智能储能逆变器,固态电池,模块化设计,智能监测系统,能量密度250Wh/kg,中国电池工业协会,http://www.cibma.org.cn/,2024-09-29,,,,,,,,,
碳捕获技术,环境保护技术,7200,万元,气体分离,高效抽吸泵,气体处理逆变器,碳储存罐,模块化气体处理,集中控制系统,捕获率90%,中国清洁技术协会,http://www.cleantech.org.cn/,2024-09-29,,,,,,,,,
氨能利用技术,氢能,4300,万元,催化组分,氨气驱动电动机,氨能专用逆变器,氨储存系统,高效反应器,自动智能系统,能量密度140Wh/L,国家氨能技术研究中心,http://www.ammoniatech.gov.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,液压传动,高效发电机,潮汐专用逆变器,潮汐能储存系统,潮汐能转换平台,集中式控制系统,额定功率60kW，充电效率88%,中国潮汐能研究中心,https://www.ctcra.com,2024-09-29,,,,,,,,,
光热发电技术,可再生能源,9000,万元,光热传动,直流电动机,专用光热逆变器,储热盐系统,集中式太阳能发电站,分布式控制系统,储热能力200MWh,中国光热发电产业联盟,https://www.chinaconcentratedsolar.org,2024-09-29,,,,,,,,,
生物氢气生产技术,可再生能源,4000,万元,气体传送,无刷DC电动机,氢气转换逆变器,氢气增压罐,生物反应器,智能监控系统,氢气产生速率500L/h,中国生物氢气技术协会,https://www.chinabiogas.org,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,8200,万元,波浪传动,高效交直流电动机,海洋能专用逆变器,海洋能储电系统,浮动式发电平台,智能负载管理系统,额定功率40kW,国家海洋能源研究中心,https://www.nmeis.org,2024-09-29,,,,,,,,,
超级电容器能源存储技术,可再生能源,3500,万元,电容传动,不对称环形电动机,超级电容逆变器,超级电容模块,自适应储能系统,实时监测系统,容量200F，电压2.7V,中国电源技术协会,https://www.cpsa.org.cn,2024-09-29,,,,,,,,,
生物能源饲料转化技术,可再生能源,5000,万元,机械传动,高转速发电机,饲料转化逆变器,生物质颗粒,加工反应器,完全自动化控制系统,转化率达85%,中国生物能源开发中心,https://www.biodenergy.com.cn,2024-09-29,,,,,,,,,
风能与太阳能联合发电技术,可再生能源,9500,万元,混合传动,永磁直流电动机,联合发电逆变器,混合型能量存储单元,复合发电平台,综合管理系统,储存功率100kW,国家风能与太阳能联合研究中心,https://www.bfsisc.org,2024-09-29,,,,,,,,,
地热能发电技术,可再生能源,3000,万元,液压驱动,深井泵电动机,地热综合逆变器,液位储存系统,地热能源发电设施,一体化监控系统,工作温度范围80°C - 200°C,中国地热资源开发研究所,https://www.geothermal.org.cn,2024-09-29,,,,,,,,,
混合动力车充电技术,可再生能源,4200,万元,电动机驱动,高效电动机,车用电源逆变器,动力电池组,车辆充电站,快速充电系统,充电功率120kW,中国新能源汽车产业协会,https://www.chinavc.org.cn,2024-09-29,,,,,,,,,
碳捕集与利用技术,环保技术,6500,万元,气体传输,无刷电动机,碳捕集逆变器,碳捕集储存系统,碳排放监测设施,智能碳管理平台,捕集效率95%,中国环境保护产业协会,https://www.ceia.org.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7000,万元,液压传动,高效水轮电动机,潮汐专用逆变器,蓄能池,水下构件设计,智能电网控制系统,输出功率120kW，能量密度500Wh/L,中国潮汐能协会,https://www.cnstma.org,2024-09-29,,,,,,,,,
氨燃料技术,可再生能源,9000,万元,电子离合器,燃料电池电动机,氨燃料逆变器,氨气储存装置,模块化设备,集中控制系统,最大输出功率75kW,中国能源研究院,https://www.cneri.org,2024-09-29,,,,,,,,,
太阳能热利用技术,可再生能源,4500,万元,热水传输,无刷直流电动机,热能转换逆变器,热水储存罐,聚光系统设计,智能监测控制系统,温度范围60°C - 200°C,中国太阳能热利用学会,https://www.cst.org.cn,2024-09-29,,,,,,,,,
有机光伏技术,可再生能源,3800,万元,平面传动,光电转化电动机,有机光伏逆变器,有机薄膜电池,柔性设计,分布式电力管理系统,效率达15%,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-29,,,,,,,,,
半导体光伏技术,可再生能源,8500,万元,集中式传动,硅基电动机,高效半导体逆变器,晶硅电池组,总线型设计,实时控制电气系统,功率转换效率20%,中国半导体行业协会,https://www.csia.net.cn,2024-09-29,,,,,,,,,
攀岩式能源转换技术,可再生能源,10000,万元,重力驱动,自发电式电动机,攀岩能逆变器,重力储能装置,攀爬结构设计,动态管理系统,储能效率80%,国家能源技术中心,https://www.nerec.org,2024-09-29,,,,,,,,,
超临界二氧化碳发电技术,可再生能源,9500,万元,膨胀机驱动,超临界流体电动机,超临界CO₂逆变器,二氧化碳储存罐,循环系统设计,智能监控系统,输出功率150kW,中国清洁能源研究院,https://www.ccer.org.cn,2024-09-29,,,,,,,,,
混合动力系统,可再生能源,12000,万元,电机械结合,混合动力电动机,混合风光逆变器,锂电池组,综合系统设计,智能集成控制系统,电池容量200Ah，充电效率92%,中国混合动力研究院,https://www.hydrid.org.cn,2024-09-29,,,,,,,,,
冰能利用技术,可再生能源,3200,万元,冷却系统,制冷电动机,冰能逆变器,冰块储能,冰能存储结构,网络化管理系统,制冷能力500W,中国冰能产业协会,https://www.icetech.org.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,齿轮传动,永磁同步电动机,定速逆变器,海水抽取储能系统,潮流涡轮发电机,智能调度系统,输出功率20kW，充电效率92%,中国潮汐能开发协会,https://www.cte.org.cn,2024-09-29,,,,,,,,,
氨能燃料电池技术,可再生能源,5200,万元,电动机驱动,高效直流电动机,高效氨基燃料电池逆变器,液氨储存罐,模块化安装,智能融合监控,输出功率75kW，能量密度820Wh/L,中国清洁能源专家集团,https://www.cnee.org.cn,2024-09-29,,,,,,,,,
太阳能热发电技术,可再生能源,9000,万元,液压传动,高温超导电动机,太阳能专用逆变器,热水储存罐,反射镜阵列,智能控制系统,热效率75%,国家可再生能源监测中心,https://www.renewableenergy.gov.cn,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,6700,万元,电动机驱动,同步电机,固体氧化物专用逆变器,氢气储存罐,高温反应堆,智能管理系统,功率好于60kW，能量转换效率60%,中国燃料电池协会,https://www.fuelcell.org.cn,2024-09-29,,,,,,,,,
波浪能发电技术,可再生能源,4300,万元,液压传动,无刷电动机,波浪专用逆变器,波浪能储存系统,浮筒发电机,高度集成控制系统,最大输出功率10kW,中国波浪能开发公司,https://www.oceanenergy.org.cn,2024-09-29,,,,,,,,,
高效清洁煤燃料技术,可再生能源,4900,万元,蒸汽传动,异步电动机,高效燃煤逆变器,煤气储存罐,气化反应器,自动输入调节系统,输出功率45kW转化效率85%,中国煤炭工业协会,https://www.ccta.org.cn,2024-09-29,,,,,,,,,
太阳能集中式发电技术,可再生能源,11000,万元,液压传动,高效燃料电动机,集中式逆变器,太阳能热储存池,定日镜阵列,智能控制系统,集热效率90%,中国太阳能国际大会,https://www.pvtrade.org.cn,2024-09-29,,,,,,,,,
生物气体转化技术,可再生能源,3600,万元,气动传动,无刷直流电动机,生物气体逆变器,生物气体储罐,厌氧消化反应器,自动监测系统,热值6000kcal/kg,中国生物能源研究院,https://www.cbe.org.cn,2024-09-29,,,,,,,,,
便携式风能技术,可再生能源,2500,万元,直流传动,小型风机电动机,便携式逆变器,锂电池组,可折叠设计,智能控流系统,额定容量50Ah，充电效率94%,新兴绿色能源科技公司,https://www.greenenergysmart.cn,2024-09-29,,,,,,,,,
海洋能利用技术,可再生能源,7500,万元,波浪能转化,海洋涡轮发电机,海洋专用逆变器,海水电池模块,海上平台设计,集成监控系统,额定容量200Ah，充放电效率92%,中国海洋能源研究中心,http://www.cmeo.org,2024-09-29,,,,,,,,,
锂离子电池回收技术,可再生能源,4000,万元,机械传动,高效电动机,回收专用逆变器,锂离子电池回收装置,多级回收系统,自动化监控系统,回收效率85%,中国绿色电池协会,http://www.cgb.org.cn,2024-09-29,,,,,,,,,
氢能生产与储存技术,可再生能源,9000,万元,电化学反应,氢动力电动机,氢燃料专用逆变器,氢气压缩储存罐,气体处理系统,智能输配电系统,氢气储存密度500kg/m³,国际氢能联合会,http://www.ihf.com,2024-09-29,,,,,,,,,
热泵技术,可再生能源,3200,万元,压缩机传动,高效涡旋压缩机,热泵专项逆变器,热水储存(蓄热)装置,地源热泵系统,智能调控系统,COP值4.5，能效比提升20%,中国建筑科学研究院,http://www.cabri.cn,2024-09-29,,,,,,,,,
电动汽车充电桩技术,可再生能源,6800,万元,电源转换,充电电源,智能充电逆变器,电动汽车快充模块,便捷式充电站,智能网络系统,充电功率150kW，充电时间30分钟,电动汽车研究院,http://www.ev-research.org,2024-09-29,,,,,,,,,
太阳能热水器技术,可再生能源,2500,万元,自然对流,无,标准逆变器,真空管集热器,家用水箱系统,简单控制系统,热效率超90%,中国太阳能热利用协会,http://www.cstra.org.cn,2024-09-29,,,,,,,,,
生物质能发电技术,可再生能源,5500,万元,蒸汽轮机,高效率蒸汽涡轮发电机,生物质配套逆变器,生物质锅炉,循环流化床反应器,控制与监测系统,电能输出容量500kW,中国生物质能产业发展促进协会,http://www.cbbia.org.cn,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,12000,万元,软件控制,无,智能逆变器,集成电网储能系统,多功能分布式系统,智能电网监控系统,储能容量1000kWh,中国电力科学研究院,http://www.cpsri.net,2024-09-29,,,,,,,,,
燃料电池汽车技术,可再生能源,10000,万元,电动机驱动,燃料电池动力系统,高性能逆变器,氢气燃料电池,轻量化车身设计,智能驾驶辅助系统,续航里程600km,中国燃料电池汽车产业技术创新战略联盟,http://www.fcvi.org,2024-09-29,,,,,,,,,
潮汐能转化技术,可再生能源,4500,万元,液压传动,永磁同步电动机,潮汐能专用逆变器,潮汐能储存设备,浮动结构设计,智能监控系统,能量储存能力100kWh,中国能源局,https://www.nea.gov.cn/,2024-09-29,,,,,,,,,
氨能利用技术,可再生能源,7000,万元,气动传动,变频电动机,氨能转换逆变器,液态氨储存罐,凝聚式反应器,全自动化控制系统,能量密度400Wh/L,中国氢能技术研究院,https://www.hydrogencouncil.com/,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,9500,万元,波浪传动,永磁同步电动机,海洋能逆变器,海洋能储电模块,水下结构设计,智能化能源管理系统,电池循环寿命3000次,国家海洋局,http://www.soa.gov.cn/,2024-09-29,,,,,,,,,
超级电容器技术,可再生能源,3700,万元,静电传动,无刷直流电动机,高功率逆变器,超级电容器模块,卷绕结构设计,实时监控系统,能量密度50Wh/kg,中国电池工业协会,http://www.cbia.org.cn/,2024-09-29,,,,,,,,,
碳捕捉与储存技术,可再生能源,11000,万元,机械传动,高效电动机,专用逆变器,无机储碳材料,反应塔设计,自动监测系统,捕碳效率95%,中国碳捕捉技术研究院,https://www.ccs.gov.cn/,2024-09-29,,,,,,,,,
光热发电技术,可再生能源,8500,万元,热循环系统,发电机驱动,光热逆变器,热能储存罐,集热器设计,集中控制系统,热效率45%,中国光热发电技术发展中心,https://www.csp.gov.cn/,2024-09-29,,,,,,,,,
机械能回收系统,可再生能源,5200,万元,轴传动,交流异步电动机,能量回收逆变器,能量回收组件,通用设计,可编程逻辑控制器,最大回收率80%,国际可再生能源机构,https://www.irena.org/,2024-09-29,,,,,,,,,
车载太阳能技术,可再生能源,4100,万元,电能驱动,高效直流电动机,车载专用逆变器,薄膜太阳能电池,集成设计,车辆智能管理系统,功率输出2kW,新能源汽车研究中心,http://www.nev.gov.cn/,2024-09-29,,,,,,,,,
智能微电网技术,可再生能源,9000,万元,分布式传动,可控交流电动机,微电网逆变器,锂电池组,模块化微电网,智能协调系统,最大能量密度200Wh/kg,国家智能电网中心,http://www.sgcc.com.cn/,2024-09-29,,,,,,,,,
固态电池技术,可再生能源,13000,万元,固体传导,高效电动机,固态电池逆变器,固态电池组,高度集成设计,智能电能管理系统,能量密度超过300Wh/kg,中国固态电池研究院,http://www.solidstatebattery.org/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,液压传动,海洋电动机,潮汐能逆变器,潮汐储能罐,潮汐坝设计,远程监控系统,输出功率120kW，充电效率92%,中国水力发电工程学会,http://www.china-swei.org.cn/,2024-09-29,,,,,,,,,
无障碍电动车充电技术,可再生能源,4000,万元,电动机驱动,交流异步电动机,智能充电逆变器,氢燃料电池组,集成充电站,智能网联电气控制系统,输出功率45kW，充电速度快充,新能源车辆协会,https://www.cnve.org.cn/,2024-09-29,,,,,,,,,
纳米技术太阳能电池,可再生能源,8500,万元,无传动系统,无电动机,超高效逆变器,纳米薄膜电池,超轻轮廓设计,智能电气监控系统,转换效率达35%,中国科学技术协会,https://www.cast.org.cn/,2024-09-29,,,,,,,,,
高效储氢技术,可再生能源,6500,万元,气压传动,高效电动机,氢气专用逆变器,金属氢化物储罐,模块化储氢系统,监控管理系统,"容量600L, 储氢效率85%",中国氢能源产业技术创新战略联盟,https://www.chinahydrogen.com/,2024-09-29,,,,,,,,,
有机光伏技术,可再生能源,4300,万元,无传动,无电动机,智能光伏逆变器,有机聚合物电池,柔性可穿戴设计,集成电气控制,转换效率达到28%,中国有机光伏技术协会,http://www.opvchina.org/,2024-09-29,,,,,,,,,
电动汽车无线充电技术,可再生能源,9000,万元,电动机驱动,趴地电动机,无线充电逆变器,高能量密度锂电池,无线发射接收装置,动态充电管理系统,充电效率90%,中国电动车技术研究中心,http://www.evtech.org.cn/,2024-09-29,,,,,,,,,
城市废热利用技术,可再生能源,5200,万元,液压传动,高效液压电动机,废热逆变器,水热回收系统,集中式热回收系统,智能热能管理系统,热回收效率75%,国家可再生能源中心,http://www.nrenergy.org.cn/,2024-09-29,,,,,,,,,
微网电能管理技术,可再生能源,5500,万元,电网优化,合作电动机,微网逆变器,多种能源子系统,分布式发电网络,智能电网系统,包含风、光、氢等多种能源,国家电力公司,http://www.spd.net.cn/,2024-09-29,,,,,,,,,
生物柴油生产技术,可再生能源,3800,万元,液压传动,无刷直流电机,专用生物柴油逆变器,生物油料罐,化工反应器,自动化生产控制,能量密度8500kcal/kg,中国生物能源协会,http://www.biofuels.org.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7200,万元,齿轮传动,永磁电动机,潮汐转换器,锂离子电池,浮筒式设计,高级控制系统,额定容量120Ah，充电效率92%,中国潮汐能研究中心,https://www.cnen.com,2024-09-29,,,,,,,,,
风能储存技术,可再生能源,4500,万元,电动机驱动,变频电动机,高效瞬变逆变器,钠硫电池,集成设计,智能监控系统,能量密度300Wh/kg，充放电循环次数2000次,国际可再生能源局,https://www.irena.org,2024-09-29,,,,,,,,,
海洋能转换技术,可再生能源,8300,万元,浮筒系统,直流电动机,海洋能专用逆变器,固体氢能储存系统,模块化平台,全自动控制系统,输出功率100kW，能量密度600Wh/L,海洋能协会,https://www.oceanenergy.org,2024-09-29,,,,,,,,,
电力储存技术,可再生能源,5000,万元,电池组串联,无刷直流电动机,智能型逆变器,镍氢电池,紧凑式设计,局部监控系统,额定容量150Ah，能量密度200Wh/kg,电池工业协会,https://www.batteryassociation.com,2024-09-29,,,,,,,,,
热能储存技术,可再生能源,3500,万元,热交换系统,转子电动机,热能专用逆变器,相变材料储热系统,圆筒型储存容器,温控自动化系统,储热效率95%,国家能源研究院,https://www.nerc.org,2024-09-29,,,,,,,,,
聚光太阳能发电技术,可再生能源,9000,万元,集中式传动,伺服电动机,集中逆变器,高效硅太阳能电池,抛物线聚光设计,高智能电力系统,转化效率25%,中国太阳能学会,https://www.csun.org,2024-09-29,,,,,,,,,
可持续农业生物燃料技术,可再生能源,3800,万元,生物噪声能转化,直流发电机,生物质转换逆变器,生物质燃料颗粒,反应器设计,全自动引导控制,热值3500kcal/kg,国家生物燃料技术研究中心,https://www.biomassfuel.org,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,6200,万元,集中监控系统,无刷步进电动机,智能电网逆变器,高容量锂电池,双向流动设计,智能数据分析系统,额定容量200Ah，充电效率98%,电力系统自动化研究院,https://www.gridtech.org,2024-09-29,,,,,,,,,
碳捕获与利用技术,可再生能源,7500,万元,循环气体处理系统,气体涡轮电动机,碳捕获逆变器,稀有气体储存罐,集成反应器,智能处理系统,捕获效率85%,全球气候联盟,https://www.globalclimate.org,2024-09-29,,,,,,,,,
固态锂电池技术,可再生能源,4500,万元,电动驱动,无刷直流电动机,固态逆变器,固态锂电池,模块化设计,智能监控系统,额定容量120Ah，充电效率98%,中国电池研究院,https://www.cbattery.org/,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,10000,万元,波浪能传动,异步电动机,海洋逆变器,锂离子电池组,浮动平台,远程监控系统,额定功率30kW，放电效率92%,全球海洋能协会,https://www.globaloceanenergy.org/,2024-09-29,,,,,,,,,
有机光伏技术,可再生能源,3500,万元,光电转换,直流电动机,有机逆变器,有机薄膜电池,柔性设计,智能电网系统,光电转换效率12%，工作温度范围-20°C至60°C,中国光伏产业协会,https://www.cpv.org.cn/,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,7000,万元,电力传输,电动机驱动,快充逆变器,锂聚合物电池,标准化充电桩,智能调度系统,充电功率120kW，充电效率96%,国家新能源汽车技术创新中心,https://www.nevtech.org/,2024-09-29,,,,,,,,,
氢能存储技术,可再生能源,5500,万元,高压储存,氢燃料电动机,氢能逆变器,氢气储存系统,高压容器设计,监控管理系统,存储压力700bar，能量密度800Wh/L,中国氢能应用技术研究中心,https://www.hydrogenpower.org.cn/,2024-09-29,,,,,,,,,
热泵技术,可再生能源,4000,万元,热交换,螺杆式电动机,变频逆变器,热水储存设备,一体化设计,智能控制系统,功率制备30kW，COP值5,中国热泵产业协会,https://www.heatpump.org.cn/,2024-09-29,,,,,,,,,
储能技术,可再生能源,8000,万元,电气传输,浮动式电动机,储能逆变器,高能量密度电池,智能储能系统,自动调节系统,放电效率94%，充电速率1C,国家电力公司,https://www.sgcc.com.cn/,2024-09-29,,,,,,,,,
太阳能热利用技术,可再生能源,1800,万元,热传导,电动机驱动,热能转化逆变器,高效热水箱,平板收集器系统,智能温控系统,热水储量500L，转化效率85%,中国太阳能热利用协会,https://www.csolar.org.cn/,2024-09-29,,,,,,,,,
废弃物处理技术,可再生能源,2200,万元,机械臂传动,伺服电动机,自动化逆变器,生物可降解材料,处理厂综合系统,智能监测系统,处理能力1000kg/h,中国环保产业协会,https://www.ceia.org.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,液压传动,永磁同步电动机,高效逆变器,锂聚合物电池,潮汐发电站设计,远程监控系统,额定容量200Ah，充电效率98%,中国潮汐能源研究中心,https://www.renewables.gov.cn/,2024-09-29,,,,,,,,,
海洋能转换技术,可再生能源,22000,万元,波动转换,交流电动机,双向逆变器,适应性锂离子电池组,浮动发电平台,智能电气分配系统,能量密度1500Wh/L,国家海洋局,https://www.soa.gov.cn/,2024-09-29,,,,,,,,,
氢燃料电池汽车技术,可再生能源,12000,万元,电动机驱动,燃料电池电动机,专用燃料电池逆变器,压缩氢气储存罐,模块化车身,智能能源管理系统,输出功率100kW，能量密度800Wh/L,中国氢能源协会,https://www.china-hydrogen.org/,2024-09-29,,,,,,,,,
热泵技术,可再生能源,1500,万元,压缩机驱动,变频电动机,高效变频逆变器,不适用,一体化热泵系统,中央控制系统,COP≥5.0,中国热泵产业协会,http://www.chinaheatpump.org/,2024-09-29,,,,,,,,,
太阳能热水技术,可再生能源,4000,万元,自然循环系统,无,不适用,集热器,平板集热器设计,自动控制系统,热效率85%,中国太阳能热利用协会,http://www.cstda.org/,2024-09-29,,,,,,,,,
固体氧化物燃料电池技术,可再生能源,18000,万元,电动机驱动,固体氧化物燃料电池,特殊逆变器,固体氧化物电池片,模块化电池堆,实时监控系统,最高输出功率25kW,国家电网公司,http://www.sgcc.com.cn/,2024-09-29,,,,,,,,,
回收能源技术,可再生能源,3500,万元,机械回收,异步电动机,多用途逆变器,再生资源电池,动态回收系统,监控调节系统,电池循环效率≥85%,中国资源回收利用协会,http://www.crra.org.cn/,2024-09-29,,,,,,,,,
电池储能技术,可再生能源,16000,万元,静态储能,不适用,储能逆变器,钴酸锂电池组,集成储能单元,智能能量管理系统,能量密度250Wh/kg,中国储能产业技术创新战略联盟,https://www.cesi.org.cn/,2024-09-29,,,,,,,,,
先进核能技术,清洁能源,30000,万元,电力网络供给,核电机组,核能专用逆变器,不适用,模块化反应堆,综合监控系统,输出功率1200MW,国家核安全局,http://www.nsr.gov.cn/,2024-09-29,,,,,,,,,
碳捕捉与存储技术,清洁能源,22000,万元,气体流体动力,不适用,不适用,不适用,碳捕集装置,监控调节系统,捕集效率90%,中国环境保护部,http://www.mee.gov.cn/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,7500,万元,水轮机传动,高效直流电动机,潮汐能专用逆变器,大型铅酸电池,综合潮汐能发电站,智能电网协调系统,额定容量200Ah，放电效率85%,中国潮汐能协会,https://www.chinatidalenergy.org,2024-09-29,,,,,,,,,
风力发电与氢能结合技术,可再生能源,9500,万元,风机电驱动,永磁同步电动机,混合能源逆变器,氢气高压储存罐,风电+氢能系统集成,智能能源管理系统,输出功率100kW，能量密度700Wh/L,国家能源局,https://www.neea.gov.cn,2024-09-29,,,,,,,,,
海洋能源转换技术,可再生能源,8800,万元,海洋涌浪发电装置,交流发电机,海洋能专用逆变器,海洋能储存装置,浮动式发电平台,智能调度控制系统,储能容量500kWh,国际海洋能源研究中心,https://www.internationaloceanenergy.org,2024-09-29,,,,,,,,,
双向充电技术,可再生能源,6200,万元,双向逆变器,电动车充电机,双向光伏逆变器,锂电池组,车载充电系统,集成充电管理系统,输出功率22kW，充电效率90%,中国电动车发展研究协会,https://www.ev-china.org,2024-09-29,,,,,,,,,
分布式能源系统,可再生能源,5300,万元,模块化发电单元,直流电动机,多元分布式逆变器,高效储能电池,分散式发电网络,区域电网管理系统,储能容量300kWh,中国分布式能源发展联盟,https://www.cdeia.org.cn,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,8600,万元,电信网络管理,智能电气设备,超高效电能管理逆变器,统一电力储能系统,智能电网平台,实时数据监控系统,实时调度能力1000kW,国家智能电网研究中心,https://www.sgcc.com.cn,2024-09-29,,,,,,,,,
氢能生产与储存技术,可再生能源,7800,万元,电解水制氢,高电流电动机,氢气生成逆变器,氢气储存设备,氢气提取装置,氢能分配系统,储存 pressure 30 MPa,中国氢能技术开发公司,https://www.hydrogentechnology.cn,2024-09-29,,,,,,,,,
碳捕捉与利用技术,可再生能源,7000,万元,化学吸附设备,高效泵,卡本石逆变器,储碳管道系统,捕碳装置,碳监测系统,捕集率85%,国家碳捕捉协会,https://www.ccs.org.cn,2024-09-29,,,,,,,,,
智能化电动车充电站,可再生能源,9000,万元,智能充电桩,电动车充电机,智能快速充电逆变器,车载锂电池,多车位充电区,远程监控充电管理系统,支持快速充电能力120kW,中国电动汽车充电技术研究中心,https://www.evcharging.org.cn,2024-09-29,,,,,,,,,
热泵技术,可再生能源,4000,万元,制冷循环系统,压缩机电动机,变频逆变器,热水储存系统,高效热泵单元,温控自动化系统,热效率500%,中国热泵产业技术创新战略联盟,https://www.chinaheatpump.org,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,流体动力传动,高效发电机,智能潮汐逆变器,钠硫电池,潮汐涡轮系统,动态电网管理系统,输出功率60kW，充电效率88%,国际潮汐能协会,https://www.itsea.org,2024-09-29,,,,,,,,,
氨燃料技术,可再生能源,7500,万元,电磁传动,氨燃料电池电机,高效氨逆变器,氨储存容器,密闭反应系统,智能控制管理系统,能量密度600Wh/L，技术效率85%,中国氨能源协会,http://www.chinaammonia.org,2024-09-29,,,,,,,,,
太阳能热水技术,可再生能源,2500,万元,热交换系统,无刷电动机,热能逆变器,热水储存罐,管道系统,智能监控系统,最大温度为80°C，有效热效率95%,中国太阳能热利用协会,http://www.csrsa.org,2024-09-29,,,,,,,,,
小型水电技术,可再生能源,5500,万元,水力发电机组,同步电动机,小型水电专用逆变器,不适用,框架结构设计,分布式发电系统,额定输出功率100kW,国家小水电技术中心,http://www.nswt.org.cn,2024-09-29,,,,,,,,,
生物质气化技术,可再生能源,4000,万元,气化反应器,双电源电动机,气化专用逆变器,生物质气体存储罐,模块化设计,智能系统控制,气体热值可达5000kcal/m³,中国生物能源技术研究院,http://www.cbetri.org,2024-09-29,,,,,,,,,
传输电网优化技术,可再生能源,6800,万元,电网管理系统,变频电动机,高效电网逆变器,不适用,智能电网架构,电力流分析系统,能量损失小于3%,电力系统工程研究院,http://www.csee.org.cn,2024-09-29,,,,,,,,,
超导电缆技术,可再生能源,9000,万元,超导线圈系统,不适用,超导电缆逆变器,不适用,线缆无损系统,低温超导系统,超导临界温度为-200°C,国家电缆技术研究中心,http://www.nctrc.org,2024-09-29,,,,,,,,,
热泵技术,可再生能源,3200,万元,压缩机系统,高效压缩电机,热泵逆变器,不适用,集成冷热系统,智能热控系统,COP值为4.6,中国制冷学会,http://www.crch.org,2024-09-29,,,,,,,,,
清洁电力存储技术,可再生能源,7700,万元,电池管理系统,不适用,清洁能源逆变器,固态电池,储能模块,智能存储管理系统,能量密度为500Wh/kg,中国清洁能源发展研究院,http://www.ceec.org.cn,2024-09-29,,,,,,,,,
海洋能转化技术,可再生能源,7500,万元,波浪能转换,伺服电动机,海洋专用逆变器,高压蓄电池组,浮动平台设计,集中监控系统,容量200Ah，循环寿命1200次,中国海洋能源协会,https://www.cmc.gov.cn,2024-09-29,,,,,,,,,
储能电池技术,可再生能源,12000,万元,电网互联,无刷直流电动机,智能网联逆变器,钠硫电池,模块化设计,智能监测系统,额定容量500Ah，安全性等级A,中国能源存储技术研究院,https://www.energy-storage.net,2024-09-29,,,,,,,,,
有机光伏技术,可再生能源,4000,万元,直流传动,无电刷电动机,薄膜逆变器,有机光电材料,平面设计,高效电气控制系统,光电转换效率15%,中国材料科学学会,https://www.cmsc.org.cn,2024-09-29,,,,,,,,,
生物燃料生产技术,可再生能源,6200,万元,生物质转化,小型发电机,生物基逆变器,生物柴油储存罐,反应器设计,自动化处理系统,热值8000kcal/kg,中国农科院,https://www.caas.cn,2024-09-29,,,,,,,,,
城市废物能源回收技术,可再生能源,3000,万元,垃圾转化,异步电动机,垃圾焚烧逆变器,废物燃料仓储系统,回收站设计,数据监控系统,处理能力500t/d,中国废物管理协会,https://www.cwma.org.cn,2024-09-29,,,,,,,,,
直流电箍技术,可再生能源,8800,万元,直流控制,电磁电动机,智能逆变器,超级电容器,模块化设置,个性化情报系统,能量密度200Wh/kg，充电时间60分钟,国家电能管理局,https://www.nema.org.cn,2024-09-29,,,,,,,,,
