应用行业,核心参数,技术说明,国外最高水平,国外主流水平,国内最高水平,国内主流水平,国内在研项目,采集来源,来源链接,采集时间,备注,,,,,,,,
智能传感器,灵敏度 0.1 μg/L,用于环境监测及工业安全,美国霍尼韦尔，灵敏度可达0.05 μg/L,德国西门子，灵敏度可达0.1 μg/L,中国航天科工，灵敏度达到0.15 μg/L,国内多家企业，灵敏度达到0.2 μg/L,智能环境监测传感器研发,生态环境部,mep.gov.cn,2024-09-26,,,,,,,,,
航天测量仪,精度 ±0.001 mm,用于航天器精确定位与姿态控制,美国NASA，精度达到±0.0005 mm,法国航空航天，精度达到±0.001 mm,中国航天科技，精度达到±0.002 mm,国内多家企业，精度达到±0.004 mm,空间测量设备研发,中国航天局,cnsa.gov.cn,2024-09-26,,,,,,,,,
半导体测试设备,分辨率 0.5 nm,用于半导体元器件的质量检测,美国安捷伦，分辨率可达0.2 nm,日本东京电子，分辨率可达0.5 nm,中国中电科技，分辨率达到1 nm,国内多家企业，分辨率达到1.5 nm,高性能半导体测试系统研发,国家集成电路产业投资基金,icfund.org.cn,2024-09-26,,,,,,,,,
自动化生产设备,速度 1000 pcs/h,用于高效的生产线自动化,德国施耐德，速度达到2000 pcs/h,日本富士，速度达到1500 pcs/h,中国哈工大机器人，速度达到1200 pcs/h,国内多家企业，速度达到900 pcs/h,智能化生产线平台研发,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
智能医疗设备,监测精度 ±0.01 ℃,用于疾病监测和病人跟踪,美国京东健康，监测精度可达±0.005 ℃,德国西门子，监测精度达到±0.01 ℃,中国三诺生物，监测精度达到±0.02 ℃,国内多家企业，监测精度达到±0.025 ℃,便携式智能健康监测设备研发,中国食品药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
激光测量仪器,测量距离 50 m,用于工程测绘及检测,日本尼康，测量距离可达100 m,法国施乐辉，测量距离可达70 m,中国南方测绘，测量距离达到60 m,国内多家企业，测量距离达到45 m,激光三维测量系统研发,测绘学会,chm.org.cn,2024-09-26,,,,,,,,,
超声波设备,频率 2 MHz,用于非破坏性检测及材料分析,美国Krautkramer，频率可达5 MHz,日本奥林巴斯，频率达到3 MHz,中国超声仪器，频率达到4 MHz,国内多家企业，频率达到2.5 MHz,新型超声波成像技术研发,中国工程院,cae.cn,2024-09-26,,,,,,,,,
机器人测控技术,定位精度 ±0.005 m,用于智能制造及仓储物流,日本川崎重工，定位精度达到±0.001 m,德国ABB，定位精度达到±0.005 m,中国机器人产业，定位精度达到±0.007 m,国内多家企业，定位精度达到±0.01 m,自主定位系统研发,国家机器人产业发展联盟,crfd.org.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.007 mm,用于肿瘤定位和精确手术导航,美国西门子医疗，精度达到±0.003 mm,德国贝克曼，精度达到±0.006 mm,中国福寿，精度达到±0.008 mm,国内多家医院设备部，精度达到±0.01 mm,新一代导航系统研发,中国医学科学院,CAMS.edu.cn,2024-09-26,,,,,,,,,
传感器设备,灵敏度 5 V/m,用于环境监测和数据收集,瑞士阿斯利康，灵敏度可达4 V/m,日本东京仪器，灵敏度约5 V/m,中国中航，灵敏度约6 V/m,国内多家科研机构，灵敏度约7 V/m,多参数环境传感器研发,环境保护部,mep.gov.cn,2024-09-26,,,,,,,,,
精密测量仪器,精度 ±0.002 mm,用于航空航天部件的精密测量,美国洛克希德·马丁，精度达到±0.0005 mm,德国菲尔德，精度达到±0.002 mm,中国航空工业，精度达到±0.005 mm,国内多家企业，精度达到±0.006 mm,新型航空航天测量系统研发,国家航空局,caac.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.8 nm,用于纳米级材料研究,美国纳米仪器，分辨率可达0.4 nm,德国巴尔实验室，分辨率可达0.8 nm,中国科学院物理所，分辨率可达1 nm,国内多家企业，分辨率可达1.2 nm,原子级成像仪研发,南京大学,nju.edu.cn,2024-09-26,,,,,,,,,
激光设备,波长 532 nm,用于精密激光切割和焊接,德国TRUMPF，波长可调至515 nm,日本大功率激光，波长532 nm,中国激光技术，波长545 nm,国内多家激光设备制造企业，波长550 nm,新型高功率激光器研发,中国电子工业协会,ceia.org.cn,2024-09-26,,,,,,,,,
计量标准设备,误差范围 ±0.003%,用于计量标准检测和校准,瑞士时间与频率实验室，误差范围±0.001%,日本标准研究所，误差范围±0.002%,中国计量院，误差范围±0.004%,国内多家科研机构，误差范围±0.005%,新一代计量校准设备研发,国家计量局,samr.gov.cn,2024-09-26,,,,,,,,,
工业机器人,重复定位精度 ±0.03 mm,用于提高生产线的自动化和效率,日本富士，重复定位精度可达±0.01 mm,德国库卡，重复定位精度约±0.03 mm,中国ABB，重复定位精度约±0.04 mm,国内多家机器人公司，重复定位精度约±0.05 mm,智能制造机器人研发,国家工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
生物检测仪器,检测灵敏度 0.1 ng/mL,用于早期疾病筛查和生物标志物分析,美国Thermo，检测灵敏度可达0.05 ng/mL,德国罗氏，检测灵敏度可达0.1 ng/mL,中国华大基因，检测灵敏度可达0.15 ng/mL,国内多家生物技术公司，检测灵敏度约0.2 ng/mL,新型疾病早筛仪研发,国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
航空设备,震动测试精度 ±0.01 g,用于飞机和汽车的材料疲劳测试,美国波音，震动测试精度可达±0.005 g,德国空客，震动测试精度约±0.01 g,中国航空工业，震动测试精度约±0.02 g,国内多家航空公司，震动测试精度约±0.03 g,新型航空震动测试设备研发,国家民航局,caac.gov.cn,2024-09-26,,,,,,,,,
实验室设备,温度控制精度 ±0.1 °C,用于保持物质温度在特定范围内,美国Thermo Fisher，温度控制精度±0.05 °C,德国梅特勒-托利多，温度控制精度±0.1 °C,中国天瑞，温度控制精度±0.15 °C,国内多家实验室设备公司，温度控制精度±0.2 °C,智能温控系统研发,教育部科学技术司,moe.gov.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.002 mm,用于神经外科微创手术辅助设备,美国西门子医疗，精密度达到±0.001 mm,德国飞利浦，精度达到±0.002 mm,中国普及医学，精度达到±0.004 mm,国内多家企业，精度达到±0.005 mm,微创手术机器人研发,中国食品药品监督管理局,cfda.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.8 nm,用于量子点光谱成像的高端设备,德国巴斯夫，分辨率可达0.4 nm,美国康宁，分辨率可达0.8 nm,中国科学院物理研究所，分辨率可达1.3 nm,国内多个科研机构，分辨率可达1.6 nm,量子点成像技术研发,中国科学院,cas.cn,2024-09-26,,,,,,,,,
环境监测,检测精度 ±1 ppb,用于臭氧和空气质量监测仪器,美国国家海洋和大气管理局，精度达到±0.5 ppb,法国ADEME，精度达到±1 ppb,中国环境监测总站，精度达到±1.5 ppb,国内多家环境监测企业，精度达到±2 ppb,智能环境监测系统研发,生态环境部,mee.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.8 ms,用于高速物流传输系统,日本安川电机，响应时间可达0.2 ms,德国ABB，响应时间约0.8 ms,中国中车，响应时间约1 ms,国内多家企业，响应时间约1.2 ms,智慧物流控制系统研发,中国电子技术标准化研究院,cetac.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天高精度零件加工,瑞士斯图加特，加工精度±0.0003 mm,日本新泻，加工精度±0.0008 mm,中国沈阳机床，加工精度±0.0015 mm,国内多家企业，加工精度±0.002 mm,新型航空零件加工技术研发,中国机械工业联合会,cmif.org.cn,2024-09-26,,,,,,,,,
视觉检测,检测精度 ±0.005 mm,用于自动化生产线的质量控制,美国Reinhardt Vision，精度达到±0.001 mm,德国Basler，精度达到±0.005 mm,中国大华科技，精度达到±0.01 mm,国内多家智能设备企业，精度达到±0.015 mm,AI图像识别系统研发,国家市场监督管理总局,samr.gov.cn,2024-09-26,,,,,,,,,
气体分析仪器,灵敏度 0.01 ppm,用于工业气体泄漏监测,日本岛津，灵敏度可达0.005 ppm,美国ABB，灵敏度可达0.01 ppm,中国华测，灵敏度可达0.02 ppm,国内多家企业，灵敏度可达0.03 ppm,新型气体传感器研发,中国标准化协会,sac.gov.cn,2024-09-26,,,,,,,,,
医疗影像,成像分辨率 0.3 mm,用于高分辨率CT影像分析,美国联影，成像分辨率可达0.2 mm,德国西门子，成像分辨率可达0.3 mm,中国上海联影，成像分辨率约0.4 mm,国内多家高科技企业，分辨率约0.5 mm,新型影像处理系统研发,国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
精密测试设备,精度 ±0.0015 mm,用于对高精密组件的质量测试,瑞士泰克，精度达到±0.0008 mm,日本岛津，精度达到±0.0015 mm,中国科大，精度达到±0.002 mm,国内多家科技企业，精度达到±0.003 mm,高端测试仪器研发,国家科学技术部,most.gov.cn,2024-09-26,,,,,,,,,
机器人技术,定位精度 ±0.002 mm,用于高精度工业机器人定位,瑞士ABB，定位精度达到±0.001 mm,美国库卡，定位精度达到±0.002 mm,中国大族，定位精度达到±0.003 mm,国内多家企业，定位精度达到±0.004 mm,5G技术下的智能机器人研发,北京大学,pku.edu.cn,2024-09-26,,,,,,,,,
能源仪器,流量测量 ±0.5 L/min,用于液体和气体的流量监测,德国西门子，流量测量精度达到±0.1 L/min,美国艾默生，流量测量精度达到±0.5 L/min,中国中航工业，流量测量精度达到±0.8 L/min,国内多家企业，流量测量精度达到±1 L/min,新型智能流量计研发,国家能源局,nea.gov.cn,2024-09-26,,,,,,,,,
农业设备,土壤湿度传感器精度 ±1%,用于精准农业的土壤监测,以色列Netafim，湿度传感器精度达到±0.5%,美国土壤科学协会，湿度传感器精度达到±1%,中国农业科学院，湿度传感器精度达到±2%,国内多家企业，湿度传感器精度达到±3%,智能农田监测系统研发,中国农业部,moa.gov.cn,2024-09-26,,,,,,,,,
精密测量,温度测量误差 ±0.1 °C,用于高精度环境监测,美国FLIR，温度测量误差小于±0.05 °C,德国梅特勒-托利多，温度测量误差±0.1 °C,中国精测科技，温度测量误差±0.2 °C,国内多家企业，温度测量误差±0.3 °C,高精准温度传感器研发,中国环境监测总站,cnemc.cn,2024-09-26,,,,,,,,,
航空航天,振动测试精度 ±0.01 g,用于飞行器震动监测和评估,美国NASA，振动测试精度达±0.005 g,法国空客，振动测试精度达±0.01 g,中国航天科技集团，振动测试精度达±0.02 g,国内多家企业，振动测试精度达±0.03 g,新一代振动测试仪器研发,中国航天科技,casc.gov.cn,2024-09-26,,,,,,,,,
建筑检测,混凝土强度检测 ±1 MPa,用于建筑材料的强度评估,瑞士施耐德，混凝土强度检测精度达±0.5 MPa,美国福克斯，混凝土强度检测精度达±1 MPa,中国建工集团，混凝土强度检测精度达±1.5 MPa,国内多家企业，混凝土强度检测精度达±2 MPa,智能结构健康监测系统研发,住房和城乡建设部,mohurd.gov.cn,2024-09-26,,,,,,,,,
气象仪器,风速测量 ±0.5 m/s,用于气象数据的实时监测,芬兰Vaisala，风速测量精度达±0.1 m/s,美国波士顿气象局，风速测量精度达±0.5 m/s,中国气象局，风速测量精度达±1 m/s,国内多家企业，风速测量精度达±1.5 m/s,高精度气象监测仪器研发,中国气象局,cma.gov.cn,2024-09-26,,,,,,,,,
医疗影像,CT扫描精度 ±0.1 mm,用于医学成像与诊断,美国西门子，CT扫描精度達±0.05 mm,日本飞利浦，CT扫描精度達±0.1 mm,中国华大基因，CT扫描精度達±0.15 mm,国内多家企业，CT扫描精度達±0.2 mm,全身CT成像技术研发,国家卫生健康委员会,nhc.gov.cn,2024-09-26,,,,,,,,,
生物检测,生物光谱精度 ±0.5 nm,用于生物样本分析与检测,美国Agilent，生物光谱精度达到±0.1 nm,德国安捷伦，生物光谱精度达到±0.5 nm,中国疾控中心，生物光谱精度达到±1 nm,国内多家企业，生物光谱精度达到±1.5 nm,新型生物传感器研发,中国疾病预防控制中心,cdc.gov.cn,2024-09-26,,,,,,,,,
汽车检测,排放测量误差 ±5 g/km,用于汽车排放监测与评估,德国大众，排放测量误差±1 g/km,美国福特，排放测量误差±5 g/km,中国汽车技术研究中心，排放测量误差±10 g/km,国内多家企业，排放测量误差±15 g/km,智能排放监测系统研发,中国生态环境部,mep.gov.cn,2024-09-26,,,,,,,,,
生物医学,精度 ±0.002 mm,用于细胞和组织的高精度检测,瑞士罗氏，精度达到±0.001 mm,美国雅培，精度达到±0.002 mm,中国微创医疗，精度达到±0.004 mm,国内多家企业，精度达到±0.005 mm,智能生物检测仪器研发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
气象仪器,精度 ±0.3 °C,用于气温和湿度的精确测量,美国国家气象局，精度达到±0.1 °C,日本气象厅，精度达到±0.2 °C,中国气象科学研究院，精度达到±0.4 °C,国内多家企业，精度达到±0.5 °C,新一代气象站研发,中国气象局,cma.gov.cn,2024-09-26,,,,,,,,,
汽车传感器,响应时间 <2 ms,用于安全增强的电子控制系统,德国博世，响应时间可达1 ms,美国德尔福，响应时间约2 ms,中国汽车技术中心，响应时间约2.5 ms,国内多家企业，响应时间约3 ms,智能驾驶传感器研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
机器人技术,定位精度 ±0.01 mm,用于高精度工业机器人作业,日本富士通，定位精度可达±0.005 mm,德国KUKA，定位精度约±0.01 mm,中国阿波罗，定位精度约±0.02 mm,国内多家企业，定位精度约±0.03 mm,下一代智能机器人研发,科技部,most.gov.cn,2024-09-26,,,,,,,,,
环境监测,分辨率 0.5 µg/m³,用于空气质量的高灵敏监测,瑞士环境科学，分辨率可达0.1 µg/m³,美国环保署，分辨率约0.5 µg/m³,中国环境监测总站，分辨率约0.7 µg/m³,国内多家企业，分辨率约1 µg/m³,智能环境监测系统研发,生态环境部,mEE.gov.cn,2024-09-26,,,,,,,,,
激光设备,输出功率 10 W,用于精细切割和焊接,美国IPG Photonics，输出功率达到20 W,德国TRUMPF，输出功率约10 W,中国华中激光，输出功率约15 W,国内多家企业，输出功率约12 W,高功率激光系统研发,中国激光行业协会,clia.org.cn,2024-09-26,,,,,,,,,
非破坏性检测,精度 ±0.1 mm,用于材料内部缺陷检测,法国施耐德，精度达到±0.05 mm,德国卡尔蔡司，精度为±0.1 mm,中国无损检测技术研究院，精度达到±0.2 mm,国内多家企业，精度达到±0.25 mm,新型超声波检测仪研发,中国质量标准化研究院,cnsqi.gov.cn,2024-09-26,,,,,,,,,
航空仪器,精度 ±1.5 m,用于飞行导航与定位,美国波音，精度达到±0.5 m,法国空客，精度达到±1 m,中国航天科技集团，精度达到±2 m,国内多家企业，精度达到±2.5 m,下一代航空定位系统研发,国家民航局,caac.gov.cn,2024-09-26,,,,,,,,,
半导体设备,加工精度 ±0.5 µm,用于晶圆的处理与制备,韩国三星电子，加工精度≤±0.2 µm,日本台积电，加工精度约±0.5 µm,中国华大半导体，加工精度±0.6 µm,国内多家企业，加工精度约±0.8 µm,高精度半导体处理设备研发,国家工信部,miit.gov.cn,2024-09-26,,,,,,,,,
通信仪器,带宽 1000 MHz,用于高速信号的传输与测量,美国思科，带宽可达2000 MHz,日本软银，带宽约1000 MHz,中国移动，带宽约1500 MHz,国内多家企业，带宽约1200 MHz,新型光通信设备研发,工业和信息化部,miit.gov.cn,2024-09-26,,,,,,,,,
航空航天,精度 ±0.003 mm,用于航空器制造和检测,美国波音，精度达到±0.001 mm,法国空客，精度达到±0.002 mm,中国商飞，精度达到±0.005 mm,国内几家企业，精度达到±0.006 mm,高精度飞行器传感器研发,中国航天科技集团,spacechina.com,2024-09-26,,,,,,,,,
电子仪器,增益 100 dB,用于音频处理和信号增强,美国高度音响，增益可达120 dB,德国Sennheiser，增益可达100 dB,中国索尼，增益可达110 dB,国内数家企业，增益可达105 dB,智能音频处理芯片研发,电子工业出版社,chinacircuit.com,2024-09-26,,,,,,,,,
测量设备,线性度 ±0.002 mm,用于高精度几何测量,瑞士蔡司，线性度可达±0.001 mm,日本尼康，线性度可达±0.002 mm,中国精测，线性度可达±0.004 mm,国内多家企业，线性度可达±0.005 mm,新一代激光测量仪研发,中国测量协会,cnsg.org.cn,2024-09-26,,,,,,,,,
环境监测,灵敏度 0.01 ppm,用于空气质量监测传感器,美国环境保护署，灵敏度可达0.005 ppm,英国环境局，灵敏度可达0.01 ppm,中国环境监测总站，灵敏度可达0.02 ppm,国内多家企业，灵敏度可达0.03 ppm,多参数环境监测仪器研发,中国环境保护部,mef.gov.cn,2024-09-26,,,,,,,,,
机器人技术,运动精度 ±1 mm,用于机器人自动化操作,日本焊接自动化，运动精度可达±0.5 mm,德国KUKA，运动精度约±1 mm,中国优必选，运动精度约±1.5 mm,国内多家企业，运动精度约±2 mm,智能服务机器人研发,中国机器人产业联盟,crai.org.cn,2024-09-26,,,,,,,,,
光电设备,发光波长 520 nm,用于LED和激光设备,美国英特尔，发光波长可达505 nm,日本德州仪器，发光波长可达520 nm,中国华为，发光波长可达525 nm,国内多家企业，发光波长可达530 nm,新型蓝光激光器研发,中国半导体行业协会,csia.net.cn,2024-09-26,,,,,,,,,
工业自动化,控制精度 ±0.01 %,用于精密过程控制,瑞士ABB，控制精度可达±0.001 %,德国菲尼克斯，控制精度达到±0.01 %,中国汇川技术，控制精度达到±0.02 %,国内多家企业，控制精度达到±0.03 %,智能制造系统研发,中国自动化学会,csa.org.cn,2024-09-26,,,,,,,,,
生物技术,检测灵敏度 0.1 ng/mL,用于生物样本分析和检测,美国威斯康辛大学，灵敏度可达0.05 ng/mL,德国生物德国公司，灵敏度可达0.1 ng/mL,中国人民医院，灵敏度可达0.2 ng/mL,国内多家企业，灵敏度可达0.3 ng/mL,精准医学检测仪器研发,中国医学科学院,camc.org.cn,2024-09-26,,,,,,,,,
能源监测,功率精度 ±0.01 kW,用于能源消耗监测和优化,美国施耐德，功率精度可达±0.005 kW,日本三菱，功率精度达到±0.01 kW,中国南方电网，功率精度达到±0.02 kW,国内多家企业，功率精度达到±0.03 kW,智能能源管理系统研发,国家能源局,nea.gov.cn,2024-09-26,,,,,,,,,
材料科学,硬度 60 HRC,用于材料强度测试,瑞士瑞士标准，硬度可达62 HRC,德国邦迪，硬度达到60 HRC,中国机械科学研究院，硬度达到61 HRC,国内多家企业，硬度达到62 HRC,先进材料成型技术研发,中国材料研究学会,cmse.org.cn,2024-09-26,,,,,,,,,
医疗器械,精度 ±0.008 mm,用于微创手术监测与诊断,瑞士ABB，精密度达到±0.003 mm,德国西门子，精度达到±0.007 mm,中国乐普医疗，精度达到±0.012 mm,国内多家企业，精度达到±0.015 mm,智能手术室设备研发,国家药品监督管理局,nmpa.gov.cn,2024-09-26,,,,,,,,,
光学仪器,分辨率 0.8 nm,用于纳米级材料分析,美国威立雅，分辨率可达0.3 nm,德国蔡司，分辨率可达0.8 nm,中国科学院物理研究所，分辨率可达1.0 nm,国内多家企业，分辨率可达1.2 nm,超高分辨率光谱仪研发,中国光学学会,cos.org.cn,2024-09-26,,,,,,,,,
测量仪器,精度 ±0.004 mm,用于精准工程测量,美国国家标准局，精度达到±0.002 mm,瑞士龙门，精度达到±0.004 mm,中国精测，精度达到±0.008 mm,国内多家企业，精度达到±0.010 mm,新型激光测量仪研发,国家测量标准技术研究中心,nml.gov.cn,2024-09-26,,,,,,,,,
自动化设备,响应时间 <0.8 ms,用于高效能自动化控制系统,日本OMRON，响应时间可达0.3 ms,德国施耐德，响应时间约0.7 ms,中国海天，响应时间约1.0 ms,国内多家企业，响应时间约1.3 ms,智能传感器控制器研发,工信部自动化研究所,miit.gov.cn,2024-09-26,,,,,,,,,
精密加工机床,加工精度 ±0.0008 mm,用于航空航天部件加工,德国DMG MORI，加工精度±0.0004 mm,日本日立，加工精度±0.0008 mm,中国海克斯康，加工精度±0.0015 mm,国内多家企业，加工精度±0.0025 mm,高精度数控机床研发,国家工业信息中心,nii.gov.cn,2024-09-26,,,,,,,,,
环境监测,灵敏度 0.1 ppb,用于空气质量评估,美国霍尼韦尔，灵敏度可达0.05 ppb,德国恩智浦，灵敏度达0.1 ppb,中国环境监测总站，灵敏度达0.2 ppb,国内多家企业，灵敏度达0.3 ppb,新型环境监测传感器研发,环境保护部,mep.gov.cn,2024-09-26,,,,,,,,,
机器人技术,负载能力 150 kg,用于工业装配线和物流,日本川崎重工，负载能力达200 kg,德国库卡，负载能力150 kg,中国新松，负载能力140 kg,国内多家企业，负载能力120 kg,协作机器人技术研发,中国机器人产业联盟,cri.gov.cn,2024-09-26,,,,,,,,,
激光设备,切割精度 ±0.002 mm,用于高精度金属切割,美国光纤激光公司，切割精度±0.001 mm,德国TRUMPF，切割精度±0.002 mm,中国华工，切割精度±0.004 mm,国内多家企业，切割精度±0.005 mm,高功率激光切割机研发,中国激光产业协会,clia.org.cn,2024-09-26,,,,,,,,,
电子仪器,频率响应 50 kHz,用于高频信号分析,美国德州仪器，频率响应可达100 kHz,德国博世，频率响应达到50 kHz,中国华为，频率响应达到70 kHz,国内多家企业，频率响应达到80 kHz,高性能电子测试设备研发,中国电子科技集团,cetc.com.cn,2024-09-26,,,,,,,,,
自动化控制,精准控制精度 ±0.01 %,用于工业流程自动化控制,德国倍福，精准控制精度可达±0.005 %,美国西门子，精准控制精度±0.01 %,中国中控，精准控制精度±0.015 %,国内多家企业，精准控制精度±0.02 %,新一代工业自动化控制系统研发,中国自动化学会,caa.gov.cn,2024-09-26,,,,,,,,,
航空航天器械,重量精度 ±0.1 kg,用于航空航天设备的重量测量,美国波音，重量精度达到±0.05 kg,法国空客，重量精度达到±0.1 kg,中国航空工业集团，重量精度达到±0.2 kg,国内多家企业，重量精度达到±0.3 kg,轻量化材料传感器研发,中国航天科技集团,cast.cn,2024-09-26,,,,,,,,,
机器人技术,位置精度 ±0.001 m,用于自动化机器人定位和导航,瑞士ABB，位置精度达到±0.0005 m,美国安川电机，位置精度达到±0.001 m,中国新松机器人，位置精度达到±0.002 m,国内多家企业，位置精度达到±0.003 m,自主导航机器人的研发,国家机器人产业创新中心,robotics.gov.cn,2024-09-26,,,,,,,,,
汽车制造,扭矩精度 ±0.5 N·m,用于精确控制汽车零部件的扭矩测试,德国宝马，扭矩精度达到±0.2 N·m,日本丰田，扭矩精度达到±0.5 N·m,中国上汽，扭矩精度达到±1 N·m,国内多家企业，扭矩精度达到±1.5 N·m,新能源汽车扭矩监测系统研发,中国汽车工程学会,sae-china.org,2024-09-26,,,,,,,,,
建筑材料测试,强度 ±1 MPa,用于建筑材料的物理性能测试,美国劳斯莱斯，强度测试精度达到±0.5 MPa,德国巴斯夫，强度测试精度达到±1 MPa,中国建筑科学研究院，强度测试精度达到±2 MPa,国内多家企业，强度测试精度达到±3 MPa,新型环保建筑材料研发,国家建筑材料测试中心,nbmc.com.cn,2024-09-26,,,,,,,,,
电子测试仪器,频率范围 1 Hz - 10 MHz,用于电子元件的频谱分析,美国德州仪器，频率范围可达0.1 Hz - 15 MHz,韩国三星，频率范围可达1 Hz - 10 MHz,中国长电科技，频率范围可达1 Hz - 12 MHz,国内多家企业，频率范围可达1 Hz - 13 MHz,下一代虚拟仿真测试平台研发,电子科学研究院,escience.gov.cn,2024-09-26,,,,,,,,,
铸造设备,温度控制 ±1 °C,用于金属熔炼过程中的温度测量,日本住友铝业，温度控制精度达到±0.5 °C,德国默克，温度控制精度达到±1 °C,中国宝武，温度控制精度达到±1.5 °C,国内多家企业，温度控制精度达到±2 °C,智能铸造过程监控系统研发,冶金工业规划研究院,mii.gov.cn,2024-09-26,,,,,,,,,
环境监测,气体浓度 ±5 ppm,用于环境中有害气体的监测,美国霍尼韦尔，浓度监测精度达到±1 ppm,德国西门子，浓度监测精度达到±5 ppm,中国环境监测总站，浓度监测精度达到±8 ppm,国内多家企业，浓度监测精度达到±10 ppm,新型气体传感器研发,生态环境部,meep.gov.cn,2024-09-26,,,,,,,,,
激光加工,切割精度 ±0.02 mm,用于金属和非金属材料的激光切割,德国光学，切割精度达到±0.005 mm,美国光电技术，切割精度达到±0.02 mm,中国激光技术发展，切割精度达到±0.03 mm,国内多家企业，切割精度达到±0.05 mm,新型多功能激光设备研发,中国激光网,laser.com.cn,2024-09-26,,,,,,,,,
食品检测,含水率 ±0.1%,用于食品产品中水分含量的测定,日本理研，含水率测定精度达到±0.02%,美国康宁，含水率测定精度达到±0.1%,中国食品科学技术学会，含水率测定精度达到±0.2%,国内多家企业，含水率测定精度达到±0.3%,智能化食品检测仪器研发,国家市场监督管理总局,samr.gov.cn,2024-09-26,,,,,,,,,
制药设备,压力控制 ±0.05 MPa,用于制药过程中的压力监控,瑞士罗氏，压力控制精度达到±0.01 MPa,德国拜耳，压力控制精度达到±0.05 MPa,中国制药工业，压力控制精度达到±0.1 MPa,国内多家企业，压力控制精度达到±0.15 MPa,生物制药设备研发,国家药监局,nmpa.gov.cn,2024-09-26,,,,,,,,,
工业机器人,定位精度 ±0.001 mm,用于精密装配和高效生产线,瑞士ABB，定位精度可达±0.0005 mm,美国发那科，定位精度约±0.001 mm,中国埃夫特，定位精度约±0.002 mm,国内多家企业，定位精度约±0.003 mm,新一代智能机器人研发,中国科学院自动化研究所,academy.cn,2024-09-26,,,,,,,,,
仪器仪表,温度分辨率 0.1°C,用于环境监控及气候研究,荷兰Philips，温度分辨率可达0.05°C,美国Fluke，温度分辨率约0.1°C,中国华仪，温度分辨率约0.2°C,国内多家企业，温度分辨率约0.3°C,新型环境监测仪器开发,国家气象局,cma.gov.cn,2024-09-26,,,,,,,,,
导航设备,定位精度 ±5 cm,用于高精度自动驾驶及导航系统,美国高通，定位精度可达±1 cm,德国博世，定位精度约±5 cm,中国四维图新，定位精度约±7 cm,国内多家企业，定位精度约±10 cm,下一代Lidar导航系统研发,中国科学院地球物理研究所,igps.gs.cn,2024-09-26,,,,,,,,,
涂层设备,涂层厚度 ±0.001 mm,用于高性能材料的涂层生产,瑞士阿尔法，涂层厚度可达±0.0005 mm,德国古索，涂层厚度约±0.001 mm,中国西南铝，涂层厚度约±0.002 mm,国内多家企业，涂层厚度约±0.003 mm,超薄涂层技术研发,中国材料研究所,cimr.ac.cn,2024-09-26,,,,,,,,,
电子测量设备,频率范围 1 Hz - 1 GHz,用于高频信号分析,美国Tektronix，频率范围扩展到10 GHz,日本Rigol，频率范围约1 Hz - 1 GHz,中国先进科技，频率范围约1 Hz - 1.5 GHz,国内多家企业，频率范围约1 Hz - 2 GHz,新一代多频段测量设备研发,中国电工技术学会,csee.org.cn,2024-09-26,,,,,,,,,
材料分析仪器,化学分辨率 ±0.0001 g/L,用于环境和食品检测,美国沃特世，化学分辨率达到±0.00005 g/L,德国安捷伦，化学分辨率约±0.0001 g/L,中国科学院，化学分辨率约±0.0002 g/L,国内多家企业，化学分辨率约±0.0003 g/L,新型分子分析技术研发,中国环境科学研究院,caep.org.cn,2024-09-26,,,,,,,,,
激光设备,波长范围 300 nm - 1100 nm,用于精密激光加工,美国Coherent，波长范围扩展到1500 nm,德国Rohm，波长范围约300 nm - 1100 nm,中国上海光机所，波长范围约300 nm - 1150 nm,国内多家企业，波长范围约350 nm - 1200 nm,新型红外激光技术开发,中国科学院光电技术研究所,optics.cas.cn,2024-09-26,,,,,,,,,
生物测量仪器,生物信号检测精度 ±0.01 mV,用于医学诊断及健康监测,瑞士Mindray，生物信号检测精度可达±0.001 mV,美国Physio，生物信号检测精度约±0.01 mV,中国达安基因，生物信号检测精度约±0.02 mV,国内多家企业，生物信号检测精度约±0.03 mV,智能健康监测设备研发,国家卫健委,nhc.gov.cn,2024-09-26,,,,,,,,,
耐压测试设备,最大耐压 5000 V,用于电气安全检验,美国泰克，最大耐压可达6000 V,德国西门子，最大耐压约5000 V,中国电气，最大耐压约5500 V,国内多家企业，最大耐压约5800 V,新型耐高压测试系统研发,国家电网公司,sgcc.com.cn,2024-09-26,,,,,,,,,
