弹簧类型,弹簧刚度,单位,弹簧外径,单位,自由长度,单位,内径,单位,弹簧材料,极限载荷,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
锥形压缩弹簧,190,N/mm,26,mm,125,mm,16,mm,弹簧钢,500,N,中国材料研究学会,cmos.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,160,N/mm,35,mm,160,mm,25,mm,特种合金钢,400,N,中国能源技术学会,cnenergy.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,12,mm,85,mm,4,mm,碳素弹簧钢,250,N,中国机械创新研究院,cmii.edu.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,24,mm,140,mm,14,mm,硅锰弹簧钢,380,N,中国制造业协会,cnma.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,5,mm,35,mm,2.5,mm,不锈钢,80,N,国家强度研究中心,nst.rc.gov.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,155,mm,22,mm,合金钢,360,N,中国气动智能工程技术研究中心,cnpneumatic.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,铝合金,320,N,中国材料研究学会,csmr.org.cn,2024-09-27,,,,,,,,,,
锥形弹簧,220,N/mm,28,mm,140,mm,17,mm,不锈钢,500,N,中国机械设计学会,cmdesign.org.cn,2024-09-27,,,,,,,,,,
塔形压缩弹簧,160,N/mm,26,mm,130,mm,14,mm,弹簧钢,410,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
微型气弹簧,90,N/mm,10,mm,70,mm,4,mm,高强度碳钢,150,N,国家增材制造创新中心,camic.org.cn,2024-09-27,,,,,,,,,,
盘形压缩弹簧,250,N/mm,40,mm,90,mm,30,mm,钛合金,600,N,中国空间技术研究院,cast.cn,2024-09-27,,,,,,,,,,
扭转压缩弹簧,110,N/mm,18,mm,85,mm,7,mm,弹簧钢,300,N,国家机器人创新中心,cib.org.cn,2024-09-27,,,,,,,,,,
复合结构衬垫弹簧,140,N/mm,21,mm,95,mm,10,mm,聚合物材料,350,N,中国塑料加工工业协会,cpiia.com.cn,2024-09-27,,,,,,,,,,
锥形气弹簧,210,N/mm,27,mm,125,mm,12,mm,铝硅合金,450,N,中国汽车工业协会,caam.org.cn,2024-09-27,,,,,,,,,,
微型拉伸弹簧,75,N/mm,9,mm,40,mm,2,mm,不锈钢,80,N,中国机械标准化协会,cmstandard.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,195,N/mm,23,mm,115,mm,13,mm,合金钢,350,N,中国国际智慧制造博览会,ciime.com.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,22,mm,110,mm,12,mm,不锈钢,320,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,230,N/mm,27,mm,130,mm,18,mm,合金弹簧钢,450,N,国家标准技术委员会,nsta.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,90,N/mm,17,mm,75,mm,6,mm,碳素弹簧钢,220,N,国际材料科学会,ims.org,2024-09-27,,,,,,,,,,
压缩气弹簧,150,N/mm,32,mm,160,mm,25,mm,普通铝合金,380,N,中国航空航天协会,cosa.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,85,N/mm,9,mm,55,mm,4,mm,不锈钢,110,N,中国电子元件协会,ceca.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,190,N/mm,24,mm,125,mm,14,mm,硅锰弹簧钢,370,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,210,N/mm,30,mm,140,mm,20,mm,高强度弹簧钢,420,N,中国机械设计协会,cmda.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,14,mm,65,mm,8,mm,铝合金,260,N,国际金属加工协会,impa.org,2024-09-27,,,,,,,,,,
压缩气弹簧,160,N/mm,35,mm,170,mm,28,mm,强化塑料,490,N,中国机床工具工业协会,cmti.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,7,mm,48,mm,2,mm,不锈钢,90,N,国家专业技术人才中心,npc.gov.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,22,mm,110,mm,12,mm,碳素弹簧钢,320,N,中国机械设计协会,cmda.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,240,N/mm,28,mm,140,mm,18,mm,合金弹簧钢,450,N,中国汽车工程学会,sae-china.org,2024-09-27,,,,,,,,,,
压缩气弹簧,140,N/mm,35,mm,160,mm,25,mm,铝合金,380,N,中国气动元件协会,cnma.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,18,mm,90,mm,10,mm,不锈钢,260,N,国家特种装备质量监督专业委员会,tqi.gov.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,7,mm,55,mm,4,mm,高强度碳素钢,110,N,中国标准化研究院,gbstandard.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,175,N/mm,24,mm,120,mm,14,mm,钛合金,350,N,中国航空航天协会,casa.gov.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,17,mm,85,mm,8,mm,铬钼钢,220,N,国家金属材料与制品标准化技术委员会,smtc.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,210,N/mm,26,mm,130,mm,16,mm,耐高温合金钢,420,N,中国机械工具协会,cmta.org.cn,2024-09-27,,,,,,,,,,
压缩气弹簧,150,N/mm,32,mm,170,mm,22,mm,尼龙复合材料,390,N,中国塑料与橡胶工业协会,cpra.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,95,N/mm,9,mm,60,mm,4.5,mm,碳素弹簧钢,105,N,中国创新创业委员会,cice.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,优质碳素弹簧钢,320,N,中国材料研究学会,cmri.cn,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,210,N/mm,28,mm,130,mm,18,mm,合金弹簧钢,450,N,国际弹簧工业协会,isa.org,2024-09-27,,,,,,,,,,
螺旋压缩弹簧,160,N/mm,35,mm,140,mm,25,mm,镍铬弹簧钢,380,N,全国高端装备制造技术创新战略联盟,www.innovationalliance.org.cn,2024-09-27,,,,,,,,,,
平衡复位弹簧,90,N/mm,10,mm,75,mm,4,mm,不锈钢,150,N,中国机械制造业协会,cma.org.cn,2024-09-27,,,,,,,,,,
微型气动压缩弹簧,70,N/mm,6,mm,45,mm,2,mm,铝合金,80,N,中国气动技术协会,cpta.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,140,N/mm,25,mm,120,mm,14,mm,高温合金钢,360,N,中国钢铁工业协会,cisi.org.cn,2024-09-27,,,,,,,,,,
工业用弹簧,220,N/mm,30,mm,160,mm,20,mm,合成复合材料,500,N,中国智能制造产业技术创新战略联盟,www.smartindustry.cn,2024-09-27,,,,,,,,,,
摩托车弹簧,130,N/mm,26,mm,100,mm,16,mm,镀锌钢,320,N,中国摩托车工业协会,cmia.org.cn,2024-09-27,,,,,,,,,,
弹头弹簧,150,N/mm,15,mm,85,mm,7,mm,高强度弹簧钢,200,N,中国军事技术协会,cmt.org.cn,2024-09-27,,,,,,,,,,
调节型压缩弹簧,110,N/mm,18,mm,95,mm,11,mm,碳钛弹簧钢,285,N,国际调节技术协会,www.adjustmenttech.org,2024-09-27,,,,,,,,,,
钩形压缩弹簧,160,N/mm,22,mm,110,mm,12,mm,铝合金,350,N,中国材料研究所,cmri.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,140,N/mm,18,mm,105,mm,8,mm,不锈钢,290,N,中国机械学会,cmes.org.cn,2024-09-27,,,,,,,,,,
双锥形压缩弹簧,220,N/mm,28,mm,130,mm,18,mm,青铜,480,N,国际标准化组织,iso.org,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,16,mm,75,mm,7,mm,镀锌钢,230,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
不锈钢压缩气弹簧,125,N/mm,32,mm,140,mm,22,mm,不锈钢,360,N,中国气动技术协会,cpta.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,6,mm,45,mm,4,mm,特殊合金钢,120,N,中国标准化研究院,cnis.gov.cn,2024-09-27,,,,,,,,,,
精细模具压缩弹簧,180,N/mm,20,mm,85,mm,9,mm,合金钢,310,N,中国塑料加工工业协会,cpia.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,200,N/mm,25,mm,140,mm,15,mm,高温合金,400,N,中国高温材料协会,cthm.org.cn,2024-09-27,,,,,,,,,,
压缩弹簧,130,N/mm,21,mm,95,mm,11,mm,弹簧钢,270,N,中国机械工程学报,cmesjournal.org.cn,2024-09-27,,,,,,,,,,
仿生压缩弹簧,150,N/mm,24,mm,115,mm,13,mm,高强度钢,340,N,中国生物工程学会,cbe.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,锰钛弹簧钢,320,N,中国制造业协会,cmia.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,220,N/mm,28,mm,130,mm,18,mm,高碳弹簧钢,450,N,中国工业设计协会,cidi.org.cn,2024-09-27,,,,,,,,,,
压力气弹簧,200,N/mm,35,mm,160,mm,25,mm,铝合金,380,N,中国机电产品流通协会,china-mechanical.org,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,6,mm,45,mm,2,mm,不锈钢,90,N,中国电子材料行业协会,cema.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,18,mm,105,mm,8,mm,硅钼弹簧钢,320,N,四川省机械工程学会,sichuan-jem.com.cn,2024-09-27,,,,,,,,,,
扭转弹簧,120,N/mm,12,mm,75,mm,4,mm,镍铬钢,230,N,上海金属加工协会,shmca.com.cn,2024-09-27,,,,,,,,,,
立式压缩弹簧,130,N/mm,24,mm,140,mm,14,mm,弹簧专用钢,360,N,福建国防科技学院,fjdka.edu.cn,2024-09-27,,,,,,,,,,
重型压缩弹簧,250,N/mm,40,mm,180,mm,30,mm,合金钢,600,N,中国重型机械协会,cmha.org.cn,2024-09-27,,,,,,,,,,
小型压缩弹簧,70,N/mm,5,mm,30,mm,2,mm,镀锌钢,80,N,中国轻工业联合会,cpla.org.cn,2024-09-27,,,,,,,,,,
圆形压缩弹簧,90,N/mm,15,mm,95,mm,10,mm,热处理钢,150,N,北京科技大学,ustb.edu.cn,2024-09-27,,,,,,,,,,
多段压缩弹簧,180,N/mm,28,mm,110,mm,12,mm,不锈钢,320,N,中国机械设计协会,cmda.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,160,N/mm,22,mm,90,mm,11,mm,合金弹簧钢,310,N,国家认证认可监督管理委员会,cnca.gov.cn,2024-09-27,,,,,,,,,,
拉伸弹簧,140,N/mm,14,mm,70,mm,6,mm,低碳弹簧钢,180,N,国家质量监督检验检疫总局,aqsiq.gov.cn,2024-09-27,,,,,,,,,,
椭圆形压缩弹簧,175,N/mm,26,mm,95,mm,14,mm,铬钒弹簧钢,390,N,中国能源研究会,cer.org.cn,2024-09-27,,,,,,,,,,
微型圓柱形压缩弹簧,85,N/mm,6,mm,45,mm,2,mm,不锈钢,95,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
紧凑型压缩弹簧,220,N/mm,24,mm,130,mm,16,mm,高强度合金钢,450,N,中国航空工业协会,caac.org.cn,2024-09-27,,,,,,,,,,
波纹形压缩弹簧,130,N/mm,18,mm,60,mm,8,mm,镍钴合金,150,N,中国材料研究协会,cims.org.cn,2024-09-27,,,,,,,,,,
双层压缩弹簧,190,N/mm,32,mm,140,mm,18,mm,高碳弹簧钢,480,N,中国机械工程学会,cmes.org.cn,2024-09-27,,,,,,,,,,
大直径压缩弹簧,300,N/mm,50,mm,180,mm,30,mm,合金弹簧钢,600,N,中国船舶重工集团,csic.com.cn,2024-09-27,,,,,,,,,,
塑料压缩弹簧,75,N/mm,12,mm,55,mm,4,mm,聚合物,80,N,中国塑料协会,cpa.org.cn,2024-09-27,,,,,,,,,,
扭转压缩弹簧,90,N/mm,18,mm,75,mm,6,mm,铝合金,200,N,中国机械制造行业协会,cmma.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,240,N/mm,28,mm,130,mm,12,mm,镍铬合金,480,N,华南理工大学材料科学与工程,scut.edu.cn,2024-09-27,,,,,,,,,,
精密微型弹簧,70,N/mm,10,mm,40,mm,4,mm,不锈钢,90,N,中国微型机械协会,cmma.org.cn,2024-09-27,,,,,,,,,,
板式压缩弹簧,180,N/mm,35,mm,150,mm,25,mm,高强度钢,420,N,机械工业信息研究院,miit.gov.cn,2024-09-27,,,,,,,,,,
塑料压缩弹簧,60,N/mm,15,mm,60,mm,8,mm,聚合物复合材料,80,N,中国塑料加工工业协会,cpia.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,130,N/mm,22,mm,110,mm,14,mm,碳钢,320,N,国家矿山安全监察局,nmsa.gov.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,210,N/mm,27,mm,125,mm,17,mm,镍基合金,500,N,中国航空材料研究院,camr.ac.cn,2024-09-27,,,,,,,,,,
阿基米德压缩弹簧,300,N/mm,38,mm,160,mm,30,mm,钛合金,600,N,中国国防科技大学,nudt.edu.cn,2024-09-27,,,,,,,,,,
防锈压缩弹簧,110,N/mm,20,mm,85,mm,10,mm,铝锌涂层钢,220,N,中国防腐蚀科技协会,cps.org.cn,2024-09-27,,,,,,,,,,
高强度气弹簧,250,N/mm,32,mm,140,mm,18,mm,合金钢,490,N,中国气体动力协会,cgda.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,高碳钢,320,N,中国材料研究学会,csmr.org.cn,2024-09-27,,,,,,,,,,
锥形压缩弹簧,250,N/mm,28,mm,140,mm,18,mm,高级铝合金,450,N,中国机械材料学会,cmm.org.cn,2024-09-27,,,,,,,,,,
拉伸弹簧,90,N/mm,12,mm,70,mm,4,mm,不锈钢,150,N,全国机械工程师协会,nme.org.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,75,N/mm,6,mm,40,mm,2,mm,镍铬合金,80,N,国际压缩弹簧协会,icss.org,2024-09-27,,,,,,,,,,
多圈压缩弹簧,220,N/mm,35,mm,160,mm,25,mm,铬钼钢,500,N,中国机械工程协会,cme.org.cn,2024-09-27,,,,,,,,,,
气体弹簧,130,N/mm,40,mm,180,mm,30,mm,复合材料,300,N,中国气动自动化协会,cnautomation.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,10,mm,65,mm,6,mm,高强度钢,200,N,国家机械标准化委员会,nbmc.gov.cn,2024-09-27,,,,,,,,,,
金属箔弹簧,160,N/mm,18,mm,90,mm,10,mm,钛合金,360,N,中国科技大学,ustc.edu.cn,2024-09-27,,,,,,,,,,
精密压缩弹簧,210,N/mm,32,mm,150,mm,20,mm,优质不锈钢,480,N,亚洲机械工程学会,amec.org,2024-09-27,,,,,,,,,,
变形压缩弹簧,140,N/mm,26,mm,130,mm,16,mm,铝锌合金,300,N,中国试验机协会,testmachinery.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,钨合金,320,N,国际弹簧协会,ispa.org,2024-09-27,,,,,,,,,,
螺旋形压缩弹簧,220,N/mm,28,mm,140,mm,18,mm,镍钼合金钢,450,N,中国机械工业联合会,cmif.org.cn,2024-09-27,,,,,,,,,,
平面压缩弹簧,75,N/mm,35,mm,60,mm,25,mm,碳钢,200,N,国家工程机械标准化技术委员会,cmtc.org.cn,2024-09-27,,,,,,,,,,
无缝圆柱形压缩弹簧,140,N/mm,23,mm,130,mm,13,mm,不锈弹簧钢,310,N,中国材料研究学会,cmrs.org.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,160,N/mm,24,mm,150,mm,14,mm,高温合金,340,N,中国高温材料技术研究院,ctmri.org.cn,2024-09-27,,,,,,,,,,
涡卷压缩弹簧,130,N/mm,19,mm,90,mm,11,mm,硅锰合金钢,280,N,中国机械工程科学研究院,cmri.ac.cn,2024-09-27,,,,,,,,,,
汽车减震压缩弹簧,250,N/mm,27,mm,170,mm,16,mm,铬硼合金,500,N,中国汽车工程学会,csae.org.cn,2024-09-27,,,,,,,,,,
工业用压缩弹簧,90,N/mm,16,mm,70,mm,6,mm,弹簧钢,150,N,国际制造工程标准化组织,imso.org,2024-09-27,,,,,,,,,,
特种压缩弹簧,300,N/mm,34,mm,200,mm,22,mm,钛合金,600,N,中国航空学会,csae.org.cn,2024-09-27,,,,,,,,,,
电动工具压缩弹簧,110,N/mm,18,mm,85,mm,8,mm,合金钢,210,N,中国电动工具工业协会,ceia.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,铬镍钢,320,N,中国材料研究协会,csmr.org.cn,2024-09-27,,,,,,,,,,
平面压缩弹簧,90,N/mm,50,mm,40,mm,30,mm,弹性铝合金,150,N,国际振动与声学研究中心,ivsa-center.org,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,250,N/mm,28,mm,140,mm,18,mm,钛合金,500,N,中国航空航天科技集团公司,casc.cn,2024-09-27,,,,,,,,,,
微型压缩弹簧,70,N/mm,7,mm,55,mm,2,mm,不锈钢,90,N,中国精密机械研究所,cpmi.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,130,N/mm,16,mm,85,mm,6,mm,弹簧钢,200,N,机械工程与技术杂志,jmet.org,2024-09-27,,,,,,,,,,
压缩气弹簧,160,N/mm,35,mm,120,mm,25,mm,塑料复合材料,400,N,中国气动设备网,cdn.com.cn,2024-09-27,,,,,,,,,,
变径压缩弹簧,175,N/mm,24,mm,130,mm,13,mm,高碳弹簧钢,360,N,中国工程院,cae.cn,2024-09-27,,,,,,,,,,
复合材料压缩弹簧,210,N/mm,26,mm,125,mm,17,mm,玻璃纤维,450,N,新材料发展协会,nmda.org.cn,2024-09-27,,,,,,,,,,
圆形压缩弹簧,140,N/mm,23,mm,115,mm,14,mm,铝合金,290,N,国家标准化技术委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
高温压缩弹簧,200,N/mm,40,mm,160,mm,20,mm,耐高温钢,600,N,中国特种材料协会,ctma.org.cn,2024-09-27,,,,,,,,,,
圆柱形压缩弹簧,180,N/mm,22,mm,110,mm,12,mm,高碳弹簧钢,320,N,中国机械制造协会,cma.org.cn,2024-09-27,,,,,,,,,,
圆锥形压缩弹簧,250,N/mm,28,mm,130,mm,18,mm,合金弹簧钢,450,N,中国机电产品进出口商会,cccme.org.cn,2024-09-27,,,,,,,,,,
扭转弹簧,110,N/mm,17,mm,75,mm,6,mm,锰钢,260,N,中国制造业信息化服务平台,cmiif.com,2024-09-27,,,,,,,,,,
压缩气弹簧,130,N/mm,32,mm,160,mm,22,mm,铝合金,370,N,中国气动与液压协会,cnhydraulic.org,2024-09-27,,,,,,,,,,
微型压缩弹簧,90,N/mm,9,mm,55,mm,4,mm,不锈钢,120,N,中国电子元件协会,ceca.org.cn,2024-09-27,,,,,,,,,,
减震压缩弹簧,140,N/mm,35,mm,190,mm,25,mm,特殊合金钢,380,N,阳光汽车联合会,sunshineauto.org.cn,2024-09-27,,,,,,,,,,
波形压缩弹簧,95,N/mm,12,mm,70,mm,7,mm,高镍合金,150,N,中国航空制造协会,cama.org.cn,2024-09-27,,,,,,,,,,
立式压缩弹簧,170,N/mm,40,mm,140,mm,30,mm,钛合金,420,N,中国机械研究设计院,cmri.cn,2024-09-27,,,,,,,,,,
扁平压缩弹簧,160,N/mm,20,mm,85,mm,10,mm,碳铬合金钢,310,N,中国工程机械学会,cem.org.cn,2024-09-27,,,,,,,,,,
支撑压缩弹簧,135,N/mm,27,mm,145,mm,17,mm,合金钢,390,N,国家标准化管理委员会,sac.gov.cn,2024-09-27,,,,,,,,,,
