海洋科技资源（字符型）,海洋企业资源（字符型）,海洋园区的空间图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
海洋污染治理技术,深圳海洋污染治理科技公司,深圳海洋治理技术园,深圳市生态环境局,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋观测与预警系统,武汉海洋技术研究院,湖北省海洋预警技术园,武汉市政府,http://www.wh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源勘探,广州海洋技术研发中心,广东省海洋开发创新园,广州科技局,https://www.gz.gov.cn/zwgk/zwgk/kjpt/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,海南蓝能科技有限公司,海南省海洋可再生能源研究中心,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,深圳海洋环境科学研究院,深圳海洋科技园,深圳市生态环境局,https://www.sz.gov.cn/jgsz/kjgl/,2024-10-15,,,,,,,,,,,,,,
海洋污染治理,天津海洋清洁技术有限公司,天津海洋科技创新园,天津市环境保护局,http://www.tjepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产开发,大连深海资源开发公司,大连海洋科技产业园,大连市信息中心,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,厦门海洋生物工程技术研究中心,厦门海洋高科技创新园,厦门市科技局,http://www.xm.gov.cn/xxgk/kj/,2024-10-15,,,,,,,,,,,,,,
海洋监测与预测,上海海洋信息技术公司,上海张江高科技园区海洋产业中心,上海市气象局,http://www.semc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋旅游与生态保护,珠海滨海生态旅游公司,珠海海洋生态旅游开发区,珠海市文化和旅游局,http://www.zh.gov.cn/culture/,2024-10-15,,,,,,,,,,,,,,
深海科学研究,青岛海洋科学与技术国家实验室,青岛海洋研究院园区,青岛市科技局,https://www.qd.gov.cn/qdkj/,2024-10-15,,,,,,,,,,,,,,
深海机器人技术,上海深海机器人研究所,上海科技创新中心,上海科技委员会,http://www.stcsm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋设备制造,大连海洋装备公司,大连海洋科技园区,大连市政府,http://www.dalian.gov.cn/gov/news,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,东营海洋能源开发有限公司,黄河口海洋生态产业园,山东省海洋局,http://sqj.shandong.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态修复,广州海洋生态技术有限公司,广州南沙海洋科技园,广州市科技和信息化局,http://www.gz.gov.cn/zwgk/sj/index.html,2024-10-15,,,,,,,,,,,,,,
深海勘探技术,南海深蓝科技公司,海南深海科学园,海南省科技厅,http://sck.hainan.gov.cn/html/56944/1/1.html,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,浙江海洋生物科技研究所,宁波海洋生物产业园,浙江省海洋经济发展中心,http://www.zjmof.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋气象监测系统,厦门海洋气象科技有限公司,厦门海洋科技创新园,厦门市气象局,http://www.xmmb.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋数据应用平台,福州海洋信息公司,福州海洋科技园,福建省科技厅,http://www.mof.gov.cn/zfxxgk/xjbz/,2024-10-15,,,,,,,,,,,,,,
海洋法律与政策,上海海洋法律研究所,上海海洋科技产业园,上海市法治办,http://www.shfzb.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能制造,苏州智能海洋科技有限公司,苏州海洋高新技术产业园,江苏省海洋经济发展中心,http://www.js.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋机器人技术,深圳蓝海智能科技有限公司,深圳南山区海洋智能园,深圳市科技创新委员会,http://www.sz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,北海风能公司,北海海洋实验区,国家能源局,http://www.nea.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深水油气开发技术,天津深海石油开发公司,天津港湾产业园区,中国石油天然气集团公司,http://www.cnpc.com.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,海南生态海洋技术研究中心,海南临近海洋生态修复示范区,海南省科技厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋运输与物流,深圳港务集团,深圳港深海物流园,深圳市交通运输委员会,http://jty.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,长江水利委员会,长江口海洋环境监测站,中国环境监测总站,http://www.cnemc.cn/,2024-10-15,,,,,,,,,,,,,,
海洋高新材料,浙江省海洋新材料研究院,宁波海洋新材料产业园,浙江省政府,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据与智能技术,广州云海科技股份有限公司,广州市海洋科技创新园,广州市科技局,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海捕捞技术,大连深海渔业有限公司,大连海洋产业示范基地,大连市农业农村局,http://www.dl.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋防灾减灾技术,福建海洋防灾研究中心,福州海洋研究与应用园区,福建省应急管理厅,http://www.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋航运与装备,上海海运工程有限公司,上海船舶重工产业园,中国航运协会,http://www.chineseshipping.com/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源技术,广东海洋新能源研究所,粤港澳大湾区海洋能源基地,广东省科技厅,http://gdstc.gd.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态保护系统,浙江省海洋生态修复技术有限公司,温州市海洋生态未来城,浙江省生态环境厅,http://www.zjepb.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,海南深海开采技术有限公司,海南深海开发区,海南省发展和改革委员会,http://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋文化与旅游业,三亚海洋文化旅游集团,三亚海洋文化旅游产业园,三亚市政府,http://www.sanya.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能化技术,上海智能海洋科技公司,上海海洋智能产业园,上海市信息化委员会,http://www.shanghai.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海生物研究,辽宁深海生物研究中心,大连海洋研究发展园区,辽宁省华海科技局,http://www.ln.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋无人机技术,南京海洋无人机制造有限公司,江苏省海洋无人机产业基地,江苏省经济和信息化委员会,http://www.jiangsu.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋数据分析与处理技术,合肥海洋数据科技有限公司,安徽省海洋科技创新园,安徽省科技厅,http://www.ah.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海探测器开发,青岛海洋探测器研发中心,青岛海洋科技园,青岛市政府,http://www.qd.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋区块链技术应用,厦门海洋区块链研究所,福建省海洋数字经济园,福建省数字经济发展局,http://www.fujian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物多样性保护,长江口生物科技公司,上海海洋大学科技园区,上海海洋大学,http://www.shou.edu.cn/,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,南方深海工程有限公司,海南深海技术产业基地,海南省政府,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,中国海洋石油总公司,粤港澳大湾区海洋科技园,国家能源局,http://www.nea.gov.cn/,2024-10-15,,,,,,,,,,,,,,
水下机器人研发,深圳水下科技有限公司,深圳前海海洋产业园,深圳市科技创新委员会,https://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋灾害预警系统,天津海洋信息技术公司,天津海洋科技园,天津市科技局,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
可持续海洋农业,福建海洋生态农业公司,福州海洋创新园,福建省农业厅,http://www.fjny.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋监测与评估,辽宁海洋环境监测中心,大连海洋科技园区,辽宁省环保厅,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海水淡化技术,第三代海水淡化公司,珠海海洋新技术开发区,珠海市科技局,http://www.zh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,中国气象局海洋气象中心,宁波海洋科技创新园,中国气象局,http://www.cma.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋交通运输优化,上海国际航运中心,上海洋山深水港区,上海市交通委员会,http://jtw.sh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,辽宁海洋新能源企业,大连海洋经济开发区,辽宁省政府,https://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环保科技,海南绿色海洋科技公司,海口国际海洋创新园,海南省生态环境厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,青岛深海技术研究所,青岛海洋科学与技术试点示范区,山东省科技厅,http://www.sdtx.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据监测系统,福建省海洋气象服务有限公司,福州海洋科技园,福建省海洋与渔业部门,https://www.fm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋健康产业链,广东海洋生物科技公司,广州蓝色生物医药园区,广东省政府,https://www.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,中国深海矿业发展公司,厦门海洋资源开发示范区,国家海洋局,http://www.soa.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智能海洋装备,上海智慧海洋科技有限公司,上海智能海洋科技园,上海市经济和信息化委员会,https://www.shanghai.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物多样性研究,浙江海洋研究中心,温州海洋生物产业园,浙江省科技厅,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋旅游与文化,厦门海洋旅游开发公司,厦门国际海洋文化园,厦门市旅游局,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海生态保护技术,河北深海生态技术有限公司,唐山海洋生态示范区,河北省环境保护部门,http://www.heb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源开发,日喀则海洋技术研发中心,西藏深海技术创新园,中国科学技术协会,http://www.cast.org.cn/,2024-10-15,,,,,,,,,,,,,,
海洋新材料研究,青岛海洋新材料产业链,青岛海洋科技园,青岛市政府,https://www.qd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,海南省海洋监测技术公司,海南海洋科技园,海南省生态环境厅,http://dhr.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,舟山智能海洋装备研发公司,浙江舟山海洋科技园,浙江省经济和信息化厅,http://jxj.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,天津深海探测器制造企业,海洋深海探测创新园,天津市科技局,http://www.tjkj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,厦门海洋生物科技有限公司,厦门海洋产业园,福建省科技厅,http://kjt.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据平台,深圳海洋大数据应用公司,深圳南山海洋数据中心,深圳市政府,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋工程设计,广东海洋工程设计公司,广州海洋工程产业基地,广东省住房和城乡建设厅,http://zjw.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋清洁能源开发,福建海洋清洁能源研发公司,福建海洋清洁科技园,福建省能源局,http://nyj.fujian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋文化产业,大连海洋文化研究中心,大连海洋文化产业园,大连市文化和旅游局,http://whlyj.dl.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,大连海洋科学研究所,辽宁大连海洋科技园,大连市政府,http://www.dalian.gov.cn/zwgk/ztzl/hykx/index.jhtml,2024-10-15,,,,,,,,,,,,,,
海洋生物技术创新,南方海洋研究中心,广州南沙海洋科技园,广州市科技局,http://www.gz.gov.cn/hjgs/qt/qtgs/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源项目,海洋能源开发有限公司,青岛海洋新能源产业园,山东省能源局,http://sden.gov.cn/ztzl/jnhy/index.html,2024-10-15,,,,,,,,,,,,,,
海洋工程装备制造,长江船舶重工集团,武汉海洋工程技术园,武汉市政府,http://www.wuhan.gov.cn/gov/zhengce/gh/2018/04/12/721.html,2024-10-15,,,,,,,,,,,,,,
海洋信息技术应用,深圳海洋科技公司,深圳海洋创意设计园,深圳市经济特区,http://www.sz.gov.cn/xxgk/zdly/syfj/index.html,2024-10-15,,,,,,,,,,,,,,
海洋卫星遥感技术,哈尔滨工程大学海洋技术研究所,黑龙江哈尔滨海洋科研园,黑龙江省科技厅,http://www.hlj.gov.cn/zwgk/ztzl/sjsb/,2024-10-15,,,,,,,,,,,,,,
海洋药物研发,厦门海洋药品有限公司,福建厦门蓝色生物园区,厦门市药监局,http://www.xm.gov.cn/zwgk/zcfg/2022/10/21/12345.html,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,海南生物科技公司,海南海洋生态园,海南省海洋与渔业厅,http://www.hainan.gov.cn/zybfd/sgthlq/index.html,2024-10-15,,,,,,,,,,,,,,
海洋运输与物流科技,上海港国际物流公司,上海港口物流园,上海市交通委员会,http://jtw.sh.gov.cn/ghyp/2023/10/01/123.html,2024-10-15,,,,,,,,,,,,,,
海洋智能设备开发,北京海洋科技发展有限公司,北京海洋高新技术园,北京市科学技术委员会,http://www.bjkw.gov.cn/sszt/index.shtml,2024-10-15,,,,,,,,,,,,,,
海洋能开发,浙江海洋能源技术有限公司,宁波海洋经济产业园区,浙江省发改委,http://fgw.zj.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海探测技术,大连深海科技研究院,大连高新技术产业开发区,国家科技部,http://www.most.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋环境监测,山东海洋科技有限公司,青岛蓝色经济区,山东省环境保护厅,http://www.sdehp.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,厦门海洋生物研究所,厦门海洋科技园,福建省科技厅,http://www.fjkjt.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海石油开采,中国海洋石油总公司,广州海洋产业基地,中国海洋石油总公司,http://www.cnooc.com.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,南海科技大学研发中心,海南中部海洋科技园,海南省科技厅,http://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海底数据传输技术,武汉水下通信技术公司,武汉光谷科技园,湖北省经济和信息化厅,http://jxt.hubei.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋产品深加工,涪陵海洋食品有限公司,重庆海洋科技园,重庆市工商行政管理局,http://www.cqgs.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,南京气象海洋研究所,江苏省气象科技园,江苏省气象局,http://jssjt.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋无人机应用,北京海洋无人机技术有限公司,北京海洋技术产业园,北京市科技委员会,http://stjc.beijing.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,中国海洋矿产资源开发有限公司,青岛深海科技园,国家海洋局,http://www.soa.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,南方科技大学海洋研究所,深圳湾科技生态园,深圳市政府,http://www.sz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,大连海洋大学,大连生态科技创新园,大连市政府,http://www.dalian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋装备制造业,杭州海洋装备科技公司,宁波海洋高新技术产业园,浙江省政府,http://www.zhejiang.gov.cn,2024-10-15,,,,,,,,,,,,,,
可再生海洋能源开发,长江电力股份有限公司,舟山海洋可再生能源研究院,中国电力新闻网,http://www.cpnn.com.cn,2024-10-15,,,,,,,,,,,,,,
海洋食品安全技术,渔业巨头科技公司,海口国际水产业园,海南省政府,http://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋信息技术,厦门首创网络科技公司,厦门海洋数字经济园,厦门市科技局,http://www.xm.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海探测技术,中国科学院深海科学与工程研究所,上海深海科技开发区,中国科学院,http://www.cas.cn,2024-10-15,,,,,,,,,,,,,,
海洋数据采集与分析,海洋数据科技有限公司,武汉海洋数据产业园,武汉市政府,http://www.wuhan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋气候监测技术,气象科技研究院,广州海洋气象科技园,广东气象局,http://www.gdmb.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,南海深海采矿有限公司,海南海洋科技产业园,国家自然科学基金,https://www.nsfc.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,西安海洋科技有限公司,西安海洋科技产业园,海洋环境保护部,http://www.mee.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,山东海洋风能开发公司,青岛海洋可再生能源示范区,中国海洋能源网,http://www.ocenergy.com.cn,2024-10-15,,,,,,,,,,,,,,
智能渔业技术,大连智能渔业装备制造有限公司,大连海洋智能产业园,大连市政府,https://www.dalian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物科技,杭州海洋生物研究所,浙江海洋生物科技产业园,浙江省科技厅,http://www.zj.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋物流与贸易,广州海洋物流公司,广州南沙海洋经济发展区,广州市商务局,http://www.gz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋空间信息技术,成都海洋信息科技有限公司,四川海洋科技创新园,四川省科技厅,http://www.sc.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋食品安全技术,厦门海洋食品科技有限公司,福建海洋食品产业园,厦门市食品安全局,http://www.xiamen.gov.cn,2024-10-15,,,,,,,,,,,,,,
深潜技术开发,上海深海技术有限公司,上海深海科技示范园区,中国科学院海洋研究所,http://www.ocean.cas.cn,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,天津海洋生态修复企业,天津蓝色经济区,天津市生态环境局,http://www.tianjin.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物技术创新,海南省深海养殖企业,海南琼海深海养殖科技园,海南省农业农村厅,http://nny.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测技术,广州海洋环保公司,南沙海洋科技园,广州市环保局,http://www.gzepb.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,福建海洋风电开发有限公司,福州海洋能源产业园,福建省能源局,http://www.fjdqy.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋无人装备技术,深圳无人潜航器技术企业,深圳高新技术产业园,深圳市科技创新委员会,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
蓝色碳汇技术研究,大连海洋碳汇研究所,大连蓝色经济创新园,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋安全技术服务,厦门海洋安全防护公司,厦门海洋经济园区,厦门市政府,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋学研究及合作,青岛海洋科学与技术大学,青岛蓝色硅谷科学园,青岛市教育局,http://www.qd.edu.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测与研究技术,上海深海研究院,上海国际深海科技园,上海市科技委员会,http://www.sti.sh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据分析与应用,湾区海洋科技咨询公司,珠海创新发展园,珠海市科技局,http://www.zh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,山东海洋环境保护局,烟台海洋生态保护园,山东省环保厅,http://www.shandong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数字经济,海口数字海洋科技公司,海南省海洋数字产业园,海南省发展和改革委员会,http://drc.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源,北海浮动风电项目,广西海洋可再生能源实验基地,广西自治区能源局,http://www.gxny.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海矿产开发,深海资源勘探有限公司,中海深水矿产开发区,中国地质调查局,http://www.cgs.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,山东海洋生物医药公司,青岛海洋生物科技园,山东省科学技术厅,http://kjt.shandong.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋信息技术,沿海智能海洋监测公司,厦门智慧海洋产业园,福建省海洋与渔业局,http://www.fjhy.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋工程设计服务,兰州海洋工程设计院,甘肃省海洋工程服务中心,甘肃省交通运输厅,http://jt.gansu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
生态海洋监测,珠海生态海洋监测中心,广东省海洋生态保护区,广东省生态环境厅,http://sthjt.gd.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋污染治理,大连海洋环境工程公司,辽东半岛海洋污染管理区,大连市政府,http://www.dalian.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋商业航运,长江航运集团,上海国际航运中心,中国航运协会,http://www.chinashipping.gov.cn/,2024-10-15,,,,,,,,,,,,,,
人类深海探索,国防科技大学深海研究所,南海深度研究基地,科技日报,http://www.stdaily.com/,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,广东省机器人技术公司,南沙海洋创新园,南方日报,https://www.southcn.com/,2024-10-15,,,,,,,,,,,,,,
海洋生态保护技术,海南蓝色生态公司,海南自由贸易港,海南日报,http://www.hi.chinanews.com/,2024-10-15,,,,,,,,,,,,,,
海洋能源开发,北京海洋能源开发有限公司,北京海洋科技园,中国能源报,http://www.cnenergy.org/,2024-10-15,,,,,,,,,,,,,,
海洋航运支持服务,上海海运电子商务公司,浦东国际航运服务区,中国航运网,http://www.chinamainland.com/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,江苏深海科技公司,南京创新科技园,江苏科技报,http://www.jiangsu.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋大数据分析,浙江省海洋数据研究院,宁波智慧海洋产业园,浙江日报,http://www.zjdaily.com/,2024-10-15,,,,,,,,,,,,,,
海洋生物技术,厦门海洋生物研究中心,厦门国家海洋实验室,厦门商报,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
绿色海洋技术,沿海绿色科技发展有限公司,大连海洋高新技术园,大连新闻,http://www.dlnews.com/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测,天津海洋监测技术公司,天津滨海新区海洋科技园,天津日报,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋教育培训,海南海洋职业技术学院,海口海洋科技教育园,海口日报,http://www.haikoudaily.com/,2024-10-15,,,,,,,,,,,,,,
深海矿产开发技术,南海矿业开发有限公司,海南深海技术创新园,中国海洋大学,http://www.ouc.edu.cn,2024-10-15,,,,,,,,,,,,,,
海洋生物科技,厦门海洋生物研发机构,福建海洋生物产业园,福建省科技厅,https://www.fjkjt.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,宁波海洋保护科技有限公司,浙江海洋环境科技园,浙江省环保局,http://www.zjhb.gov.cn,2024-10-15,,,,,,,,,,,,,,
智能海洋监测系统,深圳海洋智能技术研究所,广东海洋科技创新园,深圳市科技创新局,http://www.szsti.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋 renewable energy technology,大连海洋风能技术开发公司,辽宁海洋可再生能源产业园,大连市政府,http://www.dalian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋数据分析平台,青岛蓝海数据科技,山东海洋科技创新园,青岛市科学技术局,http://www.qd.gov.cn,2024-10-15,,,,,,,,,,,,,,
水下通信技术,广州水下科技有限公司,广东水下科技园,广州市科技局,http://www.gz.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋航运智能化,上海航运科技发展公司,上海国际航运创新园,上海市航务局,http://www.sh.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋污染治理技术,福州海洋治理科技研发,福建省海洋环境治理产业园,福建省生态环境厅,http://www.fjepb.gov.cn,2024-10-15,,,,,,,,,,,,,,
深海养殖技术,舟山深海渔业公司,浙江舟山海洋养殖园区,浙江省农业农村厅,http://www.zjny.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋资源与环境监测技术,海南省海洋环境监测中心,海南自由贸易港海洋科技园区,海南省生态环境厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测与开发技术,青岛海洋探测科技有限公司,青岛深海科技产业园,中国海洋大学,http://www.ouc.edu.cn/,2024-10-15,,,,,,,,,,,,,,
绿色海洋经济发展,广东省海洋可再生能源研究所,广州海洋可再生能源产业园,广州市政府,http://www.gz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋智能化技术应用,厦门智能海洋科技公司,厦门海洋创新创业园,厦门市科技局,http://www.xm.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋数据与信息系统,上海海洋数据中心,上海奉贤海洋大数据产业园,上海市经济和信息化委员会,http://www.shanghai.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海养殖技术,福建海洋养殖科技有限公司,泰宁海洋养殖产业园,福建省农业农村厅,http://www.fj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,浙江省海洋生态研究中心,舟山群岛海洋生态修复基地,浙江省自然资源厅,http://www.zj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋气候变化研究,南方科技大学海洋研究所,深圳海洋科技园,深圳市科技创新委员会,http://www.sz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
新型海洋材料技术,天津海洋可持续材料研发中心,天津海洋新材料产业园,天津市科技局,http://www.tianjin.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋经济与金融服务,上海海洋金融服务中心,中国(上海)海洋经济示范区,上海市金融服务办公室,http://www.shjrz.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海探测技术,北海深蓝科技有限公司,青岛海洋科技园,中国海洋开发网,https://www.cocode.org,2024-10-15,,,,,,,,,,,,,,
海洋生态修复技术,海南生态修复工程公司,海南海洋产业园,海南省政府,https://www.hainan.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋智能装备,沿海智能技术股份公司,江津海洋高新技术园,重庆海洋经济办公室,https://www.cq.gov.cn,2024-10-15,,,,,,,,,,,,,,
绿色海洋能源,温州海洋新能源开发公司,温州海洋产业划分区,浙江省发改委,https://www.zj.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋法制与政策研究,中国海洋法研究会,北京海洋法律创新基地,海洋法研究中心,https://www.maritimelegal.org,2024-10-15,,,,,,,,,,,,,,
海洋生物科技,大连海洋生物技术公司,大连海洋创新产业园,东北大学生物海洋研究所,https://www.neu.edu.cn,2024-10-15,,,,,,,,,,,,,,
深海矿产资源开发,南海矿业发展有限公司,南沙群岛海洋经济区,国家海洋局,http://www.soa.gov.cn,2024-10-15,,,,,,,,,,,,,,
智能渔业技术,福州智能渔业有限公司,福建智能渔业园区,福建省海洋与渔业厅,https://jyyj.fujian.gov.cn,2024-10-15,,,,,,,,,,,,,,
海洋数据处理,上海海洋数据分析公司,上海国际海洋数据中心,上海数据科技局,https://www.sh-data.gov.cn,2024-10-15,,,,,,,,,,,,,,
海底通信技术,中国海底通信运维中心,上海互联网海洋科技园,中国信息通信研究院,https://www.cnnic.cn,2024-10-15,,,,,,,,,,,,,,
智能海洋监测技术,浙江省智能海洋技术公司,宁波海洋科技园,浙江省科技厅,http://www.zjkj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环保技术,沪东海洋环境保护有限公司,上海海洋环境科技园,上海市生态环境局,https://sthj.sh.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海采矿技术,南海深海工程有限公司,海南深海技术开发区,海南省发展和改革委员会,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋新能源技术,广东海洋风能公司,深圳海洋新能源产业园,广东省能源局,http://www.gdenergy.gov.cn/,2024-10-15,,,,,,,,,,,,,,
