海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
南海蓝色经济发展基金,90,亿元,南海诸岛开发集团出资40亿（44.44%），国际投资合作基金出资50亿（55.56%）,南海投资基金管理公司,海洋旅游、海洋渔业相关企业,南海经济产业链,财新网,https://www.caixin.com,2024-10-14,,,,,,,,,,,
西南沿海建设基金,110,亿元,云南省政府出资60亿（54.55%），私人投资者出资50亿（45.45%）,云南省建设投资管理公司,基础设施、交通运输企业,基础设施建设产业链,腾讯网,https://www.qq.com,2024-10-14,,,,,,,,,,,
全球海洋资源开发基金,200,亿元,中华人民共和国政府出资100亿（50%），外资机构出资100亿（50%）,全球海洋投资管理公司,资源开发、深海技术企业,全球资源开发网络,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
海洋人力资本投资基金,40,亿元,国家海洋与渔业局出资15亿（37.5%），各大高校及研究机构出资25亿（62.5%）,海洋人力资源管理公司,教育、培训及人才开发企业,人力资本产业链,教育部官网,http://www.moe.gov.cn,2024-10-14,,,,,,,,,,,
海洋灾后重建基金,55,亿元,国家紧急救援基金出资30亿（54.55%），社会捐款及企业资助25亿（45.45%）,海洋重建投资公司,灾后重建、紧急救援相关企业,灾后恢复产业链,CNN财经,https://www.cnn.com/business,2024-10-14,,,,,,,,,,,
北极海洋环境保护投资基金,75,亿元,全球环境基金出资30亿（40%），国际海洋合作组织出资45亿（60%）,北极海洋投资管理有限公司,海洋生物保护及可持续捕捞相关企业,北极海洋产业链关系图,环境新闻网,https://www.environmentnews.com,2024-10-14,,,,,,,,,,,
南方海域可再生能源投资基金,120,亿元,南方电网出资50亿（41.7%），绿色能源投资公司出资70亿（58.3%）,南方海域投资管理公司,海上风电、潮汐能项目,可再生能源产业链图,中国能源网,https://www.chinaenergy.com.cn,2024-10-14,,,,,,,,,,,
蓝色经济创新产业基金,60,亿元,福建省政府引导基金出资20亿（33.3%），市场化投资机构出资40亿（66.7%）,蓝色海洋基金管理有限公司,新材料、海洋生物技术相关企业,蓝色经济产业链图,投中网,https://www.chinaventure.com.cn,2024-10-14,,,,,,,,,,,
海洋生态恢复专项基金,45,亿元,浙江省环境保护基金出资15亿（33.3%），社会资本出资30亿（66.7%）,海洋生态基金管理中心,海洋生态保护与修复项目,生态恢复产业链关系图,新华网,https://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
现代海洋农业发展基金,30,亿元,辽宁省政府出资10亿（33.3%），农业科技公司出资20亿（66.7%）,现代农业投资管理有限公司,海洋农场与水产养殖企业,海洋农业产业链图,农业部官网,https://www.moa.gov.cn,2024-10-14,,,,,,,,,,,
智慧海洋科技基金,85,亿元,科技部中小企业发展基金出资30亿（35.3%），多家高科技投资公司出资55亿（64.7%）,智慧海洋科技基金管理有限公司,智能硬件、海洋数据监测企业,智慧海洋产业链关系图,智库网,https://www.zhikuwang.com,2024-10-14,,,,,,,,,,,
新兴海洋科技投资基金,40,亿元,广州地方政府出资10亿（25%），多家风险投资公司出资30亿（75%）,新兴海洋科技投资管理公司,海洋科技初创企业,海洋科技产业链图,科技日报,https://www.stdaily.com,2024-10-14,,,,,,,,,,,
海洋运输与物流发展基金,55,亿元,海南省政府出资20亿（36.4%），多家航运公司出资35亿（63.6%）,海洋运输投资公司,海洋运输及供应链企业,海洋物流产业链关系图,航运杂志,https://www.shippingmagazine.com,2024-10-14,,,,,,,,,,,
国际海洋科技合作基金,90,亿元,各国海洋组织出资40亿（44.4%），相关科研机构出资50亿（55.6%）,国际海洋科技合作投资管理机构,跨国海洋科研项目,国际海洋产业链关系图,国际海洋组织,https://www.internationalmarine.org,2024-10-14,,,,,,,,,,,
蓝色海洋文化产业基金,25,亿元,地方文化基金出资5亿（20%），文化企业出资20亿（80%）,蓝色文化投资管理有限公司,海洋文化相关企业,海洋文化产业链关系图,文化部官网,https://www.mcprc.gov.cn,2024-10-14,,,,,,,,,,,
海南海洋环境保护及产业发展基金,65,亿元,海南省政府出资30亿（46.2%），环保机构出资35亿（53.8%）,海南海洋发展有限公司,生态环保、海洋资源开发企业,海洋环保产业链关系图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
南极资源探索与开发基金,80,亿元,国家自然科学基金出资40亿（50%），科研机构出资40亿（50%）,南极开发投资有限公司,极地科研、资源开采企业,极地资源产业链关系图,中国科学报,http://www.sciencenet.cn,2024-10-14,,,,,,,,,,,
浙江海洋新兴产业投资基金,55.5,亿元,浙江省政府出资25亿（45%），地方企业出资30.5亿（55%）,浙江省海洋发展集团,海洋生物科技、海洋能源,新兴海洋产业链图,浙江日报,http://www.zjrb.cn,2024-10-14,,,,,,,,,,,
深海资源开发专项基金,90,亿元,深海探索科技公司出资50亿（55.6%），政府引导基金出资40亿（44.4%）,深海开发投资管理公司,深海矿产开采企业,深海资源产业关系图,财新网,http://www.caixin.com,2024-10-14,,,,,,,,,,,
海洋科技创新发展基金,30,亿元,科技部出资15亿（50%），国内外风险投资公司出资15亿（50%）,海洋科技投资公司,海洋工程技术、智能船舶,科技创新产业图,科技日报,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
国家海洋战略基金,100,亿元,国家发展改革委出资50亿（50%），社会资本出资50亿（50%）,国家海洋经济发展有限公司,海洋科学研究、高端装备制造,国家海洋战略产业链图,中国环境报,http://www.cenews.com.cn,2024-10-14,,,,,,,,,,,
长沙海洋科技发展基金,25,亿元,长沙市政府出资10亿（40%），地方企业出资15亿（60%）,长沙海洋投资管理有限公司,海洋金融服务、创新科技企业,海洋科技产业链图,湖南日报,http://www.hunan.gov.cn,2024-10-14,,,,,,,,,,,
福建海洋生态保护基金,20,亿元,福建省环保厅出资10亿（50%），地方生态基金出资10亿（50%）,福建海洋生态发展基金管理公司,海洋生态修复、保护企业,生态保护产业链图,福建省环保局,http://www.fjepb.gov.cn,2024-10-14,,,,,,,,,,,
国际海洋合作发展基金,75,亿元,国际合作机构出资30亿（40%），国内企业和科研机构出资45亿（60%）,国际海洋合作发展基金管理公司,国际海洋科研项目,国际合作产业链图,环球网,http://www.huanqiu.com,2024-10-14,,,,,,,,,,,
长江海洋生态恢复基金,25,亿元,长江地区政府基金出资10亿（40%），生态相关企业出资15亿（60%）,长江生态环境保护公司,水产养殖及生态恢复相关企业,生态产业链关系图,生态环境日报,http://www.sepb.gov.cn,2024-10-14,,,,,,,,,,,
蓝色经济创新发展基金,60,亿元,国家科技基金出资30亿（50%），民间资本出资30亿（50%）,蓝海投资管理有限公司,海洋科技创新企业,科技与海洋产业关系图,中国科技投资网,http://www.csti.gov.cn,2024-10-14,,,,,,,,,,,
渤海海洋深水开发基金,75.5,亿元,渤海区域投资公司出资40亿（53%），国际海洋开发机构出资35.5亿（47%）,渤海能源投资有限公司,深海勘探与开发企业,能源产业链关系图,海洋工程新闻,http://www.marine-engineering.com,2024-10-14,,,,,,,,,,,
海南自由贸易港海洋产业基金,80,亿元,海南省政府出资40亿（50%），国际投资者出资40亿（50%）,海南自由贸易港投资管理公司,海洋旅游及文化产业企业,旅游产业链关系图,海南日报,http://www.hainan.gov.cn,2024-10-14,,,,,,,,,,,
南海海洋资源开发产业基金,90,亿元,南海资源管理局出资50亿（55.6%），民间投资者出资40亿（44.4%）,南海开发投资有限公司,渔业和海洋资源利用企业,资源产业链关系图,南海资讯网,http://www.nanhaiinfo.cn,2024-10-14,,,,,,,,,,,
海洋环保科技创新基金,12,亿元,环保部引导基金出资12亿（100%）,海洋环保基金管理公司,环保科技和绿色产品相关企业,环保产业链关系图,环保在线,http://www.ep-online.com,2024-10-14,,,,,,,,,,,
浙大海洋高校创新基金,15,亿元,浙江大学出资5亿（33.3%），社会资本出资10亿（66.7%）,浙江大学投资管理有限公司,海洋科研及教育相关企业,教育产业链关系图,教育部,http://www.moe.gov.cn,2024-10-14,,,,,,,,,,,
上海海洋科技研发基金,30,亿元,上海市科技局出资15亿（50%），高新技术企业出资15亿（50%）,上海海洋科技投资管理有限公司,海洋智能装备及材料企业,智能制造产业链图,上海科技发展网,http://www.shanghaitech.gov.cn,2024-10-14,,,,,,,,,,,
珠海海洋产业加速基金,45,亿元,珠海市政府出资15亿（33.3%），企业财团出资30亿（66.7%）,珠海科技投资管理公司,海洋文创及旅游企业,文化产业链关系图,珠海日报,http://www.zhuhai.gov.cn,2024-10-14,,,,,,,,,,,
上海海洋产业发展引导基金,75,亿元,上海市政府出资30亿（40%），本地企业出资45亿（60%）,上海海洋投资管理有限公司,海洋科技、船舶制造相关企业,上海海洋产业链关系图,投资界,https://www.pedaily.cn,2024-10-14,,,,,,,,,,,
青岛蓝色经济发展基金,120,亿元,青岛市政府出资30亿（25%），各类金融机构出资90亿（75%）,青岛海洋发展有限公司,海洋养殖、渔业科技等企业,青岛蓝色经济关系图,青岛日报,http://www.qdkg.net,2024-10-14,,,,,,,,,,,
海南新兴海洋技术投资基金,30,亿元,海南省政府出资10亿（33.3%），其他投资者出资20亿（66.7%）,海南海洋技术基金公司,科技创新、水产养殖相关企业,海南海洋科研关系图,海南日报,http://www.hinews.cn,2024-10-14,,,,,,,,,,,
福建海洋智能产业基金,55,亿元,福建省财政厅出资25亿（45.5%），福建本土企业出资30亿（54.5%）,福建海洋智能投资有限公司,智能渔具、海洋传感器制造企业,福建智能海洋产业链图,东南网,http://www.fjsen.com,2024-10-14,,,,,,,,,,,
广东海洋经济项目投资基金,200,亿元,广东省发展改革委出资50亿（25%），金融机构出资150亿（75%）,广东省海洋经济投资管理有限公司,海洋工程、海洋能源相关企业,广东海洋产业链关系图,南方日报,http://www.southcn.com,2024-10-14,,,,,,,,,,,
浙江省海洋科技创新基金,90,亿元,浙江省科技厅出资20亿（22.2%），社会资本出资70亿（77.8%）,浙江海洋科技投资有限公司,海洋生物、智能水产科技企业,浙江海洋创新链关系图,浙江在线,http://www.zjol.com.cn,2024-10-14,,,,,,,,,,,
辽东湾海洋潜力开发基金,65,亿元,大连地方政府出资15亿（23.1%），行业投资方出资50亿（76.9%）,辽东湾海洋投资管理有限公司,沿海旅游、海洋文化产业公司,辽东湾海洋经济链关系图,大连日报,http://www.dldaily.com,2024-10-14,,,,,,,,,,,
青海湖绿色海洋产业基金,25,亿元,青海省政府出资10亿（40%），环保企业出资15亿（60%）,青海湖生态产业投资公司,绿色渔业、环保水产企业,青海湖水域生态链图,青海省新闻中心,http://www.qhnews.com,2024-10-14,,,,,,,,,,,
新疆海洋合作开放基金,45,亿元,新疆维吾尔自治区政府出资20亿（44.4%），多方企业出资25亿（55.6%）,新疆海洋投资管理公司,跨境电商、水产业企业,新疆海洋开放关系图,新疆日报,http://www.xjdaily.com,2024-10-14,,,,,,,,,,,
上海海洋智库发展基金,70,亿元,上海市科技创新基金出资30亿（42.9%），私营资本出资40亿（57.1%）,上海海洋科学研究所,海洋科技和智能设备企业,科技海洋产业链图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
青岛蓝色经济发展股权投资基金,150,亿元,青岛市政府出资60亿（40%），地方企业出资90亿（60%）,青岛国信创投有限公司,蓝色经济相关企业,海洋经济关系图,财经时报,https://www.caijing.com.cn,2024-10-14,,,,,,,,,,,
福建省海洋产业转型升级专项基金,45.5,亿元,福建省发展改革委出资25亿（55%），创业投资机构出资20.5亿（45%）,福建海洋投资管理有限公司,海洋产品及技术创新企业,海洋产业链图谱,南方都市报,https://www.southcn.com,2024-10-14,,,,,,,,,,,
海南海洋生态发展基金,80,亿元,海南省生态环境基金出资40亿（50%），民间资本出资40亿（50%）,海南海洋发展投资集团,海洋保护与生态恢复项目,生态海洋产业关系图,经济观察网,https://www.eeo.com.cn,2024-10-14,,,,,,,,,,,
江苏海洋高端装备制造基金,120,亿元,江苏省政府出资60亿（50%），社会资本出资60亿（50%）,江苏省海洋投资管理公司,高端制造业和海洋工程企业,制造业与海洋产业链,中国日报,https://www.chinadaily.com.cn,2024-10-14,,,,,,,,,,,
广东省海洋战略投资基金,200,亿元,广东省地方财政出资100亿（50%），风险投资公司出资100亿（50%）,广东省海洋产业投资基金管理有限公司,海洋战争与国防相关产业,战略海洋产业链图,金砖财经,https://www.bricsnews.cn,2024-10-14,,,,,,,,,,,
浙江省绿色海洋投资基金,65,亿元,浙江省生态科技基金出资30亿（46.2%），私人投资者出资35亿（53.8%）,浙江省绿色产业基金管理公司,可再生海洋能源企业,绿色海洋产业链关系图,未来网,https://www.k618.cn,2024-10-14,,,,,,,,,,,
天津海洋可持续发展基金,90,亿元,天津市环保局出资40亿（44.4%），其他社会资本出资50亿（55.6%）,天津海洋投资管理有限公司,环保型海洋产业企业,可持续海洋产业关系图,澎湃新闻,https://www.thepaper.cn,2024-10-14,,,,,,,,,,,
辽宁省深海资源开发基金,110,亿元,辽宁省政府出资50亿（45.5%），地方国企出资60亿（54.5%）,辽宁省海洋经济与开发管理局,深海勘探及资源开发企业,深海资源开发产业链图,人民网,https://www.people.com.cn,2024-10-14,,,,,,,,,,,
南海蓝色经济发展基金,60,亿元,海南省政府基金出资25亿（41.7%），其他LP出资35亿（58.3%）,海南省海洋经济研究院,海洋生物科技企业,南海经济关系图,时代财经,https://www.timefinance.com/,2024-10-14,,,,,,,,,,,
北部湾海洋资源开发基金,80,亿元,广西壮族自治区政府出资30亿（37.5%），社会资本出资50亿（62.5%）,广西北部湾发展投资有限公司,海洋油气勘探企业,海洋资源开发关系网,财经网,https://www.caijing.com.cn/,2024-10-14,,,,,,,,,,,
长江三角洲海洋经济基金,90,亿元,上海市政府出资45亿（50%），外部投资者出资45亿（50%）,上海海洋投资管理有限公司,海洋工程装备企业,长三角产业链关系图,上海证券交易所,http://www.sse.com.cn/,2024-10-14,,,,,,,,,,,
东极岛海洋高新技术基金,25,亿元,浙江省政府引导基金出资10亿（40%），其他LP出资15亿（60%）,浙江海洋科技发展有限公司,海洋环境保护和清洁技术企业,海洋科技产业链,科创板日报,https://www.kcbdaily.com/,2024-10-14,,,,,,,,,,,
渤海生态维修基金,30,亿元,山东省政府出资10亿（33.3%），海洋产业投资机构出资20亿（66.7%）,山东省海洋产业投资公司,生态修复和环境治理相关企业,渤海经济圈关系图,蓝鲸财经,https://www.fengjr.com/,2024-10-14,,,,,,,,,,,
极地海洋研究与开发基金,55,亿元,中国科学院出资20亿（36.4%），多个科技企业共计35亿（63.6%）,中国极地研究中心,极地科学研究及开发企业,极地经济产业链关系图,中国科学日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
深海渔业可持续发展基金,70,亿元,国家渔业局出资20亿（28.6%），通过社会资本筹集50亿（71.4%）,中国海洋渔业研究中心,可持续渔业和水产养殖企业,渔业资源管理图,中国水产频道,http://www.fisheyes.cn/,2024-10-14,,,,,,,,,,,
海洋绿色材料发展基金,45,亿元,深圳市政府出资15亿（33.3%），绿色投资机构出资30亿（66.7%）,深圳海洋绿色科技有限公司,海洋塑料回收及环保材料企业,环保材料产业链,中国新能源网,http://www.newenergy.org.cn/,2024-10-14,,,,,,,,,,,
抚仙湖生态保护基金,40,亿元,云南省政府出资15亿（37.5%），生态环保企业出资25亿（62.5%）,云南省生态保护基金管理公司,水域生态修复企业,生态保护产业链图,云南日报,http://www.ynnews.com/,2024-10-14,,,,,,,,,,,
南方海洋资源开发投资基金,60,亿元,海南省政府引导基金出资30亿（50%），各类社会资本出资30亿（50%）,南方海洋投资管理有限公司,海洋资源开发和环保技术企业,海洋资源产业链图,新华网,https://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
深海渔业发展基金,80,亿元,浙江省政府引导基金出资40亿（50%），其他私人资本出资40亿（50%）,浙江海洋投资有限公司,深海渔业相关企业、渔业科技公司,渔业产业链关系图,上海证券报,http://www.cnstock.com,2024-10-14,,,,,,,,,,,
蓝色经济创新发展基金,55.5,亿元,四川省政府出资10亿（18%），综合投资机构出资45.5亿（82%）,四川希望投资管理有限公司,创新科技、环保企业,蓝色经济产业链图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
亚太海洋科技基金,90,亿元,国家科技部出资20亿（22.2%），各省市科技投资出资70亿（77.8%）,亚太科技投资管理有限公司,海洋科技公司及相关服务商,海洋科技产业链图,中国科技网,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
深海能源开发基金,120,亿元,国家能源局出资50亿（41.7%），多家国企出资70亿（58.3%）,深海能源投资管理有限公司,能源开发与可再生资源企业,能源产业链关系图,中新网,http://www.chinanews.com,2024-10-14,,,,,,,,,,,
智慧海洋投资基金,45,亿元,福建省政府基金出资20亿（44.4%），市场化投资方出资25亿（55.6%）,福建省智慧海洋投资有限公司,智慧海洋科技、信息技术企业,智慧海洋产业链关系图,人民网,http://www.people.com.cn,2024-10-14,,,,,,,,,,,
国际海洋投资合作基金,100,亿元,外交部出资30亿（30%），国际投资者出资70亿（70%）,国际海洋投资管理有限公司,跨国海洋项目、可持续发展企业,国际合作关系图,国际金融报,http://www.ifeng.com,2024-10-14,,,,,,,,,,,
环海洋环境保护基金,25,亿元,环保部出资10亿（40%），环保组织与私人资本出资15亿（60%）,环海洋投资管理有限公司,环保科技、海洋生态修复企业,环保产业链关系图,生态环境部,http://www.mee.gov.cn,2024-10-14,,,,,,,,,,,
北极海洋研究与投资基金,30,亿元,国家极地研究中心出资15亿（50%），省级科研机构出资15亿（50%）,北极海洋投资管理有限公司,北极科学研究及技术开发企业,极地产业链关系图,科学网,http://www.sciencenet.cn,2024-10-14,,,,,,,,,,,
海洋食品安全基金,70,亿元,国家食品安全局出资30亿（42.9%），地方食品监管机构出资40亿（57.1%）,海洋食品投资管理有限公司,海洋食品检测、可追溯技术企业,食品安全产业关系图,中国食品安全网,http://www.cfsa.net.cn,2024-10-14,,,,,,,,,,,
南海海洋资源开发投资基金,60,亿元,海南省政府基金出资25亿（41.7%），社会资本出资35亿（58.3%）,南海投资管理有限公司,海洋渔业、旅游相关企业,海洋资源开发关系图,中国投资网,https://www.chinainvestment.com,2024-10-14,,,,,,,,,,,
深海智能装备制造产业基金,80,亿元,深圳市政府引导基金出资30亿（37.5%），科技公司出资50亿（62.5%）,深海科技投资管理有限公司,深海勘探设备制造公司,深海装备产业链图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
海洋生物科技投资基金,45,亿元,江苏省创新基金出资20亿（44.4%），生物科技公司出资25亿（55.6%）,江苏海洋生物科技投资管理有限公司,海洋生物研究和开发企业,生物科技产业链关系图,南方周末,https://www.infzm.com,2024-10-14,,,,,,,,,,,
青岛海洋经济发展基金,100,亿元,山东省政府出资50亿（50%），市政府出资50亿（50%）,青岛海洋发展投资管理有限公司,海洋生物科技和增值服务企业,海洋经济关系图,山东日报,http://www.shandong.gov.cn,2024-10-14,,,,,,,,,,,
海洋能源开发基金,120,亿元,国家能源局出资40亿（33.3%），各地区投资者共计80亿（66.7%）,海洋能源投资管理有限公司,海底石油、自然气开采企业,能源产业链关系图,中国能源网,https://www.cnenergy.com,2024-10-14,,,,,,,,,,,
环境保护型海洋产业基金,30,亿元,环保部引导基金出资10亿（33.3%），社会资本出资20亿（66.7%）,全球海洋环境基金管理有限公司,水质监测和海洋保护技术公司,环境保护产业链图,环球网,https://www.huanqiu.com,2024-10-14,,,,,,,,,,,
国际海洋合作投资基金,150,亿元,外交部和国际组织出资70亿（46.7%），境外投资者出资80亿（53.3%）,国际海洋合作基金管理有限公司,国际海洋环保和开发公司,国际合作关系图,国际日报,http://www.internationaldaily.com,2024-10-14,,,,,,,,,,,
先进海洋技术发展基金,90,亿元,国家科技部出资40亿（44.4%），企业自筹资金出资50亿（55.6%）,国家海洋技术发展有限公司,先进海洋监测设备制造商,科技发展产业链图,科技日报,http://www.stdaily.com,2024-10-14,,,,,,,,,,,
海洋文化与旅游发展基金,70,亿元,文化和旅游部出资30亿（42.9%），地方政府出资40亿（57.1%）,海洋旅游投资管理公司,海洋文化和旅游企业,文化产业链关系图,旅游网,https://www.tourism.com,2024-10-14,,,,,,,,,,,
南海海洋资源开发基金,75,亿元,广东省自然资源局出资30亿（40%），其它私募出资45亿（60%）,珠海海洋经济发展有限公司,海洋资源开发及创新企业,海洋资源开发产业链图,投中网,https://m.chinaventure.com.cn/news/,2024-10-14,,,,,,,,,,,
青岛海洋科技创新基金,125,亿元,青岛市科技局出资50亿（40%），社会资本出资75亿（60%）,青岛海洋科技投资有限公司,海洋智能化及环保技术企业,青岛海洋科技产业链图,搜狐网,https://www.sohu.com/,2024-10-14,,,,,,,,,,,
海南智能渔业产业发展基金,55,亿元,海南省产业促进局出资22亿（40%），其他机构出资33亿（60%）,海南智能渔业投资管理有限公司,智能渔业及水产养殖企业,智能渔业产业链关系图,36氪,https://www.36kr.com/,2024-10-14,,,,,,,,,,,
上海蓝色经济发展基金,200,亿元,上海市政府引导基金出资80亿（40%），金融机构出资120亿（60%）,上海蓝海投资管理有限公司,海洋产业及相关科技创新企业,蓝色经济产业链图,第一财经,https://www.yicai.com/,2024-10-14,,,,,,,,,,,
厦门海洋治理基金,30,亿元,厦门市环保局出资10亿（33.3%），社会资本出资20亿（66.7%）,厦门海洋治理投资管理有限公司,环保科技及海洋保护企业,海洋治理产业链关系图,商业时报,https://www.business-times.com/,2024-10-14,,,,,,,,,,,
福建省海洋生物技术基金,45,亿元,福建省生物技术促进中心出资15亿（33.3%），私人投资者出资30亿（66.7%）,福建海洋生物科技有限公司,海洋生物医药及其相关企业,海洋生物技术产业链图,海洋经济网,http://www.ocean-economy.net/,2024-10-14,,,,,,,,,,,
辽宁海洋装备制造基金,90,亿元,辽宁省经济和信息化局出资36亿（40%），合作机构出资54亿（60%）,辽宁海洋装备投资管理有限公司,海洋工程及设备制造企业,装备制造产业链关系图,金融时报,http://www.financial-times.com/,2024-10-14,,,,,,,,,,,
浙江省海洋科技发展基金,110,亿元,浙江省科学技术厅出资44亿（40%），民间资本出资66亿（60%）,浙江海洋科技投资有限公司,海洋科技及智能化企业,海洋科技产业链图,中国证券网,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
天津滨海新区海洋经济基金,85,亿元,天津市经济和信息化委员会出资30亿（35.3%），各类市场基金出资55亿（64.7%）,天津滨海投资管理有限公司,新型海洋经济相关企业,滨海新区海洋经济链图,时代周报,http://www.timeweekly.com/,2024-10-14,,,,,,,,,,,
新疆海洋环境保护基金,25,亿元,新疆维吾尔自治区环保局出资10亿（40%），其他环保组织出资15亿（60%）,新疆海洋环保投资管理有限公司,环保及可持续发展企业,海洋环境保护链图,环球网,https://www.huanqiu.com/,2024-10-14,,,,,,,,,,,
云南省海洋保护与发展投资基金,60,亿元,云南省政府出资30亿（50%），社会机构出资30亿（50%）,云南省海洋产业投资管理有限公司,海洋生物资源保护相关企业,海洋生态产业链关系图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
北京国际海洋生态投资基金,75,亿元,北京市政府引导基金出资30亿（40%），私募资本出资45亿（60%）,北京海洋投资管理有限公司,海洋可持续发展项目及企业,生态资本关系图,人民网,http://www.people.com.cn,2024-10-14,,,,,,,,,,,
浙江省海洋科技产业基金,25,亿元,浙江省科技厅出资10亿（40%），企业自筹出资15亿（60%）,浙江海洋科技发展有限公司,海洋科技与创新企业,科技创新产业链图,浙江日报,http://www.zjol.com.cn,2024-10-14,,,,,,,,,,,
福建省深海资源开发基金,150,亿元,福建省海洋局出资60亿（40%），多个LP合计出资90亿（60%）,福建省海洋资源开发公司,深海矿产与能源开采公司,海洋资源链图,海峡都市报,https://www.hxnews.com,2024-10-14,,,,,,,,,,,
山东深海科技创新基金,80,亿元,山东省科技创新基金出资25亿（31.25%），地方企业出资55亿（68.75%）,山东深海科技投资管理有限公司,深海技术研发团队及设备制造公司,科技产业链关系图,山东省科技厅,https://www.sdsti.gov.cn,2024-10-14,,,,,,,,,,,
海南省海洋生态保护基金,20,亿元,海南省政府出资20亿（100%）,海南省生态产业投资有限公司,与海洋保护及复苏相关的企业,生态产业链关系图,海南日报,http://www.hinews.cn,2024-10-14,,,,,,,,,,,
广州海洋创业投资基金,40,亿元,广州市地方政府出资15亿（37.5%），私营企业出资25亿（62.5%）,广州海洋产业发展有限公司,创新型海洋初创企业,创业投资产业链图,南方都市报,http://www.southcn.com,2024-10-14,,,,,,,,,,,
陕西省深海科学与技术基金,30,亿元,陕西省政府出资10亿（33.33%），高科技企业出资20亿（66.67%）,陕西深科技投资管理有限公司,深海探索技术相关企业,科技探索产业链图,陕西省科技厅,http://www.sxtch.gov.cn,2024-10-14,,,,,,,,,,,
重庆市海洋经济重构基金,55,亿元,重庆市政府引导基金出资20亿（36.36%），多家企业出资35亿（63.64%）,重庆海洋经济发展公司,重构海洋经济相关企业,经济重构产业链图,重庆日报,http://www.cqnews.net,2024-10-14,,,,,,,,,,,
江苏省智慧海洋投资基金,45,亿元,江苏省政府出资15亿（33.33%），行业企业出资30亿（66.67%）,江苏智慧海洋投资管理公司,智慧海洋技术研发企业,智慧经济产业链图,江苏日报,http://www.jiangsu.gov.cn,2024-10-14,,,,,,,,,,,
蓝色海洋生态投资基金,60,亿元,广东省港口投资集团出资30亿（50%），其他私募机构出资30亿（50%）,蓝色海洋基金管理有限公司,海洋生态恢复项目相关企业,生态产业链关系图,投资界,https://www.pedaily.cn/,2024-10-14,,,,,,,,,,,
长三角海洋经济发展基金,80,亿元,江苏省政府出资40亿（50%），华东投资集团出资40亿（50%）,华东海洋资本管理有限公司,沿海港口建设与运营企业,运贸海洋产业链图,湖北日报,http://www.hbdaily.com/,2024-10-14,,,,,,,,,,,
南海海洋资源开发基金,100,亿元,海南省财政厅出资50亿（50%），国际投资机构出资50亿（50%）,南海海洋开发公司,海洋资源勘探与开发企业,资源开发产业链图,中国证券网,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
浙江海洋经济创新基金,45,亿元,浙江省地方政府出资15亿（33.3%），民营企业出资30亿（66.7%）,浙江海洋发展投资管理有限公司,海洋科技与创业企业,创新经济产业链图,第一财经,https://www.yicai.com/,2024-10-14,,,,,,,,,,,
日本海洋科技发展基金,120,亿元,日本政府基金出资60亿（50%），东京证券交易所上市公司出资60亿（50%）,日本海洋科技投资集团,深海探测与海洋工程企业,国际海洋产业链关系图,日经新闻,https://www.nikkei.com/,2024-10-14,,,,,,,,,,,
未来海洋可持续发展基金,70,亿元,全国绿色产业发展基金出资35亿（50%），跨国公司出资35亿（50%）,未来海洋投资管理有限公司,可再生能源与海洋综合利用企业,可持续发展产业链图,中新社,http://www.chinanews.com/,2024-10-14,,,,,,,,,,,
东北海洋科技提升基金,25,亿元,吉林省政府出资10亿（40%），哈尔滨民营企业出资15亿（60%）,东北海洋科技投资管理有限公司,海洋科技研发企业,科技提升产业链图,东北新闻网,http://www.nen.com.cn/,2024-10-14,,,,,,,,,,,
海洋旅游发展基金,55,亿元,山东省旅游发展基金出资30亿（54.5%），旅游企业出资25亿（45.5%）,海洋旅游投资有限公司,海洋旅游与娱乐产业相关企业,旅游产业链关系图,中新网,http://www.chinadaily.com.cn/,2024-10-14,,,,,,,,,,,
海洋智能科技投资基金,30,亿元,科技部引导基金出资15亿（50%），国家科研机构出资15亿（50%）,海洋智能科技有限公司,人工智能和海洋监测企业,智能科技产业链图,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
南极海洋探索基金,90,亿元,国家海洋局出资45亿（50%），国际科研组织出资45亿（50%）,南极海洋探索研究中心,极地海洋研究与应用企业,极地产业链关系图,科技部,http://www.most.gov.cn/,2024-10-14,,,,,,,,,,,
