保险机构名称（字符型）,海洋保险种类（字符型）,海洋保险规模（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
中银保险,海洋污染责任险,700,万人民币,中国环保部,http://www.mee.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋设备保险,4200,万人民币,商报网,https://www.shangbao.com,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋责任险,3500,万人民币,海洋经济网,https://www.oceaneco.com.cn,2024-10-13,,,,,,,,,,,,,,
养信保险,水下作业险,2800,万人民币,北京保险行业协会,https://www.bjins.org,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋运输责任险,6000,万人民币,金融时报,https://www.jrtt.com.cn,2024-10-13,,,,,,,,,,,,,,
中国人寿保险,海洋气候风险险,1500,万人民币,今日头条,https://www.toutiao.com,2024-10-13,,,,,,,,,,,,,,
泰康保险,渔业风险保险,2200,万人民币,科教新闻,https://www.kjnews.com.cn,2024-10-13,,,,,,,,,,,,,,
信诚保险,航道险,1900,万人民币,经济观察网,https://www.eeo.com.cn,2024-10-13,,,,,,,,,,,,,,
国企保险,海洋生物保险,1700,万人民币,现代快报,https://www.xdkb.net,2024-10-13,,,,,,,,,,,,,,
大地保险,港口运营险,4000,万人民币,中国财经时报,https://www.cftimes.com,2024-10-13,,,,,,,,,,,,,,
恒安保险,深海探测险,3100,万人民币,南方周末,https://www.infzm.com,2024-10-13,,,,,,,,,,,,,,
中国平安保险股份有限公司,海洋责任险,4500,万人民币,保险时报,http://www.insurancetimes.cn,2024-10-13,,,,,,,,,,,,,,
信诚保险,海上货物运输险,3500,万人民币,中国证券网,http://www.cs.com.cn,2024-10-13,,,,,,,,,,,,,,
国联保险,海洋产业综合险,4000,万人民币,新华金融,http://www.xinhuanet.com/finance,2024-10-13,,,,,,,,,,,,,,
泰康保险集团,水产养殖险,2700,万人民币,中国水产频道,http://www.fishery.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,海运货物损失险,3200,万人民币,财新网,http://www.caixin.com/,2024-10-13,,,,,,,,,,,,,,
浙商财险,海洋工程险,5500,万人民币,环球网,http://www.huanqiu.com,2024-10-13,,,,,,,,,,,,,,
合众保险,油气勘探险,3000,万人民币,财经网,http://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
永诚保险,港口作业险,2000,万人民币,中国综合金融,http://www.cfnews.com.cn,2024-10-13,,,,,,,,,,,,,,
华安保险,渔船险,1500,万人民币,搜狐财经,http://finance.sohu.com,2024-10-13,,,,,,,,,,,,,,
东信保险,海洋灾害险,2300,万人民币,网贷之家,http://www.wdzj.com,2024-10-13,,,,,,,,,,,,,,
太平洋再保险,深海矿产保险,4000,万人民币,海洋与极地研究,https://www.marineandpolar.com,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋风暴险,2200,万人民币,中国保险网,https://www.cbirc.gov.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,水下工程险,3500,万人民币,行业观察,https://www.industrywatch.com,2024-10-13,,,,,,,,,,,,,,
瑞士再保险,海洋污染责任险,5000,万人民币,国际保险联盟,https://www.iais.org,2024-10-13,,,,,,,,,,,,,,
中华保险,海洋运输延误险,1800,万人民币,中国经济网,https://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
交通保险,远洋渔业损失险,2700,万人民币,渔业报,https://www.fisherynews.com,2024-10-13,,,,,,,,,,,,,,
信达保险,船舶货物追踪险,3200,万人民币,中国船舶网,https://www.chinashipbuilding.com,2024-10-13,,,,,,,,,,,,,,
中国平安,渔船事故险,900,万人民币,金融时报,https://www.ftchinese.com,2024-10-13,,,,,,,,,,,,,,
利安保险,海底电缆险,1100,万人民币,科学技术日报,https://www.stdaily.com,2024-10-13,,,,,,,,,,,,,,
阳光人寿,海洋资产保险,6500,万人民币,区域经济发展,https://www.regional-econ.com,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋设备保险,4000,万人民币,中国保险信息网,http://www.cbirc.gov.cn,2024-10-13,,,,,,,,,,,,,,
中银保险,水下工程保险,3500,万人民币,中银保险官网,https://www.bocins.com,2024-10-13,,,,,,,,,,,,,,
安邦保险,海洋溢油责任险,2200,万人民币,金融时报,https://www.ftchinese.com,2024-10-13,,,,,,,,,,,,,,
鑫安保险,码头设施险,1800,万人民币,中国经济网,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
太平保险,货物运输险,5000,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
人保财险,渔船险,2800,万人民币,证券日报,https://www.securitiesdaily.com.cn,2024-10-13,,,,,,,,,,,,,,
阳光人寿,航运责任险,2400,万人民币,每日经济新闻,http://www.nbd.com.cn,2024-10-13,,,,,,,,,,,,,,
信诚保险,海洋运输延误险,1500,万人民币,中国航运网,http://www.chinashippingnews.com,2024-10-13,,,,,,,,,,,,,,
长江保险,海洋电信设备保险,3000,万人民币,重庆商报,http://www.cqcb.com,2024-10-13,,,,,,,,,,,,,,
富邦保险,应急救助险,2600,万人民币,保险行业协会,http://www.ia.org.cn,2024-10-13,,,,,,,,,,,,,,
中信保诚保险,海洋环境责任险,6000,万人民币,中国保险网,https://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,海运延误险,4000,万人民币,经济日报,http://www.jjrbs.com/,2024-10-13,,,,,,,,,,,,,,
人保财险,渔船保险,3500,万人民币,中国渔业网,http://www.fishery.gov.cn/,2024-10-13,,,,,,,,,,,,,,
泰康保险,海洋生物财产险,800,万人民币,中国海洋报,https://www.cnmarine.cn/,2024-10-13,,,,,,,,,,,,,,
安邦保险,海上货运险,4500,万人民币,中国经济网,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
国信保险,潮汐灌溉险,1200,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
永诚保险,海洋保险综合险,3000,万人民币,商业保险网,http://www.cmbi.com/,2024-10-13,,,,,,,,,,,,,,
信诚保险,水下工程险,2200,万人民币,中国建设网,http://www.chinajszx.com/,2024-10-13,,,,,,,,,,,,,,
民生保险,海洋科技险,1600,万人民币,科学网,http://www.sciencenet.cn/,2024-10-13,,,,,,,,,,,,,,
平安大华人寿,海洋风险评估险,900,万人民币,国际海洋资讯,http://www.oceannews.cn/,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋货物运输险,6000,万人民币,中国保险业协会,https://www.circ.gov.cn,2024-10-13,,,,,,,,,,,,,,
中华保险,海洋雇主责任险,1200,万人民币,保险日报,http://www.insurancejournal.cn,2024-10-13,,,,,,,,,,,,,,
交银保险,海洋环境责任险,4500,万人民币,中国海洋学会,https://www.cose.org.cn,2024-10-13,,,,,,,,,,,,,,
福州保险,渔船保险,2500,万人民币,海洋与渔业部,http://www.moa.gov.cn,2024-10-13,,,,,,,,,,,,,,
亿丰保险,海上安全险,3200,万人民币,财经网,http://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
招商局保险,国际海洋物流保险,7000,万人民币,人民网,http://www.people.com.cn,2024-10-13,,,,,,,,,,,,,,
中煤保险,海上建筑险,1800,万人民币,金融时报,http://www.financialnews.com.cn,2024-10-13,,,,,,,,,,,,,,
中信保险,海上事故保险,4000,万人民币,经济观察网,http://www.eeo.com.cn,2024-10-13,,,,,,,,,,,,,,
阳光财险,海洋科技研发险,800,万人民币,中国科技网,http://www.stdaily.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,货物延误保险,2100,万人民币,中国物流与采购网,http://www.clta.org.cn,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋金融保障险,6500,万人民币,天眼查,https://www.tianyancha.com,2024-10-13,,,,,,,,,,,,,,
中国平安,深海采矿保险,12000,万人民币,保险之家,http://www.insurancehome.com,2024-10-13,,,,,,,,,,,,,,
大都会人寿,渔业收入险,4000,万人民币,保险日报,http://www.insurancedaily.com.cn,2024-10-13,,,,,,,,,,,,,,
华泰保险,水下设施险,3500,万人民币,中国保险网,http://www.cicnews.com,2024-10-13,,,,,,,,,,,,,,
安诚保险,深海探矿险,7000,万人民币,保险行业协会,http://www.iaic.org.cn,2024-10-13,,,,,,,,,,,,,,
中信保,海底管道险,9000,万人民币,财新网,http://www.caixin.com,2024-10-13,,,,,,,,,,,,,,
泰康人寿,船舶货物运输险,5000,万人民币,和讯网,https://www.hexun.com,2024-10-13,,,,,,,,,,,,,,
光大保险,海洋生态恢复险,2200,万人民币,中国海洋信息网,http://www.chinamarine.org,2024-10-13,,,,,,,,,,,,,,
永诚保险,海域环境污染险,1800,万人民币,环球网,http://www.huanqiu.com,2024-10-13,,,,,,,,,,,,,,
新光海保,海洋救助险,1100,万人民币,新浪财经,http://finance.sina.com.cn,2024-10-13,,,,,,,,,,,,,,
安诚保险,深海探险险,1200,万人民币,国际金融报,http://www.jrj.com.cn,2024-10-13,,,,,,,,,,,,,,
新华保险,海洋环境污染险,3000,万人民币,中国保险网,http://www.china-insurance.com,2024-10-13,,,,,,,,,,,,,,
中国大地保险,海上货物运输险,4500,万人民币,搜狐财经,http://www.sohu.com/finance,2024-10-13,,,,,,,,,,,,,,
阳光财产保险,渔船渔具险,1000,万人民币,海事服务网,http://www.msserv.com,2024-10-13,,,,,,,,,,,,,,
太平保险,海洋勘探设备险,2200,万人民币,南方周末,http://www.infzm.com,2024-10-13,,,,,,,,,,,,,,
中国再保险,航运火灾险,3400,万人民币,财新网,http://www.caixin.com,2024-10-13,,,,,,,,,,,,,,
华安保险,舶载保险,2600,万人民币,中国航运网,http://www.china-shipping.com,2024-10-13,,,,,,,,,,,,,,
中国平安,海洋设备故障险,1800,万人民币,保险之家,http://www.insurancehome.com,2024-10-13,,,,,,,,,,,,,,
光大保险,海底电缆险,900,万人民币,金融时报,http://www.ftchinese.com,2024-10-13,,,,,,,,,,,,,,
农险保险,农业船舶险,1500,万人民币,农业经济网,http://www.ageco.com.cn,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋设施险,4500,万人民币,财经网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
安盛保险,深海勘探险,6200,万人民币,华尔街见闻,https://www.wemedia.com.cn,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,近海渔业险,3200,万人民币,中国保险报,http://www.ciber.com.cn,2024-10-13,,,,,,,,,,,,,,
华泰保险,港口运营险,5400,万人民币,南方周末,https://www.infzm.com,2024-10-13,,,,,,,,,,,,,,
现代保险,海洋动力设施险,2800,万人民币,保险行业协会,http://www.ia.org.cn,2024-10-13,,,,,,,,,,,,,,
福星保险,船舶货物丢失险,1700,万人民币,海洋经济网,http://www.oe.cn,2024-10-13,,,,,,,,,,,,,,
中国平安,海上搜救险,4000,万人民币,中国新闻网,http://www.chinanews.com,2024-10-13,,,,,,,,,,,,,,
信诚保险,深海撬舱险,7900,万人民币,第一财经,https://www.yicai.com,2024-10-13,,,,,,,,,,,,,,
光大保险,海洋科学研究险,3500,万人民币,金融界,http://www.jrj.com,2024-10-13,,,,,,,,,,,,,,
安达保险,海洋生物研发险,2100,万人民币,经济日报,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
