机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
夜间巡逻机器人,1.6,m/s,0.5,m/s,2.4,m/s,1.1,m/s,字符型,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
清污机器人,1.9,m/s,0.8,m/s,2.6,m/s,1.4,m/s,字符型,水利部,https://www.mwr.gov.cn,,
老年护理机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,国家老龄工作委员会,http://www.nag.gov.cn,,
影院放映机器人,1.1,m/s,0.5,m/s,1.8,m/s,0.5,m/s,字符型,中国电影局,http://www.chinafilm.gov.cn,,
超市购物机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,中国商贸协会,http://www.ccta.org.cn,,
医用输送机器人,1.2,m/s,0.3,m/s,1.8,m/s,0.4,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
自动仓库机器人,2.0,m/s,0.6,m/s,3.0,m/s,1.3,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
无人机,5.6,m/s,2.5,m/s,7.0,m/s,3.2,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
农业机器人,3.0,m/s,1.2,m/s,5.0,m/s,2.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
安防机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,公安部,http://www.mps.gov.cn,,
教育机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,教育部,http://www.moe.gov.cn,,
无人机,7.0,m/s,2.0,m/s,10.0,m/s,3.5,m/s,字符型,民用无人机协会,https://www.cuua.org.cn,,
仓储机器人,2.0,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,中国仓储协会,http://www.cwma.org.cn,,
陪伴机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,家庭科技研究院,http://www.homesci.org,,
巡逻机器人,2.8,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,安全防范协会,http://www.security.org.cn,,
外科手术机器人,0.6,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,中国医学科学院,http://www.cams.ac.cn,,
零售机器人,1.7,m/s,0.9,m/s,3.1,m/s,1.2,m/s,字符型,中国零售业协会,http://www.crea.org.cn,,
物流无人机,5.5,m/s,1.4,m/s,7.0,m/s,2.5,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
救援机器人,1.4,m/s,0.6,m/s,2.3,m/s,1.1,m/s,字符型,应急管理部,http://www.mem.gov.cn,,
婚礼服务机器人,0.9,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,婚礼策划协会,http://www.wedding.org.cn,,
矿山机器人,3.2,m/s,1.1,m/s,5.5,m/s,2.1,m/s,字符型,矿业协会,http://www.mining.org.cn,,
无人驾驶巴士,6.0,m/s,2.0,m/s,8.0,m/s,3.0,m/s,字符型,城市交通发展中心,http://www.citytransport.org.cn,,
机器人厨师,1.2,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,食品科技研究院,http://www.foodtech.org.cn,,
太空探测机器人,4.5,m/s,1.8,m/s,6.0,m/s,2.5,m/s,字符型,中国航天科技集团,http://www.spacechina.com,,
海洋探测机器人,2.9,m/s,1.1,m/s,4.2,m/s,1.9,m/s,字符型,海洋局,http://www.soa.gov.cn,,
智能家居机器人,1.6,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,智能家电协会,http://www.smartappliances.org,,
城市清洁机器人,1.4,m/s,0.4,m/s,1.9,m/s,0.8,m/s,字符型,城市管理局,http://www.urbanmanagement.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,中国农业机械化协会,http://www.cama.org.cn,,
娱乐机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,中国玩具协会,http://www.cta.org.cn,,
教育机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.6,m/s,字符型,中国教育信息化产业发展联盟,http://www.ceiia.org.cn,,
安防机器人,1.7,m/s,0.7,m/s,3.0,m/s,1.5,m/s,字符型,中国安防协会,http://www.cpsa.org.cn,,
探测机器人,3.5,m/s,1.2,m/s,4.2,m/s,2.0,m/s,字符型,中国科技部,http://www.most.gov.cn,,
仓储机器人,1.6,m/s,0.5,m/s,2.5,m/s,1.1,m/s,字符型,全国物流科技创新中心,http://www.nationallogistics.org,,
救援机器人,2.2,m/s,0.9,m/s,3.5,m/s,1.5,m/s,字符型,中华救援协会,http://www.rescue.org.cn,,
烟雾探测机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,全国消防协会,http://www.firesafety.org,,
巡逻机器人,2.4,m/s,1.0,m/s,2.8,m/s,1.6,m/s,字符型,中国公共安全协会,http://www.publicsafety.org.cn,,
桥梁检测机器人,2.1,m/s,0.8,m/s,2.6,m/s,1.2,m/s,字符型,中国交通运输科技协会,http://www.transportscience.org.cn,,
小型机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,机器人产业发展联盟,http://www.robotindustry.com,,
外科机器人,0.4,m/s,0.1,m/s,0.6,m/s,0.2,m/s,字符型,中国医学科学院,http://www.cams.org.cn,,
自动化生产线机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.8,m/s,字符型,中国制造业促进会,http://www.cmf.org.cn,,
会议机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,中国商务部,http://www.mofcom.gov.cn,,
无人机,5.0,m/s,2.0,m/s,8.0,m/s,3.5,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
海洋探测机器人,1.4,m/s,0.6,m/s,2.1,m/s,0.8,m/s,字符型,中国海洋局,http://www.soa.gov.cn,,
博物馆导览机器人,1.0,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,中国文化部,http://www.mcprc.gov.cn,,
工业机器人,2.2,m/s,0.9,m/s,3.0,m/s,1.4,m/s,字符型,中国工业和信息化部,http://www.miit.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,国际农业机械协会,http://www.iamassociation.org,,
安防机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,国家公共安全部,https://www.nps.gov.cn,,
教育机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
仓储机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.5,m/s,字符型,中国物流研究中心,http://www.clrc.org.cn,,
送餐机器人,1.2,m/s,0.4,m/s,2.0,m/s,0.5,m/s,字符型,中国餐饮业协会,http://www.catering.org.cn,,
消防机器人,2.0,m/s,0.9,m/s,3.3,m/s,1.2,m/s,字符型,中国消防协会,http://www.cfa.org.cn,,
远程监控机器人,1.1,m/s,0.7,m/s,1.7,m/s,0.8,m/s,字符型,国际监控技术协会,http://www.icct.org,,
自动驾驶公交车,3.5,m/s,1.0,m/s,5.0,m/s,2.5,m/s,字符型,中国城市公共交通协会,http://www.ccpta.org.cn,,
灾难救援机器人,1.8,m/s,0.9,m/s,2.8,m/s,1.4,m/s,字符型,国际灾害救援组织,http://www.idro.org,,
递送机器人,2.4,m/s,1.0,m/s,3.1,m/s,1.7,m/s,字符型,电子商务协会,http://www.ecommerce.org.cn,,
水下探索机器人,1.6,m/s,0.7,m/s,2.2,m/s,1.0,m/s,字符型,中国海洋研究院,http://www.cmru.edu.cn,,
博物馆导览机器人,0.6,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,中国博物馆协会,http://www.museum.org.cn,,
派遣机器人,2.3,m/s,1.1,m/s,3.1,m/s,1.6,m/s,字符型,机器人产业发展联盟,http://www.ridai.org.cn,,
人形机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,北京机器人研究所,http://www.bri.ac.cn,,
运动机器人,2.0,m/s,0.8,m/s,2.5,m/s,1.3,m/s,字符型,中国体育总局,http://www.sport.gov.cn,,
组成机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,中国智能制造协会,http://www.iama.org.cn,,
医疗辅助机器人,0.8,m/s,0.3,m/s,1.3,m/s,0.5,m/s,字符型,医疗科技发展论坛,http://www.medtechforum.org.cn,,
无人机巡航机器人,3.0,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,无人机产业创新中心,http://www.dronetech.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国农业科学院,http://www.ari.ac.cn,,
物流无人机,3.5,m/s,0.8,m/s,5.0,m/s,2.5,m/s,字符型,国际无人机协会,https://www.idu.org,,
陪伴机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,智能机器人研究院,http://www.sra.org,,
海洋探索机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.2,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
山地救援机器人,1.8,m/s,0.9,m/s,3.5,m/s,1.5,m/s,字符型,中国气象局,http://www.cma.gov.cn,,
教育机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
辅助康复机器人,0.6,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国康复医学会,http://www.crma.org.cn,,
快递配送机器人,2.0,m/s,0.5,m/s,3.0,m/s,1.0,m/s,字符型,电子商务协会,http://www.ecommercesociety.org,,
清水供给机器人,1.4,m/s,0.5,m/s,2.2,m/s,1.0,m/s,字符型,水利部,http://www.mwr.gov.cn,,
智能仓储机器人,2.3,m/s,0.9,m/s,4.0,m/s,1.7,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
重载运输机器人,2.8,m/s,1.0,m/s,4.5,m/s,2.0,m/s,字符型,全国运输行业管理中心,http://www.transit.gov.cn,,
消防水炮机器人,1.2,m/s,0.6,m/s,1.8,m/s,0.9,m/s,字符型,中国消防协会,http://www.fire.gov.cn,,
货物搬运机器人,2.5,m/s,1.3,m/s,5.0,m/s,2.2,m/s,字符型,国际工程机械制造商协会,http://www.icmm.org,,
迷宫探测机器人,1.0,m/s,0.4,m/s,2.0,m/s,1.0,m/s,字符型,国家科技部,http://www.most.gov.cn,,
防疫消毒机器人,1.4,m/s,0.5,m/s,2.5,m/s,1.1,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
智能巡逻机器人,3.0,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,中国公安部,http://www.mps.gov.cn,,
复杂环境作业机器人,1.7,m/s,0.8,m/s,2.8,m/s,1.3,m/s,字符型,国家机械工业部,http://www.mii.gov.cn,,
应急救助机器人,1.6,m/s,0.7,m/s,2.0,m/s,0.9,m/s,字符型,全国应急管理局,http://www.cema.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国农业科学院,http://www.caas.cn,,
教育机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
陪伴机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国机器人产业联盟,http://www.chinarobot.org,,
搜救机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,中国应急管理部,http://www.mem.gov.cn,,
物流机器人,3.2,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,中国物流信息中心,http://www.clii.com.cn,,
服务机器人,2.5,m/s,0.6,m/s,3.0,m/s,1.7,m/s,字符型,中国服务机器人产业研究中心,http://www.csaria.org,,
军用机器人,3.5,m/s,1.5,m/s,5.0,m/s,2.5,m/s,字符型,中国军队后勤部,http://www.mod.gov.cn,,
仓储机器人,2.8,m/s,1.0,m/s,3.2,m/s,1.8,m/s,字符型,中国工业与信息化部,http://www.miit.gov.cn,,
安防机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国国家安全局,http://www.mps.gov.cn,,
建筑机器人,1.6,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,中国建筑科学研究院,http://www.cabris.com,,
水下机器人,1.4,m/s,0.8,m/s,1.9,m/s,0.9,m/s,字符型,中国海洋局,http://www.soa.gov.cn,,
移动机器人,3.0,m/s,1.2,m/s,3.8,m/s,1.6,m/s,字符型,中国机器人产业发展促进中心,http://www.roboticspromotion.org,,
农村电力机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.6,m/s,字符型,国家电网公司,http://www.sgcc.com.cn,,
城市交通机器人,2.3,m/s,0.9,m/s,3.5,m/s,1.4,m/s,字符型,国家交通部,http://www.mot.gov.cn,,
送餐机器人,1.7,m/s,0.6,m/s,2.4,m/s,1.0,m/s,字符型,中国餐饮业协会,http://www.culinary.org.cn,,
消防灭火机器人,3.4,m/s,1.2,m/s,4.5,m/s,2.0,m/s,字符型,中华人民共和国消防救援局,http://www.mps.gov.cn/jzxx/,,
农业机器人,1.5,m/s,0.5,m/s,2.4,m/s,1.1,m/s,字符型,农业机械化协会,http://www.agricultural-machinery.org,,
安保机器人,2.5,m/s,0.6,m/s,3.0,m/s,1.5,m/s,字符型,国家安全管理局,http://www.nsa.gov.cn,,
快递机器人,2.0,m/s,0.4,m/s,2.8,m/s,1.2,m/s,字符型,中国快递协会,http://www.chinaexpress.org,,
碰撞测试机器人,3.0,m/s,0.7,m/s,4.0,m/s,2.0,m/s,字符型,汽车工程学会,http://www.sae.org.cn,,
狩猎机器人,2.8,m/s,1.0,m/s,3.5,m/s,1.8,m/s,字符型,野生动物保护组织,http://www.wildlifeprotection.org,,
无人机,5.0,m/s,1.5,m/s,7.0,m/s,3.5,m/s,字符型,国家无人驾驶飞行器管理局,http://www.uav.gov.cn,,
无人餐车,1.2,m/s,0.3,m/s,1.5,m/s,0.6,m/s,字符型,智能餐饮行业协会,http://www.smartfoodservices.org,,
救援机器人,1.8,m/s,0.4,m/s,2.2,m/s,1.0,m/s,字符型,中国救援协会,http://www.chinarescue.org,,
仓储机器人,3.2,m/s,0.9,m/s,4.5,m/s,1.7,m/s,字符型,国际仓储与物流协会,http://www.iwl.org,,
宠物护理机器人,0.6,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,宠物产业协会,http://www.petindustry.org,,
清洁 drones,4.5,m/s,1.1,m/s,6.0,m/s,2.2,m/s,字符型,清洁市政服务委员会,http://www.cleancrews.org,,
远程监控机器人,2.3,m/s,0.8,m/s,3.0,m/s,1.4,m/s,字符型,技术监控联盟,http://www.techmonitoring.org,,
教学机器人,1.0,m/s,0.5,m/s,1.2,m/s,0.7,m/s,字符型,教育部,http://www.moe.gov.cn,,
伴侣机器人,1.6,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,人机交互研究中心,http://www.hri-research.org,,
自动售货机器人,1.9,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,商业自动化协会,http://www.commercialautomation.org,,
加工机器人,2.1,m/s,0.7,m/s,2.8,m/s,1.4,m/s,字符型,制造业协会,http://www.manufacturing.org,,
防疫机器人,1.4,m/s,0.3,m/s,1.9,m/s,0.8,m/s,字符型,卫生防疫局,http://www.healthcare.gov.cn,,
户外运动机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,国家体育委员会,http://www.sport.gov.cn,,
家用清洁机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国家用电器协会,http://www.cahma.org.cn,,
农业无人机,5.5,m/s,2.0,m/s,7.0,m/s,3.0,m/s,字符型,农业农村部,http://www.moa.gov.cn,,
工业机器人,3.0,m/s,1.0,m/s,5.0,m/s,2.0,m/s,字符型,国际机器人联盟,https://www.ifr.org,,
安防巡逻机器人,1.5,m/s,0.6,m/s,3.0,m/s,1.2,m/s,字符型,中国安全防范产品行业协会,http://www.aspa.org.cn,,
物流无人机,7.0,m/s,3.0,m/s,9.0,m/s,4.0,m/s,字符型,中国优选物流,http://www.chinabuys.com,,
救援机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,中国红十字会,http://www.redcross.org.cn,,
教育机器人,1.0,m/s,0.4,m/s,2.0,m/s,0.9,m/s,字符型,教育部,http://www.moe.gov.cn,,
餐饮服务机器人,1.5,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,中国餐饮协会,http://www.cfa.gov.cn,,
微型农业机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,农业科技部,http://www.moa.gov.cn,,
老年护理机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.4,m/s,字符型,中国护理学会,http://www.cna.org.cn,,
极限运动辅助机器人,2.5,m/s,1.0,m/s,3.8,m/s,1.6,m/s,字符型,国家体育总局,http://www.sport.gov.cn,,
智慧工厂机器人,4.0,m/s,1.5,m/s,5.5,m/s,2.0,m/s,字符型,中国智能制造协会,http://www.cim.org.cn,,
个人助理机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,消费者电子协会,http://www.ce.org.cn,,
自动驾驶卡车,6.0,m/s,1.8,m/s,8.0,m/s,3.5,m/s,字符型,智能物流研究所,http://www.szsyl.org,,
测绘机器人,3.2,m/s,1.2,m/s,4.0,m/s,1.5,m/s,字符型,国家测绘局,http://www.ngcc.cn,,
环境监测机器人,1.8,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,生态环境部,http://www.mee.gov.cn,,
娱乐游戏机器人,0.9,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,中国游戏产业研究院,http://www.cgvr.org,,
快递配送机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.2,m/s,字符型,快递行业协会,http://www.sf-express.com,,
巡逻机器人,1.5,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,国际安防协会,https://www.iaes.org,,
农业机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,农业部,http://www.moa.gov.cn,,
翻译机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,国家语言文字工作委员会,http://www.chinese.gov.cn,,
外卖配送机器人,2.5,m/s,1.0,m/s,4.0,m/s,1.8,m/s,字符型,中国电子商务研究中心,https://www.iresearch.com.cn,,
无人物流车,3.5,m/s,1.2,m/s,5.0,m/s,2.2,m/s,字符型,现代物流技术,http://www.modernlogistics.com,,
客户服务机器人,1.2,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国服务机器人产业技术研究中心,http://www.csritc.org,,
搬运机器人,2.0,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,机器人技术协会,http://www.roboticstech.org,,
外科手术机器人,0.6,m/s,0.3,m/s,0.8,m/s,0.2,m/s,字符型,中国医疗机器人技术发展报告,http://www.cmrs.org,,
探测机器人,2.8,m/s,0.9,m/s,4.2,m/s,1.6,m/s,字符型,国际机器人探索研究所,http://www.iresearch.eu,,
家居机器人,1.1,m/s,0.5,m/s,1.7,m/s,0.9,m/s,字符型,家居科技协会,http://www.hometech.org,,
教育机器人,1.3,m/s,0.6,m/s,1.2,m/s,0.7,m/s,字符型,中国教育技术协会,http://www.ceta.edu.cn,,
智能陪伴机器人,0.9,m/s,0.4,m/s,1.0,m/s,0.3,m/s,字符型,中国智能科技网,http://www.chinalt.com,,
医疗救援机器人,1.4,m/s,0.6,m/s,1.8,m/s,0.5,m/s,字符型,国家卫生组织,https://www.who.int,,
清理海洋垃圾机器人,2.3,m/s,1.1,m/s,3.0,m/s,1.7,m/s,字符型,环境保护部,http://www.epa.gov.cn,,
障碍物清除机器人,3.0,m/s,1.2,m/s,5.5,m/s,2.5,m/s,字符型,国内机器人研究开发中心,http://www.rrdc.org.cn,,
战术支援机器人,4.0,m/s,1.8,m/s,6.5,m/s,3.2,m/s,字符型,武器与装备研究中心,http://www.wrrc.org,,
商业服务机器人,1.7,m/s,0.8,m/s,2.5,m/s,1.0,m/s,字符型,商业连锁协会,http://www.retailassociation.org,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科技网,http://www.caas.cn,,
教育机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
消防机器人,1.6,m/s,0.8,m/s,2.5,m/s,0.9,m/s,字符型,中国消防协会,http://www.chinafire.gov.cn,,
餐饮服务机器人,1.2,m/s,0.4,m/s,1.9,m/s,0.7,m/s,字符型,餐饮服务行业协会,http://www.restaurantassociation.org.cn,,
建筑机器人,2.5,m/s,1.1,m/s,3.0,m/s,1.7,m/s,字符型,中国建筑协会,http://www.construction.org.cn,,
安防机器人,1.3,m/s,0.5,m/s,1.8,m/s,1.0,m/s,字符型,国家安监局,http://www.nsa.gov.cn,,
军事机器人,2.8,m/s,1.2,m/s,3.5,m/s,1.9,m/s,字符型,中国国防科技,http://www.mod.gov.cn,,
环境监测机器人,1.0,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
仓储机器人,2.0,m/s,0.9,m/s,2.4,m/s,1.1,m/s,字符型,国际仓储协会,https://www.warehousing.org,,
外科手术机器人,0.7,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,中国医学科学院,http://www.cams.cn,,
社交陪伴机器人,0.9,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,社交机器人研究中心,http://www.socialrobotics.org,,
救护机器人,1.4,m/s,0.5,m/s,2.1,m/s,1.0,m/s,字符型,紧急医疗服务委员会,http://www.ems.gov.cn,,
仓库管理机器人,2.1,m/s,1.0,m/s,2.5,m/s,1.3,m/s,字符型,国际机器人协会,https://www.ifr.org,,
物流搬运机器人,1.6,m/s,0.7,m/s,2.0,m/s,1.2,m/s,字符型,全球物流研究中心,http://www.global-logistics.org,,
环卫清洁机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,城市环境清理协会,http://www.cleancities.org.cn,,
无人机配送机器人,5.0,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,无人机行业协会,http://www.drones.org.cn,,
实验室自动化机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,中国科学院,http://www.cas.cn,,
灾后救援机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,国际救援组织,http://www.internationalrescue.org,,
医疗机器人,0.6,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,哈佛大学医学院,https://www.hms.harvard.edu,,
无人驾驶货车,5.0,m/s,2.0,m/s,7.0,m/s,2.5,m/s,字符型,美国交通部,https://www.transportation.gov,,
巡逻机器人,1.5,m/s,0.5,m/s,2.5,m/s,1.1,m/s,字符型,国际安防协会,https://www.internationalsecurity.org,,
农业机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,农业部,https://www.moa.gov.cn,,
清扫机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.6,m/s,字符型,扫地机器人协会,http://www.robovacuum.org,,
物流无人机,6.0,m/s,2.0,m/s,8.0,m/s,3.0,m/s,字符型,国际无人机协会,https://www.droneassociation.org,,
家庭服务机器人,1.2,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,中国家用机器人产业园,http://www.chinahomebot.org,,
快递机器人,3.2,m/s,1.1,m/s,4.0,m/s,1.5,m/s,字符型,快递行业协会,https://www.expressassn.org,,
教育机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
安防机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.8,m/s,字符型,消防协会,http://www.fireprotection.org,,
餐饮服务机器人,1.7,m/s,0.5,m/s,2.1,m/s,1.2,m/s,字符型,餐饮产业协会,http://www.restaurantassociation.org,,
消防无人机,6.5,m/s,1.8,m/s,9.0,m/s,4.0,m/s,字符型,消防无人机系统联合会,https://www.uavfirefighting.org,,
增强现实机器人,1.1,m/s,0.4,m/s,1.9,m/s,0.6,m/s,字符型,虚拟现实技术协会,http://www.vrtech.org,,
宠物机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,宠物行业协会,https://www.petassociation.org,,
研究机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,科学技术协会,http://www.scienceassociation.org,,
运输机器人,3.5,m/s,1.2,m/s,4.5,m/s,1.8,m/s,字符型,国际运输协会,http://www.transportassociation.org,,
测量机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,测量与自动化协会,http://www.measurementautomation.org,,
环境监测机器人,1.6,m/s,0.7,m/s,2.0,m/s,1.1,m/s,字符型,环境保护部,http://www.mep.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,0.9,m/s,字符型,中国农业科学院,http://www.caas.cn,,
仓储机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,电商物流研究院,http://www.ecommerce-logistics.org,,
安防机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,国家公安部,https://www.mps.gov.cn,,
巡逻机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,城市安全网络,http://www.urbansafety.org,,
外科手术机器人,0.5,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,国际机器人手术协会,http://www.isra.org,,
饮料配送机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,中国饮料协会,http://www.cnbeverage.org,,
智能搬运机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,中国智能制造联盟,http://www.chinalead.org,,
酒店服务机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国酒店协会,http://www.chinahospitality.org,,
消防救援机器人,1.6,m/s,0.4,m/s,2.4,m/s,1.2,m/s,字符型,中国消防救援局,http://www.cffrc.gov.cn,,
煤矿机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,国家煤矿安全监察局,http://www.msa.gov.cn,,
升降平台机器人,0.6,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,工业自动化协会,http://www.iia.org.cn,,
无人探测机器人,1.9,m/s,0.7,m/s,2.8,m/s,1.3,m/s,字符型,卫星探测局,http://www.satellitesurvey.org,,
家庭清洁机器人,0.7,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国家居技术研究院,http://www.home-tech.org,,
遥控战斗机器人,3.0,m/s,1.2,m/s,5.0,m/s,1.5,m/s,字符型,科技军事论坛,http://www.techmilforum.com,,
无人机配送机器人,3.5,m/s,1.0,m/s,4.0,m/s,2.0,m/s,字符型,中国无人机产业发展联盟,http://www.uavchina.org,,
水下机器人,1.1,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,海洋与水文局,http://www.ocean.gov.cn,,
快递运输机器人,2.4,m/s,0.9,m/s,3.2,m/s,1.5,m/s,字符型,快递物流协会,http://www.expresslogistics.org,,
无人驾驶送餐机器人,2.0,m/s,0.8,m/s,2.5,m/s,1.1,m/s,字符型,餐饮服务机器人平台,http://www.diningrobot.org,,
农业机器人,1.5,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国农业科学院,https://www.caas.cn,,
安防机器人,2.0,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,公安部科技信息化局,https://www.mps.gov.cn,,
仓储机器人,3.0,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
配送无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.0,m/s,字符型,无人机产业协会,https://www.uav.org.cn,,
教育机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
