机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
消防机器人,火灾现场,12.0,米,14.5,米,1.1,米,22,消防技术与管理学会,https://www.firetech.org,,
物流机器人,配送中心,3.5,米,4.2,米,0.4,米,8,中国物流与采购联合会,http://www.clc.org.cn,,
家庭服务机器人,家庭客厅,2.0,米,2.5,米,0.1,米,5,消费电子协会,http://www.cec.org.cn,,
安防机器人,商业建筑,5.0,米,6.5,米,0.5,米,10,中国安全技术防范协会,http://www.spea.org.cn,,
海洋探测机器人,沿海水域,15.0,米,17.5,米,1.0,米,12,国家海洋局,http://www.soa.gov.cn,,
施工机器人,建筑工地,6.5,米,8.0,米,0.7,米,9,中国建筑协会,http://www.caaca.org.cn,,
消防机器人,火灾现场,7.1,米,8.3,米,0.5,米,14,中国消防协会,http://www.cfa.org.cn,,
宠物护理机器人,家庭花园,3.0,米,3.8,米,0.2,米,6,家庭科技协会,http://www.hhs.org.cn,,
煤矿作业机器人,矿井,10.0,米,12.0,米,1.5,米,20,中国矿业协会,http://www.cma.org.cn,,
公共卫生机器人,医院走廊,1.8,米,2.2,米,0.15,米,5,公共卫生研究所,http://www.phri.org.cn,,
自动驾驶巡逻机器人,城市公园,4.8,米,6.2,米,0.6,米,10,城市智能监控中心,http://www.citymonitor.org.cn,,
排污监测机器人,污水处理厂,9.5,米,11.2,米,0.4,米,15,环境保护部,http://www.mee.gov.cn,,
农业播种机器人,农田,8.0,米,9.5,米,0.7,米,18,中国农业部,http://www.moa.gov.cn,,
清洁机器人,办公室环境,2.2,米,3.0,米,0.2,米,5,清洁行业协会,http://www.clean.org.cn,,
紧急服务机器人,公共活动场所,3.5,米,4.0,米,0.4,米,6,公共安全研究机构,http://www.psri.org.cn,,
无人机配送机器人,城市住宅区,5.0,米,5.8,米,0.5,米,8,无人机行业协会,http://www.droneassociation.org.cn,,
巡逻机器人,商场内,4.5,米,5.1,米,0.3,米,8,商业协会,http://www.businessassociation.org.cn,,
医疗机器人,医院走廊,1.5,米,1.9,米,0.1,米,5,中国医疗科技协会,https://www.cmta.org.cn,,
农业机器人,田间作业,10.0,米,12.5,米,0.5,米,8,中国农业大学,https://www.cau.edu.cn,,
教育机器人,实验室,3.0,米,4.5,米,0.25,米,9,国家教育部,https://www.moe.gov.cn,,
服务机器人,餐厅,3.5,米,4.0,米,0.15,米,10,餐饮科技研究机构,https://www.cateringtech.org.cn,,
工业机器人,制造厂房,2.8,米,3.2,米,0.4,米,6,中国工业科技发展中心,https://www.cisdc.org.cn,,
救援机器人,山灾现场,8.0,米,9.5,米,1.0,米,22,紧急救援技术推广协会,https://www.erta.org.cn,,
移动机器人,购物中心,4.5,米,6.0,米,0.5,米,13,商业智能研究所,https://www.bri.org.cn,,
清洁机器人,办公室,2.2,米,3.0,米,0.3,米,7,智能清洁设备协会,https://www.icda.org.cn,,
安防机器人,商场入口,5.0,米,6.5,米,0.7,米,12,国家公共安全部,https://www.mps.gov.cn,,
物流机器人,配送中心,6.2,米,7.8,米,0.4,米,14,中国物流与采购联合会,https://www.cflp.org.cn,,
助老机器人,养老院,1.0,米,1.5,米,0.15,米,5,老年人服务技术协会,https://www.eldertech.org.cn,,
娱乐机器人,游乐园,4.0,米,5.0,米,0.2,米,9,休闲科技创新协会,https://www.recreationtech.org.cn,,
智能巡检机器人,电厂,6.8,米,8.5,米,0.5,米,15,电力设备自动化研究院,https://www.electricai.org.cn,,
家庭服务机器人,家庭客厅,2.0,米,2.5,米,0.1,米,4,家居科技中心,https://www.home-tech.org.cn,,
城市巡逻机器人,市政广场,7.0,米,8.5,米,0.6,米,10,城市管理局,https://www.citymanagement.gov.cn,,
协作机器人,多功能厂房,3.5,米,4.2,米,0.3,米,8,机械人技术联盟,https://www.robotictech.org.cn,,
导航机器人,机场大厅,5.5,米,7.0,米,0.4,米,11,中国民航局,https://www.caac.gov.cn,,
餐饮服务机器人,快餐店,2.8,米,3.4,米,0.2,米,7,食品科技协会,https://www.foodtech.org.cn,,
医疗机器人,养老院,1.5,米,1.9,米,0.25,米,5,老年护理技术研究中心,http://www.eldercaretech.org.cn,,
农业机器人,家庭农场,10.0,米,12.5,米,0.7,米,18,智慧农业研究院,http://www.smartagri.org.cn,,
教育机器人,大学实验室,3.0,米,4.2,米,0.3,米,8,高等教育技术协会,https://www.higheredtech.org,,
服务机器人,机场候机厅,6.0,米,8.2,米,0.4,米,9,国际航空运输协会,https://www.iata.org,,
工业机器人,汽车制造厂,3.8,米,4.5,米,0.5,米,10,中国机械工业联合会,http://www.cmif.org.cn,,
救援机器人,山洪灾害区域,8.0,米,9.5,米,1.2,米,25,中国民防协会,http://www.civildefense.cn,,
移动机器人,地下停车场,5.2,米,7.0,米,0.7,米,14,城市自动化实验室,http://www.urbanautomation.org,,
移动机器人,商业步行街,4.5,米,6.5,米,0.5,米,13,商业机器人开发联盟,http://www.robotbizdev.org.cn,,
清洁机器人,社区公园,2.2,米,3.0,米,0.1,米,5,环境机器人协会,http://www.envirobot.org.cn,,
医疗机器人,急救中心,1.0,米,1.5,米,0.2,米,3,中华医学会,https://www.cma.org.cn,,
农业机器人,播种田地,11.5,米,14.0,米,0.6,米,16,现代农业技术研究院,http://www.modernagri.org.cn,,
教育机器人,科学博物馆,4.0,米,5.0,米,0.4,米,8,博物馆教育协会,http://www.museumedu.org.cn,,
服务机器人,购物中心,7.5,米,9.0,米,0.5,米,12,中国零售商协会,http://www.chinanra.org.cn,,
工业机器人,电子组件工厂,3.1,米,3.9,米,0.25,米,9,电子产业发展联盟,http://www.electronics.org.cn,,
移动机器人,商业街区,4.8,米,5.8,米,0.4,米,12,机器人市场研究中心,http://www.robotmarketresearch.org,,
救援机器人,火灾现场,9.5,米,11.0,米,1.0,米,22,消防协会,http://www.fireassociation.org.cn,,
清洁机器人,办公室,2.0,米,2.5,米,0.1,米,4,智能家居科技协会,http://www.smarthome.org.cn,,
家庭机器人,家居环境,3.2,米,4.5,米,0.3,米,8,智能家居研究院,https://www.smart-home.org.cn,,
配送机器人,城市公园,7.1,米,9.4,米,0.5,米,10,城市配送协会,http://www.citydelivery.org.cn,,
采矿机器人,矿区,15.5,米,16.9,米,1.0,米,22,国家矿业局,http://www.nmc.gov.cn,,
清扫机器人,城市广场,2.0,米,3.0,米,0.2,米,5,城市清洁管理局,http://www.cityclean.org.cn,,
探测机器人,水下环境,20.0,米,25.6,米,1.5,米,18,海洋研究中心,https://www.oceanresearch.org.cn,,
物流机器人,仓储管理,10.0,米,12.0,米,0.7,米,12,物流技术协会,https://www.logistictech.org.cn,,
服务机器人,餐厅,4.5,米,5.8,米,0.4,米,9,餐饮科技协会,http://www.cateringtech.org.cn,,
安防机器人,商业中心,6.3,米,7.9,米,0.5,米,13,商业安全技术协会,https://www.securitytech.org.cn,,
农业机器人,农田,14.0,米,16.5,米,0.6,米,14,农业机器人联盟,http://www.agrirobotics.org.cn,,
巡逻机器人,社区,3.8,米,4.4,米,0.2,米,8,社区安全协会,http://www.communitysecurity.org.cn,,
配送机器人,医院,5.5,米,7.0,米,0.4,米,7,医院管理研究所,https://www.hospitalmanagement.org.cn,,
清洁机器人,机场,8.2,米,10.1,米,1.0,米,15,航空清洁技术中心,https://www.aircleantech.org.cn,,
教育机器人,大学讲堂,2.2,米,2.9,米,0.1,米,6,高等教育研究院,https://www.highereducation.org.cn,,
医疗机器人,康复医院,1.5,米,2.2,米,0.2,米,5,中国健康科技发展中心,https://www.healthtech.org.cn,,
探险机器人,山地探险,30.0,米,32.5,米,2.0,米,25,户外探险协会,https://www.outdooradventure.org.cn,,
农田播种机器人,农场,7.0,米,8.5,米,0.4,米,9,现代农业科学技术研究中心,https://www.modernagri.tech,,
货运机器人,配送中心,11.5,米,13.0,米,0.6,米,11,国际供应链管理协会,http://www.supplychain.org,,
配送机器人,城市步行街,3.2,米,4.0,米,0.5,米,9,京东科技研究院,https://www.jd.com,,
清扫机器人,大型商场,7.5,米,9.0,米,0.3,米,5,中国家电协会,https://www.ceac.org.cn,,
安防机器人,住宅小区,4.8,米,6.0,米,0.4,米,14,国家公共安全研究中心,http://www.npsrc.gov.cn,,
服务机器人,展览会场,2.9,米,4.2,米,0.1,米,8,中国产业展览协会,http://www.ciea.org.cn,,
美容机器人,美容院,1.5,米,2.0,米,0.2,米,3,中国美容行业协会,https://www.cba.org.cn,,
物流机器人,配送中心,5.6,米,7.3,米,0.7,米,12,全球物流咨询公司,http://www.global-logistics.com,,
教育机器人,培训中心,2.2,米,3.6,米,0.3,米,7,国家教师教育研究中心,http://www.nteedu.gov.cn,,
餐饮机器人,快餐店,3.0,米,3.8,米,0.4,米,6,中国餐饮行业协会,http://www.china-catering.org.cn,,
环境监测机器人,工地,10.8,米,12.5,米,1.2,米,18,国家环境保护局,http://www.epa.gov.cn,,
应急响应机器人,灾难现场,9.5,米,11.0,米,1.0,米,25,中国应急管理部,http://www.mem.gov.cn,,
无人机,农业田地,15.3,米,18.0,米,2.0,米,20,农业无人技术研究所,http://www.aurti.org,,
导航机器人,火车站,8.4,米,9.8,米,0.9,米,10,城市交通研究所,https://www.citytransport.org,,
测量机器人,建筑工地,14.0,米,16.5,米,1.5,米,17,工程测量协会,http://www.engineeringmeasurement.org,,
救助机器人,事故现场,4.1,米,5.0,米,0.6,米,8,紧急救援协会,http://www.emergencyrescue.org,,
机器人助手,家庭厨房,1.6,米,2.3,米,0.2,米,4,家庭机器人研究中心,http://www.home-robotics.cn,,
防疫机器人,公共场所,3.7,米,4.5,米,0.4,米,9,国家疾病预防控制中心,http://www.cdc.cn,,
巡逻机器人,商务大厦,8.0,米,10.0,米,0.7,米,11,国际安防协会,http://www.security-international.org,,
探索机器人,博物馆,5.5,米,7.0,米,0.5,米,6,文化遗产保护中心,http://www.culturalheritage.org,,
物流机器人,货物分拣中心,3.4,米,4.0,米,0.5,米,8,物流技术研究所,http://www.logistics-research.org,,
安保机器人,商业综合体,7.5,米,9.2,米,0.4,米,10,安防科技发展协会,http://www.securitech.org.cn,,
智能家居机器人,住宅区域,2.0,米,2.8,米,0.1,米,5,家庭智能科技中心,http://www.homeai.org.cn,,
仓储机器人,大型仓库,4.0,米,4.5,米,0.7,米,9,仓储及物流研究中心,http://www.warehouse-research.org.cn,,
清洁机器人,公共洗手间,1.7,米,2.1,米,0.15,米,2,清洁技术协会,http://www.cleaningtech.org.cn,,
送餐机器人,餐厅,3.2,米,4.1,米,0.6,米,6,餐饮机器人研究中心,http://www.diningrobotics.org.cn,,
导航机器人,室内博物馆,2.4,米,3.0,米,0.3,米,5,博物馆科技组织,http://www.museumtech.org.cn,,
娱乐机器人,主题公园,5.6,米,6.2,米,0.4,米,7,娱乐科技创新中心,http://www.entertainment-tech.org.cn,,
消防机器人,火灾现场,8.3,米,9.5,米,1.0,米,14,消防技术研究中心,http://www.firetech.org.cn,,
陪伴机器人,养老院,3.5,米,4.0,米,0.25,米,3,养老服务科技协会,http://www.eldercaretech.org.cn,,
科研机器人,实验室,2.9,米,3.4,米,0.2,米,1,科学研究院,http://www.scienceresearch.org.cn,,
物联网机器人,智能家居场景,2.1,米,2.5,米,0.2,米,4,物联网技术协会,http://www.iot.org.cn,,
救护机器人,临床急救,1.0,米,1.5,米,0.1,米,3,急救科技发展协会,http://www.emergencytech.org.cn,,
研究型机器人,大学实验室,3.8,米,4.2,米,0.35,米,6,大学科技研究中心,http://www.universitytech.org.cn,,
交互机器人,多功能大厅,4.3,米,5.0,米,0.5,米,10,交互技术开发协会,http://www.interactive-tech.org.cn,,
健康检测机器人,体检中心,1.5,米,2.0,米,0.1,米,3,健康科技协会,http://www.healthtech.org.cn,,
搬运机器人,工厂车间,4.7,米,5.5,米,0.7,米,8,制造业技术协会,http://www.manufacturingtech.org.cn,,
互动教育机器人,培训中心,2.7,米,3.3,米,0.25,米,5,教育机器人联盟,http://www.edurobotics.org.cn,,
环境监测机器人,城市公园,3.0,米,4.5,米,0.5,米,8,环境保护部,https://www.epa.gov.cn,,
物流机器人,配送中心,4.0,米,5.2,米,0.4,米,10,中国物流与采购联合会,https://www.clp.org.cn,,
清扫机器人,购物中心,2.5,米,3.3,米,0.2,米,6,中国清洁行业协会,https://www.cleaning.org.cn,,
建筑施工机器人,建筑工地,15.0,米,18.0,米,1.0,米,5,中国建筑联盟,https://www.chinaarchitecture.org.cn,,
水下机器人,海洋监测区域,8.0,米,10.5,米,0.75,米,12,中国海洋研究所,https://www.coi.gov.cn,,
健身辅助机器人,健身房,4.5,米,6.0,米,0.3,米,9,中国健身协会,https://www.chinagym.org.cn,,
探险机器人,山区探险,20.0,米,25.0,米,1.5,米,30,中国探险运动协会,https://www.exploration.org.cn,,
家居服务机器人,家庭环境,1.0,米,1.5,米,0.1,米,3,智能家居产业协会,https://www.smart-home.org.cn,,
运输机器人,机场货运区,10.0,米,12.5,米,0.6,米,14,中国民航局,https://www.caac.gov.cn,,
访客接待机器人,博物馆,3.5,米,4.8,米,0.2,米,7,国家博物馆,https://www.nm.gov.cn,,
旅行辅助机器人,旅游景点,2.0,米,2.5,米,0.15,米,5,全国旅游局,https://www.cnta.gov.cn,,
智能农业机器人,农田,7.5,米,9.0,米,0.4,米,11,农业科学研究院,https://www.nias.ac.cn,,
个人助理机器人,家庭办公室,1.5,米,2.0,米,0.08,米,4,家用机器人协会,https://www.homebot.org.cn,,
火灾救援机器人,火灾现场,6.0,米,7.8,米,0.5,米,15,国家消防局,https://www.cfs.gov.cn,,
安全监控机器人,大型活动场所,8.0,米,9.6,米,0.7,米,10,公共安全部,https://www.ps.gov.cn,,
智能娱乐机器人,娱乐场所,2.2,米,3.0,米,0.25,米,6,文化和旅游部,https://www.mct.gov.cn,,
智能监护机器人,养老院,3.0,米,4.0,米,0.35,米,9,民政部,https://www.mca.gov.cn,,
无人机监测机器人,农田监控,30.0,米,35.0,米,2.0,米,25,中国无人机协会,https://www.drones.org.cn,,
物流机器人,配送中心,3.1,米,4.0,米,0.5,米,10,国家物流协会,https://www.nla.org.cn,,
清扫机器人,商场,2.0,米,2.5,米,0.1,米,8,自动化清扫研究中心,http://www.cleanrobot.org,,
巡逻机器人,大学校园,1.5,米,2.0,米,0.2,米,5,校园安全研究所,https://www.campussecurity.org,,
救援机器人,地震现场,7.5,米,9.5,米,0.7,米,18,国际救援联盟,https://www.internationalrescue.org,,
研究机器人,实验室,0.8,米,1.0,米,0.05,米,3,科研发展协会,http://www.researchdev.org,,
医疗机器人,外科手术室,1.0,米,1.5,米,0.1,米,6,中国医院协会,https://www.chinahospital.org,,
农业机器人,农田,15.0,米,16.5,米,1.0,米,12,现代农业研究院,https://www.modernagri.org,,
教育机器人,学习中心,3.2,米,3.8,米,0.2,米,7,教育机器人协会,http://www.edurobotics.org,,
服务机器人,咖啡馆,4.2,米,5.0,米,0.3,米,9,餐饮服务研究中心,https://www.fnbresearch.org,,
移动机器人,机场,8.0,米,10.0,米,0.5,米,15,航空科技协会,https://www.aviationtech.org,,
工业机器人,制造车间,2.9,米,3.5,米,0.2,米,11,工业自动化研究中心,http://www.indautotech.org,,
防卫机器人,军事基地,10.5,米,12.0,米,0.4,米,14,国家国防科技局,https://www.defensetech.org,,
陪伴机器人,老人院,1.3,米,1.7,米,0.1,米,5,老龄化研究协会,https://www.agingresearch.org,,
娱乐机器人,游乐园,6.3,米,7.0,米,0.5,米,9,娱乐行业协会,http://www.entertainmentindex.org,,
监控机器人,工地,3.0,米,4.2,米,0.3,米,8,建设工程研究中心,https://www.constructionresearch.org,,
灾后评估机器人,灾后重建区,4.8,米,5.7,米,0.5,米,12,灾后重建协作组织,https://www.recoverycollaboration.org,,
配送机器人,城市街区,5.6,米,6.5,米,0.4,米,13,城市快递协会,https://www.citydelivery.org,,
医疗机器人,私人诊所,1.5,米,2.0,米,0.25,米,5,健康科技研究院,http://www.healthtech.org.cn,,
物流机器人,自动化仓库,3.2,米,3.8,米,0.4,米,8,智能物流研究所,http://www.smartlogistics.cn,,
农业机器人,农田,15.0,米,16.5,米,1.0,米,12,现代农业研究中心,http://www.modernagriculture.cn,,
清扫机器人,公共广场,2.5,米,3.0,米,0.15,米,6,环境清洁协会,http://www.ecleansolutions.cn,,
家庭服务机器人,家庭客厅,2.0,米,2.3,米,0.1,米,4,家居科技协会,http://www.homeautomation.cn,,
安全机器人,商业大厦,5.0,米,6.0,米,0.5,米,10,安保技术研究中心,http://www.securitytech.cn,,
救援机器人,山地救援,8.0,米,9.5,米,0.7,米,22,国际救援组织,http://www.intrescue.org,,
送餐机器人,学生宿舍,1.8,米,2.5,米,0.2,米,5,校园服务中心,http://www.campusservices.cn,,
服务机器人,购物中心,4.5,米,5.5,米,0.4,米,9,零售科技协会,http://www.retailtech.cn,,
教育机器人,图书馆,3.0,米,3.5,米,0.2,米,6,教育创新研究所,http://www.edinnovation.cn,,
救护机器人,大型活动现场,6.5,米,7.0,米,0.3,米,15,公共卫生研究中心,http://www.publichealth.cn,,
探险机器人,偏远地区,10.0,米,12.0,米,1.2,米,18,探险科技协会,http://www.explorationtech.cn,,
娱乐机器人,游乐园,2.2,米,3.1,米,0.15,米,8,娱乐科技研究所,http://www.entertainmenttech.cn,,
巡逻机器人,学校校园,4.2,米,5.0,米,0.3,米,10,校园安保研究中心,http://www.campussecurity.cn,,
工业机器人,生产线,2.5,米,3.2,米,0.2,米,7,智能制造发展中心,http://www.smartmanufacturing.cn,,
配送机器人,城市街道,7.0,米,8.5,米,0.5,米,11,城市配送协会,http://www.urbanlogistics.cn,,
服务机器人,养老院,3.0,米,3.5,米,0.2,米,5,老年服务研究中心,http://www.elderservice.cn,,
检测机器人,建筑工地,5.8,米,6.2,米,0.4,米,14,建筑安全研究所,http://www.constructionsafety.cn,,
服务机器人,机场登机口,3.0,米,4.5,米,0.4,米,8,中国民用航空局,http://www.caac.gov.cn,,
安防机器人,商场入口,2.0,米,2.6,米,0.1,米,9,中国安防协会,http://www.caa.org.cn,,
教育机器人,大学实验室,4.2,米,5.0,米,0.3,米,12,教育部科技司,http://www.moe.gov.cn,,
医疗机器人,手术室,1.5,米,2.0,米,0.1,米,5,中国医学科学院,https://www.cams.ac.cn,,
救援机器人,滑坡现场,10.0,米,11.5,米,0.7,米,25,中国地震局,http://www.csi.ac.cn,,
农业机器人,农田,15.5,米,17.3,米,1.0,米,20,农业农村部,http://www.moa.gov.cn,,
工业机器人,生产线,5.0,米,6.0,米,0.5,米,10,中国机器人产业协会,http://www.cria.org.cn,,
服务机器人,餐厅,3.7,米,4.6,米,0.3,米,6,中国餐饮业协会,http://www.cook.org.cn,,
物流机器人,配送中心,2.8,米,3.4,米,0.4,米,8,国家邮政局,http://www.spb.gov.cn,,
救援机器人,火灾现场,8.0,米,9.5,米,0.8,米,22,中国消防救援队,http://www.mps.gov.cn,,
安防机器人,停车场,4.5,米,5.5,米,0.5,米,14,国家保安公司,http://www.sec.gov.cn,,
农业机器人,果园,6.3,米,7.8,米,0.6,米,12,果蔬科技研究院,http://www.fruity.com.cn,,
教育机器人,图书馆,3.4,米,4.0,米,0.2,米,8,中国教育督导委员会,http://www.cdedu.gov.cn,,
移动机器人,医院走廊,2.1,米,2.7,米,0.2,米,9,中国医学研究院,http://www.cmra.cn,,
服务机器人,社区中心,5.2,米,6.1,米,0.4,米,10,中国社工协会,http://www.acsw.org.cn,,
工业机器人,汽车制造厂,7.2,米,8.0,米,0.6,米,15,中国汽车工业协会,http://www.caam.org.cn,,
救援机器人,楼房倒塌现场,12.0,米,13.5,米,1.0,米,30,紧急事务管理局,http://www.emergency.gov.cn,,
服务机器人,养老院,4.1,米,4.9,米,0.3,米,7,国家养老服务中心,http://www.nursing.gov.cn,,
配送机器人,购物中心,3.1,米,3.9,米,0.4,米,5,物流技术研究院,https://www.logistictech.org,,
巡逻机器人,企业园区,4.3,米,5.1,米,0.5,米,9,安全科技创新中心,https://www.safetytech.org.cn,,
清洁机器人,公共卫生间,2.0,米,2.8,米,0.2,米,3,智能清洁协会,https://www.smartclean.org,,
安防机器人,博物馆,3.5,米,4.8,米,0.4,米,6,文化保护研究中心,https://www.culturalprotection.org,,
服务机器人,医院候诊室,4.6,米,5.2,米,0.3,米,8,医疗服务科技中心,https://www.healthservice.org.cn,,
农业机器人,果园,10.5,米,12.3,米,0.7,米,14,现代农业科技发展中心,http://www.modernagri.gov.cn,,
教育机器人,图书馆,1.5,米,2.4,米,0.1,米,5,交互技术研究所,https://www.interactive-tech.org,,
娱乐机器人,游乐园,7.2,米,8.1,米,0.6,米,10,娱乐科技论坛,https://www.entertainmenttech.org,,
急救机器人,事故现场,6.1,米,7.0,米,0.8,米,15,应急管理局,https://www.emergency.gov.cn,,
移动机器人,商场走廊,5.2,米,6.3,米,0.4,米,7,商业运营协会,https://www.comoperative.org,,
物流机器人,配送中心,8.4,米,9.7,米,0.6,米,12,在线物流平台,https://www.onlinelogistics.org,,
扫地机器人,家居环境,2.0,米,3.5,米,0.3,米,4,家用电器协会,https://www.homeappliance.org.cn,,
装配机器人,自动化工厂,3.8,米,4.2,米,0.5,米,10,先进制造业研究所,https://www.advancedmanufacturing.org,,
液体搬运机器人,化工厂,9.8,米,11.0,米,1.0,米,20,化工研究院,https://www.chemicalresearch.org,,
康复机器人,康复护理中心,4.9,米,5.9,米,0.4,米,8,康复医学中心,https://www.rehabmed.org.cn,,
运输机器人,实验室,2.2,米,2.9,米,0.3,米,3,科学研究院,https://www.scienceresearch.org,,
服务机器人,养老院,3.6,米,4.4,米,0.2,米,7,老龄化研究中心,https://www.agingresearch.org,,
娱乐机器人,家庭派对,2.7,米,3.1,米,0.3,米,6,消费电子协会,https://www.consumerelectronics.org,,
智能清洁机器人,大型商场,3.5,米,4.2,米,0.4,米,5,智能家居技术研究院,https://www.smarttech.org.cn,,
安防机器人,银行大厅,2.1,米,2.8,米,0.5,米,3,中国安防协会,http://www.security.org.cn,,
物流机器人,快递中心,8.5,米,9.0,米,0.6,米,12,电子商务研究中心,https://www.ecommerce.org.cn,,
餐饮服务机器人,餐厅厨房,2.0,米,2.5,米,0.1,米,4,餐饮服务行业协会,http://www.restaurantassociation.org.cn,,
快速配送机器人,校园,0.5,米,0.7,米,0.05,米,2,高校智能技术研究中心,https://www.unitech.org.cn,,
智能导览机器人,博物馆,3.3,米,4.0,米,0.3,米,6,文化遗产保护中心,https://www.culturalheritage.org.cn,,
家庭护理机器人,老年人居家,1.0,米,2.5,米,0.2,米,5,老年人服务协会,https://www.elderservice.org.cn,,
消防救援机器人,高层建筑,15.0,米,16.5,米,1.0,米,18,国家消防协会,http://www.fireproperties.org.cn,,
无人机配送机器人,城市高空,20.0,米,22.0,米,1.5,米,30,中国无人机协会,https://www.uavassociation.cn,,
智能巡逻机器人,社区,5.0,米,6.0,米,0.7,米,10,社区安防管理平台,https://www.communitysecurity.org.cn,,
重型工业机器人,制造工厂,8.0,米,9.0,米,0.4,米,14,工业机器人协会,http://www.industryrobotics.org.cn,,
水下机器人,海洋勘探,12.0,米,13.5,米,0.9,米,16,海洋研究所,https://www.oceanicresearch.cn,,
大数据分析机器人,数据中心,4.0,米,4.8,米,0.2,米,8,大数据研究协作组,https://www.bigdata.org.cn,,
社交型机器人,公园,3.0,米,3.8,米,0.3,米,6,人机交互研究中心,https://www.humanrobotinteraction.org.cn,,
淮河流域监测机器人,污染监测,9.5,米,10.5,米,0.7,米,15,环境监测局,http://www.environmentalmonitor.com,,
语音助手机器人,家庭环境,1.0,米,1.5,米,0.1,米,3,智能家居协会,https://www.smart-home.org.cn,,
知情决策机器人,智能会议室,2.5,米,3.2,米,0.2,米,5,企业发展研究中心,https://www.busdev.org.cn,,
安防机器人,购物中心,3.2,米,4.0,米,0.5,米,8,安防科技研究院,http://www.securitytech.org.cn,,
配送机器人,居民区,4.1,米,5.5,米,0.7,米,10,智能物流协会,https://www.smartlogistics.org.cn,,
自动驾驶汽车,城市交叉口,8.2,米,9.0,米,1.0,米,12,城市交通科技中心,http://www.urbantransit.org.cn,,
服务机器人,机场候机厅,2.9,米,3.2,米,0.3,米,5,空港服务研究所,https://www.airportservice.org.cn,,
农业机器人,果园,15.0,米,16.5,米,1.2,米,20,现代农业开发中心,http://www.modernagriculture.org.cn,,
工业机器人,制造车间,3.7,米,4.5,米,0.4,米,9,智能制造研究院,http://www.smartmanufacturing.org.cn,,
教育机器人,在线课堂,2.2,米,2.9,米,0.1,米,3,在线教育研究中心,https://www.onlineeducation.org.cn,,
清洁机器人,办公室,1.8,米,2.2,米,0.2,米,4,环境科技研究院,http://www.environmentaltech.org.cn,,
搬运机器人,物流配送中心,5.0,米,6.0,米,0.5,米,11,国家物流发展中心,http://www.nationallogistics.org.cn,,
娱乐机器人,家庭,1.5,米,2.0,米,0.1,米,3,智能娱乐研究院,http://www.smartentertainment.org.cn,,
服务机器人,医院病房,3.8,米,4.3,米,0.3,米,6,医疗机器人研究中心,http://www.healthcarerobotics.org.cn,,
探测机器人,高危区域,10.1,米,11.5,米,0.8,米,18,安全科技开发研究中心,http://www.safetytech.org.cn,,
巡检机器人,电力设施,7.4,米,8.5,米,0.6,米,14,电网智能化研究中心,http://www.gridtech.org.cn,,
清洁机器人,学校操场,2.0,米,2.5,米,0.4,米,4,校园环境管理研究所,http://www.campusenv.org.cn,,
医疗机器人,手术室,1.6,米,2.0,米,0.2,米,5,高科技医疗研究院,http://www.hightechmedicine.org.cn,,
康复机器人,老年护理中心,3.6,米,4.8,米,0.6,米,7,老龄化社会研究中心,http://www.agingresearch.org.cn,,
清扫机器人,大型商场,3.0,米,3.8,米,0.4,米,5,商业清洁科技协会,http://www.commercialclean.org.cn,,
医疗机器人,医院急诊室,1.0,米,1.5,米,0.2,米,5,国家医疗机器人研究所,http://www.nmrri.gov.cn,,
农业机器人,果园,10.5,米,11.5,米,0.7,米,12,中国农业科学院,http://www.caas.cn,,
教育机器人,培训中心,3.0,米,4.0,米,0.3,米,8,智能教育发展中心,https://www.smartedu.cn,,
服务机器人,商场,4.5,米,6.0,米,0.4,米,9,中国服务机器人研究院,http://www.csrri.cn,,
工业机器人,制造车间,2.2,米,2.8,米,0.2,米,6,国际工业机器人协会,http://www.iira.org,,
救援机器人,地震灾后重建,8.2,米,9.5,米,1.0,米,22,中国地震局,http://www.csi.edu.cn,,
移动机器人,机场,5.2,米,6.8,米,0.5,米,10,航空科技发展中心,http://www.aerospace.org,,
移动机器人,滨海步道,6.8,米,8.5,米,0.4,米,13,海洋科技研究中心,http://www.oceanresearch.org,,
医疗机器人,养老院,1.5,米,2.0,米,0.1,米,4,国家老年科学研究院,http://www.nasi.org.cn,,
移动机器人,城市公园,7.5,米,9.0,米,0.7,米,11,城市智能交通研究中心,https://www.citysmarttraffic.org.cn,,
工业机器人,电力站,3.1,米,3.7,米,0.2,米,5,国家能源局,http://www.nea.gov.cn,,
农业机器人,温室大棚,11.0,米,12.0,米,0.5,米,14,现代农业科技协会,http://www.modernagri.org.cn,,
教育机器人,科技博物馆,4.0,米,5.0,米,0.3,米,6,中国科技馆,http://www.cstm.org.cn,,
救援机器人,洪水受灾地区,9.5,米,11.0,米,0.8,米,18,中国应急管理部,http://www.mem.gov.cn,,
服务机器人,餐厅,3.8,米,4.5,米,0.5,米,8,中国饮食服务协会,http://www.culinaryservice.org.cn,,
移动机器人,商业区域,5.9,米,7.0,米,0.4,米,12,数字经济研究所,http://www.digital-economy.org.cn,,
工业机器人,汽车制造厂,2.8,米,3.6,米,0.4,米,9,中国汽车工程学会,http://www.cae.org.cn,,
医疗机器人,养老院,1.3,米,1.6,米,0.25,米,5,中山大学附属医院,http://www.zsuh.com,,
农业机器人,果园,10.5,米,12.2,米,0.6,米,14,农业农村部,http://www.moa.gov.cn,,
