设备类型,设备名称,可允许误差,单位,控制自由度,运动精确度,单位.1,施加推力,单位.2,数据类型,采集来源,来源链接,采集时间,备注
服务机器人,教育机器人,0.7,mm,5,±0.2,mm,18,N,字符型,教育部科技发展中心,https://www.moe.gov.cn,,
工厂自动化机器人,智能组装机器人,0.1,mm,6,±0.05,mm,55,N,字符型,工信部智能制造推进中心,https://www.miit.gov.cn,,
六轴机械手,MOTOMAN GP Series,0.2,mm,6,±0.07,mm,80,N,字符型,日本法规与标准协会,https://www.japan-standards.org,,
特种机器人,探索月球的机器人,5.0,mm,6,±1.5,mm,100,N,字符型,中国空间技术研究院,https://www.casc.cas.cn,,
自主机器人,清扫机器人,1.2,mm,4,±0.6,mm,35,N,字符型,中国清扫机器人协会,https://www.chinacleanrobot.org,,
服务机器人,送餐机器人,1.0,mm,6,±0.5,mm,25,N,字符型,中国服务机器人产业联盟,https://www.csria.org.cn,,
特种机器人,海洋勘探机器人,2.0,mm,5,±1.0,mm,150,N,字符型,海洋研究所,https://www.oceanresearch.org,,
并联机械手,高速Parallel机器人,0.2,mm,3,±0.02,mm,60,N,字符型,上海自动化工程协会,https://www.sae.org.cn,,
SCARA机器人,灵活SCARA,0.05,mm,4,±0.03,mm,45,N,字符型,国际机器人协会,https://www.ifr.org,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.05,mm,55,N,字符型,瑞士ABB公司,https://global.abb,,
服务机器人,清洁机器人,1.2,mm,4,±0.6,mm,20,N,字符型,中国机器人网,https://www.roboticschina.com,,
特种机器人,安防巡检机器人,1.8,mm,5,±0.7,mm,90,N,字符型,全国安防协会,https://www.security.org.cn,,
并联机械手,Zhejiang Delta机器人,0.25,mm,3,±0.1,mm,42,N,字符型,浙江省机械工程协会,https://www.zjme.org,,
SCARA机器人,国产SCARA,0.07,mm,4,±0.03,mm,38,N,字符型,电子科技大学机器人实验室,http://www.uestc.edu.cn,,
六轴机械手,安川Yaskawa Motoman,0.1,mm,6,±0.04,mm,48,N,字符型,日本安川电机,https://www.yaskawa.co.jp,,
服务机器人,迎宾机器人,0.6,mm,6,±0.3,mm,15,N,字符型,机器人行业发展报告,https://www.roboticsreport.com,,
特种机器人,火灾救援机器人,2.5,mm,4,±1.5,mm,100,N,字符型,消防机器人研究所,https://www.firerobotics.org,,
并联机械手,Ultra Delta机械手,0.15,mm,3,±0.01,mm,75,N,字符型,机器人科技创新中心,https://www.robotinnovation.org,,
SCARA机器人,Kawasaki SCARA,0.09,mm,4,±0.02,mm,50,N,字符型,川崎重工业公司,https://www.khi.co.jp,,
六轴机械手,Fanuc M-20iA,0.2,mm,6,±0.05,mm,70,N,字符型,富士通技术研究所,https://www.fujitsu.com,,
服务机器人,信息咨询机器人,0.7,mm,5,±0.4,mm,18,N,字符型,中国智能服务机器人技术博览会,https://www.ismtech.com.cn,,
特种机器人,救援机器人,2.2,mm,4,±1.0,mm,85,N,字符型,紧急响应机器人协会,https://www.era.org.cn,,
并联机械手,高效Deltas机器人,0.18,mm,3,±0.05,mm,65,N,字符型,现代制造工程协会,https://www.mf-engineering.org,,
SCARA机器人,FANUC SR-3iA,0.04,mm,4,±0.01,mm,52,N,字符型,FANUC公司,https://www.fanuc.com,,
服务机器人,送餐机器人,1.0,mm,6,±0.5,mm,15,N,字符型,中国服务机器人协会,https://www.csra.org.cn,,
特种机器人,海洋监测无人机,2.0,mm,5,±0.3,mm,80,N,字符型,中国海洋局,https://www.soa.gov.cn,,
并联机械手,高精度Parallel Robot,0.2,mm,3,±0.05,mm,60,N,字符型,国际机械工程学会,https://www.asme.org,,
SCARA机器人,MOTOMAN SCARA,0.15,mm,4,±0.1,mm,32,N,字符型,日本机器人联盟,https://www.jara.jp,,
六轴机械手,FANUC LR Mate 200iD,0.1,mm,6,±0.03,mm,38,N,字符型,福克斯机器人应用研究中心,https://www.fanuc.com,,
移动机器人,自主物流机器人,1.2,mm,4,±0.7,mm,25,N,字符型,工业界智能物流论坛,https://www.industrial-logistics.com,,
特种机器人,救援机器人,1.8,mm,5,±0.6,mm,90,N,字符型,国际救援机器人组织,https://www.irescue.org,,
人形机器人,Atlas人形机器人,0.5,mm,6,±0.2,mm,85,N,字符型,波士顿动力公司,https://www.bostondynamics.com,,
农业机器人,自动收割机器人,1.5,mm,4,±0.9,mm,22,N,字符型,全球农业机器人论坛,https://www.agrobotics.org,,
服务机器人,家庭清洁机器人,0.75,mm,5,±0.4,mm,20,N,字符型,国家机器人研究中心,https://www.roboticsresearch.org,,
医疗机器人,远程手术机器人,0.05,mm,6,±0.02,mm,60,N,字符型,国际医疗机器人协会,https://www.ismra.org,,
特种机器人,拆解机器人,1.2,mm,3,±0.6,mm,70,N,字符型,污染控制科技协会,https://www.pcta.org,,
六轴机械手,ABB IRB 6700,0.03,mm,6,±0.01,mm,40,N,字符型,瑞士ABB集团,https://global.abb,,
移动机器人,室内安保机器人,0.9,mm,5,±0.4,mm,30,N,字符型,安保机器人应用研究所,https://www.securityrobotics.org,,
特种机器人,夜间侦察机器人,2.1,mm,4,±0.8,mm,50,N,字符型,国际防务科技中心,https://www.idtechex.com,,
工业自动化,组装机器人,0.12,mm,6,±0.05,mm,45,N,字符型,中国自动化学会,https://www.ca.org.cn,,
人工智能机器人,对话式AI机器人,0.2,mm,4,±0.1,mm,15,N,字符型,人工智能学会,https://www.aai.org.cn,,
服务机器人,智能助手机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国机器人产业联盟,https://www.cra.org.cn,,
特种机器人,地面探测无人机,2.0,mm,5,±1.0,mm,85,N,字符型,中国科学院,https://www.cas.cn,,
并联机械手,高速Pick-and-Place机器人,0.25,mm,3,±0.05,mm,60,N,字符型,机器人与自动化机构,https://www.raai.org.cn,,
SCARA机器人,KR SCARA机器人,0.06,mm,4,±0.06,mm,50,N,字符型,日本自动化协会,https://www.jaas.org,,
六轴机械手,FANUC LR Mate 200iD,0.1,mm,6,±0.03,mm,25,N,字符型,国际机器人联合会,https://www.ifr.org,,
服务机器人,健康护理机器人,0.4,mm,5,±0.15,mm,20,N,字符型,全球健康技术论坛,https://www.ghtf.org,,
特种机器人,精密喷涂机器人,0.2,mm,4,±0.05,mm,30,N,字符型,国家制造业发展促进中心,https://www.nmpc.org.cn,,
并联机械手,异形产品组装机器人,0.15,mm,3,±0.1,mm,70,N,字符型,亚洲自动化技术协会,https://www.aatia.org,,
SCARA机器人,Universal Robots UR3,0.08,mm,6,±0.03,mm,45,N,字符型,丹麦机器人协会,https://www.universal-robots.com,,
六轴机械手,ABB IRB 6700,0.09,mm,6,±0.04,mm,90,N,字符型,瑞士自动化协会,https://www.swiss-automation.ch,,
服务机器人,食堂送餐机器人,0.7,mm,4,±0.3,mm,25,N,字符型,全国餐饮服务科技协会,https://www.cateringtech.org,,
特种机器人,海底探测机器人,1.8,mm,5,±0.75,mm,65,N,字符型,国际海洋科技协会,https://www.iomsa.org,,
并联机械手,高速包装机器人,0.2,mm,3,±0.06,mm,80,N,字符型,快递与物流科技促进会,https://www.expresslogistics.org,,
SCARA机器人,Mitsubishi RV-6SL,0.07,mm,5,±0.05,mm,40,N,字符型,日本机器人技术研究所,https://www.jrri.org,,
六轴机械手,Yaskawa Motoman,0.11,mm,6,±0.05,mm,75,N,字符型,机器人研究国际组织,https://www.iri.org,,
服务机器人,酒吧调酒机器人,0.9,mm,4,±0.2,mm,15,N,字符型,国际酒吧与餐饮协会,https://www.ibacca.org,,
特种机器人,森林监测无人机,2.5,mm,5,±1.2,mm,50,N,字符型,国际生态与环境保护组织,https://www.iept.org,,
服务机器人,清洗机器人,0.7,mm,5,±0.3,mm,25,N,字符型,国际机器人联合会,https://www.ifr.org,,
特种机器人,打磨机器人,1.0,mm,6,±0.15,mm,60,N,字符型,德国自动化行业协会,https://www.zvei.org,,
并联机械手,怪兽机器人,0.25,mm,3,±0.06,mm,30,N,字符型,机器人制造与应用协会,https://www.robotics.org,,
SCARA机器人,富士 SCARA,0.09,mm,4,±0.1,mm,45,N,字符型,日本机器人协会,https://www.jara.jp,,
六轴机械手,ABB IRB 6700,0.14,mm,6,±0.03,mm,50,N,字符型,瑞士机器人技术协会,https://www.robotics.ch,,
服务机器人,送餐机器人,1.2,mm,6,±0.5,mm,15,N,字符型,中国服务机器人协会,https://www.robotserv.org,,
并联机械手,高精度运动平台,0.05,mm,3,±0.01,mm,80,N,字符型,中国机械工程学会,https://www.cmes.org,,
特种机器人,海底探测机器人,2.0,mm,6,±0.4,mm,100,N,字符型,国际水下机器人联盟,https://www.uwrc.org,,
SCARA机器人,FANUC SCARA,0.07,mm,4,±0.05,mm,30,N,字符型,美国机器人制造协会,https://www.ria.org,,
六轴机械手,发那科 M-20iA,0.3,mm,6,±0.02,mm,46,N,字符型,日本产业机器人协会,https://www.jirsa.org,,
服务机器人,护理机器人,1.0,mm,5,±0.3,mm,20,N,字符型,全球健康机器人研究中心,https://www.ghrobotics.org,,
特种机器人,喷涂机器人,0.9,mm,5,±0.2,mm,70,N,字符型,中国喷涂技术协会,https://www.coating.org.cn,,
并联机械手,运动控制平台,0.2,mm,3,±0.03,mm,60,N,字符型,国际运动控制技术协会,https://www.icct.org,,
SCARA机器人,Kawasaki SCARA,0.15,mm,4,±0.1,mm,55,N,字符型,韩国机器人技术协会,https://www.kira.or.kr,,
六轴机械手,UR-10,0.11,mm,6,±0.04,mm,45,N,字符型,丹麦机器人协会,https://www.universal-robots.com,,
服务机器人,清洁服务机器人,0.5,mm,6,±0.2,mm,22,N,字符型,中国清洁行业协会,https://www.cleaning.org.cn,,
特种机器人,农业机器人,1.3,mm,5,±0.6,mm,75,N,字符型,国际农业机器人协会,https://www.iarobot.org,,
并联机械手,高速冲压机器人,0.1,mm,3,±0.02,mm,90,N,字符型,自动化冲压与成形协会,https://www.stampingtech.org,,
服务机器人,智能养老助手,1.2,mm,6,±0.5,mm,15,N,字符型,中国老龄化研究中心,https://www.aged-research.cn,,
工业机器人,机器人焊接臂,0.2,mm,6,±0.01,mm,90,N,字符型,国际机器人联合会,https://www.ifr.org,,
特种机器人,矿用探测机器人,2.0,mm,3,±0.7,mm,50,N,字符型,中国矿业大学,https://www.cumt.edu.cn,,
并联机械手,柔性装配机器人,0.15,mm,3,±0.03,mm,45,N,字符型,广东省机器人技术研究院,https://www.grtr.org,,
多功能移动机器人,室内服务机器人,0.5,mm,4,±0.25,mm,30,N,字符型,中国智能服务机器人协会,https://www.csrv.org,,
六轴机械手,Fanuc M-20iA,0.08,mm,6,±0.02,mm,60,N,字符型,日本机器人协会,https://www.jara.or.jp,,
SCARA机器人,安川SCARA,0.1,mm,4,±0.05,mm,25,N,字符型,东京科技大学,https://www.titech.ac.jp,,
服务机器人,无人配送机器人,1.0,mm,3,±0.4,mm,20,N,字符型,中国电子商务研究中心,https://www.100ec.cn,,
特种机器人,消防救援机器人,0.5,mm,5,±0.3,mm,80,N,字符型,中国消防协会,https://www.cfa.gov.cn,,
物料搬运机器人,自动化仓储机器人,1.5,mm,3,±0.6,mm,55,N,字符型,中国物流与采购联合会,https://www.cflp.org.cn,,
并联机械手,医疗手术机器人,0.05,mm,5,±0.01,mm,70,N,字符型,中国医疗器械行业协会,https://www.cmeia.org,,
六轴机械手,ABB IRB 6700,0.14,mm,6,±0.04,mm,75,N,字符型,瑞士电气工程师协会,https://www.sbc.ch,,
服务机器人,食品制作服务机器人,0.6,mm,4,±0.2,mm,40,N,字符型,中国食品科学技术协会,https://www.cfst.org.cn,,
特种机器人,环境监测无人机,1.3,mm,4,±0.6,mm,65,N,字符型,生态环境部,https://www.mee.gov.cn,,
并联机械手,高速装配机器人,0.07,mm,3,±0.02,mm,50,N,字符型,工业和信息化部,https://www.miit.gov.cn,,
SCARA机器人,Kawasaki SCARA,0.2,mm,4,±0.06,mm,32,N,字符型,日本机械工业会,https://www.jmia.or.jp,,
多功能移动机器人,智能医疗运输机器人,0.9,mm,4,±0.3,mm,20,N,字符型,国际智能医疗协会,https://www.i-hma.org,,
服务机器人,智能陪伴机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国人工智能协会,https://www.caiic.org,,
特种机器人,水下机器人,2.0,mm,6,±1.0,mm,90,N,字符型,中国海洋工程协会,https://www.cmec.org.cn,,
并联机械手,高精度智能搬运机器人,0.25,mm,4,±0.05,mm,42,N,字符型,国际机械自动化协会,https://www.ifm.org,,
SCARA机器人,安川SCARA,0.2,mm,6,±0.08,mm,50,N,字符型,亚洲机器人研究中心,https://www.arcresearch.net,,
六轴机械手,FANUC LR Mate,0.1,mm,6,±0.03,mm,30,N,字符型,日本机械工程联盟,https://www.jmema.or.jp,,
服务机器人,接待服务机器人,0.7,mm,5,±0.5,mm,20,N,字符型,全球服务机器人协会,https://www.servicerobotics.org,,
特种机器人,农业无人驾驶机器人,1.8,mm,3,±0.7,mm,85,N,字符型,中国农业技术协会,https://www.caat.org.cn,,
并联机械手,精密装配机器人,0.2,mm,4,±0.06,mm,38,N,字符型,欧洲机械手协会,https://www.euromec.org,,
SCARA机器人,安川YAMAHA SCARA,0.15,mm,4,±0.04,mm,45,N,字符型,南美洲机器人技术协会,https://www.sarlati.org,,
六轴机械手,安川MOTOMAN,0.09,mm,6,±0.02,mm,55,N,字符型,机器人产业发展联盟,https://www.ricom.org,,
服务机器人,餐饮服务机器人,1.0,mm,5,±0.6,mm,30,N,字符型,国际服务机器人研究院,https://www.isri.org,,
特种机器人,博物馆安检机器人,2.5,mm,4,±0.9,mm,80,N,字符型,文化遗产保护中心,https://www.heritage.org,,
并联机械手,裁剪夹持机器人,0.5,mm,3,±0.12,mm,60,N,字符型,国际服装科技协会,https://www.iast.org,,
SCARA机器人,德马吉SCARA,0.11,mm,4,±0.05,mm,25,N,字符型,德国机器人工业协会,https://www.robotik.org,,
六轴机械手,ABB IRB系列,0.14,mm,6,±0.03,mm,70,N,字符型,瑞士机器人技术协会,https://www.szt.org,,
服务机器人,医院护理机器人,0.6,mm,7,±0.4,mm,12,N,字符型,国际医疗机器人研究协会,https://www.imra.org,,
特种机器人,废物处理机器人,2.2,mm,5,±1.0,mm,75,N,字符型,环境保护部,https://www.epa.gov,,
自动化装配机器人,Universal Robots UR10,0.15,mm,6,±0.05,mm,60,N,字符型,国际机器人联合会,https://ifr.org,,
教育机器人,LittleArm V2,1.0,mm,5,±0.2,mm,15,N,字符型,教育机器人生态协会,https://educationrobotics.org,,
焊接机器人,Fanuc ARC Mate,0.2,mm,6,±0.1,mm,75,N,字符型,国际焊接技术协会,https://www.iwelding.org,,
AGV机器人,米尔克智能AGV,3.0,mm,3,±1.0,mm,100,N,字符型,中国物流与采购网,https://www.chinawlp.org,,
食物配送机器人,Starship Technologies,2.5,mm,4,±0.6,mm,20,N,字符型,全球配送机器人协会,https://www.robotdelivery.org,,
搬运机器人,KUKA KMP 1500,0.5,mm,3,±0.3,mm,80,N,字符型,德国机器人技术协会,https://www.robotics-germany.org,,
服务机器人,SoftBank Pepper,1.2,mm,20,±0.5,mm,10,N,字符型,软银科技公司,https://www.softbankrobotics.com,,
医疗机器人,达芬奇手术机器人,0.02,mm,7,±0.01,mm,25,N,字符型,美国医疗机器人协会,https://www.americamr.org,,
家居机器人,iRobot Roomba,0.8,mm,4,±0.3,mm,30,N,字符型,全球家电协会,https://www.appliance.org,,
农业机器人,Agrobot,1.8,mm,3,±0.9,mm,65,N,字符型,国际农业科技组织,https://www.agtech.org,,
清洁机器人,Dyson 360 Eye,0.5,mm,4,±0.2,mm,12,N,字符型,英国机械工程协会,https://www.imeche.org,,
无人驾驶运输机器人,Waymo Via,1.1,mm,4,±0.4,mm,90,N,字符型,Waymo公司,https://waymo.com,,
人形机器人,Boston Dynamics Atlas,0.05,mm,28,±0.02,mm,45,N,字符型,波士顿动力公司,https://www.bostondynamics.com,,
制造机器人,ABB IRB 6700,0.09,mm,6,±0.04,mm,85,N,字符型,ABB公司,https://global.abb,,
清扫机器人,Ecovacs Deebot,0.7,mm,4,±0.5,mm,20,N,字符型,中国家用电器协会,https://www.capa.org.cn,,
卫星监测机器人,PlanetScope,2.0,mm,3,±1.0,mm,50,N,字符型,NASA地球观察组织,https://earthobserving.nasa.gov,,
清洗机器人,Carpet Cleaner Robot,1.5,mm,4,±0.6,mm,25,N,字符型,清洁与保养机器人协会,https://cleaningrobots.org,,
消防机器人,FireBot,0.1,mm,6,±0.03,mm,70,N,字符型,国际消防安全组织,https://firesafety.org,,
协作机器人,UR3e,0.15,mm,6,±0.05,mm,30,N,字符型,国际机器人联合会,https://www.ifr.org,,
物流机器人,MiR200,2.0,mm,3,±1.0,mm,50,N,字符型,丹麦自动化协会,https://www.danishautomationsystems.dk,,
自动化装配机器人,FANUC LR Mate 200iD,0.2,mm,6,±0.02,mm,25,N,字符型,日本机械制造协会,https://www.jmda.or.jp,,
清洗机器人,Iris,1.0,mm,2,±0.3,mm,15,N,字符型,欧洲清洁机器人协会,https://www.cleaningrobot.org,,
喷涂机器人,ABB IRB 6700,0.1,mm,6,±0.06,mm,60,N,字符型,瑞士机器人技术中心,https://www.robotics.ch,,
医学机器人,Da Vinci Surgical System,0.5,mm,7,±0.1,mm,100,N,字符型,国际医疗设备协会,https://www.imeasy.org,,
森林机器人,Feller Buncher,3.0,mm,5,±1.0,mm,120,N,字符型,全球农业机器人联盟,https://www.agrirobotics.org,,
救援机器人,PackBot,2.5,mm,4,±0.75,mm,45,N,字符型,国际救援机器人协会,https://www.rescue-robotics.org,,
建筑机器人,Hadrian X,1.0,mm,6,±0.2,mm,80,N,字符型,国际建筑机器人协会,https://www.buildrobotics.org,,
农业机器人,Autonomous Tractor,1.8,mm,4,±0.4,mm,55,N,字符型,国际农机化协会,https://www.aims.org,,
教育机器人,MBot Ranger,2.0,mm,3,±0.6,mm,20,N,字符型,机器人教育协会,https://www.roboticseducation.org,,
工业变形机器人,Kawasaki Zephyr,0.9,mm,6,±0.3,mm,75,N,字符型,亚洲智能制造联盟,https://www.asiaim.org,,
焊接机器人,Yaskawa Motoman,0.2,mm,6,±0.1,mm,90,N,字符型,焊接机器人技术协会,https://www.weldingrobotics.org,,
矿业机器人,Robotic Drill,2.5,mm,3,±0.5,mm,110,N,字符型,国际矿业机器人联盟,https://www.miningrobotics.org,,
送餐机器人,Serve Robot,1.2,mm,2,±0.6,mm,10,N,字符型,餐饮服务机器人协会,https://www.servicerobotics.org,,
织物处理机器人,Textile Robot,0.7,mm,5,±0.1,mm,65,N,字符型,全球纺织机器人协会,https://www.textilerobotics.org,,
表面处理机器人,Adept SmartController,0.3,mm,4,±0.15,mm,50,N,字符型,国际材料处理机器人协会,https://www.materialsrobotics.org,,
服务机器人,陪伴机器人,0.5,mm,6,±0.3,mm,15,N,字符型,中国人工智能研究院,https://www.craai.org,,
工业机器人,焊接机器人,0.4,mm,6,±0.2,mm,65,N,字符型,国际机器人联合会,https://www.ifr.org,,
特种机器人,水下探索机器人,2.0,mm,7,±0.6,mm,120,N,字符型,深海探索技术公司,https://www.deeptech.com,,
并联机械手,高速Pick and Place机器人,0.2,mm,4,±0.05,mm,80,N,字符型,中国制造2025委员会,https://www.cm2025.gov.cn,,
SCARA机器人,OMRON SCARA,0.15,mm,4,±0.07,mm,28,N,字符型,全球机器人产业联盟,https://www.giria.org,,
六轴机械手,FANUC M-20iA,0.1,mm,6,±0.03,mm,60,N,字符型,日本机器人协会,https://www.jara.jp,,
服务机器人,送餐机器人,0.7,mm,5,±0.4,mm,20,N,字符型,移动机器人技术协会,https://www.mrta.org,,
特种机器人,农业无人机,1.2,mm,3,±0.5,mm,50,N,字符型,中国农业科技协会,https://www.caas.org.cn,,
并联机械手,重载Delta机器人,0.25,mm,3,±0.1,mm,90,N,字符型,自动化与机器人技术中心,https://www.artc.org,,
SCARA机器人,MITSUBISHI SCARA,0.08,mm,4,±0.06,mm,30,N,字符型,亚洲机器人研究所,https://www.arri.org,,
六轴机械手,ABB IRB 6700,0.2,mm,6,±0.1,mm,75,N,字符型,瑞士机械工程协会,https://www.swissmech.org,,
服务机器人,医疗辅助机器人,0.9,mm,5,±0.3,mm,12,N,字符型,世界机器人大会,https://www.worldrobotics.org,,
特种机器人,火灾救援机器人,1.0,mm,6,±0.4,mm,85,N,字符型,消防科技协会,https://www.firetech.org,,
并联机械手,精密贴片机器人,0.05,mm,2,±0.02,mm,45,N,字符型,电子制造协会,https://www.emsa.org,,
SCARA机器人,KAWADA SCARA,0.09,mm,4,±0.04,mm,36,N,字符型,日本机器人技术研究所,https://www.jrri.or.jp,,
六轴机械手,YASKAWA GP8,0.3,mm,6,±0.05,mm,55,N,字符型,机器人技术与应用技术协会,https://www.rtaa.org,,
服务机器人,高风险环境机器人,1.1,mm,5,±0.55,mm,18,N,字符型,高风险环境机器人研究所,https://www.hazardsrobotics.org,,
特种机器人,灾后恢复机器人,0.8,mm,6,±0.3,mm,110,N,字符型,灾害管理与机器人技术中心,https://www.dmrtc.org,,
服务机器人,送餐机器人,0.5,mm,6,±0.2,mm,12,N,字符型,中国智能科技协会,https://www.csti.org.cn,,
仿生机器人,四足机器人,1.0,mm,12,±0.3,mm,45,N,字符型,中国科学院自动化研究所,https://www.ia.cas.cn,,
协作机器人,UR3e,0.05,mm,6,±0.02,mm,20,N,字符型,国际机器人联合会,https://www.ifr.org,,
移动车辆,墨尔本物流机器人,1.2,mm,4,±0.7,mm,80,N,字符型,澳大利亚机器人协会,https://www.robotics.org.au,,
特种机器人,水下探测机器人,2.0,mm,6,±1.0,mm,50,N,字符型,深海科技研究所,https://www.deepsearesearch.org,,
工业机器人,Fanuc M-20iA,0.15,mm,6,±0.05,mm,65,N,字符型,日本机器人制造商协会,https://www.jrmia.org,,
服务机器人,医学现象机器人,0.4,mm,7,±0.15,mm,25,N,字符型,全国医学机器人技术研究中心,https://www.medicalrobotics.cn,,
六轴机械手,ABB IRB 6700,0.1,mm,6,±0.07,mm,60,N,字符型,瑞士电气工程协会,https://www.sees.ch,,
仿生机器人,鱼型游动机器人,1.5,mm,8,±0.5,mm,30,N,字符型,国际水下机器人协会,https://www.aquaticrobots.org,,
特种机器人,火灾救援机器人,2.5,mm,5,±1.2,mm,40,N,字符型,消防科技研究所,https://www.firetech.org,,
移动机器人,仓储搬运机器人,0.8,mm,4,±0.6,mm,55,N,字符型,全球物流与运输协会,https://www.globallogistics.org,,
工业机器人,KUKA LBR iiwa,0.12,mm,7,±0.03,mm,35,N,字符型,德国自动化和机器人协会,https://www.vdma.org,,
服务机器人,信息接待机器人,0.4,mm,3,±0.2,mm,15,N,字符型,服务机器人研究中心,https://www.servicerobots.org,,
并联机械手,高速Parallel机器人,0.0,mm,3,±0.01,mm,70,N,字符型,机械手与自动化技术协会,https://www.roboticsforklifting.org,,
移动机器人,草地自动修剪机器人,1.2,mm,3,±0.8,mm,22,N,字符型,农用机器人科技研究所,https://www.agriculturalrobots.org,,
智能穿戴设备,虚拟现实控制手套,0.3,mm,6,±0.1,mm,10,N,字符型,虚拟现实应用研究所,https://www.vra.org,,
特种机器人,月球探测机器人,3.0,mm,6,±1.5,mm,100,N,字符型,国家航天局,https://www.nasa.gov,,
六轴机械手,MOTOMAN-MH50,0.15,mm,6,±0.05,mm,90,N,字符型,国际机械手协会,https://www.ima.org,,
服务机器人,智能陪伴机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国机器人协会,https://www.cra.org.cn,,
特种机器人,农业无人机,2.0,mm,5,±1.0,mm,90,N,字符型,中国农业科学院,https://www.caas.cn,,
并联机械手,High-speed Delta Robot,0.25,mm,4,±0.05,mm,60,N,字符型,日本机器人工业协会,https://www.robotics.or.jp,,
SCARA机器人,DENSO SCARA,0.08,mm,3,±0.07,mm,22,N,字符型,国际机器人联合会,https://www.ifr.org,,
六轴机械手,ABB IRB 6700,0.15,mm,6,±0.03,mm,80,N,字符型,瑞士机械工程协会,https://www.swissmechanical.com,,
物流机器人,自动货物运输机器人,1.0,mm,2,±0.5,mm,50,N,字符型,全球物流和供应链管理协会,https://www.glscma.org,,
服务机器人,智能清洁机器人,0.6,mm,4,±0.4,mm,25,N,字符型,智能家居发展委员会,https://www.smart-home.org,,
特种机器人,危险环境探测无人机,1.8,mm,5,±0.9,mm,75,N,字符型,中国航天科技集团,https://www.casc.com,,
并联机械手,Robotiq FlexPicker,0.35,mm,3,±0.06,mm,57,N,字符型,北美机器人协会,https://www.roboticsnorthamerica.com,,
SCARA机器人,FANUC SR-3iA,0.05,mm,4,±0.02,mm,32,N,字符型,美国工业机器人协会,https://www.robotics.org,,
六轴机械手,UR10e,0.1,mm,6,±0.04,mm,45,N,字符型,丹麦大学机器人研究中心,https://www.aarhus.dk,,
服务机器人,可穿戴助手机器人,0.4,mm,6,±0.3,mm,20,N,字符型,科技与生活杂志,https://www.techlife.com,,
特种机器人,水下探测机器人,1.2,mm,5,±0.7,mm,65,N,字符型,海洋研究与开发机构,https://www.ocean-research.gov,,
并联机械手,Stäubli FAST Picker,0.2,mm,3,±0.03,mm,50,N,字符型,欧洲机器人技术研究院,https://www.eurobotics.org,,
SCARA机器人,Zcorporation SCARA,0.09,mm,4,±0.05,mm,28,N,字符型,国际自动化技术研究中心,https://www.iati.org,,
六轴机械手,Yaskawa Motoman,0.07,mm,6,±0.05,mm,55,N,字符型,日本制御系协会,https://www.jasa.or.jp,,
物流机器人,自动快递配送机器人,0.9,mm,3,±0.6,mm,48,N,字符型,智能物流产业发展委员会,https://www.smartlogistics.org,,
移动医疗机器人,智能诊断机器人,0.5,mm,6,±0.2,mm,15,N,字符型,中国医疗机器人产业协会,https://www.cmra.org.cn,,
工业搬运机器人,AGV小车,1.0,mm,3,±0.5,mm,20,N,字符型,国际搬运机器人协会,https://www.agvassociation.org,,
焊接机器人,米勒焊接机器人,0.3,mm,6,±0.1,mm,50,N,字符型,焊接技术协会,https://www.weldingtech.org,,
码垛机器人,海克斯康码垛机器人,0.6,mm,4,±0.2,mm,80,N,字符型,中国码垛机器人协会,https://www.palletizing.org.cn,,
服务机器人,智能家庭助手,0.4,mm,5,±0.3,mm,25,N,字符型,智能家居协会,https://www.smart-home.org,,
农业机器人,无人植保机,1.2,mm,4,±0.7,mm,60,N,字符型,农业机器人技术协会,https://www.agri-robotics.org,,
物流机器人,仓储机器人,0.75,mm,4,±0.3,mm,30,N,字符型,国际物流技术协会,https://www.logistics-tech.org,,
医疗机器人,手术辅助机器人,0.15,mm,7,±0.05,mm,40,N,字符型,中国医疗机器人科研中心,https://www.cmrc.org.cn,,
特种机器人,水下机器人,0.9,mm,5,±0.4,mm,45,N,字符型,中国海洋技术协会,https://www.oceantech.org.cn,,
清洁机器人,智能喷雾清洁机器人,0.8,mm,6,±0.3,mm,20,N,字符型,机器人清洁技术协会,https://www.cleaningtech.org,,
仓储机器人,无人叉车,0.5,mm,3,±0.2,mm,55,N,字符型,国际自动化仓储协会,https://www.warehousingautomation.org,,
无人机,农田监测无人机,1.5,mm,4,±0.6,mm,25,N,字符型,无人机技术发展研究中心,https://www.drone-tech.org,,
家用机器人,智能厨师机器人,0.2,mm,5,±0.1,mm,35,N,字符型,中国家庭机器人协会,https://www.home-robotics.org.cn,,
物流机器人,包装机器人,0.4,mm,4,±0.2,mm,65,N,字符型,全球包装技术协会,https://www.packagingtech.org,,
特种机器人,搜救机器人,0.7,mm,6,±0.3,mm,88,N,字符型,国际救援机器人协会,https://www.rescue-robotics.org,,
园林机器人,智能割草机器人,1.0,mm,3,±0.5,mm,30,N,字符型,园林与植物机器人技术协会,https://www.gardenrobotics.org,,
教育机器人,编程教育机器人,0.3,mm,2,±0.1,mm,10,N,字符型,教育机器人联盟,https://www.edurobot.org,,
协作机器人,UR10e,0.2,mm,6,±0.06,mm,25,N,字符串型,国际机器人联合会,https://www.ifr.org,,
