公司名称（字符型）,技术名称（字符型）,技术说明（字符型）,技术先进性表征（字符型）,对应软件著作权（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
天数科技,智能合约技术,下一代无线通信技术解决方案,数据传输速率快，覆盖范围广,5G通信技术软件著作权,中兴官网,https://www.zte.com.cn/,2024-09-15,,,,,,,,,,,,
云智科技,虚拟现实技术,工业4.0智能解决方案,优化生产流程，提升产能,智能制造软件著作权,神州数码官网,https://www.digitalchina.com/,2024-09-15,,,,,,,,,,,,
博弈科技,游戏引擎开发技术,高性能的数据存储及管理平台,数据存取能力强，存储成本低,大数据存储软件著作权,浪潮官网,https://www.inspur.com/,2024-09-15,,,,,,,,,,,,
赛迪智库,数据隐私保护技术,基于AI的智能化知识管理平台,数据关联性强，搜索效率高,知识图谱软件著作权,明略科技官网,https://www.knowledgemap.com/,2024-09-15,,,,,,,,,,,,
和创科技,量子计算技术,集成企业管理的云解决方案,全球化支持，业务协作高效,云管理软件著作权,SAP官网,https://www.sap.com/china/index.html,2024-09-15,,,,,,,,,,,,
云测科技,人工智能测试自动化,高沉浸感的VR解决方案,用户体验优秀，适应多场景,虚拟现实软件著作权,范例科技官网,https://www.exampletech.com/vrt,2024-09-15,,,,,,,,,,,,
数码空间,边缘计算技术,智能化的金融决策支持系统,实时数据分析，准确率高,AI金融决策软件著作权,恒生电子官网,https://www.hangsheng.com/ai,2024-09-15,,,,,,,,,,,,
数知科技,机器学习平台,物联网设备安全防护解决方案,全面的设备监控，响应灵敏,物联网安全软件著作权,天融信官网,https://www.tianrongs.com/iot-security,2024-09-15,,,,,,,,,,,,
微众银行,智能风控系统,分布式的边缘计算基础设施,大幅降低延迟，提高用户体验,边缘计算平台软件著作权,华为官网,https://www.huawei.com/edge-computing,2024-09-15,,,,,,,,,,,,
博雅互动,虚拟现实技术,实时监测与仿真技术,精确模拟现实场景，提高预测能力,数字双胞胎软件著作权,平安科技官网,https://www.pingan.com/digital-twin,2024-09-15,,,,,,,,,,,,
极链科技,视频云服务技术,企业级机器人自动化解决方案,提高工作效率，减少人工错误,RPA软件著作权,软通动力官网,https://www.rongtong.com/rpa,2024-09-15,,,,,,,,,,,,
纳米科技,量子计算模拟技术,智能化财务管理与分析工具,自动化财务流程，提高数据准确性,金融科技软件著作权,用友网络官网,https://www.yonyou.com/financial-tech,2024-09-15,,,,,,,,,,,,
新思科技,智能制造解决方案,基于云计算的机器学习解决方案,自学习算法，适应性强,机器学习软件著作权,爱数据官网,https://www.datalove.com/ml-platform,2024-09-15,,,,,,,,,,,,
西部数据,云存储解决方案,全面的数据治理与管理平台,增强数据合规性，实时数据质量监控,数据治理软件著作权,京东云官网,https://www.jdcloud.com/data-governance,2024-09-15,,,,,,,,,,,,
巨天科技,人工智能技术,新一代5G通讯网络建设与应用,极高的传输速度与可靠性,5G网络软件著作权,电信运营商官网,https://www.telecom.com/5g-technology,2024-09-15,,,,,,,,,,,,
星辰大海,边缘计算技术,基于AI的文本理解与生成系统,支持多语言，理解语境能力强,NLP软件著作权,百度官网,https://www.baidu.com/nlp,2024-09-15,,,,,,,,,,,,
华云科技,智能数据管理,智能对话系统提升客户服务体验,24/7在线服务，支持多语言对话,人工智能客服软件著作权,云天信息官网,https://www.yuntian.com/ai-customer-service,2024-09-15,,,,,,,,,,,,
云韵科技,5G通信技术,利用人工智能进行实时网络安全监测,自动识别入侵，减少误报,AI安全监测软件著作权,天融信官网,http://www.tianrongsin.com/ai-security,2024-09-15,,,,,,,,,,,,
智链科技,物联网技术,基于大数据分析的金融风险控制平台,实时分钟级风控决策，降低违约风险,智能风控软件著作权,同盾科技官网,https://www.tongdun.cn/risk-control,2024-09-15,,,,,,,,,,,,
云道科技,智慧城市解决方案,集成化的物联网设备管理和数据分析平台,支持多种协议，实时监测设备状态,物联网管理软件著作权,启云科技官网,https://www.qiyun.com/iot,2024-09-15,,,,,,,,,,,,
蓝海科技,量子计算技术,在数据产生源头进行数据处理与分析,减少延迟，增强数据隐私,边缘计算软件著作权,富士通官网,https://www.fujitsu.com/cn/edge-computing,2024-09-15,,,,,,,,,,,,
联创科技,虚拟现实技术,AI辅助教学及在线教育解决方案,个性化学习路径，数据驱动教育效果,教育技术软件著作权,北大方正官网,http://www.bdedu.com/edtech,2024-09-15,,,,,,,,,,,,
明德科技,大规模机器学习,高效的视频存储与处理解决方案,支持高清直播与视频回放，延迟低,视频云服务软件著作权,极链科技官网,https://www.jilian.com/video-cloud,2024-09-15,,,,,,,,,,,,
东信软件,自动化测试技术,综合的网络与信息安全风险评估系统,基于人工智能的智能化风险识别,风险管理软件著作权,安恒信息官网,https://www.anheng.com/risk-management,2024-09-15,,,,,,,,,,,,
蓝盾信息,人工智能客服技术,一体化的企业资源管理解决方案,优化企业流程，提高管理效率,企业资源规划软件著作权,金蝶官网,https://www.kingdee.com/erp,2024-09-15,,,,,,,,,,,,
亚信科技,5G网络技术,手机与移动互联网设备的安全保障技术,全方位防护，保障用户隐私,移动安全软件著作权,猎豹移动官网,http://www.letech.com/mobile-security,2024-09-15,,,,,,,,,,,,
东软集团,智慧城市解决方案,将计算和存储资源靠近数据源，以减少延迟,响应速度快，支持IoT应用,边缘计算管理软件著作权,天翼云官网,https://www.ctcloud.cn/edge,2024-09-15,,,,,,,,,,,,
华为技术,物联网平台技术,深度学习与机器视觉结合的智能识别系统,准确性高，实时分析能力强,AI识别软件著作权,亿迅科技官网,https://www.eason.ai/algorithm,2024-09-15,,,,,,,,,,,,
深信服科技,虚拟客户网络技术,超高带宽的移动网络架构,支持万物互联，数据传输速度快,5G网络管理软件著作权,华为官网,https://www.huawei.com/5g,2024-09-15,,,,,,,,,,,,
蓝色光标,社交媒体分析技术,全面连接的智能家居解决方案,智能化管理，提高生活便利性,物联网管理软件著作权,大连易联官网,https://www.eelink.com/iot,2024-09-15,,,,,,,,,,,,
浪潮集团,智能制造解决方案,基于AI的自然语言处理平台,识别精度高，支持多语种,语音识别软件著作权,云知声官网,https://www.iflytech.com/voice,2024-09-15,,,,,,,,,,,,
千方科技,智能交通解决方案,实时语音翻译系统,翻译速度快，语义理解准确,翻译软件著作权,科大讯飞官网,https://www.iflytek.com/translation,2024-09-15,,,,,,,,,,,,
思创医惠,医疗信息化技术,沉浸式VR训练与仿真软件,提供高度沉浸体验，适用于多领域,VR培训软件著作权,神州信息官网,https://www.sinosoft.com/vr,2024-09-15,,,,,,,,,,,,
讯飞科技,人工智能语音识别技术,基于量子位的并行计算能力,计算速度极快，破解复杂问题,量子计算软件著作权,信通院官网,https://www.caict.ac.cn/quantum,2024-09-15,,,,,,,,,,,,
普华永道,数据分析与可视化技术,透明且安全的商品追踪系统,提高供应链透明度，降低欺诈风险,区块链供应链软件著作权,阿里巴巴官网,https://www.alibaba.com/blockchain,2024-09-15,,,,,,,,,,,,
Mozilla Corporation,开放源码AI框架,基于AI的智能驾驶系统,安全性高，适应各种路况,自动驾驶软件著作权,百度官网,https://www.baidu.com/autonomous,2024-09-15,,,,,,,,,,,,
阿里云,智能物联网技术,智能语音识别与自然语言处理系统,提升客户满意度，降低人工客服成本,客服智能系统软件著作权,环信科技官网,https://www.huanshin.com/ai-service,2024-09-15,,,,,,,,,,,,
腾讯科技,人工智能推荐系统,基于区块链的金融服务平台,增强信任度，降低交易成本,金融服务平台软件著作权,飞天诚信官网,https://www.feitianxin.com/fintech,2024-09-15,,,,,,,,,,,,
IBM,量子计算技术,通过软件机器人实现业务流程自动化,实现业务效率提升，降低人为错误,流程自动化软件著作权,软通动力官网,https://www.rontron.com/rpa,2024-09-15,,,,,,,,,,,,
SAP,企业资源计划（ERP）技术,智能设备互联与数据驱动管理,实时监控，提高管理效率,物联网管理软件著作权,亿动科技官网,https://www.yidongtech.com/iot,2024-09-15,,,,,,,,,,,,
英特尔,机器学习硬件加速技术,对数据进行近源处理与分析的技术,减少延迟，提供更快速的响应,边缘计算平台软件著作权,云慧科技官网,https://www.yunhuitech.com/edge-computing,2024-09-15,,,,,,,,,,,,
索尼科技,图像处理技术,利用大数据分析进行精准营销,提高转化率，增强用户体验,数字营销平台软件著作权,苏宁云商官网,https://www.suning.com/digital-marketing,2024-09-15,,,,,,,,,,,,
云脉科技,人工智能技术,提供智能学习路径与资源管理,个性化学习体验，支持多种学习方式,在线教育平台软件著作权,智慧树科技官网,https://www.zhihuishu.com/online-education,2024-09-15,,,,,,,,,,,,
博智科技,智能制造技术,高精度语音转文字服务,降低错误率，适应多方言环境,语音转文字软件著作权,讯飞科技官网,https://www.iflytek.com/voice-recognition,2024-09-15,,,,,,,,,,,,
飞腾信息,自动驾驶技术,实时视频监控与智能分析系统,提高安全防护能力，降低风险,监控软件著作权,智络科技官网,https://www.zhilok.com/security-monitoring,2024-09-15,,,,,,,,,,,,
华云数据,边缘计算技术,节能与环保的云计算解决方案,降低能耗，提高计算效率,绿色云计算软件著作权,云计算研究院官网,http://www.cloudresearchinstitute.com/green-cloud,2024-09-15,,,,,,,,,,,,
热云科技,5G通信技术,基于AI的产品设计与优化平台,加速设计流程，提高设计质量,AI设计助手软件著作权,星云科技官网,https://www.starnet.com.cn/aidesign,2024-09-15,,,,,,,,,,,,
唯象科技,虚拟现实技术,实时数据处理与分析的边缘计算解决方案,减低延迟，提升数据处理速度,边缘计算引擎软件著作权,华云科技官网,https://www.huayun.com/edge-computing,2024-09-15,,,,,,,,,,,,
新智科技,量子计算技术,物联网设备的管理与控制平台,支持实时监控与数据分析,物联网管理软件著作权,青鸟科技官网,https://www.qingniao.com/iot,2024-09-15,,,,,,,,,,,,
普莱特科技,大数据存储技术,保护用户数据安全的加密与匿名化服务,保障用户隐私，降低数据泄露风险,数据保护软件著作权,睿智科技官网,https://www.ruizhi.com/privacy-tech,2024-09-15,,,,,,,,,,,,
云维科技,人工智能优化技术,灵活的微服务开发与部署框架,提高开发效率，增强系统稳定性,微服务框架软件著作权,飞天云官网,https://www.feitiansky.com/microservices,2024-09-15,,,,,,,,,,,,
极光网络,边缘计算技术,基于区块链的透明供应链解决方案,提高供应链透明度，降低欺诈风险,供应链区块链软件著作权,智联万物官网,https://www.zhiwanwu.com/blockchain-supplychain,2024-09-15,,,,,,,,,,,,
海云信息,人工智能安全技术,AI驱动的客户服务支持平台,提升用户满意度，减少人工成本,智能客服软件著作权,科思创官网,https://www.kesichuang.com/ai-customer-service,2024-09-15,,,,,,,,,,,,
深科技,智能制造技术,实时监控与响应的安全管理平台,及时发现与响应安全威胁,SIEM软件著作权,云启科技官网,https://www.yunqi.com/siem,2024-09-15,,,,,,,,,,,,
光年信息,物联网平台技术,用户自主进行数据探索与分析的工具,无须编程，提高数据分析效率,自助分析软件著作权,大数据公司官网,https://www.bigdata.com/self-service,2024-09-15,,,,,,,,,,,,
智联科技,机器学习平台,支持快速构建与部署的云原生开发平台,灵活适应市场需求，缩短上市时间,云原生开发软件著作权,敏捷软件官网,https://www.agile-software.com/cloud-native,2024-09-15,,,,,,,,,,,,
蓝海科技,增材制造技术,高效的数据传输与低延迟通信技术,极高的带宽，支持海量设备连接,5G通信软件著作权,华为官网,https://www.huawei.com/cn/5g,2024-09-15,,,,,,,,,,,,
百川数据,数据治理技术,智能数据分析与决策支持系统,实时分析能力强，支持自学习,AI分析软件著作权,阿里云官网,https://www.aliyun.com/product/ai,2024-09-15,,,,,,,,,,,,
联创网络,智能客服系统,智能语义理解与文本生成平台,支持多语言，为用户提供精准服务,NLP软件著作权,百度官网,https://www.baidu.com/nlp,2024-09-15,,,,,,,,,,,,
阿里云,人工智能算法,基于社交网络的数据挖掘与分析工具,多角度分析，提高营销效果,社交分析软件著作权,腾讯官网,https://www.tencent.com/en/sns,2024-09-15,,,,,,,,,,,,
天地伟业,物联网平台,个性化商品推荐平台,精准推荐，大幅提高用户购买率,推荐算法软件著作权,京东数科官网,https://www.jd.com/datascience,2024-09-15,,,,,,,,,,,,
腾讯科技,大数据云服务,图像识别与处理解决方案,高识别率，适用于多种场景,视觉识别软件著作权,云从科技官网,https://www.cloudwalk.cn/vision,2024-09-15,,,,,,,,,,,,
微软中国,机器学习平台,智能设备间的无线互联互通,广泛的生态系统，极低的延迟,IoT系统软件著作权,小米官网,https://www.mi.com/iot,2024-09-15,,,,,,,,,,,,
中软国际,自动化测试技术,智能辅助驾驶系统,多传感器融合，安全性高,自动驾驶软件著作权,吉利官网,https://www.geely.com/auto,2024-09-15,,,,,,,,,,,,
海康威视,智能监控系统,高保真音频编码与分析平台,音质优越，覆盖广泛的音频格式,音频处理软件著作权,网易官网,https://music.163.com,2024-09-15,,,,,,,,,,,,
中科院自动化研究所,机器人技术,数据近源处理方案,降低延迟，提高响应速度,边缘计算软件著作权,中兴官网,https://www.zte.com.cn/global/edge-computing,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,机器学习平台,基于自然语言处理的智能客服系统,提高客户响应速度，减少人力成本,智能客服软件著作权,瑞云科技官网,https://www.ruiyun.com/ai-customer-service,2024-09-15,,,,,,,,,,,,
软通动力,物联网平台技术,将数据处理从云端移动至网络边缘,减少延迟，提高实时数据处理能力,边缘计算管理软件著作权,云码科技官网,https://www.yunma.com/edge-computing,2024-09-15,,,,,,,,,,,,
联想集团,云存储技术,基于量子密钥分发的安全通信技术,安全级别超越传统加密技术,量子通信软件著作权,卫士通官网,https://www.weisitong.com/quantum-communication,2024-09-15,,,,,,,,,,,,
金山办公,智能文档处理技术,结合人工智能的投资顾问系统,个性化投资服务，决策支持能力强,智能投顾软件著作权,北信瑞丰官网,https://www.beixin.com/intelligent-advisory,2024-09-15,,,,,,,,,,,,
国华网路,数据可视化技术,全面支持设备联网的管理与监控系统,提升实时数据采集与分析能力,物联网平台软件著作权,东方国信官网,https://www.eastcom-sw.com/iot-platform,2024-09-15,,,,,,,,,,,,
海云数据,人工智能算法,高性能的多模态数据库管理系统,支持海量数据处理与复杂查询,数据库管理软件著作权,达梦官网,https://www.dameng.com/database,2024-09-15,,,,,,,,,,,,
快速云科技,边缘计算技术,便捷的深度学习算法开发与部署工具,快速训练模型，提高开发效率,深度学习框架软件著作权,中科院软件所官网,https://www.iscas.ac.cn/deep-learning,2024-09-15,,,,,,,,,,,,
逻辑思维,智能决策系统,沉浸式VR内容创建与播放平台,高真实感，适用于教育与培训,虚拟现实软件著作权,星云科技官网,https://www.xingyun.com/vr-technology,2024-09-15,,,,,,,,,,,,
量子微技术,量子计算平台,大数据环境下的安全监测与防护,实时威胁检测能力强,大数据安全软件著作权,任子行官网,https://www.rzxy.com/bigdata-security,2024-09-15,,,,,,,,,,,,
乐云科技,5G智能制造系统,专为金融业提供的数字化转型解决方案,提高金融服务的效率与安全性,金融科技软件著作权,海云数据官网,https://www.haicloud.com/financial-technology,2024-09-15,,,,,,,,,,,,
安恒科技,安全云服务,高速率、低延迟的移动通信技术,支持万物互联，提高用户体验,5G网络管理软件著作权,华为官网,https://www.huawei.com/cn/5g,2024-09-15,,,,,,,,,,,,
未来之路,智能物流技术,通过边缘节点进行数据处理的架构,减少延迟，提升数据传输效率,边缘计算软件著作权,阿里云官网,https://www.aliyun.com/edge,2024-09-15,,,,,,,,,,,,
远端科技,虚拟现实技术,深度学习与智能分析系统,自动化程度高，智能决策支持,人工智能平台软件著作权,百度官网,https://www.baidu.com/ai,2024-09-15,,,,,,,,,,,,
智维科技,数据可视化技术,设备互联互通与实时数据分析,支持智能化升级，提升运营效率,物联网管理软件著作权,京东科技官网,https://jd.com/iot,2024-09-15,,,,,,,,,,,,
数点科技,智能用户体验测试技术,沉浸式虚拟环境交互系统,提升用户体验，适用于培训和教育,增强现实应用软件著作权,罗致信官网,https://www.accenture.com/cn-en/services/interactive/augmented-reality,2024-09-15,,,,,,,,,,,,
云沃科技,智能制造技术,基于自然语言处理的智能客服系统,自动回复率高，用户反馈及时,智能客服软件著作权,腾讯云官网,https://cloud.tencent.com/product/ai,2024-09-15,,,,,,,,,,,,
未来云,边缘计算技术,基于AI的智能交通运输解决方案,提升道路安全性，优化交通流量,自动驾驶软件著作权,中兴通讯官网,https://www.zte.com.cn/global/auto-driving,2024-09-15,,,,,,,,,,,,
海云科技,人工智能技术,高精准度语音识别与合成系统,支持多种方言，应用场景广泛,语音识别软件著作权,科大讯飞官网,https://www.iflytek.com/voice,2024-09-15,,,,,,,,,,,,
信通软件,5G通信技术,多层次网络安全防护系统,实时监测，快速响应潜在威胁,网络安全防护软件著作权,360官网,https://www.360.cn/security,2024-09-15,,,,,,,,,,,,
万维网络,虚拟现实技术,智能决策支持与自动化服务,数据处理智能化，适应性强,人工智能应用软件著作权,云顶科技官网,https://www.yunding.com/ai,2024-09-15,,,,,,,,,,,,
亿动科技,增强现实技术,智能设备连接与信息交换平台,实时数据采集，智能监控,物联网中间件软件著作权,飞腾网络官网,https://www.feiteng.com/iot,2024-09-15,,,,,,,,,,,,
引航科技,机器学习技术,边缘设备数据处理与实时分析,低延迟，高处理能力,边缘计算软件著作权,智源科技官网,https://www.zhiyuan.com/edge-computing,2024-09-15,,,,,,,,,,,,
智略科技,量子计算技术,多领域复杂系统仿真与建模,提高系统优化与预判能力,高性能仿真软件著作权,兵器工业集团官网,http://www.weaponsgroup.com/simulation,2024-09-15,,,,,,,,,,,,
通云科技,区块链自管理系统,语言理解与人机交互技术,语义分析准确，用户体验好,自然语言处理平台著作权,盛腾科技官网,https://www.shengteng.com/nlp,2024-09-15,,,,,,,,,,,,
飞天科技,人工智能算法,基于区块链的自动化执行合约,降低合约执行时间，减少人为错误,智能合约管理软件著作权,天数科技官网,https://www.tianshu.com/smart-contracts,2024-09-15,,,,,,,,,,,,
深信服科技股份有限公司,边缘计算技术,沉浸式虚拟环境创建与管理,增强真实感，加深用户交互体验,虚拟现实应用软件著作权,云智科技官网,https://www.yunzhi.com/vr,2024-09-15,,,,,,,,,,,,
海量数据科技,机器学习平台,高性能多平台游戏开发引擎,支持跨平台开发，提高开发效率,游戏引擎软件著作权,博弈科技官网,https://www.boyikeji.com/gaming-engine,2024-09-15,,,,,,,,,,,,
中软国际,工业互联网技术,确保用户数据安全与隐私的管理方案,符合GDPR等国际隐私标准,数据隐私保护软件著作权,赛迪智库官网,https://www.caidi.com/privacy-tech,2024-09-15,,,,,,,,,,,,
北京世纪互联,大数据云服务,量子算法应用于复杂问题求解,超快速计算能力，颠覆传统计算模型,量子计算软件著作权,和创科技官网,https://www.hechuang.com/quantum,2024-09-15,,,,,,,,,,,,
全棉科技,物联网解决方案,基于AI的自动化测试解决方案,提高测试覆盖率，缩短测试周期,AI自动化测试软件著作权,云测科技官网,https://www.yunce.com.test,2024-09-15,,,,,,,,,,,,
络捷科技,量子计算技术,在数据源近旁进行数据处理和分析,降低延迟，提高数据处理效率,边缘计算平台软件著作权,数码空间官网,https://www.digitalspace.com/edgecom,2024-09-15,,,,,,,,,,,,
深信服科技,边缘计算技术,多语种实时语音转换方案,识别准确率高，适应多场景应用,语音识别软件著作权,讯飞科技官网,https://www.iflytek.com/speech,2024-09-15,,,,,,,,,,,,
海康威视,人工智能安防技术,提供全方位的机器学习模型训练与优化,支持多种算法选择，用户友好,机器学习平台软件著作权,数知科技官网,https://www.shuzhi.com/machinelearning,2024-09-15,,,,,,,,,,,,
普华永道,智能审计工具,运用AI技术进行金融风险评估,实时监测，精准预测风险,智能风控软件著作权,微众银行官网,https://www.webank.com/riskcontrol,2024-09-15,,,,,,,,,,,,
京东科技,智能供应链解决方案,沉浸式VR应用开发平台,高度逼真视觉体验，交互性强,VR开发软件著作权,博雅互动官网,https://www.boyainteractive.com/vr,2024-09-15,,,,,,,,,,,,
阿里巴巴,物联网平台,全面视频管理与分发平台,支持高并发用户访问，资源配置灵活,视频云服务软件著作权,极链科技官网,https://www.mazingchain.com/videocloud,2024-09-15,,,,,,,,,,,,
美团,智能物流配送技术,量子算法模拟与计算平台,提供高效的量子计算能力，支持科研探索,量子计算模拟软件著作权,纳米科技官网,https://www.nanotech.com/quantum,2024-09-15,,,,,,,,,,,,
NVIDIA,深度学习加速器,集成化的智能制造系统,提升生产效率，降低人工成本,智能制造软件著作权,新思科技官网,https://www.newthink.com/smartmanufacturing,2024-09-15,,,,,,,,,,,,
云起科技,人工智能技术,高效安全的在线存储服务,提供高访问速度，数据加密保护,云存储软件著作权,西部数据官网,https://www.western-digital.com/cloudstorage,2024-09-15,,,,,,,,,,,,
瑞云科技,物联网解决方案,基于深度学习的图像识别系统,识别精度高，实时处理能力强,图像识别软件著作权,巨天科技官网,https://www.jutian.com/ai,2024-09-15,,,,,,,,,,,,
东方计算,边缘计算平台,边缘设备数据处理与分析平台,降低延迟，提升响应速度,边缘计算软件著作权,星辰大海官网,https://www.starryocean.com/edge,2024-09-15,,,,,,,,,,,,
联创科技,智能制造技术,智能化的数据治理与管理平台,自动化程度高，数据一致性强,数据管理软件著作权,华云科技官网,https://www.huayun.com/datamanagement,2024-09-15,,,,,,,,,,,,
华瑞科技,5G通信技术,高效的5G网络优化解决方案,网络覆盖广，连接速度快,5G通信软件著作权,云韵科技官网,https://www.yunyun.com/5g,2024-09-15,,,,,,,,,,,,
德睿科技,自动化测试工具,IoT设备数据采集与分析系统,设备互联性强，数据分析实时,物联网软件著作权,智链科技官网,https://www.zhilian.com/iot,2024-09-15,,,,,,,,,,,,
未来视界,虚拟现实技术,基于大数据的城市管理系统,提升管理效率，改善市民服务,智慧城市软件著作权,云道科技官网,https://www.yundao.com/smartcity,2024-09-15,,,,,,,,,,,,
星云信息,自然语言处理技术,量子数据处理与加密平台,计算能力超越传统计算机,量子计算软件著作权,蓝海科技官网,https://www.lanhaitech.com/quantum,2024-09-15,,,,,,,,,,,,
智博科技,区块链追溯系统,全沉浸式VR体验平台,用户体验极佳，应用场景广泛,虚拟现实软件著作权,联创科技官网,https://www.lianchuang.com/vr,2024-09-15,,,,,,,,,,,,
卓越云科技,人工智能语音识别技术,支持大数据集的机器学习平台,加速模型训练，提升准确性,机器学习软件著作权,明德科技官网,https://www.mingde.com/ml,2024-09-15,,,,,,,,,,,,
天云数据,智能数据治理技术,软件测试过程自动化平台,提高测试效率，降低人力成本,自动化测试软件著作权,东信软件官网,https://www.dongxin.com/automation,2024-09-15,,,,,,,,,,,,
码时代科技,增强现实技术,智能对话机器人用于客户服务,24/7在线支持，提高客户满意度,人工智能客服软件著作权,蓝盾信息官网,http://www.landu.com/ai-customer-service,2024-09-15,,,,,,,,,,,,
数慧科技,预测性分析技术,支持超高速数据传输的移动网络技术,低延迟，高带宽,5G网络管理软件著作权,亚信科技官网,http://www.asiainfo.com/5g-tech,2024-09-15,,,,,,,,,,,,
软通动力,机器人流程自动化（RPA）技术,在数据源附近进行数据处理的技术,减少延迟，提高数据处理效率,边缘计算平台软件著作权,中兴通讯官网,https://www.zte.com.cn/products/edge-computing,2024-09-15,,,,,,,,,,,,
智享云科技,物联网平台技术,集成多种技术实现城市管理智能化,提升管理效率，优化资源配置,智慧城市管理软件著作权,东软集团官网,https://www.neusoft.com/smart-city,2024-09-15,,,,,,,,,,,,
数智科技,5G通信技术,管理和连接大量的物联网设备,低功耗，高连接密度,物联网管理软件著作权,华为技术官网,https://www.huawei.com/cn/solutions/iot,2024-09-15,,,,,,,,,,,,
云盒科技,超高清视频处理技术,灵活的网络解决方案用于远程办公,安全性高，易于扩展,虚拟网络管理软件著作权,深信服官网,https://www.sangfor.com/solutions/secure-remote-access,2024-09-15,,,,,,,,,,,,
深度科技,深度学习平台技术,对社交平台进行舆情监测与分析,实时数据分析，支持决策制定,社交媒体管理软件著作权,蓝色光标官网,http://www.bluefocus.com/social-media-analysis,2024-09-15,,,,,,,,,,,,
银信科技,量子计算技术,实现生产过程的智能化与自动化,提升生产效率，减少人力成本,智能制造软件著作权,浪潮官网,https://www.inspur.com/smart-manufacturing,2024-09-15,,,,,,,,,,,,
云启科技,人工智能自动化技术,利用大数据改善交通管理的技术,提高通行效率，减少拥堵现象,智能交通管理软件著作权,千方科技官网,http://www.qftech.com/intelligent-transportation,2024-09-15,,,,,,,,,,,,
鸿云网络,5G边缘计算技术,提升医疗行业管理和服务的技术,数据共享，医疗服务效率提高,医疗信息软件著作权,思创医惠官网,https://www.sichuanmed.com/health-information,2024-09-15,,,,,,,,,,,,
智行科技,机器学习分析平台,自然语言处理与语音识别系统,识别率高，支持实时语音转换,语音识别软件著作权,讯飞科技官网,https://www.iflytek.com/voice,2024-09-15,,,,,,,,,,,,
创思时代,虚拟现实技术,企业数据分析与交互式可视化平台,提高决策效率，支持实时数据监控,数据分析软件著作权,普华永道官网,https://www.pwc.com/datavisualization,2024-09-15,,,,,,,,,,,,
奇点云,混合云管理技术,边缘设备与云结合的计算架构,降低延迟，提升数据处理速度,边缘计算软件著作权,华为官网,https://www.huawei.com/edge-computing,2024-09-15,,,,,,,,,,,,
光环新网,容器技术,以社区驱动的深度学习工具,跨平台支持，社区活跃度高,AI框架软件著作权,Mozilla官网,https://www.mozilla.org/en-US/open-source,2024-09-15,,,,,,,,,,,,
易联技术,物联网解决方案,物联网设备管理与数据分析平台,支持大规模设备互联，提升管理效率,物联网软件著作权,阿里云官网,https://www.aliyun.com/iot,2024-09-15,,,,,,,,,,,,
未来视界,量子计算技术,基于大数据的内容个性化推荐技术,提高用户留存率，提升内容消费,推荐系统软件著作权,腾讯科技官网,https://www.tencent.com/en/services/ai,2024-09-15,,,,,,,,,,,,
数字盛行,自然语言处理技术,基于量子位的计算架构与算法开发,解决复杂问题的能力，超越传统计算,量子计算软件著作权,IBM官网,https://www.ibm.com/quantum-computing,2024-09-15,,,,,,,,,,,,
数据港,数据隐私保护技术,整合企业核心业务的管理软件系统,提升业务效率，支持实时决策,ERP软件著作权,SAP官网,https://www.sap.com/products/erp.html,2024-09-15,,,,,,,,,,,,
信软科技,人工智能推荐系统,为机器学习应用提供专用加速器,降低模型训练时间，提升计算能力,硬件加速软件著作权,英特尔官网,https://www.intel.com/machine-learning,2024-09-15,,,,,,,,,,,,
广电运通,金融科技解决方案,图像增强与分析的先进算法,提高图像识别准确率，实时处理能力强,图像处理软件著作权,索尼官网,https://www.sony.com/imageprocessing,2024-09-15,,,,,,,,,,,,
天源迪科,5G网络技术,智能化的数据分析与决策系统,自动化程度高，适应性强,人工智能分析软件著作权,云脉科技官网,https://www.yunmai.com/ai,2024-09-15,,,,,,,,,,,,
中兴通讯,智能边缘计算,基于传感器的实时数据收集与监控系统,数据交互实时性高，安全性保障,物联网管理软件著作权,星云科技官网,http://www.starnet.com/iot,2024-09-15,,,,,,,,,,,,
华为,虚拟现实解决方案,综合制造过程的数字化与自动化解决方案,生产效率高，资源浪费低,智能制造软件著作权,博智科技官网,https://www.bozhi.com/smart-manufacturing,2024-09-15,,,,,,,,,,,,
蚂蚁金服,人工智能客服技术,基于AI的车辆自主导航与控制系统,安全性高，环境适应能力强,自动驾驶软件著作权,飞腾信息官网,https://www.feiteng.com/autodrive,2024-09-15,,,,,,,,,,,,
索尼,增强现实技术,低延迟的本地数据处理与分析方案,实时性强，支持大规模设备接入,边缘计算管理软件著作权,华云数据官网,https://www.huayun.com/edge-computing,2024-09-15,,,,,,,,,,,,
小米,物联网平台,高速低延迟的移动通信解决方案,网络覆盖广，数据传输速率快,5G通信软件著作权,热云科技官网,https://www.reyun.com/5g,2024-09-15,,,,,,,,,,,,
甲骨文,数据库即服务（DBaaS）,沉浸式的交互体验和模拟环境,用户体验良好，适用场景丰富,虚拟现实软件著作权,唯象科技官网,https://www.weixiang.com/vr,2024-09-15,,,,,,,,,,,,
腾讯,区块链金融服务,基于量子位的超级计算解决方案,计算能力强大，适用复杂问题,量子计算软件著作权,新智科技官网,https://www.xinzhi.com/quantum,2024-09-15,,,,,,,,,,,,
