公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
腾讯云,社交、媒体,社交媒体管理平台,在线学习管理与资源共享,云端服务与教育信息化,浪潮官网,https://www.inspur.com,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、物联网,云网络融合解决方案,个性化学习、语音识别,AI教育应用与大数据分析,科大讯飞官网,https://www.iflytek.com,2024-09-15,,,,,,,,,,,,
用友网络,制造业、金融,云ERP解决方案,订单处理、客户管理,大数据与业务智能,美团官网,https://www.meituan.com,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,电子商务、物流,阿里云数据分析平台,实时数据分析、供应链管理,集成商业流程与智能分析,SAP官网,https://www.sap.com/china,2024-09-15,,,,,,,,,,,,
腾讯科技,社交、游戏,社交网络分析工具,内容发布与数据分析,云服务与大数据处理,腾讯云官网,https://cloud.tencent.com,2024-09-15,,,,,,,,,,,,
京东数字科技,零售、物流,物流智能化解决方案,网络管理自动化,智能路由与网络优化,华为官网,https://www.huawei.com/cn/solutions,2024-09-15,,,,,,,,,,,,
蓝凌软件,政务、教育,数字化校园解决方案,企业资源共享与管理,云计算与大数据,用友网络官网,http://www.yonyou.com,2024-09-15,,,,,,,,,,,,
国信智慧,能源、交通,智能交通解决方案,电商数据实时监控,云计算与人工智能,阿里云官网,https://www.aliyun.com,2024-09-15,,,,,,,,,,,,
神州数码,云计算、金融,金融云服务平台,用户行为数据分析,数据挖掘与情感分析,腾讯官网,https://www.tencent.com,2024-09-15,,,,,,,,,,,,
中兴软创,通信、IT服务,智能客服系统,配送网络优化,机器学习与大数据,京东官网,https://www.jd.com,2024-09-15,,,,,,,,,,,,
讯飞科技,教育、医疗,智能教育平台,校园信息化建设,信息平台集成,蓝凌官网,https://www.lanling.com,2024-09-15,,,,,,,,,,,,
云智科技,医疗健康、政府,智能医院管理系统,交通流量监控与分析,大数据与IoT,国信官网,http://www.guoxin.com.cn,2024-09-15,,,,,,,,,,,,
飞鱼科技,教育、培训,在线学习平台,安全合规云服务,云安全与合规管理,神州数码官网,http://www.digitalchina.com,2024-09-15,,,,,,,,,,,,
盛大网络,游戏、娱乐,云游戏平台,客户服务自动化,人工智能与自然语言处理,中兴软创官网,https://www.zte.com.cn,2024-09-15,,,,,,,,,,,,
唐人科技,电商、零售,零售数据分析平台,在线学习与教育资源共享,语音识别与数据分析,讯飞官网,https://www.iflytek.com,2024-09-15,,,,,,,,,,,,
德胜科技,房地产、城市管理,城市管理决策支持系统,病患信息自动化管理,云计算与人工智能,云智科技官网,https://www.yunzhi.com.cn/solutions.html,2024-09-15,,,,,,,,,,,,
智融科技,保险、金融科技,风险评估智能模型,课程开发与在线学习,学习分析与大数据,飞鱼科技官网,https://www.feiyu.com.cn/online-learning.html,2024-09-15,,,,,,,,,,,,
光明科技,交通、物流,智能交通管理系统,游戏发行与流媒体服务,实时数据处理,盛大网络官网,https://www.snda.com/cloud-gaming.html,2024-09-15,,,,,,,,,,,,
蓝海信息,公共安全、政府,应急管理系统,销售数据可视化与分析,前沿数据科学技术,唐人科技官网,https://www.tangren.com.cn/data-analytics.html,2024-09-15,,,,,,,,,,,,
时代迈克尔,汽车、制造,智能制造解决方案,城市基础设施监控与分析,GIS与空间数据处理,德胜科技官网,https://www.desheng.com.cn/urban-management.html,2024-09-15,,,,,,,,,,,,
聚合科技,社交媒体、营销,社交媒体数据分析平台,实时风险管理与评估,机器学习与人工智能,智融科技官网,https://www.zhirong.com.cn/insurance-risk.html,2024-09-15,,,,,,,,,,,,
利欧科技,房地产、建筑,云端房地产管理系统,交通流量自动监测与优化,大数据与IoT,光明科技官网,https://www.guangming.com.cn/transportation.html,2024-09-15,,,,,,,,,,,,
博云软件,电信、公共事业,数据驱动运营平台,自然灾害实时监测与响应,云计算与大数据,蓝海信息官网,https://www.lanhai.com.cn/emergency-management.html,2024-09-15,,,,,,,,,,,,
聚星科技,在线教育、文化,智能学习平台,生产流程自动化与优化,人工智能与工业互联网,时代迈克尔官网,https://www.time-michael.com.cn/smart-manufacturing.html,2024-09-15,,,,,,,,,,,,
信创科技,智能制造、工业互联网,产线自动化解决方案,用户行为分析与营销优化,社交媒体监测与解析,聚合科技官网,https://www.juhe.com.cn/social-media-analytics.html,2024-09-15,,,,,,,,,,,,
优信科技,汽车、移动互联网,智能汽车数据平台,项目管理与预算控制,云技术与大数据分析,利欧科技官网,https://www.leotech.com/solutions/,2024-09-15,,,,,,,,,,,,
飞跃科技,环保、能源,节能监测管理系统,商业智能与决策支持,大数据挖掘与分析,博云软件官网,https://www.boyun.com/casestudies/,2024-09-15,,,,,,,,,,,,
智联科技,医疗、健康管理,健康码管理系统,个性化学习与评估,AI算法与内容推荐,聚星科技官网,https://www.juxingtech.com/technology/,2024-09-15,,,,,,,,,,,,
优创信息,物流、供应链,供应链数字化转型方案,实时监控与效率提升,物联网技术与数据分析,信创科技官网,https://www.xinchuan.com/solutions/,2024-09-15,,,,,,,,,,,,
灵动科技,金融、保险,保险理赔自动化系统,车辆故障预警与维护,数据算法与智能分析,优信科技官网,https://www.youxin.com/solutions/,2024-09-15,,,,,,,,,,,,
显智科技,航空、国防,航班监控与调度系统,能耗分析与优化,环境监测与计算分析,飞跃科技官网,https://www.feiyue.com/products/,2024-09-15,,,,,,,,,,,,
阿里云,金融、零售,云计算安全解决方案,疫情防控与健康追踪,实时数据处理与云平台,智联科技官网,https://www.zhilian.com/solutions/,2024-09-15,,,,,,,,,,,,
腾讯科技,社交、游戏,微信小程序开发平台,订单管理与供应链可视化,区块链与数据共享,优创信息官网,https://www.youchuang.com/casestudies/,2024-09-15,,,,,,,,,,,,
用友网络,制造业、仓储,用友财务云,申报流程自动化,机器学习与数据解析,灵动科技官网,https://www.lingdong.com/technology/,2024-09-15,,,,,,,,,,,,
百度,搜索引擎、广告,百度智能营销方案,实时调度与数据分析,AI与实时数据分析,显智科技官网,https://www.xianzhi.com/solutions/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通讯、企业服务,云服务解决方案,数据安全保障、网络防护,云安全技术,阿里云官网,https://www.aliyun.com/product/security,2024-09-15,,,,,,,,,,,,
浪潮集团,能源、公共事业,智能化水务管理系统,快速应用开发与推广,应用生态平台,腾讯官网,https://mp.weixin.qq.com/,2024-09-15,,,,,,,,,,,,
京东云,电商、物流,物流管理系统,财务管理一体化,企业云服务,用友官网,https://www.yonyou.com/cloud/,2024-09-15,,,,,,,,,,,,
美团点评,餐饮、旅游,商家管理平台,精准广告投放与效果分析,AI算法与数据挖掘,百度推广官网,https://tuiguang.baidu.com/,2024-09-15,,,,,,,,,,,,
紫光集团,教育、公共事业,校园智能管理系统,灵活的云资源管理,云计算架构,华为官网,https://support.huawei.com/enterprise/zh/cloud,2024-09-15,,,,,,,,,,,,
金蝶软件,中小企业、财务,云端财务管理平台,水资源优化配置与管理,工业互联网平台,浪潮官网,http://www.inspur.com/products/industry-solutions/,2024-09-15,,,,,,,,,,,,
数字化先锋,制造业、物流,智能物流管理系统,实时监控与管理物流流程,大数据分析与AI,京东云官网,https://www.jdcloud.com/,2024-09-15,,,,,,,,,,,,
云启科技,医疗、卫生,智慧医疗平台,订单处理与客户关系维护,数据驱动决策,美团官网,https://www.meituan.com/,2024-09-15,,,,,,,,,,,,
鼎铭咨询,教育、IT服务,在线学习管理系统,教务管理与校园安全,AI与物联网技术,紫光官网,https://www.unis.com.cn/,2024-09-15,,,,,,,,,,,,
智联科技,金融、投资,资产管理系统,实时财务数据分析,财务云解决方案,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
海纳科技,电商、零售,全渠道销售系统,运输优化、库存管理,物联网与大数据,数字化先锋官网,https://www.digitalleader.com.cn/solutions/,2024-09-15,,,,,,,,,,,,
研发未来,高科技、自动化,自动化生产线解决方案,患者信息管理、远程医疗服务,AI智能分析,云启科技官网,https://www.yunqi-tech.com/healthcare/,2024-09-15,,,,,,,,,,,,
点亮科技,政府、公共服务,智能城市管理系统,课程管理、在线评估,云服务与数据分析,鼎铭咨询官网,https://www.dingming.com/education/,2024-09-15,,,,,,,,,,,,
未来视界,交通、出行,智慧交通管理解决方案,资产配置、风险评估,金融科技与大数据,智联科技官网,https://www.zhilian.com/financial/,2024-09-15,,,,,,,,,,,,
创智科技,农业、环保,智能农业管理系统,客户关系管理、销售预测,数据挖掘与智能推荐,海纳科技官网,https://www.haina.com/ecommerce/,2024-09-15,,,,,,,,,,,,
阳光信息,房地产、建筑,建筑项目管理平台,生产效率提升、质量控制,智能制造与机器人技术,研发未来官网,https://www.researchfuture.com/automation/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、云计算,华为云服务,城市资源优化管理,GIS与智能分析,点亮科技官网,https://www.dianliang.com/smartcity/,2024-09-15,,,,,,,,,,,,
阿里云,电子商务、物流,智能物流解决方案,交通数据分析、实时监控,大数据与AI技术,未来视界官网,https://www.welaivision.com/traffic/,2024-09-15,,,,,,,,,,,,
百度,人工智能、互联网,智能客服系统,农田监控、数据驱动决策,物联网与数据分析,创智科技官网,https://www.chuangzhitech.com/agriculture/,2024-09-15,,,,,,,,,,,,
金山办公科技,文档处理、协作软件,WPS云协作平台,项目进度跟踪、资源分配,项目管理与协同工具,阳光信息官网,https://www.yangguanginfo.com/realestate/,2024-09-15,,,,,,,,,,,,
腾讯云,社交、娱乐,音视频云服务,企业云资源调配与管理,云计算架构与安全,华为官网,https://www.huawei.com/cn/solutions/cloud,2024-09-15,,,,,,,,,,,,
达梦数据库,数据管理、金融,数据库管理系统,实时监控与过程优化,大数据与区块链技术,阿里云官网,https://www.aliyun.com/solution/logistics,2024-09-15,,,,,,,,,,,,
携程网,旅游、互联网,智能旅游助手,自动化客户支持,自然语言处理与机器学习,百度官网,https://ai.baidu.com/tech/nlp,2024-09-15,,,,,,,,,,,,
用友网络,人力资源、财务管理,用友云人事管理系统,团队协作与文件共享,在线文档编辑与管理,金山办公官网,https://www.wps.cn/product/wpscloud,2024-09-15,,,,,,,,,,,,
京东科技,零售、物流,供应链智能化解决方案,高质量直播与点播,音视频编解码技术,腾讯云官网,https://cloud.tencent.com/product/live,2024-09-15,,,,,,,,,,,,
顺丰科技,快递、物流,智能配送系统,数据安全与存储优化,高并发数据处理技术,达梦官网,http://www.dameng.com/product/db,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,阿里云物流管理系统,个性化出行推荐,推荐算法与数据挖掘,携程官网,https://www.ctrip.com/,2024-09-15,,,,,,,,,,,,
腾讯科技,社交、娱乐,社交商业解决方案,人力资源全面管理,云端服务与大数据分析,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
用友网络,制造业、零售,用友ERP云,自动化仓储管理,物联网与数据分析,京东官网,https://www.jd.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、管理,金蝶云财务软件,实时配送路径优化,人工智能与算法优化,顺丰官网,https://www.sf-express.com/,2024-09-15,,,,,,,,,,,,
海云数据,医疗、健康,医疗信息化解决方案,实时物流跟踪与管理,云计算与大数据,阿里云官网,https://www.aliyun.com/product/express,2024-09-15,,,,,,,,,,,,
华为,通信、IT,5G智能基础设施,用户行为分析与转化,人工智能与大数据,腾讯科技官网,https://www.tencent.com/en-us/products/social.htm,2024-09-15,,,,,,,,,,,,
浪潮集团,政府、教育,智慧教育平台,企业全面资源管理,云ERP及制造优化,用友网络官网,https://www.yonyou.com/solutions/erpcloud/,2024-09-15,,,,,,,,,,,,
极视角科技,安防、智慧城市,城市安防监控解决方案,智能财务与报表生成,财务智能化,金蝶软件官网,https://www.kd.com/services/cloud_finance.html,2024-09-15,,,,,,,,,,,,
云天励飞,交通、公共安全,智能交通管理系统,医院管理系统集成,医疗大数据分析,海云数据官网,https://www.haiyun.com/healthcare/,2024-09-15,,,,,,,,,,,,
益策网络,市场、广告,市场分析与策略优化,智能城市实现,5G技术与云计算,华为官网,https://www.huawei.com/en/solutions/5g,2024-09-15,,,,,,,,,,,,
万达信息,商贸、零售,智慧零售解决方案,在线教育与管理,信息化教育系统,浪潮集团官网,https://www.inspur.com/solutions/education/,2024-09-15,,,,,,,,,,,,
东软集团,医疗、健康管理,云端健康管理系统,人脸识别与监控,智能检测与分析,极视角科技官网,https://www.jishijiao.com/solutions/security/,2024-09-15,,,,,,,,,,,,
河狸家科技,美容、个人护理,在线预约与服务管理系统,交通流量监控与调度,AI与大数据分析,云天励飞官网,https://www.yuntianlifai.com/traffic/,2024-09-15,,,,,,,,,,,,
优软科技,教育,智慧校园管理系统,消费者行为分析,大数据与市场预测,益策网络官网,https://www.yice.com/solutions/market/,2024-09-15,,,,,,,,,,,,
金山云,云服务、数据存储,边缘计算平台,供应链管理、库存优化,物联网与大数据分析,万达信息官网,https://www.wanda-info.com,2024-09-15,,,,,,,,,,,,
用友网络,企业管理,企业资源规划（ERP）解决方案,个人健康数据跟踪与分析,云计算与移动应用,东软集团官网,https://www.neusoft.com,2024-09-15,,,,,,,,,,,,
美团点评,生活服务、购物,智能推荐系统,预约管理、客户关系维护,基于云的服务平台,河狸家官网,https://www.helihome.com,2024-09-15,,,,,,,,,,,,
腾讯科技,互联网、社交,社交电商解决方案,教务管理、在线学习,教育大数据与AI,优软科技官网,https://www.yoursoft.com,2024-09-15,,,,,,,,,,,,
华为技术,通信、网络,智能城市解决方案,实时数据处理与存储,边缘计算与网络优化,金山云官网,https://www.kingsoftcloud.com,2024-09-15,,,,,,,,,,,,
阿里云,电商、云计算,智能数据分析平台,全面资源管理与优化,企业管理软件框架,用友网络官网,https://www.yonyou.com,2024-09-15,,,,,,,,,,,,
阿里云,电商、金融,智能数据分析平台,个性化商品推荐,机器学习与用户行为分析,美团点评官网,https://www.meituan.com,2024-09-15,,,,,,,,,,,,
华为,通信、制造,智能制造解决方案,建立社交关系与在线交易,社交平台与数据挖掘,腾讯科技官网,https://www.tencent.com,2024-09-15,,,,,,,,,,,,
京东数字科技,零售、物流,智慧物流平台,城市级别基础设施整合,5G与云计算,华为官网,https://www.huawei.com,2024-09-15,,,,,,,,,,,,
平安科技,保险、金融,AI风控平台,数据可视化与分析,人工智能与大数据技术,阿里云官网,https://www.aliyun.com,2024-09-15,,,,,,,,,,,,
腾云科技,教育、培训,远程教育管理系统,实时数据处理与分析,大数据处理架构,阿里云官网,https://www.aliyun.com/product/data/,2024-09-15,,,,,,,,,,,,
同方威视,安全、安防,智能安防监控解决方案,生产流程优化,IoT与云服务,华为官网,https://support.huawei.com/enterprise/zh/solutions/enterprise/,2024-09-15,,,,,,,,,,,,
IBM,软件开发、IT服务,云计算解决方案,供应链管理与优化,智能算法与数据挖掘,京东官网,https://www.jd.com/,2024-09-15,,,,,,,,,,,,
搜狐科技,媒体、广告,数据驱动的市场营销解决方案,智能风险评估,机器学习与数据分析,平安科技官网,https://www.pingan.com,2024-09-15,,,,,,,,,,,,
中兴通讯,通信、金融,5G网络安全解决方案,在线课程与评估系统,平台架构与安全策略,腾云科技官网,https://www.tengyun.com,2024-09-15,,,,,,,,,,,,
百度,搜索引擎、人工智能,AI客服系统,实时监控与警报系统,图像识别与机器学习,同方威视官网,http://www.tongfangwei.com/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、智能家居,智能家居管理系统,灵活计算资源管理,云服务平台,IBM官网,https://www.ibm.com/cloud,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,云计算电商平台解决方案,广告投放与效果分析,数据分析与市场预测,搜狐科技官网,https://www.sohu.com,2024-09-15,,,,,,,,,,,,
UCloud,金融、医疗,安全合规云服务,数据加密与网络监控,网络安全技术,中兴官网,https://www.zte.com.cn,2024-09-15,,,,,,,,,,,,
腾讯科技,社交媒体、游戏,即时通讯解决方案,24小时在线智能应答,自然语言处理与深度学习,百度官网,https://www.baidu.com,2024-09-15,,,,,,,,,,,,
百度,智能交通、人工智能,智能交通解决方案,家居设备集中控制,物联网技术,华为官网,https://www.huawei.com/cn/solutions/smart-home,2024-09-15,,,,,,,,,,,,
用友网络,制造业、物流,工业互联网平台,数据分析与客户管理,云计算与大数据,阿里云官网,https://www.aliyun.com/product/ecs,2024-09-15,,,,,,,,,,,,
紫光集团,教育、科研,校园信息化解决方案,数据安全与信息合规,云基础设施与安全防护,UCloud官网,https://www.ucloud.cn/products/cloudspace,2024-09-15,,,,,,,,,,,,
平安科技,金融、保险,智能理赔系统,社交互动与数据分析,实时通讯技术,腾讯官网,https://cloud.tencent.com/product/tcm,2024-09-15,,,,,,,,,,,,
奇迹科技,旅游、酒店,酒店管理系统,交通流量管理与分析,AI与大数据技术,百度官网,https://ai.baidu.com/solutions/traffic,2024-09-15,,,,,,,,,,,,
中软国际,IT服务、咨询,企业数字化转型服务,供需链管理与优化,云服务与大数据,用友官网,https://www.yonyou.com/products/iot,2024-09-15,,,,,,,,,,,,
微众银行,金融科技、政企,智能客服系统,信息管理与资源共享,教育云平台,紫光官网,https://www.unisoc.com/education,2024-09-15,,,,,,,,,,,,
数梦工场,房地产、制造业,BIM设计与管理系统,理赔自动化与风险评估,大数据与AI技术,平安官网,https://www.pingan.com/smartclaims,2024-09-15,,,,,,,,,,,,
天翼云,云计算、IT服务,云存储解决方案,客户关系管理与预订管理,智能系统集成,奇迹科技官网,https://www.qijitech.com/hotel-management,2024-09-15,,,,,,,,,,,,
宁波慧云,物流、供应链,物流智能管理平台,业务流程重组与创新,物联网与AI解决方案,中软国际官网,https://www.chinasoftintl.com/service/digital-transformation,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,金蝶云·星空,24小时客户咨询服务,自然语言处理与人工智能,微众银行官网,https://www.webank.com,2024-09-15,,,,,,,,,,,,
用友网络,教育、文化,教育信息管理系统,项目全生命周期管理,建筑信息模型技术,数梦工场官网,http://www.sumdream.com,2024-09-15,,,,,,,,,,,,
滴滴出行,出行、交通,智慧出行平台,数据安全与备份管理,云安全与管理技术,天翼云官网,https://cloud.189.cn,2024-09-15,,,,,,,,,,,,
微软中国,软件开发、智能云,Azure云计算解决方案,实时监控与数据分析,物联网与大数据,宁波慧云官网,http://www.huiyun.com,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、信息技术,5G智能城市解决方案,综合企业管理解决方案,云端综合管理系统,金蝶官网,https://www.kingdee.com,2024-09-15,,,,,,,,,,,,
阿里云,电子商务、物流,智能经营分析平台,智慧校园综合管理,教育大数据与智能分析,用友网络官网,https://www.yonyou.com,2024-09-15,,,,,,,,,,,,
腾讯云,互联网、教育,课程管理平台,智能调度和服务优化,大数据与AI算法,滴滴官网,https://www.didiglobal.com,2024-09-15,,,,,,,,,,,,
阿里巴巴,电子商务、零售,智能供应链管理,企业级云服务与数据管理,多云架构平台,微软官网,https://www.microsoft.com/zh-cn,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、IT服务,5G智能城市解决方案,城市基础设施智能管理,5G与边缘计算,华为官网,https://www.huawei.com/cn,2024-09-15,,,,,,,,,,,,
神州数码,物流、制造业,智能仓储管理系统,数据驱动的业务决策,大数据与AI应用,阿里云官网,https://www.aliyun.com,2024-09-15,,,,,,,,,,,,
金蝶软件,企业管理、财务,金蝶云·星空,在线学习与评估,云计算与大数据,腾讯云官网,https://cloud.tencent.com/product/edu,2024-09-15,,,,,,,,,,,,
海云数据,金融、保险,智能风险管理系统,库存优化与物流管理,大数据分析,阿里云官网,https://www.aliyun.com/product/ebusiness,2024-09-15,,,,,,,,,,,,
SAP中国,制造业、零售,数字化转型解决方案,城市基础设施与交通管理,5G通讯技术,华为官网,https://www.huawei.com/cn/solutions/smart-city,2024-09-15,,,,,,,,,,,,
友盟+,移动应用、社交网络,App数据分析平台,仓储效率提升与成本优化,物联网技术,神州数码官网,https://www.digitalchina.com/solutions/warehouse,2024-09-15,,,,,,,,,,,,
中移物联网,农业、环保,智能农业解决方案,企业资源计划与财务报表生成,ERP软件,金蝶官网,https://www.kingdee.com/product/cloud/,2024-09-15,,,,,,,,,,,,
用友网络,人力资源、金融,人力资本管理系统,实时风险监测与管理,人工智能算法,海云数据官网,https://www.haiyundata.com/solutions/risk,2024-09-15,,,,,,,,,,,,
华为云,制造业、智能家居,智能制造解决方案,业务流程自动化与优化,云计算与AI技术,SAP官网,https://www.sap.com/china/products.html,2024-09-15,,,,,,,,,,,,
用友网络,零售、电商,用友云零售管理系统,用户行为分析与市场策略优化,数据挖掘技术,友盟+官网,https://umplus.com/,2024-09-15,,,,,,,,,,,,
网易科技,教育、培训,在线教育云平台,温室监控与自动灌溉,物联网技术,中移物联网官网,https://iot.10086.cn/,2024-09-15,,,,,,,,,,,,
海云数据,交通、物流,智慧交通解决方案,人事管理与薪酬分析,云服务平台,用友官网,https://www.yonyou.com/solutions/hr,2024-09-15,,,,,,,,,,,,
平安科技,金融、保险,智能风控系统,生产线自动化管理,云计算与物联网,华为官网,https://www.huawei.com/cn/solutions/,2024-09-15,,,,,,,,,,,,
长亮科技,金融证券,资产管理平台,全渠道销售管理,大数据与机器学习,用友网络官网,https://www.yonyou.com/case/,2024-09-15,,,,,,,,,,,,
金蝶国际,服务业、财务,金蝶云财务软件,虚拟教室与互动学习,视频直播技术,网易科技官网,https://tech.163.com/,2024-09-15,,,,,,,,,,,,
神州数码,电子商务、IT技术,云服务与大数据服务,交通流量监测与分析,物联网与大数据,海云数据官网,https://www.haiyun.com/,2024-09-15,,,,,,,,,,,,
中兴通讯,通信、科技,5G智能网络解决方案,风险评估与管理,人工智能算法,平安科技官网,https://www.pingan.com/,2024-09-15,,,,,,,,,,,,
舜宇光学,电子科技、视觉识别,智能视觉检测系统,投资组合分析与优化,金融数据分析,长亮科技官网,http://www.changliang.com/,2024-09-15,,,,,,,,,,,,
云知声,自动驾驶、物流,智慧物流平台,实时财务报告,云计算及移动互联网,金蝶国际官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
软通动力,健康医疗、金融,智能健康管理系统,数据存储与分析,云计算架构,神州数码官网,https://www.digitalchina.com/,2024-09-15,,,,,,,,,,,,
天融信,网络安全、政府,网络安全防护方案,网络优化与智能应用,5G通信技术,中兴通讯官网,https://www.zte.com.cn/,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,云ERP解决方案,产品质量监控,图像识别技术,舜宇光学官网,https://www.sunnyoptical.com/,2024-09-15,,,,,,,,,,,,
IBM中国,金融、云计算,IBM Watson数据分析,物流管理优化,人工智能与大数据分析,云知声官网,https://www.jimi.ai/,2024-09-15,,,,,,,,,,,,
百度云,互联网、人工智能,智能客服解决方案,个人健康数据监测,云平台与移动应用,软通动力官网,https://www.ustcsoft.com/,2024-09-15,,,,,,,,,,,,
腾讯云,社交媒体、电子商务,微服务解决方案,信息安全监测与预警,安全信息分析与响应,天融信官网,https://www.tianrongxin.com/,2024-09-15,,,,,,,,,,,,
爱数科技,教育、数据管理,数字化校园解决方案,资源规划与管理,云计算与移动互联网,金蝶官网,https://www.kd.com/,2024-09-15,,,,,,,,,,,,
羲和科技,区块链、金融,区块链应用开发平台,智能决策支持系统,机器学习与AI,IBM官网,https://www.ibm.com/cn/,2024-09-15,,,,,,,,,,,,
中软国际,政府、智慧城市,城市管理平台,客户服务自动化,自然语言处理与机器学习,百度云官网,https://cloud.baidu.com/,2024-09-15,,,,,,,,,,,,
华为技术,电信、交通运输,智能运输解决方案,在线业务集成,云服务架构与开发,腾讯云官网,https://cloud.tencent.com/,2024-09-15,,,,,,,,,,,,
阿里云,电子商务、物流,云端供应链管理平台,教育数据的集中管理,数据备份与云存储,爱数科技官网,https://www.edaas.com/,2024-09-15,,,,,,,,,,,,
西门子,自动化、能源,数字化工厂解决方案,安全交易与透明记录,区块链技术研发,羲和科技官网,https://www.xihetech.com/,2024-09-15,,,,,,,,,,,,
明道云,教育、培训,在线教育平台,城市基础设施的数据分析,大数据与物联网,中软国际官网,https://www.neusoft.com/,2024-09-15,,,,,,,,,,,,
普华永道,金融、咨询,风险管理解决方案,交通流量监控与管理,物联网与大数据分析,华为官网,https://www.huawei.com/cn/solutions/transportation.html,2024-09-15,,,,,,,,,,,,
纵深科技,安全、政府,网络安全防护平台,订单处理与库存管理,云计算与自动化技术,阿里云官网,https://www.aliyun.com/product/ecs/,2024-09-15,,,,,,,,,,,,
用友网络,企业管理、公共服务,云ERP解决方案,全渠道销售管理,智慧财务与ERP集成,金蝶官网,https://www.kingdee.com/cloud.html,2024-09-15,,,,,,,,,,,,
四维图新,交通、汽车,智能导航解决方案,智能制造与设备预测维护,工业互联网与AI技术,西门子官网,https://new.siemens.com/global/en/company/about/businesses/digital-industries.html,2024-09-15,,,,,,,,,,,,
天融信,IT安全、医疗,医护信息安全解决方案,课程管理与在线互动,云技术与社交功能,明道云官网,https://www.mingdao.com/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通讯、云计算,华为云基础设施管理,企业风险评估与合规检查,数据分析与法规遵循,普华永道官网,https://www.pwc.com/cn/en/services/governance-risk-and-compliance.html,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,电商、金融,蚂蚁链区块链解决方案,实时威胁监测与响应,网安大数据与监控技术,纵深科技官网,https://www.zdsafe.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,制造、服务业,金蝶云·星辰,企业资源规划与管理,云计算与人工智能,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
用友网络科技,企业管理,用友ERP云,实时位置服务与车载系统,地图数据与导航技术,四维图新官网,http://www.navinfo.com/,2024-09-15,,,,,,,,,,,,
比阿斯科技,教育、在线学习,在线学习平台解决方案,患者数据保护与安全访问,信息安全与加密技术,天融信官网,https://www.thunderobd.com/,2024-09-15,,,,,,,,,,,,
腾信科技,医疗、健康,智能医疗辅助系统,云服务资源调配,分布式计算与管理,华为官网,https://www.huawei.com/cn/cloud,2024-09-15,,,,,,,,,,,,
IBM,IT服务、金融,IBM Watson人机交互平台,供应链透明化管理,区块链技术应用,阿里云官网,https://www.aliyun.com/product/blockchain,2024-09-15,,,,,,,,,,,,
华大基因,生物科技、医疗,基因组数据管理系统,企业全面财务管控,云端财务管理,金蝶官网,https://www.kd.com.cn/solution/cloudstar,2024-09-15,,,,,,,,,,,,
中科院计算所,科研、人工智能,AI科研助手,企业资源实时监控,ERP系统开发与集成,用友官网,https://www.yonyou.com/product/erp,2024-09-15,,,,,,,,,,,,
信阳科技,城市管理、智慧交通,智慧城市交通管理系统,实时互动课堂,在线教育技术,比阿斯官网,https://www.bias.cn/education,2024-09-15,,,,,,,,,,,,
字节跳动,媒体、社交,广告投放优化平台,患者健康数据分析,人工智能与大数据,腾信官网,https://www.tengxin.com/health,2024-09-15,,,,,,,,,,,,
腾讯云,云计算、IT服务,全栈云服务方案,智能客服与自动应答,自然语言处理,IBM官网,https://www.ibm.com/watson,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、企业,智能制造解决方案,精准医疗辅助决策,基因数据分析,华大基因官网,https://www.bgitech.com/genome,2024-09-15,,,,,,,,,,,,
阿里云,电子商务、云服务,云上金融科技解决方案,科研数据自动挖掘与分析,AI算法研发,中科院官网,https://www.ict.ac.cn/AIresearch,2024-09-15,,,,,,,,,,,,
美团,生活服务、旅游,商户运营数据分析系统,城市交通数据实时优化,物联网与数据分析,信阳科技官网,https://www.xinyangtech.com/smartcity,2024-09-15,,,,,,,,,,,,
连接科技,物联网、智能家居,智能家居解决方案,精准广告投放与效果分析,大数据与人工智能,字节跳动官网,https://www.bytedance.com,2024-09-15,,,,,,,,,,,,
四维图新,导航、自动驾驶,车联网解决方案,云资源整合与管理,云计算架构与安全,腾讯云官网,https://cloud.tencent.com,2024-09-15,,,,,,,,,,,,
