标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
GB 8999-2018,饮用水卫生标准,2018-10-12,2019-01-01,2018-004,强制性标准,全国饮用水供给,饮用水安全标准,国家卫生健康委员会,饮用水卫生安全法,国家卫生健康委员会,https://www.nhc.gov.cn/,2024-09-29,,,,,,,
GB 2761-2022,固态食品微生物标准,2022-05-20,2022-10-01,2022-005,强制性标准,固态食品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,全国食品安全技术监测平台,https://www.cnsafety.gov.cn/,2024-09-29,,,,,,,
DB J32/009-2023,地方食品安全标准：茶叶,2023-02-15,2023-08-01,DB-J32-009,地方标准,江西省茶叶行业,地方食品安全标准,江西省市场监督管理局,地方食品安全法,南昌市市场监督管理局,https://www.jiangxi.gov.cn/,2024-09-29,,,,,,,
GB/T 22000-2021,食品安全管理体系标准,2021-04-20,2021-10-01,2021-006,推荐性标准,全国食品企业,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 28050-2023,肉类产品卫生标准,2023-06-05,2023-12-01,2023-007,强制性标准,全国肉类生产、销售,食品安全标准,国家农业农村部,肉类卫生法,全国食品安全技术监测平台,https://www.cnsafety.gov.cn/,2024-09-29,,,,,,,
GB 28050-2019,食品追溯管理标准,2019-11-15,2020-01-01,2019-004,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 30421-2020,生鲜食品安全标准,2020-10-10,2021-01-01,2020-008,强制性标准,生鲜食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国食品安全网,https://www.cfda.gov.cn/,2024-09-29,,,,,,,
DB H13/005-2022,地方食品安全标准：川菜调料,2022-07-01,2022-12-01,DB-H13-005,地方标准,四川省食品生产、销售,地方食品安全标准,四川省市场监督管理局,地方食品安全法,四川省食品药品监管局,https://scjgs.sc.gov.cn/,2024-09-29,,,,,,,
T/CAFA 5001-2023,植物油安全标准,2023-02-20,2023-07-01,T-CAFA-5001,团体标准,全国范围内食用油生产企业,食品安全标准,中国植物油协会,团体标准制定办法,食品安全报,https://www.foodsafety.com.cn/,2024-09-29,,,,,,,
GB 4851-2018,新型食品安全管理标准,2018-05-30,2018-12-01,2018-006,强制性标准,全国范围内食品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,食品安全报告,https://www.foodsafety.gov.cn/,2024-09-29,,,,,,,
DB J34/007-2022,地方食品安全标准：甘蓝,2022-09-10,2023-01-01,DB-J34-007,地方标准,吉林省食品生产、销售,地方食品安全标准,吉林省市场监督管理局,地方食品安全法,吉林省食品药品监督管理局,https://jl.jls.gov.cn/,2024-09-29,,,,,,,
GB/T 19829-2020,农药残留限量标准,2020-09-01,2021-03-01,2020-012,强制性标准,全国范围内农产品生产、加工,食品安全标准,国家农业农村部,农药管理条例,中国农业部,https://www.moa.gov.cn/,2024-09-29,,,,,,,
DB F15/003-2023,地方食品安全标准：豆制品,2023-04-15,2023-10-01,DB-F15-003,地方标准,福建省食品生产、销售,地方食品安全标准,福建省市场监督管理局,地方食品安全法,福建省食品药品监督管理局,https://www.fda.gov.cn/,2024-09-29,,,,,,,
GB 19945-2021,食品原料安全标准,2021-08-05,2021-12-15,2021-011,强制性标准,全国范围内食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,中国食品安全网,https://www.cfda.gov.cn/,2024-09-29,,,,,,,
T/CFIA 2003-2023,饮用水安全标准,2023-03-01,2023-08-15,T-CFIA-2003,团体标准,全国范围内饮用水供应企业,饮用水安全标准,中国饮用水协会,团体标准制定办法,饮用水安全管理网站,https://www.drinkwatersafety.com/,2024-09-29,,,,,,,
GB 2763-2023,食品中重金属限量标准,2023-02-28,2023-09-01,2023-001,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 2781-2022,有机食品生产标准,2022-05-15,2023-01-01,2022-002,强制性标准,全国范围内有机食品生产企业,食品安全标准,国家市场监督管理总局,有机食品规定,中国有机食品协会,https://www.coa.org.cn/,2024-09-29,,,,,,,
DB Q36/004-2023,地方特色食品安全标准：湖南辣椒,2023-05-21,2023-11-01,DB-Q36-004,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省卫生健康委员会,地方食品安全法,湖南省市场监督管理局,https://www.hn.gov.cn/,2024-09-29,,,,,,,
GB 2765-2020,食品营养标签标准,2020-09-30,2021-02-01,2020-003,强制性标准,全国范围内食品生产、销售,食品安全标准,国家市场监督管理委员会,食品安全法,中国食品科学技术学会,https://www.cifst.org.cn/,2024-09-29,,,,,,,
T/CFA 0003-2022,食品接触材料安全标准,2022-10-10,2023-01-01,T-CFA-0003,团体标准,全国食品生产企业,食品接触材料标准,中国食品包装协会,团体标准制定办法,中国包装联合会,https://www.chinapack.org/,2024-09-29,,,,,,,
GB 5009.33-2016,食品中维生素含量测定标准,2016-05-01,2016-10-01,2016-004,强制性标准,全国范围内食品检测机构,食品安全标准,国家卫生健康委员会,食品安全法,北京食品安全实验室,https://www.fda.gov.cn/,2024-09-29,,,,,,,
DB J11/001-2022,地方食品安全标准：北京小吃,2022-08-15,2023-03-01,DB-J11-001,地方标准,北京市食品生产、销售,地方食品安全标准,北京市市场监督管理局,地方食品安全法,北京市卫生健康委员会,https://www.beijing.gov.cn/,2024-09-29,,,,,,,
GB 6791-2013,食品中农药残留限量标准,2013-04-20,2013-10-01,2013-005,强制性标准,全国范围内食品生产、加工,食品安全标准,农业农村部,农产品质量安全法,国家农业监督管理局,https://www.moa.gov.cn/,2024-09-29,,,,,,,
N/A,植物基食品安全标准,2023-01-15,2023-07-01,N/A,新兴标准,全国范围内食品生产企业,植物基食品安全标准,国家市场监督管理总局,新食品法规,绿色食品发展中心,https://www.greenfood.org.cn/,2024-09-29,,,,,,,
T/CFA 0004-2023,植物性食品添加剂标准,2023-08-10,2024-01-01,T-CFA-0004,团体标准,全国范围内植物基食品公司,食品添加剂标准,中国植物基食品协会,团体标准制定办法,植物基食品科技论坛,https://www.vegfood.org.cn/,2024-09-29,,,,,,,
GB 10401-2022,农药残留限量标准,2022-07-10,2023-01-01,2022-004,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,农药管理法,国家市场监督管理局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
NY/T 4550-2020,绿色食品认证标准,2020-08-15,2021-01-01,2020-005,自愿性标准,菜农、果农和食品生产企业,绿色食品标准,国家农业农村部,农产品质量安全法,中国绿色食品发展中心,http://www.greenfood.gov.cn/,2024-09-29,,,,,,,
Q/CA 003-2023,咖啡及其制品质量标准,2023-04-01,2023-09-01,2023-001,团体标准,全国咖啡生产企业,食品质量标准,中国咖啡协会,食品质量安全法,中国咖啡协会,http://www.chinacoffee.org/,2024-09-29,,,,,,,
DB 44/T 334-2023,地方标准：鱼类安全标准,2023-02-20,2023-07-01,DB-44-001,地方标准,广东省食品生产、销售,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省市场监督管理局,http://www.gd.gov.cn/,2024-09-29,,,,,,,
GB/T 3292-2019,即食食品安全标准,2019-10-12,2020-03-01,2019-007,推荐性标准,全国食品生产企业,食品安全标准,国家卫生健康委员会,卫生法,国家标准化管理委员会,http://www.sac.gov.cn/,2024-09-29,,,,,,,
T/CFB 007-2021,有机食品认证标准,2021-09-05,2021-12-01,T-CFB-0007,团体标准,全国范围内有机食品生产企业,有机食品标准,中国有机产品认证中心,有机食品法,中国有机土地协会,http://www.organic.org.cn/,2024-09-29,,,,,,,
GB 5009.37-2016,食品中重金属限量标准,2016-05-01,2016-11-01,2016-002,强制性标准,全国食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家卫生委员会,http://www.nhc.gov.cn/,2024-09-29,,,,,,,
SY/T 647-2022,生鲜海产品质量标准,2022-11-15,2023-03-01,SY-647-001,团体标准,全国水产品加工企业,海鲜质量标准,中国水产流通与加工协会,食品安全法,中国水产流通与加工协会,http://www.cfs.org.cn/,2024-09-29,,,,,,,
DB 21/T 019-2018,地方标准：烈性饮料安全标准,2018-08-30,2019-01-01,DB-21-001,地方标准,四川省食品生产、销售,地方食品安全标准,四川省市场监督管理局,地方食品安全法,四川省市场监督管理局,http://www.sc.gov.cn/,2024-09-29,,,,,,,
GRN/ST-045-2023,植物基食品安全标准,2023-03-10,2023-08-01,GRN-045-001,自愿性标准,全国植物基食品生产企业,食品安全标准,中国植物基食品协会,新兴食品法,中国植物基食品协会,http://www.plantbased.org.cn/,2024-09-29,,,,,,,
GB 4874-2023,有机食品标识标准,2023-08-15,2024-01-01,2023-004,强制性标准,全国范围内的有机食品生产与销售,食品安全标准,国家市场监督管理总局,有机产品认证管理办法,中国有机食品协会,https://www.organic.cn,2024-09-29,,,,,,,
GB/T 33469-2022,农药残留限量标准,2022-11-22,2023-05-01,2022-005,推荐性标准,各类果蔬的生产及销售,食品安全标准,国家农业农村部,农药管理条例,农业农村部网站,https://www.moa.gov.cn,2024-09-29,,,,,,,
DB S44/005-2022,地方食品安全标准：干果类食品,2022-06-30,2022-12-01,DB-S44-005,地方标准,北京市干果类食品生产与销售,地方食品安全标准,北京市市场监督管理局,地方食品安全法,北京市市场监督管理局,https://www.bj.gov.cn,2024-09-29,,,,,,,
GB 10004-2023,食品包装安全标准,2023-09-05,2024-04-01,2023-006,强制性标准,全国范围内的食品包装材料,食品安全标准,国家市场监督管理总局,食品安全法,中国包装联合会,https://www.cpb.org.cn,2024-09-29,,,,,,,
GB 17895-2019,水产品检验标准,2019-03-25,2019-09-01,2019-002,强制性标准,水产品的捕捞、加工与销售,食品安全标准,国家市场监督管理总局,水产品流通管理办法,水产品质量安全监测中心,https://www.sjc.gov.cn,2024-09-29,,,,,,,
T/CFFA 0015-2021,食品安全基本规范,2021-10-12,2022-04-01,T-CFFA-0015,团体标准,全国食品企业适用,食品安全标准,中国食品安全专项认证中心,食品安全法,食品安全网,https://www.foodsafety.com.cn,2024-09-29,,,,,,,
GB 5009.37-2021,食品中重金属检测标准,2021-05-15,2021-11-01,2021-001,强制性标准,食品生产与销售,食品安全标准,国家卫生健康委员会,食品安全法,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-29,,,,,,,
GB 2763-2020,食品中微生物限量标准,2020-07-20,2021-01-01,2020-003,强制性标准,食品生产与加工,食品安全标准,国家卫生健康委员会,食品安全法,中国卫生健康委员会,https://www.nhc.gov.cn,2024-09-29,,,,,,,
T/CFSA 0030-2023,食品原料采购质量标准,2023-01-10,2023-07-01,T-CFSA-0030,团体标准,全国食品企业原料采购,食品安全标准,中国食品安全协会,团体标准制定办法,食品科技网,https://www.foodtech.com,2024-09-29,,,,,,,
GB 5009.28-2022,食品中重金属限量标准,2022-07-15,2023-01-01,2022-004,强制性标准,食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,中国国家标准化管理委员会,https://www.sac.gov.cn/,2024-09-29,,,,,,,
QB/T 2534-2021,预包装食品标签通则,2021-04-12,2021-10-01,2021-001,行业标准,全国范围内食品销售,食品标签标准,中国商业联合会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB/T 31333-2019,食用植物油卫生标准,2019-11-25,2020-05-01,2019-002,强制性标准,植物油生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,中国食品报,https://www.foodsafety.gov.cn/,2024-09-29,,,,,,,
DB 12/001-2023,地方标准：新疆干果标准,2023-03-10,2023-09-01,DB-12-001,地方标准,新疆维吾尔自治区食品生产,地方食品安全标准,新疆维吾尔自治区市场监督管理局,地方食品安全法,新疆食品安全中心,https://www.xj.gov.cn/,2024-09-29,,,,,,,
T/CFSCA 002-2022,现代食品供应链安全标准,2022-06-20,2023-01-01,T-CFSCA-002,团体标准,全国供应链与流通,食品供应链安全标准,中国食品安全协会,食品安全法,中国食品科技网,https://www.chinafoodtech.com/,2024-09-29,,,,,,,
GB 25945-2023,生鲜食品贮存与运输标准,2023-01-15,2023-07-01,2023-005,强制性标准,生鲜食品流通行业,食品安全标准,国家市场监督管理总局,食品安全法,商务部食品安全办公室,https://www.mofcom.gov.cn/,2024-09-29,,,,,,,
DB H15/002-2021,地方标准：湖南小龙虾质量标准,2021-09-05,2022-03-01,DB-H15-002,地方标准,湖南省小龙虾生产,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南食品安全网,http://www.hunan.gov.cn/,2024-09-29,,,,,,,
GB 29720-2020,生鲜乳及其制品卫生标准,2020-03-20,2020-09-01,2020-004,强制性标准,生鲜乳生产、加工,食品安全标准,国家卫生健康委员会,乳品卫生标准,中国乳制品协会,http://www.cdqa.org.cn/,2024-09-29,,,,,,,
T/CDA 003-2023,食品检测方法标准,2023-02-18,2023-08-01,T-CDA-003,团体标准,全国食品安全检测机构,食品安全检测标准,中国检测认证协会,食品安全法,中国计量院,http://www.nim.ac.cn/,2024-09-29,,,,,,,
DB J26/001-2021,地方标准：吉林大米质量标准,2021-11-11,2022-05-01,DB-J26-001,地方标准,吉林省大米生产,地方食品安全标准,吉林省市场监督管理局,地方食品安全法,吉林省食品药品监督管理局,http://www.jilin.gov.cn/,2024-09-29,,,,,,,
GB 29854-2020,食品中重金属污染物限量标准,2020-06-01,2020-12-01,2020-001,强制性标准,全国食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,深圳市市场监督管理局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB 26769-2018,大米质量安全标准,2018-11-15,2019-03-01,2018-002,强制性标准,稻米生产、加工,食品安全标准,农业农村部,食品安全法,中国农业部网站,http://www.moa.gov.cn,2024-09-29,,,,,,,
DB J46/005-2022,地方食品安全标准：茶叶,2022-01-10,2022-07-01,DB-J46-005,地方标准,江西省食品生产、销售,地方食品安全标准,江西省市场监督管理局,地方食品安全法,江西省市场监督管理局,https://jxsq.gov.cn,2024-09-29,,,,,,,
T/CFDA 0003-2021,食品包装材料安全标准,2021-09-25,2022-01-01,T-CFDA-0003,团体标准,全国范围内包装材料生产企业,包装安全标准,中国食品包装协会,团体标准制定办法,中国食品安全网,http://www.cfda.gov.cn,2024-09-29,,,,,,,
QBT 3056-2019,冷冻食品加工卫生标准,2019-10-20,2020-03-01,QBT-3056,行业标准,冷冻食品加工企业,食品卫生标准,全国食品安全标准化技术委员会,食品卫生法,中国食品安全网,http://www.cfsa.org.cn,2024-09-29,,,,,,,
GB 5009.40-2021,食品中农药残留限量标准,2021-04-01,2021-10-01,2021-004,强制性标准,全国范围内农产品,食品安全标准,国家市场监督管理总局,食品安全法,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-29,,,,,,,
NY/T 3101-2020,有机食品认证标准,2020-05-15,2020-11-01,NYT-3101,行业标准,全国有机食品生产企业,有机食品标准,农业农村部,有机产品认证管理办法,中国农业部网站,http://www.moa.gov.cn,2024-09-29,,,,,,,
DB H15/003-2023,地方食品安全标准：调味品,2023-02-01,2023-07-01,DB-H15-003,地方标准,湖北省食品生产、销售,地方食品安全标准,湖北省市场监督管理局,地方食品安全法,湖北省市场监督管理局,https://hbscjgj.gov.cn,2024-09-29,,,,,,,
GB 2767-2021,餐饮服务卫生标准,2021-11-01,2022-04-01,2021-005,强制性标准,餐饮服务行业,食品卫生标准,国家市场监督管理总局,餐饮服务食品安全管理办法,中国餐饮业协会,http://www.caterers.org.cn,2024-09-29,,,,,,,
GB 5009.11-2019,食品营养成分表标准,2019-05-10,2019-10-01,2019-006,强制性标准,食品生产企业,营养成分标准,国家市场监督管理总局,食品标示管理办法,中国食品安全网,http://www.cfsa.org.cn,2024-09-29,,,,,,,
GB 3001-2023,食品中重金属限量标准,2023-05-30,2023-11-01,2023-003,强制性标准,全国范围内食品生产、加工,食品安全标准,国家食品药品监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
NY/T 132-2022,农产品安全质量标准,2022-10-15,2023-01-01,2022-001,强制性标准,农业食品生产,农产品安全标准,农业农村部,农产品安全法,农业信息网,http://www.moa.gov.cn,2024-09-29,,,,,,,
GB 6215-2021,肉类和禽类食品中病原微生物标准,2021-08-20,2022-02-01,2021-008,强制性标准,肉类、禽类生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,国家食品安全风险评估中心,http://www.cfsa.net.cn,2024-09-29,,,,,,,
DB23/T 007-2023,地方食品安全标准：地方特色粮食,2023-03-25,2023-08-15,DB23-004,地方标准,四川省食品生产、销售,地方食品安全标准,四川省市场监督管理局,地方食品安全法,四川省市场监督管理局,http://www.sc.ssa.gov.cn,2024-09-29,,,,,,,
T/CFRH 0001-2022,食品加工过程管理标准,2022-11-10,2023-04-01,T-CFRH-0001,团体标准,全国范围内食品加工企业,食品生产安全标准,中国食品工业协会,团体标准制定办法,中国食品工业协会官网,http://www.chinafood.org.cn,2024-09-29,,,,,,,
GB 5009-2020,食品营养成分测定标准,2020-09-15,2021-01-01,2020-007,强制性标准,食品生产、销售,食品营养标准,国家市场监督管理总局,食品营养法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB/T 29681-2021,植物油安全标准,2021-05-20,2021-10-01,2021-005,推荐性标准,植物油生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,食品质量安全检测中心,http://www.cqa.org.cn,2024-09-29,,,,,,,
SQ/T 0012-2023,水产品安全标准,2023-02-01,2023-06-01,SQ-0012,强制性标准,水产品加工、销售,食品安全标准,农业农村部,水产品质量安全法,国家水产品质量安全中心,http://www.nm.gov.cn,2024-09-29,,,,,,,
GB 4814-2023,食品用包装材料安全标准,2023-07-05,2024-01-01,2023-009,强制性标准,包装材料生产,食品安全标准,国家食品药品监督管理总局,食品包装材料法,中国包装材料质量监测中心,http://www.cnbm.com.cn,2024-09-29,,,,,,,
DB37/T 0011-2022,地方食品安全标准：辣椒制品,2022-06-15,2022-12-31,DB37-005,地方标准,湖南省食品生产、加工,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南省市场监督管理局,http://www.hunan.gov.cn,2024-09-29,,,,,,,
GB 28050-2022,食品中重金属最大限量标准,2022-11-25,2023-05-01,2022-004,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理局,https://www.samr.gov.cn,2024-09-29,,,,,,,
DB J66/007-2023,地方食品安全标准：稻米,2023-09-10,2024-01-01,DB-J66-007,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省卫生健康委员会,地方食品安全法,江苏省市场监督管理局,https://www.jiangsu.gov.cn,2024-09-29,,,,,,,
T/CFAE 0003-2023,植物性食品添加剂标准,2023-07-15,2023-12-01,T-CFAE-0003,团体标准,全国范围内食品生产企业,食品添加剂标准,中国食品添加剂企业协会,团体标准制定办法,中国食品科技网,https://www.cift.org.cn,2024-09-29,,,,,,,
GB 6878-2021,食品冷链运输标准,2021-10-20,2022-01-01,2021-005,强制性标准,全国范围内食品冷链运输,食品安全标准,国家市场监督管理总局,食品安全法,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-29,,,,,,,
DB S34/002-2023,地方食品安全标准：牛奶,2023-03-05,2023-09-10,DB-S34-002,地方标准,四川省食品生产、销售,地方食品安全标准,四川省市场监督管理局,地方食品安全法,四川省作物研究所,https://www.sc.gov.cn,2024-09-29,,,,,,,
GB 19301-2022,特殊食品安全标准,2022-02-14,2022-08-01,2022-006,强制性标准,特殊食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,中国特殊食品网,https://www.chinafood.org.cn,2024-09-29,,,,,,,
T/CAFA 0001-2021,食品包装材料标准,2021-04-22,2021-10-01,T-CAFA-0001,团体标准,全国范围内食品包装生产,食品安全标准,中国包装协会,团体标准制定办法,中国包装网,https://www.chinapack.org.cn,2024-09-29,,,,,,,
GB 27836-2020,食品营养标签标准,2020-09-15,2021-03-01,2020-003,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全监管局,https://www.nmpa.gov.cn,2024-09-29,,,,,,,
DB H31/003-2023,地方食品安全标准：海鲜,2023-08-01,2024-02-01,DB-H31-003,地方标准,海南省食品生产、销售,地方食品安全标准,海南省市场监督管理局,地方食品安全法,海南省海洋与渔业厅,https://www.hainan.gov.cn,2024-09-29,,,,,,,
GB 20464-2021,农业食品生产标准,2021-11-01,2022-06-15,2021-002,强制性标准,全国范围内农业食品生产,食品安全标准,农业农村部,食品安全法,中国农业信息网,https://www.maff.gov.cn,2024-09-29,,,,,,,
GB 28050-2022,食品中重金属污染物限量,2022-09-01,2023-01-01,2022-004,强制性标准,全国食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全风险评估中心,https://www.nifdc.org.cn/,2024-09-29,,,,,,,
GB 13432-2020,有机食品认证标准,2020-11-20,2021-05-01,2020-005,强制性标准,全国范围内的食品生产及销售,食品安全标准,中国国家标准化管理委员会,有机产品认证管理办法,中国有机产品认证中心,https://www.cca.org.cn/,2024-09-29,,,,,,,
DB S96/002-2023,地方食品安全标准：海南热带水果,2023-02-15,2023-07-01,DB-S96-002,地方标准,海南省食品生产、销售,地方食品安全标准,海南省市场监督管理局,地方食品安全法,海南省农业农村厅,https://www.hainan.gov.cn/,2024-09-29,,,,,,,
GB/T 20895-2021,农药残留检测标准,2021-06-18,2022-01-01,2021-006,推荐性标准,全国范围内农产品,农药安全标准,农业农村部,农药管理条例,中国农业科学院,https://www.ara.gov.cn/,2024-09-29,,,,,,,
T/CFDA 0015-2022,食品卫生净化标准,2022-08-22,2023-01-01,T-CFDA-0015,团体标准,冷链食品运输企业,食品卫生标准,中国食品药品检定研究院,卫生法,上海市食品药品监督管理局,https://www.sda.gov.cn/,2024-09-29,,,,,,,
DB H12/003-2022,地方食品安全标准：湖南腊味,2022-12-10,2023-06-01,DB-H12-003,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省生态环境厅,湖南省食品安全条例,湖南省市场监督管理局,https://www.hunan.gov.cn/,2024-09-29,,,,,,,
GB 5009.11-2023,食品中营养成分检测标准,2023-03-16,2023-09-01,2023-001,强制性标准,全国食品生产企业,食品安全标准,国家卫生健康委员会,食品安全法,全国食品品质检测中心,https://www.nhfpc.gov.cn/,2024-09-29,,,,,,,
GB/T 31000-2021,加工食品营养标识标准,2021-09-30,2022-04-01,2021-007,推荐性标准,全国范围内加工食品,食品营养标识标准,国家市场监督管理总局,反不正当竞争法,国家标准化管理委员会,https://www.sac.gov.cn/,2024-09-29,,,,,,,
T/CFS 0004-2022,食品安全信息追溯标准,2022-11-11,2023-03-15,T-CFS-0004,团体标准,全国范围内食品生产企业,食品追溯标准,中国食品安全协会,团体标准制定办法,全国食品质量监督管理局,https://www.cfsa.org.cn/,2024-09-29,,,,,,,
GB 31250-2023,食品防腐剂使用限量标准,2023-01-20,2023-08-01,2023-005,强制性标准,全国食品生产、加工,食品安全标准,国家市场监督管理总局,食品添加剂使用标准,国家食品科学技术中心,https://www.cfs.gov.cn/,2024-09-29,,,,,,,
GB 2763-2023,食品中重金属污染物限量标准,2023-02-15,2023-08-01,2023-001,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-29,,,,,,,
GB 2764-2020,益生菌食品标准,2020-05-01,2021-01-01,2020-002,强制性标准,全国范围内食品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,中国食品药品监督管理局,http://www.nmpa.gov.cn,2024-09-29,,,,,,,
NY/T 1220-2022,有机食品生产标准,2022-06-10,2022-12-01,NYT-1220-002,行业标准,农业部管辖的食品生产,有机食品标准,农业农村部,有机产品认证管理办法,中国农业部,http://www.moa.gov.cn,2024-09-29,,,,,,,
DB MIME/003-2023,地方食品安全标准：福建省水果,2023-01-20,2023-07-01,DB-MIME-003,地方标准,福建省果品生产、销售,地方食品安全标准,福建省卫生健康委员会,地方食品安全法,福建省市场监督管理局,http://fujian.gov.cn,2024-09-29,,,,,,,
T/CFAA 0003-2023,特定食品添加剂使用标准,2023-05-05,2023-11-01,T-CFAA-0003,团体标准,全国范围内食品添加剂使用,食品添加剂标准,中国食品添加剂和配料协会,团体标准制定办法,中国食品工业协会,http://www.china-cfia.com,2024-09-29,,,,,,,
GB 6703-2019,食品微生物限量标准,2019-10-15,2020-04-01,2019-004,强制性标准,全国范围内食品生产与检验,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全监管机构,http://www.cfs.gov.cn,2024-09-29,,,,,,,
DB GZ/004-2022,地方食品安全标准：贵州省大米,2022-08-30,2023-03-01,DB-GZ-004,地方标准,贵州省粮食生产、销售,地方食品安全标准,贵州省市场监督管理局,地方食品安全法,贵州省卫健委,http://www.gz.gov.cn,2024-09-29,,,,,,,
GB 26010-2018,食品包装材料安全标准,2018-11-01,2019-05-01,2018-005,强制性标准,全国范围内食品包装材料,食品卫生标准,国家市场监督管理总局,食品安全法,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-29,,,,,,,
T/BCAA 0001-2023,植物基食品标准,2023-03-10,2023-09-01,T-BCAA-0001,团体标准,全国范围内植物基食品生产企业,食品安全标准,中国植物基食品协会,团体标准制定办法,中国食品科学技术学会,http://www.cfst.org.cn,2024-09-29,,,,,,,
DB HN/005-2023,地方食品安全标准：河南省乳制品,2023-04-25,2023-10-01,DB-HN-005,地方标准,河南省乳制品生产、销售,地方食品安全标准,河南省市场监督管理局,地方食品安全法,河南省卫健委,http://www.henan.gov.cn,2024-09-29,,,,,,,
GB 2790-2022,蜂蜜质量安全标准,2022-09-01,2023-03-01,2022-004,强制性标准,蜂蜜生产、加工、销售,食品安全标准,国家农业农村部,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-29,,,,,,,
GB 20077-2023,新鲜水果和蔬菜食品安全标准,2023-01-15,2023-07-01,2023-001,强制性标准,国内水果、蔬菜生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,中国食品安全网,https://www.cfsa.net.cn,2024-09-29,,,,,,,
GB 4806.1-2016,食品接触材料和制品安全标准,2016-04-07,2016-10-01,2016-005,强制性标准,各类食品接触材料,食品安全标准,国家市场监督管理总局,食品安全法,工业和信息化部,https://www.miit.gov.cn,2024-09-29,,,,,,,
DB 31/T 235-2021,地方食品安全标准：豆腐,2021-08-12,2021-12-01,DB-31-001,地方标准,北京市食品生产、销售,地方食品安全标准,北京市市场监管局,地方食品安全法,北京市农业农村局,https://www.bjny.gov.cn,2024-09-29,,,,,,,
T/CDAA 0010-2023,食品营养标识标准,2023-04-10,2023-10-01,T-CDAA-0010,团体标准,全国食品生产企业,食品营养标识标准,中国营养学会,团体标准制定办法,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-29,,,,,,,
GB 31604.1-2019,食品标签通用标准,2019-05-01,2020-01-01,2019-007,强制性标准,所有食品产品,食品安全标准,国家市场监督管理总局,食品安全法,国家质量监督检验检疫总局,https://www.cnca.gov.cn,2024-09-29,,,,,,,
DB H15/001-2021,地方食品安全标准：鸡蛋,2021-11-20,2022-05-01,DB-H15-001,地方标准,海南省食品生产、销售,地方食品安全标准,海南省市场监督管理局,地方食品安全法,海南省农业农村厅,https://www.hainan.gov.cn,2024-09-29,,,,,,,
