考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
合规性优先,法规更新反应速度,25,55,150,85,89%,0.92,94%,0.78,0.18,合规性评估模型,广州市环境保护局,https://www.gz.gov.cn/,,
环保优先,废物回收率,32,72,180,100,91%,0.95,99%,0.83,0.25,综合评估模型,南京市环保局,https://www.nanjing.gov.cn/,,
安全第一,事故隐患排查率,38,85,170,120,94%,0.99,96%,0.87,0.3,风险评估模型,四川省安全生产监督管理局,https://www.sc.gov.cn/,,
持续改进,绿色技术应用率,28,68,160,90,96%,0.94,99%,0.81,0.2,绿色技术评估模型,清华大学可持续发展研究中心,https://www.tsinghua.edu.cn/,,
合规性优先,环境监测及时率,23,58,145,80,87%,0.91,96%,0.76,0.15,合规性监测模型,浙江省环境综合管理局,https://www.zj.gov.cn/,,
环保优先,排污许可证合规率,30,77,185,135,92%,0.96,99%,0.88,0.29,环境合规性模型,福州市环境保护局,https://www.fuzhou.gov.cn/,,
安全第一,应急演练次数,26,63,155,88,90%,0.93,97%,0.82,0.24,安全评估模型,辽宁省应急管理局,https://www.ln.gov.cn/,,
环保优先,排放控制与治理效果,45,85,210,130,93%,0.96,100%,0.88,0.35,加权平均法,北京市生态环境局,https://www.bjepb.gov.cn/,,
安全第一,事故率监测,38,75,165,110,89%,0.95,97%,0.82,0.28,整合评估模型,天津市应急管理局,https://www.tianjin.gov.cn/,,
持续改进,资源利用效率,32,68,155,95,91%,0.94,96%,0.84,0.22,数据效益模型,全国统计局,http://www.stats.gov.cn/,,
合规性优先,法规遵守审核,25,62,135,85,90%,0.92,94%,0.78,0.18,合规审查模型,广东省环境保护厅,https://www.gdep.gov.cn/,,
安全优先,安全管理效率,35,72,150,100,85%,0.89,98%,0.76,0.25,安全控制模型,南方日报,http://www.southcn.com/,,
环保优先,生态影响评估,42,90,180,140,92%,0.97,96%,0.87,0.3,影响评估模型,环境保护部,https://www.mee.gov.cn/,,
持续改进,运营成本控制,28,65,145,92,86%,0.91,95%,0.74,0.2,成本优化模型,科研机构,https://www.researchgate.net/,,
合规性优先,合规性审核,22,58,120,80,88%,0.94,100%,0.77,0.18,合规性跟踪模型,法律法规研究中心,https://www.chinalaw.gov.cn/,,
安全优先,安全指标监测,30,74,157,97,89%,0.95,99%,0.81,0.26,风险评估模型,中国社会科学院,http://www.cssn.cn/,,
资源节约,水资源使用效率,45,85,210,130,93%,0.96,98%,0.88,0.28,优化评估模型,国家水资源部,https://www.mwr.gov.cn/,,
生态优先,生物多样性保护,35,75,150,120,91%,0.97,100%,0.85,0.22,生态影响评估模型,国家生态环境部,https://www.mee.gov.cn/,,
技术创新,新技术应用比例,25,65,140,110,89%,0.95,97%,0.82,0.18,创新驱动模型,技术研发中心,https://www.tech.gov.cn/,,
社会责任,社区参与度,55,90,220,140,90%,0.94,98%,0.76,0.2,社会评估模型,社会服务机构,https://www.society.gov.cn/,,
透明度优先,信息披露合规性,15,50,130,80,87%,0.92,96%,0.8,0.14,合规透明模型,金融监管机构,https://www.csrc.gov.cn/,,
节能降耗,能源消耗率,28,72,165,115,94%,0.99,99%,0.9,0.3,能效管理模型,能源管理办公室,https://www.ner.gov.cn/,,
创新驱动,可再生能源使用比例,20,60,145,95,88%,0.91,97%,0.79,0.25,可再生能源模型,可再生能源协会,https://www.re.org.cn/,,
地区协调,区域合作与信息共享,38,78,155,105,92%,0.96,98%,0.84,0.19,区域协同模型,区域开发委员会,https://www.rd.gov.cn/,,
可持续发展,绿色供应链管理,30,65,150,100,89%,0.95,99%,0.82,0.23,绿色管理模型,绿色供应链协会,https://www.greenchain.org.cn/,,
环保优先,排放量控制,45,90,170,130,93%,0.95,100%,0.85,0.28,加权平均法,江苏省生态环境厅,https://www.jiangsu.gov.cn/23225/20230501/environmental-policy,,
安全第一,安全事故率,10,50,100,70,98%,0.98,99%,0.88,0.3,安全评估模型,国家安全生产监督管理局,https://www.apsb.gov.cn/,,
持续改进,效率提升,25,65,190,140,91%,0.94,97%,0.78,0.22,数据驱动模型,学术论文,https://www.sciencedirect.com/,,
合规性优先,法律法规遵守,15,75,130,110,89%,0.91,93%,0.82,0.18,合规性评估模型,行业标准委员会,https://www.njis.gov.cn/,,
环保优先,资源使用效率,20,55,160,80,96%,0.97,100%,0.9,0.25,动态评估模型,环保组织报告,https://www.iucn.org/,,
安全第一,生产过程安全,35,65,150,120,90%,0.92,98%,0.8,0.4,风险评估模型,国际安全生产协会,https://www.iaea.org/,,
持续改进,策略执行力,28,72,130,100,95%,0.96,97%,0.75,0.23,SMART评估模型,全球环境监测组织,https://www.globalmonitoring.org/,,
合规性优先,政策执行,22,58,175,85,87%,0.89,91%,0.85,0.2,合规检查模型,城市环境监控中心,https://www.citymonitoring.org/,,
环保优先,绿色技术应用,12,45,140,95,99%,0.99,100%,0.92,0.33,综合绿色评估模型,中国环境科学研究院,https://www.cnis.org.cn/,,
节能优先,能耗效率,35,90,170,110,91%,0.94,96%,0.82,0.28,效率提升模型,国家能源局,https://www.nea.gov.cn,,
综合治理,综合污染控制,25,75,150,85,90%,0.96,97%,0.88,0.22,环保综合评估模型,生态环境部,https://www.mee.gov.cn,,
安全优先,危险品管理,45,85,190,130,93%,0.97,99%,0.87,0.26,安全评估模型,中国安全生产网,http://www.chinasafety.gov.cn,,
环保优先,自然资源保护,15,65,130,80,89%,0.95,98%,0.9,0.2,资源管理模型,国家林业局,http://www.forestry.gov.cn,,
规范优先,合规审计,30,50,160,100,91%,0.92,96%,0.86,0.18,合规性审计模型,国资委,http://www.sasac.gov.cn,,
创新驱动,新技术应用,28,68,155,90,92%,0.96,97%,0.91,0.23,创新评估模型,科技部,http://www.most.gov.cn,,
政策导向,政策执行率,22,55,145,85,90%,0.91,94%,0.84,0.17,政策执行评估模型,财政部,http://www.mof.gov.cn,,
公众参与,社区反馈,32,78,165,95,89%,0.93,95%,0.88,0.21,公众参与评估模型,地方发展和改革委员会,http://www.ndrc.gov.cn,,
风险防控,风险识别实施率,27,64,140,75,88%,0.9,92%,0.82,0.24,风险控制模型,中国安全生产协会,http://www.csaa.org.cn,,
绿色创新,技术进步率,35,75,150,95,93%,0.96,97%,0.85,0.28,技术评估模型,国家生态环境部,https://www.mee.gov.cn/,,
安全生产,伤亡事故率,45,85,170,110,90%,0.94,99%,0.88,0.22,安全评价模型,江苏省应急管理部门,https://www.jiangsu.gov.cn/,,
资源节约,水资源利用效率,25,50,130,75,91%,0.89,96%,0.8,0.18,资源评估模型,重庆市环保局,https://www.cq.gov.cn/,,
透明度,信息披露率,38,73,190,125,94%,0.97,98%,0.87,0.3,信息透明模型,国家统计局,https://www.stats.gov.cn/,,
可持续发展,可再生资源利用率,28,65,120,85,96%,0.91,95%,0.82,0.15,资源持续模型,国家发改委,https://www.ndrc.gov.cn/,,
环境责任,环境事故处理效率,36,68,160,100,89%,0.92,96%,0.84,0.3,事故处理模型,国家应急管理部,https://www.mem.gov.cn/,,
全面合规,合同履行率,22,55,145,95,92%,0.95,94%,0.78,0.2,合规性评估模型,福建省生态环境厅,https://www.fj.gov.cn/,,
产业升级,能源消耗减少率,27,62,155,105,90%,0.93,97%,0.81,0.25,能源效率模型,北京环境监测中心,https://www.bjepb.gov.cn/,,
群众参与,公众满意度调查,32,66,180,115,91%,0.88,98%,0.79,0.24,社会反馈模型,国家环保局,https://www.cnca.gov.cn/,,
绿色发展,可再生资源利用率,35,90,175,110,93%,0.96,100,0.85,0.28,综合评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,,
可持续性,资源消耗效率,45,75,170,130,90%,0.94,99,0.88,0.2,效率分析模型,浙江省环境监测中心,https://www.zjepb.gov.cn/,,
安全环保,安全生产合规性,25,55,150,85,95%,0.97,98,0.9,0.18,合规性审核模型,河南省安全生产监督管理局,http://www.hnsa.gov.cn/,,
防控优先,突发事件响应情况,38,82,165,95,89%,0.95,98,0.72,0.23,应急管理模型,山东省应急管理厅,http://www.sdem.gov.cn/,,
社会责任,社会影响评估,15,50,130,70,91%,0.92,97,0.78,0.27,社会责任评估模型,天津市生态环境局,https://www.tjepb.gov.cn/,,
智能化管理,智能监测系统覆盖率,22,68,140,100,93%,0.99,100,0.85,0.3,智能监控模型,广州市环境保护局,http://www.gzepb.gov.cn/,,
创新驱动,新技术应用比例,30,60,155,90,88%,0.91,97,0.88,0.21,技术评估模型,重庆市环境局,http://www.cqepb.gov.cn/,,
人本管理,员工安全培训参与率,20,65,135,75,92%,0.89,99,0.9,0.25,培训效果评估模型,南京市安全生产监督管理局,http://www.nj.gov.cn/,,
环境优先,生态影响评估,18,58,125,80,94%,0.95,97,0.92,0.26,生态评估模型,四川省生态环境厅,http://www.sc.gov.cn/,,
绿色发展,再生资源利用率,35,90,150,110,91%,0.96,99,0.85,0.28,多元线性回归模型,国家生态环境部,https://www.mee.gov.cn/,,
事故预防,事故响应时间,45,85,170,130,93%,0.95,98,0.88,0.22,优化调度模型,北京市应急管理局,https://www.beijing.gov.cn/,,
全面合规,环境合规率,25,65,135,95,90%,0.92,94,0.77,0.2,合规性分析模型,广州市环境保护局,https://www.gz.gov.cn/,,
智能监测,数据可追溯性,32,76,155,115,92%,0.99,100,0.82,0.26,基于人工智能的评估模型,中国科学院环境保护研究所,https://www.cae.cn/,,
高效节能,能耗比,38,77,145,105,89%,0.94,97,0.8,0.24,基于效率的综合评估模型,国家能源局,https://www.nea.gov.cn/,,
生态修复,废弃物处理率,28,67,160,99,91%,0.97,95,0.89,0.29,废弃物管理模型,厦门市环境保护局,https://www.xm.gov.cn/,,
法律遵从,审计整改率,18,54,130,85,87%,0.91,90,0.76,0.17,法律合规检查模型,天津市生态环境局,https://www.tianjin.gov.cn/,,
安全可靠,风险评估覆盖率,22,62,125,80,89%,0.93,92,0.78,0.19,全面风险评估模型,南京市应急管理局,https://www.nanjing.gov.cn/,,
社会责任,社会评价指数,34,81,140,95,90%,0.95,99,0.81,0.21,社会责任评估模型,武汉市生态环境保护局,https://www.wuhan.gov.cn/,,
环境可持续,可再生能源使用率,35,65,175,110,91%,0.96,97%,0.88,0.28,碳足迹模型,国家能源局,https://www.nea.gov.cn/,,
安全优先,风险防控措施实施率,45,85,190,130,93%,0.99,98%,0.82,0.22,动态风险评估模型,北京安全生产监督管理局,https://www.bjhd.gov.cn/,,
技术创新,污染物减排率,25,55,150,80,89%,0.94,99%,0.76,0.18,创新驱动评估模型,工业和信息化部,https://www.miit.gov.cn/,,
合规性与透明性,环境监测报告完整性,15,40,130,70,85%,0.92,97%,0.73,0.12,合规性审计模型,生态环境部,https://www.mee.gov.cn/,,
商业可持续,资源节约率,30,60,145,95,90%,0.95,98%,0.81,0.2,经济影响分析模型,商务部,https://www.mofcom.gov.cn/,,
环保教育,公众环保意识提升率,28,50,155,100,87%,0.97,96%,0.78,0.15,社会影响评估模型,国家环保局,https://www.mep.gov.cn/,,
制度创新,减排政策实施效果,22,48,135,85,86%,0.93,99%,0.8,0.14,政策评价模型,国家发展改革委,https://www.ndrc.gov.cn/,,
绿色生产,绿色技术应用率,18,45,125,75,88%,0.91,94%,0.77,0.13,绿色评估模型,自然资源部,https://www.mnr.gov.cn/,,
安全合规,环境风险管控效果,10,34,110,60,84%,0.9,96%,0.85,0.11,风险管理模型,各省环境保护厅,http://www.zhb.gov.cn/,,
风险管理优先,重大风险事件发生率,35,90,170,110,93%,0.96,98,0.88,0.28,风险评估模型,国家应急管理部,https://www.mem.gov.cn,,
资源节约,能耗下降幅度,28,75,155,95,91%,0.95,99,0.85,0.2,线性回归模型,环境保护部,https://www.epa.gov.cn,,
科技驱动,新技术应用率,22,65,130,80,94%,0.97,97,0.84,0.3,技术创新模型,科学技术部,https://www.most.gov.cn,,
社会责任优先,企业社会责任活动参与率,33,82,165,105,92%,0.94,96,0.86,0.25,综合绩效模型,中华环保联合会,https://www.ceep.org.cn,,
持续改进,生产工艺优化程度,18,55,120,70,89%,0.91,99,0.78,0.18,动态优化模型,工信部,https://www.miit.gov.cn,,
合规性为重,行业标准遵守情况,25,62,138,85,90%,0.99,100,0.82,0.12,合规模拟模型,地方环保局,https://www.localepa.gov.cn,,
全员参与,员工环保意识培训参与率,36,78,175,115,91%,0.92,98,0.8,0.2,员工反馈模型,全国工会联合会,https://www.acftu.org,,
法规遵循,环保法规遵守率,21,64,150,85,87%,0.9,96,0.77,0.14,合规性审查模型,国家生态环境部,https://www.mee.gov.cn,,
绿色发展,生态影响评估,29,73,145,76,88%,0.92,97,0.81,0.19,生态评估模型,中国环境科学院,https://www.cae.cn,,
环保优先,排放量控制,45,90,195,140,94%,0.96,100%,0.88,0.35,加权平均法,广西省应急管理局,https://www.gx.gov.cn/,,
安全第一,安全事故率,35,85,175,110,91%,0.95,98%,0.82,0.28,整体评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,,
持续改进,效率提升,25,75,155,95,89%,0.92,97%,0.78,0.18,数据驱动模型,清华大学研究院,https://www.tsinghua.edu.cn/,,
合规性优先,法律法规遵守,30,65,145,85,87%,0.9,94%,0.72,0.12,合规性评估模型,广东省环境保护局,https://www.gdepb.gov.cn/,,
环保优先,资源回收利用,20,50,130,70,93%,0.99,99%,0.84,0.22,动态评估模型,国家统计局,http://www.stats.gov.cn/,,
安全第一,消防隐患排查,15,45,120,60,90%,0.94,96%,0.76,0.26,风险评估模型,天津市应急管理局,http://www.tianjin.gov.cn/,,
持续改进,技术创新,10,40,110,55,88%,0.96,97%,0.8,0.15,创新驱动模型,国家技术创新中心,http://www.ntic.gov.cn/,,
合规性优先,环境影响评估,28,48,135,72,89%,0.91,95%,0.82,0.19,合规性审查模型,环保部,http://www.mee.gov.cn/,,
环保优先,清洁生产,23,52,125,65,91%,0.97,98%,0.79,0.21,综合评估模型,南方日报,http://www.southcn.com/,,
智能监测,自动化排放监测,45,90,190,135,93%,0.96,97%,0.88,0.25,实时监测模型,国家生态环境部,https://www.mee.gov.cn/,,
绿色发展,资源循环利用率,25,55,130,80,97%,0.99,100%,0.92,0.4,生命周期评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,,
风险控制,环境风险评估,35,65,170,110,91%,0.94,94%,0.87,0.2,风险评估模型,中国环境科学研究院,https://www.craes.cn/,,
创新驱动,环保技术应用,15,50,120,75,95%,0.98,99%,0.85,0.35,技术评估模型,江苏省生态环境厅,https://eea.jiangsu.gov.cn/,,
全面覆盖,排放监测数据完整性,20,40,200,90,89%,0.97,96%,0.8,0.2,数据完整性模型,广州市环境保护局,http://epb.gz.gov.cn/,,
社会责任,社区环境管理,60,120,220,160,90%,0.95,95%,0.78,0.3,社区参与模型,重庆市生态环境局,http://www.cqeepb.gov.cn/,,
成本控制,环保投资回报率,55,110,210,140,88%,0.92,93%,0.84,0.3,财务评估模型,广东省环保局,http://www.gdep.gov.cn/,,
系统优化,环保系统效率改善,40,85,175,125,92%,0.96,99%,0.81,0.25,系统动态模型,辽宁省生态环保厅,http://eea.liaoning.gov.cn/,,
基准控制,行业标准符合度,50,95,200,130,91%,0.94,96%,0.79,0.2,行业对标模型,国家统计局,http://www.stats.gov.cn/,,
绿色发展,可再生能源使用比例,25,50,130,85,91%,0.96,97%,0.8,0.3,可再生能源评估模型,国家能源局,https://www.nea.gov.cn/,,
安全优先,危险废物管理,35,60,190,110,89%,0.95,96%,0.85,0.25,风险评估模型,生态环境部,https://www.mee.gov.cn/,,
高效生产,节能减排,28,55,170,95,92%,0.94,98%,0.88,0.2,动态能效评估模型,中国节能协会,https://www.chinaenergy.com.cn/,,
法规遵守,污染物排放合规性,18,40,135,75,90%,0.92,93%,0.77,0.15,监管合规模型,地方环保局,https://www.globalenvironment.com/,,
节能降耗,运营能耗,22,45,145,80,93%,0.98,99%,0.82,0.18,环境效益评估模型,中国环境保护协会,https://www.cec.org.cn/,,
综合治理,废气处理效率,20,35,155,70,87%,0.97,98%,0.79,0.22,综合效益评估模型,南方周末,https://www.infzm.com/,,
可持续发展,资源循环利用,24,42,160,85,94%,0.95,97%,0.83,0.26,循环经济评估模型,国家工业和信息化部,https://www.miit.gov.cn/,,
环境保护,生态足迹,15,30,125,65,95%,0.99,100%,0.9,0.35,生态环境评估模型,中国环境监测总站,http://www.cnemc.cn/,,
社会责任,企业公民意识,32,53,175,90,92%,0.94,95%,0.84,0.28,社会责任评估模型,商业伦理研究中心,https://www.ethics.org.cn/,,
科技创新,环境创新技术应用,26,48,150,78,89%,0.96,99%,0.81,0.25,技术评估模型,科技部,http://www.most.gov.cn/,,
环境保护优先,固体废物管理,45,85,190,130,94%,0.97,100%,0.85,0.28,多指标评估法,国家生态环境部,https://www.mee.gov.cn/,,
安全优先,事故发生频率,35,75,170,110,93%,0.96,98%,0.82,0.22,风险评估模型,北京安全生产监督管理局,http://gaj.beijing.gov.cn/,,
合规性优先,一年内罚款数量,15,50,120,80,89%,0.94,94%,0.78,0.1,合规性审查模型,西安市生态环境局,http://xian.gov.cn/,,
持续改进,资源利用效率,20,55,140,90,91%,0.95,99%,0.8,0.15,效率提升模型,深圳市生态环境局,https://www.sz.gov.cn/,,
环保优先,空气质量改善率,55,90,210,160,96%,0.98,100%,0.9,0.32,加权评估模型,广东省生态环境厅,http://gdhj.zhongshan.gov.cn/,,
经济与环保协调,企业环保投资增长,25,65,130,85,90%,0.92,96%,0.76,0.18,成本效益模型,财经研究院,https://www.ce.cn/,,
安全优先,员工安全教育次数,30,72,165,105,92%,0.95,97%,0.83,0.2,安全文化发展模型,国家安全生产局,http://www.chinasafety.gov.cn/,,
合规性优先,环境报告透明度,18,58,135,75,88%,0.9,92%,0.74,0.12,透明度分析模型,环境保护部,http://www.zhb.gov.cn/,,
实现可持续发展,绿色产品认证数量,22,62,150,95,89%,0.91,93%,0.77,0.16,可持续性评估模型,中国绿色发展研究院,http://www.chinagreen.org.cn/,,
环保优先,排放量控制,45,90,220,130,93%,0.97,98%,0.85,0.28,加权平均法,生态环境部,https://www.mee.gov.cn/,,
安全第一,重大事故频率,35,75,175,110,91%,0.96,97%,0.88,0.32,综合评估模型,北京安全生产管理局,https://www.beijing.gov.cn/,,
持续改进,资源使用效率,25,65,150,85,89%,0.94,96%,0.8,0.22,动态评估模型,国际环境保护组织,https://www.ipe.org.cn/,,
合规性优先,法规遵循情况,18,55,130,95,87%,0.92,94%,0.72,0.14,法律合规模型,广州市环保局,https://www.gz.gov.cn/,,
社会责任感,企业社会影响,15,50,115,75,85%,0.9,92%,0.7,0.18,社会责任评估模型,山东省企业评价中心,https://www.shandong.gov.cn/,,
创新驱动,节能减排措施,28,68,165,105,90%,0.95,99%,0.83,0.2,创新评估模型,国内外商业评论,https://www.business-review.com/,,
系统性评估,业务运营效率,22,62,145,88,89%,0.89,90%,0.76,0.25,整体效率模型,行业报告,https://www.industry-report.com/,,
企业文化,员工安全感,30,72,160,98,91%,0.92,93%,0.78,0.3,文化评估模型,社会研究机构,https://www.social-research.com/,,
绿色发展,可持续发展目标,20,58,135,82,94%,0.91,96%,0.74,0.27,可持续发展模型,环境保护组织,https://www.epo.org/,,
环保优先,可再生能源使用率,45,85,210,160,94%,0.99,100%,0.92,0.28,加权平均法,国家能源局,https://www.nea.gov.cn/,,
安全第一,工伤事故发生率,35,75,170,130,90%,0.96,98%,0.88,0.26,综合评估模型,北京市安全生产监督管理局,https://www.bj.gov.cn/gov/safety/,,
持续改进,资源利用效率,28,55,150,110,89%,0.95,97%,0.81,0.22,资源优化模型,学术期刊,https://www.journalofenvironmentalmanagement.com/,,
合规性优先,法规遵循率,22,65,145,95,87%,0.94,96%,0.76,0.17,合规性评估模型,厦门市生态环境局,https://www.xm.gov.cn/zwgk/ghjh/,,
环境保护,废物回收率,37,72,165,115,91%,0.97,99%,0.84,0.29,组织评估模型,青岛市环境保护局,https://www.qd.gov.cn/qt/gk/,,
安全合规,突发事件响应时间,24,50,120,80,93%,0.92,95%,0.74,0.19,响应时间模型,天津市安全生产监管局,https://www.tianjin.gov.cn/zhengwu/yjgl/,,
环境责任,企业社会责任报告,30,78,200,140,88%,0.98,97%,0.82,0.24,社会责任模型,中国环境保护部,https://www.mee.gov.cn/,,
风险管理,风险评估频率,40,80,135,105,91%,0.95,99%,0.9,0.2,风险控制模型,国家应急管理部,https://www.mem.gov.cn/,,
可持续发展,绿色技术应用率,33,68,180,130,92%,0.96,97%,0.75,0.23,技术评估模型,国家环保科技中心,https://www.nengyuan.org/,,
环保合规,环境影响评估完成率,27,67,155,100,86%,0.94,96%,0.78,0.21,评估合规模型,广州市生态环境局,https://www.gz.gov.cn/gsdt/ehj/,,
绿色生产,资源利用率,45,85,190,130,91%,0.96,97,0.88,0.35,线性回归模型,国家生态环境部,https://www.mee.gov.cn/,,
社会责任,社区满意度,55,120,210,160,90%,0.95,98,0.85,0.3,综合评估模型,地方政府统计局,https://www.stats.gov.cn/,,
效率优先,生产效率提升,35,75,170,110,93%,0.98,99,0.82,0.4,动态评估法,福州环境保护局,https://www.fuzhou.gov.cn/,,
安全生产,安全系统运行,25,40,130,80,89%,0.92,96,0.78,0.25,安全评估模型,安全生产监督管理局,http://www.chinasafety.gov.cn/,,
法律合规,法规遵从率,15,50,120,100,95%,0.94,99,0.85,0.1,合规性测评,法律法规研究所,https://www.lawyer.gov.cn/,,
可持续发展,可再生资源利用率,42,90,185,135,92%,0.97,98,0.87,0.32,综合资源评估,国家可再生能源中心,https://www.cnre.gov.cn/,,
科技创新,技术应用效果,38,65,155,95,88%,0.91,97,0.82,0.27,技术效益分析,工业和信息化部,https://www.miit.gov.cn/,,
国际标准,国际认证合规性,29,55,148,85,94%,0.99,100,0.91,0.2,跨国标准评估,国家认证认可监督管理局,http://www.cnca.gov.cn/,,
教育培训,培训效果评估,33,77,165,115,90%,0.95,98,0.84,0.22,评估培训模式,人力资源和社会保障部,http://www.mohrss.gov.cn/,,
环保优先,废物回收率,45,85,175,110,93%,0.96,98%,0.88,0.28,生命周期评估模型,国土资源部,https://www.nlr.gov.cn/,,
安全第一,设备故障率,30,50,160,95,90%,0.95,97%,0.8,0.25,故障树分析模型,工业和信息化部,https://www.miit.gov.cn/,,
持续改进,能效比提升,35,65,150,85,92%,0.94,99%,0.85,0.22,技术经济评价模型,环境保护部,https://www.mee.gov.cn/,,
合规性优先,环境监测合规率,25,40,130,75,89%,0.91,94%,0.78,0.15,合规性审查模型,环保组织,https://www.wto.org/,,
安全第一,事故应急能力,60,90,200,120,90%,0.97,96%,0.82,0.35,风险评估模型,国家安全监管局,https://www.chinasafety.gov.cn/,,
环保优先,清洁生产实施情况,22,48,135,70,91%,0.99,99%,0.9,0.3,元数据模型,国家发展和改革委员会,https://www.ndrc.gov.cn/,,
合规性优先,排放监测合规性,20,55,145,80,96%,0.95,98%,0.76,0.18,合规性检查模型,全国人大常委会,https://www.npc.gov.cn/,,
持续改进,资源再利用率,33,75,155,85,95%,0.97,97%,0.83,0.2,综合评估模型,联合国环境规划署,https://www.unep.org/,,
环保优先,生态影响评估,28,45,125,65,92%,0.99,96%,0.8,0.25,生态影响模型,国家环境保护局,https://www.sepb.gov.cn/,,
安全第一,员工安全培训合格率,42,55,140,88,89%,0.96,95%,0.85,0.27,培训效果评估模型,企业内部报告,https://www.enterprise-report.com/,,
安全优先,设备故障率,45,85,190,110,91%,0.97,100%,0.88,0.28,故障率评估模型,广东省生态环境厅,https://www.gd.gov.cn/gkmlpt/content/2022-05/01/content_1843983.htm,,
环保优先,固废处理率,35,75,150,95,93%,0.96,97%,0.92,0.22,环保合规模型,国家生态环境部,https://www.mee.gov.cn/,,
经济效益优先,资源回收率,55,100,210,130,89%,0.95,99%,0.8,0.35,经济效益评估模型,中国环境保护产业协会,http://www.cepai.org.cn/,,
持续改进,信息透明度,25,65,130,85,94%,0.99,98%,0.86,0.2,透明度评估模型,西南科技大学研究中心,https://www.xust.edu.cn/,,
合规性优先,事故隐患整改率,20,55,125,70,90%,0.98,96%,0.78,0.15,合规性检查模型,北京市生态环境局,https://www.bjepb.gov.cn/,,
节能减排,能源消耗强度,30,60,160,100,92%,0.96,99%,0.84,0.25,能源评估模型,国际能源署,https://www.iea.org/,,
公众参与,环境信访处理率,15,45,140,75,87%,0.95,97%,0.83,0.2,公众满意度模型,全国人大环境与资源委员会,http://www.npc.gov.cn/,,
创新导向,新技术应用率,10,50,100,60,95%,0.99,100%,0.9,0.3,技术评估模型,中国科学技术协会,http://www.cast.org.cn/,,
绿色发展,可再生能源使用率,5,30,50,40,98%,1.0,99%,0.91,0.4,绿色发展评估模型,中国能源研究院,http://www.ceri.edu.cn/,,
清洁生产,资源消耗效率,35,90,155,110,91%,0.96,99%,0.87,0.3,生命周期分析,浙江省生态环境厅,https://www.zj.gov.cn/xxgk/laws/news/,,
安全合规,安全隐患整改,30,70,165,115,93%,0.98,97%,0.85,0.28,指标监控模型,河北省应急管理厅,https://www.hebei.gov.cn/renwen/wz/,,
环保优先,绿色产品比例,25,50,130,100,94%,0.97,98%,0.9,0.32,市场导向模型,国家发展改革委,https://www.ndrc.gov.cn/fzggw/,,
安全第一,员工培训覆盖率,45,75,190,140,89%,0.95,100%,0.82,0.25,风险评估模型,江苏省环境监察总队,https://www.js.gov.cn/xxgk/,,
持续改进,技术创新投入,20,65,145,95,90%,0.94,99%,0.88,0.18,投入产出分析法,生态环境部,https://www.mee.gov.cn/,,
法治优先,环境审核合规,28,81,155,123,92%,0.96,98%,0.85,0.22,合规性评估,国土资源部,https://www.mnr.gov.cn/,,
环保绩效,废物回收率,18,55,160,110,95%,0.99,100%,0.91,0.35,层次分析法,国际环境保护组织,https://www.unep.org/,,
责任共担,公众参与度,38,77,150,125,89%,0.95,97%,0.84,0.27,定性评估法,环保组织志愿者,https://www.wildlife.org/,,
智能监测,自动报警响应,27,60,165,104,90%,1.0,100%,0.89,0.2,数据预测模型,智能测控公司,https://www.smart-control.com/,,
可持续发展,资源利用效率,35,85,150,100,91%,0.96,98%,0.87,0.2,资源优化模型,河北省生态环境厅,https://www.hebeiaep.gov.cn/,,
节能减排,能源使用效率,28,75,130,95,89%,0.97,99%,0.8,0.25,减排评估模型,江苏省发改委,https://www.jiangsu.gov.cn/zhengce/,,
员工安全,工伤事故率,45,90,160,155,93%,0.94,96%,0.85,0.18,安全风险模型,北京市人力资源和社会保障局,https://www.bjhrss.gov.cn/,,
创新驱动,新技术应用,22,50,110,80,95%,0.99,100%,0.92,0.3,技术评估模型,浙江省科技厅,https://www.zj.gov.cn/,,
环境保护,环境影响评估,18,65,120,85,90%,0.95,98%,0.82,0.12,环境评估模型,福建省生态环境厅,https://www.fj.gov.cn/,,
绿色制造,资源回收率,26,60,145,70,92%,0.97,99%,0.88,0.28,回收利用模型,上海市发展和改革委员会,https://www.shanghai.gov.cn/,,
公众参与,社会满意度,15,55,100,60,94%,0.93,97%,0.76,0.1,社区反馈模型,广州市环境保护局,https://www.gz.gov.cn/,,
循环经济,资源循环使用率,32,78,125,95,89%,0.98,96%,0.84,0.22,循环评估模型,陕西省生态环境厅,https://www.shaanxi.gov.cn/,,
行业标准,行业规范遵守率,24,62,135,75,88%,0.99,99%,0.7,0.14,行业评估模型,国家生态环境部,https://www.mee.gov.cn/,,
绿色发展,碳排放量,25,55,130,85,91%,0.96,98,0.87,0.35,碳排放模型,国家生态环境部,https://www.mee.gov.cn/,,
预防为主,事故响应时间,15,45,120,75,94%,0.97,97,0.82,0.28,快速响应评估模型,江苏省应急管理局,https://www.jiangsu.gov.cn/,,
合规性优先,环保法律执行率,10,30,100,70,97%,0.99,99,0.9,0.2,合规评估模型,全国环保信息中心,http://www.cec.org.cn/,,
