品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
温湿度复合传感器,敏感元件 + 转换元件 + 处理电路,传感层、处理层、应用层,空气质量科技,模块式,空气质量科技,https://www.aqtech.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 信号调理电路,采集层、输出层,农业传感器公司,集成式,农业技术网,https://www.agritech.com/research,2024-09-14,,,,,,,,,,,,
声波传感器,敏感元件 + 信号处理电路,信号接收层、信号处理层,智能语音技术,混合式,智能语音技术,https://www.smartvoice.com/products,2024-09-14,,,,,,,,,,,,
智能红外传感器,敏感元件 + 转换电路 + 接口电路,物理层、处理层、应用层,光电传感公司,集成式,光电技术网,https://www.optotech.com/innovation,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 模拟电路 + 处理单元,硬件层、软件层、输出层,传感器研发中心,模块式,传感器科技,https://www.sensortech.com/articles,2024-09-14,,,,,,,,,,,,
气体泄漏传感器,敏感元件 + 转换电路 + 监测模块,检测层、处理层、报警层,安全监测公司,集成式,安全技术网,https://www.safetytech.com/products,2024-09-14,,,,,,,,,,,,
智能运动传感器,敏感元件 + 微处理器 + 无线模块,感知层、分析层、反馈层,运动科技公司,混合式,运动科技网,https://www.sportstech.com,2024-09-14,,,,,,,,,,,,
海水盐度传感器,敏感元件 + 转换电路 + 数据处理,探测层、处理层、显示层,海洋科学研究所,模块式,海洋科技,https://www.oceanresearch.com,2024-09-14,,,,,,,,,,,,
智能抬升传感器,敏感元件 + ADC + 无线通讯模块,信号获取层、信号处理层、应用层,机器人科技公司,混合式,机器人技术网,https://www.roboticstech.com,2024-09-14,,,,,,,,,,,,
水质污染传感器,敏感元件 + 转换电路 + 输出模块,采集层、分析层、报告层,环境监测技术,集成式,环境监测网,https://www.envirotech.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 转换单元 + 嵌入式系统,物理层、处理层、云层,小米科技,集成式,智汇科技,https://www.zihui.com/products/temperature-humidity-sensor,2024-09-14,,,,,,,,,,,,
激光距离传感器,激光发射元件 + 接收模块 + 控制电路,感知层、数据处理层,海康威视,模块化,海康威视,https://www.hikvision.com/en/products/laser-range-sensor/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据转换器 + 信号传导电路,采集层、监测层、反馈层,雨辰科技,集成式,水务管理网,https://www.watermanagement.com/products/water-quality-sensor,2024-09-14,,,,,,,,,,,,
心率传感器,光电敏感元件 + 信号处理单元,生理信号层、应用层,华为技术,集成式,健康科技,https://www.healthtech.com/heart-rate-sensors,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 扩展电路 + 控制单元,物理层、信号层,英飞凌科技,混合式,电子供应链,https://www.infenion.com/current-sensors,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 处理单元 + 输出接口,传感层、处理层、反馈层,安恒科技,模块式,安防控制,http://www.securitycontrol.com/vibration-sensors,2024-09-14,,,,,,,,,,,,
光照传感器,光敏元件 + 转换电路 + 数据传输单元,光感层、数据层、应用层,旭日科技,集成式,智慧农业,https://www.smartagriculture.com/products/light-sensors,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 无线模块 + 处理电路,采集层、处理层、数据传输层,农科院,集成式,农业科技,https://www.agritech.com/soil-moisture-sensors,2024-09-14,,,,,,,,,,,,
氧气传感器,敏感元件 + 转换模块 + 数据输出电路,传感层、分析层、反馈层,中科院,模块式,环境监测,https://www.environmentmonitoring.com/o2-sensors,2024-09-14,,,,,,,,,,,,
运动传感器,加速度元件 + 陀螺仪 + 处理单元,监测层、反馈层、云层,乐心医疗,集成式,健康科技,https://www.lifesense.com/motion-sensors,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,环境感知层、数据处理层、应用层,华为技术有限公司,集成式,华为技术平台,https://www.huawei.com/cn/solutions,2024-09-14,,,,,,,,,,,,
光敏传感器,敏感元件 + 转换电路 + 接口模块,信号接收层、数据处理层,小米科技,模块式,小米科技,https://www.mi.com,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 微处理器 + 信号处理电路,探测层、处理层、警报层,安天科技,混合式,安天科技,https://www.antech.com,2024-09-14,,,,,,,,,,,,
仿生传感器,敏感元件 + 云平台 + 信号处理模块,采集层、处理层、应用层,敏感科技,集成式,敏感科技,https://www.SensoryTech.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 数据通讯模块,环境监测层、信息处理层,宇泰科技,模块式,宇泰科技,https://www.yutai.com,2024-09-14,,,,,,,,,,,,
碰撞传感器,敏感元件 + 转换电路 + 输出现实,信号采集层、响应层,凌云智能,集成式,凌云智能,https://www.lingyunzhineng.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 信号调理电路 + 接口模块,传感层、处理层、输出层,声驰科技,混合式,声驰科技,https://www.sonictech.com,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 微处理器 + 无线通讯模块,采集层、处理层、展示层,气象科技,集成式,气象科技,https://www.weathersensors.com,2024-09-14,,,,,,,,,,,,
热流传感器,敏感元件 + 转换电路 + 信号处理器,热量测量层、数据分析层,热能控股,模块式,热能控股,https://www.thermalholding.com,2024-09-14,,,,,,,,,,,,
无线接触式传感器,敏感元件 + 无线模块 + 数据处理电路,接触检测层、控制层,前瞻智能,集成式,前瞻智能,https://www.futurism.com,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 微处理器 + 接口电路,物理层、控制层、应用层,三星电子,集成式,三星电子,https://www.samsung.com/global/semiconductor/,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 信号调理电路 + 微处理器,检测层、处理层、通讯层,宇瞳科技,模块式,宇瞳科技研究所,http://www.yutongtech.com/,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 转换元件 + 数据处理单元,敏感层、控制层、输出层,博世,混合式,博世官网,https://www.bosch.com/,2024-09-14,,,,,,,,,,,,
光电传感器,敏感元件 + 接口电路 + 信号处理单元,采集层、处理层、输出层,奥林巴斯,集成式,奥林巴斯科技,https://www.olympus-global.com/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 微控制器,信号采集层、处理层、输出层,中科院自动化研究所,模块式,中科院自动化所,http://www.ia.cas.cn/,2024-09-14,,,,,,,,,,,,
气体传感器,敏感元件 + 通信模块 + 数据处理模块,物理层、信号调理层、输出层,宏达科技,混合式,宏达科技,https://www.hongdatk.com/,2024-09-14,,,,,,,,,,,,
生物传感器,敏感元件 + 信号处理单元,采集层、分析层、结果输出层,华大基因,集成式,华大基因,https://www.bgitech.com/,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 转换器 + 信号处理电路,物理层、信号处理层、应用层,中国电科,模块式,中国电科,http://www.csist.org.cn/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 转换电路 + 微处理器,测量层、处理层、输出层,应用科技,混合式,应用科技公司,http://www.applicationtech.com/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 电子处理单元 + 无线模块,信号层、处理层、控制层,力诺瑞特,集成式,力诺瑞特,http://www.linuo.com/,2024-09-14,,,,,,,,,,,,
二氧化碳传感器,敏感元件 + 信号调理电路 + 微处理器,采集层、处理层、反馈层,环境监测技术,模块式,环境监测技术网,https://www.emtech.com,2024-09-14,,,,,,,,,,,,
光照传感器,光敏元件 + 转换元件 + 数字信号处理,感测层、信号处理层、应用层,智能家居科技,集成式,智能家居科技,https://www.smarthome.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据采集模块,采集层、分析层、报告层,蓝海科技,混合式,蓝海科技,http://www.blueoceantech.com,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + GPS模块 + 通信模块,感知层、定位层、应用层,全球定位系统技术,集成式,GPS技术论坛,https://www.gpsforum.com,2024-09-14,,,,,,,,,,,,
电磁传感器,敏感元件 + 放大器 + 增益调节,物理层、增强层、应用层,电子仪器公司,模块式,电子仪器网,https://www.electronicinstruments.com,2024-09-14,,,,,,,,,,,,
超声波传感器,超声波发射器 + 接收器 + 处理电路,发射层、接收层、分析层,超声波技术公司,集成式,超声波技术网,https://www.ultrasonics.com,2024-09-14,,,,,,,,,,,,
雷达传感器,发射模块 + 接收模块 + 信号处理单元,信号层、处理层、应用层,射频科技有限公司,混合式,射频科技网,http://www.rftech.com,2024-09-14,,,,,,,,,,,,
皮肤传感器,敏感元件 + 转换电路 + 无线模块,探测层、数据层、应用层,医疗科技发展,模块式,医疗科技在线,https://www.medicaltechonline.com,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 增加电路 + 控制模块,采集层、传输层、处理层,运动科技研究所,集成式,运动科技研究所,https://www.sportsresearch.com,2024-09-14,,,,,,,,,,,,
动作传感器,敏感元件 + 接口模块 + 信号处理器,感知层、识别层、反馈层,人体工程学公司,混合式,人体工程博客,https://www.humanengineering.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、控制层、输出层,云天科技,集成式,云天科技,https://www.yuntian.com/products/temperature-humidity,2024-09-14,,,,,,,,,,,,
酒精传感器,敏感元件 + 转换电路 + 处理器,信号层、处理层、应用层,智安科技,模块式,智安科技,https://www.zhian.com/alcohol-sensor,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 微处理器 + 输出电路,物理层、数据层、应用层,明视科技,集成式,明视科技,https://www.mingshi.com/product/light-sensor,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号处理电路,信号层、反应层,安防智联,模块式,安防智联,https://www.security-sensor.com/smoke-detector,2024-09-14,,,,,,,,,,,,
胎压传感器,敏感元件 + 转换电路 + 无线模块,传感层、数据层,汽车科技,集成式,汽车科技,https://www.autotech.com/tire-pressure-sensor,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 转换器 + 数据处理器,物理层、信号层、应用层,水务智能,混合式,水务智能,https://www.water-intelligence.com/water-level-sensor,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 信号调理电路,感知层、分析层,机器监控,模块式,机器监控,https://www.machine-monitor.com/vibration-sensor,2024-09-14,,,,,,,,,,,,
环境气候传感器,多种敏感元件 + 数据处理单元,传感层、分析层,全球气候研究所,集成式,全球气候研究所,https://www.globalclimate.org/environment-sensor,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 微处理器 + 无线传输模块,动作层、数据层,智能穿戴科技,集成式,智能穿戴科技,https://www.wearables-tech.com/motion-sensor,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据采集模块,生理层、应用层,心脏健康科技,模块式,心脏健康科技,https://www.hearthealth.com/heart-rate-sensor,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 信号调理电路,感测层、处理层、应用层,大疆创新,模块式,深圳智能科技网,https://www.szsmart.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换电路 + 信号处理单元,传感层、分析层、反馈层,青岛环保科技,集成式,环保科技前沿,https://www.envirotech.com,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + ADC转换模块,输入层、处理层、输出层,华为技术有限公司,分布式,华为官方文档,https://www.huawei.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 加速度模块 + 信号处理器,感应层、处理层、显示层,西门子,混合式,西门子技术支持,https://www.siemens.com,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 转换电路,输入层、信号调理层、输出层,博世,集成式,博世技术资讯,https://www.bosch.com,2024-09-14,,,,,,,,,,,,
息传感器,敏感元件 + 无线模块 + 信号调理电路,感测层、网络层、应用层,小米科技,集成式,小米家居,https://www.mi.com,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 信号调理电路 + 数据处理单元,信号层、分析层、应用层,宜家家居科技,模块式,宜家技术支持,https://www.ikea.com,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号处理单元 + 输出接口,感应层、处理层、输出层,中兴通讯,集成式,中兴科技,https://www.zte.com.cn,2024-09-14,,,,,,,,,,,,
人脸识别传感器,图像传感元件 + 处理单元 + 存储模块,感应层、处理层、应用层,腾讯云,混合式,腾讯智能,https://cloud.tencent.com,2024-09-14,,,,,,,,,,,,
多气体传感器,多个敏感元件 + 信号调理电路 + 无线模块,感测层、信号层、数据库层,阿里巴巴集团,集成式,阿里云,https://www.aliyun.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 无线传输模块,传感层、数据处理层、远程监控层,慧聪网科技,集成式,慧聪网,https://www.hc360.com/,2024-09-14,,,,,,,,,,,,
三轴陀螺仪,敏感元件 + 转换电路 + 数字处理单元,硬件层、算法层、校准层,大疆创新,模块式,大疆官方网站,https://www.dji.com/cn,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 信号调理电路 + 接口电路,采集层、控制层、反馈层,亚马逊AWS,集成式,亚马逊技术博客,https://aws.amazon.com/cn/blogs/,2024-09-14,,,,,,,,,,,,
RFID传感器,敏感元件 + 天线 + 处理模块,识别层、处理层、应用层,酷特智能,混合式,酷特科技,https://www.kutertech.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 模拟信号处理器,监测层、处理层、输出层,廊坊水务,集成式,廊坊水务官方网站,https://www.lfwater.com/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 转换器 + 处理电路,硬件层、信号处理层、输出层,创新科技有限公司,模块式,创新科技,https://www.innovatetech.com/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 无线通信电路,数据采集层、分析层、应用层,阿里云,混合式,阿里云官网,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 数据记录器 + 通信模块,环境层、监测层、报告层,中科院气象研究所,集成式,中科院官网,http://www.casl.ac.cn/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 模拟信号处理器 + 无线模块,生理层、数据层、控制层,华大基因技术,集成式,华大基因官网,https://www.bgitech.com/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 流量测量面板 + 处理器,采集层、信号处理层、反馈层,西门子,混合式,西门子官网,https://www.siemens.com/cn/zh/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,智云科技,集成式,智云科技,https://www.zhiyun.com/,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 模拟电路,物理层、信号处理层,华为技术,模块式,华为技术,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换元件 + 数据处理模块,监测层、分析层,清水科技,集成式,清水科技,https://www.qingshui.com/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号调理电路,检测层、执行层,京东智慧科技,混合式,京东智慧科技,https://www.jd.com/,2024-09-14,,,,,,,,,,,,
图像传感器,光敏元件 + 像素阵列 + 信号处理电路,感知层、数据处理层,索尼电子,集成式,索尼电子,https://www.sony.com.cn/,2024-09-14,,,,,,,,,,,,
声波传感器,敏感元件 + 噪声过滤模块,感知层、转换层、输出层,小米科技,模块式,小米科技,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
光纤传感器,光纤元件 + 信号调理电路 + 微处理器,物理层、数据层、应用层,华为技术,集成式,华为技术,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 转换电路,信号采集层、处理层、输出层,飞利浦公司,混合式,飞利浦公司,https://www.philips.com/,2024-09-14,,,,,,,,,,,,
触觉传感器,敏感元件 + 微处理器 + 通信模块,感知层、处理层、传输层,MIT触觉研究所,嵌入式,MIT触觉研究所,https://www.mit.edu/,2024-09-14,,,,,,,,,,,,
多气体传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、数据层、应用层,恩智浦半导体,集成式,恩智浦半导体,https://www.nxp.com/,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 数据转换器 + 通信模块,采集层、传输层、应用层,海洋科技,集成式,海洋科技,https://www.oceanetech.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、输出层,震动科技,模块式,震动科技,https://www.vibrationtech.com/news,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 无线模块,采集层、通讯层,无人机技术,集成式,无人机技术,https://www.drone-tech.com,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 信号调理电路 + 微处理器,检测层、处理层、应用层,核能研究院,混合式,核能研究院,https://www.nuclear-research.org,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据处理模块 + 通信接口,采集层、分析层、传输层,环保科技,模块式,环保科技,https://www.ecotech.com.cn,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 线性转换电路,传感层、处理层,电力自动化,集成式,电力自动化,http://www.powerautomation.com,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 处理器 + 通信模块,感知层、处理层,智能家居,混合式,智能家居,https://www.smartlivinghome.com,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 微处理器 + 信号调理电路,采集层、分析层,气象局科技部,模块式,气象局,https://www.weather.gov,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 数据记录器,监测层、分析层,农业科技,集成式,农业科技,https://www.agritech.com,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 微处理器 + 信号处理器,检测层、信号处理层,流体控制,混合式,流体控制,http://www.fluidcontrol.com,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 模拟信号处理器 + 传输模块,传感层、通信层、应用层,日本精工,集成式,日本精工官网,https://www.seiko-inst.co.jp/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 图像处理器 + 数据接口,监测层、分析层、报告层,大气科学研究所,模块式,大气科学研究所,https://www.aipnscience.com/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 数字信号处理器,采集层、监测层、输出层,绿色科技,集成式,绿色科技平台,https://www.greentech.com/,2024-09-14,,,,,,,,,,,,
土壤温度传感器,敏感元件 + microcontroller + 无线传输模块,感知层、传输层、应用层,农业家科技,混合式,农业家科技,https://www.agrihome.com/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 流量计 + 数据接口,感测层、输送层,工业流体科技,模块式,工业流体科技,http://www.industry-fluid.com/,2024-09-14,,,,,,,,,,,,
振幅传感器,敏感元件 + 高频转换器 + 处理单元,感应层、分析层、控制层,音频科技,集成式,音频科技平台,http://www.audio-tech.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 分析处理单元 + 无线通讯模块,采集层、传输层、处理层,水资源科技,模块式,水资源科技,http://www.waterresources.com/,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 超声波模块 + 处理器,感应层、输出层,菲尔普斯数字科技,混合式,菲尔普斯官网,http://www.phelpsdigital.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 微处理器 + 通信模块,感知层、执行层,动态科技发展有限公司,集成式,动态科技平台,http://www.dynamictech.com/,2024-09-14,,,,,,,,,,,,
微波传感器,敏感元件 + 高频电路 + 解调器,传感层、分析层、反馈层,微波工程局,模块式,微波工程局,http://www.microwave.org/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、输出层,农业科技,模块式,农业部,http://www.maff.gov.cn/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号处理单元,物理层、信号层,深圳先锋科技,集成式,深圳先锋科技网站,http://www.pioneersz.com/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 转换元件 + 微控制器,检测层、处理层、应用层,光电科技,模块式,光电科技,https://www.optotech.com/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 数据处理器,物理层、信号处理层,气象技术有限公司,集成式,气象局,http://www.cma.gov.cn/,2024-09-14,,,,,,,,,,,,
光谱传感器,敏感元件 + 数字信号处理器,信号获取层、数据层,纳米科技公司,混合式,纳米技术参考,http://www.nanotechreference.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换电路 + 无线模块,采集层、分析层、输出层,环境监测机构,模块式,水利部,http://www.mwr.gov.cn/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 信号放大器 + 微处理器,采集层、处理层、应用层,医疗健康技术,集成式,健康科技平台,https://www.healthtech.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 计算单元,检测层、数据分析层,运动技术研究中心,混合式,健康运动协会,http://www.healthandsport.org/,2024-09-14,,,,,,,,,,,,
GPS传感器,敏感元件 + 无线通讯模块 + 控制器,感知层、传输层、应用层,导航科技股份有限公司,集成式,国家地理信息部,http://www.ngcc.cn/,2024-09-14,,,,,,,,,,,,
色彩传感器,敏感元件 + 光电二极管 + 信号调理电路,检测层、分析层,色彩科技公司,模块式,色彩研究协会,http://www.colorresearch.org/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 反馈电路,传感层、控制层、应用层,控智科技,模块式,互联网+物联网,https://www.iotnews.com,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 模拟转换器 + 数据处理单元,感知层、传递层、响应层,光智感知,集成式,天眼查,https://www.tianyancha.com,2024-09-14,,,,,,,,,,,,
噪音传感器,声敏元件 + 数字信号处理器,感知层、处理层,安静科技,混合式,科技日报,http://www.stdaily.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微控制器 + 传输模块,传感层、网络层、应用层,农智科技,模块式,农业科技网,https://www.agri-tech.com,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理电路 + 警报系统,检测层、处理层、反馈层,火信科技,集成式,消防安全网,http://www.fire-safety.com,2024-09-14,,,,,,,,,,,,
水位传感器,传感元件 + 数据处理单元 + 显示模块,感应层、处理层、显示层,水利科技,集成式,水利部官网,http://www.mwr.gov.cn,2024-09-14,,,,,,,,,,,,
气候传感器,多传感器组合 + 数据融合单元,感知层、分析层、应用层,气象科技发展中心,混合式,气象局,https://www.cma.gov.cn,2024-09-14,,,,,,,,,,,,
pH值传感器,电极 + 模拟转换器 + 数据传输模块,检测层、传输层、监测层,水质监测科技,模块式,水质监测网,http://www.waterqualitymonitoring.com,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 信号处理电路 + 输出接口,数据采集层、处理层、应用层,科技创新实验室,集成式,科技创新网,http://www.innovationsite.com,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + 内置算法 + 数据接口,感应层、数据处理层、传输层,运动科技,集成式,运动科学期刊,https://www.sportsciencejournal.com,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 信号调理电路 + 微处理器,物理层、信号层、应用层,南京智能科技,模块式,南京智能科技,https://www.nanjingtech.com/news/ magneticsensor,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 接口电路 + 转换电路,传感层、处理层,深圳光电技术,集成式,光电周刊,http://www.photoelectronic.com,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 微处理器 + 反馈电路,物理层、计算层、输出层,北京科技院,集成式,电子时代,https://www.electronicage.com/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 数据处理模块,监测层、分析层,北京医疗科技,模块式,新医疗,https://www.newmedical.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 转换元件 + 接口电路,环境层、数据层,上海大数据,混合式,大数据日报,http://www.bigdata.com/Daily,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 电路处理单元,采集层、输出层,四川流控科技,集成式,高科技周刊,http://www.hightechweekly.com,2024-09-14,,,,,,,,,,,,
智能烟雾传感器,敏感元件 + 无线模块 + 信号调理电路,监测层、警报层,科技先锋,模块式,安全科技,https://www.safetytech.com,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 数据接口 + 信号调理电路,信号层、处理层,武汉光通信,集成式,光通信技术,https://www.opticalcom.com,2024-09-14,,,,,,,,,,,,
土壤 moisture 传感器,敏感元件 + 微处理器 + 信号调理,采集层、处理层,农业科技部,模块式,农业科技发展,http://www.agri-tech.gov,2024-09-14,,,,,,,,,,,,
红外线传感器,敏感元件 + 接口电路 + 转换电路,检测层、处理层,西安微电子,混合式,西安高新,https://www.xiancore.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,安森美半导体,集成式,安森美半导体,https://www.onsemi.com,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 模拟电路 + 通信模块,物理层、处理层、信息层,明德科技,模块式,明德科技,https://www.mindtech.com,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 信号调理电路 + 微处理器,传感层、控制层,博世传感器,集成式,博世传感器,https://www.bosch-sensors.com,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 转换元件 + 信号处理单元,物理层、应用层,瑞萨电子,混合式,瑞萨电子,https://www.renesas.com,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 信号处理芯片 + 无线模块,数据采集层、分析层,Fitbit,集成式,Fitbit,https://www.fitbit.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 模拟电路 + 通信接口,传感层、监测层,哈尔滨工程大学,模块式,哈尔滨工程大学,http://www.hrbeu.edu.cn,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 放大器 + 模拟信号处理器,传感层、输出层,中兴通讯,集成式,中兴通讯,https://www.zte.com.cn,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 决定电路 + 输出电路,数据层、控制层,施耐德电气,混合式,施耐德电气,https://www.se.com,2024-09-14,,,,,,,,,,,,
生物识别传感器,敏感元件 + 信号处理单元 + 数据存储模块,捕获层、处理层、存储层,英特尔,集成式,英特尔,https://www.intel.com,2024-09-14,,,,,,,,,,,,
RFID传感器,敏感元件 + 高频天线 + 信号处理模块,识别层、存储层,上海工业自动化仪表研究院,模块式,上海工业自动化,http://www.siair.com,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 数据接口,物理层、数据层、应用层,聚光科技,模块式,聚光科技,https://www.solartech.com,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 转换元件 + 信号调理电路,反应层、处理层、输出层,NanoSense,集成式,NanoSense官方网站,https://www.nanosense.com,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微控制器 + 数据采集模块,环境层、分析层,农智科技,混合式,农智科技,https://www.agrotech.com,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 信号处理电路,感应层、输出层,高德科技,模块式,高德科技信息中心,https://www.gaode.com,2024-09-14,,,,,,,,,,,,
生理监测传感器,敏感元件 + 数字信号处理器,健康层、处理层,生命科学中心,集成式,生命科学中心,https://www.lifescience.com,2024-09-14,,,,,,,,,,,,
海洋监测传感器,敏感元件 + 数据通信模块,环境层、传输层,海洋科技,混合式,海洋科技研发,https://www.oceanictech.com,2024-09-14,,,,,,,,,,,,
燃气泄漏传感器,敏感元件 + 信号处理单元 + 警报系统,安全层、响应层,安监科技,模块式,安监科技,https://www.safetysolutions.com,2024-09-14,,,,,,,,,,,,
智能家居传感器,敏感元件 + 物联网模块,用户层、服务层,智慧生活,集成式,智慧生活官网,https://www.smartliving.com,2024-09-14,,,,,,,,,,,,
