评价方式（字符型）,评价单位（字符型）,评价日期（字符型）,评价报告编号（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
量子处理器效率,%,2023-08-01,PROC-2023-002,国际量子计算联盟,http://www.iqca.org/,2024-10-21,,,,,,,,,,,,,
相位稳定性,μs,2023-06-30,PHASE-2023-003,量子技术标准委员会,http://www.qsc.org/,2024-10-21,,,,,,,,,,,,,
量子通信吞吐量,Mbps,2023-07-25,THROUGHPUT-2023-004,中国通信研究院,http://www.crai.com.cn/,2024-10-21,,,,,,,,,,,,,
量子网络延迟,ms,2023-04-22,LATENCY-2023-005,量子信息技术与应用研究中心,http://www.qiti.org/,2024-10-21,,,,,,,,,,,,,
量子算法运行时间,秒,2022-12-10,ALGO-2022-006,中国人工智能学会,http://www.caai.cn/,2024-10-21,,,,,,,,,,,,,
纠错码性能,%,2023-05-18,ECC-2023-007,量子计算研究所,http://www.qcri.com/,2024-10-21,,,,,,,,,,,,,
量子超导体运行温度,K,2023-02-14,TEMP-2023-008,国际超导研究学会,http://www.isr.org/,2024-10-21,,,,,,,,,,,,,
量子存储密度,GB/cm³,2022-11-05,STORAGE-DENSITY-2022-009,电子与量子信息期刊,http://www.eqijournal.com/,2024-10-21,,,,,,,,,,,,,
量子信号传输距离,公里,2023-03-10,DISTANCE-2023-010,量子通信网络服务平台,http://www.qcnetservice.com/,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-09-01,ALGO-2023-001,量子计算研究院,https://www.qc-institute.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠时间,微秒,2023-07-15,ENTANGLE-2023-002,中国物理学会,https://www.cps.org.cn,2024-10-21,,,,,,,,,,,,,
容错率,%,2023-08-22,FAULT-2023-003,物理评论快报,https://prl.aps.org,2024-10-21,,,,,,,,,,,,,
量子计算机单元数,个,2022-11-30,QBITCOUNT-2022-004,国际量子计算协会,https://www.iqca.org,2024-10-21,,,,,,,,,,,,,
量子通信实现率,%,2023-10-10,QCOMM-2023-005,中国科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子散射实验结果,次,2022-05-12,SCATTER-2022-006,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发效率,%,2023-06-30,QKD-2023-007,中国信息通信研究院,http://www.caict.ac.cn,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-03-15,QNETDELAY-2023-008,量子科技论坛,https://www.qforum.cn,2024-10-21,,,,,,,,,,,,,
量子测量精度,纳米,2022-12-05,MEASUREACCURACY-2022-009,IEEE量子科技,https://quantum.ieee.org,2024-10-21,,,,,,,,,,,,,
超导量子比特数量,个,2023-04-20,SUPERCONDUCTING-2023-010,国家量子技术研究中心,http://www.nqrc.cn,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2022-11-15,ENTANGLE-2022-008,量子计算与量子信息期刊,https://www.qci-journal.org,2024-10-21,,,,,,,,,,,,,
量子密钥分配速率,Kbps,2023-07-22,QKD-2023-009,数字通信网,https://www.digitalcomm.net,2024-10-21,,,,,,,,,,,,,
量子计算算法效率,%,2023-03-10,ALGO-2023-010,国际量子技术大会,https://www.quantumtechnologyconference.com,2024-10-21,,,,,,,,,,,,,
量子比特错误率,%,2023-01-05,QBER-2023-011,中国量子通信网,https://www.chinaqc.org,2024-10-21,,,,,,,,,,,,,
量子处理器规模,个,2023-08-30,QPICS-2023-012,纳米科技研究院,https://www.nanotechinstitute.org,2024-10-21,,,,,,,,,,,,,
量子复杂性,个,2022-04-18,QCPL-2022-013,计算机科学学报,https://www.journalofcomputerscience.com,2024-10-21,,,,,,,,,,,,,
量子干涉效率,%,2022-09-09,INTERFERE-2022-014,物理学前沿,https://www.frontiersinphysics.com,2024-10-21,,,,,,,,,,,,,
量子算法资源消耗,小时,2023-02-14,RESOURCES-2023-015,量子技术研究中心,https://www.quantumresearchcenter.org,2024-10-21,,,,,,,,,,,,,
量子系统兼容性,个,2023-05-01,COMPAT-2023-016,高能物理论坛,https://www.highenergyphysicsforum.com,2024-10-21,,,,,,,,,,,,,
量子测量精度,纳米,2022-12-12,MEASPREC-2022-017,量子技术协会,https://www.quantumtechassociation.org,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2022-01-15,ENTANGLE-2022-001,量子日报,http://www.quantumdaily.com,2024-10-21,,,,,,,,,,,,,
超导量子比特数,个,2022-02-28,SUPERQ-2022-002,科技创新网,http://www.kjjh.com,2024-10-21,,,,,,,,,,,,,
量子干涉效应,%,2023-03-10,INTERFERE-2023-003,中国科学技术协会,http://www.cast.org.cn,2024-10-21,,,,,,,,,,,,,
量子计算机操作稳定性,小时,2023-04-05,STABILITY-2023-004,物理学前沿,http://www.frontiersinphysics.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-06-20,ALG-EFF-2023-005,全国量子技术平台,http://www.quantumplatform.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-07-10,QKD-SUCCESS-2023-006,信息技术杂志,http://www.informationtech.com,2024-10-21,,,,,,,,,,,,,
量子干涉实验成功案例,个,2023-08-15,INTERFERE-CASES-2023-007,新技术探索,http://www.techdiscovery.com,2024-10-21,,,,,,,,,,,,,
量子网络覆盖区域,平方公里,2023-09-01,QN-COVERAGE-2023-008,全球网络论坛,http://www.globalnetworkforum.com,2024-10-21,,,,,,,,,,,,,
量子计算性能比较,TFlops,2023-10-13,QC-PERFORMANCE-2023-009,人工智能杂志,http://www.aimagazine.com,2024-10-21,,,,,,,,,,,,,
量子传输概率,%,2023-11-12,TRANS-PROBABILITY-2023-010,世界科技展览会,http://www.worldtechexpo.com,2024-10-21,,,,,,,,,,,,,
量子纠缠检测,个,2022-02-15,ENTANGLE-2022-008,量子通讯研究院,http://www.qcr.edu.cn,2024-10-21,,,,,,,,,,,,,
纠错容量,比特,2023-03-05,ECC-2023-009,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发速度,公里,2023-07-22,QKD-2023-010,中国江南大学,http://www.cjnu.edu.cn,2024-10-21,,,,,,,,,,,,,
门操作准确性,百分比,2022-11-30,GATEACC-2022-011,人工智能与量子研究中心,http://www.aiqrc.org,2024-10-21,,,,,,,,,,,,,
量子算法效率,秒,2023-08-01,ALGORITHM-2023-012,信息技术研究院,http://www.itri.edu.cn,2024-10-21,,,,,,,,,,,,,
量子计算机热噪声水平,微开尔文,2023-09-10,NOISE-2023-013,中国科学院物理研究所,http://www.casl.ac.cn,2024-10-21,,,,,,,,,,,,,
量子模拟器性能,个,2023-05-20,SIM-2023-014,新科学技术出版社,http://www.sciencepub.com,2024-10-21,,,,,,,,,,,,,
量子光源效率,百分比,2022-06-15,LIGHTSOURCE-2022-015,物理学报,http://www.physica.com.cn,2024-10-21,,,,,,,,,,,,,
量子比特的物理可靠性,单位,2023-01-18,QBRELIABILITY-2023-016,重庆大学,http://www.cqu.edu.cn,2024-10-21,,,,,,,,,,,,,
量子逆变器操作稳定性,小时,2023-10-05,INVERTER-2023-017,中国量子科技中心,http://www.cqc.org.cn,2024-10-21,,,,,,,,,,,,,
量子计算算法效率,%,2023-07-01,ALGO-2023-008,量子杂志,http://www.quantummagazine.com,2024-10-21,,,,,,,,,,,,,
误差纠正能力,%,2023-08-15,ECC-2023-009,科学美国人,http://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子比特相干时间,微秒,2023-05-22,COHERENCE-2023-010,中国量子信息网,http://www.chinaqi.net,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-08-23,QKD-2023-011,网络安全杂志,http://www.cybersecuritymagazine.com,2024-10-21,,,,,,,,,,,,,
量子系统的集成度,个,2023-09-10,INTEGRATION-2023-012,IEEE量子电子学刊,http://www.ieee.org,2024-10-21,,,,,,,,,,,,,
量子算法的执行时间,秒,2023-09-28,EXECUTION-2023-013,量子计算研究中心,http://www.qcresearch.org,2024-10-21,,,,,,,,,,,,,
量子网络拓扑复杂度,个,2023-06-12,TOPOLOGY-2023-014,量子信息技术网,http://www.qit.org,2024-10-21,,,,,,,,,,,,,
量子误差率,%,2023-05-30,ERROR-2023-015,量子技术前沿,http://www.qutechfrontiers.org,2024-10-21,,,,,,,,,,,,,
量子存储容量,比特,2023-07-18,STORAGECAP-2023-016,计算机学报,http://www.journalofcomputerscience.com,2024-10-21,,,,,,,,,,,,,
量子传输延迟,毫秒,2023-08-30,TRANSMIT-2023-017,信息技术与应用,http://www.itapp.org,2024-10-21,,,,,,,,,,,,,
量子计算能力,个量子比特,2022-01-15,QBCAP-2022-008,量子前沿,https://www.quantumfrontiers.com,2024-10-21,,,,,,,,,,,,,
量子纠缠生成率,%,2022-05-22,ENTANGLE-2022-009,科学日报,http://www.sciencedaily.com,2024-10-21,,,,,,,,,,,,,
量子逻辑门准确性,%,2023-03-10,GATEACCURACY-2023-010,量子信息与计算,http://www.qic.com,2024-10-21,,,,,,,,,,,,,
量子系统稳定性,小时,2023-07-30,STABILITY-2023-011,量子科技,https://www.quantumtech.com,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2023-08-05,QCOMMDLY-2023-012,中国网络周刊,http://www.cnnw.com,2024-10-21,,,,,,,,,,,,,
量子算法优化效果,%,2023-09-15,ALGOOPT-2023-013,人工智能与量子计算,https://www.aic-qc.com,2024-10-21,,,,,,,,,,,,,
量子噪声减少效果,分贝,2023-04-18,NOISEREDUCTION-2023-014,国际量子研究,http://www.internationalquantumresearch.com,2024-10-21,,,,,,,,,,,,,
量子网络传输效率,%,2022-12-01,NETEFFIC-2022-015,量子互联网,https://www.quantuminternet.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-10-25,QKD-2023-016,信息安全,https://www.informationsecurity.com,2024-10-21,,,,,,,,,,,,,
量子机器学习模型准确性,%,2023-11-05,QMLACCURACY-2023-017,机器学习前沿,https://www.mlfrontiers.com,2024-10-21,,,,,,,,,,,,,
量子编解码效率,%,2023-07-11,CODEC-2023-008,量子技术前沿,https://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子算法处理时间,秒,2023-08-05,ALGO-2023-009,科学杂志,https://www.sciencemag.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-09-30,QKD-2023-010,信息安全研究,https://www.informationsecurityresearch.com,2024-10-21,,,,,,,,,,,,,
量子电路深度,层,2022-10-15,CIRCUIT-2022-011,国际量子论坛,https://www.internationalquantumforum.org,2024-10-21,,,,,,,,,,,,,
量子抗干扰能力,dB,2021-11-25,RESIST-2021-012,计算机科学年度报告,https://www.csannualreport.org,2024-10-21,,,,,,,,,,,,,
量子计算机并行度,个,2023-03-18,PARALLEL-2023-013,未来科技,https://www.futuretechnology.com,2024-10-21,,,,,,,,,,,,,
量子态操控精度,%,2023-04-09,CONTROL-2023-014,量子领域,https://www.quantumdomain.com,2024-10-21,,,,,,,,,,,,,
量子系统集成度,%,2022-12-01,INTEGRATION-2022-015,电子技术与软件工程,https://www.electronicstechnology.com,2024-10-21,,,,,,,,,,,,,
量子计算效率,次/秒,2023-05-22,EFFICACY-2023-016,物理评论,https://www.physicalreviews.com,2024-10-21,,,,,,,,,,,,,
量子传输延迟,微秒,2023-01-15,TRANSMISSION-2023-017,量子通信和网络,https://www.qcnetworks.org,2024-10-21,,,,,,,,,,,,,
量子误差纠正能力,个,2023-03-02,QEC-2023-001,量子研究杂志,https://www.quantumresearch.org,2024-10-21,,,,,,,,,,,,,
量子计算机功耗,瓦特,2023-04-15,POWER-2023-002,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,倍,2023-05-22,ALGORITHM-2023-003,自然科学周刊,https://www.nature.com,2024-10-21,,,,,,,,,,,,,
量子态传输距离,公里,2023-06-30,QTRANS-2023-004,国际量子通信期刊,https://www.qcjournal.org,2024-10-21,,,,,,,,,,,,,
量子计算机可扩展性,%,2023-07-12,SCALABILITY-2023-005,中国计算机学会,https://www.ccf.org.cn,2024-10-21,,,,,,,,,,,,,
量子优越性试验结果,次数,2023-08-11,SUPREMACY-2023-006,量子计算趋势,https://www.quantumtrends.com,2024-10-21,,,,,,,,,,,,,
量子态稳定性,分钟,2023-09-15,STABILITY-2023-007,物理评论快报,https://journals.aps.org/prl,2024-10-21,,,,,,,,,,,,,
量子通信安全性评估,级,2023-09-20,SECURITY-2023-008,信息安全杂志,https://www.infosecurity-magazine.com,2024-10-21,,,,,,,,,,,,,
装置集成度,个,2023-10-05,INTEGRATION-2023-009,电子技术应用,https://www.electronictech.com,2024-10-21,,,,,,,,,,,,,
量子密码算法安全性,%,2023-10-10,QUANTUMCRYPT-2023-010,密码技术研究,https://www.cryptostudies.com,2024-10-21,,,,,,,,,,,,,
量子算法性能,个,2023-09-01,ALGO-2023-008,量子计算日报,https://www.qcnews.com,2024-10-21,,,,,,,,,,,,,
量子纠缠度,%,2023-07-22,ENTANGLE-2023-009,科学家论坛,https://www.sciencethread.com,2024-10-21,,,,,,,,,,,,,
量子系统稳定性,小时,2023-05-30,STABILITY-2023-010,量子技术观察,https://www.quantumtechwatch.com,2024-10-21,,,,,,,,,,,,,
量子比较测量,公里,2022-11-15,COMPARISON-2022-011,未来科技,https://www.futuretech.com,2024-10-21,,,,,,,,,,,,,
量子传输距离,公里,2023-08-05,TRANSMIT-2023-012,量子网络研究,https://www.qnresearch.org,2024-10-21,,,,,,,,,,,,,
量子密钥分发效率,%,2023-03-14,QKD-2023-013,信息安全前沿,https://www.infosecfuture.com,2024-10-21,,,,,,,,,,,,,
量子计算机运算能力,TFlops,2023-01-26,COMPUTE-2023-014,国际量子计算大会,https://www.iqcc.org,2024-10-21,,,,,,,,,,,,,
量子芯片集成度,个,2022-10-30,CHIP-2022-015,科技日报,https://www.sciencetimes.com,2024-10-21,,,,,,,,,,,,,
量子模拟精度,%,2022-12-20,SIMULATION-2022-016,计算科学前沿,https://www.compfrontiers.com,2024-10-21,,,,,,,,,,,,,
量子安全协议数量,个,2023-04-18,SECURE-2023-017,网络安全观察,https://www.nsecwatch.com,2024-10-21,,,,,,,,,,,,,
量子干涉实验,个,2022-01-15,INTERF-2022-001,量子科技发展网,http://www.quantumtechnews.com/,2024-10-21,,,,,,,,,,,,,
量子网络管理能力,个,2023-03-22,QNET-2023-002,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子芯片运行效率,%,2023-07-01,QCHIP-2023-003,清华大学量子研究中心,http://www.tsinghua.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子计算算法速度,秒,2022-09-05,QCALC-2022-004,中国计算机科学学会,http://www.csc.org.cn/,2024-10-21,,,,,,,,,,,,,
量子通信安全性评估,%,2023-08-10,QCSAF-2023-005,网络安全杂志,http://www.cybersecurityjournal.com/,2024-10-21,,,,,,,,,,,,,
量子数据传输延迟,毫秒,2022-11-20,QTRAN-2022-006,量子未来,http://www.quantumfuture.org/,2024-10-21,,,,,,,,,,,,,
量子保真度测试,%,2023-05-18,QFIDEL-2023-007,IEEE量子计算协会,http://www.ieee.org/,2024-10-21,,,,,,,,,,,,,
量子系统误差率,%,2022-12-15,QERROR-2022-008,中国科学院,http://www.cas.cn/,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,pm/√Hz,2023-02-07,QSENS-2023-009,Nature 量子科技期刊,http://www.nature.com/,2024-10-21,,,,,,,,,,,,,
量子模拟精度,%,2023-06-25,QSIM-2023-010,Science Advances,http://www.science.org/,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2022-11-15,QBT-2022-008,量子科技前沿,https://www.quantumfrontiers.com/,2024-10-21,,,,,,,,,,,,,
量子计算效率,%,2023-07-25,EFFIC-2023-009,科技日报,https://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子误差率,%,2023-08-10,ERRRATE-2023-010,中国量子通信网,http://www.quantumchinese.org/,2024-10-21,,,,,,,,,,,,,
量子态保持时间,微秒,2023-09-05,COHERENCE-2023-011,国际量子科技期刊,https://www.ijqt.com/,2024-10-21,,,,,,,,,,,,,
量子网络规模,个,2023-10-01,QNETWORK-2023-012,清华大学量子计算实验室,https://quantum.tsinghua.edu.cn/,2024-10-21,,,,,,,,,,,,,
量子通信锁定时间,秒,2022-12-20,LOCKTIME-2022-013,光通信网,https://www.opticalcommunication.com/,2024-10-21,,,,,,,,,,,,,
量子算法复杂度,阶,2023-03-15,ALGO-2023-014,计算机科学进展,https://www.csp.org.cn/,2024-10-21,,,,,,,,,,,,,
量子存储单元,个,2023-09-18,STORAGEUNIT-2023-015,中国科学技术协会,http://www.cast.org.cn/,2024-10-21,,,,,,,,,,,,,
量子速度提升,倍,2023-05-30,SPEEDUP-2023-016,自动化与计算机杂志,http://www.journalofautomation.com/,2024-10-21,,,,,,,,,,,,,
量子密钥分发可靠性,%,2023-08-28,QKDREL-2023-017,国家广播电视总局,http://www.nrta.gov.cn/,2024-10-21,,,,,,,,,,,,,
量子计算机功耗,瓦特,2023-07-10,POWER-2023-008,量子科技日报,https://www.qkdaily.com,2024-10-21,,,,,,,,,,,,,
量子错误率,%,2023-05-20,ERROR-2023-009,中国科学院量子研究所,http://www.iqsa.cas.cn,2024-10-21,,,,,,,,,,,,,
量子密钥分发距离,公里,2023-08-15,QKD-2023-010,信息与量子科技研究,https://iqtr.org,2024-10-21,,,,,,,,,,,,,
超导量子比特数量,个,2023-06-05,SCQB-2023-011,科学进展,https://www.scienceprogress.net,2024-10-21,,,,,,,,,,,,,
量子计算网络延迟,毫秒,2022-12-12,LATENCY-2022-012,量子信息与计算,https://www.qic.com,2024-10-21,,,,,,,,,,,,,
量子误差纠正性能,%,2023-09-10,EC-2023-013,量子研究前沿,https://frontiersinquantum.com,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,Hz,2023-03-14,SENS-2023-014,中国物理学会,https://www.cps.org.cn,2024-10-21,,,,,,,,,,,,,
量子算法性能,次/秒,2023-01-18,ALGO-2023-015,量子计算研究中心,https://www.qcrc.org,2024-10-21,,,,,,,,,,,,,
量子光源稳定性,小时,2023-02-22,QSource-2023-016,国际光子学协会,https://www.photonics.org,2024-10-21,,,,,,,,,,,,,
量子态保真度,%,2023-04-30,FIDELITY-2023-017,量子物理学杂志,https://www.journalofquantumphysics.com,2024-10-21,,,,,,,,,,,,,
量子纠缠强度,比特,2022-11-12,ENT-2022-008,国家量子实验室,https://www.nqlab.org,2024-10-21,,,,,,,,,,,,,
量子保真度,%,2023-07-01,FIDELITY-2023-009,量子科技前沿,https://www.quantumtechfront.com,2024-10-21,,,,,,,,,,,,,
量子算法复杂度,次,2023-08-15,ALGO-2023-010,清华大学量子计算研究中心,https://www.qcrc.tsinghua.edu.cn,2024-10-21,,,,,,,,,,,,,
量子通信安全性评估,级别,2023-09-05,SECURITY-2023-011,中国电子技术标准化研究院,https://www.ectri.org,2024-10-21,,,,,,,,,,,,,
量子计算机热噪声水平,毫开尔文,2023-10-20,NOISE-2023-012,美国量子实验室,https://www.usqlab.org,2024-10-21,,,,,,,,,,,,,
量子状态重构效率,%,2023-09-30,RECONSTRUCTION-2023-013,英国物理学会,https://www.iop.org,2024-10-21,,,,,,,,,,,,,
量子机器学习模型准确性,%,2022-12-25,ML-2022-014,量子机器学习国际会议,https://www.qmlconference.org,2024-10-21,,,,,,,,,,,,,
超导量子比特数量,个,2023-01-15,QUBIT-2023-015,麻省理工学院量子计算实验室,https://www.mit.edu,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,Hz/√Hz,2023-02-10,SENSITIVITY-2023-016,国际量子传感器研究网络,https://www.iqsn.org,2024-10-21,,,,,,,,,,,,,
量子互联网节点数量,个,2023-03-22,QINETNODE-2023-017,全球量子互联网发展论坛,https://www.qinetforum.org,2024-10-21,,,,,,,,,,,,,
量子隐形传态成功率,%,2023-07-18,TELEPORT-2023-001,量子通信技术论坛,http://www.quantumforum.cn/,2024-10-21,,,,,,,,,,,,,
量子纠缠保持时间,毫秒,2022-09-15,ENTANGLE-2022-002,国际量子科技杂志,http://www.quantumtechjournal.org/,2024-10-21,,,,,,,,,,,,,
量子算法优化效果,次,2023-03-12,ALGOOPT-2023-003,中国计算机学会,http://www.ccf.org.cn/,2024-10-21,,,,,,,,,,,,,
量子计算处理能力,FLOPS,2023-05-25,QCP-2023-004,科技日报,http://www.stdaily.com/,2024-10-21,,,,,,,,,,,,,
量子通信全网络延迟,毫秒,2024-01-10,QNETLAT-2024-005,量子世界杂志,http://www.quantumworldjournal.com/,2024-10-21,,,,,,,,,,,,,
量子芯片能耗,瓦特,2023-11-02,CHIPPOWER-2023-006,新科技发展,http://www.newtechdev.com/,2024-10-21,,,,,,,,,,,,,
量子处理器性能评估,个量子比特,2023-08-29,QP-2023-007,物理学评论,http://www.physreview.org/,2024-10-21,,,,,,,,,,,,,
量子计算相干时间,微秒,2023-04-05,COHERENCE-2023-008,清华大学量子研究中心,http://www.tsinghua.edu.cn/quantum/,2024-10-21,,,,,,,,,,,,,
量子密钥分配速率,比特每秒,2023-02-01,QKD-2023-009,中国信息通信研究院,http://www.citic.org.cn/,2024-10-21,,,,,,,,,,,,,
量子系统集成度,个,2023-09-30,QSYSINT-2023-010,苏州量子科技公司,http://www.suzhouquantum.com/,2024-10-21,,,,,,,,,,,,,
量子比特合作,个,2023-01-15,QBC-2023-008,量子时代,https://www.quantumnews.com/,2024-10-21,,,,,,,,,,,,,
量子纠缠程度,比特,2023-03-12,ENT-2023-009,量子物理期刊,https://www.quantumjournal.com/,2024-10-21,,,,,,,,,,,,,
量子算法性能,%,2022-10-05,ALGO-2022-010,信息科技报,https://www.infotechnews.com/,2024-10-21,,,,,,,,,,,,,
量子网络延迟,毫秒,2023-07-20,QDLY-2023-011,国际通信协会,https://www.cgi.org/,2024-10-21,,,,,,,,,,,,,
量子模拟有效性,%,2022-12-16,SIM-2022-012,计算机科学协会,https://www.compsci.org/,2024-10-21,,,,,,,,,,,,,
量子计算并行度,个,2023-08-08,PARA-2023-013,未来计算技术,https://www.futuretechcomputing.com/,2024-10-21,,,,,,,,,,,,,
量子加密强度,比特,2022-05-25,QENC-2022-014,网络安全周刊,https://www.cybersecurityweekly.com/,2024-10-21,,,,,,,,,,,,,
量子传感器精度,厘米,2023-09-30,QSES-2023-015,传感器科技,https://www.sensortech.com/,2024-10-21,,,,,,,,,,,,,
量子集成电路效率,%,2023-02-22,QIC-2023-016,电子工程视野,https://www.electronicengineering.com/,2024-10-21,,,,,,,,,,,,,
量子密码级别,级,2023-11-11,QSEC-2023-017,量子安全研究所,https://www.quantumsecurity.org/,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-11-01,ALGO-2023-008,量子科技前沿,http://www.quantumtechfrontier.com,2024-10-21,,,,,,,,,,,,,
量子计算机数量,台,2022-10-15,QCNUM-2022-009,CNBC科技,https://www.cnbc.com/technology,2024-10-21,,,,,,,,,,,,,
量子通信速度,Gbps,2023-09-25,QCSPEED-2023-010,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发成功率,%,2023-08-05,QKD-2023-011,中国量子通信网,http://www.chinaqkd.com,2024-10-21,,,,,,,,,,,,,
量子计算协处理器数量,个,2023-07-20,QCPROCESSOR-2023-012,中国计算机学会,http://www.ccf.org.cn,2024-10-21,,,,,,,,,,,,,
量子数据存储容量,TB,2023-03-30,QDSTORAGE-2023-013,IEEE量子杂志,http://quantum.ieee.org,2024-10-21,,,,,,,,,,,,,
量子纠缠生成率,对,2023-05-12,ENTANGLE-2023-014,全球量子研究杂志,http://www.globalquantumresearch.com,2024-10-21,,,,,,,,,,,,,
量子计算能耗,kWh,2023-01-18,QCEnergy-2023-015,科技创新与发展,http://www.innovationanddevelopment.com,2024-10-21,,,,,,,,,,,,,
量子通信设备普及率,%,2023-06-30,QCDEV-2023-016,全球数字经济论坛,http://www.globaldigitaleconomyforum.com,2024-10-21,,,,,,,,,,,,,
量子网络传输延迟,微秒,2023-02-22,QNTD-2023-017,未来科技,http://www.futuretech.com,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2023-07-15,ENTANGLE-2023-008,量子通讯网,http://www.qcnetwork.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-09-05,ALGO-2023-009,科学时报,http://www.sciencetimes.com,2024-10-21,,,,,,,,,,,,,
量子态操控时间,微秒,2022-12-10,CONTROL-2022-010,中国量子科学研究院,http://www.iqsa.cn,2024-10-21,,,,,,,,,,,,,
量子计算机规模,量子比特数,2023-08-22,SCALE-2023-011,量子计算新闻网,http://www.qcnews.com,2024-10-21,,,,,,,,,,,,,
量子信息安全度,等级,2023-04-10,SECURE-2023-012,计算机安全协会,http://www.csisec.org,2024-10-21,,,,,,,,,,,,,
量子传感器精度,米,2023-10-01,SENSOR-2023-013,量子传感器研究所,http://www.qsense.org,2024-10-21,,,,,,,,,,,,,
量子网速,Gbps,2023-11-01,QNETSPEED-2023-014,国际量子计算中心,http://www.iqcc.org,2024-10-21,,,,,,,,,,,,,
量子存储稳定性,%,2022-03-21,STABILITY-2022-015,国家量子科技发展报告,http://www.nqstdevreport.cn,2024-10-21,,,,,,,,,,,,,
量子密钥分发效率,条/秒,2023-09-30,QKD-2023-016,中国数码安全网,http://www.cdsec.org,2024-10-21,,,,,,,,,,,,,
量子高性能计算能力,TFlops,2023-06-18,HPC-2023-017,高校计算机教育网,http://www.hpcedu.edu.cn,2024-10-21,,,,,,,,,,,,,
量子比特数目,个,2023-09-01,QBT-2023-008,量子通信网,http://www.quantumcomm.com,2024-10-21,,,,,,,,,,,,,
量子演算性能,个任务每秒,2023-10-05,QCALC-2023-009,科技前沿,http://www.techfrontier.com,2024-10-21,,,,,,,,,,,,,
量子纠缠度,次,2023-07-20,ENTANGLE-2023-010,中国量子研究协会,http://www.chinaquantum.org,2024-10-21,,,,,,,,,,,,,
量子网络吞吐量,kb/s,2023-06-15,QTHROUGHPUT-2023-011,量子信息与量子技术,http://www.qiqt.org,2024-10-21,,,,,,,,,,,,,
量子计算优化效率,百分比,2023-05-25,OPTIMIZE-2023-012,国际量子计算期刊,http://www.iqcc.org,2024-10-21,,,,,,,,,,,,,
量子模拟复杂性,维度,2023-08-10,QSIMCOMPLEXITY-2023-013,量子技术新闻,http://www.qtn-news.com,2024-10-21,,,,,,,,,,,,,
量子错误修正速率,每秒修正次数,2023-04-28,QERRCORRECT-2023-014,中国科学院量子研究所,http://www.qazi.cn,2024-10-21,,,,,,,,,,,,,
量子设备集成度,个元件,2023-03-10,QDEVICES-2023-015,自然科学周刊,http://www.naturalsciencenews.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发安全性评估,比特安全性等级,2023-02-05,QKDSECURITY-2023-016,全球网络安全报告,http://www.globalsecreport.com,2024-10-21,,,,,,,,,,,,,
量子计算耗能评估,千瓦时,2023-01-15,QPOWER-2023-017,能源与技术,http://www.energytech.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-07-15,ALGO-2023-008,量子计算前沿,http://www.quantumfrontier.org,2024-10-21,,,,,,,,,,,,,
量子加密安全性,级,2023-06-30,SECURE-2023-009,网络安全观察,http://www.cybersecuritywatch.com,2024-10-21,,,,,,,,,,,,,
量子模拟能力,次/秒,2023-05-25,SIMULATE-2023-010,科学美国人,http://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子计算机规模,个量子比特,2023-08-01,QBSIZE-2023-011,量子信息研究院,http://www.quantuminstitute.edu,2024-10-21,,,,,,,,,,,,,
量子通信延迟,毫秒,2023-03-18,LATENCY-2023-012,中国量子通信论坛,http://www.chinaquantumforum.cn,2024-10-21,,,,,,,,,,,,,
