产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注,,,,,,,,
数控车床,辽宁重工机械有限公司,6500,1050,±0.02 mm,±0.01 mm,±0.03 mm,±0.015 mm,《中国机械工业》,https://www.cmechina.com,2024-09-20,,,,,,,,,
数控激光雕刻机,深圳创艺科技有限公司,25000,700,±0.005,±0.002,±0.015,±0.007,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控电火花机,广州电机设备有限公司,1000,900,±0.01,±0.005,±0.02,±0.01,上海机电设备行业协会,https://www.shmeia.com,2024-09-20,,,,,,,,,
数控水刀切割机,成都水切科技有限公司,9000,1500,±0.015,±0.008,±0.025,±0.013,中国机床工具工业协会,https://www.cmtia.org,2024-09-20,,,,,,,,,
数控磨床,苏州磨削技术有限公司,5500,600,±0.008,±0.004,±0.018,±0.009,北京市机械工程学会,https://www.bjme.org,2024-09-20,,,,,,,,,
数控冲压机,天津华达机械有限公司,750,1100,±0.03,±0.015,±0.04,±0.02,国家人造板质量监督检验中心,https://www.nbqg.gov.cn,2024-09-20,,,,,,,,,
数控龙门铣床,青岛巨峰机床有限公司,3000,2000,±0.02,±0.01,±0.03,±0.015,中国机床市场研究中心,https://www.cnc.org.cn,2024-09-20,,,,,,,,,
数控铣削中心,郑州机床制造有限公司,12000,1000,±0.01,±0.005,±0.02,±0.01,河南省机械工业协会,https://www.hnman.org.cn,2024-09-20,,,,,,,,,
全自动数控车床,山西车床科技有限公司,4000,1200,±0.025,±0.012,±0.03,±0.015,中国机械工业信息网,https://www.cmiit.gov.cn,2024-09-20,,,,,,,,,
高精度卧式数控铣床,哈尔滨数控设备有限公司,9000,1400,±0.015,±0.007,±0.02,±0.01,中国国家机器质量监督检验中心,https://www.sqci.org.cn,2024-09-20,,,,,,,,,
数控高速铣床,长春机床股份有限公司,30000,800,±0.005,±0.002,±0.01,±0.005,吉林省机械制造协会,https://www.jlmm.org.cn,2024-09-20,,,,,,,,,
数控铣床,深圳市优创科技有限公司,10000,900,±0.008,±0.004,±0.018,±0.009,全国机械工业联合会,https://www.cmtia.org.cn,2024-09-20,,,,,,,,,
数控激光切割机,东莞激光科技有限公司,12000,2000,±0.012,±0.006,±0.022,±0.011,中国激光制造网,https://www.laserchina.net,2024-09-20,,,,,,,,,
数控车床,苏州精机有限公司,5000,1200,±0.015,±0.007,±0.025,±0.012,江苏省机械制造协会,https://www.jsmfg.org,2024-09-20,,,,,,,,,
水刀切割机,厦门水刀科技有限公司,9000,1500,±0.02,±0.01,±0.03,±0.015,国家水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
高速数控铣床,天津机床厂,15000,800,±0.009,±0.004,±0.015,±0.008,天津市机械设计研究院,https://www.tianjin-jiqiao.com,2024-09-20,,,,,,,,,
数控冲床,安徽冲压设备有限公司,800,1100,±0.035,±0.018,±0.045,±0.02,安徽省机械行业协会,https://www.ahmachinery.org,2024-09-20,,,,,,,,,
数控折弯机,武汉数控科技公司,6000,1300,±0.011,±0.005,±0.02,±0.01,湖北省科技厅,https://www.hubei.gov.cn,2024-09-20,,,,,,,,,
高精度数控铣床,重庆机电公司,14000,850,±0.007,±0.003,±0.014,±0.007,重庆市经信委,https://www.cqjx.gov.cn,2024-09-20,,,,,,,,,
精密磨床,福州磨床有限公司,3000,600,±0.02,±0.01,±0.035,±0.015,福建省质量技术监督局,https://www.fjqts.gov.cn,2024-09-20,,,,,,,,,
数控激光打标机,沈阳激光科技有限公司,10000,400,±0.005,±0.002,±0.01,±0.003,国家工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控磨床,武汉数控机床有限公司,9000,600,±0.005 mm,±0.003 mm,±0.018 mm,±0.009 mm,中国机械设备工程股份有限公司,https://www.cme.com.cn,2024-09-20,,,,,,,,,
数控铣床,天津机床制造有限公司,15000,1000,±0.008 mm,±0.004 mm,±0.015 mm,±0.008 mm,中国科学院机械部,https://www.cas.cn,2024-09-20,,,,,,,,,
激光切割机,深圳光电设备有限公司,12000,2000,±0.012 mm,±0.006 mm,±0.022 mm,±0.011 mm,中国激光行业协会,https://www.clia.org.cn,2024-09-20,,,,,,,,,
数控车床,厦门通用机械有限公司,7000,1200,±0.018 mm,±0.009 mm,±0.028 mm,±0.014 mm,工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
多功能加工中心,成都机械厂,11000,900,±0.004 mm,±0.002 mm,±0.020 mm,±0.010 mm,国家科技部,https://www.most.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,南京水刀科技有限公司,8500,1500,±0.017 mm,±0.008 mm,±0.027 mm,±0.013 mm,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控冲床,西安机床工具有限公司,450,800,±0.02 mm,±0.010 mm,±0.040 mm,±0.015 mm,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控铣床,沈阳机床集团,13000,800,±0.006 mm,±0.003 mm,±0.014 mm,±0.007 mm,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-20,,,,,,,,,
数控切割机,重庆自动化设备有限公司,10000,1600,±0.013 mm,±0.005 mm,±0.023 mm,±0.012 mm,行业发展研究中心,https://www.industryresearch.cn,2024-09-20,,,,,,,,,
数控铣床,长沙时代机床有限公司,12500,950,±0.007 mm,±0.004 mm,±0.016 mm,±0.008 mm,未来机械工业论坛,https://www.fmf.com.cn,2024-09-20,,,,,,,,,
数控铣床,苏州技术机械有限公司,15000,1000,±0.008 mm,±0.004 mm,±0.018 mm,±0.009 mm,机械工程学会,https://www.cme.org.cn,2024-09-20,,,,,,,,,
数控车床,天津机电制造有限公司,7000,1200,±0.015 mm,±0.007 mm,±0.025 mm,±0.012 mm,国家机床行业协会,https://www.cmhia.org.cn,2024-09-20,,,,,,,,,
激光切割机,重庆激光科技有限公司,11000,1600,±0.012 mm,±0.006 mm,±0.020 mm,±0.010 mm,中国激光产业联盟,https://www.clia.org.cn,2024-09-20,,,,,,,,,
水刀切割机,深圳水刀科技有限公司,9000,1500,±0.018 mm,±0.009 mm,±0.022 mm,±0.011 mm,水切割技术开发中心,https://www.wetcutting.org,2024-09-20,,,,,,,,,
数控冲床,武汉冲压机械制造有限公司,600,950,±0.04 mm,±0.02 mm,±0.065 mm,±0.025 mm,国家机械设备监察局,https://www.cmeib.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,郑州激光科技公司,13000,2000,±0.009 mm,±0.005 mm,±0.015 mm,±0.008 mm,激光行业发展委员会,https://www.laser.org.cn,2024-09-20,,,,,,,,,
数控铣床,东莞机床制造有限公司,14000,900,±0.007 mm,±0.003 mm,±0.015 mm,±0.007 mm,世界机械制造联合会,https://www.imma.org,2024-09-20,,,,,,,,,
高精度数控车床,佛山数控设备有限公司,8000,1400,±0.014 mm,±0.007 mm,±0.019 mm,±0.008 mm,中国机械设备专家论坛,https://www.china-machine.com,2024-09-20,,,,,,,,,
数控激光切割机,合肥精密机械有限公司,9500,1700,±0.011 mm,±0.005 mm,±0.022 mm,±0.012 mm,国家科技进步奖办公室,https://www.stip.gov.cn,2024-09-20,,,,,,,,,
多功能数控冲床,长沙冲压设备厂,450,1100,±0.035 mm,±0.018 mm,±0.045 mm,±0.022 mm,中国机械供应链管理协会,https://www.caam.org.cn,2024-09-20,,,,,,,,,
数控铣床,成都数控设备有限公司,15000,600,±0.008 mm,±0.004 mm,±0.018 mm,±0.009 mm,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
数控车床,深圳先进制造科技有限公司,7000,1200,±0.015 mm,±0.007 mm,±0.022 mm,±0.011 mm,国家统计局,https://www.stats.gov.cn,2024-09-20,,,,,,,,,
激光切割机,广州科技激光设备有限公司,9500,1700,±0.012 mm,±0.006 mm,±0.020 mm,±0.010 mm,赛迪顾问,https://www.ccidconsulting.com,2024-09-20,,,,,,,,,
水刀切割机,青岛水刀设备股份有限公司,8500,1500,±0.018 mm,±0.009 mm,±0.021 mm,±0.012 mm,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控冲床,苏州精密机床有限公司,600,900,±0.025 mm,±0.013 mm,±0.045 mm,±0.022 mm,国家工业总局,https://www.mii.gov.cn,2024-09-20,,,,,,,,,
数控铣床,合肥量具股份有限公司,13000,800,±0.009 mm,±0.005 mm,±0.019 mm,±0.008 mm,行业分析报告,https://www.industry-reports.com,2024-09-20,,,,,,,,,
激光切割机,沈阳光电科技有限公司,10500,1800,±0.014 mm,±0.007 mm,±0.017 mm,±0.008 mm,中国科技协会,http://www.cast.org.cn,2024-09-20,,,,,,,,,
水刀切割机,武汉水刀技术有限公司,9000,1300,±0.022 mm,±0.010 mm,±0.024 mm,±0.013 mm,科技日报,http://www.stdaily.com,2024-09-20,,,,,,,,,
数控车床,天津机床制造有限公司,8000,1100,±0.016 mm,±0.008 mm,±0.023 mm,±0.012 mm,中国机械工程学会,http://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控冲床,南京精准机床科技有限公司,550,950,±0.030 mm,±0.014 mm,±0.048 mm,±0.020 mm,中国质量认证中心,http://www.cqc.com.cn,2024-09-20,,,,,,,,,
数控铣床,深圳机械制造公司,15000,900,±0.005,±0.002,±0.015,±0.007,中国科学院,https://www.cas.cn,2024-09-20,,,,,,,,,
数控磨床,成都精密机器有限公司,8000,700,±0.008,±0.004,±0.018,±0.009,四川省工业和信息化厅,https://www.sc.gov.cn,2024-09-20,,,,,,,,,
数控激光切割机,天津海贝科技有限公司,12000,1600,±0.012,±0.005,±0.020,±0.010,天津市科技局,https://www.tj.gov.cn,2024-09-20,,,,,,,,,
数控电火花机,南京电工机械厂,4500,500,±0.015,±0.007,±0.025,±0.012,江苏省机械工业联合会,https://www.jsjb.org.cn,2024-09-20,,,,,,,,,
数控冲床,沈阳冲压设备制造有限公司,400,1200,±0.02,±0.01,±0.04,±0.018,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控水刀切割机,武汉水刀技术公司,7000,1400,±0.018,±0.008,±0.022,±0.011,湖北省水利厅,https://www.hubei.gov.cn,2024-09-20,,,,,,,,,
数控折弯机,郑州机械有限公司,3500,1000,±0.025,±0.012,±0.03,±0.015,河南省科技厅,https://www.henan.gov.cn,2024-09-20,,,,,,,,,
数控车床,西安机床集团,7000,1100,±0.01,±0.005,±0.02,±0.008,陕西省计算机协会,https://www.shaanxi.gov.cn,2024-09-20,,,,,,,,,
多功能加工中心,义乌市通用机械厂,13000,950,±0.006,±0.003,±0.017,±0.009,浙江省工业协会,https://www.zhejiang.gov.cn,2024-09-20,,,,,,,,,
数控钻孔机,佛山数控科技公司,6000,800,±0.02,±0.010,±0.02,±0.010,广东省机械设备管理局,https://www.gd.gov.cn,2024-09-20,,,,,,,,,
数控铣床,天津精密机床制造有限公司,14000,1000,±0.008 mm,±0.004 mm,±0.015 mm,±0.005 mm,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控车床,深圳自动化设备有限公司,7000,1200,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,科技日报,https://www.stdaily.com,2024-09-20,,,,,,,,,
高速切削机,广州精密加工中心,20000,800,±0.009 mm,±0.003 mm,±0.018 mm,±0.007 mm,机器人物联网,https://www.robotics.org.cn,2024-09-20,,,,,,,,,
激光切割机,成都激光科技有限公司,9500,2000,±0.012 mm,±0.005 mm,±0.02 mm,±0.01 mm,国家质量监督管理局,https://www.saqg.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,武汉水刀科技有限公司,8700,1500,±0.018 mm,±0.009 mm,±0.03 mm,±0.018 mm,中国工程机械协会,https://www.cma.org.cn,2024-09-20,,,,,,,,,
数控冲床,南京模具制造有限公司,600,900,±0.02 mm,±0.01 mm,±0.045 mm,±0.015 mm,中国工业设备网,https://www.industry.gov.cn,2024-09-20,,,,,,,,,
五轴加工中心,北京华东数控科技有限公司,16000,1100,±0.007 mm,±0.003 mm,±0.016 mm,±0.006 mm,中国科技信息网,https://www.csti.gov.cn,2024-09-20,,,,,,,,,
电火花加工机,沈阳电加工设备厂,4500,700,±0.05 mm,±0.02 mm,±0.05 mm,±0.025 mm,行业分析报告,https://www.industryanalysis.com,2024-09-20,,,,,,,,,
超声波清洗机,郑州超声波设备有限公司,3000,600,±0.03 mm,±0.01 mm,±0.04 mm,±0.02 mm,中国清洗行业协会,https://www.cleaning.org.cn,2024-09-20,,,,,,,,,
立式加工中心,佛山立式设备有限公司,13000,950,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,中国机械行业信息网,https://www.machineryinfo.cn,2024-09-20,,,,,,,,,
数控铣床,南京机床制造有限公司,13000,850,±0.008,±0.004,±0.018,±0.009,行业协会,https://www.industryassociation.cn,2024-09-20,,,,,,,,,
数控电火花机,深圳电火花科技有限公司,4000,600,±0.01,±0.005,±0.022,±0.011,中国机床工具行业协会,https://www.cmtool.org.cn,2024-09-20,,,,,,,,,
多轴数控机床,武汉多轴机床公司,15000,2000,±0.005,±0.002,±0.015,±0.008,国家机器制造协会,https://www.nmma.org,2024-09-20,,,,,,,,,
CNC激光切割机,杭州激光科技股份有限公司,11000,1800,±0.012,±0.006,±0.02,±0.01,中国机械工程学会,https://www.cmes.org.cn,2024-09-20,,,,,,,,,
数控冲床,江阴冲压设备有限公司,800,1200,±0.025,±0.012,±0.04,±0.018,中国质量认证中心,https://www.cqc.com.cn,2024-09-20,,,,,,,,,
五轴雕刻机,广州雕刻设备有限公司,9000,1000,±0.02,±0.01,±0.03,±0.015,国家机械产业发展部,https://www.nmid.gov.cn,2024-09-20,,,,,,,,,
高速数控车床,青岛高精度机床公司,8000,1500,±0.018,±0.008,±0.021,±0.009,中国机械工业部,https://www.mii.gov.cn,2024-09-20,,,,,,,,,
数控磨床,沈阳磨床制造有限公司,5000,900,±0.015,±0.007,±0.028,±0.014,国家机械工具管理局,https://www.nmta.gov.cn,2024-09-20,,,,,,,,,
数控火焰切割机,温州火焰设备制造有限公司,6000,1600,±0.03,±0.015,±0.05,±0.02,国际机床展览会,https://www.cimtshow.com,2024-09-20,,,,,,,,,
自动化数控系统,成都自动化设备有限公司,2500,500,±0.02,±0.01,±0.03,±0.015,机械制造技术论坛,https://www.imeforum.com,2024-09-20,,,,,,,,,
