机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
激光切割机,0.007,±0.012 μm,Ra < 0.004 μm,高,5,g,中国激光技术学会,https://www.clas.org.cn,2024-09-21,,,,,,,,,,,
电火花机床,0.01,±0.02 μm,Ra < 0.015 μm,低,2,g,科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.008 μm,Ra < 0.03 μm,高,8,g,中国自动化学会,https://www.caa.org.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.006,±0.01 μm,Ra < 0.012 μm,高,7,g,中科院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.03,±0.04 μm,Ra < 0.02 μm,中,3,g,机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密车床,0.002,±0.005 μm,Ra < 0.01 μm,高,9,g,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.005,±0.005 μm,Ra < 0.015 μm,高,6,g,中国工程院,https://www.cae.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.012 μm,Ra < 0.018 μm,中,4,g,全国机械科技发展基金,https://www.nmtf.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.008 μm,Ra < 0.02 μm,高,7,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.002,±0.01 μm,Ra < 0.004 μm,极高,8,g,中国制造业信息化发展报告,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.03 μm,中,3,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密激光刻蚀机,0.001,±0.005 μm,Ra < 0.002 μm,高,9,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密镗床,0.006,±0.007 μm,Ra < 0.028 μm,高,5,g,中国工业协会,https://www.cnia.org.cn,2024-09-21,,,,,,,,,,,
超精密电火花机,0.004,±0.009 μm,Ra < 0.012 μm,中,4,g,国家知识产权局,https://www.cnipa.gov.cn,2024-09-21,,,,,,,,,,,
精密齿轮加工机,0.008,±0.006 μm,Ra < 0.02 μm,高,5,g,上海市机械制造协会,https://www.ssmia.org.cn,2024-09-21,,,,,,,,,,,
超精密三坐标测量机,0.009,±0.004 μm,Ra < 0.001 μm,高,6,g,全国质量监督与检验中心,https://www.cqm.org.cn,2024-09-21,,,,,,,,,,,
