机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
光纤激光切割机,0.015,mm,±0.015 mm,Ra 1.2,高,6,g,中国机械科学研究院,https://www.cmri.cn,2024-09-21,,,,,,,,,,,
CO2激光切割机,0.045,mm,±0.08 mm,Ra 3.0,中,4,g,中国激光行业协会,https://www.clia.org.cn,2024-09-21,,,,,,,,,,,
YAG激光切割机,0.025,mm,±0.04 mm,Ra 2.0,高,5,g,赛迪顾问,https://www.ccidconsulting.com,2024-09-21,,,,,,,,,,,
等离子切割机,0.08,mm,±0.25 mm,Ra 4.5,较低,2,g,中国机械设备工程股份有限公司,https://www.cmecc.com.cn,2024-09-21,,,,,,,,,,,
激光水刀切割机,0.018,mm,±0.01 mm,Ra 0.8,高,7,g,中国水刀切割技术协会,https://www.waterjet.org.cn,2024-09-21,,,,,,,,,,,
数控火焰切割机,0.09,mm,±0.4 mm,Ra 3.8,中,3,g,中国建材机械装备行业协会,https://www.cbmme.org.cn,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.009,mm,±0.018 mm,Ra 1.0,非常高,8,g,工信部装备司,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
CO2激光切割机,0.055,mm,±0.12 mm,Ra 2.8,中,3,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
YAG激光切割机,0.022,mm,±0.06 mm,Ra 2.3,高,5,g,全球工程机械网,https://www.gemw.cn,2024-09-21,,,,,,,,,,,
等离子切割机,0.12,mm,±0.35 mm,Ra 5.5,较低,2,g,机械制造与自动化,http://www.jxzz.com,2024-09-21,,,,,,,,,,,
