合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,,,,,,,
药物研发,合成疫苗,微生物多样性,致病微生物的竞争,药物研究员、微生物学家,产品、过程、人员、环境、政策,生物实验室、冷藏设备,重度影响,需采取紧急措施,中国药品监督管理局,https://www.nmpa.gov.cn/,2024-09-24,,,,,,,,
人工繁殖,克隆技术,遗传多样性,群体遗传变异,生物学家、兽医,产品、过程、人员、环境、政策,生物农场、繁殖实验室,轻度影响,风险可控,农业部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
生态修复,基因工程植物,植物和动物相互作用的多样性,生态系统的恢复能力,生态学家、植物生物学家,产品、过程、人员、环境、政策,实验室、田间试验,中度影响,谨慎使用,生态环境部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
水资源管理,合成生物系统,水生生物多样性,水质及生物群落状态,水质监测员、生态研究人员,产品、过程、人员、环境、政策,水质分析实验室、野外监测设备,重度影响,风险需评估,水利部,http://www.mwr.gov.cn/,2024-09-24,,,,,,,,
农业可持续性,耐药植物,农业生态系统的多样性,土壤和作物健康,农业科学家、土壤学家,产品、过程、人员、环境、政策,温室、土壤分析设备,中度影响,需持续监测,国际农业发展基金,https://www.ifad.org/,2024-09-24,,,,,,,,
生物制药,合成生物药物,微生物与人类的关系多样性,特定菌株效力,生物制药专家、临床医生,产品、过程、人员、环境、政策,制药厂、标准化实验室,轻度影响,风险可控,中国药物学会,http://www.chinaphar.com/,2024-09-24,,,,,,,,
生态农业,合成根际微生物,土壤生物多样性,土壤微生物群落的复杂性,土壤生态学家、农业工程师,产品、过程、人员、环境、政策,实验室、田间环境,中度影响,需进一步监控,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
生物能源,光合细菌技术,生物能源与生物多样性的关系,能量转化效能,能源科学家、环境工程师,产品、过程、人员、环境、政策,生物反应器、能效测试设备,重度影响,评估中,国家能源局,http://www.nea.gov.cn/,2024-09-24,,,,,,,,
环境保护,生物修复,生态系统生物多样性,污染治理效果,环境科学家、技术支持,产品、过程、人员、环境、政策,污染检测实验室、生物修复基站,中度影响,可控风险,中国环境科学研究院,http://www.cseri.cn/,2024-09-24,,,,,,,,
医学研究,基因疗法,生态系统的完整性,遗传多样性,医药研发团队,产品、过程、人员、环境、政策,基因实验室、高通量测序仪,轻度影响,需继续监控,国家自然科学基金委员会,https://www.nsfc.gov.cn/,2024-09-24,,,,,,,,
可持续农业,克隆技术,物种单位的多样性,生态位占据,农业科学家、农民,产品、过程、人员、环境、政策,温室、育种实验室,中度影响,需要更深的研究,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
生物材料开发,合成聚合物,生态系统服务,生物降解能力,材料科学研究人员,产品、过程、人员、环境、政策,材料分析实验室、环境测试室,轻度影响,风险可控,中科院合成生物学研究中心,http://www.cabm.ac.cn/,2024-09-24,,,,,,,,
环境治理,生物修复,生态平衡,营养循环,环保工程师,产品、过程、人员、环境、政策,现场实验设施、取样设备,轻度影响,风险可控,环境保护部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
食品安全,合成酶,生态多样性,种群健康,食品科学家,产品、过程、人员、环境、政策,食品检验实验室、高效液相色谱仪,中度影响,需优先关注,中国食品科学技术学会,http://www.cfsc.org.cn/,2024-09-24,,,,,,,,
生态保护,基因组学,物种多样性,栖息地多样性,生态学研究人员,产品、过程、人员、环境、政策,基因组图谱实验室、生态监测设备,轻度影响,风险可接受,武汉大学生态与环境学院,https://www.whu.edu.cn/,2024-09-24,,,,,,,,
疫苗研发,合成生物疫苗,病原体多样性,木质化群落,传染病研究人员,产品、过程、人员、环境、政策,临床实验室、病毒培养设施,中度影响,尚需更严谨评估,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-24,,,,,,,,
能量转化,微生物燃料电池,微生物多样性,生态系统服务功能,能源与环境研究人员,产品、过程、人员、环境、政策,微生物研究实验室、电池测试设施,轻度影响,风险可控,中国科学院生态环境研究中心,http://www.iae.ac.cn/,2024-09-24,,,,,,,,
人造肉生产,细胞培养技术,农作物多样性,生态系统健康,农业技术专家,产品、过程、人员、环境、政策,培养箱、细胞培养室,轻度影响,需持续观察,农业农村部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
生物药品开发,重组蛋白,遗传多样性,疾病抵抗能力,药物研发团队,产品、过程、人员、环境、政策,精准医疗实验室、冷链物流,中度影响,需加强监管,国家药品监督管理局,http://www.nmpa.gov.cn/,2024-09-24,,,,,,,,
医疗、环保,合成基因组,遗传多样性,物种适应性,生物学家、实验室技术人员,产品、过程、人员、环境、政策,生物实验室、PCR设备、冷冻设备,中度影响,风险可控,江南大学,https://www.jiangnan.edu.cn/,2024-09-24,,,,,,,,
营养改善,基因改良作物,生态位多样性,改变物种竞争关系,农学家、生态学家,产品、过程、人员、环境、政策,生物实验室、温室、田间试验地,重度影响,需进一步评估,中国农业大学,http://www.cau.edu.cn/,2024-09-24,,,,,,,,
环境修复,微生物工程,生态系统功能多样性,物种间相互作用,环境科学家、技术人员,产品、过程、人员、环境、政策,生物修复设施、实验室、监测设备,轻度影响,风险可控,生态环境部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
生物制药,合成生物学,群落多样性,微生物多样性,药剂师、科研人员,产品、过程、人员、环境、政策,制药厂、实验室、分析设备,中度影响,需进一步评估,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
食品生产,合成蛋白,农业多样性,作物种类多样化,食品科学家、营养师,产品、过程、人员、环境、政策,食品加工厂、实验室、成分分析设备,重度影响,需进一步评估,中国食品科学技术学会,http://www.cifst.org.cn/,2024-09-24,,,,,,,,
生物样本分析,基因组测序,基因多样性,遗传信息丰富度,基因组学家、数据分析师,产品、过程、人员、环境、政策,基因组实验室、下机器、计算服务器,轻度影响,风险可控,北京生命科学研究所,https://www.bjbioin.com/,2024-09-24,,,,,,,,
农业生物安全,基因组编辑,遗传背景的多样性,第一代与第二代作物,农业科研人员、环境科学家,产品、过程、人员、环境、政策,实验室、生物安全柜、田间实验地,中度影响,需进一步评估,国家农业科技创新中心,http://www.nstic.gov.cn/,2024-09-24,,,,,,,,
药物开发,功能基因组学,生物量的多样性,新物种的引入,药物研究人员、分子生物学家,产品、过程、人员、环境、政策,药物研发实验室、分析仪器,重度影响,风险可控,厦门大学,https://www.xmu.edu.cn/,2024-09-24,,,,,,,,
人类健康,病毒工程,疫病传播与多样性,病毒类型多样性,流行病学家、公共卫生专家,产品、过程、人员、环境、政策,病毒实验室、临床试验场所,重度影响,需进一步评估,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-24,,,,,,,,
医疗、环境监测,合成基因组,基因多样性,物种适应能力,分子生物学家、生态学家,产品、过程、人员、环境、政策,基因组测序仪、生态监测设备,轻度影响,风险可控,中国科学院生物物理研究所,https://www.ibp.cas.cn/,2024-09-24,,,,,,,,
食品安全,转基因技术,生态系统的稳定性,物种间的相互依赖,食品科学家、政府监管人员,产品、过程、人员、环境、政策,食品安全检测实验室,重度影响,需进一步评估,国家食品安全风险评估中心,https://www.nfhia.gov.cn/,2024-09-24,,,,,,,,
气候研究,合成微生物,遗传多样性,自然选择的作用,环境科学专家、气候学者,产品、过程、人员、环境、政策,高通量测序平台、生态实验室,中度影响,风险可控,武汉大学气候研究中心,https://www.whu.edu.cn/,2024-09-24,,,,,,,,
新药研发,合成生物药物,生态网络的多样性,生态系统服务功能,生物医药研究人员,产品、过程、人员、环境、政策,药物研发实验室、动物实验室,重度影响,需进一步评估,中国医学科学院,https://www.camc.ac.cn/,2024-09-24,,,,,,,,
园艺植物,植物基因组编辑,植物多样性,跨物种交配,园艺师、遗传学家,产品、过程、人员、环境、政策,温室、基因编辑平台,轻度影响,风险可控,农业部农作物遗传改良研究中心,https://www.moa.gov.cn/,2024-09-24,,,,,,,,
生物修复,微生物修复,生态适应性,资源监测与评估,环境工程师、生物学家,产品、过程、人员、环境、政策,修复实验区、生物反应器,中度影响,风险可控,生态环境部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
海洋生物技术,海洋合成基因组,海洋生物多样性,深海生态系统,海洋科学家、生物工程师,产品、过程、人员、环境、政策,海洋实验平台、基因组测序仪,轻度影响,风险可控,中国科学院海洋研究所,http://www.qd.sio.cas.cn/,2024-09-24,,,,,,,,
畜牧业,基因编辑牛羊,农牧生态多样性,育种结果,兽医师、遗传学研究人员,产品、过程、人员、环境、政策,农场、动物实验室,中度影响,需进一步评估,新疆农业大学,http://www.xjau.edu.cn/,2024-09-24,,,,,,,,
医药生产,合成生物药物,药物的生物多样性,耐药性评估,药学专家、生物技术研发人员,产品、过程、人员、环境、政策,药物制造厂、生物实验室,重度影响,需进一步评估,复旦大学药学院,https://www.shnu.edu.cn/,2024-09-24,,,,,,,,
生物安全,合成生物监测,生物安全性,生物风险评估,安全科学专家、技术人员,产品、过程、人员、环境、政策,安全评估实验室,重度影响,需进一步评估,中科院合成生物技术研究中心,http://www.sibat.ac.cn/,2024-09-24,,,,,,,,
医疗、农业,细胞疗法,基因组的变异,种群遗传结构,生物医药研究人员,产品、过程、人员、环境、政策,实验室、冷冻储存设备,中度影响,需进一步评估,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
生态修复,微生物修复,生态系统的功能多样性,生物交互作用,环境科学家、技术人员,产品、过程、人员、环境、政策,生态实验室、检测设备,轻度影响,风险可控,生态环境部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
饲料生产,转基因作物,物种间的遗传多样性,产量与品质,农业研究人员,产品、过程、人员、环境、政策,实验温室、浇灌系统,重度影响,需政策跟进,农业农村部,https://www.moa.gov.cn/,2024-09-24,,,,,,,,
生物材料,生物聚合物,生态过程的多样性,物质循环,材料科学家,产品、过程、人员、环境、政策,材料实验室、成型设备,中度影响,风险可控,中科院合成生物学研究中心,https://www.sipb.cas.cn/,2024-09-24,,,,,,,,
生物药物,重组蛋白,器官的多样性,生理功能的多样性,生物技术专家,产品、过程、人员、环境、政策,生物反应器、分析设备,中度影响,需进一步监测,武汉大学,https://www.whu.edu.cn/,2024-09-24,,,,,,,,
农业生物技术,基因转移技术,栖息地的多样性,生态位多样性,植物生物学家,产品、过程、人员、环境、政策,基因实验室、温室,重度影响,需政策框架设计,华南农业大学,https://www.scau.edu.cn/,2024-09-24,,,,,,,,
食品安全,基因检测,生物群落的多样性,微生物种类,食品科学家,产品、过程、人员、环境、政策,实验室、检验设备,轻度影响,风险可控,国家食品安全风险评估中心,https://www.nhfpc.gov.cn/,2024-09-24,,,,,,,,
水体治理,水生生物工程,水域生态多样性,水生生物种类,水生生态学家,产品、过程、人员、环境、政策,水质监测站、实验室,中度影响,需长期评估,环境保护部,https://www.mee.gov.cn/,2024-09-24,,,,,,,,
合成生态,合成细胞,生物群体的多样性,生物彼此间的相互关系,合成生物研究团队,产品、过程、人员、环境、政策,研究实验室、模型实验设备,重度影响,需政策干预,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
医疗、环境保护,基因驱动,遗传多样性,种群动态,生物学家、数据分析师,产品、过程、人员、环境、政策,基因编辑实验室、分析软件,中度影响,需密切监测,中国科学院遗传与发育生物学研究所,https://www.igs.cn/,2024-09-24,,,,,,,,
农业、生态修复,植物改良,栖息地多样性,生态稳态,农业科学家、生态学家,产品、过程、人员、环境、政策,温室、生物多样性数据库,轻度影响,风险可控,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
新材料开发,合成生物材料,生物的多样性,物种间相互依存,工程师、材料科学专家,产品、过程、人员、环境、政策,材料测试实验室、先进的测量设备,重度影响,需进一步评估,浙江大学,https://www.zju.edu.cn/,2024-09-24,,,,,,,,
食品科技,微生物发酵,功能多样性,生态系统服务功能,食品科学专家、微生物学家,产品、过程、人员、环境、政策,发酵室、配置实验室,中度影响,风险可控，需监控,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
生物标志物开发,合成生物学,基因多样性,种群结构,生物工程师、分子生物学家,产品、过程、人员、环境、政策,基因组学实验室、分析仪器,轻度影响,风险可控,中国医学科学院,http://www.cams.cn/,2024-09-24,,,,,,,,
疫苗研发,合成疫苗,病毒多样性,病原体适应性,免疫学家、流行病学家,产品、过程、人员、环境、政策,生物安全实验室、临床试验设施,重度影响,需动态评估,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-24,,,,,,,,
生物信息学,数据融合,物种适应性,数量与分布,数据科学家、生态建模师,产品、过程、人员、环境、政策,计算机实验室、数据分析平台,轻度影响,需定期评审,清华大学生物信息学研究所,https://bioinformatics.tsinghua.edu.cn/,2024-09-24,,,,,,,,
生物制造,合成生物工厂,生态服务,资源管理,生物工厂经理、环境科学家,产品、过程、人员、环境、政策,生产车间、监控系统,中度影响,风险可控，需跟踪,上海交通大学,https://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
合成生态,微生物组工程,生态系统服务功能,物种间互作,生态学家、合成生物学家,产品、过程、人员、环境、政策,生态实验室、监测站,重度影响,需高度关注,中山大学,http://www.sysu.edu.cn/,2024-09-24,,,,,,,,
食品科技,基因组学,生物体间的差异性,适应性表现,食品科学家,产品、过程、人员、环境、政策,实验室、分子生物学工具,中度影响,风险需监测,南京农业大学,https://www.njau.edu.cn/,2024-09-24,,,,,,,,
生态修复,合成生物技术应用,物种的相对丰度,栖息地修复,环境科学专家,产品、过程、人员、环境、政策,生态实验站、监测仪器,重度影响,应开展进一步研究,中山大学,https://www.sysu.edu.cn/,2024-09-24,,,,,,,,
疾病防治,疫苗开发,微生物多样性,生态系统平衡,医药研究人员,产品、过程、人员、环境、政策,生物实验室、培养箱,轻度影响,风险可控,复旦大学,https://www.fudan.edu.cn/,2024-09-24,,,,,,,,
生物安全,合成生物安全评估,遗传资源的推进,生态保护现状,生物安全专家,产品、过程、人员、环境、政策,生物安全实验室、信息系统,中度影响,风险可控,华南农业大学,https://www.scau.edu.cn/,2024-09-24,,,,,,,,
工业化生产,合成微生物,生态系统的构成,生态功能耦合,工程技术人员,产品、过程、人员、环境、政策,发酵罐、自动化控制系统,重度影响,需动态监控,深圳市生物技术研究中心,https://www.szstbiotech.com/,2024-09-24,,,,,,,,
环境管理,生物降解技术,生态功能多样性,有机物质循环,环境工程师,产品、过程、人员、环境、政策,环境实验室、多功能生物反应器,轻度影响,风险可控,东南大学,https://www.seu.edu.cn/,2024-09-24,,,,,,,,
农业创新,植物合成技术,农业生物多样性,作物适应性,农业科学家,产品、过程、人员、环境、政策,温室、植物生长室,中度影响,需开展现场评估,西北农林科技大学,https://www.nwsuaf.edu.cn/,2024-09-24,,,,,,,,
能量转化,合成微生物燃料,生物能量多样性,适应性多样性,能源研发人员,产品、过程、人员、环境、政策,发酵装置、能量监测设备,重度影响,需加强监测,中国科学院生物物理研究所,https://www.ibp.cas.cn/,2024-09-24,,,,,,,,
海洋生物技术,合成海洋微生物,海洋生态多样性,微生物互作,海洋科研人员,产品、过程、人员、环境、政策,海洋实验室、浮标监测系统,中度影响,风险需考量,厦门大学,https://www.xmu.edu.cn/,2024-09-24,,,,,,,,
农业、食品安全,合成细胞,种群多样性,遗传多样性,分子生物学家、生态学家,产品、过程、人员、环境、政策,基因合成设备、细胞培养室,轻度影响,风险需监测,香港中文大学,https://www.cuhk.edu.hk,2024-09-24,,,,,,,,
环境修复,代谢工程,生态系统功能多样性,生物地球化学循环,环境科学研究员,产品、过程、人员、环境、政策,实验室、生物分析仪,中度影响,风险可控,清华大学,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
药物开发,生物合成,遗传多样性,药用植物的分布,药理学家、植物学家,产品、过程、人员、环境、政策,药物研发实验室、植物生长房,重度影响,需进一步评估,中国药科大学,https://www.cpu.edu.cn,2024-09-24,,,,,,,,
饮用水净化,微生物工程,生态系统的多样性,微生物群落结构,水处理工程师、微生物学家,产品、过程、人员、环境、政策,水处理设施、分子生物实验室,轻度影响,风险可控,浙江大学,https://www.zju.edu.cn,2024-09-24,,,,,,,,
食品工业,基因改造,物种多样性,食物链完整性,食品科学家、质量控制员,产品、过程、人员、环境、政策,食品检测实验室、装备齐全的工厂,中度影响,风险需监测,农业部食品质量检验中心,http://www.aqsiq.gov.cn,2024-09-24,,,,,,,,
生物肥料,微生物技术,生态群落的多样性,土壤微生物活性,土壤学家、农业研究人员,产品、过程、人员、环境、政策,土壤实验室、环境监测设备,轻度影响,风险可控,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
合成生物材料,生物塑料,物种及其栖息地的多样性,对生态的影响,材料科学家、生态学家,产品、过程、人员、环境、政策,材料测试实验室、生产设施,中度影响,需进一步评估,武汉大学,https://www.whu.edu.cn,2024-09-24,,,,,,,,
农作物改良,基因编辑,基因多样性,作物品种的抗病性,植物遗传学家、农学家,产品、过程、人员、环境、政策,温室、实验室,重度影响,需进一步评估,南京农业大学,https://www.njau.edu.cn,2024-09-24,,,,,,,,
新型疫苗研发,核酸疫苗,疾病易感性,载体的选择与应用,病毒学家、免疫学专家,产品、过程、人员、环境、政策,生物实验室、高通量筛选设施,中度影响,风险需监测,复旦大学,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
食品工业,基因胁迫耐受性改良,生态系统的多样性,微生物种群的多样性,生物科学家、食品工程师,产品、过程、人员、环境、政策,实验室、发酵罐、质谱分析仪,中度影响,风险可控,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
环保技术,生物修复,基因多样性,自然选择的变异,环境科学家、生态学家,产品、过程、人员、环境、政策,污染现场、土壤测试设备,轻度影响,监控中,生态环境部,http://www.mee.gov.cn,2024-09-24,,,,,,,,
医药研发,合成疫苗,功能多样性,药物反应的多样性,疫苗研发团队、临床研究专家,产品、过程、人员、环境、政策,生物实验室、冷藏储存设备,重度影响,需进一步评估,国家药品监督管理局,http://www.nmpa.gov.cn,2024-09-24,,,,,,,,
生物材料,生物基塑料,物种多样性,生态适应性,材料科学家、化学工程师,产品、过程、人员、环境、政策,聚合物实验室、热分析仪,中度影响,风险可控,同济大学,http://www.tongji.edu.cn,2024-09-24,,,,,,,,
农业生物技术,抗虫转基因作物,生态多样性,食物链的完整性,农业生物技术研究人员,产品、过程、人员、环境、政策,温室、DNA分析仪,中度影响,需长期观察,哈尔滨工业大学,http://www.hust.edu.cn,2024-09-24,,,,,,,,
生物制造,合成药物,功能多样性,生化反应的多样性,制药科学家，生物技术专家,产品、过程、人员、环境、政策,制药生产线、生物反应器,重度影响,需进一步评估,复旦大学,http://www.fudan.edu.cn,2024-09-24,,,,,,,,
气候变化应对,碳捕获微生物,遗传多样性,基因组的适应性,环境科学研究者,产品、过程、人员、环境、政策,实验室、封闭培养箱,轻度影响,风险可控,清华大学,http://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
制药工业,单克隆抗体,物种多样性,生物体的适应性,生物医药研究人员,产品、过程、人员、环境、政策,细胞培养室、流式细胞仪,中度影响,风险可控,上海交通大学,http://www.sjtu.edu.cn,2024-09-24,,,,,,,,
人造肉技术,细胞培养肉,生态系统的多样性,食品链的多样性,食品科学家、营养学家,产品、过程、人员、环境、政策,细胞培养室、生物安全柜,轻度影响,监控中,北京理工大学,http://www.bit.edu.cn,2024-09-24,,,,,,,,
医疗、食品安全,合成疫苗,基因组多样性,免疫反应的变异性,生物医学研究人员,产品、过程、人员、环境、政策,临床实验室、冷链设备,轻度影响,风险可控,中国医学科学院,http://www.cams.ac.cn/,2024-09-24,,,,,,,,
废物处理和资源回收,微生物分解技术,生态系统服务,土壤微生物多样性,环境科学家,产品、过程、人员、环境、政策,污水处理厂、生物反应器,中度影响,需进一步评估,环境保护部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
植物育种,基因组编辑,作物多样性,遗传改良的稳定性,农业生物技术专家,产品、过程、人员、环境、政策,温室、基因组编辑设备,重度影响,风险可控,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
疾病监测,合成生物传感器,微生物群落多样性,病原体检测的多样性,生物信息学研究人员,产品、过程、人员、环境、政策,高通量序列设备、实验室,中度影响,需进一步评估,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-24,,,,,,,,
合成生物学教育,教育创新,教育参与多样性,学生的多样化背景,教育工作者,产品、过程、人员、环境、政策,实验室、模拟教室,轻度影响,风险可控,北京师范大学,http://www.bnu.edu.cn/,2024-09-24,,,,,,,,
新材料开发,生物基材料,工业生物多样性,原料来源的多样性,材料科学家,产品、过程、人员、环境、政策,材料研发实验室、合成设备,重度影响,需进一步评估,同济大学,http://www.tongji.edu.cn/,2024-09-24,,,,,,,,
生物监测,基因监测技术,生物种群多样性,环境适应性,生态学家,产品、过程、人员、环境、政策,野外监测站、实验室,中度影响,风险可控,国家林业和草原局,http://www.nfd.gov.cn/,2024-09-24,,,,,,,,
合成生物化学品,平台技术,生态功能多样性,生物降解能力,化学工程师,产品、过程、人员、环境、政策,生物化学实验室、发酵罐,重度影响,需进一步评估,上海交通大学,http://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
环境修复,合成菌株,修复性多样性,土壤恢复能力,环境修复专家,产品、过程、人员、环境、政策,修复现场、实验室,中度影响,风险可控,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
环境治理,生物修复,生态系统的完整性,栖息地的多样性,环境科学家、技术人员,产品、过程、人员、环境、政策,实验室、抽提装置、生态监测设备,中度影响,风险可控,中国环境科学研究院,https://www.ceri.cn/,2024-09-24,,,,,,,,
医药研发,药物合成,遗传多样性,基因组的变异,药物化学家,产品、过程、人员、环境、政策,药物研发中心、质谱仪、细胞培养室,轻度影响,风险可控,中科院药物研究所,https://www.simm.cas.cn/,2024-09-24,,,,,,,,
农业生物技术,基因转化,农作物的变种,抗逆性增强,农学家、基因工程师,产品、过程、人员、环境、政策,温室、PCR仪、植物细胞培养设备,重度影响,需进一步评估,华中农业大学,https://www.hzau.edu.cn/,2024-09-24,,,,,,,,
生物制造,合成细胞,生物体的变异,新型生物体构建,合成生物学家、工程师,产品、过程、人员、环境、政策,合成生物学实验室、自动化合成平台,重度影响,需进一步评估,清华大学合成生物学研究中心,https://www.thu.edu.cn/,2024-09-24,,,,,,,,
食品科学,发酵工程,微生物群落,微生物功能多样性,食品科学专家、技术人员,产品、过程、人员、环境、政策,发酵罐、质量控制实验室,轻度影响,风险可控,中国农业大学,https://www.cau.edu.cn/,2024-09-24,,,,,,,,
生态研究,生物信息学,物种丰度,生态网络,生态学家、生物信息学研究员,产品、过程、人员、环境、政策,数据分析实验室、计算机设备,中度影响,风险可控,北京师范大学,https://www.bnu.edu.cn/,2024-09-24,,,,,,,,
生物合成,酶技术,生物物种的塑性,功能性多样性,代谢工程师,产品、过程、人员、环境、政策,生物合成实验室、发酵罐,中度影响,风险可控,浙江大学,https://www.zju.edu.cn/,2024-09-24,,,,,,,,
疫苗开发,mRNA技术,免疫多样性,适应性免疫反应,免疫学研究人员,产品、过程、人员、环境、政策,疫苗研发实验室、冷链存储设施,重度影响,需进一步评估,复旦大学附属华东医院,https://www.east.com/,2024-09-24,,,,,,,,
化学合成,合成药物,药物耐药性,细菌多样性,药理学家、化学研究人员,产品、过程、人员、环境、政策,合成化学实验室、分析仪器,中度影响,风险可控,南方医科大学,https://www.smu.edu.cn/,2024-09-24,,,,,,,,
医药研发,基因疗法,生态系统的丰富性,栖息地多样性,医药科学家、临床研究员,产品、过程、人员、环境、政策,临床试验中心、基因编辑设备,重度影响,需进一步评估,复旦大学附属中山医院,https://www.zshospital.com/,2024-09-24,,,,,,,,
食品安全,转基因技术,遗传多样性,作物适应性,食品科学家、质量控制师,产品、过程、人员、环境、政策,食品检验实验室、田间试验场,轻度影响,风险可控,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-24,,,,,,,,
生态恢复,生物修复技术,物种相互关系,生态平衡,生态学家、研究助理,产品、过程、人员、环境、政策,恢复区地表、实验室设备,中度影响,风险可控,武汉大学环境学院,https://www.wuhan.edu.cn/,2024-09-24,,,,,,,,
新材料开发,自组装技术,物种多样性,材料性能变化,材料科学家、研究员,产品、过程、人员、环境、政策,材料实验室、自组装装置,轻度影响,风险可控,清华大学新材料研究所,https://www.tsinghua.edu.cn/,2024-09-24,,,,,,,,
农业科技,农用微生物制剂,生物种群多样性,土壤健康,农业技术人员、实习生,产品、过程、人员、环境、政策,农田、生物处理车间,中度影响,需进一步评估,中国农业科学院,http://www.caas.cn/,2024-09-24,,,,,,,,
animal science,克隆技术,物种结构的变异,种群动态,动物学家、技术员,产品、过程、人员、环境、政策,实验室、动物饲养场,重度影响,需进一步评估,中国农业大学动物科学技术学院,http://www.cau.edu.cn/,2024-09-24,,,,,,,,
生物医药,蛋白质工程,微生物多样性,生态系统功能,生物化学家、实验者,产品、过程、人员、环境、政策,生物实验室、培养设备,中度影响,风险可控,中国科学院生物物理研究所,https://www.ibp.cas.cn/,2024-09-24,,,,,,,,
环境监测,合成生态系统,种群表现型多样性,生物反应能力,环境科学家、研究团队,产品、过程、人员、环境、政策,域外实验场、环境监测设备,轻度影响,风险可控,中国环境科学院,http://www.craes.cn/,2024-09-24,,,,,,,,
生物技术教育,课程开发,遗传信息多样性,教育内容更新,教育工作者、课程设计师,产品、过程、人员、环境、政策,教室、实验室设备,轻度影响,风险可控,北京师范大学,http://www.bnu.edu.cn/,2024-09-24,,,,,,,,
医疗、环保,基因合成,生态系统的功能多样性,物种间的功能互补,研究员、技术人员,产品、过程、人员、环境、政策,实验室、自动化合成设备,中度影响,风险可控,华南理工大学,https://www.scut.edu.cn,2024-09-24,,,,,,,,
农业、食品安全,转基因作物,基因多样性,作物抗病性,农业生物技术专家,产品、过程、人员、环境、政策,温室、基因编辑器,重度影响,需进一步评估,中国农业科学院,https://www.caas.cn,2024-09-24,,,,,,,,
生物能源、环境治理,合成微生物,微生物多样性,代谢路径的多样性,生态工程师、技术研究人员,产品、过程、人员、环境、政策,实验室、发酵罐,轻度影响,风险可控,南京大学,https://www.nju.edu.cn,2024-09-24,,,,,,,,
药物开发、疫苗研究,细胞工程,基因组的变异,遗传适应性,生物医药研究者,产品、过程、人员、环境、政策,细胞培养室、生物反应器,中度影响,需进一步评估,复旦大学,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
生态修复,合成生态系统,群落多样性,栖息地的恢复力,环境科学家、生态专家,产品、过程、人员、环境、政策,实验室、野外测试站,轻度影响,风险低,浙江大学,https://www.zju.edu.cn,2024-09-24,,,,,,,,
人类健康、公共卫生,合成生物制剂,生态平衡,病原体的监控与反制,公共卫生专家,产品、过程、人员、环境、政策,生物安全实验室、检测设备,重度影响,需持续监控,中国疾病预防控制中心,https://www.chinacdc.cn,2024-09-24,,,,,,,,
生物合成、可持发展,合成生物材料,材料多样性,新材料的稳定性,材料科学研究者,产品、过程、人员、环境、政策,合成实验室、材料测试设备,轻度影响,风险可控,东南大学,https://www.seu.edu.cn,2024-09-24,,,,,,,,
海洋生物、资源开发,海洋微生物合成,海洋生态多样性,海洋生物的生殖和存活,海洋科学家,产品、过程、人员、环境、政策,海洋实验室、采样设备,中度影响,需进一步评估,浙江海洋学院,https://www.zjou.edu.cn,2024-09-24,,,,,,,,
生物医药、疗法创新,合成疫苗,免疫系统多样性,对疾病的抵抗力,临床研究人员,产品、过程、人员、环境、政策,疫苗研发中心、冷链储存设施,重度影响,需高度关注,中国医学科学院,http://www.cams.cn,2024-09-24,,,,,,,,
生物探测、环境监测,合成传感器,生态环境健康,生物指标',环境监测专家,产品、过程、人员、环境、政策,环境监测实验室、传感器设备,轻度影响,风险可控,中科院生态环境研究中心,http://www.ihes.cas.cn,2024-09-24,,,,,,,,
