合成生物技术名称,合成生物技术类型,作用类型,适应群体,实施方式,全球最高研究状态,技术目标,技术内容,重点发展领域,合作结构,所属产业类别,其他研发单位,合成生物技术概述,采集来源,来源链接,采集时间,备注,,,
新型合成疫苗,疫苗技术,免疫增强,公共卫生,临床试验,开展中,开发广谱抗病毒疫苗,设计合成疫苗以提高免疫系统对多种病毒的抵抗力,公共卫生,国际合作,生物制药,帝国理工学院,新型合成疫苗致力于通过合成抗原来增强防疫能力，针对不同病毒株。,中国疾病预防控制中心,https://www.chinacdc.cn/,,,,,
合成生物安全技术,生物安全,风险评估,科研机构,环境监测,前沿,降低生物实验风险,利用合成生物学技术检测和评估潜在的生物风险,生物安全,政府/科研单位,生物科技,约翰斯·霍普金斯大学,合成生物安全技术用于识别和减少生物实验中的风险，提高研究安全性。,国际生物安全协定,https://www.icgeb.org/,,,,,
生物塑料生产技术,材料合成,环保材料,制造业,工业化生产,成熟,开发可生物降解材料,利用改造微生物合成可生物降解的塑料,环保,企业主导、科研支持,材料科学,瑞士联邦理工学院,生物塑料生产技术通过利用生物合成技术开发环保材料，减少塑料污染。,瑞士环保部,https://www.bafu.admin.ch/,,,,,
合成植物抗病技术,农业科技,植物改良,农业,田间试验,发展中,增强植物抗病性,使用基因编辑在植物中引入抗病基因,农业,农业合作社、科研机构,农业科技,加州大学戴维斯分校,合成植物抗病技术通过增强植物基因，提高清病害对抗能力，保障农业生产。,农业部官方网站,https://www.usda.gov/,,,,,
合成酵母生产技术,微生物工程,发酵生产,食品与饮料行业,大规模发酵,领先,高效生产食品成分,利用合成酵母进行香料及食品添加剂的生产,食品工业,企业主导、科研支持,食品科技,新加坡国立大学,合成酵母生产技术创新性地提供食品成分，响应可持续发展目标。,食品化学研究协会,https://www.ost.cat/,,,,,
代谢工程微生物,代谢工程,化学合成,化工行业,工业化生产,持续进展,高效转化底物,优化微生物代谢路径以提高目标产物的产量,化工制造,企业主导、科研支持,化学产业,洛克菲勒大学,代谢工程微生物致力于提高化工产品的合成效率和经济效益。,国际生物工程协会,https://www.svbio.co/,,,,,
合成器官技术,生物医药,再生医学,医疗,临床实验,前沿,构建人造器官,利用细胞和生物材料合成功能性器官,再生医学,医院结合研究所,生物医学,麻省理工学院,合成器官技术为人类移植提供新解，旨在解决器官供体短缺问题。,国家科学院生物医学研究所,https://www.ncbi.nlm.nih.gov/,,,,,
新的基因治疗方案,基因治疗,疾病治疗,癌症患者,临床应用,成熟,精准治疗癌症,利用基因疗法直接修复与癌症相关的基因突变,癌症研究,跨国制药公司合作,生物制药,斯坦福大学,新的基因治疗方案提供个性化癌症治疗，以基因作为靶点进行干预。,美国国家癌症研究所,https://www.cancer.gov/,,,,,
植物合成路径优化,合成生物学,产量提升,农业,实验室验证,发展中,提升农作物生产力,分析和优化植物生物合成路径,农业生物技术,高校研究小组,农业科技,康奈尔大学,植物合成路径优化技术有助于提升农作物产量和品质，支持粮食安全。,全球粮食安全研究机构,https://www.ifpri.org/,,,,,
合成生物燃料,能源技术,可再生能源,交通、工业,工业化生产,发展中,高效转化废料,利用微生物将农业废物转化为可再生燃料,可再生能源、环境保护,企业主导、科研支持,能源产业,中国科学院,合成生物燃料技术利用农业废料，提供可再生能源解决方案。,中国科学技术协会,https://www.cstec.org.cn/,,,,,
生物打印技术,生物制造,组织工程,医疗、制药,实验室研究,前沿,打印活细胞组织,利用3D生物打印生成复杂的细胞结构,再生医学,跨国合作、学术机构,生物技术产业,斯坦福大学,生物打印技术用于制造可植入的生物组织，以应用于再生医学。,美国国家卫生研究院,https://www.nih.gov/,,,,,
合成抗体技术,免疫技术,疾病预防,医疗、兽医,临床试验,成熟,生产高特异性抗体,利用改造细胞生产特定抗体以治疗疾病,疫苗开发、临床治疗,企业合作、政府支持,生物制药产业,梅奥诊所,合成抗体技术通过细胞改造，生产针对特定病原体的高特异性抗体。,中国药品监管局,https://www.nmpa.gov.cn/,,,,,
基因驱动技术,基因编辑,物种管理,生态保护、农业,田间实验,前沿,改变物种遗传特征,通过基因编辑在特定物种中引入特定基因以控制其繁殖,生态管理、农业改良,国际机构合作,生物技术产业,全球粮食与农业研究所,基因驱动技术用于管理生态环境和优化作物特性，促进可持续发展。,国际植物保护公约,https://www.ippc.int/,,,,,
合成疫苗技术,疫苗研发,疾病预防,公众健康,临床试验,发展中,快速生产新型疫苗,基于合成生物学原理设计和生产疫苗,疫苗研究、公共卫生,国际合作、企业资助,生物制药产业,世界卫生组织,合成疫苗技术加速疫苗开发和生产，重要于应对突发公共卫生事件。,中国疫苗创新联合体,https://www.chinv.com/,,,,,
合成生物工程作物,植物基因组,提高作物性能,农业,田间试验,成熟,耐逆增产,通过基因编辑提升作物耐逆性与产量,农业生产、食品安全,科研支持、农民合作,农业,卡普尔农业研究所,合成生物工程作物通过基因优化，培育出更具生产力与抗性的新型作物品种。,农业部,https://www.moa.gov.cn/,,,,,
细胞治疗技术,细胞工程,治疗性,癌症患者,临床试验,前沿,定制化治疗,通过改造患者自体细胞用于肿瘤治疗,肿瘤治疗,医药企业、高校研究,生物制药,美国国立癌症研究所,细胞治疗技术使用自体细胞进行定制化治疗，显著提高治疗效果。,国家科学基金,https://www.nsf.gov/,,,,,
基因治疗技术,基因编辑,疾病治疗,遗传病患者,临床研究,发展中,纠正基因缺陷,利用基因编辑技术修复造成遗传病的基因缺陷,遗传疾病,学术合作、临床实验,生物科技产业,哈佛医学院,基因治疗技术为遗传病患者提供新的治疗选择，预示着未来医学的方向。,医学期刊Clarity,https://www.clarityjournal.com/,,,,,
转基因微藻,微生物工程,生物合成,环境、能源,实验室开发,前沿,高效生产生物燃料,通过转基因技术提高微藻的油脂产量,可再生能源,科研机构、企业合作,能源产业,义乌科技大学,转基因微藻技术以高效生产生物燃料，助力可持续发展的能源解决方案。,国家能源局,https://www.nea.gov.cn/,,,,,
抗逆转基因技术,基因编辑,基因修饰,农业、植物育种,温室试验,努力中,提高作物抗逆性,通过基因编辑增强植物对干旱和盐碱土壤的抗性,农业,学术研究、行业企业合作,农业生物科技,中国农业科学院,抗逆转基因技术可显著提升作物的抗逆性，保证粮食安全。,农业部官网,https://www.moa.gov.cn/,,,,,
合成氨生产技术,代谢工程,化合物合成,化肥工业,工业化应用,前沿,低能耗生产氨,利用微生物代谢把氮气转化为合成氨,农业、化肥,国际推荐、企业投资,化工产业,加州大学伯克利分校,此技术旨在通过生物合成实现环保、可持续的氨生产。,化工科技期刊,https://www.chemicalengineering.com/,,,,,
细胞墨水技术,生物打印,组织工程,医学、再生医学,3D打印实验,快速发展,打印人造组织,利用活细胞与生物材料混合制备可打印的细胞墨水,再生医学,科研机构、医疗机构,医学技术产业,伊利诺伊大学厄巴纳-香槟分校,细胞墨水技术能够在实验室中制造接近真实的人体组织。,再生医学杂志,https://www.regenmedjournal.com/,,,,,
人工合成生物器官,合成生物学,器官替代,医疗领域,临床试验,探索中,为器官移植提供替代品,利用合成生物学方法制造器官模型,生物医学,国际科研合作,医疗器械产业,哈佛大学医学院,该技术为器官移植患者提供了创新的解决方案，短期内可能改变临床实践。,美国医学协会,https://jamanetwork.com/,,,,,
合成动物疫苗,疫苗技术,免疫增强,畜牧业、农业,实验室开发,应用广泛,提高动物免疫力,通过基因工程技术制备免疫原,动物健康,产学研结合,兽医药品产业,联邦农科院,合成动物疫苗为新型疫苗提供了全新的思路，广泛应用于养殖业。,中国兽医药协会,http://www.chinava.org/,,,,,
合成光合细菌技术,微生物工程,生物合成,能源、环保,实验室开发,研发中,利用光能合成化合物,利用光合细菌进行二氧化碳转化,新材料、碳中和,高校与企业合作,环保产业,巴斯德研究所,这一技术通过光合细菌，促进了二氧化碳的生物转化，有助于减缓全球变暖。,国际环境科学研究中心,https://www.iarc.fr/,,,,,
精准脐带血干细胞工程,再生医学,细胞治疗,医疗、婴儿健康,临床研究,成熟,高效提取干细胞,利用新技术提取和扩增脐带血中的干细胞,再生医学,医院与研究所合作,生物制药,中山大学,精准脐带血干细胞工程为现代医学提供了极大的潜力，特别是在新生儿健康方面。,国家卫生健康委员会,http://www.nhc.gov.cn/,,,,,
基因驱动技术,基因编辑,种群控制,生态保护、公共卫生,实验室实验,前沿,控制疾病传播,通过基因驱动技术改变动植物的遗传特性以控制种群,生态保护,国际合作,生物技术产业,斯坦福大学,基因驱动技术的应用，可能在控制病媒传播的生物体上产生革命性的影响。,自然杂志,https://www.nature.com/,,,,,
人工智能辅助合成生物设计,计算生物学,设计优化,学术界、产业界,软件平台开发,创新型,提高合成生物学研究效率,结合人工智能，优化合成生物设计,合成生物学,科技公司、研究机构,信息技术与生物科技交叉产业,麻省理工学院,该技术以人工智能赋能的形式，推动合成生物学走向更高的效率与准确性。,人工智能研究中心,https://www.aimachine.org/,,,,,
基因驱动技术,基因编辑,生态修复,环境保护、农业,场外应用,研究中,改造种群基因,使用基因驱动技术传播遗传性状,生态学、农业,跨国合作、机构投资,环境生物技术,加州大学伯克利分校,基因驱动技术具有可能改变物种基因组的潜力，有望用于控制入侵物种。,国际生态保护组织,https://www.conservation.org,,,,,
合成疫苗开发,免疫工程,疾病预防,公共卫生,临床试验,领先,迅速反应传染病,利用合成生物技术快速开发针对新病毒的疫苗,传染病控制,政府主导、国际合作,生物医药,世界卫生组织,合成疫苗开发技术以快速反应新兴传染病为目标，利用基因合成缩短研发周期。,中国疾病预防控制中心,http://www.chinacdc.cn,,,,,
人工合成克隆技术,生物克隆,生物救助,农业、保育,实验室研究,前沿,克隆濒危物种,通过克隆技术恢复濒危物种的种群,生物保育,政府支持、科研团队,生态保护,印地安纳大学,人工合成克隆技术致力于用现代生物技术拯救即将灭绝的物种。,联合国环境规划署,https://www.unep.org,,,,,
植物根瘤细菌工程,微生物工程,农业改良,农业,实验室研究,成熟,提高植物氮素吸收,通过基因改造根瘤细菌，增强植物氮素代谢,农业生物技术,工业与学术合作,农业科技,中国农业大学,植物根瘤细菌工程旨在通过基因改造提高植物的氮素利用效率，降低化肥使用。,中国农业科学院,http://www.caas.cn,,,,,
合成食物技术,食品科技,食品制造,消费者、餐饮,实验室研发,发展中,生产替代性食品,利用合成生物技术制造植物性肉类替代品,食品安全,企业投资、政府支持,食品产业,麻省理工学院,合成食物技术通过生物技术创造植物性肉类解决食品可持续性问题。,食品科技协会,https://www.ifst.org,,,,,
生物肥料开发,生态农业,土壤改良,农业生产者,工业生产,推广中,提高土壤肥力,利用合成生物技术开发新型生物肥料,可持续农业,企业与农户合作,农业技术,南方农业大学,生物肥料开发技术旨在提升土壤的自然肥力，减少化肥依赖。,国家农业部,http://www.moa.gov.cn,,,,,
合成基因组技术,基因工程,基因重组,生物科研机构,高端实验室,领先,构建人造基因组,合成全基因组以重建微生物或细胞,合成生物学,跨学科协作,生物医药,洛克菲勒大学,合成基因组技术可以构建新型生物，更深入探索基因功能。,美国国家科学基金会,https://www.nsf.gov,,,,,
智能合成生物技术,人工智能结合生物,数据分析,研究机构、企业,软件开发,前沿,优化生物实验,结合AI技术进行生物数据分析和实验优化,合成生物与人工智能结合,科技公司合作,生物信息学,斯坦福大学,智能合成生物技术通过AI算法优化传统生物实验，提高效率。,人工智能协会,https://www.aaai.org,,,,,
合成抗体技术,生物制药,疾病治疗,临床和实验室,临床研究,成熟,开发高效新药,利用合成生物技术设计并生产特异性抗体,药物研发,制药企业、研究机构,生物医药,约翰霍普金斯大学,合成抗体技术用于研发靶向治疗药物，以对抗特定疾病。,美国药物委员会,http://www.fda.gov,,,,,
环境生物修复技术,生态技术,污染治理,环境管理,现场应用,发展中,净化受污染土壤和水源,利用微生物降解环境污染物,环境保护,公私合营,清洁技术,瑞士联邦科技研究所,环境生物修复技术利用生物手段清理环境中的毒素和污染物。,联合国环境规划署,https://www.unep.org,,,,,
合成抗体技术,生物医药,免疫治疗,医疗,临床试验,领先,开发高效抗体,利用合成生物学方法生成特异性抗体,生物医药,学术机构与制药企业合作,生物技术产业,斯坦福大学,合成抗体技术旨在开发出高效的免疫疗法，广泛应用于癌症、感染性疾病等治疗。,美国国家卫生研究院,https://www.nih.gov/,,,,,
基因驱动技术,基因编辑,物种控制,生态保护,场地试验,发展中,引导特定基因传播,使用基因驱动技术改变物种基因频率,生态工程,国际合作,环保产业,加州大学伯克利分校,基因驱动技术用于控制有害物种的繁殖，以促进生态平衡。,环境保护局,https://www.epa.gov/,,,,,
细胞工厂,生物合成,化合物生产,制药、食品,工业流程,持续创新,高效合成复杂分子,利用工程化细胞合成多种化学品,制造业,企业主导,化学工业,ETH 苏黎世联邦理工学院,细胞工厂通过优化细胞代谢路径实现有价值化合物的高效生产。,国际生物工程协会,https://www.ase.org/,,,,,
合成激素技术,生物化学,激素替代,医疗、农业,临床应用与田间试验,成熟,提供生物共轭激素,通过生物途径合成动物和植物激素,农业生物技术,科研机构与农场合作,农业产业,智利大学,合成激素技术用于支持植物生长及动物育种的激素替代疗法。,农业科学研究中心,https://www.ars.usda.gov/,,,,,
生物监测系统,生物传感器,环境监控,环保机构、工业,现场应用,前沿,实时监控生物指标,利用合成生物学设计传感器监测环境指标,环境保护,企业与政府合作,环保产业,日本东京大学,生物监测系统用于实时跟踪有害物质以及生态系统健康。,国际环保组织,https://www.greenpeace.org/,,,,,
合成基因组,合成生物学,基因组改造,生物研究,实验室研究,领先,完整基因组合成,合成和组装大型基因组进行基因组学研究,基础生物学,科研机构与学术合作,生命科学,麻省理工学院,合成基因组技术用于探索基因组功能及其变异性。,国际合成生物学联合会,https://www.synbiolife.org/,,,,,
微生物燃料电池,能源技术,能源生产,能源行业,实验室到工业化,发展中,利用微生物生产电能,微生物代谢转化废物为电能,可再生能源,企业合作与政府补助,能源产业,北京航空航天大学,微生物燃料电池技术利用微生物进行清洁能源生产。,国际能源署,https://www.iea.org/,,,,,
生物基塑料,材料科学,绿色材料,包装、汽车,工业化生产,不断发展,开发可降解塑料,利用生物原材料生产可生物降解的塑料,材料科技,企业主导、产业链合作,材料产业,剑桥大学,生物基塑料技术致力于生产可替代传统塑料的环保材料。,全球可持续发展网络,https://www.sdn.org/,,,,,
富营养化水体修复,生态修复,水质改善,水利工程、环保,现场试验,前沿,修复富营养化水体,利用基因工程水生植物吸收水体中的过量养分,环境科学,国际科研合作,环保产业,弗吉尼亚大学,富营养化水体修复项目致力于通过基因改造水生植物改善水质。,联合国环境规划署,https://www.unep.org/,,,,,
合成生物制药,生物制药,药物开发,制药行业,临床试验,进展中,快速药物开发,利用合成生物技术高效制造复杂药物分子,制药,企业合作、科研机构,生物制药行业,约翰霍普金斯大学,合成生物制药提高了药物开发效率，对抗疾病的新方案不断涌现。,全球药物开发论坛,https://www.pharmaceuticals.com,,,,,
深度学习与合成生物,人工智能,数据分析,生物科技公司,算法开发,快速发展,智能化生物研究,利用深度学习分析生物实验数据，提高研究效率,生物信息学,跨学科合作,科技行业,斯坦福大学,集成深度学习与合成生物技术，推动生物研究智能化进程。,人工智能与生物学会议,https://www.ai.bio,,,,,
合成疫苗技术,疫苗技术,疾病预防,公共卫生,公共卫生推广,临床试验,提高疫苗免疫力,利用合成生物技术设计和生产新型疫苗,公共卫生,国际合作,制药业,世界卫生组织,合成疫苗技术为应对新发传染病提供了新的解决方案。,全球健康组织,https://www.who.int,,,,,
合成靶向药物,个性化医疗,靶向治疗,肿瘤患者,个性化治疗,前沿,精准治疗,利用合成生物技术开发个体化靶向药物,癌症治疗,患者参与、医疗机构,生物科技产业,中国医学科学院,合成靶向药物为癌症患者提供更有效的治疗方案。,中国生物医学期刊,https://www.cmbb.org.cn,,,,,
基因驱动技术,基因工程,物种控制,农业、生态保护,田野试验,开发中,控制病虫害,利用基因驱动技术改变物种遗传特征,农业生态,政府、学术机构,农业产业,国际农业研究中心,基因驱动技术为生态保护和农业生产提供新的方案。,国际农业视野,https://www.cgiar.org,,,,,
微生物合成化学,合成生物工艺,化学合成,化工行业,工业应用,成熟,绿色化学合成,利用微生物合成工业化学品，降低环境影响,绿色化学,企业主导、环境组织,化学工业,剑桥大学,微生物合成化学技术为环保化工过程提供新方法。,国际绿色化学协会,https://www.greenchemistry.org,,,,,
合成天然产物,代谢工程,生物合成,制药、食品,实用化生产,快速发展,可再生天然产品,利用合成生物技术合成有价值的天然产物,制药、食品科技,企业与科研合作,生物制药、食品工业,加州大学伯克利分校,合成天然产物技术推动可再生资源的生物合成。,生物合成研究所,https://www.biochemistry.org,,,,,
合成培根,食品科技,食物生产,消费者,工厂生产,商业化,可持续食品生产,通过生物工程技术合成肉类替代品,可持续农业,食品企业及环保组织,食品产业,麻省理工学院,合成培根技术促进可持续肉类生产，减少资源消耗。,食品科技创新大会,https://www.foodtechinnovation.com,,,,,
合成氢气生产,能源工程,能源转化,能源部门,集成应用,持续发展,绿色能源生产,利用微生物转化废物生产氢气,可再生能源,科研机构、能源公司,能源产业,中国科学院,合成氢气生产技术向可再生能源转型，推动碳中和目标实现。,国际能源署,https://www.iea.org,,,,,
生物塑料生产,材料科学,可降解材料,环保行业,工厂生产,产业化,开发环保材料,利用合成生物技术生产可降解塑料,新能源与材料,企业与科研合作,环保材料产业,阿姆斯特丹大学,生物塑料生产技术为减少塑料污染提供了可行方案。,全球环境大会报告,https://www.environmentalconference.com,,,,,
合成基因组技术,基因组合成,基因组改造,农业、环境保护,实验室研究,领先,合成完整基因组,通过化学合成技术构建全基因组,农业生物技术,国际研究合作,农业科技,斯坦福大学,合成基因组技术使科学家能够创建改良的作物，以抵抗气候变化。,美国农业部,https://www.usda.gov,,,,,
基因驱动技术,基因编辑,生物控制,生态保护,现场实验,前沿,控制灭绝物种,利用基因驱动设计来抑制害虫种群,生态管理,非营利组织与学术机构,环保科技,世界自然基金会,基因驱动技术被用于控制有害物种，以保护本土生态系统。,环境保护署,https://www.epa.gov,,,,,
合成疫苗,免疫技术,免疫调节,公共卫生、医疗,临床试验,成熟,快速生产疫苗,通过合成生物技术快速生成针对病毒的疫苗,传染病预防,政府与制药公司,生物制药,吉尔福德大学,合成疫苗技术可加速新疫苗的开发，增强公共健康响应能力。,世界卫生组织,https://www.who.int,,,,,
生物信息学算法,计算生物学,数据分析,研究机构、制药,软件开发,发展中,优化药物开发流程,利用算法分析生物数据，以加快新药的上市,制药科技,科研机构联合,IT与生物科技,剑桥大学,生物信息学利用大数据分析促进药物研发的效率和准确性。,科技部官网,https://www.most.gov.cn,,,,,
人工智能药物发现,智能化药物开发,药物设计,制药公司、研究所,数据挖掘,前沿,提高药物发现效率,使用人工智能分析分子结构以发现新药,新药研发,科技公司联合科研机构,生物科技产业,麻省理工学院,人工智能药物发现技术能够显著加速新药从理论到实践的流程。,药品监督管理局,https://www.nmpa.gov.cn,,,,,
合成生态系统,生态工程,生态再生,环保组织、科研机构,实验室与场地实验,发展中,重建生态系统功能,通过合成生物技术构建稳定的生态模型,生态恢复,国家和地方政府合作,环境产业,加州大学伯克利分校,合成生态系统旨在通过技术手段恢复和保持生态功能。,中国生态学学会,https://www.chinesesocietyofecology.org,,,,,
合成生物材料,材料科学,可降解材料,包装、建筑,工业化生产,聚焦开发,制备环保材料,利用微生物合成可降解塑料,材料创新,企业与研究机构,新材料产业,瑞士联邦理工学院,合成生物材料技术为应对塑料污染提供了可行解决方案。,国家新材料产业发展指导中心,https://www.mii.gov.cn,,,,,
生物转化技术,生物技术,毒素降解,废物管理、环保,现场应用,成熟,提高污染物处理能力,利用工程微生物降解环境污染物,污水处理,企业与政府合作,环保产业,东京大学,生物转化技术为环境清理提供了新思路，帮助降低污染物浓度。,国家环保局,https://www.mee.gov.cn,,,,,
合成氨基酸技术,合成生物技术,营养合成,饲料、食品,工业化生产,持续进展,提高氨基酸产量,利用微生物合成氨基酸，以替代传统农业法,食品工业,企业与研究机构,农业与食品科技,法国国家科研中心,合成氨基酸技术有助于提高食品品质和农业可持续性。,世界粮食组织,https://www.fao.org,,,,,
植物基因组编辑技术,基因编辑,基因改良,农业,实验室研究,前沿,提高农作物抗逆性,通过CRISPR/Cas9对植物基因组进行精准编辑以提高抗旱能力,农业,高校合作、企业支持,农业科技,中国农业科学院,植物基因组编辑技术通过精准改造植物基因，提高作物的抗逆性，促进农业可持续发展。,农业部科技司,https://www.moa.gov.cn/,,,,,
合成疫苗,生物医药,疫苗开发,公共卫生,临床试验,发展中,快速应对传染病,利用合成生物技术开发新型疫苗以应对突发疫情,公共卫生,国际合作,生物医药,世界卫生组织,合成疫苗利用先进的生物技术迅速产生，能够高效应对新出现的感染性疾病。,健康中国行动官网,https://www.nhc.gov.cn/,,,,,
合成脊椎动物模型,生物模型,药物研发,药物开发,实验室实验,领先,优化药物筛选,创建具有生物相似性的人造动物模型用于疾病研究,药物研发,学术研究、政府资助,生物科技,麻省理工学院,合成脊椎动物模型用于高效药物测试，极大提升新药开发效率。,生物医药发展论坛,https://www.bio.org/,,,,,
合成酵母工程,微生物工程,合成生物过程,制药、食品,工业化生产,成熟,高效生产生物化学品,利用合成生物学设计和改造酵母以生产药物和食品成分,制药、食品,企业主导、学术支持,制药产业,加州大学伯克利分校,合成酵母工程可用于高效合成药物和营养成分，促进食品和制药行业发展。,细胞工程专刊,https://www.cell.com/,,,,,
生物塑料技术,材料工程,可持续材料,工业、环保,工业化生产,持续进展,减少塑料污染,利用微生物合成可降解塑料,环保,企业合作、政府支持,材料科学,比利时根特大学,生物塑料技术通过微生物合成可降解材料，为解决塑料污染问题提供新方案。,环境保护机构,https://www.epa.gov/,,,,,
合成细胞工厂,生物制造,化工生产,工业、能源,工业化生产,前沿,优化制造流程,利用合成细胞高效合成化学品和药物,工业制造,跨国公司合作,化工产业,独立研究机构,合成细胞工厂助力高效生产化学品，解决资源浪费问题。,化工前沿会议,https://www.icheme.org/,,,,,
基因驱动技术,基因工程,种群控制,生态保护,实验室研究,实验阶段,控制害虫种群,利用基因驱动技术改变害虫遗传特性以控制其繁殖,生态保护,政府合作、科研机构支持,生态科学,威斯康星大学麦迪逊分校,基因驱动技术为生态保护提供新方法，帮助管理有害物种。,生态学研究杂志,https://www.ecologicalrestoration.org/,,,,,
智能细胞系统,系统生物学,细胞调控,医学研究,实验室研发,发展中,精准细胞调控,开发智能细胞系统，实现对细胞行为的精准调控,医学,学术研究合作,生物科技,斯坦福大学,智能细胞系统通过先进的计算模型调控细胞响应，推动医学研究发展。,生物医学技术协会,https://www.biomedcentral.com/,,,,,
合成生物传感器,生物传感,环境监测,环保、工业,原型开发,前沿,实时检测污染物,设计合成生物传感器用于实时监测环境中污染物的浓度,环境保护,多机构合作,环保科学,瑞士联邦理工学院,合成生物传感器可有效监测环境污染，为环保工作提供支持。,全球环保论坛,https://www.unep.org/,,,,,
合成酶技术,酶工程,催化反应,化学、制药,工业化生产,成熟,高效催化化学反应,通过合成生物工艺开发新型酶以提升催化效率,化工、制药,企业主导研究,化工产业,慕尼黑工业大学,合成酶技术通过优化催化剂改进化学反应过程，提高生产效率。,化学工程协会,https://www.chemengonline.com/,,,,,
代谢工程微生物,微生物工程,蓝色生物技术,农业、生物制剂,实验室开发,前沿,生产特定代谢产物,利用代谢工程技术改造微生物，以优化有用化合物的生物合成,农业、生物制剂,科研机构合作,生物技术产业,洛杉矶加州大学,代谢工程微生物致力于优化和提高有用代谢产物的生产效率。,科学日报,https://www.sciencedaily.com,,,,,
单细胞蛋白质生产,合成生物学,蛋白质合成,食品、饲料,工业化生产,活跃,提高蛋白质产量,通过微生物生产可食用的单细胞蛋白质,食品安全,行业协会支持,食品工业,中国农业大学,单细胞蛋白质生产为应对全球粮食危机提供了一种创新解决方案。,食品科技网,https://www.foodtechnews.cn,,,,,
合成植物基因组,植物生物技术,基因编辑,农业、环境保护,田间试验,发展中,改良作物耐逆性,合成植物基因组，增强植物对气候变化的适应性,农业、气候适应,国际科研合作,农业科技,国际农业研究中心,合成植物基因组技术期望在全球范围内提升农作物的生长与存活能力。,基因组研究杂志,https://genomebiology.biomedcentral.com,,,,,
细胞自噬调控技术,细胞生物学,细胞修复,医学、老龄化研究,临床试验,前沿,促进细胞自我修复,通过调控自噬过程，增强细胞对环境应激的反应,医学、老龄化,学术机构与医院合作,生物医疗,清华大学医学院,细胞自噬调控技术为老龄化疾病的预防与治疗开辟了新的方向。,中华医学杂志,http://www.cmsbj.com,,,,,
环境微生物修复技术,环境生物技术,环境恢复,环境保护、工业废水处理,现场应用,成熟,提升污染物降解能力,通过定制微生物群体修复受污染的土壤和水体,废弃物管理,企业与政府机构合作,环境服务,麻省理工学院,环境微生物修复技术致力于运用微生物处理和恢复被污染的环境。,环境科学与技术期刊,https://pubs.acs.org/journal/esthag,,,,,
疫苗开发平台,免疫技术,疾病预防,公共卫生、兽医,临床研究,领先,迅速回应新兴病原体,基于合成生物学快速开发疫苗,公共卫生,跨国制药公司合作,生物医药,世界卫生组织,疫苗开发平台为快速应对突发传染病提供解决方案。,国际疫苗研究中心,https://www.iavi.org,,,,,
合成接种微生物,农业生物技术,植物改良,农户、生态农业,田间应用,持续进展,提高作物产量和质量,利用接种优化微生物推动作物生长,生态农业,农业公司与大学合作,农业生产,中国农业科学院,合成接种微生物有效促进作物生长，推动生态可持续农业发展。,农业科技报,http://www.agri-tech.net,,,,,
人工合成营养素,食品科学,营养补充,运动员、健康人群,工业生产,前沿,提供可控的营养成分,通过合成生物技术合成特定营养素牌子,营养科技,食品企业合作,食品生产,国家食品科学技术研究院,人工合成营养素技术为满足现代饮食需求提供了新选择。,营养研究资讯网,http://www.nutritionresearchnews.com,,,,,
生物打印技术,3D生物打印,组织工程,医学、药学,实验室应用,发展中,制造生物组织,使用3D打印生物材料制造组织和器官,医学、再生医学,科研院校与医院合作,生物医疗,斯坦福大学,生物打印技术为再生医学提供了一种新的解决平台。,医学工程与物理学杂志,https://www.journalofmedicalengineering.com,,,,,
基因治疗技术,基因编辑,疾病治疗,癌症患者,临床试验,发展中,治愈遗传性疾病,通过基因编辑纠正致病基因,医学,医院与研究机构,生物技术产业,约翰霍普金斯大学,基因治疗技术用于治疗遗传性疾病，正在临床阶段取得重要突破。,中科院生物物理研究所,https://www.ncbi.nlm.nih.gov/,,,,,
合成疫苗平台,生物疫苗,免疫预防,大众,大规模接种,成熟,快速研发疫苗,利用合成生物技术设计并生产疫苗,公共卫生,全球合作,生物制药,世界卫生组织,合成疫苗平台促进新疫苗的快速研发，有效应对公共健康危机。,世界卫生组织官网,https://www.who.int/,,,,,
次生代谢物合成,微生物工程,天然产物合成,制药、食品,工业化流程,领先,提升产量,改造微生物以合成药物和营养成分,制药、农业,高校与企业合作,生物技术产业,弗朗霍夫研究所,次生代谢物合成技术推动了天然药物和营养成分的生产效率。,德国生物技术协会,https://www.biotech.de/,,,,,
植物基因改良,植物工程,粮食安全,农业生产者,田间试验,发展中,提高作物耐病性,利用基因编辑改良植物特性,农业,农科技公司与大学,农业生物技术,国际农业生物技术中心,植物基因改良技术致力于提高作物抗逆性，以应对气候变化。,国际农业生物科技研究所,https://www.cgiar.org/,,,,,
合成生物塑料,材料科学,环保材料,包装、消费品,工业生产,前沿,开发可生物降解塑料,基于微生物合成环保材料,材料科学、环保,企业联盟,材料生产,麻省理工学院,合成生物塑料技术致力于研发可生物降解的环境友好型产品。,清华大学材料科学与工程系,https://www.tsinghua.edu.cn/,,,,,
合成肽药物,生物药物,靶向治疗,特定疾病患者,制药研发,开发中,针对特定靶点,利用合成生物技术制备新型肽药物,药物研发,制药公司与学术合作,生物制药,斯坦福大学,合成肽药物为靶向特定疾病提供新的治疗选择，推动个性化医疗的发展。,美国药物研发协会,https://www.phrma.org/,,,,,
生物印刷技术,生物打印,组织工程,医学生物研究,实验室开发,前沿,打印活组织,利用生物打印技术创造复杂的生物结构,再生医学,多方国际合作,医药科技,哈佛大学医学院,生物印刷技术在组织工程方面极具潜力，有望用于器官移植。,国际生物制造协会,https://www.biomanufacturing.org/,,,,,
