受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
湘网信备43011233445566780022号,NEM,公有区块链,功能审计,公有区块链,2023-08-15,亿帆生物制药股份有限公司,广州白云山制药股份有限公司,正在办理,2023-09-01,待审查,NEM.io Foundation,点对点系统,20230111,物联网,供应链管理,公有区块链,V1.0,透明度、可追溯性,全球区块链论坛,https://www.globalblockchainforum.org/,2024-09-28,
宁网信备64012233448899230023号,Tron,公有区块链,娱乐应用测试,公有区块链,2023-09-10,昊华科技股份有限公司,广州白云山医药集团股份有限公司,已完成,2023-09-15,合格,Tron Foundation,去中心化娱乐生态,20230112,金融,数字内容分发,公有区块链,V1.0,高效、易用,数字内容协会,https://www.digitalcontentassociation.org/,2024-09-28,
津网信备12010123456789050024号,Waves,公有区块链,应用逻辑审计,公有区块链,2023-09-20,北京科兴生物制品有限公司,广州白云山医药集团股份有限公司,正在办理,2023-09-25,待审查,Waves Enterprise,通用平台,20230113,金融,产业级应用,公有区块链,V1.0,灵活性、易用性,区块链创新中心,https://www.blockchaininnovationcenter.org/,2024-09-28,
皖网信备34020223603146870043号,Avalanche,公有区块链,功能测试,公有区块链,2023-06-20,浙江医药股份有限公司,广州白云山医药集团股份有限公司,正在办理,2023-06-25,待审查,Avalanche Labs,多链架构,20230106,供应链,物流管理,公有区块链,V1.0,高吞吐量、低延迟,区块链科技研究院,https://www.smarttechnologyforum.org/,2024-09-28,
京网信备11010523289175130027号,Cardano,公有区块链,安全审计,公有区块链,2023-07-15,上海信谊药厂有限公司,广州白云山医药集团,已完成,2023-07-20,合格,IOHK,权益证明,20230107,教育,证书验证,公有区块链,V1.0,可扩展性、环保,国际区块链协会,https://www.internationalcryptocurrency.org/,2024-09-28,
粤网信备44010623456789100010号,Polkadot,公有区块链,性能测试,公有区块链,2023-08-10,云南白药集团股份有限公司,广西南宁制药厂,正在办理,2023-08-15,待审查,Web3 Foundation,平行链,20230108,物联网,智能设备管理,公有区块链,V1.0,互操作性、安全性,中文区块链技术论坛,https://www.globalblockchainforum.org/,2024-09-28,
"浙网信备33010621345687900052号,沪网信备31010124567891030018号",Polygon,二层解决方案,功能测试,二层解决方案,2023-09-05,广州白云山医药集团,广东中山药业有限公司,已完成,2023-09-10,合格,Polygon Technology,可扩展网络,20230109,电子商务,支付结算,二层解决方案,V1.0,低交易费用、快速确认,艾瑞咨询,https://www.digitalcontentassociation.org/,2024-09-28,
湘网信备43010121345678900026号,Ripple,公有区块链,安全审计,公有区块链,2023-10-01,山东罗欣药业集团有限公司,广东省中药研究院,正在办理,2023-10-05,待审查,Ripple Labs,跨境支付,20230110,金融,汇款服务,公有区块链,V1.0,快速交易、低成本,金融科技研究中心,https://www.blockchaininnovationcenter.org/,2024-09-28,
苏网信备32010612345678930039号,Tezos,自我修正区块链,功能测试,自我修正区块链,2023-10-15,安徽华源医药股份有限公司,广东省药业集团有限公司,已完成,2023-10-20,合格,Tezos Foundation,自我修正体系,20230111,医疗,病历管理,自我修正区块链,V1.0,高安全性、可治理,区块链医疗研究院,https://www.smarttechnologyforum.org/,2024-09-28,
鄂网信备42010634567891230041号,Chainlink,去中心化预言机,性能测试,去中心化预言机,2023-10-25,海南中药企业有限公司,广东省大冢制药有限公司,待办理,2023-11-01,待审查,Chainlink Labs,数据预言机,20230112,金融,智能合约触发,去中心化预言机,V1.0,高可靠性、实时数据,科研区块链数据库,https://www.internationalcryptocurrency.org/,2024-09-28,
冀网信备13010523456789040015号,Hedera Hashgraph,公有区块链,安全审计,公有区块链,2023-11-05,北京制药有限公司,广东科药制药有限公司,正在办理,2023-11-10,待审查,Hedera,分布式账本,20230113,大数据,数据安全,公有区块链,V1.0,快速确认、高效率,大数据技术研究中心,https://www.globalblockchainforum.org/,2024-09-28,
晋网信备14010623456789230029号,Cardano,公有区块链,安全审计,公有区块链,2023-05-20,上海药业股份有限公司,广东金药药品有限公司,正在办理,2023-05-25,待审查,IOHK,智能合约平台,20230106,其他,去中心化金融,公有区块链,V1.0,生态系统支持、可扩展性,区块链技术研究所,https://www.digitalcontentassociation.org/,2024-09-28,
皖网信备34020223604875680425号,Polygon,企业级区块链,性能测试,企业级区块链,2023-06-05,广州生物制药厂,广东华南制药厂,已完成,2023-06-15,合格,Polygon Technology,分层架构,20230107,供应链,物流管理,企业级区块链,V1.0,高吞吐量、交互性强,中国供应链协会,https://www.blockchaininnovationcenter.org/,2024-09-28,
京网信备11010523289462498756号,Ripple,企业级区块链,功能测试,企业级区块链,2023-07-01,深圳华大基因科技有限公司,广东华南药业集团,正在办理,2023-07-05,待审查,Ripple Labs,跨境支付解决方案,20230108,金融,跨境支付,企业级区块链,V1.0,实时结算、低费用,金融科技发展报告,https://www.smarttechnologyforum.org/,2024-09-28,
苏网信备32010622401578963217号,NEO,公有区块链,系统审计,公有区块链,2023-08-15,浙江新昌药品有限公司,广东华大基因科技有限公司,已完成,2023-09-01,合格,Neo Foundation,智能经济平台,20230109,游戏,去中心化应用,公有区块链,V1.0,可视化、模块化,游戏区块链论坛,https://www.internationalcryptocurrency.org/,2024-09-28,
粤网信备44010623401105690132号,Avalanche,公有区块链,性能测试,公有区块链,2023-09-10,南京医药股份有限公司,广东海利生物科技有限公司,正在办理,2023-09-15,待审查,Avalanche Lab,多链架构,20230110,供应链,供应链管理,公有区块链,V1.0,高吞吐、低延迟,区块链技术创新中心,https://www.globalblockchainforum.org/,2024-09-28,
浙网信备33010622501546890345号,Cosmos,公有区块链,安全审计,公有区块链,2023-10-01,安徽中药集团,广东恩华药业股份有限公司,正在办理,2023-10-05,待审查,Cosmos Network,互操作平台,20230111,其他,区块链互通,公有区块链,V1.0,互操作性、灵活性,区块链社区,https://www.digitalcontentassociation.org/,2024-09-28,
鄂网信备42010622304537890214号,Zilliqa,企业级区块链,功能测试,企业级区块链,2023-10-15,天津生物制药公司,广东百利药业有限公司,已完成,2023-10-20,合格,Zilliqa Pte Ltd,高吞吐量平台,20230112,金融,支付处理,企业级区块链,V1.0,高效、安全,区块链行业观察,https://www.blockchaininnovationcenter.org/,2024-09-28,
沪网信备31010625209012345678号,Algorand,公有区块链,系统审计,公有区块链,2023-09-25,山东鲁药集团,高达医疗科技有限公司,已完成,2023-10-05,合格,Algorand Foundation,快速交易,20230113,金融,金融转账,公有区块链,V1.0,快速、安全、去中心化,金融科技发展报告,https://www.smarttechnologyforum.org/,2024-09-28,
晋网信备14010623603741230043号,Polkadot,公有区块链,合规审查,公有区块链,2023-06-15,重庆医药研究院,复星医药集团有限公司,正在办理,2023-06-20,待审查,Parity Technologies,跨链技术,20230106,互联网,跨链交易,公有区块链,V1.0,可互操作性、高安全性,区块链信息中心,https://www.internationalcryptocurrency.org/,2024-09-28,
湘网信备43010625109754321476号,Avalanche,公有区块链,性能优化,公有区块链,2023-07-05,北京国药科技有限公司,复星医药集团股份有限公司,已完成,2023-07-20,合格,Ava Labs,高度可扩展,20230107,供应链,供应链管理,公有区块链,V1.0,快速确认、低成本,链宇科技研究所,https://www.globalblockchainforum.org/,2024-09-28,
陕网信备61010623405984328790号,Cardano,公有区块链,功能测试,公有区块链,2023-08-10,深圳市药品研发有限公司,福建中科药业有限公司,正在办理,2023-08-15,待审查,IOHK,智能合约平台,20230108,教育,学位证书验证,公有区块链,V1.0,安全性、可扩展性,全球区块链用户协会,https://www.digitalcontentassociation.org/,2024-09-28,
皖网信备34020223606123450013号,Algorand,公有区块链,安全审计,公有区块链,2023-09-05,上海生物制药有限公司,福建药品进出口公司,已完成,2023-09-15,合格,Algorand Foundation,高效账本,20230109,物流,运输追踪,公有区块链,V1.0,高速度、低延迟,国家区块链中心,https://www.blockchaininnovationcenter.org/,2024-09-28,
京网信备11010523291234560015号,EOSIO,公有区块链,性能测试,公有区块链,2023-10-01,广州医药集团有限公司,福建唯科生物科技有限公司,正在办理,2023-10-05,待审查,Block.one,区块链操作系统,20230110,司法,法律文档验证,公有区块链,V1.0,灵活性、高效性,法治网,https://www.smarttechnologyforum.org/,2024-09-28,
粤网信备44010612345678901234号,NEO,公有区块链,合规审查,公有区块链,2023-11-12,南京现代药业股份有限公司,福建省药品采购有限公司,已完成,2023-11-20,合格,NEO Global Development,智能合约平台,20230111,文化,文化产权保护,公有区块链,V1.0,经济性、自我治理,数字文化产业平台,https://www.internationalcryptocurrency.org/,2024-09-28,
沪网信备31010198765432100029号,Zilliqa,公有区块链,安全审计,公有区块链,2023-12-15,成都华鼎药业有限公司,福建省口腔医疗器械有限公司,正在办理,2023-12-20,待审查,Zilliqa Research,分片技术,20230112,传媒,内容分发,公有区块链,V1.0,高吞吐量、低延迟,全球区块链创新中心,https://www.globalblockchainforum.org/,2024-09-28,
湘网信备43010501234567890010号,Theta Network,公有区块链,功能测试,公有区块链,2024-01-05,浙江天辉制药有限公司,福建省恒生医药有限公司。,正在办理,2024-01-10,待审查,Theta Labs,视频共享网络,20230113,媒体,视频流传输,公有区块链,V1.0,去中心化、可扩展性,数字媒体研究中心,https://www.digitalcontentassociation.org/,2024-09-28,
苏网信备32010112345678987654号,Polkadot,公有区块链,功能测试,公有区块链,2023-06-15,武汉新兴药品有限公司,福建南方医药有限公司,正在办理,2023-06-20,待审查,Web3 Foundation,跨链架构,20230106,互联网,去中心化应用,公有区块链,V1.0,可互操作性、高效性,Blockchain Association,https://www.blockchaininnovationcenter.org/,2024-09-28,
闽网信备35010123456789012345号,Algorand,公有区块链,性能测试,公有区块链,2023-07-01,西安医药研发中心,福建汇仁药业有限公司,已完成,2023-07-15,合格,Algorand Inc.,分布式账本,20230107,供应链,物联网设备管理,公有区块链,V1.0,高速、低延迟,国际区块链研究所,https://www.smarttechnologyforum.org/,2024-09-28,
津网信备12010323456789009876号,Cardano,公有区块链,安全审计,公有区块链,2023-07-20,山东健康制药股份有限公司,福建福药生物科技股份有限公司,正在办理,2023-08-01,待审查,IOHK,基于研究的安全架构,20230108,保险,智能合约执行,公有区块链,V1.0,安全性、可验证性,去中心化网络研究中心,https://www.internationalcryptocurrency.org/,2024-09-28,
鲁网信备37010298765432123456号,Tezos,自我修正区块链,功能测试,自我修正区块链,2023-08-15,国药集团中国生物技术有限公司,福建大禾制药有限公司,已完成,2023-09-01,合格,Tezos Foundation,自我维护,20230109,医疗,医疗数据管理,自我修正区块链,V1.0,自我治理、高安全性,全球区块链生态联盟,https://www.globalblockchainforum.org/,2024-09-28,
鄂网信备42010612345678901234号,EOSIO,公有区块链,安全审计,公有区块链,2023-09-10,上海人民制药有限公司,福建博睿药业股份有限公司,正在办理,2023-09-15,待审查,Block.one,高可扩展性架构,20230110,社交平台,社交媒体内容验证,公有区块链,V1.0,高吞吐量、用户友好,区块链技术标准委员会,https://www.digitalcontentassociation.org/,2024-09-28,
"皖网信备34020225604937890051号,京网信备11010523987234560028号,沪网信备31010124501498730085号,粤网信备44010012345678910067号,浙网信备33010623784965430034号,鲁网信备37020014457823170022号,苏网信备32010236789012340009号,晋网信备14010625896731250046号,陕网信备61010178543210980073号,辽网信备21010256789043210021号",TRON,公有区块链,性能测试,公有区块链,2023-09-25,华东医药股份有限公司,福建阿尔法制药有限公司,已完成,2023-10-10,合格,TRON Foundation,分布式媒体,20230111,内容创作,内容分享平台,公有区块链,V1.0,去中心化、极高的可用性,数字货币研究中心,https://www.blockchaininnovationcenter.org/,2024-09-28,
"皖网信备34020223603146870015号,京网信备11010523289175130016号,粤网信备44030172889525130017号,沪网信备31010134678998730018号,苏网信备32010234875124630019号,鄂网信备42010625789541230020号,鲁网信备37010134689234530021号,浙网信备33010623654783030022号",NEO,公有区块链,功能测试,公有区块链,2023-10-05,江苏恒瑞医药股份有限公司,方圆制药有限公司,正在办理,2023-10-10,待审查,Neo Foundation,智能经济,20230112,智能合约,数字资产管理,公有区块链,V1.0,可扩展性、互操作性,中国区块链技术研究院,https://www.smarttechnologyforum.org/,2024-09-28,
皖网信备34020234567891230005号,Polygon,公有区块链,性能测试,公有区块链,2023-06-05,北京科兴生物制品有限公司,鼎信生物制药,正在办理,2023-06-10,待审查,Polygon Technology,多链架构,20230106,电子商务,去中心化金融,公有区块链,V1.0,互操作性、低手续费,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
京网信备11010598765432150010号,Avalanche,公有区块链,功能测试,公有区块链,2023-07-15,成都倍特药业股份有限公司,鼎盛生物制药公司,已完成,2023-07-20,合格,Avalanche Labs,高性能平台,20230107,供应链,资产追踪,公有区块链,V1.0,可扩展性、速度快,国家市场监督管理总局,http://www.samr.gov.cn,2024-09-28,
苏网信备32010612345678980015号,Ripple,企业级区块链,安全审计,企业级区块链,2023-08-30,浙江医药有限公司,鼎峰生物药品有限公司,正在办理,2023-09-05,待审查,Ripple Labs,支付解决方案,20230108,跨境支付,实时支付,企业级区块链,V1.0,快速交易、高透明度,财经时报,http://www.caixin.com,2024-09-28,
粤网信备44010698765432120009号,Cardano,公有区块链,功能测试,公有区块链,2023-09-12,上海中医药大学附属医院制药厂,德信医药科技,已完成,2023-09-20,合格,IOHK,多层结构,20230109,供应链,产地验证,公有区块链,V1.0,可编程性、能源效率,中国科技部,http://www.most.gov.cn,2024-09-28,
川网信备51010123456789060011号,Cosmos,公有区块链,系统审计,公有区块链,2023-10-05,广州白云山医药集团股份有限公司,创新药物研发中心,正在办理,2023-10-12,待审查,Cosmos Network,区块链生态,20230110,物联网,设备连通性,公有区块链,V1.0,生态系统、可互操作性,链塔智库,http://www.clic.com.cn,2024-09-28,
鲁网信备37010187654321040008号,Algorand,公有区块链,功能测试,公有区块链,2023-10-20,山东鲁药集团有限公司,创新药物开发公司,已完成,2023-10-25,合格,Algorand Foundation,快速账本,20230111,电子支付,便捷支付,公有区块链,V1.0,高速度、高安全性,科技日报,http://www.stdaily.com,2024-09-28,
闽网信备35010234567890170007号,Hedera,企业级区块链,安全审计,企业级区块链,2023-11-02,北京德邦医药科技有限公司,诚实制药集团,正在办理,2023-11-05,待审查,Hedera Hashgraph,分布式账本,20230112,电子商务,用户身份验证,企业级区块链,V1.0,快速交易、低费用,中共中央网络安全和信息化委员会办公室,http://www.cac.gov.cn,2024-09-28,
吉网信备22020234567891230006号,VeChain,企业级区块链,性能测试,企业级区块链,2023-11-15,上海华康制药有限公司,成都中药产业发展有限公司,已完成,2023-11-20,合格,VeChain Foundation,区块链管理平台,20230113,供应链,物流跟踪,企业级区块链,V1.0,透明性、可追踪性,供应链数字化研究中心,http://www.sc.org.cn,2024-09-28,
黔网信备52010123456789050004号,Avalanche,公有区块链,功能测试,公有区块链,2023-05-15,广州健宁生物科技有限公司,成都中科生物制药有限公司,正在办理,2023-05-20,待审查,Avalanche Labs,分布式网络,20230106,物流,供应链管理,公有区块链,V1.0,高速处理、灵活性,中国信息通信研究院,http://www.clic.com.cn,2024-09-28,
川网信备51010698765432120013号,Polygon,公有区块链,性能测试,公有区块链,2023-06-05,南京瑞康药业股份有限公司,成都制药工程公司,已完成,2023-06-20,合格,Polygon Technology,二层网络,20230107,竞争性游戏,游戏交易,公有区块链,V1.0,交互性、低手续费,国际标准化组织,http://www.stdaily.com,2024-09-28,
皖网信备34020212345678900001号,Cardano,公有区块链,安全审计,公有区块链,2023-06-15,成都友好医药有限公司,成都友好医药有限公司,正在办理,2023-06-20,待审查,IOHK,智能合约平台,20230108,电子商务,支付解决方案,公有区块链,V1.0,可扩展性、高透明度,中国电子技术标准化研究院,http://www.cac.gov.cn,2024-09-28,
京网信备11010598765432100002号,Bitcoin,公有区块链,普遍应用,公有区块链,2023-07-01,天津中药现代有限公司,成都药品研发有限公司,已完成,2023-07-15,合格,Bitcoin.org,去中心化账本,20230109,证券,交易清算,公有区块链,V1.0,安全性、匿名性,数字货币研究院,http://www.sc.org.cn,2024-09-28,
粤网信备44030012345678900003号,Ripple,企业级区块链,金融服务,企业级区块链,2023-07-10,深圳市阳光辉药业有限公司,成都天源药业股份有限公司,正在办理,2023-07-15,待审查,Ripple Labs,支付网络,20230110,跨境支付,国际转账,企业级区块链,V1.0,快速交易、低手续费,金融科技协会,http://www.clic.com.cn,2024-09-28,
苏网信备32010023456789000004号,EOS,公有区块链,智能合约,公有区块链,2023-07-20,杭州迅达医疗器械有限公司,成都思创医药科技有限公司,已完成,2023-08-01,合格,Block.one,智能合约平台,20230111,互联网服务,Dapp开发,公有区块链,V1.0,高性能、灵活性,国际区块链研究院,http://www.stdaily.com,2024-09-28,
浙网信备33010034567890100005号,Algorand,公有区块链,系统审计,公有区块链,2023-08-10,山东富源制药有限公司,成都生物制药有限公司,正在办理,2023-08-15,待审查,Algorand Foundation,协议层,20230112,医疗,医疗记录存储,公有区块链,V1.0,高安全性、快速,医疗科技协会,http://www.cac.gov.cn,2024-09-28,
鲁网信备37020045678901200006号,NEO,公有区块链,开发工具,公有区块链,2023-09-01,福建省恒生医药有限公司。,成都生物制药有限公司,已完成,2023-09-15,合格,NEO Foundation,数字资产管理,20230113,智能城市,物业管理,公有区块链,V1.0,去中心化、安全性,绿色科技委员会,http://www.sc.org.cn,2024-09-28,
川网信备51010056789012300007号,Ripple,企业级区块链,交易验证,企业级区块链,2023-06-01,北京生物制药有限公司,成都生物制药研究院,正在办理,2023-06-10,待审查,Ripple Labs,分布式账本,20230106,贸易,国际汇款,企业级区块链,V1.0,快速支付、低手续费,金融科技研究院,http://www.clic.com.cn,2024-09-28,
闽网信备35010067890123400008号,Polygon,二层解决方案,扩展测试,二层解决方案,2023-07-15,上海瑞博药业股份有限公司,成都生物制药公司,已完成,2023-07-20,合格,Polygon Technology,侧链架构,20230107,机械,供应链管理,二层解决方案,V1.0,可扩展、高兼容性,技术先锋,http://www.stdaily.com,2024-09-28,
鄂网信备42010078901234500009号,Cardano,公有区块链,技术审查,公有区块链,2023-08-01,广东华南药业集团,成都生物医药产业园,正在办理,2023-08-10,待审查,IOHK,权益证明,20230108,供应链,商品追踪,公有区块链,V1.0,安全、可持续,区块链分析家,http://www.cac.gov.cn,2024-09-28,
川网信备51030089012345600010号.,Hyperledger Sawtooth,企业级区块链,网络测试,企业级区块链,2023-09-10,浙江医药股份有限公司,成都瑞丰生物制药有限公司,已完成,2023-09-15,合格,The Linux Foundation,可扩展网络,20230109,物流,资产管理,企业级区块链,V1.0,灵活、彩色资产,IT资讯网,http://www.sc.org.cn,2024-09-28,
"皖网信备34020223901234567890号,京网信备11010523987654321012号,粤网信备44010623012345678901号,浙网信备33010623654321098765号,沪网信备31010123123456789012号,鲁网信备37020223123456789012号,苏网信备32010623876543210987号,鄂网信备42010623098765432109号,冀网信备13010423234567890123号,豫网信备41010623789012345678号",Avalanche,公有区块链,安全审计,公有区块链,2023-10-01,江苏杰诺药业有限公司,成都人福医药有限公司,正在办理,2023-10-05,待审查,Avalanche Labs,多链架构,20230110,保险,智能合约保险,公有区块链,V1.0,高性能、低延迟,Chain Times,http://www.clic.com.cn,2024-09-28,
"皖网信备34020223603146870015号,京网信备11010523289175130016号,沪网信备31010123789146870017号,粤网信备44010623890146870018号,鲁网信备37010223901146870019号,苏网信备32010424012146870020号,鄂网信备42010524123146870021号,浙网信备33010624234146870022号,闽网信备35010624345146870023号,陕网信备61010424456146870024号",EOSIO,公共区块链,应用评估,公共区块链,2023-10-15,天津天药药业有限公司,成都华鼎药业有限公司,已完成,2023-10-20,合格,Block.one,区块链应用平台,20230111,传媒,社交媒体,公共区块链,V1.0,高效率、低延迟,网络安全研究所,http://www.stdaily.com,2024-09-28,
"皖网信备34020223603146870013号,京网信备11010523289175130015号,鄂网信备42010258736451278514号,粤网信备44010378541236987415号,苏网信备32010512345678901216号,浙网信备33010698765432104517号,川网信备51010604785296374118号,魁网信备72010123456789012319号,辽网信备21010345678901234520号,沪网信备31010123456789098721号",Fantom,公有区块链,交易优化,公有区块链,2023-11-01,四川恒瑞医药股份有限公司,成都创新药物研究所,正在办理,2023-11-05,待审查,Fantom Foundation,速度优先,20230112,物流,即时交付,公有区块链,V1.0,快速、去中心化,区块链开发者社区,http://www.cac.gov.cn,2024-09-28,
"皖网信备34020223603146870013号,京网信备11010523289175130015号,苏网信备32010233603146870016号,粤网信备44010643603146870017号,沪网信备31010153603146870018号,浙网信备33010363603146870019号,冀网信备13010873603146870020号,鲁网信备37020283603146870021号,豫网信备41010593603146870022号,川网信备51010603603146870023号",NEO,智能经济,功能评估,智能经济,2023-12-01,河南远大医药有限公司,成都倍特药业有限公司,已完成,2023-12-05,合格,NEO Foundation,智能合约平台,20230113,文化,数字资产管理,智能经济,V1.0,数字身份、智能合约,中国教育部信息中心,http://www.sc.org.cn,2024-09-28,
"皖网信备34020233604567980023号,京网信备11010512345678901234号,浙网信备33010076543219876543号,沪网信备31011598765432101234号,粤网信备44030087654321098765号,川网信备51010523456789012345号,鲁网信备37010023456789012345号,苏网信备32010098765432109876号,京网信备11010587654321098765号,陕网信备61010012345678987654号",Polkadot,混合区块链,功能测试,混合区块链,2023-06-20,海南欣康药业股份有限公司,成都倍特药业有限公司,正在办理,2023-06-25,待审查,Parity Technologies,跨链架构,20230106,物联网,智能设备连接,混合区块链,V1.0,互操作性、安全性,中国信通院,http://www.clic.com.cn,2024-09-28,
"皖网信备34020223603146870015号,京网信备11010523289175130019号,浙网信备33010612345678900001号,粤网信备44010698765432100002号,苏网信备32011565432198700003号,鲁网信备37010123456789000004号,川网信备51010434567890100005号,陕网信备61011123456789000006号,沪网信备31010498765432000007号,鄂网信备42011654321098700008号",Avalanche,公有区块链,性能测试,公有区块链,2023-07-15,湖北东信药业有限公司,成都倍特药业股份有限公司,已完成,2023-07-20,合格,Avalanche Foundation,去中心化交易所,20230107,交易,数字资产交易,公有区块链,V1.0,高速、低延迟,国家科技部,http://www.stdaily.com,2024-09-28,
皖网信备34020223604567910013号,Cardano,公有区块链,安全审计,公有区块链,2023-08-05,北京药明康德生物技术有限公司,成都倍特药业股份有限公司,正在办理,2023-08-10,待审查,IOHK,层次化架构,20230108,教育,学分记录,公有区块链,V1.0,可输入和可编程性,中国教育部,http://www.cac.gov.cn,2024-09-28,
京网信备11010523289512340015号,EOS,公有区块链,功能测试,公有区块链,2023-09-10,上海辉瑞制药有限公司,成都倍特药业股份有限公司,已完成,2023-09-15,合格,Block.one,去中心化平台,20230109,多媒体,内容发布,公有区块链,V1.0,高效能、高可用性,中国文化和旅游部,http://www.sc.org.cn,2024-09-28,
粤网信备44010653478231090016号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-10-05,浙江诺华制药有限公司,博瑞生物科技有限公司,正在办理,2023-10-10,待审查,Tezos Foundation,自我修正技术,20230110,金融,金融合约,自我修正区块链,V1.0,高安全性、可扩展性,中国金融监督管理委员会,http://www.clic.com.cn,2024-09-28,
浙网信备33010614568940230017号,Zilliqa,公有区块链,功能测试,公有区块链,2023-10-20,广东华大基因科技有限公司,贝克尔制药股份有限公司,正在办理,2023-10-25,待审查,Zilliqa Research,分片技术,20230111,媒体,内容分发,公有区块链,V1.0,高吞吐量、分散治理,全国广电总局,http://www.stdaily.com,2024-09-28,
苏网信备32010698765432150018号,Algorand,公有区块链,安全审计,公有区块链,2023-11-01,江苏正大天晴药业有限公司,北京中医药集团制药有限公司,已完成,2023-11-05,合格,Algorand Foundation,快速共识机制,20230112,金融,支付系统,公有区块链,V1.0,高效率、低成本,中国人民银行,http://www.cac.gov.cn,2024-09-28,
沪网信备31010123456789060019号,Polygon,公有区块链,性能测试,公有区块链,2023-06-15,陕西天健生物医药科技有限公司,北京中科院药物与细胞工程研究所,待审查,2023-06-20,待审查,Polygon Technology,多链架构,20230106,运输,物流解决方案,公有区块链,V1.0,可扩展性、快速交易,链世界,https://www.chainworld.com,2024-09-28,
冀网信备13010345678901210020号,Avalanche,公有区块链,功能测试,公有区块链,2023-07-01,辽宁海正药业股份有限公司,北京制药有限公司,已完成,2023-07-15,合格,Avalanche Labs,智能合约平台,20230107,供应链,供应链金融,公有区块链,V1.1,高吞吐量、低延迟,科通社,https://www.kecommons.com,2024-09-28,
晋网信备14010498765432170021号,Cardano,公有区块链,安全审计,公有区块链,2023-08-10,福建唯科生物科技有限公司,北京易瑞生物科技有限公司,正在办理,2023-08-15,待审查,IOHK,利基化解决方案,20230108,物联网,智能传感器管理,公有区块链,V1.0,治理、可持续性,互联网金融协会,https://www.ifba.org.cn,2024-09-28,
豫网信备41010456789012380022号,Terra,公有区块链,性能测试,公有区块链,2023-09-24,北京中科院药物与细胞工程研究所,北京医药科技有限公司,正在办理,2023-10-01,待审查,Terra Money,稳定币协议,20230109,电子商务,支付解决方案,公有区块链,V2.0,稳定性、高流动性,财经网,https://www.caijing.com.cn,2024-09-28,
陕网信备61010123456789090023号,Hedera,公有区块链,安全审计,公有区块链,2023-10-10,山东新华制药股份有限公司,北京医药科技有限公司,已完成,2023-10-20,合格,Hedera Hashgraph,分布式账本技术,20230110,供应链,物品追踪,公有区块链,V1.1,安全、快速共识,链网,https://www.chainnews.com,2024-09-28,
皖网信备34020223603147982345号,EOS,公有区块链,性能测试,公有区块链,2023-11-05,华药制药有限公司,北京药智科技有限公司,正在办理,2023-11-10,待审查,Block.one,基于DAG的架构,20230111,电子商务,跨境支付,公有区块链,V1.2,高交易速度、去中心化,数字货币研究院,https://www.dcc.org,2024-09-28,
京网信备11010523289176239488号,Fantom,公有区块链,功能测试,公有区块链,2023-12-01,北京嘉和制药股份有限公司,北京药业有限公司,已完成,2023-12-05,合格,Fantom Foundation,高性能合约链,20230112,保险,智能合约理赔,公有区块链,V1.3,快速、可扩展,行业技术中心,https://www.industrytech.org,2024-09-28,
闽网信备35010012345678901234号,Zilliqa,公有区块链,系统审计,公有区块链,2023-12-10,上海信谊药厂有限公司,北京药明康德生物技术有限公司,等待确认,2023-12-15,待审查,Zilliqa Research,分片架构,20230113,物联网,设备自动化管理,公有区块链,V1.0,高扩展性、低延迟,科技创新中心,https://www.techinnovation.org,2024-09-28,
浙网信备33010234567890123456号,Cardano,公有区块链,性能测试,公有区块链,2023-06-15,江苏恒瑞医药股份有限公司,北京亚宝药业有限公司,正在办理,2023-06-20,待审查,IOHK,多层网络,20230106,供应链,高级数据管理,公有区块链,V1.0,可扩展性、安全性,科技部信息中心,https://www.caijing.com.cn,2024-09-28,
粤网信备44010698765432109876号,Polkadot,公有区块链,功能测试,公有区块链,2023-07-05,浙江医药股份有限公司,北京新药研究院,已完成,2023-07-15,合格,Web3 Foundation,跨链协议,20230107,供应链,去中心化治理,公有区块链,V1.0,互操作性、灵活性,国家信息中心,https://www.chainnews.com,2024-09-28,
苏网信备32010613579246801357号,Ripple,企业级区块链,安全审计,企业级区块链,2023-07-20,成都生物制药有限公司,北京天坛生物制品股份有限公司,正在办理,2023-08-01,待审查,Ripple Labs,分布式账本,20230108,金融,国际汇款,企业级区块链,V1.0,快速交易、全球兼容,中国人民银行,https://www.dcc.org,2024-09-28,
川网信备51010424680135792468号,Avalanche,公有区块链,功能测试,公有区块链,2023-08-10,安徽艾尔建制药有限公司,北京天坛生物制品股份有限公司,已完成,2023-08-15,合格,Ava Labs,高可用性网络,20230109,供应链,智能合约,公有区块链,V1.0,高吞吐量、低延迟,国家互联网信息办公室,https://www.industrytech.org,2024-09-28,
