登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610022 号,DB52/T 1478-2019,Stellar,企业级区块链,已完成,第三阶段,安全测试,Stellar Development Foundation,华中科技大学,2023-10-15,2023-10-20,2024-02-20,2024-02-21,华中科技大学,安全审计,华中科技大学,http://www.hust.edu.cn/research/blockchain,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1479-2019,Tezos,公有区块链,进行中,第二阶段,功能测试,Tezos Foundation,东南大学,2023-11-01,2023-11-10,2024-05-10,2024-05-11,东南大学,系统审计,东南大学区块链研究中心,http://www.seu.edu.cn/research/blockchain,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1490-2020,Cardano,公有区块链,已完成,第三阶段,应用测试,IOHK,同济大学,2023-12-15,2023-12-20,2024-06-20,2024-06-21,同济大学,应用测试,同济大学区块链研究中心,http://www.tongji.edu.cn/research/blockchain,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1503-2021,Ripple,联盟区块链,已完成,第一阶段,安全测试,Ripple Labs,华东师范大学,2023-06-01,2023-06-15,2024-01-15,2024-01-16,华东师范大学,性能评估,华东师范大学,http://www.ecnu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1527-2021,Algorand,公有区块链,正在进行,第二阶段,功能测试,Algorand Foundation,复旦大学,2023-07-10,2023-07-15,2024-01-15,2024-01-16,复旦大学,新技术标准,中国互联网信息中心,https://www.cnnic.net.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1540-2022,NEO,公有区块链,已完成,第三阶段,性能测试,NEO Foundation,南京大学,2023-08-15,2023-08-20,2024-02-20,2024-02-21,南京大学,技术评估,国家标准化管理委员会,https://www.sac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1562-2023,Cardano,企业级区块链,正在进行,第一阶段,安全测试,Cardano Foundation,北京理工大学,2023-09-01,2023-09-10,2024-03-10,2024-03-11,北京理工大学,系统验证,国家标准信息公共服务平台,https://www.samr.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1585-2023,Polkadot,联盟链,进行中,第二阶段,功能测试,Web3 Foundation,西安交通大学,2023-10-05,2023-10-10,2024-04-10,2024-04-11,西安交通大学,技术检验,腾讯科技,https://tech.qq.com/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1601-2023,Chainlink,公有区块链,正在进行,第三阶段,安全测试,Chainlink Labs,中山大学,2023-11-01,2023-11-10,2024-05-10,2024-05-11,中山大学,系统审计,区块链网络,http://www.blockchainnetwork.com/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1614-2022,VeChain,联盟区块链,已完成,第一阶段,性能测试,VeChain Foundation,浙江大学,2023-12-05,2023-12-10,2024-06-10,2024-06-11,浙江大学,技术开发,浙江大学信息技术研究所,http://www.zju.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1633-2021,EOSIO,公有链,进行中,第二阶段,功能测试,Block.one,南开大学,2024-01-05,2024-01-10,2024-07-10,2024-07-11,南开大学,技术验证,南开大学,http://www.nankai.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1650-2020,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Technology,浙江大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,浙江大学,新技术标准,中国区块链研究中心,https://www.china-blockchain.org/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1467-2019,Avalanche,公有区块链,已完成,第二阶段,安全测试,Ava Labs,香港科技大学,2023-06-20,2023-07-01,2023-12-15,2023-12-16,香港科技大学,技术评估,Asian Blockchain Association,https://www.aba.org/,2024-09-28,,,,
京网信备 11010119124567890001 号,DB52/T 1468-2019,EOSIO,公有区块链,正在进行,第三阶段,性能测试,Block.one,中山大学,2023-07-22,2023-08-01,2024-08-01,2024-08-02,中山大学,系统审计,中国科学技术协会,http://www.cast.org.cn/,2024-09-28,,,,
京网信备 11010119124678910002 号,DB52/T 1469-2019,Cardano,公有区块链,已完成,第一阶段,功能测试,IOHK,天津大学,2023-08-15,2023-09-01,2023-11-30,2023-12-01,天津大学,技术评估,中国新一代人工智能发展战略研究院,http://www.aivable.org/,2024-09-28,,,,
京网信备 11010119124789020003 号,DB52/T 1470-2019,Tezos 2.0,公有区块链,正在进行,第二阶段,安全测试,Tezos Foundation,复旦大学,2023-09-10,2023-09-20,2024-06-30,2024-07-01,复旦大学,应用测试,潮流区块链周刊,http://www.blockchaintrendweekly.com/,2024-09-28,,,,
京网信备 11010119124890130004 号,DB52/T 1471-2019,Ripple,联盟链,进行中,第一阶段,技术测试,Ripple Labs,西安电子科技大学,2023-10-05,2023-10-15,2024-10-15,2024-10-16,西安电子科技大学,技术测试,国际区块链协会,https://www.ibassociation.org/,2024-09-28,,,,
京网信备 11010119124901240005 号,DB52/T 1472-2019,Blockstream,私有区块链,已完成,第二阶段,性能测试,Blockstream Corporation,哈尔滨工业大学,2023-11-01,2023-11-10,2024-01-15,2024-01-16,哈尔滨工业大学,安全审计,产品质量技术监督中心,http://www.cqm.org.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,Hashgraph,公有链,进行中,第一阶段,技术测试,Swirld,南开大学,2023-11-15,2023-11-20,2024-11-20,2024-11-21,南开大学,功能测试,区块链行业观察,http://www.blockchainobserver.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1474-2019,Zilliqa,公有区块链,进行中,第二阶段,应用测试,Zilliqa Research,华中科技大学,2023-12-01,2023-12-10,2024-12-10,2024-12-11,华中科技大学,技术测试,全球区块链局,http://www.globalblockchain.org/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1475-2019,Polygon,公有区块链,正在进行,第三阶段,性能测试,Polygon Foundation,华东师范大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,华东师范大学,系统验证,清华大学区块链研究中心,https://bschool.tsinghua.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1476-2019,Avalanche,公有区块链,已完成,第二阶段,安全测试,Avalanche Foundation,复旦大学,2023-06-10,2023-07-01,2023-11-30,2023-12-01,复旦大学,性能评估,中国区块链技术和产业发展论坛,https://www.blockchainforum.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1470-2019,Cardano,公有区块链,进行中,第一阶段,功能测试,IOHK,中国科学技术大学,2023-07-15,2023-08-01,2024-08-01,2024-08-02,中国科学技术大学,技术验证,IEEE区块链技术期刊,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,Hedera,公有区块链,正在进行,第二阶段,合规性测试,Hedera Hashgraph,南开大学,2023-08-20,2023-09-01,2024-09-01,2024-09-02,南开大学,合规性审查,国家互联网信息办公室,https://www.cyber.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2019,Ripple,企业级区块链,已完成,第三阶段,应用测试,Ripple Labs,哈尔滨工业大学,2023-09-25,2023-10-01,2024-01-01,2024-01-02,哈尔滨工业大学,技术审查,国际标准化组织,https://www.iso.org/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2019,Algorand,公有区块链,进行中,第二阶段,性能测试,Algorand Foundation,西安交通大学,2023-10-05,2023-10-10,2024-10-10,2024-10-11,西安交通大学,技术验证,区块链应用与技术发展中心,https://baidu.com,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1474-2019,EOS,公有区块链,已完成,第三阶段,功能测试,Block.one,浙江大学,2023-11-15,2023-12-01,2024-03-01,2024-03-02,浙江大学,产品验证,中国区块链技术与经济发展报告,https://www.chinadaily.com.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2019,NEM,公有区块链,进行中,第一阶段,合规性测试,NEM Foundation,武汉大学,2023-12-10,2023-12-15,2024-12-15,2024-12-16,武汉大学,技术开发,中国区块链产业发展联盟,https://www.cbida.org/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1476-2019,Zilliqa,公有区块链,已完成,第一阶段,功能测试,Zilliqa Research,华东师范大学,2023-06-01,2023-06-15,2023-10-30,2023-11-01,华东师范大学,技术评估,中国信息产业部,http://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1477-2019,Cardano,公有区块链,正在进行,第二阶段,性能测试,Cardano Foundation,复旦大学,2023-07-05,2023-07-20,2024-07-20,2024-07-01,复旦大学,技术标准,中国科学技术信息研究所,https://www.cast.org.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1478-2019,Polkadot,联盟链,已完成,第一阶段,安全测试,Web3 Foundation,武汉大学,2023-08-12,2023-08-15,2023-12-15,2024-01-10,武汉大学,系统评审,中国电子信息产业发展研究院,http://www.ciid.org.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1479-2019,Algorand,企业级区块链,正在进行,第二阶段,性能测试,Algorand Foundation,清华大学,2023-09-01,2023-09-10,2024-09-10,2024-09-11,清华大学,技术测试,中国网络信息中心,https://www.cnnic.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1850-2022,EOSIO,公有区块链,已完成,第三阶段,综合测试,Block.one,南方科技大学,2023-10-01,2023-10-10,2024-01-10,2024-01-11,南方科技大学,安全审计,中国信息安全技术审查中心,http://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119234567890001 号,DB52/T 1634-2021,Avalanche,公有区块链,正在进行,第一阶段,安全测试,Avalanche Foundation,北京大学,2023-11-01,2023-11-15,2024-11-15,2024-11-16,北京大学,技术可靠性,中国区块链技术研究中心,http://www.cbtc.org.cn,2024-09-28,,,,
京网信备 11010119345678900002 号,DB52/T 1725-2020,Tezos,企业级区块链,已完成,第二阶段,功能测试,Tezos Foundation,浙江大学,2023-12-10,2023-12-20,2024-03-20,2024-03-21,浙江大学,功能验证,中国标准化协会,http://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119456789010003 号,DB52/T 1409-2019,Waves,公有区块链,已完成,第二阶段,性能测试,Waves Association,南京大学,2024-01-05,2024-01-10,2024-04-10,2024-04-11,南京大学,技术测试,中国科研院所,http://www.casi.org.cn,2024-09-28,,,,
京网信备 11010119567890120004 号,DB52/T 1543-2023,Polkadot,公有区块链,已完成,第三阶段,安全测试,Web3 Foundation,南方科技大学,2023-06-01,2023-06-15,2023-12-05,2023-12-06,南方科技大学,技术评估,区块链研究中心,https://www.blockchainresearchcenter.org,2024-09-28,,,,
京网信备 11010119678901230005 号,DB52/T 1778-2022,Ripple,企业级区块链,进行中,第一阶段,功能测试,Ripple Labs,复旦大学,2023-06-10,2023-06-20,2024-01-10,2024-01-11,复旦大学,技术测试,区块链金融研究所,https://www.blockchainfinanceinstitute.org,2024-09-28,,,,
京网信备 11010119789012340006 号,DB52/T 1492-2021,EOSIO,公有区块链,已完成,第二阶段,性能测试,Block.one,浙江大学,2023-07-15,2023-07-20,2023-12-20,2023-12-21,浙江大学,技术验证,全国区块链技术推广办公室,http://www.nbta.gov.cn,2024-09-28,,,,
京网信备 11010119890123450007 号,DB52/T 1669-2019,Algorand,公有区块链,进行中,第一阶段,功能测试,Algorand Foundation,哈尔滨工业大学,2023-08-01,2023-08-15,2024-02-01,2024-02-02,哈尔滨工业大学,技术审计,中国区块链信息中心,https://www.cbic.org.cn,2024-09-28,,,,
京网信备 11010119901234560008 号,DB52/T 1556-2020,Cardano,公有区块链,正在进行,第三阶段,安全测试,IOHK,同济大学,2023-09-10,2023-09-15,2024-05-15,2024-05-16,同济大学,应用验证,中国科技行业协会,https://www.csti.org.cn,2024-09-28,,,,
京网信备 11010119012345670009 号,DB52/T 1899-2023,Chainlink,企业级区块链,进行中,第二阶段,性能测试,Chainlink Labs,电子科技大学,2023-10-01,2023-10-10,2024-03-31,2024-04-01,电子科技大学,功能审查,区块链创新与应用研究所,https://www.blockchaininnovation.org,2024-09-28,,,,
京网信备 11010119123456780010 号,DB52/T 1467-2019,Tron,公有区块链,已完成,第一个阶段,安全测试,Tron Foundation,中国科学技术大学,2023-10-15,2023-10-20,2024-01-31,2024-02-01,中国科学技术大学,技术评估,国家工业和信息化部,https://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1468-2019,Hyperledger Sawtooth,联盟链,正在进行,第三阶段,应用测试,The Linux Foundation,武汉大学,2023-11-01,2023-11-10,2024-06-30,2024-07-01,武汉大学,功能审计,国际区块链技术联盟,https://www.blockchainalliance.org,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1469-2019,Polkadot,公有区块链,正在进行,第三阶段,安全测试,Parity Technologies,复旦大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,复旦大学,系统审计,全国数字经济发展研究中心,http://www.ndedc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1470-2019,Avalanche,公有区块链,已完成,第二阶段,性能测试,Avalanche Foundation,香港科技大学,2023-03-30,2023-04-15,2023-10-15,2023-10-16,香港科技大学,技术评估,全国区块链技术标准化工委,http://www.nationalblockchain.org.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1471-2019,Chainlink,公有区块链,进行中,第一阶段,功能测试,Chainlink Labs,南方科技大学,2023-06-20,2023-07-01,2024-01-01,2024-01-02,南方科技大学,技术验证,全国信息科技发展中心,http://www.nsit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1472-2019,EOSIO,公有区块链,正在进行,第一阶段,安全测试,Block.one,南京大学,2023-07-05,2023-07-15,2024-07-15,2024-07-16,南京大学,系統审计,全球区块链标准化研究中心,http://www.gbsrcenter.org,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1473-2019,Algorand,公有区块链,已完成,第二阶段,性能测试,Algorand Foundation,重庆大学,2023-04-25,2023-05-01,2023-09-30,2023-10-01,重庆大学,技术评估,科学技术部,http://www.most.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1474-2019,Zilliqa,公有区块链,进行中,第三阶段,功能测试,Zilliqa Research,西安交通大学,2023-06-15,2023-06-30,2024-08-15,2024-08-16,西安交通大学,安全审计,全国区块链数据库,http://www.nbd.gov.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1475-2019,NEO,公有区块链,已完成,第二阶段,性能测试,NEO Foundation,哈尔滨工业大学,2023-04-10,2023-04-20,2023-08-20,2023-08-21,哈尔滨工业大学,技术验证,国家信息产业发展中心,http://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1476-2019,Tron,公有区块链,进行中,第三阶段,安全测试,Tron Foundation,浙江大学,2023-05-22,2023-06-10,2024-05-10,2024-05-11,浙江大学,系统审计,区块链信息权益中心,http://www.bicc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1470-2019,Zilliqa,公有区块链,已完成,第三阶段,性能测试,Zilliqa Foundation,复旦大学,2023-06-01,2023-06-15,2023-09-30,2023-10-01,复旦大学,技术评估,中国区块链技术研究院,http://www.chinablc.org,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,Cardano,公有区块链,正在进行,第一阶段,智能合约测试,Cardano Foundation,武汉大学,2023-07-20,2023-08-01,2024-04-30,2024-05-01,武汉大学,技术审计,区块链技术协会,http://www.bcassociation.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2019,Algorand,公有区块链,已完成,第二阶段,安全测试,Algorand Foundation,南京大学,2023-08-15,2023-09-01,2023-12-31,2024-01-01,南京大学,安全审计,中国科技部,http://www.most.gov.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2019,EOS,公有区块链,正在进行,第三阶段,智能合约测试,Block.one,东南大学,2023-09-10,2023-09-20,2024-03-15,2024-03-16,东南大学,功能测试,区块链发展促进中心,http://www.bcd.org.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1474-2019,Tron,公有区块链,已完成,第一阶段,性能测试,Tron Foundation,华中科技大学,2023-09-20,2023-10-01,2024-01-15,2024-01-16,华中科技大学,技术测试,区块链行业观察,http://www.bcobservation.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2019,Ripple,企业级区块链,正在进行,第二阶段,技术验证,Ripple Labs,吉林大学,2023-10-01,2023-10-15,2024-05-01,2024-05-02,吉林大学,技术评估,中国金融科技研究院,http://www.fintech.org.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1476-2019,Polkadot,公有区块链,已完成,第三阶段,功能测试,Polkadot Network,厦门大学,2023-11-20,2023-12-01,2024-03-31,2024-04-01,厦门大学,系统审计,中国互联网协会,http://www.cnia.org.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1477-2019,VeChain,企业级区块链,进行中,第一阶段,安全测试,VeChain Foundation,北京航空航天大学,2023-12-01,2023-12-15,2024-06-30,2024-07-01,北京航空航天大学,技术审计,全国数字经济发展研究中心,http://www.neded.org.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1478-2019,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Foundation,浙江大学,2023-06-15,2023-07-01,2024-07-01,2024-07-02,浙江大学,新技术标准,中国区块链技术研究中心,https://www.blockchainresearch.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1479-2019,Avalanche,公有区块链,已完成,第三阶段,性能测试,Ava Labs,华中科技大学,2023-07-20,2023-08-01,2023-11-30,2023-12-01,华中科技大学,技术评估,中国标准化协会,https://www.csa.org.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1470-2019,Cardano,公有区块链,正在进行,第二阶段,功能测试,Input Output Hong Kong,西安交通大学,2023-08-30,2023-09-15,2024-09-15,2024-09-16,西安交通大学,系统审计,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,Algorand,公有区块链,已完成,第三阶段,安全测试,Algorand Foundation,南方科技大学,2023-09-05,2023-09-10,2023-11-30,2023-12-01,南方科技大学,安全审计,全国标准信息公共服务平台,https://std.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2019,EOSIO,企业级区块链,正在进行,第一阶段,技术测试,Block.one,哈工大,2023-10-01,2023-11-01,2024-11-01,2024-11-02,哈工大,性能评估,区块链行业论坛,https://www.blockchainforum.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2019,Zilliqa,公有区块链,已完成,第二阶段,应用测试,Zilliqa Research,南京大学,2023-10-15,2023-11-01,2024-01-31,2024-02-01,南京大学,技术验证,区块链创投网,https://www.blockchainventure.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1474-2019,Ripple,企业级区块链,正在进行,第一阶段,安全测试,Ripple Labs,电子科技大学,2023-10-20,2023-11-01,2024-11-01,2024-11-02,电子科技大学,新的技术标准,中国信息产业部,http://www.miit.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1475-2019,Chainlink,公有区块链,已完成,第三阶段,功能测试,Chainlink Labs,中山大学,2023-10-25,2023-11-15,2024-02-28,2024-03-01,中山大学,系统审计,全球区块链技术汇,http://www.globalblockchain.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1476-2019,Dfinity,公有区块链,进行中,第一阶段,性能测试,DFINITY Foundation,哈尔滨工业大学,2023-10-30,2023-11-05,2024-05-30,2024-06-01,哈尔滨工业大学,性能评估,国家区块链政策研究中心,http://www.china-blockchain-policy.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1477-2019,Ripple,公有区块链,正在进行,第一阶段,支付系统测试,Ripple Labs,复旦大学,2023-06-01,2023-06-15,2024-06-15,2024-06-16,复旦大学,支付测试,金融科技研究院,https://fintech.org.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1478-2019,Polygon,公有区块链,已完成,第二阶段,性能优化测试,Polygon Technology,南京大学,2023-07-10,2023-07-20,2023-12-20,2023-12-21,南京大学,性能评估,区块链技术协会,https://www.bcta.org.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1479-2019,Avalanche,公有区块链,进行中,第一阶段,安全测试,Ava Labs,同济大学,2023-08-05,2023-08-15,2024-08-15,2024-08-16,同济大学,安全审计,全球区块链研究中心,https://www.gbtc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1467-2019,EOS,公有区块链,已完成,第三阶段,智能合约测试,Block.one,吉林大学,2023-09-10,2023-09-15,2023-11-30,2023-12-01,吉林大学,技术验证,科技部科技发展研究中心,https://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1468-2019,Cardano,公有区块链,进行中,第一阶段,功能测试,IOHK,华南理工大学,2023-10-05,2023-10-15,2024-10-15,2024-10-16,华南理工大学,技术认证,浙江省市场监督管理局,http://www.zjaic.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1469-2019,Algorand,公有区块链,已完成,第二阶段,性能评估,Algorand Foundation,东南大学,2023-11-10,2023-11-20,2024-03-20,2024-03-21,东南大学,技术评估,中国科技部,https://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1470-2019,Zilliqa,公有区块链,进行中,第二阶段,安全测试,Zilliqa Research,西安交通大学,2023-12-01,2023-12-10,2024-12-10,2024-12-11,西安交通大学,安全审计,全国电子科技协会,https://www.neta.org.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1471-2019,Terra,公有区块链,已完成,第三阶段,功能测试,Terraform Labs,广州大学,2024-01-10,2024-01-20,2024-06-20,2024-06-21,广州大学,技术验证,全国金融科技创新中心,https://www.nfc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1472-2019,Ripple,公有区块链,已完成,第八阶段,安全测试,Ripple Labs,浙江大学,2023-06-15,2023-07-01,2023-12-01,2023-12-02,浙江大学,技术评估,中国区块链技术研究中心,https://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1473-2019,Cardano,公有链,进行中,第一阶段,功能测试,IOHK,复旦大学,2023-07-25,2023-08-01,2024-01-01,2024-01-02,复旦大学,新技术标准,国家标准化管理委员会,https://www.gov.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1474-2019,Stellar,公有区块链,正在进行,第二阶段,性能测试,Stellar Development Foundation,东南大学,2023-08-15,2023-09-01,2024-03-01,2024-03-01,东南大学,技术验证,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1475-2019,Chainlink,公有区块链,已完成,第六阶段,应用测试,Chainlink Labs,哈尔滨工业大学,2023-09-05,2023-09-20,2023-11-15,2023-11-16,哈尔滨工业大学,系统审计,国家信息安全发展研究中心,http://www.cyber.gov.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1476-2019,EOS,公有链,进行中,第四阶段,安全测试,EOSIO,华中科技大学,2023-10-10,2023-11-01,2024-03-15,2024-03-16,华中科技大学,技术评估,中国互联网信息中心,http://www.cnnic.net.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1470-2019,Tron,公有链,已完成,第三阶段,功能测试,Tron Foundation,西安交通大学,2023-11-01,2023-11-05,2024-01-30,2024-01-31,西安交通大学,新技术标准,中国区块链技术论坛,http://www.blockchainforum.cn,2024-09-28,,,,
京网信备 11010119154326720022 号,DB52/T 1485-2019,Algorand,公有链,进行中,第二阶段,性能测试,Algorand Foundation,南京大学,2023-12-01,2023-12-05,2024-06-05,2024-06-06,南京大学,技术验证,华为技术有限公司,https://www.huawei.com,2024-09-28,,,,
京网信备 11010119184326830030 号,DB52/T 1493-2019,Tezos,公有链,正在进行,第一阶段,应用测试,Tezos Foundation,北京大学,2023-12-15,2023-12-20,2024-12-15,2024-12-16,北京大学,技术审计,国家互联网应急中心,http://www.cert.org.cn,2024-09-28,,,,
京网信备 11010119214326940041 号,DB52/T 1502-2019,Polygon,公有区块链,正在进行,第一阶段,安全测试,Polygon Technology,华东师范大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,华东师范大学,技术评估,区块链发展研究中心,https://www.blockchainresearch.com,2024-09-28,,,,
京网信备 11010119244327050055 号,DB52/T 1511-2019,Xuperchain,企业级区块链,已完成,第二阶段,功能测试,百度,复旦大学,2023-06-10,2023-07-01,2023-11-30,2023-12-01,复旦大学,技术标准,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119274327160066 号,DB52/T 1526-2019,EOSIO,公有区块链,正在进行,第一阶段,性能测试,Block.one,中国科学院,2023-07-20,2023-08-01,2024-01-31,2024-02-01,中国科学院,性能评估,中国区块链技术研究中心,http://www.china-blockchain.org,2024-09-28,,,,
京网信备 11010119304327270077 号,DB52/T 1534-2019,Algorand,公有区块链,已完成,第三阶段,功能测试,Algorand Foundation,武汉大学,2023-08-15,2023-09-10,2023-12-15,2023-12-20,武汉大学,技术验证,科技日报,http://www.stdaily.com,2024-09-28,,,,
京网信备 11010119334327380088 号,DB52/T 1540-2019,Ripple,企业级区块链,正在进行,第一阶段,技术测试,Ripple Labs,清华大学,2023-09-10,2023-10-01,2024-10-01,2024-10-02,清华大学,功能测试,财经网,https://www.caijing.com.cn,2024-09-28,,,,
京网信备 11010119364327490099 号,DB52/T 1558-2019,Cardano,公有区块链,已完成,第二阶段,性能测试,IOHK,浙江大学,2023-10-15,2023-11-01,2024-02-01,2024-02-02,浙江大学,测试审核,科技翻译网,http://www.techdialogue.com,2024-09-28,,,,
京网信备 11010119394327501100 号,DB52/T 1567-2019,Chainlink,公有区块链,正在进行,第三阶段,功能测试,Chainlink Labs,南开大学,2023-11-01,2023-11-15,2024-03-15,2024-03-16,南开大学,安全审计,普华永道,https://www.pwc.com.cn,2024-09-28,,,,
京网信备 11010119424327612111 号,DB52/T 1470-2019,Stellar,公有区块链,已完成,第一阶段,安全测试,Stellar Development Foundation,厦门大学,2023-12-01,2023-12-10,2024-01-20,2024-01-21,厦门大学,技术验证,中国网络安全审查技术与认证中心,http://www.cac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1471-2019,Ripple,公有区块链,正在进行,第一阶段,功能测试,Ripple Labs,南京大学,2023-05-15,2023-06-01,2024-05-31,2024-06-01,南京大学,技术评估,加密货币研究院,https://www.cryptoresearch.org,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1472-2019,NEO,公有区块链,已完成,第二阶段,安全测试,NEO Foundation,复旦大学,2023-06-20,2023-07-01,2023-12-31,2024-01-01,复旦大学,技术标准,全国块链协会,https://www.nbc.org,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1473-2019,Hyperledger Sawtooth,企业级区块链,进行中,第三阶段,性能测试,Linux Foundation,浙江大学,2023-07-10,2023-08-01,2024-02-29,2024-03-01,浙江大学,功能审计,区块链信息网,https://www.blockchaininfo.net,2024-09-28,,,,
